TABLE=001 | AREA=Phường Biên Hòa
--- SEQUENCE=5 | SECTION=non-agricultural | PAGES=2147-2160 | LINES=979 ---
P=2147 | X=0106.850-0383.860 | Y=0597.850-0609.010 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >600m.
P=2147 | X=0106.850-0330.040 | Y=0615.350-0626.510 | - Có bề rộng <3m, cách đường giao thông >200m.
P=2147 | X=0106.850-0391.760 | Y=0633.350-0644.510 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=2147 | X=0106.850-0391.640 | Y=0644.850-0656.010 | Đường Bùi Hữu Nghĩa đoạn từ Giáp ranh giới thành phố Hồ Chí
P=2147 | X=0106.850-0377.100 | Y=0656.350-0667.510 | Minh đến Đường Nguyễn Tri Phương có hiện trạng là đường
P=2147 | X=0095.600-0209.640 | Y=0667.850-0679.260 | 5 nhựa, bê tông xi măng:
P=2147 | X=0407.950-0438.520 | Y=0668.100-0679.260 | 10.600
P=2147 | X=0449.750-0474.760 | Y=0668.100-0679.260 | 7.400
P=2147 | X=0492.550-0517.560 | Y=0668.100-0679.260 | 6.400
P=2147 | X=0106.850-0329.350 | Y=0685.350-0696.510 | - Có bề rộng ≥5m, cách đường giao thông ≤600m.
P=2147 | X=0106.850-0383.510 | Y=0702.850-0714.010 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤400m.
P=2148 | X=0106.850-0391.760 | Y=0078.850-0090.010 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=2148 | X=0106.850-0391.640 | Y=0090.350-0101.510 | Đường Bùi Hữu Nghĩa đoạn từ Giáp ranh giới thành phố Hồ Chí
P=2148 | X=0106.850-0377.100 | Y=0101.850-0113.010 | Minh đến Đường Nguyễn Tri Phương có hiện trạng là đường
P=2148 | X=0106.850-0209.640 | Y=0113.350-0124.510 | nhựa, bê tông xi măng:
P=2148 | X=0095.600-0329.700 | Y=0128.100-0142.010 | 6 - Có bề rộng ≥5m, cách đường giao thông >600m.
P=2148 | X=0413.550-0438.560 | Y=0128.100-0139.260 | 5.200
P=2148 | X=0449.750-0474.760 | Y=0128.100-0139.260 | 3.600
P=2148 | X=0492.550-0517.560 | Y=0128.100-0139.260 | 3.100
P=2148 | X=0106.850-0393.320 | Y=0148.350-0159.510 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >400m
P=2148 | X=0106.850-0159.560 | Y=0159.850-0171.010 | đến ≤600m.
P=2148 | X=0106.850-0329.700 | Y=0177.350-0188.510 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=2148 | X=0106.850-0391.760 | Y=0195.350-0206.510 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=2148 | X=0106.850-0391.640 | Y=0206.850-0218.010 | Đường Bùi Hữu Nghĩa đoạn từ Giáp ranh giới thành phố Hồ Chí
P=2148 | X=0106.850-0377.100 | Y=0218.350-0229.510 | Minh đến Đường Nguyễn Tri Phương có hiện trạng là đường
P=2148 | X=0095.600-0209.640 | Y=0229.850-0241.260 | 7 nhựa, bê tông xi măng:
P=2148 | X=0413.550-0438.560 | Y=0230.100-0241.260 | 3.700
P=2148 | X=0449.750-0474.760 | Y=0230.100-0241.260 | 2.600
P=2148 | X=0492.550-0517.560 | Y=0230.100-0241.260 | 2.200
P=2148 | X=0106.850-0383.860 | Y=0247.350-0258.510 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >600m.
P=2148 | X=0106.850-0332.820 | Y=0264.850-0276.010 | - Có bề rộng <3m, cách đường giao thông > 200m.
P=2148 | X=0226.600-0388.340 | Y=0282.850-0294.010 | Đường Nguyễn Tri Công an phường
P=2148 | X=0095.600-0207.320 | Y=0288.600-0299.760 | 8 Đường Bùi Hữu Nghĩa
P=2148 | X=0407.950-0474.720 | Y=0288.600-0299.760 | 30.800 21.600
P=2148 | X=0486.950-0517.520 | Y=0288.600-0299.760 | 18.500
P=2148 | X=0226.600-0263.180 | Y=0294.350-0305.510 | Phương
P=2148 | X=0312.300-0372.310 | Y=0294.350-0305.510 | Bửu Hòa (cũ)
P=2148 | X=0106.850-0394.450 | Y=0312.350-0323.510 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Bùi Hữu
P=2148 | X=0106.850-0394.370 | Y=0323.850-0335.010 | Nghĩa đoạn từ Đường Nguyễn Tri Phương đến Công an phường
P=2148 | X=0106.850-0125.760 | Y=0335.350-0346.510 | Bửu
P=2148 | X=0095.600-0354.500 | Y=0350.100-0364.010 | 9 Hòa (cũ) có hiện trạng là đường nhựa, bê tông xi măng:
P=2148 | X=0407.950-0438.520 | Y=0350.100-0361.260 | 13.000
P=2148 | X=0449.750-0474.760 | Y=0350.100-0361.260 | 9.100
P=2148 | X=0492.550-0517.560 | Y=0350.100-0361.260 | 7.800
P=2148 | X=0106.850-0329.350 | Y=0370.350-0381.510 | - Có bề rộng ≥5m, cách đường giao thông ≤600m.
P=2148 | X=0106.850-0383.510 | Y=0387.850-0399.010 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤400m.
P=2148 | X=0106.850-0394.450 | Y=0405.850-0417.010 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Bùi Hữu
P=2148 | X=0106.850-0394.370 | Y=0417.350-0428.510 | Nghĩa đoạn từ Đường Nguyễn Tri Phương đến Công an phường
P=2148 | X=0106.850-0376.250 | Y=0428.850-0440.010 | Bửu Hòa (cũ) có hiện trạng là đường nhựa, bê tông xi măng:
P=2148 | X=0092.800-0329.700 | Y=0446.350-0460.510 | 10 - Có bề rộng ≥5m, cách đường giao thông >600m.
P=2148 | X=0413.550-0438.560 | Y=0449.350-0460.510 | 8.500
P=2148 | X=0449.750-0474.760 | Y=0449.350-0460.510 | 6.000
P=2148 | X=0492.550-0517.560 | Y=0449.350-0460.510 | 5.100
P=2148 | X=0106.850-0393.320 | Y=0463.850-0475.010 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >400m
P=2148 | X=0106.850-0159.560 | Y=0475.350-0486.510 | đến ≤600m.
P=2148 | X=0106.850-0329.700 | Y=0492.850-0504.010 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=2148 | X=0106.850-0394.450 | Y=0510.850-0522.010 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Bùi Hữu
P=2148 | X=0106.850-0394.370 | Y=0522.350-0533.510 | Nghĩa đoạn từ Đường Nguyễn Tri Phương đến Công an phường
P=2148 | X=0106.850-0376.200 | Y=0533.850-0545.010 | Bửu Hòa (cũ) có hiện trạng là đường nhựa, bê tông xi măng:
P=2148 | X=0092.800-0103.920 | Y=0539.850-0551.010 | 11
P=2148 | X=0413.550-0438.560 | Y=0539.850-0551.010 | 4.600
P=2148 | X=0449.750-0474.760 | Y=0539.850-0551.010 | 3.200
P=2148 | X=0492.550-0517.560 | Y=0539.850-0551.010 | 2.800
P=2148 | X=0106.850-0383.860 | Y=0551.350-0562.510 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >600m.
P=2148 | X=0106.850-0330.040 | Y=0568.850-0580.010 | - Có bề rộng <3m, cách đường giao thông >200m.
P=2148 | X=0106.850-0391.760 | Y=0586.850-0598.010 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=2148 | X=0106.850-0389.360 | Y=0598.350-0609.510 | Đường Bùi Hữu Nghĩa đoạn từ Đường Nguyễn Tri Phương đến
P=2148 | X=0106.850-0392.250 | Y=0609.850-0621.010 | Công an phường Bửu Hòa (cũ) có hiện trạng là đường nhựa, bê
P=2148 | X=0092.800-0166.840 | Y=0621.350-0632.760 | 12 tông xi măng:
P=2148 | X=0407.950-0438.520 | Y=0621.600-0632.760 | 11.700
P=2148 | X=0449.750-0474.760 | Y=0621.600-0632.760 | 8.200
P=2148 | X=0492.550-0517.560 | Y=0621.600-0632.760 | 7.000
P=2148 | X=0106.850-0329.350 | Y=0638.850-0650.010 | - Có bề rộng ≥5m, cách đường giao thông ≤600m.
P=2148 | X=0106.850-0383.510 | Y=0656.350-0667.510 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤400m.
P=2148 | X=0092.800-0391.760 | Y=0674.350-0685.510 | 13 Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=2148 | X=0413.550-0438.560 | Y=0674.350-0685.510 | 7.700
P=2148 | X=0449.750-0474.760 | Y=0674.350-0685.510 | 5.400
P=2148 | X=0492.550-0517.560 | Y=0674.350-0685.510 | 4.600
P=2148 | X=0106.850-0389.360 | Y=0685.850-0697.010 | Đường Bùi Hữu Nghĩa đoạn từ Đường Nguyễn Tri Phương đến
P=2148 | X=0106.850-0392.250 | Y=0697.350-0708.510 | Công an phường Bửu Hòa (cũ) có hiện trạng là đường nhựa, bê
P=2149 | X=0106.850-0166.840 | Y=0078.850-0090.010 | tông xi măng:
P=2149 | X=0106.850-0329.700 | Y=0096.350-0107.510 | - Có bề rộng ≥5m, cách đường giao thông >600m.
P=2149 | X=0106.850-0393.320 | Y=0113.850-0125.010 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >400m
P=2149 | X=0106.850-0159.560 | Y=0125.350-0136.510 | đến ≤600m.
P=2149 | X=0106.850-0329.700 | Y=0142.850-0154.010 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=2149 | X=0106.850-0391.760 | Y=0160.850-0172.010 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=2149 | X=0106.850-0389.360 | Y=0172.350-0183.510 | Đường Bùi Hữu Nghĩa đoạn từ Đường Nguyễn Tri Phương đến
P=2149 | X=0106.850-0392.250 | Y=0183.850-0195.010 | Công an phường Bửu Hòa (cũ) có hiện trạng là đường nhựa, bê
P=2149 | X=0092.800-0166.840 | Y=0195.350-0206.760 | 14 tông xi măng:
P=2149 | X=0413.550-0438.560 | Y=0195.600-0206.760 | 4.100
P=2149 | X=0449.750-0474.760 | Y=0195.600-0206.760 | 2.900
P=2149 | X=0492.550-0517.560 | Y=0195.600-0206.760 | 2.500
P=2149 | X=0106.850-0383.860 | Y=0212.850-0224.010 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >600m.
P=2149 | X=0106.850-0332.820 | Y=0230.350-0241.510 | - Có bề rộng <3m, cách đường giao thông > 200m.
P=2149 | X=0226.600-0397.760 | Y=0248.350-0259.510 | Công an phường Đường Nguyễn Thị
P=2149 | X=0092.800-0207.320 | Y=0254.100-0265.260 | 15 Đường Bùi Hữu Nghĩa
P=2149 | X=0407.950-0474.720 | Y=0254.100-0265.260 | 27.200 19.000
P=2149 | X=0486.950-0517.520 | Y=0254.100-0265.260 | 16.300
P=2149 | X=0226.600-0286.610 | Y=0259.850-0271.010 | Bửu Hòa (cũ)
P=2149 | X=0312.300-0329.520 | Y=0259.850-0271.010 | Tồn
P=2149 | X=0106.850-0394.450 | Y=0277.850-0289.010 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Bùi Hữu
P=2149 | X=0106.850-0403.380 | Y=0289.350-0300.510 | Nghĩa đoạn từ Công an phường Bửu Hòa (cũ) đến Đường Nguyễn
P=2149 | X=0106.850-0350.060 | Y=0300.850-0312.010 | Thị Tồn có hiện trạng là đường nhựa, bê tông xi măng:
P=2149 | X=0092.800-0103.920 | Y=0306.850-0318.010 | 16
P=2149 | X=0407.950-0438.520 | Y=0306.850-0318.010 | 11.800
P=2149 | X=0449.750-0474.760 | Y=0306.850-0318.010 | 8.300
P=2149 | X=0492.550-0517.560 | Y=0306.850-0318.010 | 7.100
P=2149 | X=0106.850-0329.350 | Y=0318.350-0329.510 | - Có bề rộng ≥5m, cách đường giao thông ≤600m.
P=2149 | X=0106.850-0383.510 | Y=0335.850-0347.010 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤400m.
P=2149 | X=0106.850-0394.450 | Y=0353.850-0365.010 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Bùi Hữu
P=2149 | X=0106.850-0403.380 | Y=0365.350-0376.510 | Nghĩa đoạn từ Công an phường Bửu Hòa (cũ) đến Đường Nguyễn
P=2149 | X=0106.850-0350.060 | Y=0376.850-0388.010 | Thị Tồn có hiện trạng là đường nhựa, bê tông xi măng:
P=2149 | X=0092.800-0329.700 | Y=0394.350-0408.510 | 17 - Có bề rộng ≥5m, cách đường giao thông >600m.
P=2149 | X=0413.550-0438.560 | Y=0397.350-0408.510 | 5.800
P=2149 | X=0449.750-0474.760 | Y=0397.350-0408.510 | 4.100
P=2149 | X=0492.550-0517.560 | Y=0397.350-0408.510 | 3.500
P=2149 | X=0106.850-0393.320 | Y=0411.850-0423.010 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >400m
P=2149 | X=0106.850-0159.560 | Y=0423.350-0434.510 | đến ≤600m.
P=2149 | X=0106.850-0329.700 | Y=0440.850-0452.010 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=2149 | X=0106.850-0394.450 | Y=0458.850-0470.010 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Bùi Hữu
P=2149 | X=0106.850-0403.380 | Y=0470.350-0481.510 | Nghĩa đoạn từ Công an phường Bửu Hòa (cũ) đến Đường Nguyễn
P=2149 | X=0106.850-0350.060 | Y=0481.850-0493.010 | Thị Tồn có hiện trạng là đường nhựa, bê tông xi măng:
P=2149 | X=0092.800-0103.920 | Y=0487.850-0499.010 | 18
P=2149 | X=0413.550-0438.560 | Y=0487.850-0499.010 | 4.300
P=2149 | X=0449.750-0474.760 | Y=0487.850-0499.010 | 3.000
P=2149 | X=0492.550-0517.560 | Y=0487.850-0499.010 | 2.600
P=2149 | X=0106.850-0383.860 | Y=0499.350-0510.510 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >600m.
P=2149 | X=0106.850-0330.040 | Y=0516.850-0528.010 | - Có bề rộng <3m, cách đường giao thông >200m.
P=2149 | X=0106.850-0391.760 | Y=0534.850-0546.010 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=2149 | X=0106.850-0386.140 | Y=0546.350-0557.510 | Đường Bùi Hữu Nghĩa đoạn từ Công an phường Bửu Hòa (cũ)
P=2149 | X=0106.850-0400.560 | Y=0557.850-0569.010 | đến Đường Nguyễn Thị Tồn có hiện trạng là đường nhựa, bê tông
P=2149 | X=0092.800-0144.620 | Y=0569.350-0580.760 | 19 xi măng:
P=2149 | X=0407.950-0438.520 | Y=0569.600-0580.760 | 10.600
P=2149 | X=0449.750-0474.760 | Y=0569.600-0580.760 | 7.400
P=2149 | X=0492.550-0517.560 | Y=0569.600-0580.760 | 6.400
P=2149 | X=0106.850-0329.350 | Y=0586.850-0598.010 | - Có bề rộng ≥5m, cách đường giao thông ≤600m.
P=2149 | X=0106.850-0383.510 | Y=0604.350-0615.510 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤400m.
P=2149 | X=0092.800-0391.760 | Y=0622.350-0633.510 | 20 Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=2149 | X=0413.550-0438.560 | Y=0622.350-0633.510 | 5.200
P=2149 | X=0449.750-0474.760 | Y=0622.350-0633.510 | 3.600
P=2149 | X=0492.550-0517.560 | Y=0622.350-0633.510 | 3.100
P=2149 | X=0106.850-0386.140 | Y=0633.850-0645.010 | Đường Bùi Hữu Nghĩa đoạn từ Công an phường Bửu Hòa (cũ)
P=2149 | X=0106.850-0400.560 | Y=0645.350-0656.510 | đến Đường Nguyễn Thị Tồn có hiện trạng là đường nhựa, bê tông
P=2149 | X=0106.850-0144.620 | Y=0656.850-0668.010 | xi măng:
P=2149 | X=0106.850-0329.700 | Y=0674.350-0685.510 | - Có bề rộng ≥5m, cách đường giao thông >600m.
P=2149 | X=0106.850-0393.320 | Y=0691.850-0703.010 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >400m
P=2149 | X=0106.850-0159.560 | Y=0703.350-0714.510 | đến ≤600m.
P=2150 | X=0106.850-0329.700 | Y=0078.850-0090.010 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=2150 | X=0106.850-0391.760 | Y=0096.850-0108.010 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=2150 | X=0106.850-0386.140 | Y=0108.350-0119.510 | Đường Bùi Hữu Nghĩa đoạn từ Công an phường Bửu Hòa (cũ)
P=2150 | X=0106.850-0400.560 | Y=0119.850-0131.010 | đến Đường Nguyễn Thị Tồn có hiện trạng là đường nhựa, bê tông
P=2150 | X=0092.800-0144.620 | Y=0131.350-0142.760 | 21 xi măng:
P=2150 | X=0413.550-0438.560 | Y=0131.600-0142.760 | 3.900
P=2150 | X=0449.750-0474.760 | Y=0131.600-0142.760 | 2.700
P=2150 | X=0492.550-0517.560 | Y=0131.600-0142.760 | 2.300
P=2150 | X=0106.850-0383.860 | Y=0148.850-0160.010 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >600m.
P=2150 | X=0106.850-0332.820 | Y=0166.350-0177.510 | - Có bề rộng <3m, cách đường giao thông > 200m.
P=2150 | X=0226.600-0397.770 | Y=0184.350-0195.510 | Đường Nguyễn Thị Đường Huỳnh Mẫn
P=2150 | X=0092.800-0207.320 | Y=0190.100-0201.260 | 22 Đường Bùi Hữu Nghĩa
P=2150 | X=0407.950-0474.720 | Y=0190.100-0201.260 | 21.300 14.900
P=2150 | X=0486.950-0517.520 | Y=0190.100-0201.260 | 12.800
P=2150 | X=0226.600-0243.820 | Y=0195.850-0207.010 | Tồn
P=2150 | X=0312.300-0327.850 | Y=0195.850-0207.010 | Đạt
P=2150 | X=0106.850-0394.450 | Y=0213.850-0225.010 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Bùi Hữu
P=2150 | X=0106.850-0386.670 | Y=0225.350-0236.510 | Nghĩa đoạn từ Đường Nguyễn Thị Tồn đến Đường Huỳnh Mẫn
P=2150 | X=0106.850-0331.740 | Y=0236.850-0248.010 | Đạt có hiện trạng là đường nhựa, bê tông xi măng:
P=2150 | X=0092.800-0103.920 | Y=0242.850-0254.010 | 23
P=2150 | X=0407.950-0438.520 | Y=0242.850-0254.010 | 11.800
P=2150 | X=0449.750-0474.760 | Y=0242.850-0254.010 | 8.300
P=2150 | X=0492.550-0517.560 | Y=0242.850-0254.010 | 7.100
P=2150 | X=0106.850-0329.350 | Y=0254.350-0265.510 | - Có bề rộng ≥5m, cách đường giao thông ≤600m.
P=2150 | X=0106.850-0383.510 | Y=0271.850-0283.010 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤400m.
P=2150 | X=0106.850-0394.450 | Y=0289.850-0301.010 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Bùi Hữu
P=2150 | X=0106.850-0386.670 | Y=0301.350-0312.510 | Nghĩa đoạn từ Đường Nguyễn Thị Tồn đến Đường Huỳnh Mẫn
P=2150 | X=0106.850-0331.740 | Y=0312.850-0324.010 | Đạt có hiện trạng là đường nhựa, bê tông xi măng:
P=2150 | X=0092.800-0329.700 | Y=0330.350-0344.510 | 24 - Có bề rộng ≥5m, cách đường giao thông >600m.
P=2150 | X=0413.550-0438.560 | Y=0333.350-0344.510 | 5.400
P=2150 | X=0449.750-0474.760 | Y=0333.350-0344.510 | 3.800
P=2150 | X=0492.550-0517.560 | Y=0333.350-0344.510 | 3.200
P=2150 | X=0106.850-0393.320 | Y=0347.850-0359.010 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >400m
P=2150 | X=0106.850-0159.560 | Y=0359.350-0370.510 | đến ≤600m.
P=2150 | X=0106.850-0329.700 | Y=0376.850-0388.010 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=2150 | X=0106.850-0394.450 | Y=0394.850-0406.010 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Bùi Hữu
P=2150 | X=0106.850-0386.670 | Y=0406.350-0417.510 | Nghĩa đoạn từ Đường Nguyễn Thị Tồn đến Đường Huỳnh Mẫn
P=2150 | X=0106.850-0331.740 | Y=0417.850-0429.010 | Đạt có hiện trạng là đường nhựa, bê tông xi măng:
P=2150 | X=0092.800-0103.920 | Y=0423.850-0435.010 | 25
P=2150 | X=0413.550-0438.560 | Y=0423.850-0435.010 | 3.900
P=2150 | X=0449.750-0474.760 | Y=0423.850-0435.010 | 2.700
P=2150 | X=0492.550-0517.560 | Y=0423.850-0435.010 | 2.300
P=2150 | X=0106.850-0383.860 | Y=0435.350-0446.510 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >600m.
P=2150 | X=0106.850-0330.040 | Y=0452.850-0464.010 | - Có bề rộng <3m, cách đường giao thông >200m.
P=2150 | X=0106.850-0391.760 | Y=0470.850-0482.010 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=2150 | X=0106.850-0372.230 | Y=0482.350-0493.510 | Đường Bùi Hữu Nghĩa đoạn từ Đường Nguyễn Thị Tồn đến
P=2150 | X=0106.850-0389.440 | Y=0493.850-0505.010 | Đường Huỳnh Mẫn Đạt có hiện trạng là đường nhựa, bê tông xi
P=2150 | X=0092.800-0134.630 | Y=0505.350-0516.760 | 26 măng:
P=2150 | X=0407.950-0438.520 | Y=0505.600-0516.760 | 10.600
P=2150 | X=0449.750-0474.760 | Y=0505.600-0516.760 | 7.400
P=2150 | X=0492.550-0517.560 | Y=0505.600-0516.760 | 6.400
P=2150 | X=0106.850-0329.350 | Y=0522.850-0534.010 | - Có bề rộng ≥5m, cách đường giao thông ≤600m.
P=2150 | X=0106.850-0383.510 | Y=0540.350-0551.510 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤400m.
P=2150 | X=0106.850-0391.760 | Y=0558.350-0569.510 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=2150 | X=0106.850-0372.230 | Y=0569.850-0581.010 | Đường Bùi Hữu Nghĩa đoạn từ Đường Nguyễn Thị Tồn đến
P=2150 | X=0106.850-0389.440 | Y=0581.350-0592.510 | Đường Huỳnh Mẫn Đạt có hiện trạng là đường nhựa, bê tông xi
P=2150 | X=0106.850-0134.630 | Y=0592.850-0604.010 | măng:
