TABLE=046 | AREA=Xã Phú Hòa
--- SEQUENCE=10 | SECTION=non-agricultural | PAGES=5777-5780 | LINES=93 ---
P=5778 | X=0090.100-0496.360 | Y=0254.010-0267.970 | BĐĐC số 3 về bên trái và hết ranh thửa đất số 785 tờ BĐĐC số 3 về
P=5778 | X=0090.100-0147.040 | Y=0268.010-0281.970 | bên phải)
P=5778 | X=0090.100-0124.430 | Y=0282.010-0295.970 | 3.300
P=5778 | X=0090.100-0097.730 | Y=0310.010-0323.970 | 2
P=5778 | X=0090.100-0364.220 | Y=0324.010-0337.970 | Khu tái định cư (15 ha) (thị trấn Tân Phú (cũ))
P=5778 | X=0090.100-0518.380 | Y=0380.010-0393.970 | Đường Hùng Vương (từ đường Nguyễn Chí Thanh đến đường Lý Thường
P=5778 | X=0090.100-0247.060 | Y=0394.010-0407.970 | Kiệt trong khu tái định cư)
P=5778 | X=0090.100-0124.430 | Y=0408.010-0421.970 | 2.600
P=5778 | X=0090.100-0509.970 | Y=0450.010-0463.970 | Đường Nguyễn Tri Phương (từ đường Nguyễn Chí Thanh đến đường Lý
P=5778 | X=0090.100-0295.910 | Y=0464.010-0477.970 | Thường Kiệt trong khu tái định cư)
P=5778 | X=0090.100-0124.430 | Y=0478.010-0491.970 | 2.600
P=5778 | X=0090.100-0493.580 | Y=0520.010-0533.970 | Đường Nguyễn Chí Thanh (từ đường Hùng Vương đến đường Lê Đại
P=5778 | X=0090.100-0255.340 | Y=0534.010-0547.970 | Hành trong khu tái định cư)
P=5778 | X=0090.100-0124.430 | Y=0548.010-0561.970 | 3.300
P=5778 | X=0090.100-0508.030 | Y=0590.010-0603.970 | Đường Lý Thường Kiệt (từ đường Hùng Vương đến đường Lê Đại Hành
P=5778 | X=0090.100-0219.980 | Y=0604.010-0617.970 | trong khu tái định cư)
P=5778 | X=0090.100-0124.430 | Y=0618.010-0631.970 | 3.300
P=5778 | X=0090.100-0517.610 | Y=0660.010-0673.970 | Đường Lê Đại Hành (từ đường Nguyễn Chí Thanh đến đường Lý Thường
P=5778 | X=0090.100-0247.060 | Y=0674.010-0687.970 | Kiệt trong khu tái định cư)
P=5778 | X=0090.100-0124.430 | Y=0688.010-0701.970 | 2.600
P=5779 | X=0090.100-0321.550 | Y=0086.010-0099.970 | Đường D1, D2, D3, D4, D5, D6, D7, D8
P=5779 | X=0090.100-0124.430 | Y=0100.010-0113.970 | 1.600
P=5779 | X=0090.100-0237.840 | Y=0142.010-0155.970 | Đường N4, N5, N12, N13
P=5779 | X=0090.100-0124.430 | Y=0156.010-0169.970 | 1.600
P=5779 | X=0090.100-0422.620 | Y=0198.010-0211.970 | Đường N1, N2, N3, N6, N7, N8, N9, N10, N14, N15, N16
P=5779 | X=0090.100-0124.430 | Y=0212.010-0225.970 | 1.600
P=5779 | X=0090.100-0197.070 | Y=0254.010-0267.970 | Các đường còn lại
P=5779 | X=0090.100-0124.430 | Y=0268.010-0281.970 | 1.600
P=5779 | X=0090.100-0144.650 | Y=0310.010-0323.970 | Xã Trị An
P=5779 | X=0090.100-0097.730 | Y=0352.010-0365.970 | 1
P=5779 | X=0090.100-0359.440 | Y=0366.010-0379.970 | Khu định cư khu phố 8 (thị trấn Vĩnh An (cũ))
P=5779 | X=0090.100-0511.650 | Y=0422.010-0435.970 | Đường Phan Chu Trinh (ĐT 768), đoạn từ đường Quang Trung đến ngã
P=5779 | X=0090.100-0157.760 | Y=0436.010-0449.970 | ba Điện lực
P=5779 | X=0090.100-0124.430 | Y=0450.010-0463.970 | 3.600
P=5779 | X=0090.100-0517.430 | Y=0492.010-0505.970 | Đường Nguyễn Tất Thành (ĐT 767) (Đoạn từ ngã tư Đập Tràn đến cổng
P=5779 | X=0090.100-0243.400 | Y=0506.010-0519.970 | Công ty Thủy điện Trị An)
P=5779 | X=0090.100-0124.430 | Y=0520.010-0533.970 | 4.100
P=5779 | X=0090.100-0197.070 | Y=0562.010-0575.970 | Các đường còn lại
P=5779 | X=0090.100-0124.430 | Y=0576.010-0589.970 | 2.100
P=5779 | X=0090.100-0097.730 | Y=0604.010-0617.970 | 2
P=5779 | X=0090.100-0274.180 | Y=0618.010-0631.970 | Khu tái định cư (cũ) (xã Trị An)
P=5779 | X=0090.100-0215.560 | Y=0674.010-0687.970 | Đường Xóm Mới ấp 3
P=5779 | X=0090.100-0113.000 | Y=0688.010-0701.970 | 880
P=5780 | X=0090.100-0283.870 | Y=0086.010-0099.970 | Các đường trong Khu tái định cư
P=5780 | X=0090.100-0113.000 | Y=0100.010-0113.970 | 620
P=5780 | X=0090.100-0097.730 | Y=0128.010-0141.970 | 3
P=5780 | X=0090.100-0343.190 | Y=0142.010-0155.970 | Khu tái định cư ((cũ) (mở rộng))(xã Trị An)
P=5780 | X=0090.100-0215.560 | Y=0198.010-0211.970 | Đường Xóm Mới ấp 3
P=5780 | X=0090.100-0113.000 | Y=0212.010-0225.970 | 880
P=5780 | X=0090.100-0197.070 | Y=0254.010-0267.970 | Các đường còn lại
P=5780 | X=0090.100-0113.000 | Y=0268.010-0281.970 | 620
P=5780 | X=0090.100-0097.730 | Y=0296.010-0309.970 | 4
P=5780 | X=0090.100-0359.440 | Y=0310.010-0323.970 | Khu định cư khu phố 1 (thị trấn Vĩnh An (cũ))
P=5780 | X=0090.100-0182.970 | Y=0366.010-0379.970 | Đường Lê Duẩn
P=5780 | X=0090.100-0124.430 | Y=0380.010-0393.970 | 2.600
P=5780 | X=0090.100-0197.070 | Y=0422.010-0435.970 | Các đường còn lại
P=5780 | X=0090.100-0124.430 | Y=0436.010-0449.970 | 1.500
P=5780 | X=0090.100-0151.330 | Y=0478.010-0491.970 | Xã Tân An
P=5780 | X=0090.100-0097.730 | Y=0520.010-0533.970 | 1
P=5780 | X=0090.100-0283.580 | Y=0534.010-0547.970 | Khu định cư 0,87 ha (xã Tân An)
P=5780 | X=0090.100-0509.800 | Y=0590.010-0603.970 | Đường Cộ - Cây Xoài (Đoạn từ Đường tỉnh 768 đến hết khu tái định cư
P=5780 | X=0090.100-0196.500 | Y=0604.010-0617.970 | 3,8 ha xã Tân An)
P=5780 | X=0090.100-0124.430 | Y=0618.010-0631.970 | 2.800
P=5780 | X=0090.100-0097.730 | Y=0646.010-0659.970 | 2
P=5780 | X=0090.100-0275.950 | Y=0660.010-0673.970 | Khu định cư 3,8 ha (xã Tân An)
--- SEQUENCE=11 | SECTION=agricultural | PAGES=5975-5975 | LINES=27 ---
P=5975 | X=0090.100-0243.490 | Y=0072.010-0085.970 | Đường Phú Lợi - Gia Canh
P=5975 | X=0090.100-0311.200 | Y=0114.010-0127.970 | Đường ngã ba Phú Lợi - Phú Hòa (cũ)
P=5975 | X=0090.100-0243.490 | Y=0128.010-0141.970 | Đường Phú Lợi - Gia Canh
P=5975 | X=0090.100-0222.190 | Y=0142.010-0155.970 | Hết UBND xã Phú Hòa
P=5975 | X=0090.100-0311.200 | Y=0184.010-0197.970 | Đường ngã ba Phú Lợi - Phú Hòa (cũ)
P=5975 | X=0090.100-0222.190 | Y=0198.010-0211.970 | Hết UBND xã Phú Hòa
P=5975 | X=0090.100-0223.190 | Y=0212.010-0225.970 | Hết cây xăng Phú Hòa
P=5975 | X=0090.100-0302.430 | Y=0254.010-0267.970 | Đường liên xã Định Quán - Phú Hòa
P=5975 | X=0090.100-0234.570 | Y=0268.010-0281.970 | Giáp ranh xã Định Quán
P=5975 | X=0090.100-0285.230 | Y=0282.010-0295.970 | Đường Ngã ba Phú Lợi - Phú Hòa
P=5975 | X=0090.100-0184.870 | Y=0324.010-0337.970 | Đường ĐT 774B
P=5975 | X=0090.100-0172.430 | Y=0338.010-0351.970 | Đường Trà Cổ
P=5975 | X=0090.100-0213.020 | Y=0352.010-0365.970 | hết ranh xã Phú Hòa
P=5975 | X=0090.100-0229.430 | Y=0394.010-0407.970 | Đường 120 đi Gia Canh
P=5975 | X=0090.100-0238.750 | Y=0408.010-0421.970 | Đường Phú Lợi - Phú Hòa
P=5975 | X=0090.100-0186.670 | Y=0422.010-0435.970 | Hết đường nhựa
P=5975 | X=0090.100-0243.490 | Y=0464.010-0477.970 | Đường Phú Lợi - Gia Canh
P=5975 | X=0090.100-0238.750 | Y=0478.010-0491.970 | Đường Phú Lợi - Phú Hòa
P=5975 | X=0090.100-0213.020 | Y=0492.010-0505.970 | hết ranh xã Phú Hòa
P=5975 | X=0090.100-0105.360 | Y=0520.010-0533.970 | 47
P=5975 | X=0090.100-0173.260 | Y=0534.010-0547.970 | Xã Thanh Sơn
P=5975 | X=0090.100-0396.150 | Y=0604.010-0617.970 | Đường Thanh Sơn (Phía rẽ phải từ ngã ba Bến phà)
P=5975 | X=0090.100-0186.150 | Y=0618.010-0631.970 | Ngã ba Bến phà
P=5975 | X=0090.100-0182.420 | Y=0632.010-0645.970 | Ngã ba Lô Năm
P=5975 | X=0090.100-0396.150 | Y=0674.010-0687.970 | Đường Thanh Sơn (Phía rẽ phải từ ngã ba Bến phà)
P=5975 | X=0090.100-0182.420 | Y=0688.010-0701.970 | Ngã ba Lô Năm
P=5975 | X=0090.100-0465.030 | Y=0702.010-0715.970 | Ngã ba đường mới (đến Trường Mầm non Hướng Dương+60m)
