TABLE=041 | AREA=Xã Gia Kiệm
--- SEQUENCE=3 | SECTION=agricultural | PAGES=732-940 | LINES=13531 ---
P=0732 | X=0106.600-0330.820 | Y=0707.350-0718.510 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0733 | X=0106.600-0425.860 | Y=0078.600-0089.760 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra Đường
P=0733 | X=0106.600-0422.630 | Y=0090.100-0101.260 | Lạc Sơn - Xuân Thiện đoạn từ Đoạn 2536m đến Cây xăng Hoàng Minh
P=0733 | X=0106.600-0333.150 | Y=0101.600-0112.760 | Việt có hiện trạng là đường nhựa, bê tông xi măng:
P=0733 | X=0090.050-0106.240 | Y=0107.600-0118.760 | 133
P=0733 | X=0457.050-0473.240 | Y=0107.600-0118.760 | 150
P=0733 | X=0505.550-0521.740 | Y=0107.600-0118.760 | 140
P=0733 | X=0106.600-0394.060 | Y=0119.100-0130.260 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >1.000m.
P=0733 | X=0106.600-0333.850 | Y=0136.600-0147.760 | - Có bề rộng <3m, cách đường giao thông > 200m.
P=0733 | X=0244.750-0319.210 | Y=0154.350-0165.510 | Cây xăng Hoàng
P=0733 | X=0338.150-0422.880 | Y=0154.350-0165.510 | Đường Đông Kim -
P=0733 | X=0090.050-0239.210 | Y=0160.100-0171.260 | 134Đường Lạc Sơn - Xuân Thiện
P=0733 | X=0457.050-0473.240 | Y=0160.100-0171.260 | 410
P=0733 | X=0505.550-0521.740 | Y=0160.100-0171.260 | 350
P=0733 | X=0244.750-0286.120 | Y=0165.850-0177.010 | Minh Việt
P=0733 | X=0338.150-0389.260 | Y=0165.850-0177.010 | Xuân Thiện
P=0733 | X=0106.600-0401.280 | Y=0183.600-0194.760 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Lạc Sơn -
P=0733 | X=0106.600-0423.130 | Y=0195.100-0206.260 | Xuân Thiện đoạn từ Cây xăng Hoàng Minh Việt đến Đường Đông Kim -
P=0733 | X=0106.600-0367.060 | Y=0206.600-0217.760 | Xuân Thiện có hiện trạng là đường nhựa, bê tông xi măng:
P=0733 | X=0090.050-0106.240 | Y=0212.600-0223.760 | 135
P=0733 | X=0457.050-0473.240 | Y=0212.600-0223.760 | 260
P=0733 | X=0505.550-0521.740 | Y=0212.600-0223.760 | 230
P=0733 | X=0106.600-0338.610 | Y=0224.100-0235.260 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=0733 | X=0106.600-0385.570 | Y=0241.600-0252.760 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=0733 | X=0106.600-0401.280 | Y=0259.350-0270.510 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Lạc Sơn -
P=0733 | X=0106.600-0423.130 | Y=0270.850-0282.010 | Xuân Thiện đoạn từ Cây xăng Hoàng Minh Việt đến Đường Đông Kim -
P=0733 | X=0106.600-0367.060 | Y=0282.350-0293.510 | Xuân Thiện có hiện trạng là đường nhựa, bê tông xi măng:
P=0733 | X=0090.050-0338.960 | Y=0299.850-0314.010 | 136 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=0733 | X=0457.050-0473.240 | Y=0302.850-0314.010 | 210
P=0733 | X=0505.550-0521.740 | Y=0302.850-0314.010 | 190
P=0733 | X=0106.600-0416.080 | Y=0317.350-0328.510 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >500m đến
P=0733 | X=0106.600-0147.510 | Y=0328.850-0340.010 | ≤1.000m.
P=0733 | X=0106.600-0330.820 | Y=0346.350-0357.510 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0733 | X=0106.600-0401.280 | Y=0364.100-0375.260 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Lạc Sơn -
P=0733 | X=0106.600-0423.130 | Y=0375.600-0386.760 | Xuân Thiện đoạn từ Cây xăng Hoàng Minh Việt đến Đường Đông Kim -
P=0733 | X=0106.600-0367.060 | Y=0387.100-0398.260 | Xuân Thiện có hiện trạng là đường nhựa, bê tông xi măng:
P=0733 | X=0090.050-0106.240 | Y=0393.100-0404.260 | 137
P=0733 | X=0457.050-0473.240 | Y=0393.100-0404.260 | 150
P=0733 | X=0505.550-0521.740 | Y=0393.100-0404.260 | 140
P=0733 | X=0106.600-0394.060 | Y=0404.600-0415.760 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >1.000m.
P=0733 | X=0106.600-0331.180 | Y=0422.100-0433.260 | - Có bề rộng <3m, cách đường giao thông >200m.
P=0733 | X=0106.600-0425.860 | Y=0439.850-0451.010 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra Đường
P=0733 | X=0106.600-0416.950 | Y=0451.350-0462.510 | Lạc Sơn - Xuân Thiện đoạn từ Cây xăng Hoàng Minh Việt đến Đường
P=0733 | X=0106.600-0419.820 | Y=0462.850-0474.010 | Đông Kim - Xuân Thiện có hiện trạng là đường nhựa, bê tông xi măng:
P=0733 | X=0090.050-0106.240 | Y=0468.850-0480.010 | 138
P=0733 | X=0457.050-0473.240 | Y=0468.850-0480.010 | 260
P=0733 | X=0505.550-0521.740 | Y=0468.850-0480.010 | 230
P=0733 | X=0106.600-0338.610 | Y=0480.350-0491.510 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=0733 | X=0106.600-0385.570 | Y=0497.850-0509.010 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=0733 | X=0106.600-0425.860 | Y=0515.600-0526.760 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra Đường
P=0733 | X=0106.600-0416.950 | Y=0527.100-0538.260 | Lạc Sơn - Xuân Thiện đoạn từ Cây xăng Hoàng Minh Việt đến Đường
P=0733 | X=0106.600-0419.820 | Y=0538.600-0549.760 | Đông Kim - Xuân Thiện có hiện trạng là đường nhựa, bê tông xi măng:
P=0733 | X=0090.050-0338.960 | Y=0556.100-0570.260 | 139 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=0733 | X=0457.050-0473.240 | Y=0559.100-0570.260 | 210
P=0733 | X=0505.550-0521.740 | Y=0559.100-0570.260 | 190
P=0733 | X=0106.600-0416.080 | Y=0573.600-0584.760 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >500m đến
P=0733 | X=0106.600-0147.510 | Y=0585.100-0596.260 | ≤1.000m.
P=0733 | X=0106.600-0330.820 | Y=0602.600-0613.760 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0733 | X=0106.600-0425.860 | Y=0620.350-0631.510 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra Đường
P=0733 | X=0106.600-0416.950 | Y=0631.850-0643.010 | Lạc Sơn - Xuân Thiện đoạn từ Cây xăng Hoàng Minh Việt đến Đường
P=0733 | X=0106.600-0419.820 | Y=0643.350-0654.510 | Đông Kim - Xuân Thiện có hiện trạng là đường nhựa, bê tông xi măng:
P=0733 | X=0090.050-0106.240 | Y=0649.350-0660.510 | 140
P=0733 | X=0457.050-0473.240 | Y=0649.350-0660.510 | 150
P=0733 | X=0505.550-0521.740 | Y=0649.350-0660.510 | 140
P=0733 | X=0106.600-0394.060 | Y=0660.850-0672.010 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >1.000m.
P=0733 | X=0106.600-0333.850 | Y=0678.350-0689.510 | - Có bề rộng <3m, cách đường giao thông > 200m.
P=0733 | X=0106.600-0217.590 | Y=0696.100-0707.260 | Đường Đông Kim - Xuân
P=0733 | X=0244.750-0320.800 | Y=0696.100-0707.260 | Giáp ranh xã Gia
P=0733 | X=0338.150-0416.780 | Y=0696.100-0707.260 | Đường Lạc Sơn -
P=0733 | X=0090.050-0106.240 | Y=0701.850-0713.010 | 141
P=0733 | X=0457.050-0473.240 | Y=0701.850-0713.010 | 410
P=0733 | X=0505.550-0521.740 | Y=0701.850-0713.010 | 350
P=0733 | X=0106.600-0131.600 | Y=0707.600-0718.760 | Thiện
P=0733 | X=0244.750-0266.930 | Y=0707.600-0718.760 | Kiệm
P=0733 | X=0338.150-0389.260 | Y=0707.600-0718.760 | Xuân Thiện
P=0734 | X=0106.600-0407.500 | Y=0078.600-0089.760 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Đông Kim -
P=0734 | X=0106.600-0399.140 | Y=0090.100-0101.260 | Xuân Thiện đoạn từ Giáp ranh xã Gia Kiệm đến Đường Lạc Sơn -
P=0734 | X=0106.600-0367.060 | Y=0101.600-0112.760 | Xuân Thiện có hiện trạng là đường nhựa, bê tông xi măng:
P=0734 | X=0090.050-0106.240 | Y=0107.600-0118.760 | 142
P=0734 | X=0457.050-0473.240 | Y=0107.600-0118.760 | 260
P=0734 | X=0505.550-0521.740 | Y=0107.600-0118.760 | 230
P=0734 | X=0106.600-0338.610 | Y=0119.100-0130.260 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=0734 | X=0106.600-0385.570 | Y=0136.600-0147.760 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=0734 | X=0106.600-0407.500 | Y=0154.350-0165.510 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Đông Kim -
P=0734 | X=0106.600-0399.140 | Y=0165.850-0177.010 | Xuân Thiện đoạn từ Giáp ranh xã Gia Kiệm đến Đường Lạc Sơn -
P=0734 | X=0106.600-0367.060 | Y=0177.350-0188.510 | Xuân Thiện có hiện trạng là đường nhựa, bê tông xi măng:
P=0734 | X=0090.050-0338.960 | Y=0194.850-0209.010 | 143 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=0734 | X=0457.050-0473.240 | Y=0197.850-0209.010 | 210
P=0734 | X=0505.550-0521.740 | Y=0197.850-0209.010 | 190
P=0734 | X=0106.600-0416.080 | Y=0212.350-0223.510 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >500m đến
P=0734 | X=0106.600-0147.510 | Y=0223.850-0235.010 | ≤1.000m.
P=0734 | X=0106.600-0330.820 | Y=0241.350-0252.510 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0734 | X=0106.600-0407.500 | Y=0259.100-0270.260 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Đông Kim -
P=0734 | X=0106.600-0399.140 | Y=0270.600-0281.760 | Xuân Thiện đoạn từ Giáp ranh xã Gia Kiệm đến Đường Lạc Sơn -
P=0734 | X=0106.600-0367.060 | Y=0282.100-0293.260 | Xuân Thiện có hiện trạng là đường nhựa, bê tông xi măng:
P=0734 | X=0090.050-0106.240 | Y=0288.100-0299.260 | 144
P=0734 | X=0457.050-0473.240 | Y=0288.100-0299.260 | 150
P=0734 | X=0505.550-0521.740 | Y=0288.100-0299.260 | 140
P=0734 | X=0106.600-0394.060 | Y=0299.600-0310.760 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >1.000m.
P=0734 | X=0106.600-0331.180 | Y=0317.100-0328.260 | - Có bề rộng <3m, cách đường giao thông >200m.
P=0734 | X=0106.600-0425.860 | Y=0334.850-0346.010 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra Đường
P=0734 | X=0106.600-0424.260 | Y=0346.350-0357.510 | Đông Kim - Xuân Thiện đoạn từ Giáp ranh xã Gia Kiệm đến Đường Lạc
P=0734 | X=0106.600-0394.690 | Y=0357.850-0369.010 | Sơn - Xuân Thiện có hiện trạng là đường nhựa, bê tông xi măng:
P=0734 | X=0090.050-0106.240 | Y=0363.850-0375.010 | 145
P=0734 | X=0457.050-0473.240 | Y=0363.850-0375.010 | 260
P=0734 | X=0505.550-0521.740 | Y=0363.850-0375.010 | 230
P=0734 | X=0106.600-0338.610 | Y=0375.350-0386.510 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=0734 | X=0106.600-0385.570 | Y=0392.850-0404.010 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=0734 | X=0106.600-0425.860 | Y=0410.600-0421.760 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra Đường
P=0734 | X=0106.600-0424.260 | Y=0422.100-0433.260 | Đông Kim - Xuân Thiện đoạn từ Giáp ranh xã Gia Kiệm đến Đường Lạc
P=0734 | X=0106.600-0394.690 | Y=0433.600-0444.760 | Sơn - Xuân Thiện có hiện trạng là đường nhựa, bê tông xi măng:
P=0734 | X=0090.050-0338.960 | Y=0451.100-0465.260 | 146 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=0734 | X=0457.050-0473.240 | Y=0454.100-0465.260 | 210
P=0734 | X=0505.550-0521.740 | Y=0454.100-0465.260 | 190
P=0734 | X=0106.600-0416.080 | Y=0468.600-0479.760 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >500m đến
P=0734 | X=0106.600-0147.510 | Y=0480.100-0491.260 | ≤1.000m.
P=0734 | X=0106.600-0330.820 | Y=0497.600-0508.760 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0734 | X=0106.600-0425.860 | Y=0515.350-0526.510 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra Đường
P=0734 | X=0106.600-0424.260 | Y=0526.850-0538.010 | Đông Kim - Xuân Thiện đoạn từ Giáp ranh xã Gia Kiệm đến Đường Lạc
P=0734 | X=0106.600-0394.690 | Y=0538.350-0549.510 | Sơn - Xuân Thiện có hiện trạng là đường nhựa, bê tông xi măng:
P=0734 | X=0090.050-0106.240 | Y=0544.350-0555.510 | 147
P=0734 | X=0457.050-0473.240 | Y=0544.350-0555.510 | 150
P=0734 | X=0505.550-0521.740 | Y=0544.350-0555.510 | 140
P=0734 | X=0106.600-0394.060 | Y=0555.850-0567.010 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >1.000m.
P=0734 | X=0106.600-0333.850 | Y=0573.350-0584.510 | - Có bề rộng <3m, cách đường giao thông > 200m.
P=0734 | X=0338.150-0420.180 | Y=0591.100-0602.260 | Cầu Suối Đá (giáp
P=0734 | X=0106.600-0217.590 | Y=0596.850-0608.010 | Đường Đông Kim - Xuân
P=0734 | X=0244.750-0323.380 | Y=0596.850-0608.010 | Đường Lạc Sơn -
P=0734 | X=0090.050-0106.240 | Y=0602.600-0613.760 | 148
P=0734 | X=0338.150-0422.110 | Y=0602.600-0613.760 | đường Xuân Thiện
P=0734 | X=0457.050-0473.240 | Y=0602.600-0613.760 | 410
P=0734 | X=0505.550-0521.740 | Y=0602.600-0613.760 | 350
P=0734 | X=0106.600-0131.600 | Y=0608.350-0619.510 | Thiện
P=0734 | X=0244.750-0295.860 | Y=0608.350-0619.510 | Xuân Thiện
P=0734 | X=0338.150-0390.620 | Y=0614.100-0625.260 | – Suối Nho)
P=0734 | X=0106.600-0407.500 | Y=0631.850-0643.010 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Đông Kim -
P=0734 | X=0106.600-0409.090 | Y=0643.350-0654.510 | Xuân Thiện đoạn từ Đường Lạc Sơn - Xuân Thiện đến Cầu Suối Đá
P=0734 | X=0106.600-0417.540 | Y=0654.850-0666.010 | (giáp đường Xuân Thiện – Suối Nho) có hiện trạng là đường nhựa, bê
P=0734 | X=0090.050-0166.590 | Y=0666.350-0677.760 | 149 tông xi măng:
P=0734 | X=0457.050-0473.240 | Y=0666.600-0677.760 | 260
P=0734 | X=0505.550-0521.740 | Y=0666.600-0677.760 | 230
P=0734 | X=0106.600-0338.610 | Y=0683.850-0695.010 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=0734 | X=0106.600-0385.570 | Y=0701.350-0712.510 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=0735 | X=0106.600-0407.500 | Y=0078.600-0089.760 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Đông Kim -
P=0735 | X=0106.600-0409.090 | Y=0090.100-0101.260 | Xuân Thiện đoạn từ Đường Lạc Sơn - Xuân Thiện đến Cầu Suối Đá
P=0735 | X=0106.600-0417.540 | Y=0101.600-0112.760 | (giáp đường Xuân Thiện – Suối Nho) có hiện trạng là đường nhựa, bê
P=0735 | X=0106.600-0166.590 | Y=0113.100-0124.260 | tông xi măng:
P=0735 | X=0090.050-0338.960 | Y=0127.850-0141.760 | 150 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=0735 | X=0457.050-0473.240 | Y=0127.850-0139.010 | 210
P=0735 | X=0505.550-0521.740 | Y=0127.850-0139.010 | 190
P=0735 | X=0106.600-0416.080 | Y=0148.100-0159.260 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >500m đến
P=0735 | X=0106.600-0147.510 | Y=0159.600-0170.760 | ≤1.000m.
P=0735 | X=0106.600-0330.820 | Y=0177.100-0188.260 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0735 | X=0106.600-0407.500 | Y=0194.850-0206.010 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Đông Kim -
P=0735 | X=0106.600-0409.090 | Y=0206.350-0217.510 | Xuân Thiện đoạn từ Đường Lạc Sơn - Xuân Thiện đến Cầu Suối Đá
P=0735 | X=0106.600-0417.540 | Y=0217.850-0229.010 | (giáp đường Xuân Thiện – Suối Nho) có hiện trạng là đường nhựa, bê
P=0735 | X=0090.050-0166.590 | Y=0229.350-0240.760 | 151 tông xi măng:
P=0735 | X=0457.050-0473.240 | Y=0229.600-0240.760 | 150
P=0735 | X=0505.550-0521.740 | Y=0229.600-0240.760 | 140
P=0735 | X=0106.600-0394.060 | Y=0246.850-0258.010 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >1.000m.
P=0735 | X=0106.600-0331.180 | Y=0264.350-0275.510 | - Có bề rộng <3m, cách đường giao thông >200m.
P=0735 | X=0106.600-0425.860 | Y=0282.100-0293.260 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra Đường
P=0735 | X=0106.600-0423.050 | Y=0293.600-0304.760 | Đông Kim - Xuân Thiện đoạn từ Đường Lạc Sơn - Xuân Thiện đến Cầu
P=0735 | X=0106.600-0417.220 | Y=0305.100-0316.260 | Suối Đá (giáp đường Xuân Thiện – Suối Nho) có hiện trạng là đường
P=0735 | X=0090.050-0210.780 | Y=0316.600-0328.010 | 152 nhựa, bê tông xi măng:
P=0735 | X=0457.050-0473.240 | Y=0316.850-0328.010 | 260
P=0735 | X=0505.550-0521.740 | Y=0316.850-0328.010 | 230
P=0735 | X=0106.600-0338.610 | Y=0334.100-0345.260 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=0735 | X=0106.600-0385.570 | Y=0351.600-0362.760 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=0735 | X=0106.600-0425.860 | Y=0369.350-0380.510 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra Đường
P=0735 | X=0106.600-0423.050 | Y=0380.850-0392.010 | Đông Kim - Xuân Thiện đoạn từ Đường Lạc Sơn - Xuân Thiện đến Cầu
P=0735 | X=0106.600-0417.220 | Y=0392.350-0403.510 | Suối Đá (giáp đường Xuân Thiện – Suối Nho) có hiện trạng là đường
P=0735 | X=0106.600-0210.780 | Y=0403.850-0415.010 | nhựa, bê tông xi măng:
P=0735 | X=0090.050-0338.960 | Y=0418.600-0432.510 | 153 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=0735 | X=0457.050-0473.240 | Y=0418.600-0429.760 | 210
P=0735 | X=0505.550-0521.740 | Y=0418.600-0429.760 | 190
P=0735 | X=0106.600-0416.080 | Y=0438.850-0450.010 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >500m đến
P=0735 | X=0106.600-0147.510 | Y=0450.350-0461.510 | ≤1.000m.
P=0735 | X=0106.600-0330.820 | Y=0467.850-0479.010 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0735 | X=0106.600-0425.860 | Y=0485.600-0496.760 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra Đường
P=0735 | X=0106.600-0423.050 | Y=0497.100-0508.260 | Đông Kim - Xuân Thiện đoạn từ Đường Lạc Sơn - Xuân Thiện đến Cầu
P=0735 | X=0106.600-0417.220 | Y=0508.600-0519.760 | Suối Đá (giáp đường Xuân Thiện – Suối Nho) có hiện trạng là đường
P=0735 | X=0090.050-0210.780 | Y=0520.100-0531.510 | 154 nhựa, bê tông xi măng:
P=0735 | X=0457.050-0473.240 | Y=0520.350-0531.510 | 150
P=0735 | X=0505.550-0521.740 | Y=0520.350-0531.510 | 140
P=0735 | X=0106.600-0394.060 | Y=0537.600-0548.760 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >1.000m.
P=0735 | X=0106.600-0333.850 | Y=0555.100-0566.260 | - Có bề rộng <3m, cách đường giao thông > 200m.
