TABLE=023 | AREA=Phường Bình Lộc | SECTION=non-agricultural | SEGMENTS=1
P=0755 | X=0208.150-0229.020 | Y=0366.060-0375.380 | Giây
P=0755 | X=0297.240-0336.840 | Y=0366.060-0375.380 | Bình Lộc
P=0755 | X=0115.970-0375.580 | Y=0382.200-0393.440 | Các tuyến đường giao thông đấu nối trực tiếp ra Quốc lộ 1
P=0755 | X=0115.970-0382.990 | Y=0393.720-0404.960 | đoạn từ Giáp ranh xã Dầu Giây đến Giáp ranh phường Bình
P=0755 | X=0115.970-0341.770 | Y=0405.240-0416.480 | Lộc có hiện trạng là đường nhựa, bê tông xi măng:
P=0755 | X=0099.890-0105.490 | Y=0413.120-0422.440 | 2
P=0755 | X=0404.780-0429.830 | Y=0413.120-0422.440 | 1.700
P=0755 | X=0441.530-0466.580 | Y=0413.120-0422.440 | 1.200
P=0755 | X=0497.230-0522.280 | Y=0413.120-0422.440 | 1.000
P=0755 | X=0115.970-0338.880 | Y=0422.760-0434.000 | - Có bề rộng ≥5m, cách đường giao thông ≤600m.
P=0755 | X=0115.970-0393.160 | Y=0440.280-0451.520 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤400m.
P=0755 | X=0115.970-0375.580 | Y=0458.300-0469.540 | Các tuyến đường giao thông đấu nối trực tiếp ra Quốc lộ 1
P=0755 | X=0115.970-0382.990 | Y=0469.820-0481.060 | đoạn từ Giáp ranh xã Dầu Giây đến Giáp ranh phường Bình
P=0755 | X=0115.970-0341.770 | Y=0481.340-0492.580 | Lộc có hiện trạng là đường nhựa, bê tông xi măng:
P=0755 | X=0115.970-0339.140 | Y=0498.860-0510.100 | - Có bề rộng ≥5m, cách đường giao thông >600m.
P=0755 | X=0099.890-0105.490 | Y=0503.620-0512.940 | 3
P=0755 | X=0404.780-0429.830 | Y=0503.620-0512.940 | 1.100
P=0755 | X=0449.690-0466.330 | Y=0503.620-0512.940 | 770
P=0755 | X=0505.390-0522.030 | Y=0503.620-0512.940 | 660
P=0755 | X=0115.970-0369.280 | Y=0516.380-0527.620 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=0755 | X=0115.970-0202.540 | Y=0527.900-0539.140 | >400m đến ≤600m.
P=0755 | X=0115.970-0339.140 | Y=0545.450-0556.690 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0755 | X=0115.970-0375.580 | Y=0563.450-0574.690 | Các tuyến đường giao thông đấu nối trực tiếp ra Quốc lộ 1
P=0755 | X=0115.970-0382.990 | Y=0574.970-0586.210 | đoạn từ Giáp ranh xã Dầu Giây đến Giáp ranh phường Bình
P=0755 | X=0115.970-0341.770 | Y=0586.250-0597.490 | Lộc có hiện trạng là đường nhựa, bê tông xi măng:
P=0755 | X=0099.890-0105.490 | Y=0594.130-0603.450 | 4
P=0755 | X=0412.940-0429.580 | Y=0594.130-0603.450 | 780
P=0755 | X=0449.690-0466.330 | Y=0594.130-0603.450 | 550
P=0755 | X=0505.390-0522.030 | Y=0594.130-0603.450 | 470
P=0755 | X=0115.970-0393.400 | Y=0603.770-0615.010 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >600m.
P=0755 | X=0115.970-0339.640 | Y=0621.310-0632.550 | - Có bề rộng <3m, cách đường giao thông >200m.
P=0755 | X=0115.970-0389.480 | Y=0639.310-0650.550 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=0755 | X=0115.970-0378.450 | Y=0650.830-0662.070 | ra Quốc lộ 1 đoạn từ Giáp ranh xã Dầu Giây đến Giáp ranh
P=0755 | X=0115.970-0372.920 | Y=0662.350-0673.590 | phường Bình Lộc có hiện trạng là đường nhựa, bê tông xi
P=0755 | X=0115.970-0143.970 | Y=0673.870-0685.110 | măng:
P=0755 | X=0099.890-0105.490 | Y=0675.990-0685.310 | 5
P=0755 | X=0404.780-0429.830 | Y=0675.990-0685.310 | 1.500
P=0755 | X=0441.530-0466.580 | Y=0675.990-0685.310 | 1.100
P=0755 | X=0505.390-0522.030 | Y=0675.990-0685.310 | 900
P=0755 | X=0115.970-0338.880 | Y=0691.390-0702.630 | - Có bề rộng ≥5m, cách đường giao thông ≤600m.
P=0755 | X=0115.970-0393.160 | Y=0708.930-0720.170 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤400m.
P=0756 | X=0115.970-0389.480 | Y=0078.740-0089.980 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=0756 | X=0115.970-0378.450 | Y=0090.260-0101.500 | ra Quốc lộ 1 đoạn từ Giáp ranh xã Dầu Giây đến Giáp ranh
P=0756 | X=0115.970-0372.920 | Y=0101.780-0113.020 | phường Bình Lộc có hiện trạng là đường nhựa, bê tông xi
P=0756 | X=0115.970-0143.970 | Y=0113.300-0124.540 | măng:
P=0756 | X=0099.890-0105.490 | Y=0129.850-0139.170 | 6
P=0756 | X=0412.940-0429.580 | Y=0129.850-0139.170 | 990
P=0756 | X=0449.690-0466.330 | Y=0129.850-0139.170 | 690
P=0756 | X=0505.390-0522.030 | Y=0129.850-0139.170 | 590
P=0756 | X=0115.970-0339.140 | Y=0130.850-0142.090 | - Có bề rộng ≥5m, cách đường giao thông >600m.
P=0756 | X=0115.970-0369.280 | Y=0148.370-0159.610 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=0756 | X=0115.970-0202.540 | Y=0159.650-0170.890 | >400m đến ≤600m.
P=0756 | X=0115.970-0339.140 | Y=0177.170-0188.410 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0756 | X=0115.970-0389.480 | Y=0195.170-0206.410 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=0756 | X=0115.970-0378.450 | Y=0206.710-0217.950 | ra Quốc lộ 1 đoạn từ Giáp ranh xã Dầu Giây đến Giáp ranh
P=0756 | X=0115.970-0372.920 | Y=0218.230-0229.470 | phường Bình Lộc có hiện trạng là đường nhựa, bê tông xi
P=0756 | X=0115.970-0143.970 | Y=0229.750-0240.990 | măng:
P=0756 | X=0099.890-0105.490 | Y=0231.870-0241.190 | 7
P=0756 | X=0412.940-0429.580 | Y=0231.870-0241.190 | 700
P=0756 | X=0449.690-0466.330 | Y=0231.870-0241.190 | 490
P=0756 | X=0505.390-0522.030 | Y=0231.870-0241.190 | 420
P=0756 | X=0115.970-0393.400 | Y=0247.270-0258.510 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >600m.
P=0756 | X=0115.970-0342.290 | Y=0264.790-0276.030 | - Có bề rộng <3m, cách đường giao thông > 200m.
P=0756 | X=0208.150-0286.750 | Y=0284.700-0294.020 | Giáp ranh xã Dầu
P=0756 | X=0115.970-0197.890 | Y=0288.580-0299.820 | Đường 21 tháng 4
P=0756 | X=0297.240-0367.410 | Y=0288.580-0299.820 | Đường tỉnh 770
P=0756 | X=0099.890-0105.490 | Y=0290.460-0299.780 | 8
P=0756 | X=0404.780-0429.830 | Y=0290.460-0299.780 | 5.600
P=0756 | X=0441.530-0466.580 | Y=0290.460-0299.780 | 3.900
P=0756 | X=0497.230-0522.280 | Y=0290.460-0299.780 | 3.400
P=0756 | X=0208.150-0229.020 | Y=0296.220-0305.540 | Giây
P=0756 | X=0115.970-0378.210 | Y=0312.340-0323.580 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường 21
P=0756 | X=0115.970-0396.680 | Y=0323.860-0335.100 | tháng 4 đoạn từ Giáp ranh xã Dầu Giây đến Đường tỉnh 770 có
P=0756 | X=0115.970-0309.580 | Y=0335.380-0346.620 | hiện trạng là đường nhựa, bê tông xi măng:
P=0756 | X=0099.890-0105.490 | Y=0343.260-0352.580 | 9
P=0756 | X=0404.780-0429.830 | Y=0343.260-0352.580 | 1.700
P=0756 | X=0441.530-0466.580 | Y=0343.260-0352.580 | 1.200
P=0756 | X=0497.230-0522.280 | Y=0343.260-0352.580 | 1.000
P=0756 | X=0115.970-0338.880 | Y=0352.900-0364.140 | - Có bề rộng ≥5m, cách đường giao thông ≤600m.
P=0756 | X=0115.970-0393.160 | Y=0370.200-0381.440 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤400m.
P=0756 | X=0115.970-0378.210 | Y=0388.200-0399.440 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường 21
P=0756 | X=0115.970-0396.680 | Y=0399.720-0410.960 | tháng 4 đoạn từ Giáp ranh xã Dầu Giây đến Đường tỉnh 770 có
P=0756 | X=0115.970-0309.610 | Y=0411.240-0422.480 | hiện trạng là đường nhựa, bê tông xi măng:
P=0756 | X=0097.250-0339.140 | Y=0428.760-0443.080 | 10 - Có bề rộng ≥5m, cách đường giao thông >600m.
P=0756 | X=0404.780-0429.830 | Y=0433.760-0443.080 | 1.100
P=0756 | X=0449.690-0466.330 | Y=0433.760-0443.080 | 770
P=0756 | X=0505.390-0522.030 | Y=0433.760-0443.080 | 660
P=0756 | X=0115.970-0369.520 | Y=0446.280-0457.520 | - Có bề rộng từ >3m đến <5m, cách đường giao thông từ
P=0756 | X=0115.970-0202.540 | Y=0457.820-0469.060 | >400m đến ≤600m.
P=0756 | X=0115.970-0339.140 | Y=0475.340-0486.580 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0756 | X=0115.970-0378.210 | Y=0493.340-0504.580 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường 21
P=0756 | X=0115.970-0396.680 | Y=0504.860-0516.100 | tháng 4 đoạn từ Giáp ranh xã Dầu Giây đến Đường tỉnh 770 có
P=0756 | X=0115.970-0309.580 | Y=0516.380-0527.620 | hiện trạng là đường nhựa, bê tông xi măng:
P=0756 | X=0097.250-0108.370 | Y=0524.260-0533.580 | 11
P=0756 | X=0412.940-0429.580 | Y=0524.260-0533.580 | 930
P=0756 | X=0449.690-0466.330 | Y=0524.260-0533.580 | 650
P=0756 | X=0505.390-0522.030 | Y=0524.260-0533.580 | 560
P=0756 | X=0115.970-0393.400 | Y=0533.930-0545.170 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >600m.
P=0756 | X=0115.970-0339.610 | Y=0551.450-0562.690 | - Có bề rộng <3m, cách đường giao thông >200m.
P=0756 | X=0115.970-0389.480 | Y=0569.450-0580.690 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=0756 | X=0115.970-0370.540 | Y=0580.970-0592.210 | ra Đường 21 tháng 4 đoạn từ Giáp ranh xã Dầu Giây đến
P=0756 | X=0115.970-0395.550 | Y=0592.250-0603.490 | Đường tỉnh 770 có hiện trạng là đường nhựa, bê tông xi măng:
P=0756 | X=0097.250-0108.370 | Y=0600.130-0609.450 | 12
P=0756 | X=0404.780-0429.830 | Y=0600.130-0609.450 | 1.500
P=0756 | X=0441.530-0466.580 | Y=0600.130-0609.450 | 1.100
P=0756 | X=0505.390-0522.030 | Y=0600.130-0609.450 | 900
P=0756 | X=0115.970-0338.880 | Y=0609.770-0621.010 | - Có bề rộng ≥5m, cách đường giao thông ≤600m.
P=0756 | X=0115.970-0393.160 | Y=0627.310-0638.550 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤400m.
P=0756 | X=0115.970-0389.480 | Y=0645.310-0656.550 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=0756 | X=0115.970-0370.540 | Y=0656.830-0668.070 | ra Đường 21 tháng 4 đoạn từ Giáp ranh xã Dầu Giây đến
P=0756 | X=0115.970-0395.550 | Y=0668.350-0679.590 | Đường tỉnh 770 có hiện trạng là đường nhựa, bê tông xi măng:
P=0756 | X=0097.250-0108.370 | Y=0676.230-0685.550 | 13
P=0756 | X=0412.940-0429.580 | Y=0676.230-0685.550 | 990
P=0756 | X=0449.690-0466.330 | Y=0676.230-0685.550 | 690
P=0756 | X=0505.390-0522.030 | Y=0676.230-0685.550 | 590
P=0756 | X=0115.970-0339.160 | Y=0685.870-0697.110 | - Có bề rộng ≥5m, cách đường giao thông >600m.
P=0756 | X=0115.970-0369.280 | Y=0703.410-0714.650 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=0757 | X=0115.970-0202.540 | Y=0072.740-0083.980 | >400m đến ≤600m.
P=0757 | X=0115.970-0339.140 | Y=0090.260-0101.500 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0757 | X=0115.970-0389.480 | Y=0108.260-0119.500 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=0757 | X=0115.970-0370.540 | Y=0119.810-0131.050 | ra Đường 21 tháng 4 đoạn từ Giáp ranh xã Dầu Giây đến
P=0757 | X=0115.970-0395.550 | Y=0131.330-0142.570 | Đường tỉnh 770 có hiện trạng là đường nhựa, bê tông xi măng:
P=0757 | X=0097.250-0108.370 | Y=0139.210-0148.530 | 14
P=0757 | X=0412.940-0429.580 | Y=0139.210-0148.530 | 840
P=0757 | X=0449.690-0466.330 | Y=0139.210-0148.530 | 590
P=0757 | X=0505.390-0522.030 | Y=0139.210-0148.530 | 500
P=0757 | X=0115.970-0393.400 | Y=0148.850-0160.090 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >600m.
P=0757 | X=0115.970-0342.290 | Y=0166.370-0177.610 | - Có bề rộng <3m, cách đường giao thông > 200m.
P=0757 | X=0303.960-0371.390 | Y=0184.370-0195.610 | Đường Võ Duy
P=0757 | X=0097.250-0197.890 | Y=0190.130-0201.370 | 15 Đường 21 tháng 4
P=0757 | X=0209.830-0280.030 | Y=0190.130-0201.370 | Đường tỉnh 770
P=0757 | X=0404.780-0429.830 | Y=0192.010-0201.330 | 7.300
P=0757 | X=0441.530-0466.580 | Y=0192.010-0201.330 | 5.100
P=0757 | X=0497.230-0522.280 | Y=0192.010-0201.330 | 4.400
P=0757 | X=0303.960-0335.710 | Y=0195.650-0206.890 | Dương
P=0757 | X=0115.970-0378.210 | Y=0213.670-0224.910 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường 21
P=0757 | X=0115.970-0396.640 | Y=0225.190-0236.430 | tháng 4 đoạn từ Đường tỉnh 770 đến Đường Võ Duy Dương có
P=0757 | X=0115.970-0309.580 | Y=0236.710-0247.950 | hiện trạng là đường nhựa, bê tông xi măng:
P=0757 | X=0097.250-0108.370 | Y=0244.590-0253.910 | 16
P=0757 | X=0404.780-0429.830 | Y=0244.590-0253.910 | 2.700
P=0757 | X=0441.530-0466.580 | Y=0244.590-0253.910 | 1.900
P=0757 | X=0497.230-0522.280 | Y=0244.590-0253.910 | 1.600
P=0757 | X=0115.970-0338.880 | Y=0254.230-0265.470 | - Có bề rộng ≥5m, cách đường giao thông ≤600m.
P=0757 | X=0115.970-0393.160 | Y=0271.750-0282.990 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤400m.
P=0757 | X=0115.970-0378.210 | Y=0289.780-0301.020 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường 21
P=0757 | X=0115.970-0396.640 | Y=0301.300-0312.540 | tháng 4 đoạn từ Đường tỉnh 770 đến Đường Võ Duy Dương có
P=0757 | X=0115.970-0309.580 | Y=0312.820-0324.060 | hiện trạng là đường nhựa, bê tông xi măng:
P=0757 | X=0097.250-0339.140 | Y=0330.340-0344.420 | 17 - Có bề rộng ≥5m, cách đường giao thông >600m.
P=0757 | X=0404.780-0429.830 | Y=0335.100-0344.420 | 2.000
P=0757 | X=0441.530-0466.580 | Y=0335.100-0344.420 | 1.400
P=0757 | X=0497.230-0522.280 | Y=0335.100-0344.420 | 1.200
P=0757 | X=0115.970-0369.280 | Y=0347.860-0359.100 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=0757 | X=0115.970-0202.540 | Y=0359.380-0370.620 | >400m đến ≤600m.
P=0757 | X=0115.970-0339.140 | Y=0376.920-0388.160 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0757 | X=0115.970-0378.210 | Y=0394.920-0406.160 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường 21
P=0757 | X=0115.970-0396.640 | Y=0406.200-0417.440 | tháng 4 đoạn từ Đường tỉnh 770 đến Đường Võ Duy Dương có
P=0757 | X=0115.970-0309.580 | Y=0417.720-0428.960 | hiện trạng là đường nhựa, bê tông xi măng:
P=0757 | X=0097.250-0108.370 | Y=0425.600-0434.920 | 18
P=0757 | X=0404.780-0429.830 | Y=0425.600-0434.920 | 1.300
P=0757 | X=0449.690-0466.330 | Y=0425.600-0434.920 | 910
P=0757 | X=0505.390-0522.030 | Y=0425.600-0434.920 | 780
P=0757 | X=0115.970-0393.400 | Y=0435.240-0446.480 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >600m.
P=0757 | X=0115.970-0339.610 | Y=0452.780-0464.020 | - Có bề rộng <3m, cách đường giao thông >200m.
P=0757 | X=0115.970-0389.480 | Y=0470.780-0482.020 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=0757 | X=0115.970-0388.550 | Y=0482.300-0493.540 | ra Đường 21 tháng 4 đoạn từ Đường tỉnh 770 đến Đường Võ
P=0757 | X=0115.970-0377.570 | Y=0493.820-0505.060 | Duy Dương có hiện trạng là đường nhựa, bê tông xi măng:
P=0757 | X=0097.250-0108.370 | Y=0501.700-0511.020 | 19
P=0757 | X=0404.780-0429.830 | Y=0501.700-0511.020 | 2.400
P=0757 | X=0441.530-0466.580 | Y=0501.700-0511.020 | 1.700
P=0757 | X=0497.230-0522.280 | Y=0501.700-0511.020 | 1.400
P=0757 | X=0115.970-0338.880 | Y=0511.340-0522.580 | - Có bề rộng ≥5m, cách đường giao thông ≤600m.
P=0757 | X=0115.970-0393.160 | Y=0528.860-0540.100 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤400m.
P=0757 | X=0115.970-0389.480 | Y=0546.890-0558.130 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=0757 | X=0115.970-0388.540 | Y=0558.410-0569.650 | ra Đường 21 tháng 4 đoạn từ Đường tỉnh 770 đến Đường Võ
P=0757 | X=0115.970-0377.570 | Y=0569.930-0581.170 | Duy Dương có hiện trạng là đường nhựa, bê tông xi măng:
P=0757 | X=0097.250-0339.140 | Y=0587.450-0601.530 | 20 - Có bề rộng ≥5m, cách đường giao thông >600m.
P=0757 | X=0404.780-0429.830 | Y=0592.210-0601.530 | 1.800
P=0757 | X=0441.530-0466.580 | Y=0592.210-0601.530 | 1.300
P=0757 | X=0497.230-0522.280 | Y=0592.210-0601.530 | 1.100
P=0757 | X=0115.970-0369.280 | Y=0604.970-0616.210 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=0757 | X=0115.970-0202.540 | Y=0616.270-0627.510 | >400m đến ≤600m.
P=0757 | X=0115.970-0339.140 | Y=0633.790-0645.030 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0757 | X=0115.970-0389.510 | Y=0651.790-0663.030 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=0757 | X=0115.970-0388.550 | Y=0663.310-0674.550 | ra Đường 21 tháng 4 đoạn từ Đường tỉnh 770 đến Đường Võ
P=0757 | X=0097.250-0377.570 | Y=0674.070-0686.070 | 21 Duy Dương có hiện trạng là đường nhựa, bê tông xi măng:
P=0757 | X=0404.780-0429.830 | Y=0674.070-0683.390 | 1.200
P=0757 | X=0449.690-0466.330 | Y=0674.070-0683.390 | 840
P=0757 | X=0505.390-0522.030 | Y=0674.070-0683.390 | 720
P=0757 | X=0115.970-0393.400 | Y=0692.350-0703.590 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >600m.
P=0758 | X=0115.970-0342.290 | Y=0078.740-0089.980 | - Có bề rộng <3m, cách đường giao thông > 200m.
P=0758 | X=0303.960-0391.340 | Y=0096.740-0107.980 | Đường Xuân Bình -
P=0758 | X=0209.830-0274.470 | Y=0098.620-0107.940 | Giáp khu công
P=0758 | X=0097.250-0203.430 | Y=0102.500-0113.740 | 22 Đường Võ Văn Tần
P=0758 | X=0404.780-0429.830 | Y=0104.380-0113.700 | 1.700
P=0758 | X=0441.530-0466.580 | Y=0104.380-0113.700 | 1.200
P=0758 | X=0497.230-0522.280 | Y=0104.380-0113.700 | 1.000
P=0758 | X=0209.830-0346.530 | Y=0110.140-0119.460 | nghiệp Long Khánh Xuân Lập
P=0758 | X=0115.970-0379.430 | Y=0126.290-0137.530 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Võ
P=0758 | X=0115.970-0367.430 | Y=0137.810-0149.050 | Văn Tần đoạn từ Giáp khu công nghiệp Long Khánh đến
P=0758 | X=0115.970-0395.740 | Y=0149.330-0160.570 | Đường Xuân Bình - Xuân Lập có hiện trạng là đường nhựa, bê
P=0758 | X=0097.250-0176.130 | Y=0160.850-0172.290 | 23 tông xi măng:
P=0758 | X=0412.940-0429.580 | Y=0162.970-0172.290 | 840
P=0758 | X=0449.690-0466.330 | Y=0162.970-0172.290 | 590
P=0758 | X=0505.390-0522.030 | Y=0162.970-0172.290 | 500
P=0758 | X=0115.970-0338.880 | Y=0178.370-0189.610 | - Có bề rộng ≥5m, cách đường giao thông ≤600m.
P=0758 | X=0115.970-0393.160 | Y=0195.650-0206.890 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤400m.
P=0758 | X=0115.970-0379.410 | Y=0213.670-0224.910 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Võ
P=0758 | X=0115.970-0367.430 | Y=0225.190-0236.430 | Văn Tần đoạn từ Giáp khu công nghiệp Long Khánh đến
P=0758 | X=0115.970-0395.740 | Y=0236.710-0247.950 | Đường Xuân Bình - Xuân Lập có hiện trạng là đường nhựa, bê
P=0758 | X=0115.970-0176.130 | Y=0248.230-0259.470 | tông xi măng:
P=0758 | X=0097.250-0339.140 | Y=0264.990-0276.990 | 24 - Có bề rộng ≥5m, cách đường giao thông >600m.
P=0758 | X=0412.940-0429.580 | Y=0264.990-0274.310 | 700
P=0758 | X=0449.690-0466.330 | Y=0264.990-0274.310 | 490
P=0758 | X=0505.390-0522.030 | Y=0264.990-0274.310 | 420
P=0758 | X=0115.970-0369.280 | Y=0283.300-0294.540 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=0758 | X=0115.970-0202.540 | Y=0294.820-0306.060 | >400m đến ≤600m.
P=0758 | X=0115.970-0339.150 | Y=0312.340-0323.580 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0758 | X=0115.970-0379.410 | Y=0330.340-0341.580 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Võ
P=0758 | X=0115.970-0367.430 | Y=0341.860-0353.100 | Văn Tần đoạn từ Giáp khu công nghiệp Long Khánh đến
P=0758 | X=0115.970-0395.740 | Y=0353.380-0364.620 | Đường Xuân Bình - Xuân Lập có hiện trạng là đường nhựa, bê
P=0758 | X=0097.250-0176.130 | Y=0364.900-0376.360 | 25 tông xi măng:
P=0758 | X=0412.940-0429.580 | Y=0367.040-0376.360 | 560
P=0758 | X=0449.690-0466.330 | Y=0367.040-0376.360 | 390
P=0758 | X=0505.390-0522.030 | Y=0367.040-0376.360 | 340
P=0758 | X=0115.970-0393.410 | Y=0382.200-0393.440 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >600m.
P=0758 | X=0115.970-0339.610 | Y=0399.720-0410.960 | - Có bề rộng <3m, cách đường giao thông >200m.
P=0758 | X=0115.970-0389.480 | Y=0417.720-0428.960 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=0758 | X=0115.970-0377.250 | Y=0429.240-0440.480 | ra Đường Võ Văn Tần đoạn từ Giáp khu công nghiệp Long
P=0758 | X=0115.970-0371.470 | Y=0440.760-0452.000 | Khánh đến Đường Xuân Bình - Xuân Lập có hiện trạng là
P=0758 | X=0097.250-0251.740 | Y=0452.300-0463.740 | 26 đường nhựa, bê tông xi măng:
P=0758 | X=0412.940-0429.580 | Y=0454.420-0463.740 | 760
P=0758 | X=0449.690-0466.330 | Y=0454.420-0463.740 | 530
P=0758 | X=0505.390-0522.030 | Y=0454.420-0463.740 | 460
P=0758 | X=0115.970-0338.880 | Y=0469.820-0481.060 | - Có bề rộng ≥5m, cách đường giao thông ≤600m.
P=0758 | X=0115.970-0393.160 | Y=0487.340-0498.580 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤400m.
P=0758 | X=0115.970-0389.480 | Y=0505.340-0516.580 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=0758 | X=0115.970-0377.250 | Y=0516.860-0528.100 | ra Đường Võ Văn Tần đoạn từ Giáp khu công nghiệp Long
P=0758 | X=0115.970-0371.470 | Y=0528.380-0539.620 | Khánh đến Đường Xuân Bình - Xuân Lập có hiện trạng là
P=0758 | X=0115.970-0251.740 | Y=0539.930-0551.170 | đường nhựa, bê tông xi măng:
P=0758 | X=0097.250-0339.140 | Y=0556.450-0568.690 | 27 - Có bề rộng ≥5m, cách đường giao thông >600m.
P=0758 | X=0412.940-0429.580 | Y=0556.450-0565.770 | 630
P=0758 | X=0449.690-0466.330 | Y=0556.450-0565.770 | 440
P=0758 | X=0505.390-0522.030 | Y=0556.450-0565.770 | 380
P=0758 | X=0115.970-0369.280 | Y=0574.970-0586.210 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=0758 | X=0115.970-0202.540 | Y=0586.250-0597.490 | >400m đến ≤600m.
P=0758 | X=0115.970-0339.140 | Y=0603.770-0615.010 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0758 | X=0115.970-0389.480 | Y=0621.790-0633.030 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=0758 | X=0115.970-0377.250 | Y=0633.310-0644.550 | ra Đường Võ Văn Tần đoạn từ Giáp khu công nghiệp Long
