TABLE=036 | AREA=Xã An Viễn | SECTION=non-agricultural | SEGMENTS=1
P=1289 | X=0111.170-0139.170 | Y=0356.260-0367.500 | măng:
P=1289 | X=0097.730-0342.720 | Y=0373.040-0385.040 | 3 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1289 | X=0406.220-0431.270 | Y=0373.040-0382.360 | 1.900
P=1289 | X=0453.770-0478.820 | Y=0373.040-0382.360 | 1.300
P=1289 | X=0497.230-0522.280 | Y=0373.040-0382.360 | 1.100
P=1289 | X=0111.170-0364.480 | Y=0391.320-0402.560 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=1289 | X=0111.170-0206.120 | Y=0402.840-0414.080 | >500m đến ≤1.000m.
P=1289 | X=0111.170-0334.340 | Y=0420.360-0431.600 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1289 | X=0111.170-0378.710 | Y=0438.120-0449.360 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường tỉnh
P=1289 | X=0111.170-0382.070 | Y=0449.660-0460.900 | 777 (đường Trảng Bom - Long Thành) đoạn từ Đường Vườn
P=1289 | X=0111.170-0378.440 | Y=0461.180-0472.420 | Ngô đến Đường sắt có hiện trạng là đường nhựa, bê tông xi
P=1289 | X=0111.170-0139.170 | Y=0472.460-0483.700 | măng:
P=1289 | X=0097.730-0103.330 | Y=0480.340-0489.660 | 4
P=1289 | X=0406.220-0431.270 | Y=0480.340-0489.660 | 1.300
P=1289 | X=0461.930-0478.570 | Y=0480.340-0489.660 | 910
P=1289 | X=0505.390-0522.030 | Y=0480.340-0489.660 | 780
P=1289 | X=0111.170-0352.280 | Y=0489.980-0501.220 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=1289 | X=0111.170-0153.310 | Y=0503.380-0512.700 | >1.000m.
P=1289 | X=0111.170-0334.810 | Y=0519.020-0530.260 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1289 | X=0111.170-0384.680 | Y=0536.810-0548.050 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=1289 | X=0111.170-0384.170 | Y=0548.330-0559.570 | ra Đường tỉnh 777 (đường Trảng Bom - Long Thành) đoạn từ
P=1289 | X=0111.170-0365.980 | Y=0559.850-0571.090 | Đường Vườn Ngô đến Đường sắt có hiện trạng là đường
P=1289 | X=0111.170-0214.280 | Y=0571.370-0582.610 | nhựa, bê tông xi măng:
P=1289 | X=0097.730-0103.330 | Y=0579.250-0588.570 | 5
P=1289 | X=0406.220-0431.270 | Y=0579.250-0588.570 | 2.800
P=1289 | X=0453.770-0478.820 | Y=0579.250-0588.570 | 2.000
P=1289 | X=0497.230-0522.280 | Y=0579.250-0588.570 | 1.700
P=1289 | X=0111.170-0342.250 | Y=0588.890-0600.130 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1289 | X=0111.170-0352.280 | Y=0606.410-0617.650 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=1289 | X=0111.170-0144.690 | Y=0617.950-0629.190 | ≤500m.
P=1289 | X=0111.170-0384.680 | Y=0635.710-0646.950 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=1289 | X=0111.170-0384.170 | Y=0647.230-0658.470 | ra Đường tỉnh 777 (đường Trảng Bom - Long Thành) đoạn từ
P=1289 | X=0111.170-0365.980 | Y=0658.510-0669.750 | Đường Vườn Ngô đến Đường sắt có hiện trạng là đường
P=1289 | X=0097.730-0214.280 | Y=0670.030-0681.470 | 6 nhựa, bê tông xi măng:
P=1289 | X=0406.220-0431.270 | Y=0672.150-0681.470 | 1.700
P=1289 | X=0453.770-0478.820 | Y=0672.150-0681.470 | 1.200
P=1289 | X=0497.230-0522.280 | Y=0672.150-0681.470 | 1.000
P=1289 | X=0111.170-0342.720 | Y=0687.550-0698.790 | - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1289 | X=0111.170-0364.480 | Y=0705.090-0716.330 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=1290 | X=0111.170-0206.120 | Y=0072.500-0083.740 | >500m đến ≤1.000m.
P=1290 | X=0111.170-0334.340 | Y=0090.020-0101.260 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1290 | X=0111.170-0384.680 | Y=0107.780-0119.020 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=1290 | X=0111.170-0384.170 | Y=0119.330-0130.570 | ra Đường tỉnh 777 (đường Trảng Bom - Long Thành) đoạn từ
P=1290 | X=0111.170-0365.980 | Y=0130.850-0142.090 | Đường Vườn Ngô đến Đường sắt có hiện trạng là đường
P=1290 | X=0111.170-0214.280 | Y=0142.370-0153.610 | nhựa, bê tông xi măng:
P=1290 | X=0097.730-0103.330 | Y=0150.250-0159.570 | 7
P=1290 | X=0406.220-0431.270 | Y=0150.250-0159.570 | 1.200
P=1290 | X=0461.930-0478.570 | Y=0150.250-0159.570 | 840
P=1290 | X=0505.390-0522.030 | Y=0150.250-0159.570 | 720
P=1290 | X=0111.170-0352.280 | Y=0159.650-0170.890 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=1290 | X=0111.170-0153.310 | Y=0173.050-0182.370 | >1.000m.
P=1290 | X=0111.170-0334.810 | Y=0188.690-0199.930 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1290 | X=0111.170-0217.350 | Y=0206.470-0217.710 | Đường tỉnh 777 (đường
P=1290 | X=0300.360-0369.010 | Y=0206.470-0217.710 | Hết khu dân cư
P=1290 | X=0219.430-0267.140 | Y=0217.990-0229.230 | Đường sắt
P=1290 | X=0300.360-0378.910 | Y=0217.990-0229.230 | Tân Hưng và Tân
P=1290 | X=0097.730-0191.910 | Y=0219.870-0229.190 | 8 Trảng Bom - Long
P=1290 | X=0406.220-0431.270 | Y=0219.870-0229.190 | 3.700
P=1290 | X=0453.770-0478.820 | Y=0219.870-0229.190 | 2.600
P=1290 | X=0497.230-0522.280 | Y=0219.870-0229.190 | 2.200
P=1290 | X=0111.170-0142.850 | Y=0231.390-0240.710 | Thành)
P=1290 | X=0300.360-0325.640 | Y=0231.390-0240.710 | Thịnh
P=1290 | X=0111.170-0378.710 | Y=0247.270-0258.510 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường tỉnh
P=1290 | X=0111.170-0369.420 | Y=0258.790-0270.030 | 777 (đường Trảng Bom - Long Thành) đoạn từ Đường sắt
P=1290 | X=0111.170-0379.410 | Y=0270.310-0281.550 | đến Hết khu dân cư Tân Hưng và Tân Thịnh có hiện trạng là
P=1290 | X=0111.170-0246.940 | Y=0281.860-0293.100 | đường nhựa, bê tông xi măng:
P=1290 | X=0097.730-0103.330 | Y=0289.740-0299.060 | 9
P=1290 | X=0406.220-0431.270 | Y=0289.740-0299.060 | 2.000
P=1290 | X=0453.770-0478.820 | Y=0289.740-0299.060 | 1.400
P=1290 | X=0497.230-0522.280 | Y=0289.740-0299.060 | 1.200
P=1290 | X=0111.170-0342.250 | Y=0299.380-0310.620 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1290 | X=0111.170-0352.290 | Y=0316.900-0328.140 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=1290 | X=0111.170-0144.690 | Y=0328.420-0339.660 | ≤500m.
P=1290 | X=0111.170-0378.710 | Y=0345.940-0357.180 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường tỉnh
P=1290 | X=0111.170-0369.420 | Y=0357.460-0368.700 | 777 (đường Trảng Bom - Long Thành) đoạn từ Đường sắt
P=1290 | X=0111.170-0379.410 | Y=0369.000-0380.240 | đến Hết khu dân cư Tân Hưng và Tân Thịnh có hiện trạng là
P=1290 | X=0111.170-0246.940 | Y=0380.520-0391.760 | đường nhựa, bê tông xi măng:
P=1290 | X=0094.820-0342.720 | Y=0397.280-0409.280 | 10 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1290 | X=0406.220-0431.270 | Y=0397.280-0406.600 | 1.400
P=1290 | X=0461.930-0478.570 | Y=0397.280-0406.600 | 980
P=1290 | X=0505.390-0522.030 | Y=0397.280-0406.600 | 840
P=1290 | X=0111.170-0364.480 | Y=0415.560-0426.800 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=1290 | X=0111.170-0206.120 | Y=0427.080-0438.320 | >500m đến ≤1.000m.
P=1290 | X=0111.170-0334.340 | Y=0444.600-0455.840 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1290 | X=0111.170-0378.710 | Y=0462.380-0473.620 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường tỉnh
P=1290 | X=0111.170-0369.420 | Y=0473.900-0485.140 | 777 (đường Trảng Bom - Long Thành) đoạn từ Đường sắt
P=1290 | X=0111.170-0379.410 | Y=0485.420-0496.660 | đến Hết khu dân cư Tân Hưng và Tân Thịnh có hiện trạng là
P=1290 | X=0111.170-0246.940 | Y=0496.940-0508.180 | đường nhựa, bê tông xi măng:
P=1290 | X=0094.820-0105.940 | Y=0504.820-0514.140 | 11
P=1290 | X=0414.380-0431.020 | Y=0504.820-0514.140 | 940
P=1290 | X=0461.930-0478.570 | Y=0504.820-0514.140 | 660
P=1290 | X=0505.390-0522.030 | Y=0504.820-0514.140 | 560
P=1290 | X=0111.170-0352.280 | Y=0514.220-0525.460 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=1290 | X=0111.170-0153.310 | Y=0527.620-0536.940 | >1.000m.
P=1290 | X=0111.170-0334.810 | Y=0543.290-0554.530 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1290 | X=0111.170-0384.680 | Y=0561.050-0572.290 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=1290 | X=0111.170-0384.170 | Y=0572.570-0583.810 | ra Đường tỉnh 777 (đường Trảng Bom - Long Thành) đoạn từ
P=1290 | X=0111.170-0371.960 | Y=0584.090-0595.330 | Đường sắt đến Hết khu dân cư Tân Hưng và Tân Thịnh có
P=1290 | X=0111.170-0304.780 | Y=0595.610-0606.850 | hiện trạng là đường nhựa, bê tông xi măng:
P=1290 | X=0094.820-0105.940 | Y=0603.490-0612.810 | 12
P=1290 | X=0406.220-0431.270 | Y=0603.490-0612.810 | 1.800
P=1290 | X=0453.770-0478.820 | Y=0603.490-0612.810 | 1.300
P=1290 | X=0497.230-0522.280 | Y=0603.490-0612.810 | 1.100
P=1290 | X=0111.170-0342.250 | Y=0613.130-0624.370 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1290 | X=0111.170-0352.280 | Y=0630.670-0641.910 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=1290 | X=0111.170-0144.690 | Y=0642.190-0653.430 | ≤500m.
P=1290 | X=0111.170-0384.680 | Y=0659.950-0671.190 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=1290 | X=0111.170-0384.170 | Y=0671.470-0682.710 | ra Đường tỉnh 777 (đường Trảng Bom - Long Thành) đoạn từ
P=1290 | X=0094.820-0105.940 | Y=0679.110-0688.430 | 13
P=1290 | X=0406.220-0431.270 | Y=0679.110-0688.430 | 1.300
P=1290 | X=0461.930-0478.570 | Y=0679.110-0688.430 | 910
P=1290 | X=0505.390-0522.030 | Y=0679.110-0688.430 | 780
P=1290 | X=0111.170-0371.960 | Y=0682.750-0693.990 | Đường sắt đến Hết khu dân cư Tân Hưng và Tân Thịnh có
P=1290 | X=0111.170-0304.780 | Y=0694.270-0705.510 | hiện trạng là đường nhựa, bê tông xi măng:
P=1291 | X=0111.170-0342.720 | Y=0078.500-0089.740 | - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1291 | X=0111.170-0364.480 | Y=0096.020-0107.260 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=1291 | X=0111.170-0206.120 | Y=0107.540-0118.780 | >500m đến ≤1.000m.
P=1291 | X=0111.170-0334.340 | Y=0125.090-0136.330 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1291 | X=0111.170-0384.680 | Y=0142.850-0154.090 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=1291 | X=0111.170-0384.170 | Y=0154.370-0165.610 | ra Đường tỉnh 777 (đường Trảng Bom - Long Thành) đoạn từ
P=1291 | X=0111.170-0371.960 | Y=0165.650-0176.890 | Đường sắt đến Hết khu dân cư Tân Hưng và Tân Thịnh có
P=1291 | X=0111.170-0304.780 | Y=0177.170-0188.410 | hiện trạng là đường nhựa, bê tông xi măng:
P=1291 | X=0094.820-0105.940 | Y=0185.050-0194.370 | 14
P=1291 | X=0414.380-0431.020 | Y=0185.050-0194.370 | 850
P=1291 | X=0461.930-0478.570 | Y=0185.050-0194.370 | 600
P=1291 | X=0505.390-0522.030 | Y=0185.050-0194.370 | 510
P=1291 | X=0111.170-0352.280 | Y=0194.690-0205.930 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=1291 | X=0111.170-0153.310 | Y=0208.110-0217.430 | >1.000m.
P=1291 | X=0111.170-0334.810 | Y=0223.750-0234.990 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1291 | X=0111.170-0288.110 | Y=0241.510-0252.750 | Đường tỉnh 777 (đường Hết khu dân cư
P=1291 | X=0219.430-0355.410 | Y=0253.030-0264.270 | Tân Hưng và Tân Sông Buông
P=1291 | X=0094.820-0191.910 | Y=0254.910-0264.230 | 15 Trảng Bom - Long
P=1291 | X=0406.220-0431.270 | Y=0254.910-0264.230 | 5.200
P=1291 | X=0453.770-0478.820 | Y=0254.910-0264.230 | 3.600
P=1291 | X=0497.230-0522.280 | Y=0254.910-0264.230 | 3.100
P=1291 | X=0111.170-0142.850 | Y=0266.430-0275.750 | Thành)
P=1291 | X=0219.430-0244.740 | Y=0266.430-0275.750 | Thịnh
P=1291 | X=0111.170-0378.710 | Y=0282.340-0293.580 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường tỉnh
P=1291 | X=0111.170-0375.810 | Y=0293.860-0305.100 | 777 (đường Trảng Bom - Long Thành) đoạn từ Hết khu dân
P=1291 | X=0111.170-0380.610 | Y=0305.380-0316.620 | cư Tân Hưng và Tân Thịnh đến Sông Buông có hiện trạng là
P=1291 | X=0111.170-0246.940 | Y=0316.900-0328.140 | đường nhựa, bê tông xi măng:
P=1291 | X=0094.820-0105.940 | Y=0324.780-0334.100 | 16
P=1291 | X=0406.220-0431.270 | Y=0324.780-0334.100 | 2.200
P=1291 | X=0453.770-0478.820 | Y=0324.780-0334.100 | 1.500
P=1291 | X=0497.230-0522.280 | Y=0324.780-0334.100 | 1.300
P=1291 | X=0111.170-0342.250 | Y=0334.420-0345.660 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1291 | X=0111.170-0352.280 | Y=0351.700-0362.940 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=1291 | X=0111.170-0144.690 | Y=0363.220-0374.460 | ≤500m.
P=1291 | X=0111.170-0378.710 | Y=0381.000-0392.240 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường tỉnh
P=1291 | X=0111.170-0375.790 | Y=0392.520-0403.760 | 777 (đường Trảng Bom - Long Thành) đoạn từ Hết khu dân
P=1291 | X=0111.170-0380.610 | Y=0404.040-0415.280 | cư Tân Hưng và Tân Thịnh đến Sông Buông có hiện trạng là
P=1291 | X=0111.170-0246.940 | Y=0415.560-0426.800 | đường nhựa, bê tông xi măng:
P=1291 | X=0094.820-0342.720 | Y=0432.080-0444.320 | 17 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1291 | X=0406.220-0431.270 | Y=0432.080-0441.400 | 1.500
P=1291 | X=0453.770-0478.820 | Y=0432.080-0441.400 | 1.100
P=1291 | X=0505.390-0522.030 | Y=0432.080-0441.400 | 900
P=1291 | X=0111.170-0364.480 | Y=0450.620-0461.860 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=1291 | X=0111.170-0206.120 | Y=0462.140-0473.380 | >500m đến ≤1.000m.
P=1291 | X=0111.170-0334.340 | Y=0479.660-0490.900 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1291 | X=0111.170-0378.710 | Y=0497.420-0508.660 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường tỉnh
P=1291 | X=0111.170-0375.790 | Y=0508.940-0520.180 | 777 (đường Trảng Bom - Long Thành) đoạn từ Hết khu dân
P=1291 | X=0111.170-0380.610 | Y=0520.220-0531.460 | cư Tân Hưng và Tân Thịnh đến Sông Buông có hiện trạng là
P=1291 | X=0111.170-0246.940 | Y=0531.740-0542.980 | đường nhựa, bê tông xi măng:
P=1291 | X=0094.820-0105.940 | Y=0539.650-0548.970 | 18
P=1291 | X=0406.220-0431.270 | Y=0539.650-0548.970 | 1.100
P=1291 | X=0461.930-0478.570 | Y=0539.650-0548.970 | 770
P=1291 | X=0505.390-0522.030 | Y=0539.650-0548.970 | 660
P=1291 | X=0111.170-0352.280 | Y=0549.290-0560.530 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=1291 | X=0111.170-0153.310 | Y=0562.690-0572.010 | >1.000m.
P=1291 | X=0111.170-0334.810 | Y=0578.330-0589.570 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1291 | X=0111.170-0384.680 | Y=0596.090-0607.330 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=1291 | X=0111.170-0384.170 | Y=0607.610-0618.850 | ra Đường tỉnh 777 (đường Trảng Bom - Long Thành) đoạn từ
P=1291 | X=0111.170-0379.400 | Y=0619.150-0630.390 | Hết khu dân cư Tân Hưng và Tân Thịnh đến Sông Buông có
P=1291 | X=0111.170-0304.780 | Y=0630.670-0641.910 | hiện trạng là đường nhựa, bê tông xi măng:
P=1291 | X=0094.820-0105.940 | Y=0638.550-0647.870 | 19
P=1291 | X=0406.220-0431.270 | Y=0638.550-0647.870 | 2.000
P=1291 | X=0453.770-0478.820 | Y=0638.550-0647.870 | 1.400
P=1291 | X=0497.230-0522.280 | Y=0638.550-0647.870 | 1.200
P=1291 | X=0111.170-0342.250 | Y=0648.190-0659.430 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1291 | X=0111.170-0352.280 | Y=0665.710-0676.950 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=1291 | X=0111.170-0144.690 | Y=0677.230-0688.470 | ≤500m.
P=1291 | X=0111.170-0384.680 | Y=0694.750-0705.990 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=1291 | X=0094.820-0105.940 | Y=0702.420-0711.740 | 20
P=1291 | X=0406.220-0431.270 | Y=0702.420-0711.740 | 1.400
P=1291 | X=0461.930-0478.570 | Y=0702.420-0711.740 | 980
P=1291 | X=0505.390-0522.030 | Y=0702.420-0711.740 | 840
P=1291 | X=0111.170-0384.170 | Y=0706.290-0717.530 | ra Đường tỉnh 777 (đường Trảng Bom - Long Thành) đoạn từ
P=1292 | X=0111.170-0379.400 | Y=0072.500-0083.740 | Hết khu dân cư Tân Hưng và Tân Thịnh đến Sông Buông có
P=1292 | X=0111.170-0304.780 | Y=0084.020-0095.260 | hiện trạng là đường nhựa, bê tông xi măng:
P=1292 | X=0111.170-0342.760 | Y=0101.540-0112.780 | - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1292 | X=0111.170-0364.480 | Y=0119.090-0130.330 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=1292 | X=0111.170-0206.120 | Y=0130.610-0141.850 | >500m đến ≤1.000m.
P=1292 | X=0111.170-0334.340 | Y=0148.130-0159.370 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1292 | X=0111.170-0384.680 | Y=0165.650-0176.890 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=1292 | X=0111.170-0384.170 | Y=0177.170-0188.410 | ra Đường tỉnh 777 (đường Trảng Bom - Long Thành) đoạn từ
P=1292 | X=0111.170-0379.400 | Y=0188.690-0199.930 | Hết khu dân cư Tân Hưng và Tân Thịnh đến Sông Buông có
P=1292 | X=0111.170-0304.780 | Y=0200.230-0211.470 | hiện trạng là đường nhựa, bê tông xi măng:
P=1292 | X=0094.820-0105.940 | Y=0208.110-0217.430 | 21
P=1292 | X=0414.380-0431.020 | Y=0208.110-0217.430 | 990
P=1292 | X=0461.930-0478.570 | Y=0208.110-0217.430 | 690
P=1292 | X=0505.390-0522.030 | Y=0208.110-0217.430 | 590
P=1292 | X=0111.170-0352.280 | Y=0217.750-0228.990 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=1292 | X=0111.170-0153.310 | Y=0231.150-0240.470 | >1.000m.
P=1292 | X=0111.170-0334.810 | Y=0246.790-0258.030 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1292 | X=0111.170-0217.350 | Y=0264.550-0275.790 | Đường tỉnh 777 (đường
P=1292 | X=0300.360-0375.560 | Y=0270.310-0281.550 | Ngã ba cây xăng
P=1292 | X=0094.820-0191.910 | Y=0277.950-0287.270 | 22 Trảng Bom - Long
P=1292 | X=0219.430-0274.480 | Y=0277.950-0287.270 | Sông Buông
P=1292 | X=0406.220-0431.270 | Y=0277.950-0287.270 | 4.700
P=1292 | X=0453.770-0478.820 | Y=0277.950-0287.270 | 3.300
P=1292 | X=0497.230-0522.280 | Y=0277.950-0287.270 | 2.800
P=1292 | X=0300.360-0350.140 | Y=0281.860-0293.100 | Xuân Dũng
P=1292 | X=0111.170-0142.850 | Y=0289.500-0298.820 | Thành)
P=1292 | X=0111.170-0378.710 | Y=0305.380-0316.620 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường tỉnh
P=1292 | X=0111.170-0376.780 | Y=0316.900-0328.140 | 777 (đường Trảng Bom - Long Thành) đoạn từ Sông Buông
P=1292 | X=0111.170-0362.360 | Y=0328.420-0339.660 | đến Ngã ba cây xăng Xuân Dũng có hiện trạng là đường
P=1292 | X=0111.170-0214.300 | Y=0339.700-0350.940 | nhựa, bê tông xi măng:
P=1292 | X=0094.820-0105.940 | Y=0347.580-0356.900 | 23
P=1292 | X=0406.220-0431.270 | Y=0347.580-0356.900 | 2.100
P=1292 | X=0453.770-0478.820 | Y=0347.580-0356.900 | 1.500
P=1292 | X=0497.230-0522.280 | Y=0347.580-0356.900 | 1.300
P=1292 | X=0111.170-0342.250 | Y=0357.220-0368.460 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1292 | X=0111.170-0352.280 | Y=0374.760-0386.000 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=1292 | X=0111.170-0144.690 | Y=0386.280-0397.520 | ≤500m.
P=1292 | X=0111.170-0378.710 | Y=0404.040-0415.280 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường tỉnh
P=1292 | X=0111.170-0376.780 | Y=0415.560-0426.800 | 777 (đường Trảng Bom - Long Thành) đoạn từ Sông Buông
P=1292 | X=0111.170-0362.360 | Y=0427.080-0438.320 | đến Ngã ba cây xăng Xuân Dũng có hiện trạng là đường
P=1292 | X=0111.170-0214.280 | Y=0438.600-0449.840 | nhựa, bê tông xi măng:
P=1292 | X=0094.820-0342.720 | Y=0455.140-0467.380 | 24 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1292 | X=0406.220-0431.270 | Y=0455.140-0464.460 | 1.400
P=1292 | X=0461.930-0478.570 | Y=0455.140-0464.460 | 980
P=1292 | X=0505.390-0522.030 | Y=0455.140-0464.460 | 840
P=1292 | X=0111.170-0364.480 | Y=0473.660-0484.900 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=1292 | X=0111.170-0206.120 | Y=0485.180-0496.420 | >500m đến ≤1.000m.
P=1292 | X=0111.170-0334.340 | Y=0502.460-0513.700 | - Có bề rộng <3m, cách đường giao thông ≤200m.
