TABLE=094 | AREA=Xã Long Hà | SECTION=non-agricultural | SEGMENTS=1
P=2141 | X=0282.100-0339.540 | Y=0529.780-0539.100 | Giáp ranh xã
P=2141 | X=0093.380-0176.690 | Y=0533.690-0544.930 | 8 Đường ĐT 757B
P=2141 | X=0370.460-0387.100 | Y=0535.570-0544.890 | 640
P=2141 | X=0418.700-0435.340 | Y=0535.570-0544.890 | 450
P=2141 | X=0505.390-0522.030 | Y=0535.570-0544.890 | 380
P=2141 | X=0205.030-0260.780 | Y=0539.450-0550.690 | Đội Long Hà
P=2141 | X=0282.100-0322.970 | Y=0541.330-0550.650 | Bình Tân
P=2141 | X=0282.100-0347.250 | Y=0557.450-0568.690 | Ngã ba đường
P=2141 | X=0102.770-0191.170 | Y=0568.970-0580.210 | Đường liên xã Long
P=2141 | X=0282.100-0337.860 | Y=0570.850-0580.170 | bê tông thôn
P=2141 | X=0205.030-0262.470 | Y=0576.370-0585.690 | Giáp ranh xã
P=2141 | X=0093.380-0186.820 | Y=0580.250-0591.490 | 9 Tân (cũ) đi Bù Nho
P=2141 | X=0282.100-0357.300 | Y=0582.130-0591.450 | Long Tân 2 (Ngã
P=2141 | X=0370.460-0387.100 | Y=0582.130-0591.450 | 850
P=2141 | X=0418.700-0435.340 | Y=0582.130-0591.450 | 600
P=2141 | X=0505.390-0522.030 | Y=0582.130-0591.450 | 510
P=2141 | X=0205.030-0251.940 | Y=0587.890-0597.210 | Phú Riềng
P=2141 | X=0102.770-0120.050 | Y=0591.770-0603.010 | (cũ)
P=2141 | X=0282.100-0333.790 | Y=0593.650-0602.970 | ba Nhà ông
P=2141 | X=0282.100-0305.610 | Y=0605.170-0614.490 | Tính)
P=2141 | X=0102.770-0270.190 | Y=0621.310-0632.550 | Đường liên xã Long Ngã ba đường
P=2141 | X=0282.100-0345.060 | Y=0628.950-0638.270 | Giáp ranh khu
P=2141 | X=0102.770-0260.790 | Y=0632.830-0644.070 | Tân (cũ) - Bù Nho (cũ) bê tông thôn
P=2141 | X=0282.100-0333.080 | Y=0638.590-0649.830 | QH đấu giá
P=2141 | X=0090.500-0180.360 | Y=0644.350-0655.590 | 10 (Khu dân cư thôn
P=2141 | X=0205.030-0280.230 | Y=0646.230-0655.550 | Long Tân 2 (Ngã
P=2141 | X=0362.300-0387.350 | Y=0646.230-0655.550 | 1.400
P=2141 | X=0410.540-0435.590 | Y=0646.230-0655.550 | 1.000
P=2141 | X=0505.390-0522.030 | Y=0646.230-0655.550 | 870
P=2141 | X=0282.100-0344.460 | Y=0651.990-0661.310 | TTHC xã (góc
P=2141 | X=0102.770-0256.720 | Y=0657.750-0667.070 | Long Tân 1, thôn Long ba Nhà ông
P=2141 | X=0282.100-0325.080 | Y=0663.510-0672.830 | phía Bắc)
P=2141 | X=0102.770-0131.800 | Y=0669.270-0678.590 | Tân 2)
P=2141 | X=0205.030-0228.540 | Y=0669.270-0678.590 | Tính)
P=2141 | X=0102.770-0267.990 | Y=0685.390-0696.630 | Đường liên xã Long Giáp ranh khu
P=2141 | X=0282.100-0355.160 | Y=0687.270-0696.590 | Ngã ba tiếp giáp
P=2141 | X=0090.500-0256.020 | Y=0696.910-0708.150 | 11 Tân (cũ) - Bù Nho (cũ) QH đấu giá
P=2141 | X=0282.100-0387.350 | Y=0696.910-0708.150 | đường QH số 2 1.400
P=2141 | X=0410.540-0435.590 | Y=0698.790-0708.110 | 1.000
P=2141 | X=0505.390-0522.030 | Y=0698.790-0708.110 | 870
P=2141 | X=0102.770-0180.790 | Y=0708.450-0719.690 | (Đoạn UBND xã -
P=2141 | X=0205.030-0267.390 | Y=0710.340-0719.660 | TTHC xã (góc
P=2141 | X=0282.100-0315.670 | Y=0710.340-0719.660 | (TTTM)
P=2142 | X=0102.770-0132.980 | Y=0074.620-0083.940 | TTTM)
P=2142 | X=0205.030-0271.470 | Y=0074.620-0083.940 | phía Tây Nam)
P=2142 | X=0102.770-0191.170 | Y=0090.740-0101.980 | Đường liên xã Long
P=2142 | X=0282.100-0350.610 | Y=0092.620-0101.940 | Ngã ba tạp hóa
P=2142 | X=0205.030-0278.100 | Y=0098.380-0107.700 | Ngã ba tiếp giáp
P=2142 | X=0102.770-0202.370 | Y=0102.260-0113.500 | Tân (cũ) - Bù Nho (cũ)
P=2142 | X=0282.100-0356.850 | Y=0102.260-0113.500 | Hưng Kiều (thửa
P=2142 | X=0205.030-0274.500 | Y=0108.020-0119.260 | đường QH số 2
P=2142 | X=0090.500-0101.620 | Y=0109.900-0119.220 | 12
P=2142 | X=0370.460-0387.100 | Y=0109.900-0119.220 | 850
P=2142 | X=0418.700-0435.340 | Y=0109.900-0119.220 | 600
P=2142 | X=0505.390-0522.030 | Y=0109.900-0119.220 | 510
P=2142 | X=0102.770-0191.240 | Y=0113.780-0125.020 | (Khu dân cư thôn 4,
P=2142 | X=0282.100-0343.940 | Y=0113.780-0125.020 | đất số 235, tờ
P=2142 | X=0205.030-0238.600 | Y=0121.450-0130.770 | (TTTM)
P=2142 | X=0282.100-0348.600 | Y=0125.330-0136.570 | bản đồ số 118)
P=2142 | X=0102.770-0133.970 | Y=0127.210-0136.530 | thôn 5)
P=2142 | X=0205.030-0273.550 | Y=0145.210-0154.530 | Ngã ba tạp hóa
P=2142 | X=0282.100-0349.960 | Y=0149.090-0160.330 | Ngã ba khu đất
P=2142 | X=0205.030-0279.790 | Y=0154.850-0166.090 | Hưng Kiều (thửa
P=2142 | X=0102.770-0186.360 | Y=0156.730-0166.050 | Trung lâm xã Long
P=2142 | X=0090.500-0101.620 | Y=0162.490-0171.810 | 13
P=2142 | X=0282.100-0348.920 | Y=0162.490-0171.810 | Hậu Cần Quân
P=2142 | X=0370.460-0387.100 | Y=0162.490-0171.810 | 850
P=2142 | X=0418.700-0435.340 | Y=0162.490-0171.810 | 600
P=2142 | X=0505.390-0522.030 | Y=0162.490-0171.810 | 510
P=2142 | X=0102.770-0181.950 | Y=0166.370-0177.610 | Tân (cũ) (kéo dài)
P=2142 | X=0205.030-0266.880 | Y=0166.370-0177.610 | đất số 235, tờ
P=2142 | X=0282.100-0295.560 | Y=0174.010-0183.330 | Sự
P=2142 | X=0205.030-0271.540 | Y=0177.650-0188.890 | bản đồ số 118)
P=2142 | X=0205.030-0347.250 | Y=0195.650-0206.890 | Tiếp giáp đường Ngã ba đường
P=2142 | X=0205.030-0331.640 | Y=0207.190-0218.430 | liên xã Long Tân vào trường
P=2142 | X=0102.770-0196.720 | Y=0212.950-0224.190 | Đường quy hoạch số
P=2142 | X=0205.030-0264.660 | Y=0218.710-0229.950 | (cũ) - Bù Nho
P=2142 | X=0282.100-0354.640 | Y=0220.590-0229.910 | THCS Long Tân
P=2142 | X=0090.500-0192.340 | Y=0224.470-0235.710 | 14 2 (trung tâm thương
P=2142 | X=0362.300-0387.350 | Y=0226.350-0235.670 | 1.300
P=2142 | X=0418.700-0435.340 | Y=0226.350-0235.670 | 890
P=2142 | X=0505.390-0522.030 | Y=0226.350-0235.670 | 770
P=2142 | X=0205.030-0345.810 | Y=0230.230-0241.470 | (cũ) (thửa đất số (hết ranh thửa
P=2142 | X=0102.770-0180.780 | Y=0235.990-0247.230 | mại Long Tân cũ)
P=2142 | X=0205.030-0343.940 | Y=0241.750-0252.990 | 97, tờ bản đồ số đất số 527, tờ
P=2142 | X=0282.100-0348.600 | Y=0253.270-0264.510 | bản đồ số 118)
P=2142 | X=0205.030-0224.950 | Y=0255.150-0264.470 | 118)
P=2142 | X=0102.770-0185.180 | Y=0271.270-0282.510 | Đường QH số 3, 4
P=2142 | X=0090.500-0187.300 | Y=0282.820-0294.060 | 15 (Trung tâm thương
P=2142 | X=0205.030-0255.300 | Y=0284.700-0294.020 | Toàn tuyến
P=2142 | X=0362.300-0387.350 | Y=0284.700-0294.020 | 1.300
P=2142 | X=0418.700-0435.340 | Y=0284.700-0294.020 | 890
P=2142 | X=0505.390-0522.030 | Y=0284.700-0294.020 | 770
P=2142 | X=0102.770-0184.120 | Y=0294.340-0305.580 | mại Long Tân (cũ)
P=2142 | X=0102.770-0196.220 | Y=0312.340-0323.580 | Đường QH số 5, 6, 7
P=2142 | X=0090.500-0187.300 | Y=0323.860-0335.100 | 16 (Trung tâm thương
P=2142 | X=0205.030-0255.300 | Y=0325.740-0335.060 | Toàn tuyến
P=2142 | X=0362.300-0387.350 | Y=0325.740-0335.060 | 1.400
P=2142 | X=0418.700-0435.340 | Y=0325.740-0335.060 | 950
P=2142 | X=0505.390-0522.030 | Y=0325.740-0335.060 | 820
P=2142 | X=0102.770-0184.120 | Y=0335.380-0346.620 | mại Long Tân (cũ)
P=2142 | X=0102.770-0186.840 | Y=0353.380-0364.620 | Khu dân cư Hoàng
P=2142 | X=0205.030-0250.260 | Y=0361.020-0370.340 | Các tuyến
P=2142 | X=0102.770-0191.380 | Y=0366.780-0376.100 | Việt (Công ty TNHH
P=2142 | X=0205.030-0281.420 | Y=0370.680-0381.920 | đường trong Khu
P=2142 | X=0090.500-0101.620 | Y=0372.560-0381.880 | 17
P=2142 | X=0362.300-0387.350 | Y=0372.560-0381.880 | 1.300
P=2142 | X=0418.700-0435.340 | Y=0372.560-0381.880 | 890
P=2142 | X=0505.390-0522.030 | Y=0372.560-0381.880 | 770
P=2142 | X=0102.770-0177.830 | Y=0376.200-0387.440 | MTVTM ĐT BĐS
P=2142 | X=0205.030-0236.250 | Y=0381.960-0393.200 | dân cư
P=2142 | X=0102.770-0155.810 | Y=0389.600-0398.920 | Hoàng Việt)
P=2142 | X=0102.770-0190.190 | Y=0405.720-0416.960 | Khu dân cư An Phú
P=2142 | X=0205.030-0250.260 | Y=0413.360-0422.680 | Các tuyến
P=2142 | X=0102.770-0171.250 | Y=0419.120-0428.440 | (Công ty TNHH
P=2142 | X=0205.030-0279.750 | Y=0423.000-0434.240 | đường trong khu
P=2142 | X=0090.500-0101.620 | Y=0424.880-0434.200 | 18
P=2142 | X=0362.300-0387.350 | Y=0424.880-0434.200 | 1.300
P=2142 | X=0418.700-0435.340 | Y=0424.880-0434.200 | 890
P=2142 | X=0505.390-0522.030 | Y=0424.880-0434.200 | 770
P=2142 | X=0102.770-0190.180 | Y=0428.760-0440.000 | MTVDTTM BĐS An
P=2142 | X=0205.030-0236.250 | Y=0434.520-0445.760 | dân cư
P=2142 | X=0102.770-0123.890 | Y=0442.160-0451.480 | Phú)
P=2142 | X=0102.770-0189.040 | Y=0458.300-0469.540 | Khu quy hoạch đấu
P=2142 | X=0102.770-0204.100 | Y=0471.700-0481.020 | giá TTHC xã Long Tân
P=2142 | X=0102.770-0196.710 | Y=0481.340-0492.580 | (cũ) (Trừ đường số 4
P=2142 | X=0090.500-0101.620 | Y=0488.980-0498.300 | 19
P=2142 | X=0205.030-0255.300 | Y=0488.980-0498.300 | Toàn tuyến
P=2142 | X=0362.300-0387.350 | Y=0488.980-0498.300 | 1.900
P=2142 | X=0410.540-0435.590 | Y=0488.980-0498.300 | 1.300
P=2142 | X=0497.230-0522.280 | Y=0488.980-0498.300 | 1.100
P=2142 | X=0102.770-0186.880 | Y=0492.860-0504.100 | và đường số 8 khu
P=2142 | X=0102.770-0188.020 | Y=0506.260-0515.580 | TTHC xã Long Tân
P=2142 | X=0102.770-0123.400 | Y=0515.900-0527.140 | (cũ))
P=2142 | X=0102.770-0199.020 | Y=0533.930-0545.170 | Đường số 4 (Khu quy
P=2142 | X=0090.500-0255.300 | Y=0545.450-0556.690 | 20 hoạch đấu giá TTHC Toàn tuyến
P=2142 | X=0362.300-0387.350 | Y=0547.330-0556.650 | 2.400
P=2142 | X=0410.540-0435.590 | Y=0547.330-0556.650 | 1.700
P=2142 | X=0497.230-0522.280 | Y=0547.330-0556.650 | 1.400
P=2142 | X=0102.770-0181.950 | Y=0556.970-0568.210 | xã Long Tân (cũ))
P=2142 | X=0102.770-0199.020 | Y=0574.970-0586.210 | Đường số 8 (Khu quy
P=2142 | X=0090.500-0255.300 | Y=0586.250-0597.490 | 21 hoạch đấu giá TTHC Toàn tuyến
P=2142 | X=0362.300-0387.350 | Y=0588.130-0597.450 | 2.200
P=2142 | X=0410.540-0435.590 | Y=0588.130-0597.450 | 1.500
P=2142 | X=0497.230-0522.280 | Y=0588.130-0597.450 | 1.300
P=2142 | X=0102.770-0181.950 | Y=0597.770-0609.010 | xã Long Tân (cũ))
P=2142 | X=0102.770-0203.670 | Y=0615.770-0627.010 | Đường liên huyện Phú
P=2142 | X=0102.770-0278.100 | Y=0627.310-0638.550 | Kiềng (cũ) - cầu Long Ngã ba tiếp giáp
P=2142 | X=0090.500-0101.620 | Y=0634.950-0644.270 | 22
P=2142 | X=0282.100-0345.560 | Y=0634.950-0644.270 | Cầu Long Tân
P=2142 | X=0370.460-0387.100 | Y=0634.950-0644.270 | 360
P=2142 | X=0418.700-0435.370 | Y=0634.950-0644.270 | 250
P=2142 | X=0505.390-0522.030 | Y=0634.950-0644.270 | 210
P=2142 | X=0102.770-0254.560 | Y=0638.830-0650.070 | Tân đi Tân Hưng (Hớn đường 327
P=2142 | X=0102.770-0150.760 | Y=0650.350-0661.590 | Quản (cũ))
P=2142 | X=0102.770-0203.430 | Y=0668.350-0679.590 | Đường giao thông đấu
P=2142 | X=0102.770-0204.120 | Y=0679.870-0691.110 | nối trục đường ĐT 757
P=2142 | X=0090.500-0101.620 | Y=0687.510-0696.830 | 23
P=2142 | X=0205.030-0255.300 | Y=0687.510-0696.830 | Toàn tuyến
P=2142 | X=0370.460-0387.100 | Y=0687.510-0696.830 | 430
P=2142 | X=0418.700-0435.340 | Y=0687.510-0696.830 | 300
P=2142 | X=0505.390-0522.030 | Y=0687.510-0696.830 | 260
P=2142 | X=0102.770-0193.580 | Y=0691.390-0702.630 | và ĐT 757B phạm vi
P=2142 | X=0102.770-0127.730 | Y=0704.820-0714.140 | 200m
P=2143 | X=0282.100-0354.900 | Y=0080.620-0089.940 | Hết ranh Cao su
P=2143 | X=0282.100-0344.020 | Y=0092.140-0101.460 | thuộc Công ty
P=2143 | X=0205.030-0271.380 | Y=0096.020-0107.260 | Từ thửa đất số
P=2143 | X=0102.770-0194.770 | Y=0101.780-0113.020 | Đường dọc Sông Bé
P=2143 | X=0282.100-0355.100 | Y=0103.660-0112.980 | TNHH MTV Cao
P=2143 | X=0205.030-0277.860 | Y=0107.540-0118.780 | 63, tờ bản đồ số
P=2143 | X=0090.500-0101.620 | Y=0109.420-0118.740 | 24
P=2143 | X=0370.460-0387.100 | Y=0109.420-0118.740 | 360
P=2143 | X=0418.700-0435.340 | Y=0109.420-0118.740 | 250
P=2143 | X=0505.390-0522.030 | Y=0109.420-0118.740 | 210
P=2143 | X=0102.770-0151.810 | Y=0113.300-0124.540 | giai đoạn 2
P=2143 | X=0282.100-0342.210 | Y=0115.180-0124.500 | su Phú Riềng
P=2143 | X=0205.030-0216.150 | Y=0120.970-0130.290 | 14
P=2143 | X=0282.100-0343.650 | Y=0126.730-0136.050 | tiếp giáp thửa
P=2143 | X=0282.100-0322.280 | Y=0138.250-0147.570 | 61, tờ 63
P=2143 | X=0282.100-0344.130 | Y=0156.250-0165.570 | Hết ranh thửa
P=2143 | X=0205.030-0271.380 | Y=0160.130-0171.370 | Từ thửa đất số
P=2143 | X=0102.770-0194.770 | Y=0165.650-0176.890 | Đường dọc Sông Bé
P=2143 | X=0282.100-0341.250 | Y=0167.530-0176.850 | 24, tờ 51 tiếp
P=2143 | X=0205.030-0277.860 | Y=0171.410-0182.650 | 61, tờ bản đồ số
P=2143 | X=0090.500-0101.620 | Y=0173.290-0182.610 | 25
P=2143 | X=0370.460-0387.100 | Y=0173.290-0182.610 | 430
P=2143 | X=0418.700-0435.340 | Y=0173.290-0182.610 | 300
P=2143 | X=0505.390-0522.030 | Y=0173.290-0182.610 | 260
P=2143 | X=0102.770-0151.810 | Y=0177.170-0188.410 | giai đoạn 2
P=2143 | X=0282.100-0349.950 | Y=0177.170-0188.410 | giáp đường ĐT
P=2143 | X=0205.030-0216.150 | Y=0184.810-0194.130 | 63
P=2143 | X=0282.100-0298.740 | Y=0190.570-0199.890 | 757
P=2143 | X=0102.770-0194.770 | Y=0206.710-0217.950 | Đường dọc Sông Bé
P=2143 | X=0282.100-0339.540 | Y=0208.590-0217.910 | Giáp ranh xã
P=2143 | X=0205.030-0272.340 | Y=0212.470-0223.710 | Đường ĐT 757
P=2143 | X=0090.500-0101.620 | Y=0214.350-0223.670 | 26
P=2143 | X=0370.460-0387.100 | Y=0214.350-0223.670 | 360
P=2143 | X=0418.700-0435.340 | Y=0214.350-0223.670 | 250
P=2143 | X=0505.390-0522.030 | Y=0214.350-0223.670 | 210
P=2143 | X=0102.770-0151.810 | Y=0218.230-0229.470 | giai đoạn 3
P=2143 | X=0282.100-0322.970 | Y=0220.110-0229.430 | Bình Tân
P=2143 | X=0205.030-0281.940 | Y=0236.230-0247.470 | Đường dọc Sông
P=2143 | X=0102.770-0177.490 | Y=0241.990-0253.230 | Đường thôn Phu
P=2143 | X=0282.100-0356.040 | Y=0241.990-0253.230 | Đường ĐT 757B
P=2143 | X=0205.030-0275.940 | Y=0249.630-0258.950 | Bé từ ranh thửa
P=2143 | X=0090.500-0201.270 | Y=0253.510-0264.750 | 27 Mang 1 kết nối đường
P=2143 | X=0282.100-0339.560 | Y=0253.510-0264.750 | (hướng đi xã
P=2143 | X=0370.460-0387.100 | Y=0255.390-0264.710 | 360
P=2143 | X=0418.700-0435.340 | Y=0255.390-0264.710 | 250
P=2143 | X=0505.390-0522.030 | Y=0255.390-0264.710 | 210
P=2143 | X=0205.030-0266.880 | Y=0259.270-0270.510 | đất số 140, tờ
P=2143 | X=0102.770-0160.210 | Y=0266.910-0276.230 | dọc Sông Bé
P=2143 | X=0282.100-0326.240 | Y=0266.910-0276.230 | Bình Tân)
P=2143 | X=0205.030-0249.540 | Y=0270.790-0282.030 | bản đồ 07
P=2143 | X=0102.770-0194.770 | Y=0288.820-0300.060 | Đường dọc Sông Bé
P=2143 | X=0205.030-0271.380 | Y=0300.340-0311.580 | Từ thửa đất số
P=2143 | X=0282.100-0351.080 | Y=0300.340-0311.580 | Hết thửa đất số
P=2143 | X=0102.770-0186.870 | Y=0302.220-0311.540 | từ giáp ranh huyện
P=2143 | X=0090.500-0270.190 | Y=0311.860-0323.100 | 28 Đồng Phú (cũ) đến kết 203, tờ bản đồ
P=2143 | X=0282.100-0354.920 | Y=0311.860-0323.100 | 10, tờ bản đồ số
P=2143 | X=0370.460-0387.100 | Y=0313.740-0323.060 | 360
P=2143 | X=0418.700-0435.340 | Y=0313.740-0323.060 | 250
P=2143 | X=0505.390-0522.030 | Y=0313.740-0323.060 | 210
P=2143 | X=0102.770-0234.870 | Y=0325.260-0334.580 | nối 2 KCN Long Tân - số 130
P=2143 | X=0282.100-0298.740 | Y=0325.260-0334.580 | 137
P=2143 | X=0102.770-0140.540 | Y=0336.780-0346.100 | Long Hà
P=2143 | X=0102.770-0351.080 | Y=0352.900-0364.140 | Đường dọc Sông Bé Từ thửa đất số Hết thửa đất số
P=2143 | X=0090.500-0347.250 | Y=0364.180-0375.420 | 29 giai đoạn 2 ( Long Tân 13, tờ bản đồ số 188, tờ bản đồ
P=2143 | X=0370.460-0387.100 | Y=0366.060-0375.380 | 360
P=2143 | X=0418.700-0435.340 | Y=0366.060-0375.380 | 250
P=2143 | X=0505.390-0522.030 | Y=0366.060-0375.380 | 210
P=2143 | X=0102.770-0116.690 | Y=0375.720-0386.960 | cũ)
P=2143 | X=0205.030-0221.670 | Y=0377.600-0386.920 | 115
P=2143 | X=0282.100-0311.960 | Y=0377.600-0386.920 | số 130
P=2143 | X=0102.770-0202.440 | Y=0393.720-0404.960 | Đường giao thông liên
P=2143 | X=0090.500-0101.620 | Y=0401.360-0410.680 | 30
P=2143 | X=0205.030-0255.300 | Y=0401.360-0410.680 | Toàn tuyến
P=2143 | X=0370.460-0387.100 | Y=0401.360-0410.680 | 360
P=2143 | X=0418.700-0435.340 | Y=0401.360-0410.680 | 250
P=2143 | X=0505.390-0522.030 | Y=0401.360-0410.680 | 210
P=2143 | X=0102.770-0113.650 | Y=0407.120-0416.440 | xã
P=2143 | X=0102.770-0202.470 | Y=0423.240-0434.480 | Các tuyến đường giao
