TABLE=019 | AREA=Phường Long Khánh | SECTION=non-agricultural | SEGMENTS=1
P=0611 | X=0106.850-0330.020 | Y=0647.230-0658.470 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0611 | X=0106.850-0407.500 | Y=0664.750-0675.990 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Hồng Thập
P=0611 | X=0106.850-0400.990 | Y=0676.270-0687.510 | Tự đoạn từ Ngã ba Đường Võ Duy Dương và Đường Lương Đình
P=0611 | X=0095.570-0101.170 | Y=0683.910-0693.230 | 4
P=0611 | X=0424.970-0450.020 | Y=0683.910-0693.230 | 1.300
P=0611 | X=0469.370-0486.010 | Y=0683.910-0693.230 | 910
P=0611 | X=0505.390-0522.030 | Y=0683.910-0693.230 | 780
P=0611 | X=0106.850-0408.230 | Y=0687.790-0699.030 | Của đến Đường 21 tháng 4 có hiện trạng là đường nhựa, bê tông xi
P=0611 | X=0106.850-0134.850 | Y=0699.310-0710.550 | măng:
P=0612 | X=0106.850-0384.260 | Y=0078.500-0089.740 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >600m.
P=0612 | X=0106.850-0330.490 | Y=0096.020-0107.260 | - Có bề rộng <3m, cách đường giao thông >200m.
P=0612 | X=0106.850-0392.110 | Y=0113.780-0125.020 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0612 | X=0106.850-0396.460 | Y=0125.330-0136.570 | Đường Hồng Thập Tự đoạn từ Ngã ba Đường Võ Duy Dương và
P=0612 | X=0106.850-0391.650 | Y=0136.850-0148.090 | Đường Lương Đình Của đến Đường 21 tháng 4 có hiện trạng là
P=0612 | X=0095.570-0242.600 | Y=0148.370-0159.810 | 5 đường nhựa, bê tông xi măng:
P=0612 | X=0424.970-0450.020 | Y=0150.490-0159.810 | 2.500
P=0612 | X=0461.210-0486.260 | Y=0150.490-0159.810 | 1.800
P=0612 | X=0497.230-0522.280 | Y=0150.490-0159.810 | 1.500
P=0612 | X=0106.850-0329.760 | Y=0165.650-0176.890 | - Có bề rộng ≥5m, cách đường giao thông ≤600m.
P=0612 | X=0106.850-0384.020 | Y=0183.170-0194.410 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤400m.
P=0612 | X=0106.850-0392.110 | Y=0200.950-0212.190 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0612 | X=0106.850-0396.420 | Y=0212.470-0223.710 | Đường Hồng Thập Tự đoạn từ Ngã ba Đường Võ Duy Dương và
P=0612 | X=0106.850-0391.650 | Y=0223.990-0235.230 | Đường Lương Đình Của đến Đường 21 tháng 4 có hiện trạng là
P=0612 | X=0106.850-0242.600 | Y=0235.510-0246.750 | đường nhựa, bê tông xi măng:
P=0612 | X=0095.570-0330.020 | Y=0252.270-0264.270 | 6 - Có bề rộng ≥5m, cách đường giao thông >600m.
P=0612 | X=0424.970-0450.020 | Y=0252.270-0261.590 | 1.900
P=0612 | X=0461.210-0486.260 | Y=0252.270-0261.590 | 1.300
P=0612 | X=0497.230-0522.280 | Y=0252.270-0261.590 | 1.100
P=0612 | X=0106.850-0413.270 | Y=0270.550-0281.790 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >400m đến
P=0612 | X=0106.850-0140.370 | Y=0282.100-0293.340 | ≤600m.
P=0612 | X=0106.850-0330.020 | Y=0299.620-0310.860 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0612 | X=0106.850-0392.110 | Y=0317.380-0328.620 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0612 | X=0106.850-0396.420 | Y=0328.900-0340.140 | Đường Hồng Thập Tự đoạn từ Ngã ba Đường Võ Duy Dương và
P=0612 | X=0106.850-0391.650 | Y=0340.420-0351.660 | Đường Lương Đình Của đến Đường 21 tháng 4 có hiện trạng là
P=0612 | X=0095.570-0242.600 | Y=0351.700-0363.140 | 7 đường nhựa, bê tông xi măng:
P=0612 | X=0424.970-0450.020 | Y=0353.820-0363.140 | 1.200
P=0612 | X=0469.370-0486.010 | Y=0353.820-0363.140 | 840
P=0612 | X=0505.390-0522.030 | Y=0353.820-0363.140 | 720
P=0612 | X=0106.850-0384.260 | Y=0369.240-0380.480 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >600m.
P=0612 | X=0106.850-0333.140 | Y=0386.760-0398.000 | - Có bề rộng <3m, cách đường giao thông > 200m.
P=0612 | X=0095.570-0206.490 | Y=0404.520-0415.760 | 8 Đường Hồng Thập Tự
P=0612 | X=0235.540-0414.450 | Y=0404.520-0415.760 | Đường 21 tháng 4 Đường Hùng Vương
P=0612 | X=0424.970-0450.020 | Y=0406.400-0415.720 | 5.200
P=0612 | X=0461.210-0486.260 | Y=0406.400-0415.720 | 3.600
P=0612 | X=0497.230-0522.280 | Y=0406.400-0415.720 | 3.100
P=0612 | X=0106.850-0407.500 | Y=0422.280-0433.520 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Hồng Thập
P=0612 | X=0106.850-0391.190 | Y=0433.800-0445.040 | Tự đoạn từ Đường 21 tháng 4 đến Đường Hùng Vương có hiện
P=0612 | X=0106.850-0278.630 | Y=0445.320-0456.560 | trạng là đường nhựa, bê tông xi măng:
P=0612 | X=0095.570-0101.170 | Y=0453.220-0462.540 | 9
P=0612 | X=0424.970-0450.010 | Y=0453.220-0462.540 | 2.600
P=0612 | X=0461.210-0486.260 | Y=0453.220-0462.540 | 1.800
P=0612 | X=0497.230-0522.280 | Y=0453.220-0462.540 | 1.600
P=0612 | X=0106.850-0329.760 | Y=0462.860-0474.100 | - Có bề rộng ≥5m, cách đường giao thông ≤600m.
P=0612 | X=0106.850-0384.020 | Y=0480.380-0491.620 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤400m.
P=0612 | X=0106.850-0407.500 | Y=0498.140-0509.380 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Hồng Thập
P=0612 | X=0106.850-0391.190 | Y=0509.660-0520.900 | Tự đoạn từ Đường 21 tháng 4 đến Đường Hùng Vương có hiện
P=0612 | X=0106.850-0278.630 | Y=0521.180-0532.420 | trạng là đường nhựa, bê tông xi măng:
P=0612 | X=0092.900-0330.020 | Y=0538.490-0552.810 | 10 - Có bề rộng ≥5m, cách đường giao thông >600m.
P=0612 | X=0424.970-0450.020 | Y=0543.490-0552.810 | 2.000
P=0612 | X=0461.210-0486.260 | Y=0543.490-0552.810 | 1.400
P=0612 | X=0497.230-0522.280 | Y=0543.490-0552.810 | 1.200
P=0612 | X=0106.850-0413.270 | Y=0556.010-0567.250 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >400m đến
P=0612 | X=0106.850-0140.370 | Y=0567.530-0578.770 | ≤600m.
P=0612 | X=0106.850-0330.020 | Y=0585.050-0596.290 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0612 | X=0106.850-0407.500 | Y=0602.810-0614.050 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Hồng Thập
P=0612 | X=0106.850-0391.190 | Y=0614.330-0625.570 | Tự đoạn từ Đường 21 tháng 4 đến Đường Hùng Vương có hiện
P=0612 | X=0106.850-0278.670 | Y=0625.870-0637.110 | trạng là đường nhựa, bê tông xi măng:
P=0612 | X=0092.900-0104.020 | Y=0633.750-0643.070 | 11
P=0612 | X=0424.970-0450.020 | Y=0633.750-0643.070 | 1.200
P=0612 | X=0469.370-0486.010 | Y=0633.750-0643.070 | 840
P=0612 | X=0505.390-0522.030 | Y=0633.750-0643.070 | 720
P=0612 | X=0106.850-0384.260 | Y=0643.390-0654.630 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >600m.
P=0612 | X=0106.850-0330.490 | Y=0660.910-0672.150 | - Có bề rộng <3m, cách đường giao thông >200m.
P=0612 | X=0106.850-0392.110 | Y=0678.670-0689.910 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0612 | X=0092.900-0408.710 | Y=0690.190-0701.430 | 12 Đường Hồng Thập Tự đoạn từ Đường 21 tháng 4 đến Đường Hùng
P=0612 | X=0424.970-0450.020 | Y=0692.070-0701.390 | 2.300
P=0612 | X=0461.210-0486.260 | Y=0692.070-0701.390 | 1.600
P=0612 | X=0497.230-0522.280 | Y=0692.070-0701.390 | 1.400
P=0612 | X=0106.850-0347.540 | Y=0701.730-0712.970 | Vương có hiện trạng là đường nhựa, bê tông xi măng:
P=0613 | X=0106.850-0329.760 | Y=0078.500-0089.740 | - Có bề rộng ≥5m, cách đường giao thông ≤600m.
P=0613 | X=0106.850-0384.020 | Y=0096.020-0107.260 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤400m.
P=0613 | X=0106.850-0392.110 | Y=0113.780-0125.020 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0613 | X=0106.850-0408.710 | Y=0125.330-0136.570 | Đường Hồng Thập Tự đoạn từ Đường 21 tháng 4 đến Đường Hùng
P=0613 | X=0106.850-0347.540 | Y=0136.850-0148.090 | Vương có hiện trạng là đường nhựa, bê tông xi măng:
P=0613 | X=0092.900-0330.020 | Y=0154.370-0168.450 | 13 - Có bề rộng ≥5m, cách đường giao thông >600m.
P=0613 | X=0424.970-0450.020 | Y=0159.130-0168.450 | 1.800
P=0613 | X=0461.210-0486.260 | Y=0159.130-0168.450 | 1.300
P=0613 | X=0497.230-0522.280 | Y=0159.130-0168.450 | 1.100
P=0613 | X=0106.850-0413.270 | Y=0171.650-0182.890 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >400m đến
P=0613 | X=0106.850-0140.370 | Y=0183.170-0194.410 | ≤600m.
P=0613 | X=0106.850-0330.040 | Y=0200.710-0211.950 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0613 | X=0106.850-0392.110 | Y=0218.470-0229.710 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0613 | X=0106.850-0408.710 | Y=0229.990-0241.230 | Đường Hồng Thập Tự đoạn từ Đường 21 tháng 4 đến Đường Hùng
P=0613 | X=0106.850-0347.540 | Y=0241.510-0252.750 | Vương có hiện trạng là đường nhựa, bê tông xi măng:
P=0613 | X=0092.900-0104.020 | Y=0249.390-0258.710 | 14
P=0613 | X=0424.970-0450.020 | Y=0249.390-0258.710 | 1.100
P=0613 | X=0469.370-0486.010 | Y=0249.390-0258.710 | 770
P=0613 | X=0505.390-0522.030 | Y=0249.390-0258.710 | 660
P=0613 | X=0106.850-0384.310 | Y=0259.030-0270.270 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >600m.
P=0613 | X=0106.850-0333.140 | Y=0276.550-0287.790 | - Có bề rộng <3m, cách đường giao thông > 200m.
P=0613 | X=0235.540-0293.950 | Y=0294.340-0305.580 | Đường Hùng
P=0613 | X=0322.200-0386.140 | Y=0294.340-0305.580 | Đường Hồ Thị
P=0613 | X=0092.900-0206.490 | Y=0300.100-0311.340 | 15 Đường Hồng Thập Tự
P=0613 | X=0424.970-0450.020 | Y=0301.980-0311.300 | 5.200
P=0613 | X=0461.210-0486.260 | Y=0301.980-0311.300 | 3.600
P=0613 | X=0497.230-0522.280 | Y=0301.980-0311.300 | 3.100
P=0613 | X=0235.540-0266.820 | Y=0305.860-0317.100 | Vương
P=0613 | X=0322.200-0353.950 | Y=0305.860-0317.100 | Hương
P=0613 | X=0106.850-0407.500 | Y=0323.620-0334.860 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Hồng Thập
P=0613 | X=0106.850-0407.510 | Y=0335.140-0346.380 | Tự đoạn từ Đường Hùng Vương đến Đường Hồ Thị Hương có hiện
P=0613 | X=0106.850-0278.630 | Y=0346.660-0357.900 | trạng là đường nhựa, bê tông xi măng:
P=0613 | X=0092.900-0104.020 | Y=0354.540-0363.860 | 16
P=0613 | X=0424.970-0450.020 | Y=0354.540-0363.860 | 2.600
P=0613 | X=0461.210-0486.260 | Y=0354.540-0363.860 | 1.800
P=0613 | X=0497.230-0522.280 | Y=0354.540-0363.860 | 1.600
P=0613 | X=0106.850-0329.760 | Y=0363.940-0375.180 | - Có bề rộng ≥5m, cách đường giao thông ≤600m.
P=0613 | X=0106.850-0384.020 | Y=0381.480-0392.720 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤400m.
P=0613 | X=0106.850-0407.500 | Y=0399.240-0410.480 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Hồng Thập
P=0613 | X=0106.850-0407.510 | Y=0410.760-0422.000 | Tự đoạn từ Đường Hùng Vương đến Đường Hồ Thị Hương có hiện
P=0613 | X=0106.850-0278.630 | Y=0422.280-0433.520 | trạng là đường nhựa, bê tông xi măng:
P=0613 | X=0092.900-0330.020 | Y=0439.800-0454.120 | 17 - Có bề rộng ≥5m, cách đường giao thông >600m.
P=0613 | X=0424.970-0450.020 | Y=0444.800-0454.120 | 2.000
P=0613 | X=0461.210-0486.260 | Y=0444.800-0454.120 | 1.400
P=0613 | X=0497.230-0522.280 | Y=0444.800-0454.120 | 1.200
P=0613 | X=0106.850-0413.270 | Y=0457.340-0468.580 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >400m đến
P=0613 | X=0106.850-0140.370 | Y=0468.860-0480.100 | ≤600m.
P=0613 | X=0106.850-0330.020 | Y=0486.380-0497.620 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0613 | X=0106.850-0407.500 | Y=0504.140-0515.380 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Hồng Thập
P=0613 | X=0106.850-0407.510 | Y=0515.660-0526.900 | Tự đoạn từ Đường Hùng Vương đến Đường Hồ Thị Hương có hiện
P=0613 | X=0106.850-0278.630 | Y=0527.180-0538.420 | trạng là đường nhựa, bê tông xi măng:
P=0613 | X=0092.900-0104.020 | Y=0535.090-0544.410 | 18
P=0613 | X=0424.970-0450.020 | Y=0535.090-0544.410 | 1.300
P=0613 | X=0469.370-0486.010 | Y=0535.090-0544.410 | 910
P=0613 | X=0505.390-0522.030 | Y=0535.090-0544.410 | 780
P=0613 | X=0106.850-0384.260 | Y=0544.490-0555.730 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >600m.
P=0613 | X=0106.850-0330.490 | Y=0562.010-0573.250 | - Có bề rộng <3m, cách đường giao thông >200m.
P=0613 | X=0106.850-0392.110 | Y=0579.770-0591.010 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0613 | X=0106.850-0408.220 | Y=0591.290-0602.530 | Đường Hồng Thập Tự đoạn từ Đường Hùng Vương đến Đường Hồ
P=0613 | X=0106.850-0364.570 | Y=0602.810-0614.050 | Thị Hương có hiện trạng là đường nhựa, bê tông xi măng:
P=0613 | X=0092.900-0104.020 | Y=0610.690-0620.010 | 19
P=0613 | X=0424.970-0450.020 | Y=0610.690-0620.010 | 2.300
P=0613 | X=0461.210-0486.260 | Y=0610.690-0620.010 | 1.600
P=0613 | X=0497.230-0522.280 | Y=0610.690-0620.010 | 1.400
P=0613 | X=0106.850-0329.770 | Y=0620.350-0631.590 | - Có bề rộng ≥5m, cách đường giao thông ≤600m.
P=0613 | X=0106.850-0384.020 | Y=0637.870-0649.110 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤400m.
P=0613 | X=0106.850-0392.110 | Y=0655.630-0666.870 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0613 | X=0106.850-0408.220 | Y=0667.150-0678.390 | Đường Hồng Thập Tự đoạn từ Đường Hùng Vương đến Đường Hồ
P=0613 | X=0092.900-0364.590 | Y=0677.670-0689.910 | 20 Thị Hương có hiện trạng là đường nhựa, bê tông xi măng:
P=0613 | X=0424.970-0450.020 | Y=0677.670-0686.990 | 1.800
P=0613 | X=0461.210-0486.260 | Y=0677.670-0686.990 | 1.300
P=0613 | X=0497.230-0522.280 | Y=0677.670-0686.990 | 1.100
P=0613 | X=0106.850-0330.020 | Y=0696.190-0707.430 | - Có bề rộng ≥5m, cách đường giao thông >600m.
P=0614 | X=0106.850-0413.270 | Y=0078.500-0089.740 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >400m đến
P=0614 | X=0106.850-0140.370 | Y=0090.020-0101.260 | ≤600m.
P=0614 | X=0106.850-0330.020 | Y=0107.540-0118.780 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0614 | X=0106.850-0392.140 | Y=0125.330-0136.570 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0614 | X=0106.850-0408.220 | Y=0136.850-0148.090 | Đường Hồng Thập Tự đoạn từ Đường Hùng Vương đến Đường Hồ
P=0614 | X=0106.850-0364.570 | Y=0148.370-0159.610 | Thị Hương có hiện trạng là đường nhựa, bê tông xi măng:
P=0614 | X=0092.900-0104.020 | Y=0156.250-0165.570 | 21
P=0614 | X=0424.970-0450.020 | Y=0156.250-0165.570 | 1.200
P=0614 | X=0469.370-0486.010 | Y=0156.250-0165.570 | 840
P=0614 | X=0505.390-0522.030 | Y=0156.250-0165.570 | 720
P=0614 | X=0106.850-0384.260 | Y=0165.650-0176.890 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >600m.
P=0614 | X=0106.850-0333.140 | Y=0183.170-0194.410 | - Có bề rộng <3m, cách đường giao thông > 200m.
P=0614 | X=0235.540-0299.480 | Y=0200.950-0212.190 | Đường Hồ Thị
P=0614 | X=0092.900-0194.320 | Y=0206.710-0217.950 | 22 Đường Hoàng Diệu
P=0614 | X=0322.200-0407.510 | Y=0206.710-0217.950 | Đường Ngô Quyền
P=0614 | X=0424.970-0450.020 | Y=0208.590-0217.910 | 4.500
P=0614 | X=0461.210-0486.260 | Y=0208.590-0217.910 | 3.200
P=0614 | X=0497.230-0522.280 | Y=0208.590-0217.910 | 2.700
P=0614 | X=0235.540-0267.290 | Y=0212.470-0223.710 | Hương
P=0614 | X=0106.850-0410.860 | Y=0230.230-0241.470 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Hoàng Diệu
P=0614 | X=0106.850-0410.380 | Y=0241.750-0252.990 | đoạn từ Đường Hồ Thị Hương đến Đường Ngô Quyền có hiện trạng
P=0614 | X=0106.850-0253.180 | Y=0253.270-0264.510 | là đường nhựa, bê tông xi măng:
P=0614 | X=0092.900-0104.020 | Y=0261.150-0270.470 | 23
P=0614 | X=0424.970-0450.020 | Y=0261.150-0270.470 | 2.200
P=0614 | X=0461.210-0486.260 | Y=0261.150-0270.470 | 1.500
P=0614 | X=0497.230-0522.280 | Y=0261.150-0270.470 | 1.300
P=0614 | X=0106.850-0329.770 | Y=0270.790-0282.030 | - Có bề rộng ≥5m, cách đường giao thông ≤600m.
P=0614 | X=0106.850-0384.020 | Y=0288.340-0299.580 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤400m.
P=0614 | X=0106.850-0410.860 | Y=0306.100-0317.340 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Hoàng Diệu
P=0614 | X=0106.850-0410.380 | Y=0317.620-0328.860 | đoạn từ Đường Hồ Thị Hương đến Đường Ngô Quyền có hiện trạng
P=0614 | X=0106.850-0253.180 | Y=0329.140-0340.380 | là đường nhựa, bê tông xi măng:
P=0614 | X=0092.900-0330.020 | Y=0346.660-0360.740 | 24 - Có bề rộng ≥5m, cách đường giao thông >600m.
P=0614 | X=0424.970-0450.020 | Y=0351.420-0360.740 | 1.800
P=0614 | X=0461.210-0486.260 | Y=0351.420-0360.740 | 1.300
P=0614 | X=0497.230-0522.280 | Y=0351.420-0360.740 | 1.100
P=0614 | X=0106.850-0413.270 | Y=0363.940-0375.180 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >400m đến
P=0614 | X=0106.850-0140.370 | Y=0375.480-0386.720 | ≤600m.
P=0614 | X=0106.850-0330.020 | Y=0393.000-0404.240 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0614 | X=0106.850-0410.860 | Y=0410.760-0422.000 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Hoàng Diệu
P=0614 | X=0106.850-0410.380 | Y=0422.280-0433.520 | đoạn từ Đường Hồ Thị Hương đến Đường Ngô Quyền có hiện trạng
P=0614 | X=0106.850-0253.180 | Y=0433.800-0445.040 | là đường nhựa, bê tông xi măng:
P=0614 | X=0092.900-0104.020 | Y=0441.680-0451.000 | 25
P=0614 | X=0424.970-0450.020 | Y=0441.680-0451.000 | 1.300
P=0614 | X=0469.370-0486.010 | Y=0441.680-0451.000 | 910
P=0614 | X=0505.390-0522.030 | Y=0441.680-0451.000 | 780
P=0614 | X=0106.850-0384.260 | Y=0451.340-0462.580 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >600m.
P=0614 | X=0106.850-0330.490 | Y=0468.860-0480.100 | - Có bề rộng <3m, cách đường giao thông >200m.
P=0614 | X=0106.850-0392.140 | Y=0486.620-0497.860 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0614 | X=0106.850-0407.510 | Y=0498.140-0509.380 | Đường Hoàng Diệu đoạn từ Đường Hồ Thị Hương đến Đường Ngô
P=0614 | X=0106.850-0346.090 | Y=0509.660-0520.900 | Quyền có hiện trạng là đường nhựa, bê tông xi măng:
P=0614 | X=0092.900-0104.020 | Y=0517.540-0526.860 | 26
P=0614 | X=0424.970-0450.020 | Y=0517.540-0526.860 | 2.000
P=0614 | X=0461.210-0486.260 | Y=0517.540-0526.860 | 1.400
P=0614 | X=0497.230-0522.280 | Y=0517.540-0526.860 | 1.200
P=0614 | X=0106.850-0329.760 | Y=0527.180-0538.420 | - Có bề rộng ≥5m, cách đường giao thông ≤600m.
P=0614 | X=0106.850-0384.020 | Y=0544.490-0555.730 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤400m.
P=0614 | X=0106.850-0392.110 | Y=0562.250-0573.490 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0614 | X=0106.850-0407.510 | Y=0573.770-0585.010 | Đường Hoàng Diệu đoạn từ Đường Hồ Thị Hương đến Đường Ngô
P=0614 | X=0106.850-0346.090 | Y=0585.290-0596.530 | Quyền có hiện trạng là đường nhựa, bê tông xi măng:
P=0614 | X=0092.900-0330.020 | Y=0602.810-0617.130 | 27 - Có bề rộng ≥5m, cách đường giao thông >600m.
P=0614 | X=0424.970-0450.020 | Y=0607.810-0617.130 | 1.600
P=0614 | X=0461.210-0486.260 | Y=0607.810-0617.130 | 1.100
P=0614 | X=0505.390-0522.030 | Y=0607.810-0617.130 | 960
P=0614 | X=0106.850-0413.270 | Y=0620.350-0631.590 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >400m đến
P=0614 | X=0106.850-0140.370 | Y=0631.870-0643.110 | ≤600m.
P=0614 | X=0106.850-0330.020 | Y=0649.390-0660.630 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0614 | X=0106.850-0392.110 | Y=0667.150-0678.390 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
