TABLE=002 | AREA=Phường Trấn Biên | SECTION=non-agricultural | SEGMENTS=1
P=0015 | X=0114.290-0321.140 | Y=0651.310-0662.550 | có hiện trạng là đường nhựa, bê tông xi măng:
P=0015 | X=0099.170-0104.770 | Y=0664.950-0674.270 | 2
P=0015 | X=0400.700-0425.750 | Y=0664.950-0674.270 | 8.900
P=0015 | X=0437.210-0462.260 | Y=0664.950-0674.270 | 6.200
P=0015 | X=0497.230-0522.280 | Y=0664.950-0674.270 | 5.300
P=0015 | X=0114.290-0337.200 | Y=0668.830-0680.070 | - Có bề rộng ≥5m, cách đường giao thông ≤600m.
P=0015 | X=0114.290-0355.400 | Y=0686.350-0697.590 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=0015 | X=0114.290-0147.810 | Y=0697.870-0709.110 | ≤400m.
P=0016 | X=0114.290-0362.610 | Y=0078.740-0089.980 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường
P=0016 | X=0114.290-0376.540 | Y=0090.260-0101.500 | Nguyễn Tri Phương đoạn từ Cầu Rạch Cát đến cầu Ghềnh
P=0016 | X=0114.290-0321.140 | Y=0101.780-0113.020 | có hiện trạng là đường nhựa, bê tông xi măng:
P=0016 | X=0099.170-0104.770 | Y=0115.420-0124.740 | 3
P=0016 | X=0400.700-0425.750 | Y=0115.420-0124.740 | 4.900
P=0016 | X=0437.210-0462.260 | Y=0115.420-0124.740 | 3.400
P=0016 | X=0497.230-0522.280 | Y=0115.420-0124.740 | 2.900
P=0016 | X=0114.290-0337.460 | Y=0119.330-0130.570 | - Có bề rộng ≥5m, cách đường giao thông >600m.
P=0016 | X=0114.290-0367.600 | Y=0136.850-0148.090 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=0016 | X=0114.290-0200.840 | Y=0148.370-0159.610 | >400m đến ≤600m.
P=0016 | X=0114.290-0362.610 | Y=0166.370-0177.610 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường
P=0016 | X=0114.290-0376.540 | Y=0177.650-0188.890 | Nguyễn Tri Phương đoạn từ Cầu Rạch Cát đến cầu Ghềnh
P=0016 | X=0114.290-0321.140 | Y=0189.170-0200.410 | có hiện trạng là đường nhựa, bê tông xi măng:
P=0016 | X=0099.170-0104.770 | Y=0202.830-0212.150 | 4
P=0016 | X=0400.700-0425.750 | Y=0202.830-0212.150 | 3.800
P=0016 | X=0437.210-0462.250 | Y=0202.830-0212.150 | 2.700
P=0016 | X=0497.230-0522.280 | Y=0202.830-0212.150 | 2.300
P=0016 | X=0114.290-0355.400 | Y=0206.710-0217.950 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=0016 | X=0114.290-0148.050 | Y=0220.110-0229.430 | >600m.
P=0016 | X=0114.290-0337.930 | Y=0235.750-0246.990 | - Có bề rộng <3m, cách đường giao thông >200m.
P=0016 | X=0114.290-0369.580 | Y=0253.750-0264.990 | Các tuyến đường giao thông đấu nối trực tiếp và thông ra
P=0016 | X=0114.290-0378.470 | Y=0265.270-0276.510 | Đường Nguyễn Tri Phương đoạn từ Cầu Rạch Cát đến cầu
P=0016 | X=0114.290-0354.010 | Y=0276.790-0288.030 | Ghềnh có hiện trạng là đường nhựa, bê tông xi măng:
P=0016 | X=0099.170-0104.770 | Y=0290.460-0299.780 | 5
P=0016 | X=0400.700-0425.750 | Y=0290.460-0299.780 | 8.000
P=0016 | X=0437.210-0462.260 | Y=0290.460-0299.780 | 5.600
P=0016 | X=0497.230-0522.280 | Y=0290.460-0299.780 | 4.800
P=0016 | X=0114.290-0337.240 | Y=0294.340-0305.580 | - Có bề rộng ≥5m, cách đường giao thông ≤600m.
P=0016 | X=0114.290-0355.400 | Y=0311.860-0323.100 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=0016 | X=0114.290-0147.810 | Y=0323.380-0334.620 | ≤400m.
P=0016 | X=0114.290-0387.800 | Y=0341.380-0352.620 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=0016 | X=0114.290-0371.020 | Y=0352.900-0364.140 | ra Đường Nguyễn Tri Phương đoạn từ Cầu Rạch Cát đến
P=0016 | X=0114.290-0372.730 | Y=0364.180-0375.420 | cầu Ghềnh có hiện trạng là đường nhựa, bê tông xi măng:
P=0016 | X=0099.170-0337.480 | Y=0381.720-0396.040 | 6 - Có bề rộng ≥5m, cách đường giao thông >600m.
P=0016 | X=0400.700-0425.750 | Y=0386.720-0396.040 | 4.400
P=0016 | X=0437.210-0462.260 | Y=0386.720-0396.040 | 3.100
P=0016 | X=0497.230-0522.280 | Y=0386.720-0396.040 | 2.600
P=0016 | X=0114.290-0364.720 | Y=0399.240-0410.480 | - Có bề rộng từ≥3m đến <5m, cách đường giao thông từ
P=0016 | X=0114.290-0200.840 | Y=0410.760-0422.000 | >400m đến ≤600m.
P=0016 | X=0114.290-0337.460 | Y=0428.280-0439.520 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0016 | X=0114.290-0387.800 | Y=0446.280-0457.520 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=0016 | X=0114.290-0387.830 | Y=0457.820-0469.060 | ra Đường Nguyễn Tri Phương đoạn từ cầu Rạch Cát đến cầu
P=0016 | X=0114.290-0354.010 | Y=0469.340-0480.580 | Ghềnh có hiện trạng là đường nhựa, bê tông xi măng:
P=0016 | X=0099.170-0104.770 | Y=0482.980-0492.300 | 7
P=0016 | X=0400.700-0425.750 | Y=0482.980-0492.300 | 3.400
P=0016 | X=0437.210-0462.260 | Y=0482.980-0492.300 | 2.400
P=0016 | X=0497.230-0522.280 | Y=0482.980-0492.300 | 2.000
P=0016 | X=0114.290-0355.400 | Y=0486.860-0498.100 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=0016 | X=0114.290-0148.050 | Y=0500.260-0509.580 | >600m.
P=0016 | X=0114.290-0340.580 | Y=0515.900-0527.140 | - Có bề rộng <3m, cách đường giao thông > 200m.
P=0016 | X=0114.290-0256.020 | Y=0533.930-0545.170 | Đường Huỳnh Đường Nguyễn
P=0016 | X=0256.180-0379.060 | Y=0539.690-0550.930 | Đường Nguyễn Bỉnh Khiêm
P=0016 | X=0099.170-0104.770 | Y=0541.570-0550.890 | 8
P=0016 | X=0395.180-0462.250 | Y=0541.570-0550.890 | 36.800 25.800
P=0016 | X=0491.710-0522.280 | Y=0541.570-0550.890 | 22.100
P=0016 | X=0114.290-0158.770 | Y=0545.450-0556.690 | Văn Nghệ
P=0016 | X=0187.030-0222.790 | Y=0547.330-0556.650 | Ái Quốc
P=0016 | X=0114.290-0362.610 | Y=0563.450-0574.690 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường
P=0016 | X=0114.290-0357.320 | Y=0574.970-0586.210 | Huỳnh Văn Nghệ đoạn từ Đường Nguyễn Ái Quốc đến
P=0016 | X=0114.290-0383.980 | Y=0586.250-0597.490 | Đường Nguyễn Bỉnh Khiêm có hiện trạng là đường nhựa, bê
P=0016 | X=0114.290-0174.450 | Y=0597.770-0609.010 | tông xi măng:
P=0016 | X=0099.170-0104.770 | Y=0605.650-0614.970 | 9
P=0016 | X=0395.180-0462.260 | Y=0605.650-0614.970 | 16.500 11.600
P=0016 | X=0497.230-0522.280 | Y=0605.650-0614.970 | 9.900
P=0016 | X=0114.290-0337.200 | Y=0615.290-0626.530 | - Có bề rộng ≥5m, cách đường giao thông ≤600m.
P=0016 | X=0114.290-0355.400 | Y=0632.830-0644.070 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=0016 | X=0114.290-0147.810 | Y=0644.350-0655.590 | ≤400m.
P=0016 | X=0114.290-0362.610 | Y=0662.350-0673.590 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường
P=0016 | X=0114.290-0357.320 | Y=0673.870-0685.110 | Huỳnh Văn Nghệ đoạn từ Đường Nguyễn Ái Quốc đến
P=0016 | X=0096.290-0107.410 | Y=0681.510-0690.830 | 10
P=0016 | X=0400.700-0425.750 | Y=0681.510-0690.830 | 8.200
P=0016 | X=0437.210-0462.260 | Y=0681.510-0690.830 | 5.700
P=0016 | X=0497.230-0522.280 | Y=0681.510-0690.830 | 4.900
P=0016 | X=0114.290-0383.980 | Y=0685.390-0696.630 | Đường Nguyễn Bỉnh Khiêm có hiện trạng là đường nhựa, bê
P=0016 | X=0114.290-0174.450 | Y=0696.910-0708.150 | tông xi măng:
P=0017 | X=0114.290-0337.460 | Y=0078.740-0089.980 | - Có bề rộng ≥5m, cách đường giao thông >600m.
P=0017 | X=0114.290-0367.600 | Y=0096.260-0107.500 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=0017 | X=0114.290-0200.840 | Y=0107.780-0119.020 | >400m đến ≤600m.
P=0017 | X=0114.290-0337.460 | Y=0125.330-0136.570 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0017 | X=0114.290-0362.610 | Y=0143.330-0154.570 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường
P=0017 | X=0114.290-0357.320 | Y=0154.850-0166.090 | Huỳnh Văn Nghệ đoạn từ Đường Nguyễn Ái Quốc đến
P=0017 | X=0114.290-0383.980 | Y=0166.370-0177.610 | Đường Nguyễn Bỉnh Khiêm có hiện trạng là đường nhựa, bê
P=0017 | X=0114.290-0174.450 | Y=0177.650-0188.890 | tông xi măng:
P=0017 | X=0096.290-0107.410 | Y=0185.530-0194.850 | 11
P=0017 | X=0400.700-0425.750 | Y=0185.530-0194.850 | 5.700
P=0017 | X=0437.210-0462.260 | Y=0185.530-0194.850 | 4.000
P=0017 | X=0497.230-0522.280 | Y=0185.530-0194.850 | 3.400
P=0017 | X=0114.290-0355.400 | Y=0195.170-0206.410 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=0017 | X=0114.290-0148.050 | Y=0208.590-0217.910 | >600m.
P=0017 | X=0114.290-0337.930 | Y=0224.230-0235.470 | - Có bề rộng <3m, cách đường giao thông >200m.
P=0017 | X=0114.290-0387.820 | Y=0242.230-0253.470 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=0017 | X=0114.290-0383.900 | Y=0253.750-0264.990 | ra Đường Huỳnh Văn Nghệ đoạn từ Đường Nguyễn Ái Quốc
P=0017 | X=0114.290-0360.450 | Y=0265.270-0276.510 | đến Đường Nguyễn Bỉnh Khiêm có hiện trạng là đường
P=0017 | X=0114.290-0217.400 | Y=0276.790-0288.030 | nhựa, bê tông xi măng:
P=0017 | X=0096.290-0107.410 | Y=0284.700-0294.020 | 12
P=0017 | X=0395.180-0462.260 | Y=0284.700-0294.020 | 14.900 10.400
P=0017 | X=0497.230-0522.270 | Y=0284.700-0294.020 | 8.900
P=0017 | X=0114.290-0337.200 | Y=0294.340-0305.580 | - Có bề rộng ≥5m, cách đường giao thông ≤600m.
P=0017 | X=0114.290-0355.400 | Y=0311.860-0323.100 | - Cố bề rộng từ ≥3m đến <5m, cách đường giao thông
P=0017 | X=0114.290-0147.810 | Y=0323.380-0334.620 | ≤400m.
P=0017 | X=0114.290-0387.800 | Y=0341.380-0352.620 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=0017 | X=0114.290-0383.900 | Y=0352.900-0364.140 | ra Đường Huỳnh Văn Nghệ đoạn từ Đường Nguyễn Ái Quốc
P=0017 | X=0114.290-0360.450 | Y=0364.180-0375.420 | đến Đường Nguyễn Bỉnh Khiêm có hiện trạng là đường
P=0017 | X=0114.290-0217.400 | Y=0375.720-0386.960 | nhựa, bê tông xi măng:
P=0017 | X=0096.290-0337.460 | Y=0392.480-0404.480 | 13 - Có bề rộng ≥5m, cách đường giao thông >600m.
P=0017 | X=0400.700-0425.750 | Y=0392.480-0401.800 | 7.400
P=0017 | X=0437.210-0462.260 | Y=0392.480-0401.800 | 5.200
P=0017 | X=0497.230-0522.280 | Y=0392.480-0401.800 | 4.400
P=0017 | X=0114.290-0367.600 | Y=0410.760-0422.000 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=0017 | X=0114.290-0200.840 | Y=0422.280-0433.520 | >400m đến ≤600m.
P=0017 | X=0114.290-0337.460 | Y=0439.800-0451.040 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0017 | X=0114.290-0387.800 | Y=0457.820-0469.060 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=0017 | X=0114.290-0383.900 | Y=0469.340-0480.580 | ra Đường Huỳnh Văn Nghệ đoạn từ Đường Nguyễn Ái Quốc
P=0017 | X=0114.290-0388.870 | Y=0480.860-0492.100 | đến Đường Nguyễn Bỉnh Khiêm có hiện hạng là đường nhựa,
P=0017 | X=0114.290-0188.370 | Y=0492.380-0503.620 | bê tông xi măng:
P=0017 | X=0096.290-0107.410 | Y=0500.260-0509.580 | 14
P=0017 | X=0400.700-0425.750 | Y=0500.260-0509.580 | 5.100
P=0017 | X=0437.210-0462.260 | Y=0500.260-0509.580 | 3.600
P=0017 | X=0497.230-0522.280 | Y=0500.260-0509.580 | 3.100
P=0017 | X=0114.290-0355.400 | Y=0509.900-0521.140 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=0017 | X=0114.290-0148.050 | Y=0523.300-0532.620 | >600m.
P=0017 | X=0114.290-0340.580 | Y=0538.970-0550.210 | - Có bề rộng <3m, cách đường giao thông > 200m.
P=0017 | X=0114.290-0256.020 | Y=0556.970-0568.210 | Đường Huỳnh Đường Nguyễn
P=0017 | X=0256.180-0355.560 | Y=0562.490-0573.730 | Đường Ngô Thì Nhậm
P=0017 | X=0096.290-0107.410 | Y=0564.370-0573.690 | 15
P=0017 | X=0395.180-0462.260 | Y=0564.370-0573.690 | 27.900 19.500
P=0017 | X=0491.710-0522.280 | Y=0564.370-0573.690 | 16.700
P=0017 | X=0114.290-0158.770 | Y=0568.250-0579.490 | Văn Nghệ
P=0017 | X=0187.030-0238.130 | Y=0570.130-0579.450 | Bỉnh Khiêm
P=0017 | X=0114.290-0362.610 | Y=0586.250-0597.490 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường
P=0017 | X=0114.290-0372.700 | Y=0597.770-0609.010 | Huỳnh Văn Nghệ đoạn từ Đường Nguyễn Bỉnh Khiêm đến
P=0017 | X=0114.290-0382.750 | Y=0609.290-0620.530 | Đường Ngô Thì Nhậm có hiện trạng là đường nhựa, bê tông
P=0017 | X=0114.290-0152.120 | Y=0620.830-0632.070 | xi măng:
P=0017 | X=0096.290-0107.410 | Y=0628.710-0638.030 | 16
P=0017 | X=0395.180-0425.750 | Y=0628.710-0638.030 | 14.000
P=0017 | X=0437.210-0462.260 | Y=0628.710-0638.030 | 9.800
P=0017 | X=0497.230-0522.280 | Y=0628.710-0638.030 | 8.400
P=0017 | X=0114.290-0337.200 | Y=0638.350-0649.590 | - Có bề rộng ≥5m, cách đường giao thông ≤600m.
P=0017 | X=0114.290-0355.400 | Y=0655.870-0667.110 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=0017 | X=0114.290-0147.810 | Y=0667.390-0678.630 | ≤400m.
P=0017 | X=0114.290-0362.610 | Y=0685.390-0696.630 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường
P=0017 | X=0096.290-0372.700 | Y=0696.910-0708.150 | 17 Huỳnh Văn Nghệ đoạn từ Đường Nguyễn Bỉnh Khiêm đến
P=0017 | X=0400.700-0425.750 | Y=0698.790-0708.110 | 6.600
P=0017 | X=0437.210-0462.260 | Y=0698.790-0708.110 | 4.600
P=0017 | X=0497.230-0522.280 | Y=0698.790-0708.110 | 4.000
P=0017 | X=0114.290-0382.750 | Y=0708.450-0719.690 | Đường Ngô Thì Nhậm có hiện trạng là đường nhựa, bê tông
P=0018 | X=0114.290-0152.120 | Y=0072.740-0083.980 | xi măng:
P=0018 | X=0114.290-0337.460 | Y=0090.260-0101.500 | - Có bề rộng ≥5m, cách đường giao thông >600m.
P=0018 | X=0114.290-0367.600 | Y=0107.780-0119.020 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=0018 | X=0114.290-0200.840 | Y=0119.330-0130.570 | >400m đến ≤600m.
P=0018 | X=0114.290-0337.460 | Y=0136.850-0148.090 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0018 | X=0114.290-0362.610 | Y=0154.850-0166.090 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường
P=0018 | X=0114.290-0372.700 | Y=0166.370-0177.610 | Huỳnh Văn Nghệ đoạn từ Đường Nguyễn Bỉnh Khiêm đến
P=0018 | X=0114.290-0382.750 | Y=0177.650-0188.890 | Đường Ngô Thì Nhậm có hiện trạng là đường nhựa, bê tông
P=0018 | X=0114.290-0152.120 | Y=0189.170-0200.410 | xi măng:
P=0018 | X=0096.290-0107.410 | Y=0197.050-0206.370 | 18
P=0018 | X=0400.700-0425.750 | Y=0197.050-0206.370 | 4.400
P=0018 | X=0437.210-0462.260 | Y=0197.050-0206.370 | 3.100
P=0018 | X=0497.230-0522.280 | Y=0197.050-0206.370 | 2.600
P=0018 | X=0114.290-0355.400 | Y=0206.710-0217.950 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=0018 | X=0114.290-0148.050 | Y=0220.110-0229.430 | >600m.
P=0018 | X=0114.290-0337.930 | Y=0235.750-0246.990 | - Có bề rộng <3m, cách đường giao thông >200m.
P=0018 | X=0114.290-0387.820 | Y=0253.750-0264.990 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=0018 | X=0114.290-0368.150 | Y=0265.270-0276.510 | ra Đường Huỳnh Văn Nghệ đoạn từ Đường Nguyễn Bỉnh
P=0018 | X=0114.290-0368.140 | Y=0276.790-0288.030 | Khiêm đến Đường Ngô Thì Nhậm có hiện trạng là đường
P=0018 | X=0114.290-0217.400 | Y=0288.340-0299.580 | nhựa, bê tông xi măng:
P=0018 | X=0096.290-0107.410 | Y=0296.220-0305.540 | 19
P=0018 | X=0395.180-0425.750 | Y=0296.220-0305.540 | 12.600
P=0018 | X=0437.210-0462.260 | Y=0296.220-0305.540 | 8.800
P=0018 | X=0497.230-0522.280 | Y=0296.220-0305.540 | 7.600
P=0018 | X=0114.290-0337.200 | Y=0305.860-0317.100 | - Có bề rộng ≥5m, cách đường giao thông ≤600m.
P=0018 | X=0114.290-0355.400 | Y=0323.380-0334.620 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=0018 | X=0114.290-0147.810 | Y=0334.900-0346.140 | ≤400m.
P=0018 | X=0114.290-0387.800 | Y=0352.900-0364.140 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=0018 | X=0114.290-0368.150 | Y=0364.180-0375.420 | ra Đường Huỳnh Văn Nghệ đoạn từ Đường Nguyễn Bỉnh
P=0018 | X=0114.290-0368.140 | Y=0375.720-0386.960 | Khiêm đến Đường Ngô Thì Nhậm có hiện trạng là đường
P=0018 | X=0114.290-0217.400 | Y=0387.240-0398.480 | nhựa, bê tông xi măng:
P=0018 | X=0096.290-0337.460 | Y=0404.000-0416.000 | 20 - Có bề rộng ≥5m, cách đường giao thông >600m.
P=0018 | X=0400.700-0425.750 | Y=0404.000-0413.320 | 5.900
P=0018 | X=0437.210-0462.260 | Y=0404.000-0413.320 | 4.100
P=0018 | X=0497.230-0522.280 | Y=0404.000-0413.320 | 3.500
P=0018 | X=0114.290-0367.600 | Y=0422.280-0433.520 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=0018 | X=0114.290-0200.840 | Y=0433.800-0445.040 | >400m đến ≤600m.
P=0018 | X=0114.290-0337.460 | Y=0451.340-0462.580 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0018 | X=0114.290-0387.800 | Y=0469.340-0480.580 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=0018 | X=0114.290-0368.150 | Y=0480.860-0492.100 | ra Đường Huỳnh Văn Nghệ đoạn từ Đường Nguyễn Bỉnh
P=0018 | X=0114.290-0368.140 | Y=0492.380-0503.620 | Khiêm đến Đường Ngô Thì Nhậm có hiện trạng là đường
P=0018 | X=0114.290-0217.400 | Y=0503.900-0515.140 | nhựa, bê tông xi măng:
P=0018 | X=0096.290-0107.410 | Y=0511.780-0521.100 | 21
P=0018 | X=0400.700-0425.750 | Y=0511.780-0521.100 | 4.000
P=0018 | X=0437.210-0462.260 | Y=0511.780-0521.100 | 2.800
P=0018 | X=0497.230-0522.280 | Y=0511.780-0521.100 | 2.400
P=0018 | X=0114.290-0355.400 | Y=0521.420-0532.660 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=0018 | X=0114.290-0148.050 | Y=0534.850-0544.170 | >600m.
P=0018 | X=0114.290-0340.580 | Y=0550.250-0561.490 | - Có bề rộng <3m, cách đường giao thông > 200m.
P=0018 | X=0114.290-0239.920 | Y=0568.250-0579.490 | Đường Huỳnh Đường Ngô
P=0018 | X=0256.180-0365.260 | Y=0574.010-0585.250 | Đường Võ Trường Toản
P=0018 | X=0096.290-0107.410 | Y=0575.890-0585.210 | 22
P=0018 | X=0395.180-0462.260 | Y=0575.890-0585.210 | 21.600 15.100
P=0018 | X=0491.710-0522.280 | Y=0575.890-0585.210 | 13.000
P=0018 | X=0114.290-0158.770 | Y=0579.770-0591.010 | Văn Nghệ
P=0018 | X=0187.030-0230.950 | Y=0581.650-0590.970 | Thì Nhậm
P=0018 | X=0114.290-0362.610 | Y=0597.770-0609.010 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường
P=0018 | X=0114.290-0383.990 | Y=0609.290-0620.530 | Huỳnh Văn Nghệ đoạn từ Đường Ngô Thì Nhậm đến Đường
P=0018 | X=0114.290-0367.870 | Y=0620.830-0632.070 | Võ Trường Toản có hiện trạng là đường nhựa, bê tông xi
P=0018 | X=0114.290-0142.290 | Y=0632.350-0643.590 | măng:
P=0018 | X=0096.290-0107.410 | Y=0640.230-0649.550 | 23
P=0018 | X=0395.180-0425.750 | Y=0640.230-0649.550 | 10.200
P=0018 | X=0437.210-0462.260 | Y=0640.230-0649.550 | 7.100
P=0018 | X=0497.230-0522.280 | Y=0640.230-0649.550 | 6.100
P=0018 | X=0114.290-0337.200 | Y=0649.870-0661.110 | - Có bề rộng ≥5m, cách đường giao thông ≤600m.
P=0018 | X=0114.290-0355.400 | Y=0667.390-0678.630 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=0018 | X=0114.290-0147.810 | Y=0678.910-0690.150 | ≤400m.
P=0018 | X=0114.290-0362.610 | Y=0696.910-0708.150 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường
P=0018 | X=0096.290-0107.410 | Y=0704.580-0713.900 | 24
P=0018 | X=0400.700-0425.750 | Y=0704.580-0713.900 | 4.900
P=0018 | X=0437.210-0462.260 | Y=0704.580-0713.900 | 3.400
P=0018 | X=0497.230-0522.280 | Y=0704.580-0713.900 | 2.900
P=0018 | X=0114.290-0383.990 | Y=0708.450-0719.690 | Huỳnh Văn Nghệ đoạn từ Đường Ngô Thì Nhậm đến Đường
P=0019 | X=0114.290-0367.870 | Y=0072.740-0083.980 | Võ Trường Toản có hiện trạng là đường nhựa, bê tông xi
P=0019 | X=0114.290-0142.290 | Y=0084.260-0095.500 | măng:
P=0019 | X=0114.290-0337.480 | Y=0101.780-0113.020 | - Có bề rộng ≥5m, cách đường giao thông >600m.
P=0019 | X=0114.290-0367.600 | Y=0119.330-0130.570 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=0019 | X=0114.290-0200.840 | Y=0130.850-0142.090 | >400m đến ≤600m.
P=0019 | X=0114.290-0337.460 | Y=0148.370-0159.610 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0019 | X=0114.290-0362.610 | Y=0166.370-0177.610 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường
P=0019 | X=0114.290-0383.990 | Y=0177.650-0188.890 | Huỳnh Văn Nghệ đoạn từ Đường Ngô Thì Nhậm đến Đường
P=0019 | X=0114.290-0367.870 | Y=0189.170-0200.410 | Võ Trường Toản có hiện trạng là đường nhựa, bê tông xi
P=0019 | X=0114.290-0142.290 | Y=0200.710-0211.950 | măng:
P=0019 | X=0096.290-0107.410 | Y=0208.590-0217.910 | 25
P=0019 | X=0400.700-0425.750 | Y=0208.590-0217.910 | 3.800
P=0019 | X=0437.210-0462.260 | Y=0208.590-0217.910 | 2.700
P=0019 | X=0497.230-0522.280 | Y=0208.590-0217.910 | 2.300
P=0019 | X=0114.290-0355.400 | Y=0218.230-0229.470 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=0019 | X=0114.290-0148.050 | Y=0231.630-0240.950 | >600m.
P=0019 | X=0114.290-0337.930 | Y=0247.270-0258.510 | - Có bề rộng <3m, cách đường giao thông >200m.
P=0019 | X=0114.290-0387.800 | Y=0265.270-0276.510 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=0019 | X=0114.290-0375.980 | Y=0276.790-0288.030 | ra Đường Huỳnh Văn Nghệ đoạn từ Đường Ngô Thì Nhậm
P=0019 | X=0114.290-0375.430 | Y=0288.340-0299.580 | đến Đường Võ Trường Toản có hiện trạng là đường nhựa,
P=0019 | X=0114.290-0188.370 | Y=0299.860-0311.100 | bê tông xi măng:
P=0019 | X=0096.290-0107.410 | Y=0307.740-0317.060 | 26
P=0019 | X=0400.700-0425.750 | Y=0307.740-0317.060 | 9.200
P=0019 | X=0437.210-0462.260 | Y=0307.740-0317.060 | 6.400
P=0019 | X=0497.230-0522.280 | Y=0307.740-0317.060 | 5.500
P=0019 | X=0114.290-0337.200 | Y=0317.380-0328.620 | - Có bề rộng ≥5m, cách đường giao thông ≤600m.
