TABLE=009 | AREA=Phường Phước Tân | SECTION=non-agricultural | SEGMENTS=1
P=0325 | X=0098.450-0104.050 | Y=0388.640-0397.960 | 9
P=0325 | X=0397.820-0422.870 | Y=0388.640-0397.960 | 9.000
P=0325 | X=0446.330-0471.380 | Y=0388.640-0397.960 | 6.300
P=0325 | X=0497.230-0522.280 | Y=0388.640-0397.960 | 5.400
P=0325 | X=0112.850-0335.770 | Y=0392.520-0403.760 | - Có bề rộng ≥5m, cách đường giao thông ≤600m.
P=0325 | X=0112.850-0353.960 | Y=0410.040-0421.280 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=0325 | X=0112.850-0146.370 | Y=0421.560-0432.800 | ≤400m.
P=0325 | X=0112.850-0376.290 | Y=0439.320-0450.560 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Võ
P=0325 | X=0112.850-0372.950 | Y=0450.860-0462.100 | Nguyên Giáp đoạn từ Đầu cầu số 3 đến Đường Chu Mạnh
P=0325 | X=0112.850-0345.370 | Y=0462.380-0473.620 | Trinh có hiện trạng là đường nhựa, bê tông xi măng:
P=0325 | X=0095.810-0336.020 | Y=0479.900-0493.980 | 10 - Có bề rộng ≥5m, cách đường giao thông >600m.
P=0325 | X=0397.820-0422.870 | Y=0484.660-0493.980 | 5.200
P=0325 | X=0446.330-0471.380 | Y=0484.660-0493.980 | 3.600
P=0325 | X=0497.230-0522.280 | Y=0484.660-0493.980 | 3.100
P=0325 | X=0112.850-0366.160 | Y=0497.420-0508.660 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=0325 | X=0112.850-0199.400 | Y=0508.940-0520.180 | >400m đến ≤600m.
P=0325 | X=0112.850-0336.020 | Y=0526.220-0537.460 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0325 | X=0112.850-0376.290 | Y=0544.010-0555.250 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Võ
P=0325 | X=0112.850-0372.950 | Y=0555.530-0566.770 | Nguyên Giáp đoạn từ Đầu cầu số 3 đến Đường Chu Mạnh
P=0325 | X=0112.850-0345.370 | Y=0567.050-0578.290 | Trinh có hiện trạng là đường nhựa, bê tông xi măng:
P=0325 | X=0095.810-0106.930 | Y=0580.690-0590.010 | 11
P=0325 | X=0397.820-0422.870 | Y=0580.690-0590.010 | 2.900
P=0325 | X=0446.330-0471.380 | Y=0580.690-0590.010 | 2.000
P=0325 | X=0497.230-0522.280 | Y=0580.690-0590.010 | 1.700
P=0325 | X=0112.850-0353.960 | Y=0584.570-0595.810 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=0325 | X=0112.850-0146.610 | Y=0597.970-0607.290 | >600m.
P=0325 | X=0112.850-0336.490 | Y=0613.610-0624.850 | - Có bề rộng <3m, cách đường giao thông >200m.
P=0325 | X=0112.850-0358.760 | Y=0631.390-0642.630 | Các tuyến đường giao thông không đấu nối trực tiếp và
P=0325 | X=0112.850-0359.240 | Y=0642.910-0654.150 | thông ra Đường Võ Nguyên Giáp đoạn từ Đầu cầu số 3
P=0325 | X=0112.850-0371.350 | Y=0654.430-0665.670 | đến Đường Chu Mạnh Trinh có hiện trạng là đường nhựa,
P=0325 | X=0095.810-0186.930 | Y=0665.950-0677.390 | 12 bê tông xi măng:
P=0325 | X=0397.820-0422.870 | Y=0668.070-0677.390 | 8.100
P=0325 | X=0446.330-0471.380 | Y=0668.070-0677.390 | 5.700
P=0325 | X=0497.230-0522.270 | Y=0668.070-0677.390 | 4.900
P=0325 | X=0112.850-0335.760 | Y=0683.470-0694.710 | - Có bề rộng ≥5m, cách đường giao thông ≤600m.
P=0325 | X=0112.850-0353.960 | Y=0700.770-0712.010 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=0326 | X=0112.850-0146.370 | Y=0072.500-0083.740 | ≤400m.
P=0326 | X=0112.850-0358.760 | Y=0090.260-0101.500 | Các tuyến đường giao thông không đấu nối trực tiếp và
P=0326 | X=0112.850-0359.240 | Y=0101.780-0113.020 | thông ra Đường Võ Nguyên Giáp đoạn từ Đầu cầu số 3
P=0326 | X=0112.850-0371.350 | Y=0113.300-0124.540 | đến Đường Chu Mạnh Trinh có hiện trạng là đường nhựa,
P=0326 | X=0112.850-0186.930 | Y=0124.850-0136.090 | bê tông xi măng:
P=0326 | X=0095.810-0336.020 | Y=0141.370-0153.610 | 13 - Có bề rộng ≥5m, cách đường giao thông >600m.
P=0326 | X=0397.820-0422.870 | Y=0141.370-0150.690 | 4.700
P=0326 | X=0446.330-0471.380 | Y=0141.370-0150.690 | 3.300
P=0326 | X=0497.230-0522.280 | Y=0141.370-0150.690 | 2.800
P=0326 | X=0112.850-0366.160 | Y=0159.650-0170.890 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=0326 | X=0112.850-0199.400 | Y=0171.170-0182.410 | >400m đến ≤600m.
P=0326 | X=0112.850-0336.020 | Y=0188.690-0199.930 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0326 | X=0112.850-0358.760 | Y=0206.470-0217.710 | Các tuyến đường giao thông không đấu nối trực tiếp và
P=0326 | X=0112.850-0359.240 | Y=0217.990-0229.230 | thông ra Đường Võ Nguyên Giáp đoạn từ Đầu cầu số 3
P=0326 | X=0112.850-0371.350 | Y=0229.510-0240.750 | đến Đường Chu Mạnh Trinh có hiện trạng là đường nhựa,
P=0326 | X=0112.850-0186.930 | Y=0241.030-0252.270 | bê tông xi măng:
P=0326 | X=0095.810-0106.930 | Y=0248.910-0258.230 | 14
P=0326 | X=0397.820-0422.870 | Y=0248.910-0258.230 | 2.600
P=0326 | X=0446.330-0471.380 | Y=0248.910-0258.230 | 1.800
P=0326 | X=0497.230-0522.280 | Y=0248.910-0258.230 | 1.600
P=0326 | X=0112.850-0353.960 | Y=0258.550-0269.790 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=0326 | X=0112.850-0146.610 | Y=0271.950-0281.270 | >600m.
P=0326 | X=0112.850-0339.140 | Y=0287.620-0298.860 | - Có bề rộng <3m, cách đường giao thông > 200m.
P=0326 | X=0297.240-0354.920 | Y=0307.260-0316.580 | Hết ranh giới
P=0326 | X=0112.850-0196.930 | Y=0311.140-0322.380 | Đường Võ Nguyên
P=0326 | X=0211.030-0291.790 | Y=0311.140-0322.380 | Đường Chu Mạnh
P=0326 | X=0297.240-0366.140 | Y=0316.900-0328.140 | phường Phước
P=0326 | X=0095.810-0106.930 | Y=0318.780-0328.100 | 15
P=0326 | X=0392.300-0422.870 | Y=0318.780-0328.100 | 12.200
P=0326 | X=0446.330-0471.380 | Y=0318.780-0328.100 | 8.500
P=0326 | X=0497.230-0522.280 | Y=0318.780-0328.100 | 7.300
P=0326 | X=0112.850-0134.280 | Y=0324.540-0333.860 | Giáp
P=0326 | X=0211.030-0234.130 | Y=0324.540-0333.860 | Trinh
P=0326 | X=0297.240-0314.600 | Y=0330.300-0339.620 | Tân
P=0326 | X=0112.850-0376.290 | Y=0345.940-0357.180 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Võ
P=0326 | X=0112.850-0355.250 | Y=0357.460-0368.700 | Nguyên Giáp đoạn từ Đường Chu Mạnh Trinh đến Hết
P=0326 | X=0112.850-0376.630 | Y=0369.000-0380.240 | ranh giới phường Phước Tân có hiện trạng là đường nhựa,
P=0326 | X=0112.850-0186.930 | Y=0380.520-0391.760 | bê tông xi măng:
P=0326 | X=0095.810-0106.930 | Y=0388.400-0397.720 | 16
P=0326 | X=0397.820-0422.870 | Y=0388.400-0397.720 | 5.600
P=0326 | X=0446.330-0471.380 | Y=0388.400-0397.720 | 3.900
P=0326 | X=0497.230-0522.280 | Y=0388.400-0397.720 | 3.400
P=0326 | X=0112.850-0335.760 | Y=0398.040-0409.280 | - Có bề rộng ≥5m, cách đường giao thông ≤600m.
P=0326 | X=0112.850-0353.960 | Y=0415.560-0426.800 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=0326 | X=0112.850-0146.370 | Y=0427.080-0438.320 | ≤400m.
P=0326 | X=0112.850-0376.290 | Y=0444.840-0456.080 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Võ
P=0326 | X=0112.850-0355.250 | Y=0456.380-0467.620 | Nguyên Giáp đoạn từ Đường Chu Mạnh Trinh đến Hết
P=0326 | X=0112.850-0376.630 | Y=0467.900-0479.140 | ranh giới phường Phước Tân có hiện trạng là đường nhựa,
P=0326 | X=0112.850-0186.930 | Y=0479.420-0490.660 | bê tông xi măng:
P=0326 | X=0095.810-0336.020 | Y=0495.940-0508.180 | 17 - Có bề rộng ≥5m, cách đường giao thông >600m.
P=0326 | X=0397.820-0422.870 | Y=0495.940-0505.260 | 4.000
P=0326 | X=0446.330-0471.380 | Y=0495.940-0505.260 | 2.800
P=0326 | X=0497.230-0522.280 | Y=0495.940-0505.260 | 2.400
P=0326 | X=0112.850-0366.160 | Y=0514.220-0525.460 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=0326 | X=0112.850-0199.400 | Y=0525.740-0536.980 | >400m đến ≤600m.
P=0326 | X=0112.850-0336.020 | Y=0543.290-0554.530 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0326 | X=0112.850-0376.290 | Y=0561.050-0572.290 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Võ
P=0326 | X=0112.850-0355.250 | Y=0572.570-0583.810 | Nguyên Giáp đoạn từ Đường Chu Mạnh Trinh đến Hết
P=0326 | X=0112.850-0376.630 | Y=0584.090-0595.330 | ranh giới phường Phước Tân có hiện trạng là đường nhựa,
P=0326 | X=0112.850-0186.930 | Y=0595.610-0606.850 | bê tông xi măng:
P=0326 | X=0095.810-0106.930 | Y=0603.490-0612.810 | 18
P=0326 | X=0397.820-0422.870 | Y=0603.490-0612.810 | 2.000
P=0326 | X=0446.330-0471.380 | Y=0603.490-0612.810 | 1.400
P=0326 | X=0497.230-0522.280 | Y=0603.490-0612.810 | 1.200
P=0326 | X=0112.850-0353.960 | Y=0613.130-0624.370 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=0326 | X=0112.850-0146.610 | Y=0626.550-0635.870 | >600m.
P=0326 | X=0112.850-0336.490 | Y=0642.190-0653.430 | - Có bề rộng <3m, cách đường giao thông >200m.
P=0326 | X=0112.850-0358.760 | Y=0659.950-0671.190 | Các tuyến đường giao thông không đấu nối trực tiếp và
P=0326 | X=0112.850-0353.010 | Y=0671.470-0682.710 | thông ra Đường Võ Nguyên Giáp đoạn từ Đường Chu
P=0326 | X=0095.810-0106.930 | Y=0679.110-0688.430 | 19
P=0326 | X=0397.820-0422.870 | Y=0679.110-0688.430 | 5.000
P=0326 | X=0446.330-0471.380 | Y=0679.110-0688.430 | 3.500
P=0326 | X=0497.230-0522.280 | Y=0679.110-0688.430 | 3.000
P=0326 | X=0112.850-0370.070 | Y=0682.750-0693.990 | Mạnh Trinh đến Hết ranh giới phường Phước Tân có hiện
P=0326 | X=0112.850-0284.630 | Y=0694.270-0705.510 | trạng là đường nhựa, bê tông xi măng:
P=0327 | X=0112.850-0335.760 | Y=0078.500-0089.740 | - Có bề rộng ≥5m, cách đường giao thông ≤600m.
P=0327 | X=0112.850-0353.960 | Y=0096.020-0107.260 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=0327 | X=0112.850-0146.370 | Y=0107.540-0118.780 | ≤400m.
P=0327 | X=0112.850-0358.760 | Y=0125.330-0136.570 | Các tuyến đường giao thông không đấu nối trực tiếp và
P=0327 | X=0112.850-0353.010 | Y=0136.850-0148.090 | thông ra Đường Võ Nguyên Giáp đoạn từ Đường Chu
P=0327 | X=0112.850-0370.070 | Y=0148.370-0159.610 | Mạnh Trinh đến Hết ranh giới phường Phước Tân có hiện
P=0327 | X=0112.850-0284.630 | Y=0159.650-0170.890 | trạng là đường nhựa, bê tông xi măng:
P=0327 | X=0095.810-0336.040 | Y=0176.410-0188.410 | 20 - Có bề rộng ≥5m, cách đường giao thông >600m.
P=0327 | X=0397.820-0422.870 | Y=0176.410-0185.730 | 3.600
P=0327 | X=0446.330-0471.380 | Y=0176.410-0185.730 | 2.500
P=0327 | X=0497.230-0522.280 | Y=0176.410-0185.730 | 2.200
P=0327 | X=0112.850-0366.160 | Y=0194.690-0205.930 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=0327 | X=0112.850-0199.400 | Y=0206.230-0217.470 | >400m đến ≤600m.
P=0327 | X=0112.850-0336.020 | Y=0223.750-0234.990 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0327 | X=0112.850-0358.760 | Y=0241.510-0252.750 | Các tuyến đường giao thông không đấu nối trực tiếp và
P=0327 | X=0112.850-0353.010 | Y=0253.030-0264.270 | thông ra Đường Võ Nguyên Giáp đoạn từ Đường Chu
P=0327 | X=0112.850-0370.070 | Y=0264.550-0275.790 | Mạnh Trinh đến Hết ranh giới phường Phước Tân có hiện
P=0327 | X=0112.850-0284.630 | Y=0276.070-0287.310 | trạng là đường nhựa, bê tông xi măng:
P=0327 | X=0095.810-0106.930 | Y=0283.980-0293.300 | 21
P=0327 | X=0397.820-0422.870 | Y=0283.980-0293.300 | 1.800
P=0327 | X=0446.330-0471.380 | Y=0283.980-0293.300 | 1.300
P=0327 | X=0497.230-0522.280 | Y=0283.980-0293.300 | 1.100
P=0327 | X=0112.850-0353.960 | Y=0293.620-0304.860 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=0327 | X=0112.850-0146.610 | Y=0307.020-0316.340 | >600m.
P=0327 | X=0112.850-0339.140 | Y=0322.660-0333.900 | - Có bề rộng <3m, cách đường giao thông > 200m.
P=0327 | X=0112.850-0200.770 | Y=0340.420-0351.660 | Đường Đinh Quang
P=0327 | X=0297.240-0362.630 | Y=0342.300-0351.620 | Hết Chùa Viên
P=0327 | X=0095.810-0106.930 | Y=0347.820-0357.140 | 22
P=0327 | X=0211.030-0259.620 | Y=0347.820-0357.140 | Quốc lộ 51
P=0327 | X=0392.300-0422.870 | Y=0347.820-0357.140 | 14.200
P=0327 | X=0446.330-0471.380 | Y=0347.820-0357.140 | 9.900
P=0327 | X=0497.230-0522.280 | Y=0347.820-0357.140 | 8.500
P=0327 | X=0112.850-0125.170 | Y=0353.580-0362.900 | Ân
P=0327 | X=0297.240-0325.650 | Y=0353.580-0362.900 | Thông
P=0327 | X=0112.850-0361.170 | Y=0369.480-0380.720 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường
P=0327 | X=0112.850-0357.080 | Y=0381.000-0392.240 | Đinh Quang Ân đoạn từ Quốc lộ 51 đến Hết Chùa Viên
P=0327 | X=0112.850-0350.890 | Y=0392.520-0403.760 | Thông có hiện trạng là đường nhựa, bê tông xi măng:
P=0327 | X=0095.810-0106.930 | Y=0406.160-0415.480 | 23
P=0327 | X=0397.820-0422.870 | Y=0406.160-0415.480 | 7.800
P=0327 | X=0446.330-0471.380 | Y=0406.160-0415.480 | 5.500
P=0327 | X=0497.230-0522.280 | Y=0406.160-0415.480 | 4.700
P=0327 | X=0112.850-0335.760 | Y=0410.040-0421.280 | - Có bề rộng ≥5m, cách đường giao thông ≤600m.
P=0327 | X=0112.850-0353.960 | Y=0427.560-0438.800 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=0327 | X=0112.850-0146.370 | Y=0439.080-0450.320 | ≤400m.
P=0327 | X=0112.850-0361.170 | Y=0456.860-0468.100 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường
P=0327 | X=0112.850-0357.080 | Y=0468.380-0479.620 | Đinh Quang Ân đoạn từ Quốc lộ 51 đến Hết Chùa Viên
P=0327 | X=0112.850-0350.890 | Y=0479.900-0491.140 | Thông có hiện trạng là đường nhựa, bê tông xi măng:
P=0327 | X=0095.810-0336.040 | Y=0497.420-0511.500 | 24 - Có bề rộng ≥5m, cách đường giao thông >600m.
P=0327 | X=0397.820-0422.870 | Y=0502.180-0511.500 | 4.400
P=0327 | X=0446.330-0471.380 | Y=0502.180-0511.500 | 3.100
P=0327 | X=0497.230-0522.280 | Y=0502.180-0511.500 | 2.600
P=0327 | X=0112.850-0366.160 | Y=0514.940-0526.180 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=0327 | X=0112.850-0199.400 | Y=0526.220-0537.460 | >400m đến ≤600m.
P=0327 | X=0112.850-0336.020 | Y=0543.770-0555.010 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0327 | X=0112.850-0361.170 | Y=0561.530-0572.770 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường
P=0327 | X=0112.850-0357.080 | Y=0573.050-0584.290 | Đinh Quang Ân đoạn từ Quốc lộ 51 đến Hết Chùa Viên
P=0327 | X=0112.850-0350.890 | Y=0584.570-0595.810 | Thông có hiện trạng là đường nhựa, bê tông xi măng:
P=0327 | X=0095.810-0106.930 | Y=0598.210-0607.530 | 25
P=0327 | X=0397.820-0422.870 | Y=0598.210-0607.530 | 3.700
P=0327 | X=0446.330-0471.380 | Y=0598.210-0607.530 | 2.600
P=0327 | X=0497.230-0522.280 | Y=0598.210-0607.530 | 2.200
P=0327 | X=0112.850-0353.960 | Y=0602.090-0613.330 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=0327 | X=0112.850-0146.610 | Y=0615.490-0624.810 | >600m.
P=0327 | X=0112.850-0336.490 | Y=0631.150-0642.390 | - Có bề rộng <3m, cách đường giao thông >200m.
P=0327 | X=0112.850-0358.760 | Y=0648.910-0660.150 | Các tuyến đường giao thông không đấu nối trực tiếp và
