TABLE=080 | AREA=Xã Nghĩa Trung | SECTION=non-agricultural | SEGMENTS=1
P=2079 | X=0093.380-0098.980 | Y=0115.930-0125.250 | 6
P=2079 | X=0367.340-0392.390 | Y=0115.930-0125.250 | 1.800
P=2079 | X=0427.370-0452.420 | Y=0115.930-0125.250 | 1.300
P=2079 | X=0497.230-0522.280 | Y=0115.930-0125.250 | 1.100
P=2079 | X=0269.380-0332.110 | Y=0119.810-0131.050 | trường cao su
P=2079 | X=0102.770-0113.890 | Y=0121.690-0131.010 | 14
P=2079 | X=0176.230-0248.060 | Y=0121.690-0131.010 | thôn Bình Trung
P=2079 | X=0102.770-0247.370 | Y=0137.810-0149.050 | Đường Quốc lộ Hết trụ sở Nông
P=2079 | X=0269.380-0353.160 | Y=0139.690-0149.010 | Ranh giữa thôn 8 -
P=2079 | X=0093.380-0098.980 | Y=0145.450-0154.770 | 7
P=2079 | X=0367.340-0392.390 | Y=0145.450-0154.770 | 1.400
P=2079 | X=0435.530-0452.170 | Y=0145.450-0154.770 | 950
P=2079 | X=0505.390-0522.030 | Y=0145.450-0154.770 | 810
P=2079 | X=0176.230-0238.960 | Y=0149.330-0160.570 | trường cao su
P=2079 | X=0102.770-0113.890 | Y=0151.210-0160.530 | 14
P=2079 | X=0269.380-0329.470 | Y=0151.210-0160.530 | thôn Bình Lợi
P=2079 | X=0102.770-0250.490 | Y=0167.330-0178.570 | Đường Quốc lộ Giáp ranh với xã
P=2079 | X=0269.380-0359.730 | Y=0169.210-0178.530 | Cầu 23 (gần chợ Bù
P=2079 | X=0093.380-0098.980 | Y=0174.970-0184.290 | 8
P=2079 | X=0367.340-0392.390 | Y=0174.970-0184.290 | 2.100
P=2079 | X=0427.370-0452.420 | Y=0174.970-0184.290 | 1.400
P=2079 | X=0497.230-0522.280 | Y=0174.970-0184.290 | 1.200
P=2079 | X=0176.230-0222.780 | Y=0178.850-0190.090 | Đồng Tâm
P=2079 | X=0102.770-0113.890 | Y=0180.730-0190.050 | 14
P=2079 | X=0269.380-0285.460 | Y=0180.730-0190.050 | Na)
P=2079 | X=0102.770-0361.180 | Y=0196.850-0208.090 | Đường Quốc lộ Cầu 23 (gần chợ Bù Thửa đất 305 tờ bản
P=2079 | X=0093.380-0098.980 | Y=0204.510-0213.830 | 9
P=2079 | X=0367.340-0392.390 | Y=0204.510-0213.830 | 2.700
P=2079 | X=0427.370-0452.420 | Y=0204.510-0213.830 | 1.900
P=2079 | X=0497.230-0522.280 | Y=0204.510-0213.830 | 1.600
P=2079 | X=0269.380-0313.160 | Y=0208.390-0219.630 | đồ số 116
P=2079 | X=0102.770-0113.890 | Y=0210.270-0219.590 | 14
P=2079 | X=0176.230-0192.310 | Y=0210.270-0219.590 | Na)
P=2079 | X=0102.770-0358.700 | Y=0226.390-0237.630 | Đường Quốc lộ Thửa đất 305 tờ bản Ranh giữa thôn 11 -
P=2079 | X=0090.500-0101.620 | Y=0233.790-0243.110 | 10
P=2079 | X=0367.340-0392.390 | Y=0233.790-0243.110 | 1.600
P=2079 | X=0427.370-0452.420 | Y=0233.790-0243.110 | 1.100
P=2079 | X=0505.390-0522.030 | Y=0233.790-0243.110 | 970
P=2079 | X=0176.230-0219.990 | Y=0237.670-0248.910 | đồ số 116
P=2079 | X=0102.770-0113.890 | Y=0239.550-0248.870 | 14
P=2079 | X=0269.380-0341.210 | Y=0239.550-0248.870 | thôn Bình Trung
P=2079 | X=0102.770-0171.990 | Y=0255.670-0266.910 | Đường Quốc lộ
P=2079 | X=0090.500-0101.620 | Y=0263.310-0272.630 | 11
P=2079 | X=0176.230-0222.400 | Y=0263.310-0272.630 | Ngã ba 32
P=2079 | X=0269.380-0315.550 | Y=0263.310-0272.630 | Ngã ba 33
P=2079 | X=0367.340-0392.390 | Y=0263.310-0272.630 | 1.300
P=2079 | X=0435.530-0452.170 | Y=0263.310-0272.630 | 880
P=2079 | X=0505.390-0522.030 | Y=0263.310-0272.630 | 760
P=2079 | X=0102.770-0127.330 | Y=0267.190-0278.430 | 14 cũ
P=2079 | X=0102.770-0171.990 | Y=0285.220-0296.460 | Đường Quốc lộ
P=2079 | X=0269.380-0345.320 | Y=0290.980-0302.220 | Ngã ba Đức Liễu
P=2079 | X=0090.500-0101.620 | Y=0292.860-0302.180 | 12
P=2079 | X=0176.230-0222.400 | Y=0292.860-0302.180 | Ngã ba 33
P=2079 | X=0367.340-0392.390 | Y=0292.860-0302.180 | 1.600
P=2079 | X=0427.370-0452.420 | Y=0292.860-0302.180 | 1.100
P=2079 | X=0505.390-0522.030 | Y=0292.860-0302.180 | 970
P=2079 | X=0102.770-0127.330 | Y=0296.740-0307.980 | 14 cũ
P=2079 | X=0102.770-0171.990 | Y=0314.740-0325.980 | Đường Quốc lộ
P=2079 | X=0176.230-0252.180 | Y=0320.500-0331.740 | Ngã ba Đức Liễu
P=2079 | X=0090.500-0101.620 | Y=0322.380-0331.700 | 13
P=2079 | X=0269.380-0301.630 | Y=0322.380-0331.700 | Cầu 38
P=2079 | X=0367.340-0392.390 | Y=0322.380-0331.700 | 1.200
P=2079 | X=0435.530-0452.170 | Y=0322.380-0331.700 | 820
P=2079 | X=0505.390-0522.030 | Y=0322.380-0331.700 | 700
P=2079 | X=0102.770-0127.330 | Y=0326.260-0337.500 | 14 cũ
P=2079 | X=0102.770-0155.170 | Y=0344.260-0355.500 | Đường Sao
P=2079 | X=0269.380-0353.490 | Y=0344.260-0355.500 | Ngã ba đường vào
P=2079 | X=0090.500-0101.620 | Y=0351.900-0361.220 | 14
P=2079 | X=0176.230-0255.300 | Y=0351.900-0361.220 | Ngã ba Sao Bọng
P=2079 | X=0367.340-0392.390 | Y=0351.900-0361.220 | 1.600
P=2079 | X=0427.370-0452.420 | Y=0351.900-0361.220 | 1.100
P=2079 | X=0505.390-0522.030 | Y=0351.900-0361.220 | 960
P=2079 | X=0102.770-0174.610 | Y=0355.780-0367.020 | Bọng - Đăng Hà
P=2079 | X=0269.380-0316.970 | Y=0357.660-0366.980 | tổ 7 thôn 2
P=2079 | X=0102.770-0155.170 | Y=0373.800-0385.040 | Đường Sao
P=2079 | X=0176.230-0353.160 | Y=0373.800-0385.040 | Ngã ba đường vào Ranh giữa thôn 9 -
P=2079 | X=0090.500-0101.620 | Y=0381.440-0390.760 | 15
P=2079 | X=0375.500-0392.140 | Y=0381.440-0390.760 | 800
P=2079 | X=0435.530-0452.170 | Y=0381.440-0390.760 | 560
P=2079 | X=0505.390-0522.030 | Y=0381.440-0390.760 | 480
P=2079 | X=0102.770-0223.820 | Y=0385.320-0396.560 | Bọng - Đăng Hà tổ 7 thôn 2
P=2079 | X=0269.380-0334.990 | Y=0385.320-0396.560 | xã Phước Sơn
P=2079 | X=0102.770-0153.980 | Y=0403.320-0414.560 | Đường bên
P=2079 | X=0090.500-0226.470 | Y=0414.840-0426.080 | 16 hông chợ Đức Toàn tuyến
P=2079 | X=0367.340-0392.390 | Y=0416.720-0426.040 | 3.200
P=2079 | X=0427.370-0452.420 | Y=0416.720-0426.040 | 2.300
P=2079 | X=0497.230-0522.280 | Y=0416.720-0426.040 | 1.900
P=2079 | X=0102.770-0169.730 | Y=0426.360-0437.600 | Liễu cũ (2 bên)
P=2079 | X=0269.380-0352.480 | Y=0446.240-0455.560 | Giáp Nhà máy tinh
P=2079 | X=0090.500-0160.610 | Y=0450.140-0461.380 | 17 Đường tổ 3B
P=2079 | X=0176.230-0257.620 | Y=0450.140-0461.380 | Bên hông điện lực
P=2079 | X=0375.500-0392.140 | Y=0452.020-0461.340 | 630
P=2079 | X=0435.530-0452.170 | Y=0452.020-0461.340 | 440
P=2079 | X=0505.390-0522.030 | Y=0452.020-0461.340 | 380
P=2079 | X=0269.380-0316.730 | Y=0457.780-0467.100 | bột VeDan
P=2079 | X=0269.380-0353.960 | Y=0473.900-0485.140 | Đầu ranh đất Ngân
P=2079 | X=0269.380-0351.080 | Y=0487.300-0496.620 | hàng Nông nghiệp
P=2079 | X=0090.500-0154.210 | Y=0491.180-0502.420 | 18 Đường tổ 1
P=2079 | X=0176.230-0259.140 | Y=0491.180-0502.420 | Đường Quốc lộ 14
P=2079 | X=0375.500-0392.140 | Y=0493.060-0502.380 | 810
P=2079 | X=0435.530-0452.170 | Y=0493.060-0502.380 | 570
P=2079 | X=0505.390-0522.030 | Y=0493.060-0502.380 | 490
P=2079 | X=0269.380-0350.610 | Y=0498.820-0508.140 | và Phát triển nông
P=2079 | X=0269.380-0288.900 | Y=0510.100-0519.420 | thôn
P=2079 | X=0176.230-0260.820 | Y=0526.220-0537.460 | Đầu ranh đất Ngân
P=2079 | X=0176.230-0349.070 | Y=0537.770-0549.010 | hàng Nông nghiệp Đối diện Nhà máy
P=2079 | X=0090.500-0154.210 | Y=0543.530-0554.770 | 19 Đường tổ 1
P=2079 | X=0375.500-0392.140 | Y=0545.410-0554.730 | 720
P=2079 | X=0435.530-0452.170 | Y=0545.410-0554.730 | 500
P=2079 | X=0505.390-0522.030 | Y=0545.410-0554.730 | 430
P=2079 | X=0176.230-0335.710 | Y=0551.170-0560.490 | và Phát triển nông tinh bột VeDan
P=2079 | X=0176.230-0195.750 | Y=0562.690-0572.010 | thôn
P=2079 | X=0102.770-0166.450 | Y=0578.810-0590.050 | Đường liên xã
P=2079 | X=0090.500-0149.810 | Y=0590.330-0601.570 | 20 Đức Liễu -
P=2079 | X=0176.230-0226.470 | Y=0592.210-0601.530 | Toàn tuyến
P=2079 | X=0375.500-0392.140 | Y=0592.210-0601.530 | 810
P=2079 | X=0435.530-0452.170 | Y=0592.210-0601.530 | 570
P=2079 | X=0505.390-0522.030 | Y=0592.210-0601.530 | 490
P=2079 | X=0102.770-0173.070 | Y=0601.850-0613.090 | Nghĩa Bình (cũ)
P=2079 | X=0102.770-0160.690 | Y=0619.870-0631.110 | Đường nhựa
P=2079 | X=0269.380-0358.520 | Y=0625.630-0636.870 | Hết đất ông Nguyễn
P=2079 | X=0090.500-0159.170 | Y=0631.390-0642.630 | 21 Nghĩa Bình -
P=2079 | X=0176.230-0259.140 | Y=0631.390-0642.630 | Đường Quốc lộ 14
P=2079 | X=0367.340-0392.390 | Y=0633.270-0642.590 | 1.400
P=2079 | X=0435.530-0452.170 | Y=0633.270-0642.590 | 950
P=2079 | X=0505.390-0522.030 | Y=0633.270-0642.590 | 810
P=2079 | X=0269.380-0312.900 | Y=0639.030-0648.350 | Tuấn Anh
P=2079 | X=0102.770-0158.520 | Y=0642.910-0654.150 | Nghĩa Trung
P=2079 | X=0102.770-0160.690 | Y=0660.910-0672.150 | Đường nhựa
P=2079 | X=0176.230-0356.330 | Y=0666.670-0677.910 | Hết đất ông Nguyễn Giáp ranh xã Nghĩa
P=2079 | X=0090.500-0159.170 | Y=0672.430-0683.670 | 22 Nghĩa Bình -
P=2079 | X=0367.340-0392.390 | Y=0674.310-0683.630 | 1.200
P=2079 | X=0435.530-0452.170 | Y=0674.310-0683.630 | 820
P=2079 | X=0505.390-0522.030 | Y=0674.310-0683.630 | 700
P=2079 | X=0269.380-0315.690 | Y=0678.190-0689.430 | Trung (cũ)
P=2079 | X=0176.230-0219.750 | Y=0680.070-0689.390 | Tuấn Anh
P=2079 | X=0102.770-0158.520 | Y=0683.950-0695.190 | Nghĩa Trung
P=2079 | X=0090.500-0348.120 | Y=0701.970-0713.210 | 23 Đường liên xã Ranh xã Nghĩa Bình Ngã ba Minh Đức
P=2079 | X=0375.500-0392.140 | Y=0703.860-0713.180 | 900
P=2079 | X=0435.530-0452.170 | Y=0703.860-0713.180 | 630
P=2079 | X=0505.390-0522.030 | Y=0703.860-0713.180 | 540
P=2080 | X=0102.770-0159.170 | Y=0072.740-0083.980 | Nghĩa Bình -
P=2080 | X=0176.230-0243.190 | Y=0072.740-0083.980 | - Đức Liễu (cũ)
P=2080 | X=0102.770-0175.240 | Y=0084.260-0095.500 | Thống Nhất (cũ)
P=2080 | X=0102.770-0164.770 | Y=0102.260-0113.500 | Đường tên xã
P=2080 | X=0269.380-0360.140 | Y=0108.020-0119.260 | Giáp ranh xã Phước
P=2080 | X=0090.500-0159.170 | Y=0113.780-0125.020 | 24 Nghĩa Bình -
P=2080 | X=0176.230-0254.980 | Y=0113.780-0125.020 | Ngã ba Minh Đức
P=2080 | X=0375.500-0392.140 | Y=0115.660-0124.980 | 770
P=2080 | X=0435.530-0452.170 | Y=0115.660-0124.980 | 540
P=2080 | X=0505.390-0522.030 | Y=0115.660-0124.980 | 460
P=2080 | X=0269.380-0288.410 | Y=0119.570-0130.810 | Sơn
P=2080 | X=0102.770-0175.240 | Y=0125.330-0136.570 | Thống Nhất (cũ)
P=2080 | X=0090.500-0259.140 | Y=0143.330-0154.570 | 25 Đường Sóc 28 Đường Quốc lộ 14
P=2080 | X=0269.380-0312.450 | Y=0145.210-0154.530 | Hết tuyến
P=2080 | X=0375.500-0392.140 | Y=0145.210-0154.530 | 630
P=2080 | X=0435.530-0452.170 | Y=0145.210-0154.530 | 440
P=2080 | X=0505.390-0522.030 | Y=0145.210-0154.530 | 380
P=2080 | X=0269.380-0348.600 | Y=0161.330-0172.570 | Giáp ranh xã Đức
P=2080 | X=0090.500-0259.140 | Y=0167.090-0178.330 | 26 Đường Sóc 29 Đường Quốc lộ 14
P=2080 | X=0375.500-0392.140 | Y=0168.970-0178.290 | 650
P=2080 | X=0435.530-0452.170 | Y=0168.970-0178.290 | 450
P=2080 | X=0505.390-0522.030 | Y=0168.970-0178.290 | 390
P=2080 | X=0269.380-0308.500 | Y=0172.850-0184.090 | Liễu (cũ)
P=2080 | X=0102.770-0172.940 | Y=0190.850-0202.090 | Đường vào nhà
P=2080 | X=0269.380-0359.220 | Y=0198.490-0207.810 | Giáp ranh thôn Bình
P=2080 | X=0090.500-0160.690 | Y=0202.390-0213.630 | 27 văn hóa thôn
P=2080 | X=0176.230-0259.140 | Y=0202.390-0213.630 | Đường Quốc lộ 14
P=2080 | X=0375.500-0392.140 | Y=0204.270-0213.590 | 600
P=2080 | X=0435.530-0452.170 | Y=0204.270-0213.590 | 420
P=2080 | X=0505.390-0522.030 | Y=0204.270-0213.590 | 360
P=2080 | X=0269.380-0289.140 | Y=0209.790-0219.110 | Tiến
P=2080 | X=0102.770-0143.660 | Y=0215.550-0224.870 | Bình Thọ
P=2080 | X=0102.770-0153.500 | Y=0231.670-0242.910 | Đường vào
P=2080 | X=0102.770-0158.540 | Y=0243.190-0254.430 | nông trường
P=2080 | X=0269.380-0356.590 | Y=0243.190-0254.430 | Vườn cao su Nghĩa
P=2080 | X=0176.230-0259.140 | Y=0248.950-0260.190 | Đường Quốc lộ 14
P=2080 | X=0090.500-0101.620 | Y=0250.830-0260.150 | 28
P=2080 | X=0375.500-0392.140 | Y=0250.830-0260.150 | 630
P=2080 | X=0435.530-0452.170 | Y=0250.830-0260.150 | 440
P=2080 | X=0505.390-0522.030 | Y=0250.830-0260.150 | 380
P=2080 | X=0102.770-0161.650 | Y=0254.710-0265.950 | cao su Nghĩa
P=2080 | X=0269.380-0350.810 | Y=0254.710-0265.950 | trang Nghĩa Trung
P=2080 | X=0102.770-0129.010 | Y=0268.110-0277.430 | Trung
P=2080 | X=0102.770-0175.090 | Y=0284.260-0295.500 | Đường liên thôn
P=2080 | X=0269.380-0359.200 | Y=0291.900-0301.220 | Giáp ranh thôn Bình
P=2080 | X=0090.500-0158.690 | Y=0297.660-0306.980 | 29 Bình Trung -
P=2080 | X=0176.230-0246.080 | Y=0297.660-0306.980 | Ngã ba sân bay
P=2080 | X=0375.500-0392.140 | Y=0297.660-0306.980 | 560
P=2080 | X=0432.890-0452.250 | Y=0297.660-0306.980 | 390.
P=2080 | X=0505.390-0522.030 | Y=0297.660-0306.980 | 330
P=2080 | X=0269.380-0289.140 | Y=0303.420-0312.740 | Tiến
P=2080 | X=0102.770-0145.820 | Y=0309.180-0318.500 | Bình Tiến
P=2080 | X=0102.770-0175.090 | Y=0325.300-0336.540 | Đường liên thôn
P=2080 | X=0176.230-0257.700 | Y=0331.060-0342.300 | Nhà ông Biện Văn
P=2080 | X=0269.380-0359.200 | Y=0332.940-0342.260 | Giáp ranh thôn Bình
P=2080 | X=0090.500-0158.690 | Y=0338.700-0348.020 | 30 Bình Trung -
P=2080 | X=0375.500-0392.140 | Y=0338.700-0348.020 | 570
P=2080 | X=0435.530-0452.170 | Y=0338.700-0348.020 | 400
P=2080 | X=0505.390-0522.030 | Y=0338.700-0348.020 | 340
P=2080 | X=0176.230-0191.190 | Y=0344.460-0353.780 | Hai
P=2080 | X=0269.380-0289.140 | Y=0344.460-0353.780 | Tiến
P=2080 | X=0102.770-0145.820 | Y=0350.220-0359.540 | Bình Tiến
P=2080 | X=0102.770-0170.060 | Y=0366.360-0377.600 | Đường hai bên
P=2080 | X=0269.380-0356.370 | Y=0368.240-0377.560 | Hành lang nhà lồng
P=2080 | X=0176.230-0263.230 | Y=0374.000-0383.320 | Hành lang nhà lồng
P=2080 | X=0090.500-0149.650 | Y=0377.880-0389.120 | 31 chợ Nghĩa
P=2080 | X=0269.380-0351.570 | Y=0379.760-0389.080 | chợ chính vào sâu
P=2080 | X=0367.340-0392.390 | Y=0379.760-0389.080 | 4.800
P=2080 | X=0427.370-0452.420 | Y=0379.760-0389.080 | 3.400
P=2080 | X=0497.230-0522.280 | Y=0379.760-0389.080 | 2.900
P=2080 | X=0176.230-0220.710 | Y=0385.520-0394.840 | chợ chính
P=2080 | X=0102.770-0129.010 | Y=0391.280-0400.600 | Trung
P=2080 | X=0269.380-0288.820 | Y=0391.280-0400.600 | 15m
P=2080 | X=0269.380-0359.420 | Y=0407.400-0418.640 | Ranh giới xã Phước
P=2080 | X=0176.230-0268.180 | Y=0413.160-0424.400 | Ngã ba đường Quốc
P=2080 | X=0090.500-0170.050 | Y=0418.920-0430.160 | 32 Đường ĐT 759
P=2080 | X=0269.380-0341.960 | Y=0420.800-0430.120 | Tân, Huyện Phú
P=2080 | X=0367.340-0392.390 | Y=0420.800-0430.120 | 1.600
P=2080 | X=0427.370-0452.420 | Y=0420.800-0430.120 | 1.100
P=2080 | X=0505.390-0522.030 | Y=0420.800-0430.120 | 970
P=2080 | X=0176.230-0198.150 | Y=0426.560-0435.880 | lộ 14
P=2080 | X=0269.380-0315.700 | Y=0430.200-0441.440 | Riềng (cũ)
P=2080 | X=0102.770-0150.690 | Y=0448.200-0459.440 | Đường ĐT
P=2080 | X=0176.230-0252.620 | Y=0448.200-0459.440 | Ngã ba 21 đi qua
P=2080 | X=0269.380-0355.010 | Y=0448.200-0459.440 | Hết thửa đất số 27,
P=2080 | X=0090.500-0101.620 | Y=0455.860-0465.180 | 33
P=2080 | X=0367.340-0392.390 | Y=0455.860-0465.180 | 1.100
P=2080 | X=0435.530-0452.170 | Y=0455.860-0465.180 | 760
P=2080 | X=0505.390-0522.030 | Y=0455.860-0465.180 | 650
P=2080 | X=0176.230-0217.580 | Y=0459.740-0470.980 | Lam Sơn
P=2080 | X=0269.380-0344.840 | Y=0459.740-0470.980 | tờ bản đồ số 131
P=2080 | X=0102.770-0126.050 | Y=0461.620-0470.940 | 753B
P=2080 | X=0102.770-0150.690 | Y=0477.740-0488.980 | Đường ĐT
P=2080 | X=0176.230-0259.230 | Y=0477.740-0488.980 | Từ thửa đất số 11,
P=2080 | X=0090.500-0101.620 | Y=0485.380-0494.700 | 34
P=2080 | X=0269.380-0312.450 | Y=0485.380-0494.700 | Hết tuyến
P=2080 | X=0375.500-0392.140 | Y=0485.380-0494.700 | 900
P=2080 | X=0435.530-0452.170 | Y=0485.380-0494.700 | 630
P=2080 | X=0505.390-0522.030 | Y=0485.380-0494.700 | 540
P=2080 | X=0176.230-0238.470 | Y=0489.260-0500.500 | tờ bản đồ 131
P=2080 | X=0102.770-0126.050 | Y=0491.140-0500.460 | 753B
P=2080 | X=0102.770-0155.650 | Y=0507.260-0518.500 | Trục đường
P=2080 | X=0090.500-0259.140 | Y=0518.780-0530.020 | 35 chính Thôn 3 đi Đường Quốc lộ 14
P=2080 | X=0269.380-0343.320 | Y=0518.780-0530.020 | Đường ĐT 753B
P=2080 | X=0375.500-0392.140 | Y=0520.660-0529.980 | 900
P=2080 | X=0435.530-0452.170 | Y=0520.660-0529.980 | 630
P=2080 | X=0505.390-0522.030 | Y=0520.660-0529.980 | 540
P=2080 | X=0102.770-0134.050 | Y=0532.180-0541.500 | Thôn 2
P=2080 | X=0269.380-0356.330 | Y=0548.330-0559.570 | Giáp ranh xã Nghĩa
P=2080 | X=0176.230-0257.440 | Y=0550.210-0559.530 | Ngã ba cổng chào
P=2080 | X=0090.500-0175.800 | Y=0554.090-0565.330 | 36 Đường đi thôn 2
P=2080 | X=0375.500-0392.140 | Y=0555.970-0565.290 | 900
P=2080 | X=0435.530-0452.170 | Y=0555.970-0565.290 | 630
P=2080 | X=0505.390-0522.030 | Y=0555.970-0565.290 | 540
P=2080 | X=0269.380-0310.170 | Y=0559.850-0571.090 | Bình (cũ)
P=2080 | X=0176.230-0204.150 | Y=0561.730-0571.050 | thôn 2
P=2080 | X=0102.770-0159.000 | Y=0577.850-0589.090 | Đường nội ô
P=2080 | X=0090.500-0226.470 | Y=0591.250-0600.570 | 37 khu Trung tâm Toàn tuyến
P=2080 | X=0367.340-0392.390 | Y=0591.250-0600.570 | 1.400
P=2080 | X=0427.370-0452.420 | Y=0591.250-0600.570 | 1.000
P=2080 | X=0505.390-0522.030 | Y=0591.250-0600.570 | 860
P=2080 | X=0102.770-0152.300 | Y=0602.770-0612.090 | hành chính
P=2080 | X=0102.770-0147.970 | Y=0620.790-0630.110 | Các tuyến
P=2080 | X=0090.500-0101.620 | Y=0626.550-0635.870 | 38
P=2080 | X=0176.230-0226.470 | Y=0626.550-0635.870 | Toàn tuyến
P=2080 | X=0375.500-0392.140 | Y=0626.550-0635.870 | 500
P=2080 | X=0435.530-0452.170 | Y=0626.550-0635.870 | 350
P=2080 | X=0505.390-0522.030 | Y=0626.550-0635.870 | 300
P=2080 | X=0102.770-0164.550 | Y=0630.430-0641.670 | đường còn lại
