TABLE=031 | AREA=Xã Xuân Quế | SECTION=non-agricultural | SEGMENTS=1
P=1119 | X=0405.740-0430.790 | Y=0324.780-0334.100 | 1.200
P=1119 | X=0461.690-0478.330 | Y=0324.780-0334.100 | 840
P=1119 | X=0505.390-0522.030 | Y=0324.780-0334.100 | 720
P=1119 | X=0111.170-0342.250 | Y=0334.420-0345.660 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1119 | X=0111.170-0388.380 | Y=0351.700-0362.940 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=1119 | X=0111.170-0385.650 | Y=0369.480-0380.720 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Sông
P=1119 | X=0111.170-0374.620 | Y=0381.000-0392.240 | Nhạn - Dầu Giây đoạn từ Cầu Quân Y đến Đường vào Nhà
P=1119 | X=0111.170-0380.430 | Y=0392.520-0403.760 | Văn hóa ấp 4 có hiện trạng là đường nhựa, bê tông xi măng:
P=1119 | X=0094.820-0342.720 | Y=0410.040-0424.360 | 10 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1119 | X=0413.900-0430.540 | Y=0415.040-0424.360 | 820
P=1119 | X=0461.690-0478.330 | Y=0415.040-0424.360 | 570
P=1119 | X=0505.390-0522.030 | Y=0415.040-0424.360 | 490
P=1119 | X=0111.170-0364.480 | Y=0427.560-0438.800 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=1119 | X=0111.170-0206.120 | Y=0439.080-0450.320 | >500m đến ≤1.000m.
P=1119 | X=0111.170-0334.340 | Y=0456.620-0467.860 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1119 | X=0111.170-0385.650 | Y=0474.380-0485.620 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Sông
P=1119 | X=0111.170-0374.620 | Y=0485.900-0497.140 | Nhạn - Dầu Giây đoạn từ Cầu Quân Y đến Đường vào Nhà
P=1119 | X=0111.170-0380.430 | Y=0497.420-0508.660 | Văn hóa ấp 4 có hiện trạng là đường nhựa, bê tông xi măng:
P=1119 | X=0094.820-0105.940 | Y=0511.060-0520.380 | 11
P=1119 | X=0413.900-0430.540 | Y=0511.060-0520.380 | 590
P=1119 | X=0461.690-0478.330 | Y=0511.060-0520.380 | 410
P=1119 | X=0505.390-0522.030 | Y=0511.060-0520.380 | 350
P=1119 | X=0111.170-0352.280 | Y=0514.940-0526.180 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=1119 | X=0111.170-0153.310 | Y=0528.100-0537.420 | >1.000m.
P=1119 | X=0111.170-0334.810 | Y=0543.770-0555.010 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1119 | X=0111.170-0384.680 | Y=0561.530-0572.770 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=1119 | X=0111.170-0372.470 | Y=0573.050-0584.290 | ra Đường Sông Nhạn - Dầu Giây đoạn từ Cầu Quân Y đến
P=1119 | X=0111.170-0377.830 | Y=0584.570-0595.810 | Đường vào Nhà Văn hóa ấp 4 có hiện trạng là đường nhựa,
P=1119 | X=0094.820-0185.250 | Y=0596.090-0607.530 | 12 bê tông xi măng:
P=1119 | X=0405.740-0430.790 | Y=0598.210-0607.530 | 1.100
P=1119 | X=0461.690-0478.330 | Y=0598.210-0607.530 | 770
P=1119 | X=0505.390-0522.030 | Y=0598.210-0607.530 | 660
P=1119 | X=0111.170-0342.250 | Y=0613.610-0624.850 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1119 | X=0111.170-0388.360 | Y=0631.150-0642.390 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=1119 | X=0111.170-0384.680 | Y=0648.910-0660.150 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=1119 | X=0111.170-0372.470 | Y=0660.430-0671.670 | ra Đường Sông Nhạn - Dầu Giây đoạn từ Cầu Quân Y đến
P=1119 | X=0094.820-0377.830 | Y=0671.950-0686.030 | 13 Đường vào Nhà Văn hóa ấp 4 có hiện trạng là đường nhựa,
P=1119 | X=0413.900-0430.540 | Y=0676.710-0686.030 | 740
P=1119 | X=0461.690-0478.330 | Y=0676.710-0686.030 | 520
P=1119 | X=0505.390-0522.030 | Y=0676.710-0686.030 | 440
P=1119 | X=0111.170-0185.250 | Y=0683.470-0694.710 | bê tông xi măng:
P=1119 | X=0111.170-0342.720 | Y=0700.770-0712.010 | - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1120 | X=0111.170-0364.480 | Y=0078.500-0089.740 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=1120 | X=0111.170-0206.140 | Y=0090.020-0101.260 | >500m đến ≤1.000m.
P=1120 | X=0111.170-0334.340 | Y=0107.540-0118.780 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1120 | X=0111.170-0384.680 | Y=0125.330-0136.570 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=1120 | X=0111.170-0372.470 | Y=0136.850-0148.090 | ra Đường Sông Nhạn - Dầu Giây đoạn từ Cầu Quân Y đến
P=1120 | X=0111.170-0377.830 | Y=0148.370-0159.610 | Đường vào Nhà Văn hóa ấp 4 có hiện trạng là đường nhựa,
P=1120 | X=0111.170-0185.280 | Y=0159.650-0170.890 | bê tông xi măng:
P=1120 | X=0094.820-0105.940 | Y=0167.530-0176.850 | 14
P=1120 | X=0413.900-0430.540 | Y=0167.530-0176.850 | 530
P=1120 | X=0461.690-0478.330 | Y=0167.530-0176.850 | 370
P=1120 | X=0505.390-0522.030 | Y=0167.530-0176.850 | 320
P=1120 | X=0111.170-0352.280 | Y=0177.170-0188.410 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=1120 | X=0111.170-0153.310 | Y=0190.570-0199.890 | >1.000m.
P=1120 | X=0111.170-0334.810 | Y=0206.230-0217.470 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1120 | X=0111.170-0201.910 | Y=0223.990-0235.230 | Đường Sông Nhạn -
P=1120 | X=0220.870-0292.750 | Y=0223.990-0235.230 | Đường vào Nhà
P=1120 | X=0303.480-0382.070 | Y=0225.870-0235.190 | Giáp ranh xã Dầu
P=1120 | X=0094.820-0105.940 | Y=0231.630-0240.950 | 15
P=1120 | X=0405.740-0430.790 | Y=0231.630-0240.950 | 2.100
P=1120 | X=0453.530-0478.580 | Y=0231.630-0240.950 | 1.500
P=1120 | X=0497.230-0522.280 | Y=0231.630-0240.950 | 1.300
P=1120 | X=0220.870-0280.500 | Y=0235.510-0246.750 | Văn hóa ấp 4
P=1120 | X=0111.170-0153.160 | Y=0237.390-0246.710 | Dầu Giây
P=1120 | X=0303.480-0324.350 | Y=0237.390-0246.710 | Giây
P=1120 | X=0111.170-0385.650 | Y=0253.270-0264.510 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Sông
P=1120 | X=0111.170-0379.180 | Y=0264.790-0276.030 | Nhạn - Dầu Giây đoạn từ Đường vào Nhà Văn hóa ấp 4 đến
P=1120 | X=0111.170-0382.030 | Y=0276.310-0287.550 | Giáp ranh xã Dầu Giây có hiện trạng là đường nhựa, bê tông
P=1120 | X=0094.820-0149.000 | Y=0287.860-0299.300 | 16 xi măng:
P=1120 | X=0405.740-0430.790 | Y=0289.980-0299.300 | 1.100
P=1120 | X=0461.690-0478.330 | Y=0289.980-0299.300 | 770
P=1120 | X=0505.390-0522.030 | Y=0289.980-0299.300 | 660
P=1120 | X=0111.170-0342.250 | Y=0305.380-0316.620 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1120 | X=0111.170-0388.360 | Y=0322.900-0334.140 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=1120 | X=0111.170-0385.650 | Y=0340.660-0351.900 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Sông
P=1120 | X=0111.170-0379.180 | Y=0351.940-0363.180 | Nhạn - Dầu Giây đoạn từ Đường vào Nhà Văn hóa ấp 4 đến
P=1120 | X=0111.170-0382.030 | Y=0363.460-0374.700 | Giáp ranh xã Dầu Giây có hiện trạng là đường nhựa, bê tông
P=1120 | X=0111.170-0149.000 | Y=0375.000-0386.240 | xi măng:
P=1120 | X=0094.820-0342.720 | Y=0391.760-0403.760 | 17 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1120 | X=0413.900-0430.540 | Y=0391.760-0401.080 | 700
P=1120 | X=0461.690-0478.330 | Y=0391.760-0401.080 | 490
P=1120 | X=0505.390-0522.030 | Y=0391.760-0401.080 | 420
P=1120 | X=0111.170-0364.480 | Y=0410.040-0421.280 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=1120 | X=0111.170-0206.120 | Y=0421.560-0432.800 | >500m đến ≤1.000m.
P=1120 | X=0111.170-0334.340 | Y=0439.080-0450.320 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1120 | X=0111.170-0385.650 | Y=0456.860-0468.100 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Sông
P=1120 | X=0111.170-0379.180 | Y=0468.380-0479.620 | Nhạn - Dầu Giây đoạn từ Đường vào Nhà Văn hóa ấp 4 đến
P=1120 | X=0111.170-0382.030 | Y=0479.900-0491.140 | Giáp ranh xã Dầu Giây có hiện trạng là đường nhựa, bê tông
P=1120 | X=0111.170-0149.000 | Y=0491.420-0502.660 | xi măng:
P=1120 | X=0094.820-0105.940 | Y=0499.300-0508.620 | 18
P=1120 | X=0413.900-0430.540 | Y=0499.300-0508.620 | 470
P=1120 | X=0461.690-0478.330 | Y=0499.300-0508.620 | 330
P=1120 | X=0505.390-0522.030 | Y=0499.300-0508.620 | 280
P=1120 | X=0111.170-0352.280 | Y=0508.940-0520.180 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=1120 | X=0111.170-0153.310 | Y=0522.100-0531.420 | >1.000m.
P=1120 | X=0111.170-0334.810 | Y=0537.770-0549.010 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1120 | X=0111.170-0384.680 | Y=0555.530-0566.770 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=1120 | X=0111.170-0369.580 | Y=0567.050-0578.290 | ra Đường Sông Nhạn - Dầu Giây đoạn từ Đường vào Nhà
P=1120 | X=0111.170-0366.190 | Y=0578.570-0589.810 | Văn hóa ấp 4 đến Giáp ranh xã Dầu Giây có hiện trạng là
P=1120 | X=0094.820-0246.940 | Y=0590.090-0601.530 | 19 đường nhựa, bê tông xi măng:
P=1120 | X=0413.900-0430.540 | Y=0592.210-0601.530 | 990
P=1120 | X=0461.690-0478.330 | Y=0592.210-0601.530 | 690
P=1120 | X=0505.390-0522.030 | Y=0592.210-0601.530 | 590
P=1120 | X=0111.170-0342.250 | Y=0607.610-0618.850 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1120 | X=0111.170-0388.360 | Y=0625.150-0636.390 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=1120 | X=0111.170-0384.680 | Y=0642.910-0654.150 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=1120 | X=0111.170-0369.580 | Y=0654.430-0665.670 | ra Đường Sông Nhạn - Dầu Giây đoạn từ Đường vào Nhà
P=1120 | X=0094.820-0366.190 | Y=0665.950-0680.030 | 20 Văn hóa ấp 4 đến Giáp ranh xã Dầu Giây có hiện trạng là
P=1120 | X=0413.900-0430.540 | Y=0670.710-0680.030 | 630
P=1120 | X=0461.690-0478.330 | Y=0670.710-0680.030 | 440
P=1120 | X=0505.390-0522.030 | Y=0670.710-0680.030 | 380
P=1120 | X=0111.170-0246.940 | Y=0677.470-0688.710 | đường nhựa, bê tông xi măng:
P=1120 | X=0111.170-0342.720 | Y=0694.750-0705.990 | - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1121 | X=0111.170-0364.480 | Y=0078.500-0089.740 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=1121 | X=0111.170-0206.120 | Y=0090.020-0101.260 | >500m đến ≤1.000m.
P=1121 | X=0111.170-0334.340 | Y=0107.540-0118.780 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1121 | X=0111.170-0384.680 | Y=0125.330-0136.570 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=1121 | X=0111.170-0369.580 | Y=0136.850-0148.090 | ra Đường Sông Nhạn - Dầu Giây đoạn từ Đường vào Nhà
P=1121 | X=0111.170-0366.190 | Y=0148.370-0159.610 | Văn hóa ấp 4 đến Giáp ranh xã Dầu Giây có hiện trạng là
P=1121 | X=0111.170-0246.940 | Y=0159.650-0170.890 | đường nhựa, bê tông xi măng:
P=1121 | X=0094.820-0105.940 | Y=0167.530-0176.850 | 21
P=1121 | X=0413.900-0430.540 | Y=0167.530-0176.850 | 420
P=1121 | X=0461.690-0478.330 | Y=0167.530-0176.850 | 290
P=1121 | X=0505.390-0522.030 | Y=0167.530-0176.850 | 250
P=1121 | X=0111.170-0352.280 | Y=0177.170-0188.410 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=1121 | X=0111.170-0153.310 | Y=0190.570-0199.890 | >1.000m.
P=1121 | X=0111.170-0334.810 | Y=0206.230-0217.470 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1121 | X=0220.870-0278.830 | Y=0223.990-0235.230 | Đường Sông
P=1121 | X=0303.480-0376.530 | Y=0229.750-0240.990 | Giáp đường cao
P=1121 | X=0220.870-0300.400 | Y=0235.510-0246.750 | Nhạn-Dầu Giây đi
P=1121 | X=0094.820-0213.750 | Y=0241.270-0252.510 | 22 Đường Trung tâm ấp 1
P=1121 | X=0303.480-0389.990 | Y=0243.150-0252.470 | tốc Phan Thiết-Dầu
P=1121 | X=0405.740-0430.790 | Y=0243.150-0252.470 | 2.100
P=1121 | X=0453.530-0478.580 | Y=0243.150-0252.470 | 1.500
P=1121 | X=0497.230-0522.280 | Y=0243.150-0252.470 | 1.300
P=1121 | X=0220.870-0296.610 | Y=0247.030-0258.270 | qua Trường Tiểu
P=1121 | X=0303.480-0324.350 | Y=0254.670-0263.990 | Giây
P=1121 | X=0220.870-0289.860 | Y=0260.430-0269.750 | học Sông Nhạn
P=1121 | X=0111.170-0388.520 | Y=0276.310-0287.550 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Trung
P=1121 | X=0111.170-0386.630 | Y=0287.860-0299.100 | tâm ấp 1 đoạn từ Đường Sông Nhạn-Dầu Giây đi qua Trường
P=1121 | X=0111.170-0386.390 | Y=0299.380-0310.620 | Tiểu học Sông Nhạn đến Giáp đường cao tốc Phan Thiết-Dầu
P=1121 | X=0094.820-0341.520 | Y=0310.900-0322.340 | 23 Giây có hiện trạng là đường nhựa, bê tông xi măng:
P=1121 | X=0405.740-0430.790 | Y=0313.020-0322.340 | 1.200
P=1121 | X=0461.690-0478.330 | Y=0313.020-0322.340 | 840
P=1121 | X=0505.390-0522.030 | Y=0313.020-0322.340 | 720
P=1121 | X=0111.170-0342.250 | Y=0328.420-0339.660 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1121 | X=0111.170-0388.360 | Y=0345.700-0356.940 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=1121 | X=0111.170-0388.520 | Y=0363.460-0374.700 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Trung
P=1121 | X=0111.170-0386.630 | Y=0375.000-0386.240 | tâm ấp 1 đoạn từ Đường Sông Nhạn-Dầu Giây đi qua Trường
P=1121 | X=0111.170-0386.390 | Y=0386.520-0397.760 | Tiểu học Sông Nhạn đến Giáp đường cao tốc Phan Thiết-Dầu
P=1121 | X=0111.170-0341.520 | Y=0398.040-0409.280 | Giây có hiện trạng là đường nhựa, bê tông xi măng:
P=1121 | X=0094.820-0342.720 | Y=0414.800-0426.800 | 24 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1121 | X=0413.900-0430.540 | Y=0414.800-0424.120 | 820
P=1121 | X=0461.690-0478.330 | Y=0414.800-0424.120 | 570
P=1121 | X=0505.390-0522.030 | Y=0414.800-0424.120 | 490
P=1121 | X=0111.170-0364.480 | Y=0433.080-0444.320 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=1121 | X=0111.170-0206.120 | Y=0444.600-0455.840 | >500m đến ≤1.000m.
P=1121 | X=0111.170-0334.340 | Y=0462.140-0473.380 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1121 | X=0111.170-0388.520 | Y=0479.900-0491.140 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Trung
P=1121 | X=0111.170-0386.630 | Y=0491.420-0502.660 | tâm ấp 1 đoạn từ Đường Sông Nhạn-Dầu Giây đi qua Trường
P=1121 | X=0111.170-0386.390 | Y=0502.940-0514.180 | Tiểu học Sông Nhạn đến Giáp đường cao tốc Phan Thiết-Dầu
P=1121 | X=0111.170-0341.520 | Y=0514.220-0525.460 | Giây có hiện trạng là đường nhựa, bê tông xi măng:
P=1121 | X=0094.820-0105.940 | Y=0522.100-0531.420 | 25
P=1121 | X=0413.900-0430.540 | Y=0522.100-0531.420 | 590
P=1121 | X=0461.690-0478.330 | Y=0522.100-0531.420 | 410
P=1121 | X=0505.390-0522.030 | Y=0522.100-0531.420 | 350
P=1121 | X=0111.170-0352.280 | Y=0531.740-0542.980 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=1121 | X=0111.170-0153.310 | Y=0545.170-0554.490 | >1.000m.
P=1121 | X=0111.170-0334.810 | Y=0560.810-0572.050 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1121 | X=0111.170-0384.680 | Y=0578.570-0589.810 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
