TABLE=025 | AREA=Xã Xuân Hòa | SECTION=non-agricultural | SEGMENTS=1
P=0943 | X=0095.330-0343.680 | Y=0530.980-0542.980 | 13 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=0943 | X=0408.140-0424.780 | Y=0530.980-0540.300 | 860
P=0943 | X=0444.410-0461.050 | Y=0530.980-0540.300 | 600
P=0943 | X=0505.390-0522.030 | Y=0530.980-0540.300 | 520
P=0943 | X=0112.130-0365.440 | Y=0549.290-0560.530 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=0943 | X=0112.130-0207.080 | Y=0560.810-0572.050 | >500m đến ≤1.000m.
P=0943 | X=0112.130-0335.300 | Y=0578.330-0589.570 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0943 | X=0112.130-0385.640 | Y=0596.090-0607.330 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=0943 | X=0112.130-0374.380 | Y=0607.610-0618.850 | ra Quốc lộ 1 đoạn từ Đường Ngô Gia Tự (song hành) đoạn
P=0943 | X=0112.130-0373.430 | Y=0619.150-0630.390 | thuộc xã Xuân Hòa đến Hết Trường Mầm non ấp 6 có hiện
P=0943 | X=0112.130-0283.910 | Y=0630.670-0641.910 | trạng là đường nhựa, bê tông xi măng:
P=0943 | X=0095.330-0106.450 | Y=0638.550-0647.870 | 14
P=0943 | X=0408.140-0424.780 | Y=0638.550-0647.870 | 660
P=0943 | X=0444.410-0461.050 | Y=0638.550-0647.870 | 460
P=0943 | X=0505.390-0522.030 | Y=0638.550-0647.870 | 400
P=0943 | X=0112.130-0353.240 | Y=0648.190-0659.430 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=0943 | X=0112.130-0154.270 | Y=0661.590-0670.910 | >1.000m.
P=0943 | X=0112.130-0335.770 | Y=0677.230-0688.470 | - Có bề rộng <3m, cách đường giao thông >200m.
P=0943 | X=0243.460-0301.400 | Y=0694.750-0705.990 | Giáp Trường
P=0943 | X=0320.520-0360.680 | Y=0696.630-0705.950 | Hết chùa
P=0943 | X=0095.330-0155.170 | Y=0702.420-0711.740 | 15 Quốc lộ 1
P=0943 | X=0399.980-0425.020 | Y=0702.420-0711.740 | 3.500
P=0943 | X=0436.250-0461.300 | Y=0702.420-0711.740 | 2.500
P=0943 | X=0497.230-0522.280 | Y=0702.420-0711.740 | 2.100
P=0943 | X=0243.460-0307.640 | Y=0706.290-0717.530 | Mầm non ấp 6
P=0943 | X=0320.520-0375.580 | Y=0708.180-0717.500 | Quảng Long
P=0944 | X=0112.130-0371.740 | Y=0078.500-0089.740 | Các tuyến đường giao thông đấu nối trực tiếp ra Quốc lộ 1
P=0944 | X=0112.130-0368.870 | Y=0090.020-0101.260 | đoạn từ Giáp Trường Mầm non ấp 6 đến Hết chùa Quảng
P=0944 | X=0112.130-0344.160 | Y=0101.540-0112.780 | Long có hiện trạng là đường nhựa, bê tông xi măng:
P=0944 | X=0095.330-0106.450 | Y=0109.420-0118.740 | 16
P=0944 | X=0399.980-0425.030 | Y=0109.420-0118.740 | 1.600
P=0944 | X=0436.250-0461.300 | Y=0109.420-0118.740 | 1.100
P=0944 | X=0505.390-0522.030 | Y=0109.420-0118.740 | 960
P=0944 | X=0112.130-0343.210 | Y=0119.090-0130.330 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=0944 | X=0112.130-0389.320 | Y=0136.610-0147.850 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=0944 | X=0112.130-0371.740 | Y=0154.370-0165.610 | Các tuyến đường giao thông đấu nối trực tiếp ra Quốc lộ 1
P=0944 | X=0112.130-0368.870 | Y=0165.650-0176.890 | đoạn từ Giáp Trường Mầm non ấp 6 đến Hết chùa Quảng
P=0944 | X=0112.130-0344.160 | Y=0177.170-0188.410 | Long có hiện trạng là đường nhựa, bê tông xi măng:
P=0944 | X=0095.330-0343.710 | Y=0194.690-0209.030 | 17 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=0944 | X=0408.140-0424.780 | Y=0199.710-0209.030 | 950
P=0944 | X=0444.410-0461.050 | Y=0199.710-0209.030 | 670
P=0944 | X=0505.390-0522.030 | Y=0199.710-0209.030 | 570
P=0944 | X=0112.130-0365.440 | Y=0212.230-0223.470 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=0944 | X=0112.130-0207.080 | Y=0223.750-0234.990 | >500m đến ≤1.000m.
P=0944 | X=0112.130-0335.300 | Y=0241.270-0252.510 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0944 | X=0112.130-0371.740 | Y=0259.030-0270.270 | Các tuyến đường giao thông đấu nối trực tiếp ra Quốc lộ 1
P=0944 | X=0112.130-0368.870 | Y=0270.550-0281.790 | đoạn từ Giáp Trường Mầm non ấp 6 đến Hết chùa Quảng
P=0944 | X=0112.130-0344.160 | Y=0282.100-0293.340 | Long có hiện trạng là đường nhựa, bê tông xi măng:
P=0944 | X=0095.330-0106.450 | Y=0295.740-0305.060 | 18
P=0944 | X=0408.140-0424.780 | Y=0295.740-0305.060 | 730
P=0944 | X=0444.410-0461.050 | Y=0295.740-0305.060 | 510
P=0944 | X=0505.390-0522.030 | Y=0295.740-0305.060 | 440
P=0944 | X=0112.130-0353.240 | Y=0299.620-0310.860 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=0944 | X=0112.130-0154.270 | Y=0313.020-0322.340 | >1.000m.
P=0944 | X=0112.130-0335.770 | Y=0328.660-0339.900 | - Có bề rộng <3m, cách đường giao thông >200m.
P=0944 | X=0112.130-0385.640 | Y=0346.420-0357.660 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=0944 | X=0112.130-0368.940 | Y=0357.700-0368.940 | ra Quốc lộ 1 đoạn từ Giáp Trường Mầm non ấp 6 đến Hết
P=0944 | X=0112.130-0370.750 | Y=0369.240-0380.480 | chùa Quảng Long có hiện trạng là đường nhựa, bê tông xi
P=0944 | X=0095.330-0140.130 | Y=0380.760-0392.200 | 19 măng:
P=0944 | X=0399.980-0425.030 | Y=0382.880-0392.200 | 1.400
P=0944 | X=0444.410-0461.050 | Y=0382.880-0392.200 | 980
P=0944 | X=0505.390-0522.030 | Y=0382.880-0392.200 | 840
P=0944 | X=0112.130-0343.210 | Y=0398.280-0409.520 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=0944 | X=0112.130-0389.320 | Y=0415.800-0427.040 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=0944 | X=0112.130-0385.640 | Y=0433.560-0444.800 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=0944 | X=0112.130-0368.940 | Y=0445.080-0456.320 | ra Quốc lộ 1 đoạn từ Giáp Trường Mầm non ấp 6 đến Hết
P=0944 | X=0112.130-0370.750 | Y=0456.620-0467.860 | chùa Quảng Long có hiện trạng là đường nhựa, bê tông xi
P=0944 | X=0112.130-0140.130 | Y=0468.140-0479.380 | măng:
P=0944 | X=0095.330-0343.680 | Y=0484.660-0496.900 | 20 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=0944 | X=0408.140-0424.780 | Y=0484.660-0493.980 | 860
P=0944 | X=0444.410-0461.050 | Y=0484.660-0493.980 | 600
P=0944 | X=0505.390-0522.030 | Y=0484.660-0493.980 | 520
P=0944 | X=0112.130-0365.440 | Y=0503.180-0514.420 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=0944 | X=0112.130-0207.120 | Y=0514.460-0525.700 | >500m đến ≤1.000m.
P=0944 | X=0112.130-0335.300 | Y=0531.980-0543.220 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0944 | X=0112.130-0385.640 | Y=0549.770-0561.010 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=0944 | X=0112.130-0368.940 | Y=0561.290-0572.530 | ra Quốc lộ 1 đoạn từ Giáp Trường Mầm non ấp 6 đến Hết
P=0944 | X=0112.130-0370.750 | Y=0572.810-0584.050 | chùa Quảng Long có hiện trạng là đường nhựa, bê tông xi
P=0944 | X=0112.130-0140.130 | Y=0584.330-0595.570 | măng:
P=0944 | X=0095.330-0106.450 | Y=0592.210-0601.530 | 21
P=0944 | X=0408.140-0424.780 | Y=0592.210-0601.530 | 660
P=0944 | X=0444.410-0461.050 | Y=0592.210-0601.530 | 460
P=0944 | X=0505.390-0522.030 | Y=0592.210-0601.530 | 400
P=0944 | X=0112.130-0353.240 | Y=0601.850-0613.090 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=0944 | X=0112.130-0154.270 | Y=0615.250-0624.570 | >1.000m.
P=0944 | X=0112.130-0335.770 | Y=0630.910-0642.150 | - Có bề rộng <3m, cách đường giao thông >200m.
P=0944 | X=0243.460-0373.420 | Y=0648.670-0659.910 | Hết chùa Quảng Đường Cầu
P=0944 | X=0095.330-0155.170 | Y=0656.310-0665.630 | 22 Quốc lộ 1
P=0944 | X=0399.980-0425.030 | Y=0656.310-0665.630 | 4.400
P=0944 | X=0436.250-0461.300 | Y=0656.310-0665.630 | 3.100
P=0944 | X=0497.230-0522.280 | Y=0656.310-0665.630 | 2.600
P=0944 | X=0243.460-0265.620 | Y=0662.070-0671.390 | Long
P=0944 | X=0320.520-0346.760 | Y=0662.070-0671.390 | Trắng
P=0944 | X=0112.130-0371.740 | Y=0677.950-0689.190 | Các tuyến đường giao thông đấu nối trực tiếp ra Quốc lộ 1
P=0944 | X=0095.330-0386.390 | Y=0689.470-0700.710 | 23 đoạn từ Hết chùa Quảng Long đến Đường Cầu Trắng có hiện
P=0944 | X=0399.980-0425.030 | Y=0691.350-0700.670 | 1.800
P=0944 | X=0436.250-0461.300 | Y=0691.350-0700.670 | 1.300
P=0944 | X=0497.230-0522.280 | Y=0691.350-0700.670 | 1.100
P=0944 | X=0112.130-0283.910 | Y=0700.770-0712.010 | trạng là đường nhựa, bê tông xi măng:
P=0945 | X=0112.130-0343.210 | Y=0078.500-0089.740 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=0945 | X=0112.130-0389.320 | Y=0096.020-0107.260 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=0945 | X=0112.130-0371.740 | Y=0113.780-0125.020 | Các tuyến đường giao thông đấu nối trực tiếp ra Quốc lộ 1
P=0945 | X=0112.130-0386.390 | Y=0125.330-0136.570 | đoạn từ Hết chùa Quảng Long đến Đường Cầu Trắng có hiện
P=0945 | X=0112.130-0283.910 | Y=0136.850-0148.090 | trạng là đường nhựa, bê tông xi măng:
P=0945 | X=0095.330-0343.680 | Y=0154.370-0168.450 | 24 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=0945 | X=0408.140-0424.780 | Y=0159.130-0168.450 | 950
P=0945 | X=0444.410-0461.050 | Y=0159.130-0168.450 | 670
P=0945 | X=0505.390-0522.030 | Y=0159.130-0168.450 | 570
P=0945 | X=0112.130-0365.440 | Y=0171.650-0182.890 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=0945 | X=0112.130-0207.080 | Y=0183.170-0194.410 | >500m đến ≤1.000m.
P=0945 | X=0112.130-0335.300 | Y=0200.710-0211.950 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0945 | X=0112.130-0371.740 | Y=0218.470-0229.710 | Các tuyến đường giao thông đấu nối trực tiếp ra Quốc lộ 1
P=0945 | X=0112.130-0386.390 | Y=0229.990-0241.230 | đoạn từ Hết chùa Quảng Long đến Đường Cầu Trắng có hiện
P=0945 | X=0112.130-0283.910 | Y=0241.510-0252.750 | trạng là đường nhựa, bê tông xi măng:
P=0945 | X=0095.330-0106.450 | Y=0255.150-0264.470 | 25
P=0945 | X=0408.140-0424.780 | Y=0255.150-0264.470 | 730
P=0945 | X=0444.410-0461.050 | Y=0255.150-0264.470 | 510
P=0945 | X=0505.390-0522.030 | Y=0255.150-0264.470 | 440
P=0945 | X=0112.130-0353.240 | Y=0259.030-0270.270 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=0945 | X=0112.130-0154.270 | Y=0272.430-0281.750 | >1.000m.
P=0945 | X=0112.130-0335.770 | Y=0288.100-0299.340 | - Có bề rộng <3m, cách đường giao thông >200m.
P=0945 | X=0112.130-0385.640 | Y=0305.860-0317.100 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=0945 | X=0112.130-0379.660 | Y=0317.380-0328.620 | ra Quốc lộ 1 đoạn từ Hết chùa Quảng Long đến Đường Cầu
P=0945 | X=0112.130-0348.010 | Y=0328.900-0340.140 | Trắng có hiện trạng là đường nhựa, bê tông xi măng:
P=0945 | X=0095.330-0106.450 | Y=0336.780-0346.100 | 26
P=0945 | X=0399.980-0425.030 | Y=0336.780-0346.100 | 1.600
P=0945 | X=0436.250-0461.300 | Y=0336.780-0346.100 | 1.100
P=0945 | X=0505.390-0522.030 | Y=0336.780-0346.100 | 960
P=0945 | X=0112.130-0343.240 | Y=0346.420-0357.660 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=0945 | X=0112.130-0389.320 | Y=0363.700-0374.940 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=0945 | X=0112.130-0385.640 | Y=0381.480-0392.720 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
