TABLE=050 | AREA=Xã Nam Cát Tiên | SECTION=non-agricultural | SEGMENTS=1
P=1679 | X=0413.180-0429.820 | Y=0098.140-0107.460 | 620
P=1679 | X=0461.450-0478.090 | Y=0098.140-0107.460 | 430
P=1679 | X=0505.390-0522.030 | Y=0098.140-0107.460 | 370
P=1679 | X=0108.530-0382.930 | Y=0114.050-0125.290 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường 600A
P=1679 | X=0108.530-0382.770 | Y=0125.570-0136.810 | đoạn từ Hết cầu số 5 đến Ngã ba đường ấp 2 có hiện trạng là
P=1679 | X=0108.530-0244.280 | Y=0137.090-0148.330 | đường nhựa, bê tông xi măng:
P=1679 | X=0093.620-0104.740 | Y=0144.970-0154.290 | 16
P=1679 | X=0413.180-0429.820 | Y=0144.970-0154.290 | 250
P=1679 | X=0461.450-0478.090 | Y=0144.970-0154.290 | 180
P=1679 | X=0505.390-0522.030 | Y=0144.970-0154.290 | 150
P=1679 | X=0108.530-0339.610 | Y=0154.610-0165.850 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1679 | X=0108.530-0385.700 | Y=0172.130-0183.370 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=1679 | X=0108.530-0382.930 | Y=0189.650-0200.890 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường 600A
P=1679 | X=0108.530-0382.770 | Y=0201.190-0212.430 | đoạn từ Hết cầu số 5 đến Ngã ba đường ấp 2 có hiện trạng là
P=1679 | X=0108.530-0244.280 | Y=0212.710-0223.950 | đường nhựa, bê tông xi măng:
P=1679 | X=0093.620-0340.080 | Y=0230.230-0244.550 | 17 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1679 | X=0413.180-0429.820 | Y=0235.230-0244.550 | 230
P=1679 | X=0461.450-0478.090 | Y=0235.230-0244.550 | 160
P=1679 | X=0505.390-0522.030 | Y=0235.230-0244.550 | 140
P=1679 | X=0108.530-0361.840 | Y=0247.750-0258.990 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=1679 | X=0108.530-0203.510 | Y=0259.270-0270.510 | >500m đến ≤1.000m.
P=1679 | X=0108.530-0331.700 | Y=0276.790-0288.030 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1679 | X=0108.530-0382.930 | Y=0294.580-0305.820 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường 600A
P=1679 | X=0108.530-0382.770 | Y=0306.100-0317.340 | đoạn từ Hết cầu số 5 đến Ngã ba đường ấp 2 có hiện trạng là
P=1679 | X=0108.530-0244.280 | Y=0317.620-0328.860 | đường nhựa, bê tông xi măng:
P=1679 | X=0093.620-0104.740 | Y=0331.260-0340.580 | 18
P=1679 | X=0413.180-0429.820 | Y=0331.260-0340.580 | 220
P=1679 | X=0461.450-0478.090 | Y=0331.260-0340.580 | 150
P=1679 | X=0505.390-0522.030 | Y=0331.260-0340.580 | 130
P=1679 | X=0108.530-0349.640 | Y=0335.140-0346.380 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=1679 | X=0108.530-0150.670 | Y=0348.540-0357.860 | >1.000m.
P=1679 | X=0108.530-0332.170 | Y=0363.940-0375.180 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1679 | X=0108.530-0382.040 | Y=0381.720-0392.960 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=1679 | X=0108.530-0383.740 | Y=0393.240-0404.480 | ra Đường 600A đoạn từ Hết cầu số 5 đến Ngã ba đường ấp 2
P=1679 | X=0108.530-0315.380 | Y=0404.760-0416.000 | có hiện trạng là đường nhựa, bê tông xi măng:
P=1679 | X=0093.620-0104.740 | Y=0412.640-0421.960 | 19
P=1679 | X=0413.180-0429.820 | Y=0412.640-0421.960 | 230
P=1679 | X=0461.450-0478.090 | Y=0412.640-0421.960 | 160
P=1679 | X=0505.390-0522.030 | Y=0412.640-0421.960 | 140
P=1679 | X=0108.530-0339.610 | Y=0422.280-0433.520 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1679 | X=0108.530-0385.700 | Y=0439.800-0451.040 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=1679 | X=0108.530-0382.040 | Y=0457.580-0468.820 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=1679 | X=0108.530-0383.740 | Y=0469.100-0480.340 | ra Đường 600A đoạn từ Hết cầu số 5 đến Ngã ba đường ấp 2
P=1679 | X=0108.530-0315.380 | Y=0480.620-0491.860 | có hiện trạng là đường nhựa, bê tông xi măng:
P=1679 | X=0093.620-0340.080 | Y=0498.140-0512.220 | 20 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1679 | X=0413.180-0429.820 | Y=0502.900-0512.220 | 210
P=1679 | X=0461.450-0478.090 | Y=0502.900-0512.220 | 150
P=1679 | X=0505.390-0522.030 | Y=0502.900-0512.220 | 130
P=1679 | X=0108.530-0361.840 | Y=0515.660-0526.900 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=1679 | X=0108.530-0203.480 | Y=0527.180-0538.420 | >500m đến ≤1.000m.
P=1679 | X=0108.530-0331.700 | Y=0544.490-0555.730 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1679 | X=0108.530-0382.040 | Y=0562.250-0573.490 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=1679 | X=0108.530-0383.740 | Y=0573.770-0585.010 | ra Đường 600A đoạn từ Hết cầu số 5 đến Ngã ba đường ấp 2
P=1679 | X=0108.530-0315.380 | Y=0585.290-0596.530 | có hiện trạng là đường nhựa, bê tông xi măng:
P=1679 | X=0093.620-0104.740 | Y=0598.930-0608.250 | 21
P=1679 | X=0413.180-0429.820 | Y=0598.930-0608.250 | 200
P=1679 | X=0461.450-0478.090 | Y=0598.930-0608.250 | 140
P=1679 | X=0505.390-0522.030 | Y=0598.930-0608.250 | 120
P=1679 | X=0108.530-0349.620 | Y=0602.810-0614.050 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=1679 | X=0108.530-0150.670 | Y=0616.210-0625.530 | >1.000m.
P=1679 | X=0108.530-0332.170 | Y=0631.870-0643.110 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1679 | X=0219.910-0299.000 | Y=0649.630-0660.870 | Ngã ba đường ấp
P=1679 | X=0093.620-0166.380 | Y=0655.390-0666.630 | 22 Đường 600A
P=1679 | X=0301.800-0369.560 | Y=0655.390-0666.630 | Sông Đồng Nai
P=1679 | X=0413.180-0429.820 | Y=0657.270-0666.590 | 690
P=1679 | X=0461.450-0478.090 | Y=0657.270-0666.590 | 480
P=1679 | X=0505.390-0522.030 | Y=0657.270-0666.590 | 410
P=1679 | X=0219.910-0225.510 | Y=0663.030-0672.350 | 2
P=1679 | X=0108.530-0382.930 | Y=0678.910-0690.150 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường 600A
P=1679 | X=0093.620-0383.990 | Y=0690.430-0701.670 | 23 đoạn từ Ngã ba đường ấp 2 đến Sông Đồng Nai có hiện trạng
P=1679 | X=0413.180-0429.820 | Y=0692.310-0701.630 | 250
P=1679 | X=0461.450-0478.090 | Y=0692.310-0701.630 | 180
P=1679 | X=0505.390-0522.030 | Y=0692.310-0701.630 | 150
P=1679 | X=0108.530-0254.860 | Y=0701.970-0713.210 | là đường nhựa, bê tông xi măng:
P=1680 | X=0108.530-0339.610 | Y=0078.500-0089.740 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1680 | X=0108.530-0385.700 | Y=0096.020-0107.260 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=1680 | X=0108.530-0382.930 | Y=0113.780-0125.020 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường 600A
P=1680 | X=0108.530-0383.990 | Y=0125.330-0136.570 | đoạn từ Ngã ba đường ấp 2 đến Sông Đồng Nai có hiện trạng
P=1680 | X=0108.530-0254.860 | Y=0136.850-0148.090 | là đường nhựa, bê tông xi măng:
P=1680 | X=0093.620-0340.080 | Y=0154.370-0168.450 | 24 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1680 | X=0413.180-0429.820 | Y=0159.130-0168.450 | 230
P=1680 | X=0461.450-0478.090 | Y=0159.130-0168.450 | 160
P=1680 | X=0505.390-0522.030 | Y=0159.130-0168.450 | 140
P=1680 | X=0108.530-0361.840 | Y=0171.650-0182.890 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=1680 | X=0108.530-0203.480 | Y=0183.170-0194.410 | >500m đến ≤1.000m.
P=1680 | X=0108.530-0331.700 | Y=0200.710-0211.950 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1680 | X=0108.530-0382.930 | Y=0218.470-0229.710 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường 600A
P=1680 | X=0108.530-0383.990 | Y=0229.990-0241.230 | đoạn từ Ngã ba đường ấp 2 đến Sông Đồng Nai có hiện trạng
P=1680 | X=0108.530-0254.860 | Y=0241.510-0252.750 | là đường nhựa, bê tông xi măng:
P=1680 | X=0093.620-0104.740 | Y=0255.150-0264.470 | 25
P=1680 | X=0413.180-0429.820 | Y=0255.150-0264.470 | 220
P=1680 | X=0461.450-0478.090 | Y=0255.150-0264.470 | 150
P=1680 | X=0505.390-0522.030 | Y=0255.150-0264.470 | 130
P=1680 | X=0108.530-0349.620 | Y=0259.030-0270.270 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=1680 | X=0108.530-0150.670 | Y=0272.430-0281.750 | >1.000m.
P=1680 | X=0108.530-0332.170 | Y=0288.100-0299.340 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1680 | X=0108.530-0382.040 | Y=0305.860-0317.100 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=1680 | X=0108.530-0377.500 | Y=0317.380-0328.620 | ra Đường 600A đoạn từ Ngã ba đường ấp 2 đến Sông Đồng
P=1680 | X=0108.530-0333.140 | Y=0328.900-0340.140 | Nai có hiện trạng là đường nhựa, bê tông xi măng:
P=1680 | X=0093.620-0104.740 | Y=0336.780-0346.100 | 26
P=1680 | X=0413.180-0429.820 | Y=0336.780-0346.100 | 230
P=1680 | X=0461.450-0478.090 | Y=0336.780-0346.100 | 160
P=1680 | X=0505.390-0522.030 | Y=0336.780-0346.100 | 140
P=1680 | X=0108.530-0339.610 | Y=0346.420-0357.660 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1680 | X=0108.530-0385.700 | Y=0363.700-0374.940 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=1680 | X=0108.530-0382.040 | Y=0381.480-0392.720 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=1680 | X=0108.530-0377.500 | Y=0393.000-0404.240 | ra Đường 600A đoạn từ Ngã ba đường ấp 2 đến Sông Đồng
P=1680 | X=0108.530-0333.140 | Y=0404.520-0415.760 | Nai có hiện trạng là đường nhựa, bê tông xi măng:
P=1680 | X=0093.620-0340.080 | Y=0422.040-0436.360 | 27 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1680 | X=0413.180-0429.820 | Y=0427.040-0436.360 | 210
P=1680 | X=0461.450-0478.090 | Y=0427.040-0436.360 | 150
P=1680 | X=0505.390-0522.030 | Y=0427.040-0436.360 | 130
P=1680 | X=0108.530-0361.840 | Y=0439.560-0450.800 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=1680 | X=0108.530-0203.480 | Y=0451.100-0462.340 | >500m đến ≤1.000m.
P=1680 | X=0108.530-0331.700 | Y=0468.620-0479.860 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1680 | X=0108.530-0382.040 | Y=0486.380-0497.620 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=1680 | X=0108.530-0377.500 | Y=0497.900-0509.140 | ra Đường 600A đoạn từ Ngã ba đường ấp 2 đến Sông Đồng
P=1680 | X=0108.530-0333.140 | Y=0509.420-0520.660 | Nai có hiện trạng là đường nhựa, bê tông xi măng:
P=1680 | X=0093.620-0104.740 | Y=0523.060-0532.380 | 28
P=1680 | X=0413.180-0429.820 | Y=0523.060-0532.380 | 200
P=1680 | X=0461.450-0478.090 | Y=0523.060-0532.380 | 140
P=1680 | X=0505.390-0522.030 | Y=0523.060-0532.380 | 120
P=1680 | X=0108.530-0349.620 | Y=0526.940-0538.180 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=1680 | X=0108.530-0150.670 | Y=0540.130-0549.450 | >1.000m.
P=1680 | X=0108.530-0332.170 | Y=0555.770-0567.010 | - Có bề rộng <3m, cách đường giao thông >200m.
