TABLE=088 | AREA=Xã Đắk Ơ | SECTION=non-agricultural | SEGMENTS=1
P=2116 | X=0416.780-0441.830 | Y=0694.950-0704.270 | 1.700
P=2116 | X=0497.230-0522.280 | Y=0694.950-0704.270 | 1.400
P=2116 | X=0177.190-0358.760 | Y=0698.830-0710.070 | 137, tờ bản đồ số 44 đến đất số 57, thửa
P=2117 | X=0177.190-0359.660 | Y=0072.740-0083.980 | thửa đất số 477, tờ bản đất số 51 thuộc
P=2117 | X=0177.190-0215.430 | Y=0084.260-0095.500 | đồ số 48
P=2117 | X=0291.240-0361.160 | Y=0084.260-0095.500 | tờ bản đồ số 62
P=2117 | X=0177.190-0285.630 | Y=0102.260-0113.500 | Hết ranh thửa đất số 57,
P=2117 | X=0291.240-0346.840 | Y=0108.020-0119.260 | Trường học,
P=2117 | X=0093.380-0281.270 | Y=0113.780-0125.020 | 4 Đường ĐT 741 thửa đất số 51 thuộc tờ
P=2117 | X=0367.820-0392.870 | Y=0115.660-0124.980 | 5.800
P=2117 | X=0416.780-0441.830 | Y=0115.660-0124.980 | 4.000
P=2117 | X=0497.230-0522.280 | Y=0115.660-0124.980 | 3.500
P=2117 | X=0291.240-0330.440 | Y=0121.450-0130.770 | trạm y tế
P=2117 | X=0177.190-0234.870 | Y=0125.330-0136.570 | bản đồ số 62
P=2117 | X=0291.240-0353.250 | Y=0145.210-0154.530 | Hết ranh thửa
P=2117 | X=0291.240-0358.760 | Y=0154.850-0166.090 | đất số 58, thửa
P=2117 | X=0093.380-0274.740 | Y=0166.370-0177.610 | 5 Đường ĐT 741 Trường học, trạm y tế
P=2117 | X=0291.240-0337.880 | Y=0166.370-0177.610 | đất số 463
P=2117 | X=0367.820-0392.870 | Y=0168.250-0177.570 | 2.400
P=2117 | X=0416.780-0441.830 | Y=0168.250-0177.570 | 1.700
P=2117 | X=0497.230-0522.280 | Y=0168.250-0177.570 | 1.400
P=2117 | X=0291.240-0361.430 | Y=0177.650-0188.890 | thuộc tờ bản đồ
P=2117 | X=0291.240-0315.560 | Y=0191.050-0200.370 | số 46
P=2117 | X=0291.240-0353.250 | Y=0209.070-0218.390 | Hết ranh thửa
P=2117 | X=0177.190-0285.630 | Y=0212.950-0224.190 | Hết ranh thửa đất số 58,
P=2117 | X=0291.240-0358.760 | Y=0218.710-0229.950 | đất số 17, thửa
P=2117 | X=0093.380-0286.790 | Y=0224.470-0235.710 | 6 Đường ĐT 741 thửa đất số 463 thuộc tờ
P=2117 | X=0367.820-0392.870 | Y=0226.350-0235.670 | 1.200
P=2117 | X=0424.970-0441.610 | Y=0226.350-0235.670 | 820
P=2117 | X=0505.390-0522.030 | Y=0226.350-0235.670 | 700
P=2117 | X=0291.240-0359.660 | Y=0230.230-0241.470 | đất số 87 thuộc
P=2117 | X=0177.190-0234.870 | Y=0235.990-0247.230 | bản đồ số 46
P=2117 | X=0291.240-0361.160 | Y=0241.750-0252.990 | tờ bản đồ số 41
P=2117 | X=0177.190-0288.990 | Y=0259.750-0270.990 | Hết ranh Thửa đất số 17,
P=2117 | X=0291.240-0363.800 | Y=0267.390-0276.710 | Giáp ranh xã Bù
P=2117 | X=0093.380-0281.270 | Y=0271.270-0282.510 | 7 Đường ĐT 741 thửa đất số 87 thuộc tờ
P=2117 | X=0375.980-0392.620 | Y=0273.150-0282.470 | 810
P=2117 | X=0424.970-0441.610 | Y=0273.150-0282.470 | 570
P=2117 | X=0505.390-0522.030 | Y=0273.150-0282.470 | 490
P=2117 | X=0291.240-0329.250 | Y=0278.910-0288.230 | Gia Mập
P=2117 | X=0177.190-0234.870 | Y=0282.820-0294.060 | bản đồ số 41
P=2117 | X=0291.240-0353.250 | Y=0302.700-0312.020 | Hết ranh thửa
P=2117 | X=0102.770-0172.930 | Y=0312.340-0323.580 | Đường huyện 3
P=2117 | X=0291.240-0353.060 | Y=0312.340-0323.580 | đất số 121, tờ
P=2117 | X=0102.770-0348.920 | Y=0323.860-0335.100 | (Ngã tư chợ đi Hết ranh thửa đất số 29, bản đồ số 50
P=2117 | X=0093.380-0098.980 | Y=0331.500-0340.820 | 8
P=2117 | X=0367.820-0392.870 | Y=0331.500-0340.820 | 1.100
P=2117 | X=0424.970-0441.610 | Y=0331.500-0340.820 | 760
P=2117 | X=0505.390-0522.030 | Y=0331.500-0340.820 | 650
P=2117 | X=0102.770-0247.140 | Y=0335.380-0346.620 | thôn 6 xã Đắk tờ bản đồ số 49
P=2117 | X=0291.240-0361.420 | Y=0335.380-0346.620 | đến thửa đất số
P=2117 | X=0102.770-0114.770 | Y=0346.900-0358.140 | Ơ)
P=2117 | X=0291.240-0356.370 | Y=0346.900-0358.140 | 561, tờ bản đồ
P=2117 | X=0291.240-0315.560 | Y=0360.060-0369.380 | số 24
P=2117 | X=0102.770-0272.340 | Y=0376.200-0387.440 | Đường huyện 3 Hết ranh Thửa đất số
P=2117 | X=0102.770-0356.370 | Y=0387.720-0398.960 | (Ngã tư chợ đi 121, tờ bản đồ số 50 đến Ngã ba đường
P=2117 | X=0093.380-0098.980 | Y=0395.360-0404.680 | 9
P=2117 | X=0375.980-0392.620 | Y=0395.360-0404.680 | 720
P=2117 | X=0424.970-0441.610 | Y=0395.360-0404.680 | 500
P=2117 | X=0505.390-0522.030 | Y=0395.360-0404.680 | 430
P=2117 | X=0102.770-0339.800 | Y=0399.240-0410.480 | thôn 6 xã Đắk thửa đất số 561, tờ bản vào Mỏ Đá
P=2117 | X=0102.770-0114.770 | Y=0410.760-0422.000 | Ơ)
P=2117 | X=0177.190-0215.430 | Y=0410.760-0422.000 | đồ số 24
P=2117 | X=0102.770-0172.930 | Y=0428.760-0440.000 | Đường huyện 3
P=2117 | X=0102.770-0278.100 | Y=0440.280-0451.520 | (Ngã tư chợ đi Ngã ba đường vào Mỏ
P=2117 | X=0291.240-0363.070 | Y=0442.160-0451.480 | Ranh giới xã Bù
P=2117 | X=0090.500-0101.620 | Y=0447.920-0457.240 | 10
P=2117 | X=0375.980-0392.620 | Y=0447.920-0457.240 | 540
P=2117 | X=0424.970-0441.610 | Y=0447.920-0457.240 | 380
P=2117 | X=0505.390-0522.030 | Y=0447.920-0457.240 | 320
P=2117 | X=0102.770-0189.990 | Y=0451.820-0463.060 | thôn 6 xã Đắk Đá
P=2117 | X=0291.240-0329.250 | Y=0453.700-0463.020 | Gia Mập
P=2117 | X=0102.770-0114.770 | Y=0463.340-0474.580 | Ơ)
P=2117 | X=0291.240-0353.250 | Y=0483.220-0492.540 | Hết ranh thửa
P=2117 | X=0102.770-0164.530 | Y=0487.100-0498.340 | Đường huyện
P=2117 | X=0291.240-0358.760 | Y=0492.860-0504.100 | đất số 18, thửa
P=2117 | X=0102.770-0280.110 | Y=0498.620-0509.860 | 11 (Ngã tư chợ Hết ranh thửa đất số 3,
P=2117 | X=0291.240-0337.880 | Y=0504.380-0515.620 | đất số 233
P=2117 | X=0090.500-0101.620 | Y=0506.260-0515.580 | 11
P=2117 | X=0375.980-0392.620 | Y=0506.260-0515.580 | 720
P=2117 | X=0424.970-0441.610 | Y=0506.260-0515.580 | 500
P=2117 | X=0505.390-0522.030 | Y=0506.260-0515.580 | 430
P=2117 | X=0102.770-0147.970 | Y=0510.140-0521.380 | đi thôn Bù
P=2117 | X=0177.190-0247.140 | Y=0510.140-0521.380 | tờ bản đồ số 59
P=2117 | X=0291.240-0361.430 | Y=0515.900-0527.140 | thuộc tờ bản đồ
P=2117 | X=0102.770-0169.720 | Y=0521.660-0532.900 | Bưng, thôn 10)
P=2117 | X=0291.240-0315.560 | Y=0529.300-0538.620 | số 39
P=2117 | X=0102.770-0164.530 | Y=0545.450-0556.690 | Đường huyện
P=2117 | X=0177.190-0345.320 | Y=0551.210-0562.450 | Hết ranh thửa đất số 18, Giáp đường
P=2117 | X=0102.770-0170.600 | Y=0556.970-0568.210 | 11 (Ngã tư chợ
P=2117 | X=0177.190-0346.980 | Y=0562.490-0573.730 | thửa đất số 233 thuộc tờ tuần tra biên
P=2117 | X=0090.500-0101.620 | Y=0564.370-0573.690 | 12
P=2117 | X=0375.980-0392.620 | Y=0564.370-0573.690 | 540
P=2117 | X=0424.970-0441.610 | Y=0564.370-0573.690 | 380
P=2117 | X=0505.390-0522.030 | Y=0564.370-0573.690 | 320
P=2117 | X=0102.770-0147.970 | Y=0568.250-0579.490 | đi thôn Bù
P=2117 | X=0177.190-0234.870 | Y=0574.010-0585.250 | bản đồ số 39
P=2117 | X=0291.240-0307.880 | Y=0575.890-0585.210 | giới
P=2117 | X=0102.770-0169.720 | Y=0579.770-0591.010 | Bưng, thôn 10)
P=2117 | X=0102.770-0164.530 | Y=0597.770-0609.010 | Đường huyện
P=2117 | X=0090.500-0268.460 | Y=0609.290-0620.530 | 13 01 (Đường thôn Giáp Đường ĐT 741
P=2117 | X=0291.240-0354.200 | Y=0611.170-0620.490 | Ngã ba thôn 3
P=2117 | X=0375.980-0392.620 | Y=0611.170-0620.490 | 540
P=2117 | X=0424.970-0441.610 | Y=0611.170-0620.490 | 380
P=2117 | X=0505.390-0522.030 | Y=0611.170-0620.490 | 320
P=2117 | X=0102.770-0148.610 | Y=0622.710-0632.030 | 9 - thôn 3)
P=2117 | X=0102.770-0164.530 | Y=0638.830-0650.070 | Đường huyện
P=2117 | X=0291.240-0345.320 | Y=0638.830-0650.070 | Giáp đường
P=2117 | X=0090.500-0240.150 | Y=0650.350-0661.590 | 14 01 (Đường thôn Ngã ba thôn 3
P=2117 | X=0291.240-0346.980 | Y=0652.230-0661.550 | tuần tra biên
P=2117 | X=0375.980-0392.620 | Y=0652.230-0661.550 | 540
P=2117 | X=0424.970-0441.610 | Y=0652.230-0661.550 | 380
P=2117 | X=0505.390-0522.030 | Y=0652.230-0661.550 | 320
P=2117 | X=0102.770-0148.610 | Y=0663.750-0673.070 | 9 - thôn 3)
P=2117 | X=0291.240-0307.880 | Y=0663.750-0673.070 | giới
P=2117 | X=0102.770-0166.600 | Y=0679.870-0691.110 | Đường Đắk Ơ
P=2117 | X=0291.240-0342.930 | Y=0679.870-0691.110 | Đến ngã ba
P=2117 | X=0090.500-0160.120 | Y=0691.390-0702.630 | 15 06 (thôn Đăk
P=2117 | X=0177.190-0268.460 | Y=0691.390-0702.630 | Giáp Đường ĐT 741
P=2117 | X=0291.240-0353.390 | Y=0691.390-0702.630 | đường Đắk Ơ
P=2117 | X=0375.980-0392.620 | Y=0693.270-0702.590 | 540
P=2117 | X=0424.970-0441.610 | Y=0693.270-0702.590 | 380
P=2117 | X=0505.390-0522.030 | Y=0693.270-0702.590 | 320
P=2117 | X=0102.770-0163.460 | Y=0702.930-0714.170 | Lim đi thôn 4)
P=2117 | X=0291.240-0302.360 | Y=0704.820-0714.140 | 12
P=2118 | X=0291.240-0342.930 | Y=0078.740-0089.980 | Đến ngã ba
P=2118 | X=0102.770-0166.600 | Y=0084.500-0095.740 | Đường Đắk Ơ
P=2118 | X=0177.190-0268.460 | Y=0090.260-0101.500 | Giáp Đường ĐT 741
P=2118 | X=0291.240-0353.390 | Y=0090.260-0101.500 | đường Đắk Ơ
P=2118 | X=0090.500-0101.620 | Y=0092.140-0101.460 | 16
P=2118 | X=0375.980-0392.620 | Y=0092.140-0101.460 | 540
P=2118 | X=0424.970-0441.610 | Y=0092.140-0101.460 | 380
P=2118 | X=0505.390-0522.030 | Y=0092.140-0101.460 | 320
P=2118 | X=0102.770-0113.890 | Y=0097.900-0107.220 | 14
P=2118 | X=0291.240-0302.360 | Y=0103.660-0112.980 | 12
P=2118 | X=0102.770-0147.970 | Y=0121.690-0131.010 | Các tuyến
P=2118 | X=0177.190-0285.300 | Y=0125.570-0136.810 | Các tuyến đường nội bộ
P=2118 | X=0102.770-0160.130 | Y=0131.330-0142.570 | đường thuộc
P=2118 | X=0177.190-0280.660 | Y=0138.970-0148.290 | thuộc cụm CT36, CT43
P=2118 | X=0102.770-0171.990 | Y=0144.730-0154.050 | Khu Quy hoạch
P=2118 | X=0090.500-0101.620 | Y=0150.490-0159.810 | 17
P=2118 | X=0177.190-0281.300 | Y=0150.490-0159.810 | (Khu Quy hoạch chi tiết
P=2118 | X=0367.820-0392.870 | Y=0150.490-0159.810 | 3.800
P=2118 | X=0416.780-0441.830 | Y=0150.490-0159.810 | 2.700
P=2118 | X=0497.230-0522.280 | Y=0150.490-0159.810 | 2.300
P=2118 | X=0102.770-0153.010 | Y=0156.250-0165.570 | chi tiết tỷ lệ
P=2118 | X=0177.190-0281.910 | Y=0162.010-0171.330 | tỷ lệ 1/500 trung tâm xã
P=2118 | X=0102.770-0172.830 | Y=0167.530-0176.850 | 1/500 trung tâm
P=2118 | X=0177.190-0209.830 | Y=0171.410-0182.650 | Đắk Ơ)
P=2118 | X=0102.770-0145.480 | Y=0177.170-0188.410 | xã Đắk Ơ
P=2118 | X=0177.190-0285.300 | Y=0195.170-0206.410 | Các tuyến đường nội bộ
P=2118 | X=0102.770-0147.970 | Y=0202.830-0212.150 | Các tuyến
P=2118 | X=0177.190-0283.380 | Y=0208.590-0217.910 | thuộc cụm CT08, CT09,
P=2118 | X=0102.770-0160.130 | Y=0212.470-0223.710 | đường thuộc
P=2118 | X=0177.190-0264.420 | Y=0220.110-0229.430 | CT14, CT15, CT16,
P=2118 | X=0102.770-0171.990 | Y=0225.870-0235.190 | Khu Quy hoạch
P=2118 | X=0090.500-0101.620 | Y=0231.630-0240.950 | 18
P=2118 | X=0177.190-0264.420 | Y=0231.630-0240.950 | CT33, CT34, CT37,
P=2118 | X=0375.980-0392.620 | Y=0231.630-0240.950 | 900
P=2118 | X=0424.970-0441.610 | Y=0231.630-0240.950 | 630
P=2118 | X=0505.390-0522.030 | Y=0231.630-0240.950 | 540
P=2118 | X=0102.770-0153.010 | Y=0237.390-0246.710 | chi tiết tỷ lệ
P=2118 | X=0177.190-0276.910 | Y=0243.150-0252.470 | CT39 (Khu Quy hoạch
P=2118 | X=0102.770-0172.830 | Y=0248.910-0258.230 | 1/500 trung tâm
P=2118 | X=0177.190-0280.750 | Y=0254.670-0263.990 | chi tiết tỷ lệ 1/500 trung
P=2118 | X=0102.770-0145.480 | Y=0258.550-0269.790 | xã Đắk Ơ
P=2118 | X=0177.190-0242.700 | Y=0264.310-0275.550 | tâm xã Đắk Ơ)
P=2118 | X=0102.770-0147.970 | Y=0284.220-0293.540 | Các tuyến
P=2118 | X=0102.770-0160.130 | Y=0293.860-0305.100 | đường thuộc
P=2118 | X=0102.770-0285.300 | Y=0305.380-0316.620 | Khu Quy hoạch Các tuyến đường nội bộ
P=2118 | X=0090.500-0101.620 | Y=0313.020-0322.340 | 19
P=2118 | X=0375.980-0392.620 | Y=0313.020-0322.340 | 540
P=2118 | X=0424.970-0441.610 | Y=0313.020-0322.340 | 380
P=2118 | X=0505.390-0522.030 | Y=0313.020-0322.340 | 320
P=2118 | X=0102.770-0153.010 | Y=0318.780-0328.100 | chi tiết tỷ lệ
P=2118 | X=0177.190-0206.070 | Y=0318.780-0328.100 | còn lại
P=2118 | X=0102.770-0172.830 | Y=0330.060-0339.380 | 1/500 trung tâm
P=2118 | X=0102.770-0145.480 | Y=0339.700-0350.940 | xã Đắk Ơ
P=2118 | X=0102.770-0147.970 | Y=0359.580-0368.900 | Các tuyến
P=2118 | X=0090.500-0227.430 | Y=0369.240-0380.480 | 20 Đường nhựa, Toàn tuyến
P=2118 | X=0375.980-0392.620 | Y=0371.120-0380.440 | 450
P=2118 | X=0424.970-0441.610 | Y=0371.120-0380.440 | 320
P=2118 | X=0505.390-0522.030 | Y=0371.120-0380.440 | 270
P=2118 | X=0102.770-0167.910 | Y=0382.640-0391.960 | bê tông còn lại
P=2118 | X=0102.770-0147.970 | Y=0400.640-0409.960 | Các tuyến
P=2118 | X=0090.500-0101.620 | Y=0406.400-0415.720 | 21
P=2118 | X=0177.190-0227.430 | Y=0406.400-0415.720 | Toàn tuyến
P=2118 | X=0375.980-0392.620 | Y=0406.400-0415.720 | 360
P=2118 | X=0424.970-0441.610 | Y=0406.400-0415.720 | 250
P=2118 | X=0505.390-0522.030 | Y=0406.400-0415.720 | 220
P=2118 | X=0102.770-0164.550 | Y=0410.280-0421.520 | đường còn lại
