TABLE=038 | AREA=Xã Bình Minh | SECTION=non-agricultural | SEGMENTS=1
P=1326 | X=0497.230-0522.280 | Y=0590.770-0600.090 | 8.500
P=1326 | X=0106.850-0403.850 | Y=0606.650-0617.890 | Các tuyến đường giao thông đấu nối trực tiếp ra Quốc lộ 1 đoạn từ
P=1326 | X=0106.850-0406.540 | Y=0618.190-0629.430 | Ngã 3 Trị An đến Nhà thờ Bùi Chu có hiện trạng là đường nhựa, bê
P=1326 | X=0106.850-0167.010 | Y=0629.710-0640.950 | tông xi măng:
P=1326 | X=0095.570-0101.170 | Y=0637.590-0646.910 | 2
P=1326 | X=0424.970-0450.020 | Y=0637.590-0646.910 | 6.600
P=1326 | X=0461.210-0486.260 | Y=0637.590-0646.910 | 4.600
P=1326 | X=0497.230-0522.280 | Y=0637.590-0646.910 | 4.000
P=1326 | X=0106.850-0337.930 | Y=0647.230-0658.470 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1326 | X=0106.850-0384.020 | Y=0664.510-0675.750 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=1326 | X=0106.850-0403.850 | Y=0682.270-0693.510 | Các tuyến đường giao thông đấu nối trực tiếp ra Quốc lộ 1 đoạn từ
P=1326 | X=0095.570-0406.540 | Y=0693.790-0705.030 | 3 Ngã 3 Trị An đến Nhà thờ Bùi Chu có hiện trạng là đường nhựa, bê
P=1326 | X=0424.970-0450.020 | Y=0695.670-0704.990 | 4.100
P=1326 | X=0461.210-0486.260 | Y=0695.670-0704.990 | 2.900
P=1326 | X=0497.230-0522.280 | Y=0695.670-0704.990 | 2.500
P=1326 | X=0106.850-0167.010 | Y=0705.330-0716.570 | tông xi măng:
P=1327 | X=0106.850-0338.400 | Y=0078.500-0089.740 | - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1327 | X=0106.850-0413.270 | Y=0096.020-0107.260 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >500m đến
P=1327 | X=0106.850-0148.530 | Y=0107.540-0118.780 | ≤1.000m.
P=1327 | X=0106.850-0330.020 | Y=0125.090-0136.330 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1327 | X=0106.850-0403.850 | Y=0142.850-0154.090 | Các tuyến đường giao thông đấu nối trực tiếp ra Quốc lộ 1 đoạn từ
P=1327 | X=0106.850-0406.540 | Y=0154.370-0165.610 | Ngã 3 Trị An đến Nhà thờ Bùi Chu có hiện trạng là đường nhựa, bê
P=1327 | X=0106.850-0167.010 | Y=0165.650-0176.890 | tông xi măng:
P=1327 | X=0095.570-0101.170 | Y=0173.530-0182.850 | 4
P=1327 | X=0424.970-0450.020 | Y=0173.530-0182.850 | 3.300
P=1327 | X=0461.210-0486.260 | Y=0173.530-0182.850 | 2.300
P=1327 | X=0497.230-0522.280 | Y=0173.530-0182.850 | 2.000
P=1327 | X=0106.850-0392.640 | Y=0183.170-0194.410 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >1.000m.
P=1327 | X=0106.850-0330.490 | Y=0200.710-0211.950 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1327 | X=0106.850-0392.110 | Y=0218.470-0229.710 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=1327 | X=0106.850-0413.980 | Y=0229.990-0241.230 | Quốc lộ 1 đoạn từ Ngã 3 Trị An đến Nhà thờ Bùi Chu có hiện trạng là
P=1327 | X=0106.850-0242.600 | Y=0241.510-0252.750 | đường nhựa, bê tông xi măng:
P=1327 | X=0095.570-0101.170 | Y=0249.390-0258.710 | 5
P=1327 | X=0424.970-0450.020 | Y=0249.390-0258.710 | 5.900
P=1327 | X=0461.210-0486.260 | Y=0249.390-0258.710 | 4.100
P=1327 | X=0497.230-0522.280 | Y=0249.390-0258.710 | 3.500
P=1327 | X=0106.850-0337.930 | Y=0259.030-0270.270 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1327 | X=0106.850-0384.020 | Y=0276.550-0287.790 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=1327 | X=0106.850-0392.110 | Y=0294.340-0305.580 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=1327 | X=0106.850-0413.980 | Y=0305.860-0317.100 | Quốc lộ 1 đoạn từ Ngã 3 Trị An đến Nhà thờ Bùi Chu có hiện trạng là
P=1327 | X=0106.850-0242.600 | Y=0317.380-0328.620 | đường nhựa, bê tông xi măng:
P=1327 | X=0095.570-0338.400 | Y=0334.900-0348.980 | 6 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1327 | X=0424.970-0450.020 | Y=0339.660-0348.980 | 3.700
P=1327 | X=0461.210-0486.260 | Y=0339.660-0348.980 | 2.600
P=1327 | X=0497.230-0522.280 | Y=0339.660-0348.980 | 2.200
P=1327 | X=0106.850-0413.270 | Y=0352.420-0363.660 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >500m đến
P=1327 | X=0106.850-0148.530 | Y=0363.700-0374.940 | ≤1.000m.
P=1327 | X=0106.850-0330.020 | Y=0381.240-0392.480 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1327 | X=0106.850-0392.110 | Y=0399.000-0410.240 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=1327 | X=0106.850-0413.980 | Y=0410.520-0421.760 | Quốc lộ 1 đoạn từ Ngã 3 Trị An đến Nhà thờ Bùi Chu có hiện trạng là
P=1327 | X=0106.850-0242.600 | Y=0422.040-0433.280 | đường nhựa, bê tông xi măng:
P=1327 | X=0095.570-0101.170 | Y=0429.920-0439.240 | 7
P=1327 | X=0424.970-0450.020 | Y=0429.920-0439.240 | 3.000
P=1327 | X=0461.210-0486.260 | Y=0429.920-0439.240 | 2.100
P=1327 | X=0497.230-0522.280 | Y=0429.920-0439.240 | 1.800
P=1327 | X=0106.850-0392.640 | Y=0439.560-0450.800 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >1.000m.
P=1327 | X=0106.850-0330.490 | Y=0457.100-0468.340 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1327 | X=0322.200-0405.810 | Y=0474.860-0486.100 | UBND xã Bắc Sơn
P=1327 | X=0095.570-0149.890 | Y=0482.500-0491.820 | 8 Quốc lộ 1
P=1327 | X=0235.540-0310.020 | Y=0482.500-0491.820 | Nhà thờ Bùi Chu
P=1327 | X=0419.450-0450.020 | Y=0482.500-0491.820 | 11.200
P=1327 | X=0461.210-0486.260 | Y=0482.500-0491.820 | 7.800
P=1327 | X=0497.230-0522.280 | Y=0482.500-0491.820 | 6.700
P=1327 | X=0322.200-0339.480 | Y=0486.380-0497.620 | (cũ)
P=1327 | X=0106.850-0403.850 | Y=0504.140-0515.380 | Các tuyến đường giao thông đấu nối trực tiếp ra Quốc lộ 1 đoạn từ
P=1327 | X=0106.850-0410.870 | Y=0515.660-0526.900 | Nhà thờ Bùi Chu đến UBND xã Bắc Sơn (cũ) có hiện trạng là đường
P=1327 | X=0106.850-0209.960 | Y=0527.180-0538.420 | nhựa, bê tông xi măng:
P=1327 | X=0095.570-0101.170 | Y=0535.090-0544.410 | 9
P=1327 | X=0424.970-0450.020 | Y=0535.090-0544.410 | 4.500
P=1327 | X=0461.210-0486.260 | Y=0535.090-0544.410 | 3.200
P=1327 | X=0497.230-0522.280 | Y=0535.090-0544.410 | 2.700
P=1327 | X=0106.850-0337.960 | Y=0544.490-0555.730 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1327 | X=0106.850-0384.020 | Y=0562.010-0573.250 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=1327 | X=0106.850-0403.850 | Y=0579.770-0591.010 | Các tuyến đường giao thông đấu nối trực tiếp ra Quốc lộ 1 đoạn từ
P=1327 | X=0106.850-0410.870 | Y=0591.290-0602.530 | Nhà thờ Bùi Chu đến UBND xã Bắc Sơn (cũ) có hiện trạng là đường
P=1327 | X=0106.850-0209.960 | Y=0602.810-0614.050 | nhựa, bê tông xi măng:
P=1327 | X=0092.900-0338.400 | Y=0620.350-0634.670 | 10 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1327 | X=0424.970-0450.020 | Y=0625.350-0634.670 | 2.900
P=1327 | X=0461.210-0486.260 | Y=0625.350-0634.670 | 2.000
P=1327 | X=0497.230-0522.280 | Y=0625.350-0634.670 | 1.700
P=1327 | X=0106.850-0413.270 | Y=0637.870-0649.110 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >500m đến
P=1327 | X=0106.850-0148.530 | Y=0649.390-0660.630 | ≤1.000m.
P=1327 | X=0106.850-0330.020 | Y=0666.910-0678.150 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1327 | X=0106.850-0403.850 | Y=0684.670-0695.910 | Các tuyến đường giao thông đấu nối trực tiếp ra Quốc lộ 1 đoạn từ
P=1327 | X=0092.900-0410.870 | Y=0696.190-0707.430 | 11 Nhà thờ Bùi Chu đến UBND xã Bắc Sơn (cũ) có hiện trạng là đường
P=1327 | X=0424.970-0450.020 | Y=0698.070-0707.390 | 2.400
P=1327 | X=0461.210-0486.260 | Y=0698.070-0707.390 | 1.700
P=1327 | X=0497.230-0522.280 | Y=0698.070-0707.390 | 1.400
P=1327 | X=0106.850-0209.960 | Y=0707.730-0718.970 | nhựa, bê tông xi măng:
P=1328 | X=0106.850-0392.640 | Y=0078.500-0089.740 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >1.000m.
P=1328 | X=0106.850-0330.490 | Y=0096.020-0107.260 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1328 | X=0106.850-0392.140 | Y=0113.780-0125.020 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=1328 | X=0106.850-0403.140 | Y=0125.330-0136.570 | Quốc lộ 1 đoạn từ Nhà thờ Bùi Chu đến UBND xã Bắc Sơn (cũ) có
P=1328 | X=0106.850-0300.460 | Y=0136.850-0148.090 | hiện trạng là đường nhựa, bê tông xi măng:
P=1328 | X=0092.900-0104.020 | Y=0144.730-0154.050 | 12
P=1328 | X=0424.970-0450.020 | Y=0144.730-0154.050 | 4.100
P=1328 | X=0461.210-0486.260 | Y=0144.730-0154.050 | 2.900
P=1328 | X=0497.230-0522.280 | Y=0144.730-0154.050 | 2.500
P=1328 | X=0106.850-0337.930 | Y=0154.370-0165.610 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1328 | X=0106.850-0384.020 | Y=0171.650-0182.890 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=1328 | X=0106.850-0392.110 | Y=0189.410-0200.650 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=1328 | X=0106.850-0403.140 | Y=0200.950-0212.190 | Quốc lộ 1 đoạn từ Nhà thờ Bùi Chu đến UBND xã Bắc Sơn (cũ) có
P=1328 | X=0106.850-0300.460 | Y=0212.470-0223.710 | hiện trạng là đường nhựa, bê tông xi măng:
P=1328 | X=0092.900-0338.400 | Y=0229.990-0244.310 | 13 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1328 | X=0424.970-0450.020 | Y=0234.990-0244.310 | 2.600
P=1328 | X=0461.210-0486.260 | Y=0234.990-0244.310 | 1.800
P=1328 | X=0497.230-0522.280 | Y=0234.990-0244.310 | 1.600
P=1328 | X=0106.850-0413.270 | Y=0247.510-0258.750 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >500m đến
P=1328 | X=0106.850-0148.530 | Y=0259.030-0270.270 | ≤1.000m.
P=1328 | X=0106.850-0330.020 | Y=0276.550-0287.790 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1328 | X=0106.850-0392.110 | Y=0294.340-0305.580 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=1328 | X=0106.850-0403.140 | Y=0305.860-0317.100 | Quốc lộ 1 đoạn từ Nhà thờ Bùi Chu đến UBND xã Bắc Sơn (cũ) có
P=1328 | X=0106.850-0300.520 | Y=0317.380-0328.620 | hiện trạng là đường nhựa, bê tông xi măng:
P=1328 | X=0092.900-0104.020 | Y=0325.260-0334.580 | 14
P=1328 | X=0424.970-0450.020 | Y=0325.260-0334.580 | 2.200
P=1328 | X=0461.210-0486.260 | Y=0325.260-0334.580 | 1.500
P=1328 | X=0497.230-0522.280 | Y=0325.260-0334.580 | 1.300
P=1328 | X=0106.850-0392.640 | Y=0334.900-0346.140 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >1.000m.
P=1328 | X=0106.850-0330.490 | Y=0352.420-0363.660 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1328 | X=0235.540-0319.150 | Y=0369.960-0381.200 | UBND xã Bắc Sơn
P=1328 | X=0322.200-0382.030 | Y=0375.720-0386.960 | Cầu Suối Đĩa
P=1328 | X=0092.900-0149.890 | Y=0377.600-0386.920 | 15 Quốc lộ 1
P=1328 | X=0424.970-0450.020 | Y=0377.600-0386.920 | 8.500
P=1328 | X=0461.210-0486.260 | Y=0377.600-0386.920 | 6.000
P=1328 | X=0497.230-0522.280 | Y=0377.600-0386.920 | 5.100
P=1328 | X=0235.540-0252.820 | Y=0381.480-0392.720 | (cũ)
P=1328 | X=0106.850-0403.850 | Y=0399.240-0410.480 | Các tuyến đường giao thông đấu nối trực tiếp ra Quốc lộ 1 đoạn từ
P=1328 | X=0106.850-0395.980 | Y=0410.760-0422.000 | UBND xã Bắc Sơn (cũ) đến Cầu Suối Đĩa có hiện trạng là đường
P=1328 | X=0106.850-0209.960 | Y=0422.280-0433.520 | nhựa, bê tông xi măng:
P=1328 | X=0092.900-0104.020 | Y=0430.160-0439.480 | 16
P=1328 | X=0424.970-0450.020 | Y=0430.160-0439.480 | 3.500
P=1328 | X=0461.210-0486.260 | Y=0430.160-0439.480 | 2.500
P=1328 | X=0497.230-0522.280 | Y=0430.160-0439.480 | 2.100
P=1328 | X=0106.850-0337.930 | Y=0439.800-0451.040 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1328 | X=0106.850-0384.020 | Y=0457.340-0468.580 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=1328 | X=0106.850-0403.850 | Y=0475.100-0486.340 | Các tuyến đường giao thông đấu nối trực tiếp ra Quốc lộ 1 đoạn từ
P=1328 | X=0106.850-0395.980 | Y=0486.620-0497.860 | UBND xã Bắc Sơn (cũ) đến Cầu Suối Đĩa có hiện trạng là đường
P=1328 | X=0106.850-0209.960 | Y=0498.140-0509.380 | nhựa, bê tông xi măng:
P=1328 | X=0092.900-0338.400 | Y=0515.660-0529.740 | 17 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1328 | X=0424.970-0450.020 | Y=0520.420-0529.740 | 2.400
P=1328 | X=0461.210-0486.260 | Y=0520.420-0529.740 | 1.700
P=1328 | X=0497.230-0522.280 | Y=0520.420-0529.740 | 1.400
P=1328 | X=0106.850-0413.270 | Y=0533.210-0544.450 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >500m đến
P=1328 | X=0106.850-0148.530 | Y=0544.490-0555.730 | ≤1.000m.
P=1328 | X=0106.850-0330.020 | Y=0562.010-0573.250 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1328 | X=0106.850-0403.850 | Y=0579.770-0591.010 | Các tuyến đường giao thông đấu nối trực tiếp ra Quốc lộ 1 đoạn từ
P=1328 | X=0106.850-0395.980 | Y=0591.290-0602.530 | UBND xã Bắc Sơn (cũ) đến Cầu Suối Đĩa có hiện trạng là đường
P=1328 | X=0106.850-0209.960 | Y=0602.810-0614.050 | nhựa, bê tông xi măng:
P=1328 | X=0092.900-0104.020 | Y=0610.690-0620.010 | 18
P=1328 | X=0424.970-0450.020 | Y=0610.690-0620.010 | 1.600
P=1328 | X=0461.210-0486.260 | Y=0610.690-0620.010 | 1.100
P=1328 | X=0505.390-0522.030 | Y=0610.690-0620.010 | 960
P=1328 | X=0106.850-0392.690 | Y=0620.350-0631.590 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >1.000m.
P=1328 | X=0106.850-0330.490 | Y=0637.870-0649.110 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1328 | X=0106.850-0392.110 | Y=0655.630-0666.870 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=1328 | X=0106.850-0409.900 | Y=0667.150-0678.390 | Quốc lộ 1 đoạn từ UBND xã Bắc Sơn (cũ) đến Cầu Suối Đĩa có hiện
P=1328 | X=0092.900-0278.630 | Y=0677.670-0689.910 | 19 trạng là đường nhựa, bê tông xi măng:
P=1328 | X=0424.970-0450.020 | Y=0677.670-0686.990 | 3.200
P=1328 | X=0461.210-0486.260 | Y=0677.670-0686.990 | 2.200
P=1328 | X=0497.230-0522.280 | Y=0677.670-0686.990 | 1.900
P=1328 | X=0106.850-0337.930 | Y=0696.190-0707.430 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1329 | X=0106.850-0384.020 | Y=0078.500-0089.740 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=1329 | X=0106.850-0392.110 | Y=0096.260-0107.500 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=1329 | X=0106.850-0409.900 | Y=0107.780-0119.020 | Quốc lộ 1 đoạn từ UBND xã Bắc Sơn (cũ) đến Cầu Suối Đĩa có hiện
P=1329 | X=0106.850-0278.640 | Y=0119.330-0130.570 | trạng là đường nhựa, bê tông xi măng:
P=1329 | X=0092.900-0338.400 | Y=0136.850-0150.930 | 20 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1329 | X=0424.970-0450.020 | Y=0141.610-0150.930 | 2.200
P=1329 | X=0461.210-0486.260 | Y=0141.610-0150.930 | 1.500
P=1329 | X=0497.230-0522.280 | Y=0141.610-0150.930 | 1.300
P=1329 | X=0106.850-0413.270 | Y=0154.370-0165.610 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >500m đến
P=1329 | X=0106.850-0148.530 | Y=0165.650-0176.890 | ≤1.000m.
P=1329 | X=0106.850-0330.020 | Y=0183.170-0194.410 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1329 | X=0106.850-0392.110 | Y=0200.950-0212.190 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=1329 | X=0106.850-0409.900 | Y=0212.470-0223.710 | Quốc lộ 1 đoạn từ UBND xã Bắc Sơn (cũ) đến Cầu Suối Đĩa có hiện
P=1329 | X=0106.850-0278.630 | Y=0223.990-0235.230 | trạng là đường nhựa, bê tông xi măng:
P=1329 | X=0092.900-0104.020 | Y=0231.870-0241.190 | 21
P=1329 | X=0424.970-0450.020 | Y=0231.870-0241.190 | 1.400
P=1329 | X=0469.370-0486.010 | Y=0231.870-0241.190 | 980
P=1329 | X=0505.390-0522.030 | Y=0231.870-0241.190 | 840
P=1329 | X=0106.850-0392.640 | Y=0241.510-0252.750 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >1.000m.
P=1329 | X=0106.850-0330.490 | Y=0259.030-0270.270 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1329 | X=0322.200-0406.280 | Y=0276.790-0288.030 | Đường Võ Nguyên
P=1329 | X=0235.540-0295.350 | Y=0282.580-0293.820 | Cầu Suối Đĩa
P=1329 | X=0092.900-0149.890 | Y=0284.460-0293.780 | 22 Quốc lộ 1
P=1329 | X=0424.970-0450.020 | Y=0284.460-0293.780 | 9.700
P=1329 | X=0461.210-0486.260 | Y=0284.460-0293.780 | 6.800
P=1329 | X=0497.230-0522.280 | Y=0284.460-0293.780 | 5.800
P=1329 | X=0322.200-0343.630 | Y=0290.220-0299.540 | Giáp
P=1329 | X=0106.850-0403.850 | Y=0306.100-0317.340 | Các tuyến đường giao thông đấu nối trực tiếp ra Quốc lộ 1 đoạn từ
P=1329 | X=0106.850-0400.550 | Y=0317.620-0328.860 | Cầu Suối Đĩa đến Đường Võ Nguyên Giáp có hiện trạng là đường
P=1329 | X=0106.850-0209.960 | Y=0329.140-0340.380 | nhựa, bê tông xi măng:
P=1329 | X=0092.900-0104.020 | Y=0337.020-0346.340 | 23
P=1329 | X=0424.970-0450.020 | Y=0337.020-0346.340 | 3.900
P=1329 | X=0461.210-0486.260 | Y=0337.020-0346.340 | 2.700
P=1329 | X=0497.230-0522.280 | Y=0337.020-0346.340 | 2.300
P=1329 | X=0106.850-0337.930 | Y=0346.660-0357.900 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1329 | X=0106.850-0384.020 | Y=0363.940-0375.180 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=1329 | X=0106.850-0403.850 | Y=0381.720-0392.960 | Các tuyến đường giao thông đấu nối trực tiếp ra Quốc lộ 1 đoạn từ
P=1329 | X=0106.850-0400.550 | Y=0393.240-0404.480 | Cầu Suối Đĩa đến Đường Võ Nguyên Giáp có hiện trạng là đường
P=1329 | X=0106.850-0209.960 | Y=0404.760-0416.000 | nhựa, bê tông xi măng:
P=1329 | X=0092.900-0338.400 | Y=0422.280-0436.600 | 24 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1329 | X=0424.970-0450.020 | Y=0427.280-0436.600 | 2.600
P=1329 | X=0461.210-0486.260 | Y=0427.280-0436.600 | 1.800
P=1329 | X=0497.230-0522.280 | Y=0427.280-0436.600 | 1.600
P=1329 | X=0106.850-0413.270 | Y=0439.800-0451.040 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >500m đến
P=1329 | X=0106.850-0148.530 | Y=0451.340-0462.580 | ≤1.000m.
P=1329 | X=0106.850-0330.020 | Y=0468.860-0480.100 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1329 | X=0106.850-0403.850 | Y=0486.620-0497.860 | Các tuyến đường giao thông đấu nối trực tiếp ra Quốc lộ 1 đoạn từ
P=1329 | X=0106.850-0400.550 | Y=0498.140-0509.380 | Cầu Suối Đĩa đến Đường Võ Nguyên Giáp có hiện trạng là đường
P=1329 | X=0106.850-0209.960 | Y=0509.660-0520.900 | nhựa, bê tông xi măng:
P=1329 | X=0092.900-0104.020 | Y=0517.540-0526.860 | 25
P=1329 | X=0424.970-0450.020 | Y=0517.540-0526.860 | 1.600
P=1329 | X=0461.210-0486.260 | Y=0517.540-0526.860 | 1.100
P=1329 | X=0505.390-0522.030 | Y=0517.540-0526.860 | 960
P=1329 | X=0106.850-0392.640 | Y=0527.180-0538.420 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >1.000m.
P=1329 | X=0106.850-0330.490 | Y=0544.490-0555.730 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1329 | X=0106.850-0392.110 | Y=0562.250-0573.490 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=1329 | X=0106.850-0414.460 | Y=0573.770-0585.010 | Quốc lộ 1 đoạn từ Cầu Suối Đĩa đến Đường Võ Nguyên Giáp có hiện
P=1329 | X=0106.850-0278.630 | Y=0585.290-0596.530 | trạng là đường nhựa, bê tông xi măng:
P=1329 | X=0092.900-0104.020 | Y=0593.170-0602.490 | 26
P=1329 | X=0424.970-0450.020 | Y=0593.170-0602.490 | 3.500
P=1329 | X=0461.210-0486.260 | Y=0593.170-0602.490 | 2.500
P=1329 | X=0497.230-0522.280 | Y=0593.170-0602.490 | 2.100
P=1329 | X=0106.850-0337.930 | Y=0602.810-0614.050 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1329 | X=0106.850-0384.020 | Y=0620.350-0631.590 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=1329 | X=0106.850-0392.110 | Y=0638.110-0649.350 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=1329 | X=0106.850-0414.460 | Y=0649.630-0660.870 | Quốc lộ 1 đoạn từ Cầu Suối Đĩa đến Đường Võ Nguyên Giáp có hiện
P=1329 | X=0106.850-0278.630 | Y=0661.150-0672.390 | trạng là đường nhựa, bê tông xi măng:
P=1329 | X=0092.900-0104.020 | Y=0674.790-0684.110 | 27
P=1329 | X=0424.970-0450.020 | Y=0674.790-0684.110 | 2.300
P=1329 | X=0461.210-0486.260 | Y=0674.790-0684.110 | 1.600
P=1329 | X=0497.230-0522.280 | Y=0674.790-0684.110 | 1.400
P=1329 | X=0106.850-0338.400 | Y=0678.670-0689.910 | - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1329 | X=0106.850-0413.270 | Y=0696.190-0707.430 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >500m đến
P=1329 | X=0106.850-0148.530 | Y=0707.730-0718.970 | ≤1.000m.
P=1330 | X=0106.850-0330.020 | Y=0078.500-0089.740 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1330 | X=0106.850-0392.110 | Y=0096.260-0107.500 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=1330 | X=0106.850-0414.460 | Y=0107.780-0119.020 | Quốc lộ 1 đoạn từ Cầu Suối Đĩa đến Đường Võ Nguyên Giáp có hiện
P=1330 | X=0106.850-0278.630 | Y=0119.330-0130.570 | trạng là đường nhựa, bê tông xi măng:
P=1330 | X=0092.900-0104.020 | Y=0127.210-0136.530 | 28
