TABLE=049 | AREA=Xã Tà Lài | SECTION=non-agricultural | SEGMENTS=1
P=1661 | X=0505.390-0522.030 | Y=0390.560-0399.880 | 230
P=1661 | X=0108.530-0361.840 | Y=0408.840-0420.080 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=1661 | X=0108.530-0203.480 | Y=0420.360-0431.600 | >500m đến ≤1.000m.
P=1661 | X=0108.530-0331.700 | Y=0437.880-0449.120 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1661 | X=0108.530-0377.480 | Y=0455.660-0466.900 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Phú
P=1661 | X=0108.530-0358.750 | Y=0467.180-0478.420 | Lập đi xã Nam Cát Tiên đoạn từ Ngã 3 Phú lập đi xã Núi
P=1661 | X=0108.530-0376.870 | Y=0478.460-0489.700 | Tượng (cũ) đến Đường ấp 2-4 có hiện trạng là đường nhựa,
P=1661 | X=0108.530-0182.610 | Y=0489.980-0501.220 | bê tông xi măng:
P=1661 | X=0096.290-0101.890 | Y=0497.860-0507.180 | 4
P=1661 | X=0413.180-0429.820 | Y=0497.860-0507.180 | 260
P=1661 | X=0461.210-0477.850 | Y=0497.860-0507.180 | 180
P=1661 | X=0505.390-0522.030 | Y=0497.860-0507.180 | 160
P=1661 | X=0108.530-0349.620 | Y=0507.500-0518.740 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=1661 | X=0108.530-0150.690 | Y=0520.900-0530.220 | >1.000m.
P=1661 | X=0108.530-0332.170 | Y=0536.570-0547.810 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1661 | X=0108.530-0382.040 | Y=0554.330-0565.570 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=1661 | X=0108.530-0383.990 | Y=0565.850-0577.090 | ra Đường Phú Lập đi xã Nam Cát Tiên đoạn từ Ngã 3 Phú lập
P=1661 | X=0108.530-0356.850 | Y=0577.370-0588.610 | đi xã Núi Tượng (cũ) đến Đường ấp 2-4 có hiện trạng là
P=1661 | X=0096.290-0244.310 | Y=0588.890-0600.330 | 5 đường nhựa, bê tông xi măng:
P=1661 | X=0413.180-0429.820 | Y=0591.010-0600.330 | 530
P=1661 | X=0461.210-0477.850 | Y=0591.010-0600.330 | 370
P=1661 | X=0505.390-0522.030 | Y=0591.010-0600.330 | 320
P=1661 | X=0108.530-0339.610 | Y=0606.410-0617.650 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1661 | X=0108.530-0385.700 | Y=0623.950-0635.190 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=1661 | X=0108.530-0382.040 | Y=0641.710-0652.950 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=1661 | X=0108.530-0383.990 | Y=0653.230-0664.470 | ra Đường Phú Lập đi xã Nam Cát Tiên đoạn từ Ngã 3 Phú lập
P=1661 | X=0096.290-0356.850 | Y=0664.510-0678.830 | 6 đi xã Núi Tượng (cũ) đến Đường ấp 2-4 có hiện trạng là
P=1661 | X=0413.180-0429.820 | Y=0669.510-0678.830 | 350
P=1661 | X=0461.210-0477.850 | Y=0669.510-0678.830 | 250
P=1661 | X=0505.390-0522.030 | Y=0669.510-0678.830 | 210
P=1661 | X=0108.530-0244.280 | Y=0676.030-0687.270 | đường nhựa, bê tông xi măng:
P=1661 | X=0108.530-0340.080 | Y=0693.550-0704.790 | - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1662 | X=0108.530-0361.840 | Y=0078.500-0089.740 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=1662 | X=0108.530-0203.480 | Y=0090.020-0101.260 | >500m đến ≤1.000m.
P=1662 | X=0108.530-0331.700 | Y=0107.540-0118.780 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1662 | X=0108.530-0382.040 | Y=0125.330-0136.570 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=1662 | X=0108.530-0383.990 | Y=0136.850-0148.090 | ra Đường Phú Lập đi xã Nam Cát Tiên đoạn từ Ngã 3 Phú lập
P=1662 | X=0108.530-0356.850 | Y=0148.370-0159.610 | đi xã Núi Tượng (cũ) đến Đường ấp 2-4 có hiện trạng là
P=1662 | X=0108.530-0244.280 | Y=0159.650-0170.890 | đường nhựa, bê tông xi măng:
P=1662 | X=0096.290-0101.890 | Y=0167.530-0176.850 | 7
P=1662 | X=0413.180-0429.820 | Y=0167.530-0176.850 | 230
P=1662 | X=0461.210-0477.850 | Y=0167.530-0176.850 | 160
P=1662 | X=0505.390-0522.030 | Y=0167.530-0176.850 | 140
P=1662 | X=0108.530-0349.650 | Y=0177.170-0188.410 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=1662 | X=0108.530-0150.670 | Y=0190.570-0199.890 | >1.000m.
P=1662 | X=0108.530-0332.170 | Y=0206.230-0217.470 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1662 | X=0108.530-0204.380 | Y=0223.990-0235.230 | Đường Phú Lập đi xã
P=1662 | X=0302.280-0383.390 | Y=0225.870-0235.190 | Giáp ranh xã Nam
P=1662 | X=0219.910-0282.910 | Y=0229.750-0240.990 | Đường ấp 2-4
P=1662 | X=0096.290-0101.890 | Y=0231.630-0240.950 | 8
P=1662 | X=0413.180-0429.820 | Y=0231.630-0240.950 | 650
P=1662 | X=0461.210-0477.850 | Y=0231.630-0240.950 | 460
P=1662 | X=0505.390-0522.030 | Y=0231.630-0240.950 | 390
P=1662 | X=0108.530-0170.500 | Y=0237.390-0246.710 | Nam Cát Tiên
P=1662 | X=0302.280-0340.260 | Y=0237.390-0246.710 | Cát Tiên
P=1662 | X=0108.530-0377.480 | Y=0253.270-0264.510 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Phú
P=1662 | X=0108.530-0382.520 | Y=0264.790-0276.030 | Lập đi xã Nam Cát Tiên đoạn từ Đường ấp 2-4 đến Giáp ranh
P=1662 | X=0108.530-0362.590 | Y=0276.310-0287.550 | xã Nam Cát Tiên có hiện trạng là đường nhựa, bê tông xi
P=1662 | X=0096.290-0136.530 | Y=0287.860-0299.300 | 9 măng:
P=1662 | X=0413.180-0429.820 | Y=0289.980-0299.300 | 330
P=1662 | X=0461.210-0477.850 | Y=0289.980-0299.300 | 230
P=1662 | X=0505.390-0522.030 | Y=0289.980-0299.300 | 200
P=1662 | X=0108.530-0339.610 | Y=0305.380-0316.620 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1662 | X=0108.530-0385.700 | Y=0322.900-0334.140 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=1662 | X=0108.530-0377.480 | Y=0340.660-0351.900 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Phú
P=1662 | X=0108.530-0382.520 | Y=0351.940-0363.180 | Lập đi xã Nam Cát Tiên đoạn từ Đường ấp 2-4 đến Giáp ranh
P=1662 | X=0108.530-0362.590 | Y=0363.460-0374.700 | xã Nam Cát Tiên có hiện trạng là đường nhựa, bê tông xi
P=1662 | X=0108.530-0136.530 | Y=0375.000-0386.240 | măng:
P=1662 | X=0093.620-0340.080 | Y=0391.760-0403.760 | 10 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1662 | X=0413.180-0429.820 | Y=0391.760-0401.080 | 260
P=1662 | X=0461.210-0477.850 | Y=0391.760-0401.080 | 180
P=1662 | X=0505.390-0522.030 | Y=0391.760-0401.080 | 160
P=1662 | X=0108.530-0361.840 | Y=0410.040-0421.280 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=1662 | X=0108.530-0203.480 | Y=0421.560-0432.800 | >500m đến ≤1.000m.
P=1662 | X=0108.530-0331.700 | Y=0439.080-0450.320 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1662 | X=0108.530-0377.480 | Y=0456.860-0468.100 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Phú
P=1662 | X=0108.530-0382.520 | Y=0468.380-0479.620 | Lập đi xã Nam Cát Tiên đoạn từ Đường ấp 2-4 đến Giáp ranh
P=1662 | X=0108.530-0362.590 | Y=0479.900-0491.140 | xã Nam Cát Tiên có hiện trạng là đường nhựa, bê tông xi
P=1662 | X=0108.530-0136.530 | Y=0491.420-0502.660 | măng:
P=1662 | X=0093.620-0104.740 | Y=0499.300-0508.620 | 11
P=1662 | X=0413.180-0429.820 | Y=0499.300-0508.620 | 210
P=1662 | X=0461.210-0477.850 | Y=0499.300-0508.620 | 150
P=1662 | X=0505.390-0522.030 | Y=0499.300-0508.620 | 130
P=1662 | X=0108.530-0349.620 | Y=0508.940-0520.180 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=1662 | X=0108.530-0150.670 | Y=0522.100-0531.420 | >1.000m.
P=1662 | X=0108.530-0332.170 | Y=0537.770-0549.010 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1662 | X=0108.530-0382.040 | Y=0555.530-0566.770 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=1662 | X=0108.530-0383.270 | Y=0567.050-0578.290 | ra Đường Phú Lập đi xã Nam Cát Tiên đoạn từ Đường ấp 2-4
P=1662 | X=0108.530-0382.630 | Y=0578.570-0589.810 | đến Giáp ranh xã Nam Cát Tiên có hiện trạng là đường nhựa,
P=1662 | X=0093.620-0182.610 | Y=0590.090-0601.530 | 12 bê tông xi măng:
P=1662 | X=0413.180-0429.820 | Y=0592.210-0601.530 | 300
P=1662 | X=0461.210-0477.850 | Y=0592.210-0601.530 | 210
P=1662 | X=0505.390-0522.030 | Y=0592.210-0601.530 | 180
P=1662 | X=0108.530-0339.610 | Y=0607.610-0618.850 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1662 | X=0108.530-0385.700 | Y=0625.150-0636.390 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=1662 | X=0108.530-0382.040 | Y=0642.910-0654.150 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=1662 | X=0108.530-0383.270 | Y=0654.430-0665.670 | ra Đường Phú Lập đi xã Nam Cát Tiên đoạn từ Đường ấp 2-4
P=1662 | X=0093.620-0382.630 | Y=0665.950-0680.030 | 13 đến Giáp ranh xã Nam Cát Tiên có hiện trạng là đường nhựa,
P=1662 | X=0413.180-0429.820 | Y=0670.710-0680.030 | 230
P=1662 | X=0461.210-0477.850 | Y=0670.710-0680.030 | 160
P=1662 | X=0505.390-0522.030 | Y=0670.710-0680.030 | 140
P=1662 | X=0108.530-0182.610 | Y=0677.470-0688.710 | bê tông xi măng:
P=1662 | X=0108.530-0340.080 | Y=0694.750-0705.990 | - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1663 | X=0108.530-0361.840 | Y=0078.500-0089.740 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=1663 | X=0108.530-0203.480 | Y=0090.020-0101.260 | >500m đến ≤1.000m.
P=1663 | X=0108.530-0331.710 | Y=0107.540-0118.780 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1663 | X=0108.530-0382.040 | Y=0125.330-0136.570 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=1663 | X=0108.530-0383.270 | Y=0136.850-0148.090 | ra Đường Phú Lập đi xã Nam Cát Tiên đoạn từ Đường ấp 2-4
P=1663 | X=0108.530-0382.630 | Y=0148.370-0159.610 | đến Giáp ranh xã Nam Cát Tiên có hiện trạng là đường nhựa,
P=1663 | X=0108.530-0182.610 | Y=0159.650-0170.890 | bê tông xi măng:
P=1663 | X=0093.620-0104.740 | Y=0167.530-0176.850 | 14
P=1663 | X=0413.180-0429.820 | Y=0167.530-0176.850 | 190
P=1663 | X=0461.210-0477.850 | Y=0167.530-0176.850 | 130
P=1663 | X=0505.390-0522.030 | Y=0167.530-0176.850 | 110
P=1663 | X=0108.530-0349.620 | Y=0177.170-0188.410 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=1663 | X=0108.530-0150.670 | Y=0190.570-0199.890 | >1.000m.
P=1663 | X=0108.530-0332.170 | Y=0206.230-0217.470 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1663 | X=0302.280-0384.460 | Y=0223.990-0235.230 | Đường Phú Lập đi
P=1663 | X=0093.620-0171.520 | Y=0229.750-0240.990 | 15 Đường ấp 2-4
P=1663 | X=0219.910-0282.170 | Y=0229.750-0240.990 | Đường Tà Lài
P=1663 | X=0413.180-0429.820 | Y=0231.630-0240.950 | 520
P=1663 | X=0461.210-0477.850 | Y=0231.630-0240.950 | 360
P=1663 | X=0505.390-0522.030 | Y=0231.630-0240.950 | 310
P=1663 | X=0302.280-0364.250 | Y=0237.390-0246.710 | Nam Cát Tiên
P=1663 | X=0108.530-0388.070 | Y=0253.270-0264.510 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường ấp 2-4
P=1663 | X=0108.530-0377.190 | Y=0264.790-0276.030 | đoạn từ Đường Tà Lài đến Đường Phú Lập đi Nam Cát Tiên
P=1663 | X=0108.530-0315.380 | Y=0276.310-0287.550 | có hiện trạng là đường nhựa, bê tông xi măng:
P=1663 | X=0093.620-0104.740 | Y=0284.220-0293.540 | 16
P=1663 | X=0413.180-0429.820 | Y=0284.220-0293.540 | 260
P=1663 | X=0461.210-0477.850 | Y=0284.220-0293.540 | 180
P=1663 | X=0505.390-0522.030 | Y=0284.220-0293.540 | 160
P=1663 | X=0108.530-0339.610 | Y=0293.860-0305.100 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1663 | X=0108.530-0385.700 | Y=0311.380-0322.620 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=1663 | X=0108.530-0388.070 | Y=0329.140-0340.380 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường ấp 2-4
P=1663 | X=0108.530-0377.190 | Y=0340.660-0351.900 | đoạn từ Đường Tà Lài đến Đường Phú Lập đi Nam Cát Tiên
P=1663 | X=0108.530-0315.380 | Y=0351.940-0363.180 | có hiện trạng là đường nhựa, bê tông xi măng:
P=1663 | X=0093.620-0340.080 | Y=0369.480-0383.800 | 17 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1663 | X=0413.180-0429.820 | Y=0374.480-0383.800 | 220
P=1663 | X=0461.210-0477.850 | Y=0374.480-0383.800 | 150
P=1663 | X=0505.390-0522.030 | Y=0374.480-0383.800 | 130
P=1663 | X=0108.530-0361.840 | Y=0387.000-0398.240 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=1663 | X=0108.530-0203.480 | Y=0398.520-0409.760 | >500m đến ≤1.000m.
P=1663 | X=0108.530-0331.700 | Y=0416.040-0427.280 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1663 | X=0108.530-0388.070 | Y=0433.800-0445.040 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường ấp 2-4
P=1663 | X=0108.530-0377.190 | Y=0445.320-0456.560 | đoạn từ Đường Tà Lài đến Đường Phú Lập đi Nam Cát Tiên
P=1663 | X=0108.530-0315.380 | Y=0456.860-0468.100 | có hiện trạng là đường nhựa, bê tông xi măng:
P=1663 | X=0093.620-0104.740 | Y=0470.500-0479.820 | 18
P=1663 | X=0413.180-0429.820 | Y=0470.500-0479.820 | 200
P=1663 | X=0461.210-0477.850 | Y=0470.500-0479.820 | 140
P=1663 | X=0505.390-0522.030 | Y=0470.500-0479.820 | 120
P=1663 | X=0108.530-0349.620 | Y=0474.380-0485.620 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=1663 | X=0108.530-0150.670 | Y=0487.780-0497.100 | >1.000m.
P=1663 | X=0108.530-0332.170 | Y=0503.420-0514.660 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1663 | X=0108.530-0382.040 | Y=0521.180-0532.420 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=1663 | X=0108.530-0379.180 | Y=0532.490-0543.730 | ra Đường ấp 2-4 đoạn từ Đường Tà Lài đến Đường Phú Lập
P=1663 | X=0108.530-0359.720 | Y=0544.010-0555.250 | đi Nam Cát Tiên có hiện trạng là đường nhựa, bê tông xi
P=1663 | X=0093.620-0136.530 | Y=0555.530-0566.970 | 19 măng:
P=1663 | X=0413.180-0429.820 | Y=0557.650-0566.970 | 230
P=1663 | X=0461.210-0477.850 | Y=0557.650-0566.970 | 160
P=1663 | X=0505.390-0522.030 | Y=0557.650-0566.970 | 140
P=1663 | X=0108.530-0339.610 | Y=0573.050-0584.290 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1663 | X=0108.530-0385.700 | Y=0590.570-0601.810 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=1663 | X=0108.530-0382.040 | Y=0608.330-0619.570 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=1663 | X=0108.530-0379.180 | Y=0619.870-0631.110 | ra Đường ấp 2-4 đoạn từ Đường Tà Lài đến Đường Phú Lập
P=1663 | X=0108.530-0359.720 | Y=0631.390-0642.630 | đi Nam Cát Tiên có hiện trạng là đường nhựa, bê tông xi
P=1663 | X=0108.530-0136.530 | Y=0642.910-0654.150 | măng:
P=1663 | X=0093.620-0340.080 | Y=0659.430-0671.670 | 20 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1663 | X=0413.180-0429.820 | Y=0659.430-0668.750 | 200
P=1663 | X=0461.210-0477.850 | Y=0659.430-0668.750 | 140
P=1663 | X=0505.390-0522.030 | Y=0659.430-0668.750 | 120
P=1663 | X=0108.530-0361.840 | Y=0677.950-0689.190 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=1663 | X=0108.530-0203.480 | Y=0689.470-0700.710 | >500m đến ≤1.000m.
P=1663 | X=0108.530-0331.700 | Y=0706.770-0718.010 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1664 | X=0108.530-0382.040 | Y=0078.500-0089.740 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=1664 | X=0108.530-0379.180 | Y=0090.020-0101.260 | ra Đường ấp 2-4 đoạn từ Đường Tà Lài đến Đường Phú Lập
P=1664 | X=0108.530-0359.720 | Y=0101.540-0112.780 | đi Nam Cát Tiên có hiện trạng là đường nhựa, bê tông xi
P=1664 | X=0108.530-0136.530 | Y=0113.060-0124.300 | măng:
P=1664 | X=0093.620-0104.740 | Y=0120.970-0130.290 | 21
P=1664 | X=0413.180-0429.820 | Y=0120.970-0130.290 | 180
P=1664 | X=0461.210-0477.850 | Y=0120.970-0130.290 | 130
P=1664 | X=0505.390-0522.030 | Y=0120.970-0130.290 | 110
P=1664 | X=0108.530-0349.620 | Y=0130.610-0141.850 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=1664 | X=0108.530-0150.670 | Y=0144.010-0153.330 | >1.000m.
P=1664 | X=0108.530-0332.170 | Y=0159.410-0170.650 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1664 | X=0219.910-0380.860 | Y=0179.050-0188.370 | Giáp ranh xã Tân Ngã ba chùa Bửu
P=1664 | X=0093.620-0170.760 | Y=0182.930-0194.170 | 22 Đường Tà Lài
P=1664 | X=0413.180-0429.820 | Y=0184.810-0194.130 | 780
P=1664 | X=0461.210-0477.850 | Y=0184.810-0194.130 | 550
P=1664 | X=0505.390-0522.030 | Y=0184.810-0194.130 | 470
P=1664 | X=0219.910-0237.750 | Y=0190.570-0199.890 | Phú
P=1664 | X=0302.280-0319.640 | Y=0190.570-0199.890 | Tân
P=1664 | X=0108.530-0387.550 | Y=0206.470-0217.710 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Tà Lài
P=1664 | X=0108.530-0377.720 | Y=0217.990-0229.230 | đoạn từ Giáp ranh xã Tân Phú đến Ngã ba chùa Bửu Tân có
P=1664 | X=0108.530-0302.140 | Y=0229.510-0240.750 | hiện trạng là đường nhựa, bê tông xi măng:
P=1664 | X=0093.620-0104.740 | Y=0237.390-0246.710 | 23
P=1664 | X=0413.180-0429.820 | Y=0237.390-0246.710 | 390
P=1664 | X=0461.210-0477.850 | Y=0237.390-0246.710 | 270
P=1664 | X=0505.390-0522.030 | Y=0237.390-0246.710 | 230
P=1664 | X=0108.530-0339.620 | Y=0247.030-0258.270 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1664 | X=0108.530-0385.700 | Y=0264.550-0275.790 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=1664 | X=0108.530-0387.550 | Y=0282.340-0293.580 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Tà Lài
P=1664 | X=0108.530-0377.720 | Y=0293.860-0305.100 | đoạn từ Giáp ranh xã Tân Phú đến Ngã ba chùa Bửu Tân có
P=1664 | X=0108.530-0302.140 | Y=0305.380-0316.620 | hiện trạng là đường nhựa, bê tông xi măng:
P=1664 | X=0093.620-0340.080 | Y=0322.900-0336.980 | 24 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1664 | X=0413.180-0429.820 | Y=0327.660-0336.980 | 330
P=1664 | X=0461.210-0477.850 | Y=0327.660-0336.980 | 230
P=1664 | X=0505.390-0522.030 | Y=0327.660-0336.980 | 200
P=1664 | X=0108.530-0361.840 | Y=0340.420-0351.660 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=1664 | X=0108.530-0203.480 | Y=0351.700-0362.940 | >500m đến ≤1.000m.
P=1664 | X=0108.530-0331.700 | Y=0369.240-0380.480 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1664 | X=0108.530-0387.550 | Y=0387.000-0398.240 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Tà Lài
P=1664 | X=0108.530-0377.720 | Y=0398.520-0409.760 | đoạn từ Giáp ranh xã Tân Phú đến Ngã ba chùa Bửu Tân có
P=1664 | X=0108.530-0302.140 | Y=0410.040-0421.280 | hiện trạng là đường nhựa, bê tông xi măng:
P=1664 | X=0093.620-0104.740 | Y=0423.680-0433.000 | 25
P=1664 | X=0413.180-0429.820 | Y=0423.680-0433.000 | 210
P=1664 | X=0461.210-0477.850 | Y=0423.680-0433.000 | 150
P=1664 | X=0505.390-0522.030 | Y=0423.680-0433.000 | 130
P=1664 | X=0108.530-0349.620 | Y=0427.560-0438.800 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=1664 | X=0108.530-0150.670 | Y=0440.960-0450.280 | >1.000m.
P=1664 | X=0108.530-0332.170 | Y=0456.620-0467.860 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1664 | X=0108.530-0382.040 | Y=0474.380-0485.620 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=1664 | X=0108.530-0374.840 | Y=0485.900-0497.140 | ra Đường Tà Lài đoạn từ Giáp ranh xã Tân Phú đến Ngã ba
P=1664 | X=0108.530-0381.630 | Y=0497.420-0508.660 | chùa Bửu Tân có hiện trạng là đường nhựa, bê tông xi măng:
P=1664 | X=0093.620-0104.740 | Y=0505.300-0514.620 | 26
P=1664 | X=0413.180-0429.820 | Y=0505.300-0514.620 | 350
P=1664 | X=0461.210-0477.850 | Y=0505.300-0514.620 | 250
P=1664 | X=0505.390-0522.030 | Y=0505.300-0514.620 | 210
P=1664 | X=0108.530-0339.610 | Y=0514.940-0526.180 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1664 | X=0108.530-0385.700 | Y=0532.220-0543.460 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
