TABLE=054 | AREA=Xã Tân An | SECTION=non-agricultural | SEGMENTS=1
P=1793 | X=0505.390-0522.030 | Y=0141.370-0150.690 | 780
P=1793 | X=0108.290-0321.540 | Y=0159.650-0170.890 | - Có bề rộng từ ≥3m đến <5m, cách đường giao
P=1793 | X=0108.290-0243.110 | Y=0171.170-0182.410 | thông từ >500m đến ≤1.000m.
P=1793 | X=0108.290-0331.480 | Y=0188.690-0199.930 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1793 | X=0108.290-0322.520 | Y=0206.470-0217.710 | Các tuyến đường giao thông đấu nối trực tiếp ra
P=1793 | X=0108.290-0329.720 | Y=0217.990-0229.230 | Đường tỉnh 768 đoạn từ Giáp ranh phường Trảng
P=1793 | X=0108.290-0339.650 | Y=0229.510-0240.750 | Dài đến Cầu Thủ Biên có hiện trạng là đường nhựa,
P=1793 | X=0108.290-0182.370 | Y=0241.030-0252.270 | bê tông xi măng:
P=1793 | X=0096.290-0101.890 | Y=0248.910-0258.230 | 4
P=1793 | X=0380.780-0405.830 | Y=0248.910-0258.230 | 1.100
P=1793 | X=0450.170-0466.810 | Y=0248.910-0258.230 | 770
P=1793 | X=0505.390-0522.030 | Y=0248.910-0258.230 | 660
P=1793 | X=0108.290-0321.540 | Y=0258.550-0269.790 | - Có bề rộng từ ≥3m đến <5m, cách đường giao
P=1793 | X=0108.290-0178.270 | Y=0271.950-0281.270 | thông >1.000m.
P=1793 | X=0108.290-0331.930 | Y=0287.620-0298.860 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1793 | X=0108.290-0341.000 | Y=0305.380-0316.620 | Các tuyến đường giao thông không đấu nối trực tiếp
P=1793 | X=0108.290-0315.300 | Y=0316.900-0328.140 | và thông ra Đường tỉnh 768 đoạn từ Giáp ranh
P=1793 | X=0108.290-0334.760 | Y=0328.420-0339.660 | phường Trảng Dài đến Cầu Thủ Biên có hiện trạng
P=1793 | X=0108.290-0254.620 | Y=0339.700-0350.940 | là đường nhựa, bê tông xi măng:
P=1793 | X=0096.290-0101.890 | Y=0347.580-0356.900 | 5
P=1793 | X=0380.780-0405.830 | Y=0347.580-0356.900 | 1.900
P=1793 | X=0442.010-0467.060 | Y=0347.580-0356.900 | 1.300
P=1793 | X=0497.230-0522.280 | Y=0347.580-0356.900 | 1.100
P=1793 | X=0108.290-0339.370 | Y=0357.220-0368.460 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1793 | X=0108.290-0321.540 | Y=0374.760-0386.000 | - Có bề rộng từ ≥3m đến <5m, cách đường giao
P=1793 | X=0108.290-0169.410 | Y=0386.280-0397.520 | thông ≤500m.
P=1793 | X=0108.290-0341.000 | Y=0404.040-0415.280 | Các tuyến đường giao thông không đấu nối trực tiếp
P=1793 | X=0108.290-0315.300 | Y=0415.560-0426.800 | và thông ra Đường tỉnh 768 đoạn từ Giáp ranh
P=1793 | X=0108.290-0334.770 | Y=0427.080-0438.320 | phường Trảng Dài đến Cầu Thủ Biên có hiện trạng
P=1793 | X=0108.290-0254.620 | Y=0438.600-0449.840 | là đường nhựa, bê tông xi măng:
P=1793 | X=0096.290-0339.840 | Y=0455.140-0467.380 | 6 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1793 | X=0380.780-0405.820 | Y=0455.140-0464.460 | 1.200
P=1793 | X=0450.170-0466.810 | Y=0455.140-0464.460 | 840
P=1793 | X=0505.390-0522.030 | Y=0455.140-0464.460 | 720
P=1793 | X=0108.290-0321.540 | Y=0473.660-0484.900 | - Có bề rộng từ ≥3m đến <5m, cách đường giao
P=1793 | X=0108.290-0243.110 | Y=0485.180-0496.420 | thông từ >500m đến ≤1.000m.
P=1793 | X=0108.290-0331.460 | Y=0502.460-0513.700 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1793 | X=0108.290-0341.000 | Y=0520.220-0531.460 | Các tuyến đường giao thông không đấu nối trực tiếp
P=1793 | X=0108.290-0315.300 | Y=0531.740-0542.980 | và thông ra Đường tỉnh 768 đoạn từ Giáp ranh
P=1793 | X=0108.290-0334.770 | Y=0543.290-0554.530 | phường Trảng Dài đến Cầu Thủ Biên có hiện trạng
P=1793 | X=0108.290-0254.620 | Y=0554.810-0566.050 | là đường nhựa, bê tông xi măng:
P=1793 | X=0096.290-0101.890 | Y=0562.690-0572.010 | 7
P=1793 | X=0388.940-0405.580 | Y=0562.690-0572.010 | 990
P=1793 | X=0450.170-0466.810 | Y=0562.690-0572.010 | 690
P=1793 | X=0505.390-0522.030 | Y=0562.690-0572.010 | 590
P=1793 | X=0108.290-0321.540 | Y=0572.330-0583.570 | - Có bề rộng từ ≥3m đến <5m, cách đường giao
P=1793 | X=0108.290-0178.270 | Y=0585.730-0595.050 | thông >1.000m.
P=1793 | X=0108.290-0331.930 | Y=0601.370-0612.610 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1793 | X=0262.660-0332.840 | Y=0619.150-0630.390 | Đường vào bến
P=1793 | X=0096.290-0178.460 | Y=0624.910-0636.150 | 8 Đường tỉnh 768
P=1793 | X=0191.830-0253.140 | Y=0626.790-0636.110 | Cầu Thủ Biên
P=1793 | X=0380.780-0405.830 | Y=0626.790-0636.110 | 4.300
P=1793 | X=0442.010-0467.060 | Y=0626.790-0636.110 | 3.000
P=1793 | X=0497.230-0522.280 | Y=0626.790-0636.110 | 2.600
P=1793 | X=0262.660-0306.890 | Y=0630.670-0641.910 | đò Đại An
P=1793 | X=0108.290-0322.520 | Y=0648.430-0659.670 | Các tuyến đường giao thông đấu nối trực tiếp ra
P=1793 | X=0108.290-0333.560 | Y=0659.950-0671.190 | Đường tỉnh 768 đoạn từ Cầu Thủ Biên đến Đường
P=1793 | X=0096.290-0337.640 | Y=0671.470-0685.550 | 9 vào bến đò Đại An có hiện trạng là đường nhựa, bê
P=1793 | X=0380.780-0405.830 | Y=0676.230-0685.550 | 1.500
P=1793 | X=0442.010-0467.060 | Y=0676.230-0685.550 | 1.100
P=1793 | X=0505.390-0522.030 | Y=0676.230-0685.550 | 900
P=1793 | X=0108.290-0168.450 | Y=0682.750-0693.990 | tông xi măng:
P=1793 | X=0108.290-0339.380 | Y=0700.290-0711.530 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1794 | X=0108.290-0321.540 | Y=0078.500-0089.740 | - Có bề rộng từ ≥3m đến <5m, cách đường giao
P=1794 | X=0108.290-0169.410 | Y=0090.020-0101.260 | thông ≤500m.
P=1794 | X=0108.290-0322.520 | Y=0107.780-0119.020 | Các tuyến đường giao thông đấu nối trực tiếp ra
P=1794 | X=0108.290-0333.570 | Y=0119.330-0130.570 | Đường tỉnh 768 đoạn từ Cầu Thủ Biên đến Đường
P=1794 | X=0108.290-0337.640 | Y=0130.850-0142.090 | vào bến đò Đại An có hiện trạng là đường nhựa, bê
P=1794 | X=0108.290-0168.450 | Y=0142.370-0153.610 | tông xi măng:
P=1794 | X=0093.380-0339.840 | Y=0158.890-0170.890 | 10 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1794 | X=0380.780-0405.830 | Y=0158.890-0168.210 | 1.200
P=1794 | X=0450.170-0466.810 | Y=0158.890-0168.210 | 840
P=1794 | X=0505.390-0522.030 | Y=0158.890-0168.210 | 720
P=1794 | X=0108.290-0321.540 | Y=0177.170-0188.410 | - Có bề rộng từ ≥3m đến <5m, cách đường giao
P=1794 | X=0108.290-0243.110 | Y=0188.690-0199.930 | thông từ >500m đến ≤1.000m.
P=1794 | X=0108.290-0331.460 | Y=0206.230-0217.470 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1794 | X=0108.290-0322.520 | Y=0223.990-0235.230 | Các tuyến đường giao thông đấu nối trực tiếp ra
P=1794 | X=0108.290-0333.570 | Y=0235.510-0246.750 | Đường tỉnh 768 đoạn từ Cầu Thủ Biên đến Đường
P=1794 | X=0108.290-0337.640 | Y=0247.030-0258.270 | vào bến đò Đại An có hiện trạng là đường nhựa, bê
P=1794 | X=0108.290-0168.450 | Y=0258.550-0269.790 | tông xi măng:
P=1794 | X=0093.380-0104.500 | Y=0266.430-0275.750 | 11
P=1794 | X=0388.940-0405.580 | Y=0266.430-0275.750 | 930
P=1794 | X=0450.170-0466.810 | Y=0266.430-0275.750 | 650
P=1794 | X=0505.390-0522.030 | Y=0266.430-0275.750 | 560
P=1794 | X=0108.290-0321.540 | Y=0276.070-0287.310 | - Có bề rộng từ ≥3m đến <5m, cách đường giao
P=1794 | X=0108.290-0178.270 | Y=0289.500-0298.820 | thông >1.000m.
P=1794 | X=0108.290-0331.930 | Y=0305.140-0316.380 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1794 | X=0108.290-0341.000 | Y=0322.900-0334.140 | Các tuyến đường giao thông không đấu nối trực tiếp
P=1794 | X=0108.290-0332.600 | Y=0334.420-0345.660 | và thông ra Đường tỉnh 768 đoạn từ Cầu Thủ Biên
P=1794 | X=0108.290-0315.800 | Y=0345.700-0356.940 | đến Đường vào bến đò Đại An có hiện trạng là
P=1794 | X=0108.290-0244.040 | Y=0357.220-0368.460 | đường nhựa, bê tông xi măng:
P=1794 | X=0093.380-0104.500 | Y=0365.100-0374.420 | 12
P=1794 | X=0380.780-0405.830 | Y=0365.100-0374.420 | 1.400
P=1794 | X=0450.170-0466.810 | Y=0365.100-0374.420 | 980
P=1794 | X=0505.390-0522.030 | Y=0365.100-0374.420 | 840
P=1794 | X=0108.290-0339.370 | Y=0374.760-0386.000 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1794 | X=0108.290-0321.540 | Y=0392.280-0403.520 | - Có bề rộng từ ≥3m đến <5m, cách đường giao
P=1794 | X=0108.290-0169.420 | Y=0403.800-0415.040 | thông ≤500m.
P=1794 | X=0108.290-0341.000 | Y=0421.560-0432.800 | Các tuyến đường giao thông không đấu nối trực tiếp
P=1794 | X=0108.290-0332.600 | Y=0433.080-0444.320 | và thông ra Đường tỉnh 768 đoạn từ Cầu Thủ Biên
P=1794 | X=0108.290-0315.800 | Y=0444.600-0455.840 | đến Đường vào bến đò Đại An có hiện trạng là
P=1794 | X=0108.290-0244.040 | Y=0456.140-0467.380 | đường nhựa, bê tông xi măng:
P=1794 | X=0093.380-0339.840 | Y=0472.660-0484.900 | 13 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1794 | X=0380.780-0405.830 | Y=0472.660-0481.980 | 1.100
P=1794 | X=0450.170-0466.810 | Y=0472.660-0481.980 | 770
P=1794 | X=0505.390-0522.030 | Y=0472.660-0481.980 | 660
P=1794 | X=0108.290-0321.560 | Y=0491.180-0502.420 | - Có bề rộng từ ≥3m đến <5m, cách đường giao
P=1794 | X=0108.290-0243.110 | Y=0502.460-0513.700 | thông từ >500m đến ≤1.000m.
P=1794 | X=0108.290-0331.460 | Y=0519.980-0531.220 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1794 | X=0108.290-0341.000 | Y=0537.770-0549.010 | Các tuyến đường giao thông không đấu nối trực tiếp
P=1794 | X=0108.290-0332.600 | Y=0549.290-0560.530 | và thông ra Đường tỉnh 768 đoạn từ Cầu Thủ Biên
P=1794 | X=0108.290-0315.800 | Y=0560.810-0572.050 | đến Đường vào bến đò Đại An có hiện trạng là
P=1794 | X=0108.290-0244.070 | Y=0572.330-0583.570 | đường nhựa, bê tông xi măng:
P=1794 | X=0093.380-0104.500 | Y=0580.210-0589.530 | 14
P=1794 | X=0388.940-0405.580 | Y=0580.210-0589.530 | 840
P=1794 | X=0450.170-0466.810 | Y=0580.210-0589.530 | 590
P=1794 | X=0505.390-0522.030 | Y=0580.210-0589.530 | 500
P=1794 | X=0108.290-0321.540 | Y=0589.850-0601.090 | - Có bề rộng từ ≥3m đến <5m, cách đường giao
P=1794 | X=0108.290-0178.270 | Y=0603.250-0612.570 | thông >1.000m.
P=1794 | X=0108.290-0331.930 | Y=0618.910-0630.150 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1794 | X=0191.830-0262.020 | Y=0636.670-0647.910 | Đường vào bến
P=1794 | X=0093.380-0178.460 | Y=0642.430-0653.670 | 15 Đường tỉnh 768
P=1794 | X=0262.660-0331.130 | Y=0644.310-0653.630 | Cầu Chùm Bao
P=1794 | X=0380.780-0405.830 | Y=0644.310-0653.630 | 3.300
P=1794 | X=0442.010-0467.060 | Y=0644.310-0653.630 | 2.300
P=1794 | X=0497.230-0522.280 | Y=0644.310-0653.630 | 2.000
P=1794 | X=0191.830-0236.060 | Y=0648.190-0659.430 | đò Đại An
P=1794 | X=0108.290-0322.520 | Y=0665.950-0677.190 | Các tuyến đường giao thông đấu nối trực tiếp ra
P=1794 | X=0108.290-0335.240 | Y=0677.470-0688.710 | Đường tỉnh 768 đoạn từ Đường vào bến đò Đại An
P=1794 | X=0093.380-0104.500 | Y=0685.110-0694.430 | 16
P=1794 | X=0380.780-0405.830 | Y=0685.110-0694.430 | 1.300
P=1794 | X=0450.170-0466.810 | Y=0685.110-0694.430 | 910
P=1794 | X=0505.390-0522.030 | Y=0685.110-0694.430 | 780
P=1794 | X=0108.290-0343.160 | Y=0688.750-0699.990 | đến Cầu Chùm Bao có hiện trạng là đường nhựa, bê
P=1794 | X=0108.290-0168.450 | Y=0700.290-0711.530 | tông xi măng:
P=1795 | X=0108.290-0339.370 | Y=0078.500-0089.740 | - Có bê rộng ≥5m, cách đường giao thông ≤1.000m.
P=1795 | X=0108.290-0321.540 | Y=0096.020-0107.260 | - Có bề rộng từ ≥3m đến <5m, cách đường giao
P=1795 | X=0108.290-0169.410 | Y=0107.540-0118.780 | thông ≤500m.
P=1795 | X=0108.290-0322.520 | Y=0125.330-0136.570 | Các tuyến đường giao thông đấu nối trực tiếp ra
P=1795 | X=0108.290-0335.240 | Y=0136.850-0148.090 | Đường tỉnh 768 đoạn từ Đường vào bến đò Đại An
P=1795 | X=0108.290-0343.160 | Y=0148.370-0159.610 | đến Cầu Chùm Bao có hiện trạng là đường nhựa, bê
P=1795 | X=0108.290-0168.450 | Y=0159.650-0170.890 | tông xi măng:
P=1795 | X=0093.380-0339.840 | Y=0176.410-0188.410 | 17 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1795 | X=0380.780-0405.830 | Y=0176.410-0185.730 | 1.100
P=1795 | X=0450.170-0466.810 | Y=0176.410-0185.730 | 770
P=1795 | X=0505.390-0522.030 | Y=0176.410-0185.730 | 660
P=1795 | X=0108.290-0321.560 | Y=0194.690-0205.930 | - Có bề rộng từ ≥3m đến <5m, cách đường giao
P=1795 | X=0108.290-0243.140 | Y=0206.230-0217.470 | thông từ >500m đến ≤1.000m.
P=1795 | X=0108.290-0331.460 | Y=0223.750-0234.990 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1795 | X=0108.290-0322.520 | Y=0241.510-0252.750 | Các tuyến đường giao thông đấu nối trực tiếp ra
P=1795 | X=0108.290-0335.240 | Y=0253.030-0264.270 | Đường tỉnh 768 đoạn từ Đường vào bến đò Đại An
P=1795 | X=0108.290-0343.160 | Y=0264.550-0275.790 | đến Cầu Chùm Bao có hiện trạng là đường nhựa, bê
P=1795 | X=0108.290-0168.450 | Y=0276.070-0287.310 | tông xi măng:
P=1795 | X=0093.380-0104.500 | Y=0283.980-0293.300 | 18
P=1795 | X=0388.940-0405.580 | Y=0283.980-0293.300 | 860
P=1795 | X=0450.170-0466.810 | Y=0283.980-0293.300 | 600
P=1795 | X=0505.390-0522.030 | Y=0283.980-0293.300 | 520
P=1795 | X=0108.290-0321.560 | Y=0293.620-0304.860 | - Có bề rộng từ ≥3m đến <5m, cách đường giao
P=1795 | X=0108.290-0178.270 | Y=0307.020-0316.340 | thông >1.000m.
P=1795 | X=0108.290-0331.940 | Y=0322.660-0333.900 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1795 | X=0108.290-0341.000 | Y=0340.420-0351.660 | Các tuyến đường giao thông không đấu nối trực tiếp
P=1795 | X=0108.290-0341.250 | Y=0351.700-0362.940 | và thông ra Đường tỉnh 768 đoạn từ Đường vào bến
P=1795 | X=0108.290-0314.350 | Y=0363.220-0374.460 | đò Đại An đến Cầu Chùm Bao có hiện trạng là
P=1795 | X=0108.290-0244.070 | Y=0374.760-0386.000 | đường nhựa, bê tông xi măng:
P=1795 | X=0093.380-0104.500 | Y=0382.640-0391.960 | 19
P=1795 | X=0380.780-0405.830 | Y=0382.640-0391.960 | 1.200
P=1795 | X=0450.170-0466.810 | Y=0382.640-0391.960 | 840
P=1795 | X=0505.390-0522.030 | Y=0382.640-0391.960 | 720
P=1795 | X=0108.290-0339.370 | Y=0392.280-0403.520 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1795 | X=0108.290-0321.540 | Y=0409.800-0421.040 | - Có bề rộng từ ≥3m đến <5m, cách đường giao
P=1795 | X=0108.290-0169.410 | Y=0421.320-0432.560 | thông ≤500m.
P=1795 | X=0108.290-0341.000 | Y=0439.080-0450.320 | Các tuyến đường giao thông không đấu nối trực tiếp
P=1795 | X=0108.290-0341.250 | Y=0450.620-0461.860 | và thông ra Đường tỉnh 768 đoạn từ Đường vào bến
P=1795 | X=0108.290-0314.350 | Y=0462.140-0473.380 | đò Đại An đến Cầu Chùm Bao có hiện trạng là
P=1795 | X=0108.290-0244.040 | Y=0473.660-0484.900 | đường nhựa, bê tông xi măng:
P=1795 | X=0093.380-0339.850 | Y=0490.180-0502.420 | 20 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1795 | X=0388.940-0405.580 | Y=0490.180-0499.500 | 990
P=1795 | X=0450.170-0466.810 | Y=0490.180-0499.500 | 690
P=1795 | X=0505.390-0522.030 | Y=0490.180-0499.500 | 590
P=1795 | X=0108.290-0321.540 | Y=0508.460-0519.700 | - Có bề rộng từ ≥3m đến <5m, cách đường giao
P=1795 | X=0108.290-0243.110 | Y=0519.980-0531.220 | thông từ >500m đến ≤1.000m.
P=1795 | X=0108.290-0331.460 | Y=0537.530-0548.770 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1795 | X=0108.290-0341.000 | Y=0555.290-0566.530 | Các tuyến đường giao thông không đấu nối trực tiếp
P=1795 | X=0108.290-0341.250 | Y=0566.810-0578.050 | và thông ra Đường tỉnh 768 đoạn từ Đường vào bến
P=1795 | X=0108.290-0314.350 | Y=0578.330-0589.570 | đò Đại An đến Cầu Chùm Bao có hiện trạng là
P=1795 | X=0108.290-0244.040 | Y=0589.850-0601.090 | đường nhựa, bê tông xi măng:
P=1795 | X=0093.380-0104.500 | Y=0597.730-0607.050 | 21
P=1795 | X=0388.940-0405.580 | Y=0597.730-0607.050 | 770
P=1795 | X=0450.170-0466.810 | Y=0597.730-0607.050 | 540
P=1795 | X=0505.390-0522.030 | Y=0597.730-0607.050 | 460
P=1795 | X=0108.290-0321.540 | Y=0607.370-0618.610 | - Có bề rộng từ ≥3m đến <5m, cách đường giao
P=1795 | X=0108.290-0178.270 | Y=0620.790-0630.110 | thông >1.000m.
P=1795 | X=0108.290-0331.930 | Y=0636.430-0647.670 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1795 | X=0262.660-0339.080 | Y=0656.070-0665.390 | Cầu Bà Giá (Cầu
P=1795 | X=0093.380-0178.460 | Y=0659.950-0671.190 | 22 Đường tỉnh 768
P=1795 | X=0191.830-0260.300 | Y=0661.830-0671.150 | Cầu Chùm Bao
P=1795 | X=0380.780-0405.830 | Y=0661.830-0671.150 | 2.400
P=1795 | X=0442.010-0467.060 | Y=0661.830-0671.150 | 1.700
P=1795 | X=0497.230-0522.280 | Y=0661.830-0671.150 | 1.400
P=1795 | X=0262.660-0277.060 | Y=0667.590-0676.910 | 19)
P=1795 | X=0108.290-0322.520 | Y=0683.470-0694.710 | Các tuyến đường giao thông đấu nối trực tiếp ra
P=1795 | X=0093.380-0342.690 | Y=0694.750-0705.990 | 23 Đường tỉnh 768 đoạn từ Cầu Chùm Bao đến Cầu Bà
P=1795 | X=0380.780-0405.830 | Y=0696.630-0705.950 | 1.200
P=1795 | X=0450.170-0466.810 | Y=0696.630-0705.950 | 840
P=1795 | X=0505.390-0522.030 | Y=0696.630-0705.950 | 720
P=1795 | X=0108.290-0344.600 | Y=0706.290-0717.530 | Giá (Cầu 19) có hiện trạng là đường nhựa, bê tông xi
P=1796 | X=0108.290-0136.290 | Y=0072.500-0083.740 | măng:
P=1796 | X=0108.290-0339.370 | Y=0090.020-0101.260 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1796 | X=0108.290-0321.540 | Y=0107.540-0118.780 | - Có bề rộng từ ≥3m đến <5m, cách đường giao
P=1796 | X=0108.290-0169.410 | Y=0119.090-0130.330 | thông ≤500m.
P=1796 | X=0108.290-0322.520 | Y=0136.850-0148.090 | Các tuyến đường giao thông đấu nối trực tiếp ra
P=1796 | X=0108.290-0342.690 | Y=0148.370-0159.610 | Đường tỉnh 768 đoạn từ Cầu Chùm Bao đến Cầu Bà
P=1796 | X=0108.290-0344.610 | Y=0159.650-0170.890 | Giá (Cầu 19) có hiện trạng là đường nhựa, bê tông xi
P=1796 | X=0108.290-0136.290 | Y=0171.170-0182.410 | măng:
P=1796 | X=0093.380-0339.840 | Y=0187.930-0199.930 | 24 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1796 | X=0388.940-0405.580 | Y=0187.930-0197.250 | 930
P=1796 | X=0450.170-0466.810 | Y=0187.930-0197.250 | 650
P=1796 | X=0505.390-0522.030 | Y=0187.930-0197.250 | 560
P=1796 | X=0108.290-0321.540 | Y=0206.230-0217.470 | - Có bề rộng từ ≥3m đến <5m, cách đường giao
P=1796 | X=0108.290-0243.110 | Y=0217.750-0228.990 | thông từ >500m đến ≤1.000m.
P=1796 | X=0108.290-0331.460 | Y=0235.270-0246.510 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1796 | X=0108.290-0322.520 | Y=0253.030-0264.270 | Các tuyến đường giao thông đấu nối trực tiếp ra
P=1796 | X=0108.290-0342.690 | Y=0264.550-0275.790 | Đường tỉnh 768 đoạn từ Cầu Chùm Bao đến Cầu Bà
P=1796 | X=0108.290-0344.600 | Y=0276.070-0287.310 | Gia (Cầu 19) có hiện trạng là đường nhựa, bê tông xi
P=1796 | X=0108.290-0136.290 | Y=0287.620-0298.860 | măng:
P=1796 | X=0093.380-0104.500 | Y=0295.500-0304.820 | 25
P=1796 | X=0388.940-0405.580 | Y=0295.500-0304.820 | 800
P=1796 | X=0450.170-0466.810 | Y=0295.500-0304.820 | 560
P=1796 | X=0505.390-0522.030 | Y=0295.500-0304.820 | 480
P=1796 | X=0108.290-0321.540 | Y=0305.140-0316.380 | - Có bề rộng từ ≥3m đến <5m, cách đường giao
P=1796 | X=0108.290-0178.270 | Y=0318.540-0327.860 | thông >1.000m.
P=1796 | X=0108.290-0331.930 | Y=0333.940-0345.180 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1796 | X=0108.290-0341.000 | Y=0351.700-0362.940 | Các tuyến đường giao thông không đấu nối trực tiếp
P=1796 | X=0108.290-0339.760 | Y=0363.220-0374.460 | và thông ra Đường tỉnh 768 đoạn từ Cầu Chùm Bao
P=1796 | X=0108.290-0325.160 | Y=0374.760-0386.000 | đến Cầu Bà Giá (Cầu 19) có hiện trạng là đường
P=1796 | X=0108.290-0211.400 | Y=0386.280-0397.520 | nhựa, bê tông xi măng:
P=1796 | X=0093.380-0104.500 | Y=0394.160-0403.480 | 26
P=1796 | X=0380.780-0405.830 | Y=0394.160-0403.480 | 1.100
P=1796 | X=0450.170-0466.810 | Y=0394.160-0403.480 | 770
P=1796 | X=0505.390-0522.030 | Y=0394.160-0403.480 | 660
P=1796 | X=0108.290-0339.370 | Y=0403.800-0415.040 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
