TABLE=006 | AREA=Phường Hố Nai | SECTION=non-agricultural | SEGMENTS=1
P=0207 | X=0106.850-0384.020 | Y=0252.070-0263.310 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤400m.
P=0207 | X=0106.850-0401.510 | Y=0269.830-0281.070 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Điểu Xiển
P=0207 | X=0106.850-0410.840 | Y=0281.380-0292.620 | đoạn từ Ranh phường Hố Nai đến Đường Bắc Sơn - Long Thành có
P=0207 | X=0106.850-0300.460 | Y=0292.900-0304.140 | hiện trạng là đường nhựa, bê tông xi măng:
P=0207 | X=0095.570-0330.020 | Y=0310.420-0324.500 | 3 - Có bề rộng ≥5m, cách đường giao thông >600m.
P=0207 | X=0424.970-0450.020 | Y=0315.180-0324.500 | 6.700
P=0207 | X=0461.210-0486.260 | Y=0315.180-0324.500 | 4.700
P=0207 | X=0497.230-0522.280 | Y=0315.180-0324.500 | 4.000
P=0207 | X=0106.850-0413.270 | Y=0327.940-0339.180 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >400m đến
P=0207 | X=0106.850-0140.370 | Y=0339.460-0350.700 | ≤600m.
P=0207 | X=0106.850-0330.020 | Y=0356.740-0367.980 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0207 | X=0106.850-0401.510 | Y=0374.520-0385.760 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Điểu Xiển
P=0207 | X=0106.850-0410.840 | Y=0386.040-0397.280 | đoạn từ Ranh phường Hố Nai đến Đường Bắc Sơn - Long Thành có
P=0207 | X=0106.850-0300.460 | Y=0397.560-0408.800 | hiện trạng là đường nhựa, bê tông xi măng:
P=0207 | X=0095.570-0101.170 | Y=0405.440-0414.760 | 4
P=0207 | X=0424.970-0450.020 | Y=0405.440-0414.760 | 4.400
P=0207 | X=0461.210-0486.260 | Y=0405.440-0414.760 | 3.100
P=0207 | X=0497.230-0522.280 | Y=0405.440-0414.760 | 2.600
P=0207 | X=0106.850-0384.260 | Y=0415.080-0426.320 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >600m.
P=0207 | X=0106.850-0330.490 | Y=0432.600-0443.840 | - Có bề rộng <3m, cách đường giao thông >200m.
P=0207 | X=0106.850-0392.110 | Y=0450.380-0461.620 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0207 | X=0106.850-0415.880 | Y=0461.900-0473.140 | Đường Điểu Xiển đoạn từ Ranh phường Hố Nai đến Đường Bắc Sơn
P=0207 | X=0106.850-0376.110 | Y=0473.420-0484.660 | - Long Thành có hiện trạng là đường nhựa, bê tông xi măng:
P=0207 | X=0095.570-0101.170 | Y=0481.300-0490.620 | 5
P=0207 | X=0424.970-0450.020 | Y=0481.300-0490.620 | 9.100
P=0207 | X=0461.210-0486.260 | Y=0481.300-0490.620 | 6.400
P=0207 | X=0497.230-0522.280 | Y=0481.300-0490.620 | 5.500
P=0207 | X=0106.850-0329.760 | Y=0490.940-0502.180 | - Có bề rộng ≥5m, cách đường giao thông ≤600m.
P=0207 | X=0106.850-0384.020 | Y=0508.460-0519.700 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤400m.
P=0207 | X=0106.850-0392.110 | Y=0526.220-0537.460 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0207 | X=0106.850-0415.880 | Y=0537.770-0549.010 | Đường Điểu Xiển đoạn từ Ranh phường Hố Nai đến Đường Bắc Sơn
P=0207 | X=0106.850-0376.110 | Y=0549.050-0560.290 | - Long Thành có hiện trạng là đường nhựa, bê tông xi măng:
P=0207 | X=0095.570-0330.020 | Y=0566.570-0580.890 | 6 - Có bề rộng ≥5m, cách đường giao thông >600m.
P=0207 | X=0424.970-0450.020 | Y=0571.570-0580.890 | 6.000
P=0207 | X=0461.210-0486.260 | Y=0571.570-0580.890 | 4.200
P=0207 | X=0497.230-0522.280 | Y=0571.570-0580.890 | 3.600
P=0207 | X=0106.850-0413.270 | Y=0584.090-0595.330 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >400m đến
P=0207 | X=0106.850-0140.370 | Y=0595.610-0606.850 | ≤600m.
P=0207 | X=0106.850-0330.020 | Y=0613.130-0624.370 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0207 | X=0106.850-0392.110 | Y=0630.910-0642.150 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0207 | X=0106.850-0415.880 | Y=0642.430-0653.670 | Đường Điểu Xiển đoạn từ Ranh phường Hố Nai đến Đường Bắc Sơn
P=0207 | X=0106.850-0376.110 | Y=0653.950-0665.190 | - Long Thành có hiện trạng là đường nhựa, bê tông xi măng:
P=0207 | X=0095.570-0101.170 | Y=0661.830-0671.150 | 7
P=0207 | X=0424.970-0450.020 | Y=0661.830-0671.150 | 4.000
P=0207 | X=0461.210-0486.260 | Y=0661.830-0671.150 | 2.800
P=0207 | X=0497.230-0522.280 | Y=0661.830-0671.150 | 2.400
P=0207 | X=0106.850-0384.260 | Y=0671.470-0682.710 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >600m.
P=0207 | X=0106.850-0333.140 | Y=0688.990-0700.230 | - Có bề rộng <3m, cách đường giao thông > 200m.
P=0207 | X=0095.570-0278.580 | Y=0706.770-0718.010 | 8 Đường Nguyễn Trường Tộ Quốc lộ 1
P=0207 | X=0322.200-0406.770 | Y=0706.770-0718.010 | Đường Hoàng Văn
P=0207 | X=0419.450-0522.280 | Y=0708.660-0717.980 | 17.300 12.100 10.400
P=0208 | X=0322.200-0340.040 | Y=0074.380-0083.700 | Bổn
P=0208 | X=0106.850-0392.390 | Y=0090.260-0101.500 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Nguyễn
P=0208 | X=0106.850-0400.540 | Y=0101.780-0113.020 | Trường Tộ đoạn từ Quốc lộ 1 đến Đường Hoàng Văn Bổn có hiện
P=0208 | X=0106.850-0278.630 | Y=0113.300-0124.540 | trạng là đường nhựa, bê tông xi măng:
P=0208 | X=0095.570-0101.170 | Y=0121.210-0130.530 | 9
P=0208 | X=0424.970-0450.020 | Y=0121.210-0130.530 | 9.000
P=0208 | X=0461.210-0486.260 | Y=0121.210-0130.530 | 6.300
P=0208 | X=0497.230-0522.280 | Y=0121.210-0130.530 | 5.400
P=0208 | X=0106.850-0329.760 | Y=0130.850-0142.090 | - Có bề rộng ≥5m, cách đường giao thông ≤600m.
P=0208 | X=0106.850-0384.020 | Y=0148.370-0159.610 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤400m.
P=0208 | X=0106.850-0392.390 | Y=0166.130-0177.370 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Nguyễn
P=0208 | X=0106.850-0400.540 | Y=0177.410-0188.650 | Trường Tộ đoạn từ Quốc lộ 1 đến Đường Hoàng Văn Bổn có hiện
P=0208 | X=0106.850-0278.630 | Y=0188.930-0200.170 | trạng là đường nhựa, bê tông xi măng:
P=0208 | X=0092.900-0330.020 | Y=0206.470-0220.790 | 10 - Có bề rộng ≥5m, cách đường giao thông >600m.
P=0208 | X=0424.970-0450.020 | Y=0211.470-0220.790 | 4.700
P=0208 | X=0461.210-0486.260 | Y=0211.470-0220.790 | 3.300
P=0208 | X=0497.230-0522.280 | Y=0211.470-0220.790 | 2.800
P=0208 | X=0106.850-0413.270 | Y=0223.990-0235.230 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >400m đến
P=0208 | X=0106.850-0140.370 | Y=0235.510-0246.750 | ≤600m.
P=0208 | X=0106.850-0330.020 | Y=0253.030-0264.270 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0208 | X=0106.850-0392.390 | Y=0270.790-0282.030 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Nguyễn
P=0208 | X=0106.850-0400.540 | Y=0282.340-0293.580 | Trường Tộ đoạn từ Quốc lộ 1 đến Đường Hoàng Văn Bổn có hiện
P=0208 | X=0106.850-0278.630 | Y=0293.860-0305.100 | trạng là đường nhựa, bê tông xi măng:
P=0208 | X=0092.900-0104.020 | Y=0301.740-0311.060 | 11
P=0208 | X=0424.970-0450.020 | Y=0301.740-0311.060 | 2.900
P=0208 | X=0461.210-0486.260 | Y=0301.740-0311.060 | 2.000
P=0208 | X=0497.230-0522.280 | Y=0301.740-0311.060 | 1.700
P=0208 | X=0106.850-0384.280 | Y=0311.380-0322.620 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >600m.
P=0208 | X=0106.850-0330.490 | Y=0328.900-0340.140 | - Có bề rộng <3m, cách đường giao thông >200m.
P=0208 | X=0106.850-0392.110 | Y=0346.660-0357.900 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0208 | X=0106.850-0395.730 | Y=0357.940-0369.180 | Đường Nguyễn Trường Tộ đoạn từ Quốc lộ 1 đến Đường Hoàng
P=0208 | X=0106.850-0354.760 | Y=0369.480-0380.720 | Văn Bổn có hiện trạng là đường nhựa, bê tông xi măng:
P=0208 | X=0092.900-0104.020 | Y=0377.360-0386.680 | 12
P=0208 | X=0424.970-0450.020 | Y=0377.360-0386.680 | 8.100
P=0208 | X=0461.210-0486.260 | Y=0377.360-0386.680 | 5.700
P=0208 | X=0497.230-0522.280 | Y=0377.360-0386.680 | 4.900
P=0208 | X=0106.850-0329.760 | Y=0387.000-0398.240 | - Có bề rộng ≥5m, cách đường giao thông ≤600m.
P=0208 | X=0106.850-0384.020 | Y=0404.520-0415.760 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤400m.
P=0208 | X=0106.850-0392.110 | Y=0422.280-0433.520 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0208 | X=0106.850-0395.730 | Y=0433.800-0445.040 | Đường Nguyễn Trường Tộ đoạn từ Quốc lộ 1 đến Đường Hoàng
P=0208 | X=0106.850-0354.730 | Y=0445.320-0456.560 | Văn Bổn có hiện trạng là đường nhựa, bê tông xi măng:
P=0208 | X=0092.900-0330.020 | Y=0462.860-0476.940 | 13 - Có bề rộng ≥5m, cách đường giao thông >600m.
P=0208 | X=0424.970-0450.020 | Y=0467.620-0476.940 | 4.200
P=0208 | X=0461.210-0486.260 | Y=0467.620-0476.940 | 2.900
P=0208 | X=0497.230-0522.280 | Y=0467.620-0476.940 | 2.500
P=0208 | X=0106.850-0413.270 | Y=0480.380-0491.620 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >400m đến
P=0208 | X=0106.850-0140.370 | Y=0491.900-0503.140 | ≤600m.
P=0208 | X=0106.850-0330.020 | Y=0509.420-0520.660 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0208 | X=0106.850-0392.110 | Y=0527.180-0538.420 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0208 | X=0106.850-0395.730 | Y=0538.490-0549.730 | Đường Nguyễn Trường Tộ đoạn từ Quốc lộ 1 đến Đường Hoàng
P=0208 | X=0106.850-0354.730 | Y=0550.010-0561.250 | Văn Bổn có hiện trạng là đường nhựa, bê tông xi măng:
P=0208 | X=0092.900-0104.020 | Y=0557.890-0567.210 | 14
P=0208 | X=0424.970-0450.020 | Y=0557.890-0567.210 | 2.600
P=0208 | X=0461.210-0486.260 | Y=0557.890-0567.210 | 1.800
P=0208 | X=0497.230-0522.280 | Y=0557.890-0567.210 | 1.600
P=0208 | X=0106.850-0384.260 | Y=0567.530-0578.770 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >600m.
P=0208 | X=0106.850-0333.170 | Y=0585.050-0596.290 | - Có bề rộng <3m, cách đường giao thông > 200m.
P=0208 | X=0235.540-0304.520 | Y=0602.810-0614.050 | Đường Nguyễn
P=0208 | X=0322.200-0409.070 | Y=0604.690-0614.010 | Giáp ranh Nhà máy
P=0208 | X=0092.900-0212.070 | Y=0608.570-0619.810 | 15 Đường Hoàng Văn Bổn
P=0208 | X=0419.450-0450.020 | Y=0610.450-0619.770 | 13.200
P=0208 | X=0461.210-0486.260 | Y=0610.450-0619.770 | 9.200
P=0208 | X=0497.230-0522.280 | Y=0610.450-0619.770 | 7.900
P=0208 | X=0235.540-0284.110 | Y=0614.330-0625.570 | Trường Tộ
P=0208 | X=0322.200-0394.060 | Y=0614.330-0625.570 | nước Thiện Tân
P=0208 | X=0106.850-0407.960 | Y=0632.110-0643.350 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Hoàng Văn
P=0208 | X=0106.850-0393.700 | Y=0643.630-0654.870 | Bổn đoạn từ Đường Nguyễn Trường Tộ đến Giáp ranh Nhà máy
P=0208 | X=0106.850-0388.110 | Y=0655.150-0666.390 | nước Thiện Tân có hiện trạng là đường nhựa, bê tông xi măng:
P=0208 | X=0092.900-0104.020 | Y=0663.030-0672.350 | 16
P=0208 | X=0424.970-0450.020 | Y=0663.030-0672.350 | 6.600
P=0208 | X=0461.210-0486.260 | Y=0663.030-0672.350 | 4.600
P=0208 | X=0497.230-0522.280 | Y=0663.030-0672.350 | 4.000
P=0208 | X=0106.850-0329.760 | Y=0672.670-0683.910 | - Có bề rộng ≥5m, cách đường giao thông ≤600m.
P=0208 | X=0106.850-0384.020 | Y=0690.190-0701.430 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤400m.
P=0208 | X=0092.900-0407.960 | Y=0707.970-0719.210 | 17 Các tuyến đường giao thông đấu nối trực tiếp ra Đường Hoàng Văn
P=0208 | X=0424.970-0450.020 | Y=0709.860-0719.180 | 3.600
P=0208 | X=0461.210-0486.260 | Y=0709.860-0719.180 | 2.500
P=0208 | X=0497.230-0522.280 | Y=0709.860-0719.180 | 2.200
P=0209 | X=0106.850-0393.700 | Y=0072.500-0083.740 | Bổn đoạn từ Đường Nguyễn Trường Tộ đến Giáp ranh Nhà máy
P=0209 | X=0106.850-0388.110 | Y=0084.020-0095.260 | nước Thiện Tân có hiện trạng là đường nhựa, bê tông xi măng:
P=0209 | X=0106.850-0330.020 | Y=0101.540-0112.780 | - Có bề rộng ≥5m, cách đường giao thông >600m.
P=0209 | X=0106.850-0413.270 | Y=0119.090-0130.330 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >400m đến
P=0209 | X=0106.850-0140.370 | Y=0130.610-0141.850 | ≤600m.
P=0209 | X=0106.850-0330.030 | Y=0148.130-0159.370 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0209 | X=0106.850-0407.960 | Y=0165.650-0176.890 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Hoàng Văn
P=0209 | X=0106.850-0393.700 | Y=0177.170-0188.410 | Bổn đoạn từ Đường Nguyễn Trường Tộ đến Giáp ranh Nhà máy
P=0209 | X=0106.850-0388.110 | Y=0188.690-0199.930 | nước Thiện Tân có hiện trạng là đường nhựa, bê tông xi măng:
P=0209 | X=0092.900-0104.020 | Y=0196.570-0205.890 | 18
P=0209 | X=0424.970-0450.020 | Y=0196.570-0205.890 | 2.500
P=0209 | X=0461.210-0486.260 | Y=0196.570-0205.890 | 1.800
P=0209 | X=0497.230-0522.280 | Y=0196.570-0205.890 | 1.500
P=0209 | X=0106.850-0384.260 | Y=0206.230-0217.470 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >600m.
P=0209 | X=0106.850-0330.490 | Y=0223.750-0234.990 | - Có bề rộng <3m, cách đường giao thông >200m.
P=0209 | X=0106.850-0392.110 | Y=0241.510-0252.750 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0209 | X=0106.850-0415.410 | Y=0253.030-0264.270 | Đường Hoàng Văn Bổn đoạn từ Đường Nguyễn Trường Tộ đến Giáp
P=0209 | X=0106.850-0413.250 | Y=0264.550-0275.790 | ranh Nhà máy nước Thiện Tân có hiện trạng là đường nhựa, bê tông
P=0209 | X=0092.900-0144.680 | Y=0276.070-0287.510 | 19 xi măng:
P=0209 | X=0424.970-0450.020 | Y=0278.190-0287.510 | 6.000
P=0209 | X=0461.210-0486.260 | Y=0278.190-0287.510 | 4.200
P=0209 | X=0497.230-0522.280 | Y=0278.190-0287.510 | 3.600
P=0209 | X=0106.850-0329.760 | Y=0293.620-0304.860 | - Có bề rộng ≥5m, cách đường giao thông ≤600m.
P=0209 | X=0106.850-0384.020 | Y=0311.140-0322.380 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤400m.
P=0209 | X=0106.850-0392.110 | Y=0328.900-0340.140 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0209 | X=0106.850-0415.410 | Y=0340.420-0351.660 | Đường Hoàng Văn Bổn đoạn từ Đường Nguyễn Trường Tộ đến Giáp
P=0209 | X=0106.850-0413.250 | Y=0351.700-0362.940 | ranh Nhà máy nước Thiện Tân có hiện trạng là đường nhựa, bê tông
P=0209 | X=0106.850-0144.680 | Y=0363.220-0374.460 | xi măng:
P=0209 | X=0092.900-0330.020 | Y=0380.000-0392.000 | 20 - Có bề rộng ≥5m, cách đường giao thông >600m.
P=0209 | X=0424.970-0450.020 | Y=0380.000-0389.320 | 3.300
P=0209 | X=0461.210-0486.260 | Y=0380.000-0389.320 | 2.300
P=0209 | X=0497.230-0522.280 | Y=0380.000-0389.320 | 2.000
P=0209 | X=0106.850-0413.270 | Y=0398.280-0409.520 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >400m đến
P=0209 | X=0106.850-0140.370 | Y=0409.800-0421.040 | ≤600m.
P=0209 | X=0106.850-0330.020 | Y=0427.320-0438.560 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0209 | X=0106.850-0392.110 | Y=0445.080-0456.320 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0209 | X=0106.850-0415.410 | Y=0456.620-0467.860 | Đường Hoàng Văn Bổn đoạn từ Đường Nguyễn Trường Tộ đến Giáp
P=0209 | X=0106.850-0413.250 | Y=0468.140-0479.380 | ranh Nhà máy nước Thiện Tân có hiện trạng là đường nhựa, bê tông
P=0209 | X=0092.900-0144.680 | Y=0479.660-0491.100 | 21 xi măng:
P=0209 | X=0424.970-0450.020 | Y=0481.780-0491.100 | 2.300
P=0209 | X=0461.210-0486.260 | Y=0481.780-0491.100 | 1.600
P=0209 | X=0497.230-0522.280 | Y=0481.780-0491.100 | 1.400
P=0209 | X=0106.850-0384.260 | Y=0497.180-0508.420 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >600m.
P=0209 | X=0106.850-0333.140 | Y=0514.460-0525.700 | - Có bề rộng <3m, cách đường giao thông > 200m.
P=0209 | X=0235.540-0300.660 | Y=0534.100-0543.420 | Giáp ranh Nhà
P=0209 | X=0322.200-0404.620 | Y=0538.010-0549.250 | Giáp ranh phường
P=0209 | X=0092.900-0212.070 | Y=0543.770-0555.010 | 22 Đường Hoàng Văn Bổn
P=0209 | X=0235.540-0309.080 | Y=0543.770-0555.010 | máy nước Thiện
P=0209 | X=0424.970-0450.020 | Y=0545.650-0554.970 | 9.600
P=0209 | X=0461.210-0486.260 | Y=0545.650-0554.970 | 6.700
P=0209 | X=0497.230-0522.280 | Y=0545.650-0554.970 | 5.800
P=0209 | X=0322.200-0366.200 | Y=0551.410-0560.730 | Trảng Dài
P=0209 | X=0235.540-0252.900 | Y=0557.170-0566.490 | Tân
P=0209 | X=0106.850-0407.990 | Y=0573.050-0584.290 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Hoàng Văn
P=0209 | X=0106.850-0392.130 | Y=0584.570-0595.810 | Bổn đoạn từ Giáp ranh Nhà máy nước Thiện Tân đến Giáp ranh
P=0209 | X=0106.850-0398.670 | Y=0596.090-0607.330 | phường Trảng Dài có hiện trạng là đường nhựa, bê tông xi măng:
P=0209 | X=0092.900-0104.020 | Y=0603.970-0613.290 | 23
P=0209 | X=0424.970-0450.020 | Y=0603.970-0613.290 | 6.000
P=0209 | X=0461.210-0486.260 | Y=0603.970-0613.290 | 4.200
P=0209 | X=0497.230-0522.280 | Y=0603.970-0613.290 | 3.600
P=0209 | X=0106.850-0329.760 | Y=0613.610-0624.850 | - Có bề rộng ≥5m, cách đường giao thông ≤600m.
P=0209 | X=0106.850-0384.020 | Y=0631.150-0642.390 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤400m.
P=0209 | X=0106.850-0407.960 | Y=0648.910-0660.150 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Hoàng Văn
P=0209 | X=0106.850-0392.130 | Y=0660.430-0671.670 | Bổn đoạn từ Giáp ranh Nhà máy nước Thiện Tân đến Giáp ranh
P=0209 | X=0106.850-0398.670 | Y=0671.950-0683.190 | phường Trảng Dài có hiện trạng là đường nhựa, bê tông xi măng:
P=0209 | X=0092.900-0104.020 | Y=0679.830-0689.150 | 24
P=0209 | X=0424.970-0450.020 | Y=0679.830-0689.150 | 3.500
P=0209 | X=0461.210-0486.260 | Y=0679.830-0689.150 | 2.500
P=0209 | X=0497.230-0522.280 | Y=0679.830-0689.150 | 2.100
P=0209 | X=0106.850-0330.020 | Y=0689.470-0700.710 | - Có bề rộng ≥5m, cách đường giao thông >600m.
P=0209 | X=0106.850-0413.270 | Y=0706.770-0718.010 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >400m đến
P=0210 | X=0106.850-0140.370 | Y=0072.500-0083.740 | ≤600m.
P=0210 | X=0106.850-0330.020 | Y=0090.020-0101.260 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0210 | X=0106.850-0407.960 | Y=0107.780-0119.020 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Hoàng Văn
P=0210 | X=0106.850-0392.130 | Y=0119.330-0130.570 | Bổn đoạn từ Giáp ranh Nhà máy nước Thiện Tân đến Giáp ranh
P=0210 | X=0106.850-0398.670 | Y=0130.850-0142.090 | phường Trảng Dài có hiện trạng là đường nhựa, bê tông xi măng:
P=0210 | X=0092.900-0104.020 | Y=0138.730-0148.050 | 25
P=0210 | X=0424.970-0450.020 | Y=0138.730-0148.050 | 2.400
P=0210 | X=0461.210-0486.260 | Y=0138.730-0148.050 | 1.700
P=0210 | X=0497.230-0522.280 | Y=0138.730-0148.050 | 1.400
P=0210 | X=0106.850-0384.260 | Y=0148.370-0159.610 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >600m.
P=0210 | X=0106.850-0330.490 | Y=0165.650-0176.890 | - Có bề rộng <3m, cách đường giao thông >200m.
P=0210 | X=0106.850-0392.110 | Y=0183.410-0194.650 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0210 | X=0106.850-0413.260 | Y=0194.930-0206.170 | Đường Hoàng Văn Bổn đoạn từ Giáp ranh Nhà máy nước Thiện Tân
P=0210 | X=0106.850-0401.980 | Y=0206.470-0217.710 | đến Giáp ranh phường Trảng Dài có hiện trạng là đường nhựa, bê
P=0210 | X=0092.900-0167.010 | Y=0217.990-0229.430 | 26 tông xi măng:
P=0210 | X=0424.970-0450.020 | Y=0220.110-0229.430 | 5.400
P=0210 | X=0461.210-0486.260 | Y=0220.110-0229.430 | 3.800
P=0210 | X=0497.230-0522.280 | Y=0220.110-0229.430 | 3.200
P=0210 | X=0106.850-0329.760 | Y=0235.510-0246.750 | - Có bề rộng ≥5m, cách đường giao thông ≤600m.
P=0210 | X=0106.850-0384.020 | Y=0253.030-0264.270 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤400m.
P=0210 | X=0106.850-0392.110 | Y=0270.790-0282.030 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0210 | X=0106.850-0413.260 | Y=0282.340-0293.580 | Đường Hoàng Văn Bổn đoạn từ Giáp ranh Nhà máy nước Thiện Tân
P=0210 | X=0106.850-0401.980 | Y=0293.860-0305.100 | đến Giáp ranh phường Trảng Dài có hiện trạng là đường nhựa, bê
P=0210 | X=0106.850-0167.010 | Y=0305.380-0316.620 | tông xi măng:
P=0210 | X=0092.900-0330.020 | Y=0321.900-0334.140 | 27 - Có bề rộng ≥5m, cách đường giao thông >600m.
P=0210 | X=0424.970-0450.020 | Y=0321.900-0331.220 | 3.200
P=0210 | X=0461.210-0486.260 | Y=0321.900-0331.220 | 2.200
P=0210 | X=0497.230-0522.280 | Y=0321.900-0331.220 | 1.900
P=0210 | X=0106.850-0413.270 | Y=0340.420-0351.660 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >400m đến
P=0210 | X=0106.850-0140.370 | Y=0351.700-0362.940 | ≤600m.
P=0210 | X=0106.850-0330.020 | Y=0369.240-0380.480 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0210 | X=0106.850-0392.110 | Y=0387.000-0398.240 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
