TABLE=022 | AREA=Phường Hàng Gòn | SECTION=non-agricultural | SEGMENTS=1
P=0742 | X=0121.010-0389.500 | Y=0446.760-0458.000 | Hồng Phong (đường Xuân Tân - Xuân Định) đoạn từ Đường
P=0742 | X=0121.010-0368.370 | Y=0458.300-0469.540 | 21 tháng 4 đến Giáp ranh xã Xuân Định có hiện trạng là
P=0742 | X=0121.010-0256.780 | Y=0469.820-0481.060 | đường nhựa, bê tông xi măng:
P=0742 | X=0102.290-0107.890 | Y=0471.940-0481.260 | 9
P=0742 | X=0404.540-0429.590 | Y=0471.940-0481.260 | 1.300
P=0742 | X=0449.210-0465.850 | Y=0471.940-0481.260 | 910
P=0742 | X=0505.390-0522.030 | Y=0471.940-0481.260 | 780
P=0742 | X=0121.010-0343.920 | Y=0487.340-0498.580 | - Có bề rộng ≥5m, cách đường giao thông ≤600m.
P=0742 | X=0121.010-0398.210 | Y=0504.860-0516.100 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤400m.
P=0742 | X=0121.010-0383.270 | Y=0522.860-0534.100 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Lê
P=0742 | X=0121.010-0389.500 | Y=0534.410-0545.650 | Hồng Phong (đường Xuân Tân - Xuân Định) đoạn từ Đường
P=0742 | X=0121.010-0368.370 | Y=0545.930-0557.170 | 21 tháng 4 đến Giáp ranh xã Xuân Định có hiện trạng là
P=0742 | X=0121.010-0256.780 | Y=0557.450-0568.690 | đường nhựa, bê tông xi măng:
P=0742 | X=0099.650-0110.770 | Y=0573.970-0583.290 | 10
P=0742 | X=0412.700-0429.340 | Y=0573.970-0583.290 | 840
P=0742 | X=0449.210-0465.850 | Y=0573.970-0583.290 | 590
P=0742 | X=0505.390-0522.030 | Y=0573.970-0583.290 | 500
P=0742 | X=0121.010-0344.180 | Y=0574.970-0586.210 | - Có bề rộng ≥5m, cách đường giao thông >600m.
P=0742 | X=0121.010-0374.320 | Y=0592.250-0603.490 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=0742 | X=0121.010-0207.580 | Y=0603.770-0615.010 | >400m đến ≤600m.
P=0742 | X=0121.010-0344.200 | Y=0621.310-0632.550 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0742 | X=0121.010-0383.270 | Y=0639.310-0650.550 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Lê
P=0742 | X=0121.010-0389.500 | Y=0650.830-0662.070 | Hồng Phong (đường Xuân Tân - Xuân Định) đoạn từ Đường
P=0742 | X=0121.010-0368.370 | Y=0662.350-0673.590 | 21 tháng 4 đến Giáp ranh xã Xuân Định có hiện trạng là
P=0742 | X=0099.650-0110.770 | Y=0667.350-0676.670 | 11
P=0742 | X=0412.700-0429.340 | Y=0667.350-0676.670 | 590
P=0742 | X=0449.210-0465.850 | Y=0667.350-0676.670 | 410
P=0742 | X=0505.390-0522.030 | Y=0667.350-0676.670 | 350
P=0742 | X=0121.010-0256.780 | Y=0673.870-0685.110 | đường nhựa, bê tông xi măng:
P=0742 | X=0121.010-0398.440 | Y=0691.390-0702.630 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >600m.
P=0743 | X=0121.010-0344.650 | Y=0078.740-0089.980 | - Có bề rộng <3m, cách đường giao thông >200m.
P=0743 | X=0121.010-0394.520 | Y=0096.740-0107.980 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=0743 | X=0121.010-0377.670 | Y=0108.260-0119.500 | ra Đường Lê Hồng Phong (đường Xuân Tân - Xuân Định)
P=0743 | X=0121.010-0382.540 | Y=0119.810-0131.050 | đoạn từ Đường 21 tháng 4 đến Giáp ranh xã Xuân Định có
P=0743 | X=0121.010-0314.650 | Y=0131.330-0142.570 | hiện trạng là đường nhựa, bê tông xi măng:
P=0743 | X=0099.650-0110.770 | Y=0133.450-0142.770 | 12
P=0743 | X=0404.540-0429.590 | Y=0133.450-0142.770 | 1.200
P=0743 | X=0449.210-0465.850 | Y=0133.450-0142.770 | 840
P=0743 | X=0505.390-0522.030 | Y=0133.450-0142.770 | 720
P=0743 | X=0121.010-0343.920 | Y=0148.850-0160.090 | - Có bề rộng ≥5m, cách đường giao thông ≤600m.
P=0743 | X=0121.010-0398.200 | Y=0166.370-0177.610 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤400m.
P=0743 | X=0121.010-0394.550 | Y=0184.370-0195.610 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=0743 | X=0121.010-0377.670 | Y=0195.650-0206.890 | ra Đường Lê Hồng Phong (đường Xuân Tân - Xuân Định)
P=0743 | X=0121.010-0382.540 | Y=0207.190-0218.430 | đoạn từ Đường 21 tháng 4 đến Giáp ranh xã Xuân Định có
P=0743 | X=0121.010-0314.650 | Y=0218.710-0229.950 | hiện trạng là đường nhựa, bê tông xi măng:
P=0743 | X=0099.650-0110.770 | Y=0235.470-0244.790 | 13
P=0743 | X=0412.700-0429.340 | Y=0235.470-0244.790 | 760
P=0743 | X=0449.210-0465.850 | Y=0235.470-0244.790 | 530
P=0743 | X=0505.390-0522.030 | Y=0235.470-0244.790 | 460
P=0743 | X=0121.010-0344.180 | Y=0236.230-0247.470 | - Có bề rộng ≥5m, cách đường giao thông >600m.
P=0743 | X=0121.010-0374.320 | Y=0253.750-0264.990 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=0743 | X=0121.010-0207.580 | Y=0265.270-0276.510 | >400m đến ≤600m.
P=0743 | X=0121.010-0344.180 | Y=0282.820-0294.060 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0743 | X=0121.010-0394.520 | Y=0300.820-0312.060 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=0743 | X=0121.010-0377.670 | Y=0312.340-0323.580 | ra Đường Lê Hồng Phong (đường Xuân Tân - Xuân Định)
P=0743 | X=0121.010-0382.540 | Y=0323.860-0335.100 | đoạn từ Đường 21 tháng 4 đến Giáp ranh xã Xuân Định có
P=0743 | X=0121.010-0314.680 | Y=0335.380-0346.620 | hiện trạng là đường nhựa, bê tông xi măng:
P=0743 | X=0099.650-0110.770 | Y=0337.500-0346.820 | 14
P=0743 | X=0412.700-0429.340 | Y=0337.500-0346.820 | 530
P=0743 | X=0449.210-0465.850 | Y=0337.500-0346.820 | 370
P=0743 | X=0505.390-0522.030 | Y=0337.500-0346.820 | 320
P=0743 | X=0121.010-0398.440 | Y=0352.900-0364.140 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >600m.
P=0743 | X=0121.010-0347.330 | Y=0370.200-0381.440 | - Có bề rộng <3m, cách đường giao thông > 200m.
P=0743 | X=0121.010-0293.950 | Y=0388.200-0399.440 | Đường từ tổ 31B đi Tuyến đường qua
P=0743 | X=0306.360-0429.590 | Y=0393.960-0405.200 | Đường Nguyễn Trãi 2.000
P=0743 | X=0099.650-0110.770 | Y=0395.840-0405.160 | 15
P=0743 | X=0441.050-0466.100 | Y=0395.840-0405.160 | 1.400
P=0743 | X=0497.230-0522.280 | Y=0395.840-0405.160 | 1.200
P=0743 | X=0213.670-0277.140 | Y=0399.720-0410.960 | khu đô thị mới
P=0743 | X=0121.010-0175.790 | Y=0401.600-0410.920 | khu Bàu Tra
P=0743 | X=0121.010-0392.860 | Y=0417.720-0428.960 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường từ tổ
P=0743 | X=0121.010-0392.620 | Y=0429.240-0440.480 | 31B đi khu Bàu Tra đoạn từ Tuyến đường qua khu đô thị mới
P=0743 | X=0121.010-0398.360 | Y=0440.760-0452.000 | đến Đường Nguyễn Trãi có hiện trạng là đường nhựa, bê tông
P=0743 | X=0121.010-0158.840 | Y=0452.300-0463.540 | xi măng:
P=0743 | X=0099.650-0110.770 | Y=0454.420-0463.740 | 16
P=0743 | X=0404.540-0429.590 | Y=0454.420-0463.740 | 1.200
P=0743 | X=0449.210-0465.850 | Y=0454.420-0463.740 | 840
P=0743 | X=0505.390-0522.030 | Y=0454.420-0463.740 | 720
P=0743 | X=0121.010-0343.920 | Y=0469.820-0481.060 | - Có bề rộng ≥5m, cách đường giao thông ≤600m.
P=0743 | X=0121.010-0398.220 | Y=0487.340-0498.580 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤400m.
P=0743 | X=0121.010-0392.860 | Y=0505.340-0516.580 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường từ tổ
P=0743 | X=0121.010-0392.620 | Y=0516.860-0528.100 | 31B đi khu Bàu Tra đoạn từ Tuyến đường qua khu đô thị mới
P=0743 | X=0121.010-0398.360 | Y=0528.380-0539.620 | đến Đường Nguyễn Trãi có hiện trạng là đường nhựa, bê tông
P=0743 | X=0121.010-0158.840 | Y=0539.930-0551.170 | xi măng:
P=0743 | X=0099.650-0110.770 | Y=0556.450-0565.770 | 17
P=0743 | X=0412.700-0429.340 | Y=0556.450-0565.770 | 840
P=0743 | X=0449.210-0465.850 | Y=0556.450-0565.770 | 590
P=0743 | X=0505.390-0522.030 | Y=0556.450-0565.770 | 500
P=0743 | X=0121.010-0344.180 | Y=0557.450-0568.690 | - Có bề rộng ≥5m, cách đường giao thông >600m.
P=0743 | X=0121.010-0374.320 | Y=0574.970-0586.210 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=0743 | X=0121.010-0207.580 | Y=0586.250-0597.490 | >400m đến ≤600m.
P=0743 | X=0121.010-0344.180 | Y=0603.770-0615.010 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0743 | X=0121.010-0392.860 | Y=0621.790-0633.030 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường từ tổ
P=0743 | X=0121.010-0389.500 | Y=0633.310-0644.550 | 31B đi khu Bàu Tra đoạn từ tuyến đường qua khu đô thị mới
P=0743 | X=0121.010-0398.360 | Y=0644.830-0656.070 | đến Đường Nguyễn Trãi có hiện trạng là đường nhựa, bê tông
P=0743 | X=0121.010-0158.840 | Y=0656.350-0667.590 | xi măng:
P=0743 | X=0099.650-0110.770 | Y=0658.470-0667.790 | 18
P=0743 | X=0412.700-0429.340 | Y=0658.470-0667.790 | 590
P=0743 | X=0449.210-0465.850 | Y=0658.470-0667.790 | 410
P=0743 | X=0505.390-0522.030 | Y=0658.470-0667.790 | 350
P=0743 | X=0121.010-0398.440 | Y=0673.870-0685.110 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >600m.
P=0743 | X=0121.010-0344.650 | Y=0691.390-0702.630 | - Có bề rộng <3m, cách đường giao thông >200m.
P=0744 | X=0121.010-0394.520 | Y=0078.740-0089.980 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=0744 | X=0121.010-0395.990 | Y=0090.260-0101.500 | ra Đường từ tổ 31B đi khu Bàu Tra đoạn từ Tuyến đường qua
P=0744 | X=0121.010-0366.910 | Y=0101.780-0113.020 | khu đô thị mới đến Đường Nguyễn Trãi có hiện trạng là
P=0744 | X=0121.010-0256.780 | Y=0113.300-0124.540 | đường nhựa, bê tông xi măng:
P=0744 | X=0099.650-0110.770 | Y=0115.420-0124.740 | 19
P=0744 | X=0404.540-0429.590 | Y=0115.420-0124.740 | 1.100
P=0744 | X=0449.210-0465.850 | Y=0115.420-0124.740 | 770
P=0744 | X=0505.390-0522.030 | Y=0115.420-0124.740 | 660
P=0744 | X=0121.010-0343.920 | Y=0130.850-0142.090 | - Có bề rộng ≥5m, cách đường giao thông ≤600m.
P=0744 | X=0121.010-0398.200 | Y=0148.370-0159.610 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤400m.
P=0744 | X=0121.010-0394.520 | Y=0166.370-0177.610 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=0744 | X=0121.010-0395.990 | Y=0177.650-0188.890 | ra Đường từ tổ 31B đi khu Bàu Tra đoạn từ Tuyến đường qua
P=0744 | X=0121.010-0366.910 | Y=0189.170-0200.410 | khu đô thị mới đến Đường Nguyễn Trãi có hiện trạng là
P=0744 | X=0121.010-0256.780 | Y=0200.710-0211.950 | đường nhựa, bê tông xi măng:
P=0744 | X=0099.650-0110.770 | Y=0217.470-0226.790 | 20
P=0744 | X=0412.700-0429.340 | Y=0217.470-0226.790 | 760
P=0744 | X=0449.210-0465.850 | Y=0217.470-0226.790 | 530
P=0744 | X=0505.390-0522.030 | Y=0217.470-0226.790 | 460
P=0744 | X=0121.010-0344.180 | Y=0218.230-0229.470 | - Có bề rộng ≥5m, cách đường giao thông >600m.
P=0744 | X=0121.010-0374.320 | Y=0235.750-0246.990 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=0744 | X=0121.010-0207.580 | Y=0247.270-0258.510 | >400m đến ≤600m.
P=0744 | X=0121.010-0344.180 | Y=0264.790-0276.030 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0744 | X=0121.010-0394.520 | Y=0282.820-0294.060 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=0744 | X=0121.010-0395.990 | Y=0294.340-0305.580 | ra Đường từ tổ 31B đi khu Bàu Tra đoạn từ Tuyến đường qua
P=0744 | X=0121.010-0366.910 | Y=0305.860-0317.100 | khu đô thị mới đến Đường Nguyễn Trãi có hiện trạng là
P=0744 | X=0121.010-0256.780 | Y=0317.380-0328.620 | đường nhựa, bê tông xi măng:
P=0744 | X=0099.650-0110.770 | Y=0319.500-0328.820 | 21
P=0744 | X=0412.700-0429.340 | Y=0319.500-0328.820 | 530
P=0744 | X=0449.210-0465.850 | Y=0319.500-0328.820 | 370
P=0744 | X=0505.390-0522.030 | Y=0319.500-0328.820 | 320
P=0744 | X=0121.010-0398.440 | Y=0334.900-0346.140 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >600m.
P=0744 | X=0121.010-0347.330 | Y=0352.420-0363.660 | - Có bề rộng <3m, cách đường giao thông > 200m.
P=0744 | X=0121.010-0195.190 | Y=0370.200-0381.440 | Đường Tân Mỹ -
P=0744 | X=0306.360-0389.720 | Y=0372.080-0381.400 | Giáp ranh xã Xuân
P=0744 | X=0099.650-0110.770 | Y=0377.840-0387.160 | 22
P=0744 | X=0213.670-0262.260 | Y=0377.840-0387.160 | Quốc lộ 56
P=0744 | X=0404.540-0429.590 | Y=0377.840-0387.160 | 1.300
P=0744 | X=0449.210-0465.850 | Y=0377.840-0387.160 | 910
P=0744 | X=0505.390-0522.030 | Y=0377.840-0387.160 | 780
P=0744 | X=0121.010-0174.370 | Y=0381.720-0392.960 | Nhân Nghĩa
P=0744 | X=0306.360-0327.080 | Y=0381.720-0392.960 | Định
P=0744 | X=0121.010-0389.500 | Y=0399.720-0410.960 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Tân
P=0744 | X=0121.010-0390.430 | Y=0411.240-0422.480 | Mỹ - Nhân Nghĩa đoạn từ Quốc lộ 56 đến Giáp ranh xã Xuân
P=0744 | X=0121.010-0351.360 | Y=0422.760-0434.000 | Định có hiện trạng là đường nhựa, bê tông xi măng:
P=0744 | X=0099.650-0110.770 | Y=0430.640-0439.960 | 23
P=0744 | X=0412.700-0429.340 | Y=0430.640-0439.960 | 670
P=0744 | X=0449.210-0465.850 | Y=0430.640-0439.960 | 470
P=0744 | X=0505.390-0522.030 | Y=0430.640-0439.960 | 400
P=0744 | X=0121.010-0352.090 | Y=0440.280-0451.520 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=0744 | X=0121.010-0398.220 | Y=0457.820-0469.060 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=0744 | X=0121.010-0389.500 | Y=0475.820-0487.060 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Tân
P=0744 | X=0121.010-0390.470 | Y=0487.340-0498.580 | Mỹ - Nhân Nghĩa đoạn từ Quốc lộ 56 đến Giáp ranh xã Xuân
P=0744 | X=0121.010-0351.360 | Y=0498.860-0510.100 | Định có hiện trạng là đường nhựa, bê tông xi măng:
P=0744 | X=0121.010-0352.600 | Y=0516.380-0527.620 | - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=0744 | X=0099.650-0110.770 | Y=0521.140-0530.460 | 24
P=0744 | X=0412.700-0429.340 | Y=0521.140-0530.460 | 650
P=0744 | X=0449.210-0465.850 | Y=0521.140-0530.460 | 460
P=0744 | X=0505.390-0522.030 | Y=0521.140-0530.460 | 390
P=0744 | X=0121.010-0374.320 | Y=0533.930-0545.170 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=0744 | X=0121.010-0216.000 | Y=0545.450-0556.690 | >500m đến ≤1.000m.
P=0744 | X=0121.010-0344.180 | Y=0562.970-0574.210 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0744 | X=0121.010-0389.500 | Y=0580.970-0592.210 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Tân
P=0744 | X=0121.010-0390.430 | Y=0592.250-0603.490 | Mỹ - Nhân Nghĩa đoạn từ Quốc lộ 56 đến Giáp ranh xã Xuân
P=0744 | X=0121.010-0351.360 | Y=0603.770-0615.010 | Định có hiện trạng là đường nhựa, bê tông xi măng:
P=0744 | X=0099.650-0110.770 | Y=0617.410-0626.730 | 25
P=0744 | X=0412.700-0429.340 | Y=0617.410-0626.730 | 450
P=0744 | X=0449.210-0465.850 | Y=0617.410-0626.730 | 320
P=0744 | X=0505.390-0522.030 | Y=0617.410-0626.730 | 270
P=0744 | X=0121.010-0362.120 | Y=0621.310-0632.550 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=0744 | X=0121.010-0163.150 | Y=0634.710-0644.030 | >1.000m.
P=0744 | X=0121.010-0344.650 | Y=0650.350-0661.590 | - Có bề rộng <3m, cách đường giao thông >200m.
P=0744 | X=0121.010-0394.520 | Y=0668.350-0679.590 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=0744 | X=0121.010-0394.540 | Y=0679.870-0691.110 | ra Đường Tân Mỹ - Nhân Nghĩa đoạn từ Quốc lộ 56 đến Giáp
P=0744 | X=0099.650-0110.770 | Y=0687.510-0696.830 | 26
P=0744 | X=0412.700-0429.340 | Y=0687.510-0696.830 | 600
P=0744 | X=0449.210-0465.850 | Y=0687.510-0696.830 | 420
P=0744 | X=0505.390-0522.030 | Y=0687.510-0696.830 | 360
P=0744 | X=0121.010-0383.000 | Y=0691.390-0702.630 | ranh xã Xuân Định có hiện trạng là đường nhựa, bê tông xi
