TABLE=020 | AREA=Phường Bảo Vinh | SECTION=non-agricultural | SEGMENTS=1
P=0698 | X=0099.890-0105.490 | Y=0377.840-0387.160 | 2
P=0698 | X=0400.460-0425.510 | Y=0377.840-0387.160 | 1.200
P=0698 | X=0445.370-0462.010 | Y=0377.840-0387.160 | 840
P=0698 | X=0505.390-0522.030 | Y=0377.840-0387.160 | 720
P=0698 | X=0115.730-0338.640 | Y=0387.480-0398.720 | - Có bề rộng ≥5m, cách đường giao thông ≤600m.
P=0698 | X=0115.730-0392.920 | Y=0405.000-0416.240 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤400m.
P=0698 | X=0115.730-0386.860 | Y=0423.000-0434.240 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Suối
P=0698 | X=0115.730-0386.390 | Y=0434.520-0445.760 | Chồn - Bàu Cối đoạn từ Đường Nguyễn Trung Trực đến Ngã
P=0698 | X=0115.730-0386.190 | Y=0446.040-0457.280 | ba Suối Chồn có hiện trạng là đường nhựa, bê tông xi măng:
P=0698 | X=0115.730-0338.900 | Y=0463.580-0474.820 | - Có bề rộng ≥5m, cách đường giao thông >600m.
P=0698 | X=0099.890-0105.490 | Y=0468.580-0477.900 | 3
P=0698 | X=0408.620-0425.260 | Y=0468.580-0477.900 | 800
P=0698 | X=0445.370-0462.010 | Y=0468.580-0477.900 | 560
P=0698 | X=0505.390-0522.030 | Y=0468.580-0477.900 | 480
P=0698 | X=0115.730-0369.040 | Y=0481.100-0492.340 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=0698 | X=0115.730-0202.300 | Y=0492.620-0503.860 | >400m đến ≤600m.
P=0698 | X=0115.730-0338.900 | Y=0510.140-0521.380 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0698 | X=0115.730-0386.860 | Y=0528.140-0539.380 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Suối
P=0698 | X=0115.730-0386.390 | Y=0539.690-0550.930 | Chồn - Bàu Cối đoạn từ Đường Nguyễn Trung Trực đến Ngã
P=0698 | X=0115.730-0386.190 | Y=0551.210-0562.450 | ba Suối Chồn có hiện trạng là đường nhựa, bê tông xi măng:
P=0698 | X=0099.890-0105.490 | Y=0559.090-0568.410 | 4
P=0698 | X=0408.620-0425.290 | Y=0559.090-0568.410 | 600
P=0698 | X=0445.370-0462.010 | Y=0559.090-0568.410 | 420
P=0698 | X=0505.390-0522.030 | Y=0559.090-0568.410 | 360
P=0698 | X=0115.730-0393.160 | Y=0568.490-0579.730 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >600m.
P=0698 | X=0115.730-0339.370 | Y=0586.010-0597.250 | - Có bề rộng <3m, cách đường giao thông >200m.
P=0698 | X=0115.730-0389.240 | Y=0604.010-0615.250 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=0698 | X=0115.730-0390.940 | Y=0615.530-0626.770 | ra Đường Suối Chồn - Bàu Cối đoạn từ Đường Nguyễn Trung
P=0698 | X=0115.730-0387.820 | Y=0627.070-0638.310 | Trực đến Ngã ba Suối Chồn có hiện trạng là đường nhựa, bê
P=0698 | X=0115.730-0175.890 | Y=0638.590-0649.830 | tông xi măng:
P=0698 | X=0099.890-0105.490 | Y=0640.710-0650.030 | 5
P=0698 | X=0400.460-0425.510 | Y=0640.710-0650.030 | 1.100
P=0698 | X=0445.370-0462.010 | Y=0640.710-0650.030 | 770
P=0698 | X=0505.390-0522.030 | Y=0640.710-0650.030 | 660
P=0698 | X=0115.730-0338.640 | Y=0656.110-0667.350 | - Có bề rộng ≥5m, cách đường giao thông ≤600m.
P=0698 | X=0115.730-0392.920 | Y=0673.630-0684.870 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤400m.
P=0698 | X=0115.730-0389.240 | Y=0691.630-0702.870 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=0698 | X=0099.890-0105.490 | Y=0699.270-0708.590 | 6
P=0698 | X=0408.620-0425.260 | Y=0699.270-0708.590 | 720
P=0698 | X=0445.370-0462.010 | Y=0699.270-0708.590 | 500
P=0698 | X=0505.390-0522.030 | Y=0699.270-0708.590 | 430
P=0698 | X=0115.730-0390.940 | Y=0703.170-0714.410 | ra Đường Suối Chồn - Bàu Cối đoạn từ Đường Nguyễn Trung
P=0699 | X=0115.730-0387.820 | Y=0072.740-0083.980 | Trực đến Ngã ba Suối Chồn có hiện trạng là đường nhựa, bê
P=0699 | X=0115.730-0175.890 | Y=0084.260-0095.500 | tông xi măng:
P=0699 | X=0115.730-0338.900 | Y=0101.780-0113.020 | - Có bề rộng ≥5m, cách đường giao thông >600m.
P=0699 | X=0115.730-0369.040 | Y=0119.330-0130.570 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=0699 | X=0115.730-0202.300 | Y=0130.850-0142.090 | >400m đến ≤600m.
P=0699 | X=0115.730-0338.900 | Y=0148.370-0159.610 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0699 | X=0115.730-0389.240 | Y=0166.370-0177.610 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=0699 | X=0115.730-0390.940 | Y=0177.650-0188.890 | ra Đường Suối Chồn - Bàu Cối đoạn từ Đường Nguyễn Trung
P=0699 | X=0115.730-0387.820 | Y=0189.170-0200.410 | Trực đến Ngã ba Suối Chồn có hiện trạng là đường nhựa, bê
P=0699 | X=0115.730-0175.890 | Y=0200.710-0211.950 | tông xi măng:
P=0699 | X=0099.890-0105.490 | Y=0202.830-0212.150 | 7
P=0699 | X=0408.620-0425.260 | Y=0202.830-0212.150 | 540
P=0699 | X=0445.370-0462.010 | Y=0202.830-0212.150 | 380
P=0699 | X=0505.390-0522.030 | Y=0202.830-0212.150 | 320
P=0699 | X=0115.730-0393.160 | Y=0218.230-0229.470 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >600m.
P=0699 | X=0115.730-0339.370 | Y=0235.750-0246.990 | - Có bề rộng <3m, cách đường giao thông >200m.
P=0699 | X=0115.730-0203.110 | Y=0253.750-0264.990 | Đường Suối Chồn -
P=0699 | X=0302.280-0385.660 | Y=0255.630-0264.950 | Chùa Quảng Hạnh
P=0699 | X=0099.890-0105.490 | Y=0261.390-0270.710 | 8
P=0699 | X=0214.150-0296.120 | Y=0261.390-0270.710 | Ngã ba Suối Chồn
P=0699 | X=0400.460-0425.510 | Y=0261.390-0270.710 | 2.000
P=0699 | X=0437.210-0462.260 | Y=0261.390-0270.710 | 1.400
P=0699 | X=0497.230-0522.280 | Y=0261.390-0270.710 | 1.200
P=0699 | X=0115.730-0151.320 | Y=0267.150-0276.470 | Bàu Cối
P=0699 | X=0302.280-0315.260 | Y=0267.150-0276.470 | Tự
P=0699 | X=0115.730-0386.860 | Y=0283.300-0294.540 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Suối
P=0699 | X=0115.730-0384.950 | Y=0294.820-0306.060 | Chồn - Bàu Cối đoạn từ Ngã ba Suối Chồn đến Chùa Quảng
P=0699 | X=0115.730-0364.820 | Y=0306.340-0317.580 | Hạnh Tự có hiện trạng là đường nhựa, bê tông xi măng:
P=0699 | X=0099.890-0105.490 | Y=0314.220-0323.540 | 9
P=0699 | X=0400.460-0425.510 | Y=0314.220-0323.540 | 1.000
P=0699 | X=0445.370-0462.010 | Y=0314.220-0323.540 | 700
P=0699 | X=0505.390-0522.030 | Y=0314.220-0323.540 | 600
P=0699 | X=0115.730-0338.640 | Y=0323.860-0335.100 | - Có bề rộng ≥5m, cách đường giao thông ≤600m.
P=0699 | X=0115.730-0392.920 | Y=0341.380-0352.620 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤400m.
P=0699 | X=0115.730-0386.860 | Y=0359.380-0370.620 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Suối
P=0699 | X=0115.730-0384.950 | Y=0370.920-0382.160 | Chồn - Bàu Cối đoạn từ Ngã ba Suối Chồn đến Chùa Quảng
P=0699 | X=0115.730-0364.840 | Y=0382.200-0393.440 | Hạnh Tự có hiện trạng là đường nhựa, bê tông xi măng:
P=0699 | X=0097.010-0338.900 | Y=0399.720-0414.040 | 10 - Có bề rộng ≥5m, cách đường giao thông >600m.
P=0699 | X=0408.620-0425.260 | Y=0404.720-0414.040 | 800
P=0699 | X=0445.370-0462.010 | Y=0404.720-0414.040 | 560
P=0699 | X=0505.390-0522.030 | Y=0404.720-0414.040 | 480
P=0699 | X=0115.730-0369.040 | Y=0417.240-0428.480 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=0699 | X=0115.730-0202.300 | Y=0428.760-0440.000 | >400m đến ≤600m.
P=0699 | X=0115.730-0338.900 | Y=0446.280-0457.520 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0699 | X=0115.730-0386.860 | Y=0464.300-0475.540 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Suối
P=0699 | X=0115.730-0384.950 | Y=0475.820-0487.060 | Chồn - Bàu Cối đoạn từ Ngã ba Suối Chồn đến Chùa Quảng
P=0699 | X=0115.730-0364.820 | Y=0487.340-0498.580 | Hạnh Tự có hiện trạng là đường nhựa, bê tông xi măng:
P=0699 | X=0097.010-0108.130 | Y=0495.220-0504.540 | 11
P=0699 | X=0408.620-0425.260 | Y=0495.220-0504.540 | 600
P=0699 | X=0445.370-0462.010 | Y=0495.220-0504.540 | 420
P=0699 | X=0505.390-0522.030 | Y=0495.220-0504.540 | 360
P=0699 | X=0115.730-0393.160 | Y=0504.860-0516.100 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >600m.
P=0699 | X=0115.730-0339.370 | Y=0522.380-0533.620 | - Có bề rộng <3m, cách đường giao thông >200m.
P=0699 | X=0115.730-0389.240 | Y=0540.410-0551.650 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=0699 | X=0115.730-0374.620 | Y=0551.930-0563.170 | ra Đường Suối Chồn - Bàu Cối đoạn từ Ngã ba Suối Chồn
P=0699 | X=0115.730-0381.100 | Y=0563.450-0574.690 | đến Chùa Quảng Hạnh Tự có hiện trạng là đường nhựa, bê
P=0699 | X=0097.010-0175.890 | Y=0574.970-0586.410 | 12 tông xi măng:
P=0699 | X=0408.620-0425.260 | Y=0577.090-0586.410 | 900
P=0699 | X=0445.370-0462.010 | Y=0577.090-0586.410 | 630
P=0699 | X=0505.390-0522.030 | Y=0577.090-0586.410 | 540
P=0699 | X=0115.730-0338.640 | Y=0592.250-0603.490 | - Có bề rộng ≥5m, cách đường giao thông ≤600m.
P=0699 | X=0115.730-0392.920 | Y=0609.770-0621.010 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤400m.
P=0699 | X=0115.730-0389.240 | Y=0627.790-0639.030 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=0699 | X=0115.730-0374.620 | Y=0639.310-0650.550 | ra Đường Suối Chồn - Bàu Cối đoạn từ Ngã ba Suối Chồn
P=0699 | X=0115.730-0381.100 | Y=0650.830-0662.070 | đến Chùa Quảng Hạnh Tự có hiện trạng là đường nhựa, bê
P=0699 | X=0097.010-0175.890 | Y=0662.350-0673.790 | 13 tông xi măng:
P=0699 | X=0408.620-0425.260 | Y=0664.470-0673.790 | 720
P=0699 | X=0445.370-0462.010 | Y=0664.470-0673.790 | 500
P=0699 | X=0505.390-0522.030 | Y=0664.470-0673.790 | 430
P=0699 | X=0115.730-0338.900 | Y=0679.870-0691.110 | - Có bề rộng ≥5m, cách đường giao thông >600m.
P=0699 | X=0115.730-0369.040 | Y=0697.390-0708.630 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=0700 | X=0115.730-0202.300 | Y=0072.740-0083.980 | >400m đến ≤600m.
P=0700 | X=0115.730-0338.900 | Y=0090.260-0101.500 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0700 | X=0115.730-0389.240 | Y=0108.260-0119.500 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=0700 | X=0115.730-0374.620 | Y=0119.810-0131.050 | ra Đường Suối Chồn - Bàu Cối đoạn từ Ngã ba Suối Chồn
P=0700 | X=0115.730-0381.100 | Y=0131.330-0142.570 | đến Chùa Quảng Hạnh Tự có hiện trạng là đường nhựa, bê
P=0700 | X=0097.010-0175.890 | Y=0142.850-0154.290 | 14 tông xi măng:
P=0700 | X=0408.620-0425.260 | Y=0144.970-0154.290 | 540
P=0700 | X=0445.370-0462.010 | Y=0144.970-0154.290 | 380
P=0700 | X=0505.390-0522.030 | Y=0144.970-0154.290 | 320
P=0700 | X=0115.730-0393.160 | Y=0160.370-0171.610 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >600m.
P=0700 | X=0115.730-0342.050 | Y=0177.650-0188.890 | - Có bề rộng <3m, cách đường giao thông > 200m.
P=0700 | X=0115.730-0203.110 | Y=0195.650-0206.890 | Đường Suối Chồn -
P=0700 | X=0214.150-0297.540 | Y=0197.530-0206.850 | Chùa Quảng Hạnh
P=0700 | X=0302.280-0388.460 | Y=0201.430-0212.670 | Hết cơ sở Thủ Mây
P=0700 | X=0097.010-0108.130 | Y=0203.310-0212.630 | 15
P=0700 | X=0400.460-0425.510 | Y=0203.310-0212.630 | 1.900
P=0700 | X=0437.210-0462.260 | Y=0203.310-0212.630 | 1.300
P=0700 | X=0497.230-0522.280 | Y=0203.310-0212.630 | 1.100
P=0700 | X=0115.730-0151.320 | Y=0209.070-0218.390 | Bàu Cối
P=0700 | X=0214.150-0227.130 | Y=0209.070-0218.390 | Tự
P=0700 | X=0115.730-0386.860 | Y=0225.190-0236.430 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Suối
P=0700 | X=0115.730-0389.790 | Y=0236.710-0247.950 | Chồn - Bàu Cối đoạn từ Chùa Quảng Hạnh Tự đến Hết cơ sở
P=0700 | X=0115.730-0364.090 | Y=0248.230-0259.470 | Thủ Mây có hiện trạng là đường nhựa, bê tông xi măng:
P=0700 | X=0097.010-0108.130 | Y=0256.110-0265.430 | 16
P=0700 | X=0408.620-0425.260 | Y=0256.110-0265.430 | 900
P=0700 | X=0445.370-0462.010 | Y=0256.110-0265.430 | 630
P=0700 | X=0505.390-0522.030 | Y=0256.110-0265.430 | 540
P=0700 | X=0115.730-0346.840 | Y=0265.750-0276.990 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=0700 | X=0115.730-0392.920 | Y=0283.300-0294.540 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=0700 | X=0115.730-0386.860 | Y=0301.300-0312.540 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Suối
P=0700 | X=0115.730-0389.790 | Y=0312.820-0324.060 | Chồn - Bàu Cối đoạn từ Chùa Quảng Hạnh Tự đến Hết cơ sở
P=0700 | X=0115.730-0364.090 | Y=0324.340-0335.580 | Thủ Mây có hiện trạng là đường nhựa, bê tông xi măng:
P=0700 | X=0097.010-0347.280 | Y=0341.860-0355.940 | 17 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=0700 | X=0408.620-0425.260 | Y=0346.620-0355.940 | 660
P=0700 | X=0445.370-0462.010 | Y=0346.620-0355.940 | 460
P=0700 | X=0505.390-0522.030 | Y=0346.620-0355.940 | 400
P=0700 | X=0115.730-0369.040 | Y=0359.380-0370.620 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=0700 | X=0115.730-0210.700 | Y=0370.920-0382.160 | >500m đến ≤1.000m.
P=0700 | X=0115.730-0338.900 | Y=0388.200-0399.440 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0700 | X=0115.730-0386.860 | Y=0406.200-0417.440 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Suối
P=0700 | X=0115.730-0389.790 | Y=0417.720-0428.960 | Chồn - Bàu Cối đoạn từ Chùa Quảng Hạnh Tự đến Hết cơ sở
P=0700 | X=0115.730-0364.120 | Y=0429.240-0440.480 | Thủ Mây có hiện trạng là đường nhựa, bê tông xi măng:
P=0700 | X=0097.010-0108.130 | Y=0442.880-0452.200 | 18
P=0700 | X=0408.620-0425.260 | Y=0442.880-0452.200 | 450
P=0700 | X=0445.370-0462.010 | Y=0442.880-0452.200 | 320
P=0700 | X=0505.390-0522.030 | Y=0442.880-0452.200 | 270
P=0700 | X=0115.730-0356.840 | Y=0446.760-0458.000 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=0700 | X=0115.730-0157.870 | Y=0460.180-0469.500 | >1.000m.
P=0700 | X=0115.730-0339.370 | Y=0475.820-0487.060 | - Có bề rộng <3m, cách đường giao thông >200m.
P=0700 | X=0115.730-0389.240 | Y=0493.820-0505.060 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=0700 | X=0115.730-0392.080 | Y=0505.340-0516.580 | ra Đường Suối Chồn - Bàu Cối đoạn từ Chùa Quảng Hạnh Tự
P=0700 | X=0115.730-0390.200 | Y=0516.860-0528.100 | đến Hết cơ sở Thủ Mây có hiện trạng là đường nhựa, bê tông
P=0700 | X=0097.010-0153.560 | Y=0528.380-0539.820 | 19 xi măng:
P=0700 | X=0408.620-0425.260 | Y=0530.500-0539.820 | 810
P=0700 | X=0445.370-0462.010 | Y=0530.500-0539.820 | 570
P=0700 | X=0505.390-0522.030 | Y=0530.500-0539.820 | 490
P=0700 | X=0115.730-0346.840 | Y=0545.930-0557.170 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=0700 | X=0115.730-0392.920 | Y=0563.450-0574.690 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=0700 | X=0115.730-0389.240 | Y=0581.450-0592.690 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=0700 | X=0115.730-0392.080 | Y=0592.970-0604.210 | ra Đường Suối Chồn - Bàu Cối đoạn từ Chùa Quảng Hạnh Tự
P=0700 | X=0115.730-0390.200 | Y=0604.250-0615.490 | đến Hết cơ sở Thủ Mây có hiện trạng là đường nhựa, bê tông
P=0700 | X=0115.730-0153.560 | Y=0615.770-0627.010 | xi măng:
P=0700 | X=0097.010-0347.280 | Y=0632.550-0644.550 | 20 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=0700 | X=0408.620-0425.260 | Y=0632.550-0641.870 | 590
P=0700 | X=0445.370-0462.010 | Y=0632.550-0641.870 | 410
P=0700 | X=0505.390-0522.030 | Y=0632.550-0641.870 | 350
P=0700 | X=0115.730-0369.040 | Y=0650.830-0662.070 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=0700 | X=0115.730-0210.700 | Y=0662.350-0673.590 | >500m đến ≤1.000m.
P=0700 | X=0115.730-0338.920 | Y=0679.870-0691.110 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0700 | X=0097.010-0389.240 | Y=0697.870-0709.110 | 21 Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=0700 | X=0408.620-0425.260 | Y=0699.750-0709.070 | 410
P=0700 | X=0445.370-0462.010 | Y=0699.750-0709.070 | 290
P=0700 | X=0505.390-0522.030 | Y=0699.750-0709.070 | 250
P=0701 | X=0115.730-0392.080 | Y=0072.740-0083.980 | ra Đường Suối Chồn - Bàu Cối đoạn từ Chùa Quảng Hạnh Tự
P=0701 | X=0115.730-0390.200 | Y=0084.260-0095.500 | đến Hết cơ sở Thủ Mây có hiện trạng là đường nhựa, bê tông
P=0701 | X=0115.730-0153.570 | Y=0095.780-0107.020 | xi măng:
P=0701 | X=0115.730-0356.840 | Y=0113.300-0124.540 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=0701 | X=0115.730-0157.870 | Y=0126.730-0136.050 | >1.000m.
P=0701 | X=0115.730-0339.370 | Y=0142.370-0153.610 | - Có bề rộng <3m, cách đường giao thông >200m.
P=0701 | X=0115.730-0203.110 | Y=0160.370-0171.610 | Đường Suối Chồn -
P=0701 | X=0302.280-0385.640 | Y=0162.250-0171.570 | Giáp ranh xã Xuân
P=0701 | X=0214.150-0300.340 | Y=0166.130-0177.370 | Hết cơ sở Thủ Mây
P=0701 | X=0097.010-0108.130 | Y=0168.010-0177.330 | 22
P=0701 | X=0400.460-0425.510 | Y=0168.010-0177.330 | 1.800
P=0701 | X=0437.210-0462.260 | Y=0168.010-0177.330 | 1.300
P=0701 | X=0497.230-0522.280 | Y=0168.010-0177.330 | 1.100
P=0701 | X=0115.730-0151.320 | Y=0173.530-0182.850 | Bàu Cối
P=0701 | X=0302.280-0319.560 | Y=0173.530-0182.850 | Bắc
P=0701 | X=0115.730-0386.860 | Y=0189.650-0200.890 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Suối
P=0701 | X=0115.730-0389.960 | Y=0201.190-0212.430 | Chồn - Bàu Cối đoạn từ Hết cơ sở Thủ Mây đến Giáp ranh xã
P=0701 | X=0115.730-0368.640 | Y=0212.710-0223.950 | Xuân Bắc có hiện trạng là đường nhựa, bê tông xi măng:
P=0701 | X=0097.010-0108.130 | Y=0220.590-0229.910 | 23
P=0701 | X=0408.620-0425.260 | Y=0220.590-0229.910 | 810
P=0701 | X=0445.370-0462.010 | Y=0220.590-0229.910 | 570
P=0701 | X=0505.390-0522.030 | Y=0220.590-0229.910 | 490
P=0701 | X=0115.730-0346.810 | Y=0230.230-0241.470 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=0701 | X=0115.730-0392.920 | Y=0247.750-0258.990 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=0701 | X=0115.730-0386.860 | Y=0265.750-0276.990 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Suối
P=0701 | X=0115.730-0389.960 | Y=0277.270-0288.510 | Chồn - Bàu Cối đoạn từ Hết cơ sở Thủ Mây đến Giáp ranh xã
P=0701 | X=0115.730-0368.640 | Y=0288.820-0300.060 | Xuân Bắc có hiện trạng là đường nhựa, bê tông xi măng:
P=0701 | X=0097.010-0347.280 | Y=0306.340-0320.420 | 24 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=0701 | X=0408.620-0425.260 | Y=0311.100-0320.420 | 560
P=0701 | X=0445.370-0462.010 | Y=0311.100-0320.420 | 390
P=0701 | X=0505.390-0522.030 | Y=0311.100-0320.420 | 340
P=0701 | X=0115.730-0369.050 | Y=0323.860-0335.100 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=0701 | X=0115.730-0210.700 | Y=0335.380-0346.620 | >500m đến ≤1.000m.
P=0701 | X=0115.730-0338.900 | Y=0352.900-0364.140 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0701 | X=0115.730-0386.860 | Y=0370.920-0382.160 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Suối
P=0701 | X=0115.730-0389.960 | Y=0382.200-0393.440 | Chồn - Bàu Cối đoạn từ Hết cơ sở Thủ Mây đến Giáp ranh xã
P=0701 | X=0115.730-0368.680 | Y=0393.720-0404.960 | Xuân Bắc có hiện trạng là đường nhựa, bê tông xi măng:
P=0701 | X=0097.010-0108.130 | Y=0407.360-0416.680 | 25
P=0701 | X=0408.620-0425.260 | Y=0407.360-0416.680 | 450
P=0701 | X=0445.370-0462.010 | Y=0407.360-0416.680 | 320
P=0701 | X=0505.390-0522.030 | Y=0407.360-0416.680 | 270
P=0701 | X=0115.730-0356.840 | Y=0411.240-0422.480 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=0701 | X=0115.730-0157.870 | Y=0424.640-0433.960 | >1.000m.
P=0701 | X=0115.730-0339.370 | Y=0440.280-0451.520 | - Có bề rộng <3m, cách đường giao thông >200m.
P=0701 | X=0115.730-0389.240 | Y=0458.300-0469.540 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=0701 | X=0115.730-0379.100 | Y=0469.820-0481.060 | ra Đường Suối Chồn - Bàu Cối đoạn từ Hết cơ sở Thủ Mây
P=0701 | X=0115.730-0385.420 | Y=0481.340-0492.580 | đến Giáp ranh xã Xuân Bắc có hiện trạng là đường nhựa, bê
P=0701 | X=0097.010-0175.890 | Y=0492.860-0504.300 | 26 tông xi măng:
P=0701 | X=0408.620-0425.260 | Y=0494.980-0504.300 | 730
P=0701 | X=0445.370-0462.010 | Y=0494.980-0504.300 | 510
P=0701 | X=0505.390-0522.030 | Y=0494.980-0504.300 | 440
P=0701 | X=0115.730-0346.810 | Y=0510.380-0521.620 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=0701 | X=0115.730-0392.920 | Y=0527.900-0539.140 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=0701 | X=0115.730-0389.240 | Y=0545.930-0557.170 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=0701 | X=0115.730-0379.100 | Y=0557.450-0568.690 | ra Đường Suối Chồn - Bàu Cối đoạn từ Hết cơ sở Thủ Mây
P=0701 | X=0115.730-0385.420 | Y=0568.970-0580.210 | đến Giáp ranh xã Xuân Bắc có hiện trạng là đường nhựa, bê
P=0701 | X=0115.730-0175.890 | Y=0580.250-0591.490 | tông xi măng:
P=0701 | X=0097.010-0347.280 | Y=0597.010-0609.010 | 27 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=0701 | X=0408.620-0425.260 | Y=0597.010-0606.330 | 500
