TABLE=087 | AREA=Xã Hưng Phước | SECTION=non-agricultural | SEGMENTS=1
P=2114 | X=0413.660-0438.710 | Y=0650.550-0659.870 | 1.000
P=2114 | X=0505.390-0522.030 | Y=0650.550-0659.870 | 870
P=2114 | X=0266.020-0324.600 | Y=0654.430-0665.670 | Hưng Phước
P=2114 | X=0200.950-0245.510 | Y=0674.310-0683.630 | Hết trụ sở
P=2114 | X=0266.020-0342.210 | Y=0680.070-0689.390 | Cửa khẩu Hoàng
P=2114 | X=0093.380-0176.690 | Y=0683.950-0695.190 | 3 Đường ĐT 759B
P=2114 | X=0200.950-0242.790 | Y=0685.830-0695.150 | UBND xã
P=2114 | X=0372.380-0389.020 | Y=0685.830-0695.150 | 940
P=2114 | X=0421.850-0438.490 | Y=0685.830-0695.150 | 650
P=2114 | X=0505.390-0522.030 | Y=0685.830-0695.150 | 560
P=2114 | X=0266.020-0286.740 | Y=0691.590-0700.910 | Diệu
P=2114 | X=0200.950-0259.540 | Y=0695.470-0706.710 | Hưng Phước
P=2115 | X=0102.770-0185.680 | Y=0078.740-0089.980 | Đường Quy hoạch
P=2115 | X=0093.380-0189.690 | Y=0092.140-0101.460 | 4 trung tâm UBND xã
P=2115 | X=0200.950-0251.220 | Y=0092.140-0101.460 | Toàn tuyến
P=2115 | X=0372.380-0389.020 | Y=0092.140-0101.460 | 850
P=2115 | X=0421.850-0438.490 | Y=0092.140-0101.460 | 600
P=2115 | X=0505.390-0522.030 | Y=0092.140-0101.460 | 510
P=2115 | X=0102.770-0181.250 | Y=0101.780-0113.020 | Phước Thiện (cũ)
P=2115 | X=0102.770-0183.980 | Y=0119.810-0131.050 | Đường giao thông
P=2115 | X=0102.770-0198.470 | Y=0131.330-0142.570 | đấu nối từ Đường ĐT
P=2115 | X=0102.770-0192.090 | Y=0144.730-0154.050 | 759B vào 200m (trừ
P=2115 | X=0093.380-0098.980 | Y=0150.490-0159.810 | 5
P=2115 | X=0200.950-0251.220 | Y=0150.490-0159.810 | Toàn tuyến
P=2115 | X=0372.380-0389.020 | Y=0150.490-0159.810 | 430
P=2115 | X=0421.850-0438.490 | Y=0150.490-0159.810 | 300
P=2115 | X=0505.390-0522.030 | Y=0150.490-0159.810 | 260
P=2115 | X=0102.770-0198.160 | Y=0154.370-0165.610 | các đoạn đã quy định
P=2115 | X=0102.770-0188.550 | Y=0165.650-0176.890 | giá đất cụ thể trong
P=2115 | X=0102.770-0157.480 | Y=0179.050-0188.370 | phụ lục này)
P=2115 | X=0266.020-0342.900 | Y=0195.170-0206.410 | Hết ranh nhà văn
P=2115 | X=0266.020-0344.590 | Y=0206.710-0217.950 | hóa ấp Tân Hưng
P=2115 | X=0102.770-0248.870 | Y=0218.230-0229.470 | Đường nhựa ấp Tân Đường ĐT
P=2115 | X=0266.020-0345.410 | Y=0218.230-0229.470 | (Tờ bản đồ số 62,
P=2115 | X=0093.380-0098.980 | Y=0225.870-0235.190 | 6
P=2115 | X=0372.380-0389.020 | Y=0225.870-0235.190 | 600
P=2115 | X=0421.850-0438.490 | Y=0225.870-0235.190 | 420
P=2115 | X=0505.390-0522.030 | Y=0225.870-0235.190 | 360
P=2115 | X=0102.770-0127.810 | Y=0229.750-0240.990 | Hưng
P=2115 | X=0266.020-0344.610 | Y=0229.750-0240.990 | thửa đất số 9 đến
P=2115 | X=0200.950-0224.230 | Y=0231.630-0240.950 | 759B
P=2115 | X=0266.020-0351.140 | Y=0241.270-0252.510 | thửa đất số 106, tờ
P=2115 | X=0266.020-0327.000 | Y=0252.790-0264.030 | bản đồ số 63)
P=2115 | X=0266.020-0358.030 | Y=0270.790-0282.030 | Ngã ba Nhà văn hóa
P=2115 | X=0266.020-0343.940 | Y=0282.340-0293.580 | ấp Tân Hưng (Tờ
P=2115 | X=0102.770-0179.650 | Y=0288.100-0299.340 | Đường nhựa vào
P=2115 | X=0200.950-0248.870 | Y=0293.860-0305.100 | Đường ĐT
P=2115 | X=0266.020-0350.120 | Y=0293.860-0305.100 | bản đồ số 61, thửa
P=2115 | X=0093.380-0183.030 | Y=0299.620-0310.860 | 7 trạm y tế (đối diện
P=2115 | X=0372.380-0389.020 | Y=0301.500-0310.820 | 510
P=2115 | X=0421.850-0438.490 | Y=0301.500-0310.820 | 360
P=2115 | X=0505.390-0522.030 | Y=0301.500-0310.820 | 310
P=2115 | X=0266.020-0358.520 | Y=0305.380-0316.620 | đất số 19 đến tờ bản
P=2115 | X=0200.950-0224.230 | Y=0307.260-0316.580 | 759B
P=2115 | X=0102.770-0176.690 | Y=0311.140-0322.380 | Cổng chào ấp 6)
P=2115 | X=0266.020-0360.700 | Y=0316.900-0328.140 | đồ số 48, thửa đất số
P=2115 | X=0266.020-0285.940 | Y=0330.060-0339.380 | 771)
P=2115 | X=0266.020-0334.520 | Y=0346.180-0357.420 | Vòng ra chợ cũ
P=2115 | X=0266.020-0357.860 | Y=0357.700-0368.940 | (Thửa đất số 104, tờ
P=2115 | X=0102.770-0186.870 | Y=0363.460-0374.700 | Đường vào trường
P=2115 | X=0200.950-0248.870 | Y=0363.460-0374.700 | Đường ĐT
P=2115 | X=0266.020-0343.160 | Y=0369.240-0380.480 | bản đồ số 66 đến
P=2115 | X=0093.380-0098.980 | Y=0371.120-0380.440 | 8
P=2115 | X=0372.380-0389.020 | Y=0371.120-0380.440 | 510
P=2115 | X=0421.850-0438.490 | Y=0371.120-0380.440 | 360
P=2115 | X=0505.390-0522.030 | Y=0371.120-0380.440 | 310
P=2115 | X=0102.770-0132.360 | Y=0375.000-0386.240 | học cũ
P=2115 | X=0200.950-0224.230 | Y=0376.880-0386.200 | 759B
P=2115 | X=0266.020-0345.610 | Y=0380.760-0392.000 | thửa đất số 45, tờ
P=2115 | X=0266.020-0327.000 | Y=0392.280-0403.520 | bản đồ số 62)
P=2115 | X=0266.020-0331.630 | Y=0412.160-0421.480 | Ngã ba nhà bà
P=2115 | X=0102.770-0248.870 | Y=0421.800-0433.040 | Đường vào nhà văn Đường ĐT
P=2115 | X=0266.020-0349.890 | Y=0421.800-0433.040 | Hương (Tờ bản đồ
P=2115 | X=0093.380-0098.980 | Y=0429.440-0438.760 | 9
P=2115 | X=0372.380-0389.020 | Y=0429.440-0438.760 | 510
P=2115 | X=0421.850-0438.490 | Y=0429.440-0438.760 | 360
P=2115 | X=0505.390-0522.030 | Y=0429.440-0438.760 | 310
P=2115 | X=0102.770-0182.080 | Y=0433.320-0444.560 | hóa ấp Tân Trạch
P=2115 | X=0266.020-0360.680 | Y=0433.320-0444.560 | số 66, thửa đất số 16
P=2115 | X=0200.950-0224.230 | Y=0435.200-0444.520 | 759B
P=2115 | X=0266.020-0353.400 | Y=0444.840-0456.080 | đến thửa đất số 76)
P=2115 | X=0266.020-0338.360 | Y=0462.860-0474.100 | Nhà Văn hóa ấp
P=2115 | X=0266.020-0357.480 | Y=0474.380-0485.620 | Điện Ảnh (Đập M16)
P=2115 | X=0102.770-0248.870 | Y=0485.900-0497.140 | Đường nhựa ấp Điện Đường ĐT
P=2115 | X=0266.020-0350.930 | Y=0485.900-0497.140 | (Tờ bản đồ số 481,
P=2115 | X=0090.500-0101.620 | Y=0493.540-0502.860 | 10
P=2115 | X=0372.380-0389.020 | Y=0493.540-0502.860 | 510
P=2115 | X=0421.850-0438.490 | Y=0493.540-0502.860 | 360
P=2115 | X=0505.390-0522.030 | Y=0493.540-0502.860 | 310
P=2115 | X=0102.770-0120.610 | Y=0497.420-0508.660 | Ảnh
P=2115 | X=0266.020-0350.120 | Y=0497.420-0508.660 | thửa đất số 16 đến
P=2115 | X=0200.950-0224.230 | Y=0499.300-0508.620 | 759B
P=2115 | X=0266.020-0354.500 | Y=0508.940-0520.180 | Thửa đất số 119, tờ
P=2115 | X=0266.020-0327.000 | Y=0520.220-0531.460 | bản đồ số 49)
P=2115 | X=0266.020-0342.930 | Y=0540.130-0549.450 | Ban quản lý rừng
P=2115 | X=0266.020-0343.880 | Y=0549.770-0561.010 | phòng hộ Bù Đốp
P=2115 | X=0102.770-0248.870 | Y=0555.530-0566.770 | Đường DH07 (đường Đường ĐT
P=2115 | X=0266.020-0345.410 | Y=0561.290-0572.530 | (Tờ bản đồ số 39,
P=2115 | X=0090.500-0101.620 | Y=0563.170-0572.490 | 11
P=2115 | X=0372.380-0389.020 | Y=0563.170-0572.490 | 510
P=2115 | X=0421.850-0438.490 | Y=0563.170-0572.490 | 360
P=2115 | X=0505.390-0522.030 | Y=0563.170-0572.490 | 310
P=2115 | X=0102.770-0175.740 | Y=0567.050-0578.290 | vào ấp Tân Lập)
P=2115 | X=0200.950-0224.230 | Y=0568.930-0578.250 | 759B
P=2115 | X=0266.020-0350.120 | Y=0572.810-0584.050 | thửa đất số 22 đến
P=2115 | X=0266.020-0328.440 | Y=0584.330-0595.570 | thửa đất số 7)
P=2115 | X=0102.770-0177.980 | Y=0602.330-0613.570 | Đường vào chùa
P=2115 | X=0266.020-0351.320 | Y=0602.330-0613.570 | Chùa Phước Thiện
P=2115 | X=0102.770-0182.310 | Y=0613.850-0625.090 | Phước Thiện (Đối
P=2115 | X=0200.950-0248.870 | Y=0613.850-0625.090 | Đường ĐT
P=2115 | X=0266.020-0345.410 | Y=0613.850-0625.090 | (Tờ bản đồ số 44,
P=2115 | X=0090.500-0101.620 | Y=0621.510-0630.830 | 12
P=2115 | X=0372.380-0389.020 | Y=0621.510-0630.830 | 430
P=2115 | X=0421.850-0438.490 | Y=0621.510-0630.830 | 300
P=2115 | X=0505.390-0522.030 | Y=0621.510-0630.830 | 260
P=2115 | X=0102.770-0171.960 | Y=0625.390-0636.630 | diện ấp 4 Hưng
P=2115 | X=0266.020-0355.640 | Y=0625.390-0636.630 | thửa đất số 101 đến
P=2115 | X=0200.950-0224.230 | Y=0627.270-0636.590 | 759B
P=2115 | X=0102.770-0136.850 | Y=0636.910-0648.150 | Phước)
P=2115 | X=0266.020-0339.480 | Y=0636.910-0648.150 | thửa đất số 117)
P=2115 | X=0266.020-0357.810 | Y=0654.910-0666.150 | Cầu suối (Tờ bản đồ
P=2115 | X=0200.950-0248.870 | Y=0660.670-0671.910 | Đường ĐT
P=2115 | X=0090.500-0193.350 | Y=0666.430-0677.670 | 13 Đường vào cầu suối
P=2115 | X=0266.020-0360.680 | Y=0666.430-0677.670 | số 41, thửa đất số 66
P=2115 | X=0372.380-0389.020 | Y=0668.310-0677.630 | 510
P=2115 | X=0421.850-0438.490 | Y=0668.310-0677.630 | 360
P=2115 | X=0505.390-0522.030 | Y=0668.310-0677.630 | 310
P=2115 | X=0200.950-0224.230 | Y=0674.070-0683.390 | 759B
P=2115 | X=0266.020-0353.400 | Y=0677.950-0689.190 | đến thửa đất số 67)
P=2115 | X=0200.950-0248.870 | Y=0695.950-0707.190 | Đường ĐT
P=2115 | X=0266.020-0357.800 | Y=0695.950-0707.190 | Hết ranh thửa đất số
P=2115 | X=0090.500-0160.690 | Y=0701.730-0712.970 | 14 Đường nhựa
P=2115 | X=0372.380-0389.020 | Y=0703.620-0712.940 | 770
P=2115 | X=0421.850-0438.490 | Y=0703.620-0712.940 | 540
P=2115 | X=0505.390-0522.030 | Y=0703.620-0712.940 | 460
P=2115 | X=0200.950-0352.760 | Y=0707.490-0718.730 | 759B (ngã ba 85, tờ bản đồ số 22
P=2116 | X=0200.950-0262.900 | Y=0074.620-0083.940 | hạt Kiểm lâm)
P=2116 | X=0200.950-0262.990 | Y=0092.620-0101.940 | Hết ranh thửa
P=2116 | X=0266.020-0348.970 | Y=0096.500-0107.740 | Thửa đất số 78, tờ
P=2116 | X=0090.500-0160.690 | Y=0102.260-0113.500 | 15 Đường nhựa
P=2116 | X=0200.950-0257.030 | Y=0102.260-0113.500 | đất số 85, tờ
P=2116 | X=0372.380-0389.020 | Y=0104.140-0113.460 | 600
P=2116 | X=0421.850-0438.490 | Y=0104.140-0113.460 | 420
P=2116 | X=0505.390-0522.030 | Y=0104.140-0113.460 | 360
P=2116 | X=0266.020-0323.720 | Y=0108.020-0119.260 | bản đồ số 13
P=2116 | X=0200.950-0258.660 | Y=0113.780-0125.020 | bản đồ số 22
P=2116 | X=0200.950-0255.060 | Y=0131.810-0143.050 | Thửa đất số
P=2116 | X=0266.020-0354.500 | Y=0137.570-0148.810 | Thửa đất số 230, tờ
P=2116 | X=0090.500-0160.690 | Y=0143.330-0154.570 | 16 Đường nhựa
P=2116 | X=0200.950-0260.590 | Y=0143.330-0154.570 | 78, tờ bản đồ
P=2116 | X=0372.380-0389.020 | Y=0145.210-0154.530 | 510
P=2116 | X=0421.850-0438.490 | Y=0145.210-0154.530 | 360
P=2116 | X=0502.750-0522.110 | Y=0145.210-0154.530 | 310.
P=2116 | X=0266.020-0318.200 | Y=0149.090-0160.330 | bản đồ số 8
P=2116 | X=0200.950-0225.270 | Y=0156.730-0166.050 | số 13
P=2116 | X=0266.020-0350.130 | Y=0172.850-0184.090 | Ngã ba đường vào
P=2116 | X=0102.770-0189.190 | Y=0178.610-0189.850 | Đường nhựa ấp 5 -
P=2116 | X=0200.950-0248.870 | Y=0178.610-0189.850 | Đường ĐT
P=2116 | X=0266.020-0357.320 | Y=0184.370-0195.610 | điểm lẻ Trường Tiểu
P=2116 | X=0090.500-0101.620 | Y=0186.250-0195.570 | 17
P=2116 | X=0372.380-0389.020 | Y=0186.250-0195.570 | 500
P=2116 | X=0421.850-0438.490 | Y=0186.250-0195.570 | 350
P=2116 | X=0505.390-0522.030 | Y=0186.250-0195.570 | 300
P=2116 | X=0102.770-0155.650 | Y=0190.130-0201.370 | Phước Tiến
P=2116 | X=0200.950-0224.230 | Y=0192.010-0201.330 | 759B
P=2116 | X=0266.020-0351.800 | Y=0195.650-0206.890 | học ấp Phước Tiến
P=2116 | X=0200.950-0233.200 | Y=0215.550-0224.870 | Ngã ba
P=2116 | X=0200.950-0250.000 | Y=0225.190-0236.430 | đường vào
P=2116 | X=0102.770-0189.190 | Y=0236.710-0247.950 | Đường nhựa ấp 5 -
P=2116 | X=0200.950-0233.470 | Y=0236.710-0247.950 | điểm lẻ
P=2116 | X=0090.500-0101.620 | Y=0244.350-0253.670 | 18
P=2116 | X=0266.020-0309.090 | Y=0244.350-0253.670 | Hết tuyến
P=2116 | X=0372.380-0389.020 | Y=0244.350-0253.670 | 430
P=2116 | X=0421.850-0438.490 | Y=0244.350-0253.670 | 300
P=2116 | X=0505.390-0522.030 | Y=0244.350-0253.670 | 260
P=2116 | X=0102.770-0155.650 | Y=0248.230-0259.470 | Phước Tiến
P=2116 | X=0200.950-0257.230 | Y=0248.230-0259.470 | Trường Tiểu
P=2116 | X=0200.950-0264.580 | Y=0259.750-0270.990 | học ấp Phước
P=2116 | X=0200.950-0220.710 | Y=0273.150-0282.470 | Tiến
P=2116 | X=0102.770-0189.190 | Y=0289.300-0300.540 | Đường nhựa ấp 4 -
P=2116 | X=0200.950-0248.870 | Y=0289.300-0300.540 | Đường ĐT
P=2116 | X=0266.020-0360.570 | Y=0295.060-0306.300 | Nghĩa địa ấp Bù Tam
P=2116 | X=0090.500-0101.620 | Y=0296.940-0306.260 | 19
P=2116 | X=0372.380-0389.020 | Y=0296.940-0306.260 | 430
P=2116 | X=0421.850-0438.490 | Y=0296.940-0306.260 | 300
P=2116 | X=0505.390-0522.030 | Y=0296.940-0306.260 | 260
P=2116 | X=0102.770-0137.790 | Y=0302.700-0312.020 | Bù Tam
P=2116 | X=0200.950-0224.230 | Y=0302.700-0312.020 | 759B
P=2116 | X=0200.950-0248.870 | Y=0318.820-0330.060 | Đường ĐT
P=2116 | X=0266.020-0355.840 | Y=0320.700-0330.020 | Hết ranh Công ty La
P=2116 | X=0090.500-0183.030 | Y=0324.580-0335.820 | 20 Đường nhựa ấp 3
P=2116 | X=0372.380-0389.020 | Y=0326.460-0335.780 | 430
P=2116 | X=0421.850-0438.490 | Y=0326.460-0335.780 | 300
P=2116 | X=0505.390-0522.030 | Y=0326.460-0335.780 | 260
P=2116 | X=0200.950-0224.230 | Y=0332.220-0341.540 | 759B
P=2116 | X=0266.020-0278.820 | Y=0332.220-0341.540 | Ra
P=2116 | X=0200.950-0248.870 | Y=0348.340-0359.580 | Đường ĐT
P=2116 | X=0266.020-0351.650 | Y=0348.340-0359.580 | Hết thửa đất số 17,
P=2116 | X=0090.500-0175.830 | Y=0354.100-0365.340 | 21 Đường vào ấp 6
P=2116 | X=0372.380-0389.020 | Y=0355.980-0365.300 | 500
P=2116 | X=0421.850-0438.490 | Y=0355.980-0365.300 | 350
P=2116 | X=0505.390-0522.030 | Y=0355.980-0365.300 | 300
P=2116 | X=0266.020-0358.280 | Y=0359.860-0371.100 | tờ bản đồ số 30 ấp 6
P=2116 | X=0200.950-0224.230 | Y=0361.740-0371.060 | 759B
P=2116 | X=0200.950-0248.870 | Y=0377.880-0389.120 | Đường ĐT
P=2116 | X=0090.500-0175.830 | Y=0389.400-0400.640 | 22 Đường vào ấp 6
P=2116 | X=0200.950-0309.090 | Y=0391.280-0400.600 | 759B (Cổng Hết tuyến
P=2116 | X=0372.380-0389.020 | Y=0391.280-0400.600 | 430
P=2116 | X=0421.850-0438.490 | Y=0391.280-0400.600 | 300
P=2116 | X=0505.390-0522.030 | Y=0391.280-0400.600 | 260
P=2116 | X=0200.950-0264.570 | Y=0400.920-0412.160 | chào văn hóa)
P=2116 | X=0102.770-0197.270 | Y=0418.920-0430.160 | Các tuyến đường đất
P=2116 | X=0090.500-0101.620 | Y=0426.560-0435.880 | 23
P=2116 | X=0200.950-0251.220 | Y=0426.560-0435.880 | Toàn tuyến
P=2116 | X=0372.380-0389.020 | Y=0426.560-0435.880 | 260
P=2116 | X=0421.850-0438.490 | Y=0426.560-0435.880 | 180
P=2116 | X=0505.390-0522.030 | Y=0426.560-0435.880 | 150
P=2116 | X=0102.770-0131.650 | Y=0432.080-0441.400 | còn lại
