TABLE=041 | AREA=Xã Gia Kiệm | SECTION=non-agricultural | SEGMENTS=1
P=1419 | X=0110.930-0387.810 | Y=0171.170-0182.410 | ra Đường song hành phía Đông Quốc lộ 20 đoạn từ Giáp ranh
P=1419 | X=0110.930-0380.630 | Y=0182.690-0193.930 | xã Gia Kiệm đến Đường Lạc Sơn - Xuân Thiện có hiện trạng
P=1419 | X=0097.490-0257.260 | Y=0194.210-0205.650 | 5 là đường nhựa, bê tông xi măng:
P=1419 | X=0415.580-0432.220 | Y=0196.330-0205.650 | 990
P=1419 | X=0462.650-0479.290 | Y=0196.330-0205.650 | 690
P=1419 | X=0505.390-0522.030 | Y=0196.330-0205.650 | 590
P=1419 | X=0110.930-0342.020 | Y=0211.750-0222.990 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1419 | X=0110.930-0388.120 | Y=0229.270-0240.510 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=1419 | X=0110.930-0384.440 | Y=0247.030-0258.270 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=1419 | X=0110.930-0387.810 | Y=0258.550-0269.790 | ra Đường song hành phía Đông Quốc lộ 20 đoạn từ Giáp ranh
P=1419 | X=0110.930-0380.630 | Y=0270.070-0281.310 | xã Gia Kiệm đến Đường Lạc Sơn - Xuân Thiện có hiện trạng
P=1419 | X=0110.930-0257.260 | Y=0281.620-0292.860 | là đường nhựa, bê tông xi măng:
P=1419 | X=0097.490-0342.480 | Y=0298.140-0310.380 | 6 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1419 | X=0415.580-0432.220 | Y=0298.140-0307.460 | 750
P=1419 | X=0462.650-0479.290 | Y=0298.140-0307.460 | 530
P=1419 | X=0505.390-0522.030 | Y=0298.140-0307.460 | 450
P=1419 | X=0110.930-0364.240 | Y=0316.660-0327.900 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=1419 | X=0110.930-0205.880 | Y=0327.940-0339.180 | >500m đến ≤1.000m.
P=1419 | X=0110.930-0334.100 | Y=0345.460-0356.700 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1419 | X=0110.930-0384.440 | Y=0363.220-0374.460 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=1419 | X=0110.930-0387.810 | Y=0374.760-0386.000 | ra Đường song hành phía Đông Quốc lộ 20 đoạn từ Giáp ranh
P=1419 | X=0110.930-0380.630 | Y=0386.280-0397.520 | xã Gia Kiệm đến Đường Lạc Sơn - Xuân Thiện có hiện trạng
P=1419 | X=0110.930-0257.260 | Y=0397.800-0409.040 | là đường nhựa, bê tông xi măng:
P=1419 | X=0097.490-0103.090 | Y=0405.680-0415.000 | 7
P=1419 | X=0415.580-0432.220 | Y=0405.680-0415.000 | 510
P=1419 | X=0462.650-0479.290 | Y=0405.680-0415.000 | 360
P=1419 | X=0505.390-0522.030 | Y=0405.680-0415.000 | 310
P=1419 | X=0110.930-0352.040 | Y=0415.320-0426.560 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=1419 | X=0110.930-0153.070 | Y=0428.720-0438.040 | >1.000m.
P=1419 | X=0110.930-0334.570 | Y=0444.360-0455.600 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1419 | X=0110.930-0189.430 | Y=0462.140-0473.380 | Đường Lạc Sơn -
P=1419 | X=0097.490-0103.090 | Y=0469.780-0479.100 | 8
P=1419 | X=0215.110-0263.700 | Y=0469.780-0479.100 | Quốc lộ 20
P=1419 | X=0299.880-0343.150 | Y=0469.780-0479.100 | Km2+500
P=1419 | X=0407.420-0432.470 | Y=0469.780-0479.100 | 3.700
P=1419 | X=0454.490-0479.540 | Y=0469.780-0479.100 | 2.600
P=1419 | X=0497.230-0522.280 | Y=0469.780-0479.100 | 2.200
P=1419 | X=0110.930-0162.140 | Y=0475.540-0484.860 | Xuân Thiện
P=1419 | X=0110.930-0378.140 | Y=0491.420-0502.660 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Lạc
P=1419 | X=0110.930-0378.710 | Y=0502.940-0514.180 | Sơn - Xuân Thiện đoạn từ Quốc lộ 20 đến Km2+500 có hiện
P=1419 | X=0110.930-0282.750 | Y=0514.220-0525.460 | trạng là đường nhựa, bê tông xi măng:
P=1419 | X=0097.490-0103.090 | Y=0522.100-0531.420 | 9
P=1419 | X=0407.420-0432.470 | Y=0522.100-0531.420 | 1.600
P=1419 | X=0454.490-0479.540 | Y=0522.100-0531.420 | 1.100
P=1419 | X=0505.390-0522.030 | Y=0522.100-0531.420 | 960
P=1419 | X=0110.930-0342.010 | Y=0531.740-0542.980 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1419 | X=0110.930-0388.120 | Y=0549.290-0560.530 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=1419 | X=0110.930-0378.140 | Y=0567.050-0578.290 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Lạc
P=1419 | X=0110.930-0378.710 | Y=0578.570-0589.810 | Sơn - Xuân Thiện đoạn từ Quốc lộ 20 đến Km2+500 có hiện
P=1419 | X=0110.930-0282.710 | Y=0590.090-0601.330 | trạng là đường nhựa, bê tông xi măng:
P=1419 | X=0094.820-0342.480 | Y=0607.610-0621.690 | 10 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1419 | X=0407.420-0432.470 | Y=0612.370-0621.690 | 1.200
P=1419 | X=0462.650-0479.290 | Y=0612.370-0621.690 | 840
P=1419 | X=0505.390-0522.030 | Y=0612.370-0621.690 | 720
P=1419 | X=0110.930-0364.240 | Y=0625.150-0636.390 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=1419 | X=0110.930-0205.880 | Y=0636.670-0647.910 | >500m đến ≤1.000m.
P=1419 | X=0110.930-0334.100 | Y=0654.190-0665.430 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1419 | X=0110.930-0378.140 | Y=0671.950-0683.190 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Lạc
P=1419 | X=0094.820-0378.710 | Y=0683.470-0694.710 | 11 Sơn - Xuân Thiện đoạn từ Quốc lộ 20 đến Km2+500 có hiện
P=1419 | X=0415.580-0432.220 | Y=0685.350-0694.670 | 820
P=1419 | X=0462.650-0479.290 | Y=0685.350-0694.670 | 570
P=1419 | X=0505.390-0522.030 | Y=0685.350-0694.670 | 490
P=1419 | X=0110.930-0282.710 | Y=0694.750-0705.990 | trạng là đường nhựa, bê tông xi măng:
P=1420 | X=0110.930-0352.040 | Y=0078.500-0089.740 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=1420 | X=0110.930-0153.070 | Y=0091.900-0101.220 | >1.000m.
P=1420 | X=0110.930-0334.570 | Y=0107.540-0118.780 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1420 | X=0110.930-0384.440 | Y=0125.330-0136.570 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=1420 | X=0110.930-0362.620 | Y=0136.850-0148.090 | ra Đường Lạc Sơn - Xuân Thiện đoạn từ Quốc lộ 20 đến
P=1420 | X=0110.930-0363.620 | Y=0148.370-0159.610 | Km2+500 có hiện trạng là đường nhựa, bê tông xi măng:
P=1420 | X=0094.820-0105.940 | Y=0156.250-0165.570 | 12
P=1420 | X=0407.420-0432.490 | Y=0156.250-0165.570 | 1.400
P=1420 | X=0462.650-0479.290 | Y=0156.250-0165.570 | 980
P=1420 | X=0505.390-0522.030 | Y=0156.250-0165.570 | 840
P=1420 | X=0110.930-0342.010 | Y=0165.650-0176.890 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1420 | X=0110.930-0388.120 | Y=0183.170-0194.410 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=1420 | X=0110.930-0384.440 | Y=0200.950-0212.190 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=1420 | X=0110.930-0362.620 | Y=0212.470-0223.710 | ra Đường Lạc Sơn - Xuân Thiện đoạn từ Quốc lộ 20 đến
P=1420 | X=0110.930-0363.620 | Y=0223.990-0235.230 | Km2+500 có hiện trạng là đường nhựa, bê tông xi măng:
P=1420 | X=0094.820-0342.480 | Y=0241.510-0255.830 | 13 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1420 | X=0407.420-0432.470 | Y=0246.510-0255.830 | 1.100
P=1420 | X=0462.650-0479.290 | Y=0246.510-0255.830 | 770
P=1420 | X=0505.390-0522.030 | Y=0246.510-0255.830 | 660
P=1420 | X=0110.930-0364.240 | Y=0259.030-0270.270 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=1420 | X=0110.930-0205.880 | Y=0270.550-0281.790 | >500m đến ≤1.000m.
P=1420 | X=0110.930-0334.100 | Y=0288.100-0299.340 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1420 | X=0110.930-0384.440 | Y=0305.860-0317.100 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=1420 | X=0110.930-0362.620 | Y=0317.380-0328.620 | ra Đường Lạc Sơn - Xuân Thiện đoạn từ Quốc lộ 20 đến
P=1420 | X=0110.930-0363.620 | Y=0328.900-0340.140 | Km2+500 có hiện trạng là đường nhựa, bê tông xi măng:
P=1420 | X=0094.820-0105.940 | Y=0342.540-0351.860 | 14
P=1420 | X=0415.580-0432.220 | Y=0342.540-0351.860 | 740
P=1420 | X=0462.650-0479.290 | Y=0342.540-0351.860 | 520
P=1420 | X=0505.390-0522.030 | Y=0342.540-0351.860 | 440
P=1420 | X=0110.930-0352.040 | Y=0346.420-0357.660 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=1420 | X=0110.930-0153.070 | Y=0359.580-0368.900 | >1.000m.
P=1420 | X=0110.930-0334.570 | Y=0375.240-0386.480 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1420 | X=0110.930-0189.430 | Y=0393.000-0404.240 | Đường Lạc Sơn -
P=1420 | X=0299.880-0382.300 | Y=0393.000-0404.240 | Giáp ranh phường
P=1420 | X=0094.820-0105.940 | Y=0400.640-0409.960 | 15
P=1420 | X=0215.110-0258.380 | Y=0400.640-0409.960 | Km2+500
P=1420 | X=0407.420-0432.470 | Y=0400.640-0409.960 | 2.400
P=1420 | X=0454.490-0479.540 | Y=0400.640-0409.960 | 1.700
P=1420 | X=0497.230-0522.280 | Y=0400.640-0409.960 | 1.400
P=1420 | X=0110.930-0162.140 | Y=0406.400-0415.720 | Xuân Thiện
P=1420 | X=0299.880-0339.480 | Y=0406.400-0415.720 | Bình Lộc
P=1420 | X=0110.930-0378.140 | Y=0422.280-0433.520 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Lạc
P=1420 | X=0110.930-0377.510 | Y=0433.800-0445.040 | Sơn - Xuân Thiện đoạn từ Km2+500 đến Giáp ranh phường
P=1420 | X=0110.930-0360.020 | Y=0445.320-0456.560 | Bình Lộc có hiện trạng là đường nhựa, bê tông xi măng:
P=1420 | X=0094.820-0105.940 | Y=0453.220-0462.540 | 16
P=1420 | X=0407.420-0432.470 | Y=0453.220-0462.540 | 1.200
P=1420 | X=0462.650-0479.290 | Y=0453.220-0462.540 | 840
P=1420 | X=0505.390-0522.030 | Y=0453.220-0462.540 | 720
P=1420 | X=0110.930-0342.010 | Y=0462.860-0474.100 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1420 | X=0110.930-0388.120 | Y=0480.380-0491.620 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=1420 | X=0110.930-0378.140 | Y=0498.140-0509.380 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Lạc
P=1420 | X=0110.930-0377.510 | Y=0509.660-0520.900 | Sơn - Xuân Thiện đoạn từ Km2+500 đến Giáp ranh phường
P=1420 | X=0110.930-0360.020 | Y=0521.180-0532.420 | Bình Lộc có hiện trạng là đường nhựa, bê tông xi măng:
P=1420 | X=0094.820-0342.480 | Y=0538.490-0552.810 | 17 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1420 | X=0415.580-0432.220 | Y=0543.490-0552.810 | 880
P=1420 | X=0462.650-0479.290 | Y=0543.490-0552.810 | 620
P=1420 | X=0505.390-0522.030 | Y=0543.490-0552.810 | 530
P=1420 | X=0110.930-0364.240 | Y=0556.010-0567.250 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=1420 | X=0110.930-0205.880 | Y=0567.530-0578.770 | >500m đến ≤1.000m.
P=1420 | X=0110.930-0334.100 | Y=0585.050-0596.290 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1420 | X=0110.930-0378.140 | Y=0602.810-0614.050 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Lạc
P=1420 | X=0110.930-0377.510 | Y=0614.330-0625.570 | Sơn - Xuân Thiện đoạn từ Km2+500 đến Giáp ranh phường
P=1420 | X=0110.930-0360.030 | Y=0625.870-0637.110 | Bình Lộc có hiện trạng là đường nhựa, bê tông xi măng:
P=1420 | X=0094.820-0105.940 | Y=0639.510-0648.830 | 18
P=1420 | X=0415.580-0432.220 | Y=0639.510-0648.830 | 610
P=1420 | X=0462.650-0479.290 | Y=0639.510-0648.830 | 430
P=1420 | X=0505.390-0522.030 | Y=0639.510-0648.830 | 370
P=1420 | X=0110.930-0352.040 | Y=0643.390-0654.630 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=1420 | X=0110.930-0153.070 | Y=0656.790-0666.110 | >1.000m.
P=1420 | X=0110.930-0334.570 | Y=0672.430-0683.670 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1420 | X=0110.930-0384.440 | Y=0690.190-0701.430 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=1420 | X=0094.820-0105.940 | Y=0697.830-0707.150 | 19
P=1420 | X=0407.420-0432.470 | Y=0697.830-0707.150 | 1.100
P=1420 | X=0462.650-0479.290 | Y=0697.830-0707.150 | 770
P=1420 | X=0505.390-0522.030 | Y=0697.830-0707.150 | 660
P=1420 | X=0110.930-0381.320 | Y=0701.730-0712.970 | ra Đường Lạc Sơn - Xuân Thiện đoạn từ Km2+500 đến Giáp
P=1421 | X=0110.930-0380.590 | Y=0072.500-0083.740 | ranh phường Bình Lộc có hiện trạng là đường nhựa, bê tông
P=1421 | X=0110.930-0148.760 | Y=0084.020-0095.260 | xi măng:
P=1421 | X=0110.930-0342.010 | Y=0101.540-0112.780 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1421 | X=0110.930-0388.120 | Y=0119.090-0130.330 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=1421 | X=0110.930-0384.440 | Y=0136.850-0148.090 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=1421 | X=0110.930-0381.320 | Y=0148.370-0159.610 | ra Đường Lạc Sơn - Xuân Thiện đoạn từ Km2+500 đến Giáp
P=1421 | X=0110.930-0380.590 | Y=0159.650-0170.890 | ranh phường Bình Lộc có hiện trạng là đường nhựa, bê tông
P=1421 | X=0110.930-0148.760 | Y=0171.170-0182.410 | xi măng:
P=1421 | X=0094.820-0342.480 | Y=0187.930-0199.930 | 20 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1421 | X=0415.580-0432.220 | Y=0187.930-0197.250 | 790
P=1421 | X=0462.650-0479.290 | Y=0187.930-0197.250 | 550
P=1421 | X=0505.390-0522.030 | Y=0187.930-0197.250 | 470
P=1421 | X=0110.930-0364.240 | Y=0206.230-0217.470 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=1421 | X=0110.930-0205.880 | Y=0217.750-0228.990 | >500m đến ≤1.000m.
P=1421 | X=0110.930-0334.100 | Y=0235.270-0246.510 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1421 | X=0110.930-0384.440 | Y=0253.030-0264.270 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=1421 | X=0110.930-0381.320 | Y=0264.550-0275.790 | ra Đường Lạc Sơn - Xuân Thiện đoạn từ Km2+500 đến Giáp
P=1421 | X=0110.930-0380.590 | Y=0276.070-0287.310 | ranh phường Bình Lộc có hiện trạng là đường nhựa, bê tông
P=1421 | X=0110.930-0148.760 | Y=0287.620-0298.860 | xi măng:
P=1421 | X=0094.820-0105.940 | Y=0295.500-0304.820 | 21
P=1421 | X=0415.580-0432.220 | Y=0295.500-0304.820 | 550
P=1421 | X=0462.650-0479.290 | Y=0295.500-0304.820 | 390
P=1421 | X=0505.390-0522.030 | Y=0295.500-0304.820 | 330
P=1421 | X=0110.930-0352.040 | Y=0305.140-0316.380 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=1421 | X=0110.930-0153.070 | Y=0318.540-0327.860 | >1.000m.
P=1421 | X=0110.930-0334.570 | Y=0333.940-0345.180 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1421 | X=0299.880-0387.350 | Y=0351.700-0362.940 | Giáp ngã ba đường
P=1421 | X=0215.110-0293.710 | Y=0359.340-0368.660 | Giáp ranh xã Dầu
P=1421 | X=0299.880-0376.310 | Y=0363.220-0374.460 | vào Nông trường
P=1421 | X=0094.820-0159.490 | Y=0365.100-0374.420 | 22 Quốc lộ 20
P=1421 | X=0407.420-0432.470 | Y=0365.100-0374.420 | 7.700
P=1421 | X=0454.490-0479.540 | Y=0365.100-0374.420 | 5.400
P=1421 | X=0497.230-0522.280 | Y=0365.100-0374.420 | 4.600
P=1421 | X=0215.110-0235.980 | Y=0370.880-0380.200 | Giây
P=1421 | X=0299.880-0371.660 | Y=0376.640-0385.960 | cao su Bình Lộc
P=1421 | X=0110.930-0376.060 | Y=0392.520-0403.760 | Các tuyến đường giao thông đấu nối trực tiếp ra Quốc lộ 20
P=1421 | X=0110.930-0378.690 | Y=0404.040-0415.280 | đoạn từ Giáp ranh xã Dầu Giây đến Giáp ngã ba đường vào
P=1421 | X=0110.930-0375.430 | Y=0415.560-0426.800 | Nông trường cao su Bình Lộc có hiện trạng là đường nhựa,
P=1421 | X=0094.820-0185.010 | Y=0427.080-0438.520 | 23 bê tông xi măng:
P=1421 | X=0407.420-0432.470 | Y=0429.200-0438.520 | 2.200
P=1421 | X=0454.490-0479.540 | Y=0429.200-0438.520 | 1.500
P=1421 | X=0497.230-0522.270 | Y=0429.200-0438.520 | 1.300
P=1421 | X=0110.930-0342.010 | Y=0444.600-0455.840 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1421 | X=0110.930-0388.120 | Y=0462.140-0473.380 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=1421 | X=0110.930-0376.060 | Y=0479.900-0491.140 | Các tuyến đường giao thông đấu nối trực tiếp ra Quốc lộ 20
P=1421 | X=0110.930-0378.690 | Y=0491.420-0502.660 | đoạn từ Giáp ranh xã Dầu Giây đến Giáp ngã ba đường vào
P=1421 | X=0110.930-0375.430 | Y=0502.940-0514.180 | Nông trường cao su Bình Lộc có hiện trạng là đường nhựa,
P=1421 | X=0110.930-0185.010 | Y=0514.220-0525.460 | bê tông xi măng:
P=1421 | X=0094.820-0342.480 | Y=0530.980-0542.980 | 24 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1421 | X=0407.420-0432.470 | Y=0530.980-0540.300 | 1.700
P=1421 | X=0454.490-0479.540 | Y=0530.980-0540.300 | 1.200
P=1421 | X=0497.230-0522.280 | Y=0530.980-0540.300 | 1.000
P=1421 | X=0110.930-0364.240 | Y=0549.290-0560.530 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=1421 | X=0110.930-0205.880 | Y=0560.810-0572.050 | >500m đến ≤1.000m.
P=1421 | X=0110.930-0334.100 | Y=0578.330-0589.570 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1421 | X=0110.930-0376.060 | Y=0596.090-0607.330 | Các tuyến đường giao thông đấu nối trực tiếp ra Quốc lộ 20
P=1421 | X=0110.930-0378.690 | Y=0607.610-0618.850 | đoạn từ Giáp ranh xã Dầu Giây đến Giáp ngã ba đường vào
P=1421 | X=0110.930-0375.430 | Y=0619.150-0630.390 | Nông trường cao su Bình Lộc có hiện trạng là đường nhựa,
P=1421 | X=0110.930-0185.010 | Y=0630.670-0641.910 | bê tông xi măng:
P=1421 | X=0094.820-0105.940 | Y=0638.550-0647.870 | 25
P=1421 | X=0407.420-0432.470 | Y=0638.550-0647.870 | 1.100
P=1421 | X=0462.650-0479.290 | Y=0638.550-0647.870 | 770
P=1421 | X=0505.390-0522.030 | Y=0638.550-0647.870 | 660
P=1421 | X=0110.930-0352.040 | Y=0648.190-0659.430 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=1421 | X=0110.930-0153.070 | Y=0661.590-0670.910 | >1.000m.
P=1421 | X=0110.930-0334.570 | Y=0677.230-0688.470 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1421 | X=0110.930-0384.440 | Y=0694.750-0705.990 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=1421 | X=0094.820-0105.940 | Y=0702.420-0711.740 | 26
P=1421 | X=0407.420-0432.470 | Y=0702.420-0711.740 | 2.000
P=1421 | X=0454.490-0479.540 | Y=0702.420-0711.740 | 1.400
P=1421 | X=0497.230-0522.270 | Y=0702.420-0711.740 | 1.200
P=1421 | X=0110.930-0375.560 | Y=0706.290-0717.530 | ra Quốc lộ 20 đoạn từ Giáp ranh xã Dầu Giây đến Giáp ngã
P=1422 | X=0110.930-0379.410 | Y=0072.500-0083.740 | ba đường vào Nông trường cao su Bình Lộc có hiện trạng là
P=1422 | X=0110.930-0246.700 | Y=0084.020-0095.260 | đường nhựa, bê tông xi măng:
P=1422 | X=0110.930-0342.010 | Y=0101.540-0112.780 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
