TABLE=051 | AREA=Xã Phú Lâm | SECTION=non-agricultural | SEGMENTS=1
P=1691 | X=0106.850-0392.110 | Y=0259.030-0270.270 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=1691 | X=0106.850-0402.910 | Y=0270.550-0281.790 | Quốc lộ 20 đoạn từ Giáp ranh xã Tân Phú đến Ngã tư Cây Xoài xã
P=1691 | X=0106.850-0356.410 | Y=0282.100-0293.340 | Phú Lâm có hiện trạng là đường nhựa, bê tông xi măng:
P=1691 | X=0092.900-0104.020 | Y=0289.980-0299.300 | 19
P=1691 | X=0424.970-0450.020 | Y=0289.980-0299.300 | 1.200
P=1691 | X=0469.370-0486.010 | Y=0289.980-0299.300 | 840
P=1691 | X=0505.390-0522.030 | Y=0289.980-0299.300 | 720
P=1691 | X=0106.850-0337.930 | Y=0299.620-0310.860 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1691 | X=0106.850-0384.050 | Y=0317.140-0328.380 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=1691 | X=0106.850-0392.110 | Y=0334.900-0346.140 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=1691 | X=0106.850-0402.910 | Y=0346.420-0357.660 | Quốc lộ 20 đoạn từ Giáp ranh xã Tân Phú đến Ngã tư Cây Xoài xã
P=1691 | X=0106.850-0356.410 | Y=0357.700-0368.940 | Phú Lâm có hiện trạng là đường nhựa, bê tông xi măng:
P=1691 | X=0092.900-0338.400 | Y=0375.240-0389.560 | 20 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1691 | X=0433.130-0449.770 | Y=0380.240-0389.560 | 900
P=1691 | X=0469.370-0486.010 | Y=0380.240-0389.560 | 630
P=1691 | X=0505.390-0522.030 | Y=0380.240-0389.560 | 540
P=1691 | X=0106.850-0413.270 | Y=0392.760-0404.000 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >500m đến
P=1691 | X=0106.850-0148.530 | Y=0404.280-0415.520 | ≤1.000m.
P=1691 | X=0106.850-0330.020 | Y=0421.800-0433.040 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1691 | X=0106.850-0392.110 | Y=0439.560-0450.800 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=1691 | X=0106.850-0402.940 | Y=0451.100-0462.340 | Quốc lộ 20 đoạn từ Giáp ranh xã Tân Phú đến Ngã tư Cây Xoài xã
P=1691 | X=0106.850-0356.410 | Y=0462.620-0473.860 | Phú Lâm có hiện trạng là đường nhựa, bê tông xi măng:
P=1691 | X=0092.900-0104.020 | Y=0470.500-0479.820 | 21
P=1691 | X=0433.130-0449.770 | Y=0470.500-0479.820 | 700
P=1691 | X=0469.370-0486.010 | Y=0470.500-0479.820 | 490
P=1691 | X=0505.390-0522.030 | Y=0470.500-0479.820 | 420
P=1691 | X=0106.850-0392.640 | Y=0480.140-0491.380 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >1.000m.
P=1691 | X=0106.850-0330.490 | Y=0497.660-0508.900 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1691 | X=0235.540-0309.520 | Y=0515.420-0526.660 | Ngã tư Cây Xoài
P=1691 | X=0322.200-0412.530 | Y=0515.420-0526.660 | Ngã tư Cây Dừa (xã
P=1691 | X=0092.900-0155.410 | Y=0523.060-0532.380 | 22 Quốc lộ 20
P=1691 | X=0424.970-0450.020 | Y=0523.060-0532.380 | 7.900
P=1691 | X=0461.210-0486.260 | Y=0523.060-0532.380 | 5.500
P=1691 | X=0497.230-0522.280 | Y=0523.060-0532.380 | 4.700
P=1691 | X=0235.540-0288.810 | Y=0528.820-0538.140 | xã Phú Lâm
P=1691 | X=0322.200-0365.860 | Y=0528.820-0538.140 | Phú Lâm)
P=1691 | X=0106.850-0409.370 | Y=0544.490-0555.730 | Các tuyến đường giao thông đấu nối trực tiếp ra Quốc lộ 20 đoạn từ
P=1691 | X=0106.850-0408.900 | Y=0556.010-0567.250 | Ngã tư Cây Xoài xã Phú Lâm đến Ngã tư Cây Dừa (xã Phú Lâm) có
P=1691 | X=0106.850-0300.460 | Y=0567.530-0578.770 | hiện trạng là đường nhựa, bê tông xi măng:
P=1691 | X=0092.900-0104.020 | Y=0575.410-0584.730 | 23
P=1691 | X=0424.970-0450.020 | Y=0575.410-0584.730 | 2.000
P=1691 | X=0461.210-0486.260 | Y=0575.410-0584.730 | 1.400
P=1691 | X=0497.230-0522.280 | Y=0575.410-0584.730 | 1.200
P=1691 | X=0106.850-0337.930 | Y=0585.050-0596.290 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1691 | X=0106.850-0384.020 | Y=0602.570-0613.810 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=1691 | X=0106.850-0409.370 | Y=0620.350-0631.590 | Các tuyến đường giao thông đấu nối trực tiếp ra Quốc lộ 20 đoạn từ
P=1691 | X=0106.850-0408.900 | Y=0631.870-0643.110 | Ngã tư Cây Xoài xã Phú Lâm đến Ngã tư Cây Dừa (xã Phú Lâm) có
P=1691 | X=0106.850-0300.460 | Y=0643.390-0654.630 | hiện trạng là đường nhựa, bê tông xi măng:
P=1691 | X=0092.900-0338.400 | Y=0660.910-0674.990 | 24 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1691 | X=0424.970-0450.020 | Y=0665.670-0674.990 | 1.700
P=1691 | X=0461.210-0486.260 | Y=0665.670-0674.990 | 1.200
P=1691 | X=0497.230-0522.280 | Y=0665.670-0674.990 | 1.000
P=1691 | X=0106.850-0413.270 | Y=0678.430-0689.670 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >500m đến
P=1691 | X=0106.850-0148.530 | Y=0689.950-0701.190 | ≤1.000m.
P=1691 | X=0106.850-0330.020 | Y=0707.490-0718.730 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1692 | X=0106.850-0409.370 | Y=0078.500-0089.740 | Các tuyến đường giao thông đấu nối trực tiếp ra Quốc lộ 20 đoạn từ
P=1692 | X=0106.850-0408.900 | Y=0090.020-0101.260 | Ngã tư Cây Xoài xã Phú Lâm đến Ngã tư Cây Dừa (xã Phú Lâm) có
P=1692 | X=0106.850-0300.460 | Y=0101.540-0112.780 | hiện trạng là đường nhựa, bê tông xi măng:
P=1692 | X=0092.900-0104.020 | Y=0109.420-0118.740 | 25
P=1692 | X=0424.970-0450.020 | Y=0109.420-0118.740 | 1.200
P=1692 | X=0469.370-0486.010 | Y=0109.420-0118.740 | 840
P=1692 | X=0505.390-0522.030 | Y=0109.420-0118.740 | 720
P=1692 | X=0106.850-0392.640 | Y=0119.090-0130.330 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >1.000m.
P=1692 | X=0106.850-0330.490 | Y=0136.610-0147.850 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1692 | X=0106.850-0392.110 | Y=0154.370-0165.610 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=1692 | X=0106.850-0398.980 | Y=0165.650-0176.890 | Quốc lộ 20 đoạn từ Ngã tư Cây Xoài xã Phú Lâm đến Ngã tư Cây
P=1692 | X=0106.850-0398.670 | Y=0177.170-0188.410 | Dừa (xã Phú Lâm) có hiện trạng là đường nhựa, bê tông xi măng:
P=1692 | X=0092.900-0104.020 | Y=0185.050-0194.370 | 26
P=1692 | X=0424.970-0450.020 | Y=0185.050-0194.370 | 1.800
P=1692 | X=0461.210-0486.250 | Y=0185.050-0194.370 | 1.300
P=1692 | X=0497.230-0522.280 | Y=0185.050-0194.370 | 1.100
P=1692 | X=0106.850-0337.930 | Y=0194.690-0205.930 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1692 | X=0106.850-0384.020 | Y=0212.230-0223.470 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=1692 | X=0106.850-0392.110 | Y=0229.990-0241.230 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=1692 | X=0106.850-0398.980 | Y=0241.510-0252.750 | Quốc lộ 20 đoạn từ Ngã tư Cây Xoài xã Phú Lâm đến Ngã tư Cây
P=1692 | X=0106.850-0398.670 | Y=0253.030-0264.270 | Dừa (xã Phú Lâm) có hiện trạng là đường nhựa, bê tông xi măng:
P=1692 | X=0092.900-0338.400 | Y=0270.550-0284.630 | 27 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1692 | X=0424.970-0450.020 | Y=0275.310-0284.630 | 1.500
P=1692 | X=0461.210-0486.260 | Y=0275.310-0284.630 | 1.100
P=1692 | X=0505.390-0522.030 | Y=0275.310-0284.630 | 900
