TABLE=030 | AREA=Xã Cẩm Mỹ | SECTION=non-agricultural | SEGMENTS=1
P=1091 | X=0097.730-0342.720 | Y=0326.940-0338.940 | 3 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1091 | X=0414.380-0431.020 | Y=0326.940-0336.260 | 680
P=1091 | X=0461.930-0478.570 | Y=0326.940-0336.260 | 480
P=1091 | X=0505.630-0522.270 | Y=0326.940-0336.260 | 410
P=1091 | X=0111.170-0364.480 | Y=0345.220-0356.460 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=1091 | X=0111.170-0206.160 | Y=0356.740-0367.980 | >500m đến ≤1.000m.
P=1091 | X=0111.170-0334.340 | Y=0374.280-0385.520 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1091 | X=0111.170-0378.710 | Y=0392.040-0403.280 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường tỉnh
P=1091 | X=0111.170-0369.790 | Y=0403.560-0414.800 | 765B (đường Xuân Định - Lâm San) đoạn từ Giáp ranh xã
P=1091 | X=0111.170-0389.260 | Y=0415.080-0426.320 | Xuân Định đến Cầu Bảo Bình có hiện trạng là đường nhựa, bê
P=1091 | X=0111.170-0171.330 | Y=0426.600-0437.840 | tông xi măng:
P=1091 | X=0097.730-0103.330 | Y=0434.480-0443.800 | 4
P=1091 | X=0414.380-0431.020 | Y=0434.480-0443.800 | 470
P=1091 | X=0461.930-0478.570 | Y=0434.480-0443.800 | 330
P=1091 | X=0505.630-0522.270 | Y=0434.480-0443.800 | 280
P=1091 | X=0111.170-0352.280 | Y=0444.120-0455.360 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=1091 | X=0111.170-0153.310 | Y=0457.540-0466.860 | >1.000m.
P=1091 | X=0111.170-0334.810 | Y=0473.180-0484.420 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1091 | X=0111.170-0384.680 | Y=0490.940-0502.180 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=1091 | X=0111.170-0374.810 | Y=0502.220-0513.460 | ra Đường tỉnh 765B (đường Xuân Định - Lâm San) đoạn từ
P=1091 | X=0111.170-0373.870 | Y=0513.740-0524.980 | Giáp ranh xã Xuân Định đến Cầu Bảo Bình có hiện trạng là
P=1091 | X=0097.730-0246.940 | Y=0525.260-0536.700 | 5 đường nhựa, bê tông xi măng:
P=1091 | X=0405.980-0431.030 | Y=0527.380-0536.700 | 1.100
P=1091 | X=0461.930-0478.570 | Y=0527.380-0536.700 | 770
P=1091 | X=0505.630-0522.270 | Y=0527.380-0536.700 | 660
P=1091 | X=0111.170-0342.250 | Y=0542.810-0554.050 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1091 | X=0111.170-0388.360 | Y=0560.330-0571.570 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=1091 | X=0111.170-0384.680 | Y=0578.090-0589.330 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=1091 | X=0111.170-0374.810 | Y=0589.610-0600.850 | ra Đường tỉnh 765B (đường Xuân Định - Lâm San) đoạn từ
P=1091 | X=0111.170-0373.870 | Y=0601.130-0612.370 | Giáp ranh xã Xuân Định đến Cầu Bảo Bình có hiện trạng là
P=1091 | X=0111.170-0246.940 | Y=0612.650-0623.890 | đường nhựa, bê tông xi măng:
P=1091 | X=0097.730-0342.720 | Y=0629.190-0641.430 | 6 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1091 | X=0414.380-0431.020 | Y=0629.190-0638.510 | 610
P=1091 | X=0461.930-0478.570 | Y=0629.190-0638.510 | 430
P=1091 | X=0505.630-0522.270 | Y=0629.190-0638.510 | 370
P=1091 | X=0111.170-0364.480 | Y=0647.710-0658.950 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=1091 | X=0111.170-0206.120 | Y=0659.230-0670.470 | >500m đến ≤1.000m.
P=1091 | X=0111.170-0334.340 | Y=0676.510-0687.750 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1091 | X=0111.170-0384.680 | Y=0694.270-0705.510 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=1091 | X=0097.730-0103.330 | Y=0701.940-0711.260 | 7
P=1091 | X=0414.380-0431.020 | Y=0701.940-0711.260 | 420
P=1091 | X=0461.930-0478.570 | Y=0701.940-0711.260 | 290
P=1091 | X=0505.630-0522.270 | Y=0701.940-0711.260 | 250
P=1091 | X=0111.170-0374.810 | Y=0705.810-0717.050 | ra Đường tỉnh 765B (đường Xuân Định - Lâm San) đoạn từ
P=1092 | X=0111.170-0373.870 | Y=0072.500-0083.740 | Giáp ranh xã Xuân Định đến Cầu Bảo Bình có hiện trạng là
P=1092 | X=0111.170-0246.940 | Y=0084.020-0095.260 | đường nhựa, bê tông xi măng:
P=1092 | X=0111.170-0352.280 | Y=0101.540-0112.780 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=1092 | X=0111.170-0153.310 | Y=0114.940-0124.260 | >1.000m.
P=1092 | X=0111.170-0334.810 | Y=0130.610-0141.850 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1092 | X=0111.170-0187.980 | Y=0148.370-0159.610 | Đường tỉnh 765B
P=1092 | X=0097.730-0200.230 | Y=0159.650-0170.890 | 8 (đường Xuân Định -
P=1092 | X=0221.350-0283.850 | Y=0161.530-0170.850 | Cầu Bảo Bình
P=1092 | X=0303.960-0365.420 | Y=0161.530-0170.850 | Cầu Suối Lức
P=1092 | X=0405.980-0431.030 | Y=0161.530-0170.850 | 2.100
P=1092 | X=0453.530-0478.580 | Y=0161.530-0170.850 | 1.500
P=1092 | X=0497.230-0522.280 | Y=0161.530-0170.850 | 1.300
P=1092 | X=0111.170-0154.610 | Y=0173.050-0182.370 | Lâm San)
P=1092 | X=0111.170-0378.710 | Y=0188.930-0200.170 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường tỉnh
P=1092 | X=0111.170-0374.830 | Y=0200.470-0211.710 | 765B (đường Xuân Định - Lâm San) đoạn từ Cầu Bảo Bình
P=1092 | X=0111.170-0371.000 | Y=0211.990-0223.230 | đến Cầu Suối Lức có hiện trạng là đường nhựa, bê tông xi
P=1092 | X=0097.730-0139.170 | Y=0223.510-0234.950 | 9 măng:
P=1092 | X=0405.980-0431.030 | Y=0225.630-0234.950 | 1.100
P=1092 | X=0461.930-0478.570 | Y=0225.630-0234.950 | 770
P=1092 | X=0505.630-0522.270 | Y=0225.630-0234.950 | 660
P=1092 | X=0111.170-0342.250 | Y=0241.030-0252.270 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1092 | X=0111.170-0388.360 | Y=0258.550-0269.790 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=1092 | X=0111.170-0378.710 | Y=0276.310-0287.550 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường tỉnh
P=1092 | X=0111.170-0374.830 | Y=0287.860-0299.100 | 765B (đường Xuân Định - Lâm San) đoạn từ Cầu Bảo Bình
P=1092 | X=0111.170-0371.000 | Y=0299.380-0310.620 | đến Cầu Suối Lức có hiện trạng là đường nhựa, bê tông xi
P=1092 | X=0111.170-0139.170 | Y=0310.900-0322.140 | măng:
P=1092 | X=0094.820-0342.730 | Y=0327.420-0339.660 | 10 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1092 | X=0414.380-0431.020 | Y=0327.420-0336.740 | 700
P=1092 | X=0461.930-0478.570 | Y=0327.420-0336.740 | 490
P=1092 | X=0505.630-0522.270 | Y=0327.420-0336.740 | 420
P=1092 | X=0111.170-0364.480 | Y=0345.700-0356.940 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=1092 | X=0111.170-0206.120 | Y=0357.220-0368.460 | >500m đến ≤1.000m.
P=1092 | X=0111.170-0334.340 | Y=0374.760-0386.000 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1092 | X=0111.170-0378.710 | Y=0392.520-0403.760 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường tỉnh
P=1092 | X=0111.170-0374.830 | Y=0404.040-0415.280 | 765B (đường Xuân Định - Lâm San) đoạn từ Cầu Bảo Bình
P=1092 | X=0111.170-0371.000 | Y=0415.560-0426.800 | đến Cầu Suối Lức có hiện trạng là đường nhựa, bê tông xi
P=1092 | X=0111.170-0139.170 | Y=0427.080-0438.320 | măng:
P=1092 | X=0094.820-0105.940 | Y=0434.960-0444.280 | 11
P=1092 | X=0414.380-0431.020 | Y=0434.960-0444.280 | 470
P=1092 | X=0461.930-0478.570 | Y=0434.960-0444.280 | 330
P=1092 | X=0505.630-0522.270 | Y=0434.960-0444.280 | 280
P=1092 | X=0111.170-0352.280 | Y=0444.600-0455.840 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=1092 | X=0111.170-0153.310 | Y=0458.020-0467.340 | >1.000m.
P=1092 | X=0111.170-0334.810 | Y=0473.660-0484.900 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1092 | X=0111.170-0384.680 | Y=0491.420-0502.660 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=1092 | X=0111.170-0374.810 | Y=0502.940-0514.180 | ra Đường tỉnh 765B (đường Xuân Định - Lâm San) đoạn từ
P=1092 | X=0111.170-0389.590 | Y=0514.220-0525.460 | Cầu Bảo Bình đến Cầu Suối Lức có hiện trạng là đường nhựa,
P=1092 | X=0094.820-0185.250 | Y=0525.740-0537.180 | 12 bê tông xi măng:
P=1092 | X=0414.380-0431.020 | Y=0527.860-0537.180 | 990
P=1092 | X=0461.930-0478.570 | Y=0527.860-0537.180 | 690
P=1092 | X=0505.630-0522.270 | Y=0527.860-0537.180 | 590
P=1092 | X=0111.170-0342.250 | Y=0543.290-0554.530 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1092 | X=0111.170-0388.360 | Y=0560.810-0572.050 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=1092 | X=0111.170-0384.680 | Y=0578.570-0589.810 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=1092 | X=0111.170-0374.810 | Y=0590.090-0601.330 | ra Đường tỉnh 765B (đường Xuân Định - Lâm San) đoạn từ
P=1092 | X=0111.170-0389.590 | Y=0601.610-0612.850 | Cầu Bảo Bình đến Cầu Suối Lức có hiện trạng là đường nhựa,
P=1092 | X=0111.170-0185.250 | Y=0613.130-0624.370 | bê tông xi măng:
P=1092 | X=0094.820-0342.720 | Y=0629.670-0641.910 | 13 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1092 | X=0414.380-0431.020 | Y=0629.670-0638.990 | 630
P=1092 | X=0461.930-0478.570 | Y=0629.670-0638.990 | 440
P=1092 | X=0505.630-0522.270 | Y=0629.670-0638.990 | 380
P=1092 | X=0111.170-0364.480 | Y=0648.190-0659.430 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=1092 | X=0111.170-0206.120 | Y=0659.710-0670.950 | >500m đến ≤1.000m.
P=1092 | X=0111.170-0334.340 | Y=0677.230-0688.470 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1092 | X=0111.170-0384.680 | Y=0694.750-0705.990 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=1092 | X=0094.820-0105.940 | Y=0702.420-0711.740 | 14
P=1092 | X=0414.380-0431.020 | Y=0702.420-0711.740 | 420
P=1092 | X=0461.930-0478.570 | Y=0702.420-0711.740 | 290
P=1092 | X=0505.630-0522.270 | Y=0702.420-0711.740 | 250
P=1092 | X=0111.170-0374.810 | Y=0706.290-0717.530 | ra Đường tỉnh 765B (đường Xuân Định - Lâm San) đoạn từ
P=1093 | X=0111.170-0389.590 | Y=0072.500-0083.740 | Cầu Bảo Bình đến Cầu Suối Lức có hiện trạng là đường nhựa,
P=1093 | X=0111.170-0185.250 | Y=0084.020-0095.260 | bê tông xi măng:
P=1093 | X=0111.170-0352.280 | Y=0101.540-0112.780 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=1093 | X=0111.170-0153.310 | Y=0114.940-0124.260 | >1.000m.
P=1093 | X=0111.170-0334.810 | Y=0130.610-0141.850 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1093 | X=0111.170-0187.980 | Y=0148.370-0159.610 | Đường tỉnh 765B
P=1093 | X=0303.960-0379.570 | Y=0156.010-0165.330 | Hết ranh xã Cẩm
P=1093 | X=0094.820-0200.230 | Y=0159.650-0170.890 | 15 (đường Xuân Định -
P=1093 | X=0221.350-0282.820 | Y=0161.530-0170.850 | Cầu Suối Lức
P=1093 | X=0405.980-0431.030 | Y=0161.530-0170.850 | 1.900
P=1093 | X=0453.530-0478.580 | Y=0161.530-0170.850 | 1.300
P=1093 | X=0497.230-0522.280 | Y=0161.530-0170.850 | 1.100
P=1093 | X=0303.960-0317.400 | Y=0167.290-0176.610 | Mỹ
P=1093 | X=0111.170-0154.610 | Y=0173.050-0182.370 | Lâm San)
P=1093 | X=0111.170-0378.710 | Y=0188.930-0200.170 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường tỉnh
P=1093 | X=0111.170-0373.580 | Y=0200.470-0211.710 | 765B (đường Xuân Định - Lâm San) đoạn từ Cầu Suối Lức
P=1093 | X=0111.170-0369.090 | Y=0211.990-0223.230 | đến Hết ranh xã Cẩm Mỹ có hiện trạng là đường nhựa, bê
P=1093 | X=0094.820-0171.330 | Y=0223.510-0234.950 | 16 tông xi măng:
P=1093 | X=0414.380-0431.020 | Y=0225.630-0234.950 | 940
P=1093 | X=0461.930-0478.570 | Y=0225.630-0234.950 | 660
P=1093 | X=0505.630-0522.270 | Y=0225.630-0234.950 | 560
P=1093 | X=0111.170-0342.250 | Y=0241.030-0252.270 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1093 | X=0111.170-0388.360 | Y=0258.550-0269.790 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=1093 | X=0111.170-0378.710 | Y=0276.310-0287.550 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường tỉnh
P=1093 | X=0111.170-0373.580 | Y=0287.860-0299.100 | 765B (đường Xuân Định - Lâm San) đoạn từ Cầu Suối Lức
P=1093 | X=0111.170-0369.090 | Y=0299.380-0310.620 | đến Hết ranh xã Cẩm Mỹ có hiện trạng là đường nhựa, bê
P=1093 | X=0111.170-0171.330 | Y=0310.900-0322.140 | tông xi măng:
P=1093 | X=0094.820-0342.720 | Y=0327.420-0339.660 | 17 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1093 | X=0414.380-0431.020 | Y=0327.420-0336.740 | 680
P=1093 | X=0461.930-0478.570 | Y=0327.420-0336.740 | 480
P=1093 | X=0505.630-0522.270 | Y=0327.420-0336.740 | 410
P=1093 | X=0111.170-0364.480 | Y=0345.700-0356.940 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=1093 | X=0111.170-0206.120 | Y=0357.220-0368.460 | >500m đến ≤1.000m.
P=1093 | X=0111.170-0334.340 | Y=0374.760-0386.000 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1093 | X=0111.170-0378.710 | Y=0392.520-0403.760 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường tỉnh
P=1093 | X=0111.170-0373.580 | Y=0404.040-0415.280 | 765B (đường Xuân Định - Lâm San) đoạn từ Cầu Suối Lức
P=1093 | X=0111.170-0369.090 | Y=0415.560-0426.800 | đến Hết ranh xã Cẩm Mỹ có hiện trạng là đường nhựa, bê
P=1093 | X=0111.170-0171.330 | Y=0427.080-0438.320 | tông xi măng:
P=1093 | X=0094.820-0105.940 | Y=0434.960-0444.280 | 18
P=1093 | X=0414.380-0431.020 | Y=0434.960-0444.280 | 470
P=1093 | X=0461.930-0478.570 | Y=0434.960-0444.280 | 330
P=1093 | X=0505.630-0522.270 | Y=0434.960-0444.280 | 280
P=1093 | X=0111.170-0352.280 | Y=0444.600-0455.840 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=1093 | X=0111.170-0153.310 | Y=0458.020-0467.340 | >1.000m.
P=1093 | X=0111.170-0334.810 | Y=0473.660-0484.900 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1093 | X=0111.170-0384.680 | Y=0491.420-0502.660 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=1093 | X=0111.170-0374.810 | Y=0502.940-0514.180 | ra Đường tỉnh 765B (đường Xuân Định - Lâm San) đoạn từ
P=1093 | X=0111.170-0390.460 | Y=0514.220-0525.460 | Cầu Suối Lức đến Hết ranh xã Cẩm Mỹ có hiện trạng là đường
P=1093 | X=0094.820-0214.280 | Y=0525.740-0537.180 | 19 nhựa, bê tông xi măng:
P=1093 | X=0414.380-0431.020 | Y=0527.860-0537.180 | 850
P=1093 | X=0461.930-0478.570 | Y=0527.860-0537.180 | 600
P=1093 | X=0505.630-0522.270 | Y=0527.860-0537.180 | 510
P=1093 | X=0111.170-0342.280 | Y=0543.290-0554.530 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1093 | X=0111.170-0388.360 | Y=0560.810-0572.050 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=1093 | X=0111.170-0384.680 | Y=0578.570-0589.810 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=1093 | X=0111.170-0374.810 | Y=0590.090-0601.330 | ra Đường tỉnh 765B (đường Xuân Định - Lâm San) đoạn từ
P=1093 | X=0111.170-0390.460 | Y=0601.610-0612.850 | Cầu Suối Lức đến Hết ranh xã Cẩm Mỹ có hiện trạng là đường
P=1093 | X=0111.170-0214.280 | Y=0613.130-0624.370 | nhựa, bê tông xi măng:
P=1093 | X=0094.820-0342.720 | Y=0629.670-0641.910 | 20 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1093 | X=0414.380-0431.020 | Y=0629.670-0638.990 | 610
P=1093 | X=0461.930-0478.570 | Y=0629.670-0638.990 | 430
P=1093 | X=0505.630-0522.270 | Y=0629.670-0638.990 | 370
P=1093 | X=0111.170-0364.480 | Y=0648.190-0659.430 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=1093 | X=0111.170-0206.120 | Y=0659.710-0670.950 | >500m đến ≤1.000m.
P=1093 | X=0111.170-0334.340 | Y=0677.230-0688.470 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1093 | X=0111.170-0384.680 | Y=0694.750-0705.990 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=1093 | X=0094.820-0105.940 | Y=0702.420-0711.740 | 21
P=1093 | X=0414.380-0431.020 | Y=0702.420-0711.740 | 420
P=1093 | X=0461.930-0478.570 | Y=0702.420-0711.740 | 290
P=1093 | X=0505.630-0522.270 | Y=0702.420-0711.740 | 250
P=1093 | X=0111.170-0374.810 | Y=0706.290-0717.530 | ra Đường tỉnh 765B (đường Xuân Định - Lâm San) đoạn từ
P=1094 | X=0111.170-0390.460 | Y=0072.500-0083.740 | Cầu Suối Lức đến Hết ranh xã Cẩm Mỹ có hiện trạng là đường
P=1094 | X=0111.170-0214.280 | Y=0084.020-0095.260 | nhựa, bê tông xi măng:
P=1094 | X=0111.170-0352.280 | Y=0101.540-0112.780 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=1094 | X=0111.170-0153.310 | Y=0114.940-0124.260 | >1.000m.
P=1094 | X=0111.170-0334.820 | Y=0130.610-0141.850 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1094 | X=0303.960-0374.620 | Y=0150.250-0159.570 | Ngã ba giao với
P=1094 | X=0221.350-0278.790 | Y=0156.010-0165.330 | Giáp ranh xã
P=1094 | X=0094.820-0179.170 | Y=0159.650-0170.890 | 22 Đường ấp 9,11
P=1094 | X=0303.960-0390.380 | Y=0159.650-0170.890 | Đường tỉnh 765B (-
P=1094 | X=0405.980-0431.030 | Y=0161.530-0170.850 | 1.300
P=1094 | X=0461.930-0478.570 | Y=0161.530-0170.850 | 910
P=1094 | X=0505.630-0522.270 | Y=0161.530-0170.850 | 780
P=1094 | X=0221.350-0271.130 | Y=0165.410-0176.650 | Xuân Đông
P=1094 | X=0303.960-0338.040 | Y=0173.050-0182.370 | 1000m)
P=1094 | X=0111.170-0373.420 | Y=0188.930-0200.170 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường ấp
P=1094 | X=0111.170-0373.660 | Y=0200.470-0211.710 | 9,11 đoạn từ Giáp ranh xã Xuân Đông đến Ngã ba giao với
P=1094 | X=0111.170-0377.980 | Y=0211.990-0223.230 | Đường tỉnh 765B (-1000m) có hiện trạng là đường nhựa, bê
P=1094 | X=0094.820-0171.330 | Y=0223.510-0234.950 | 23 tông xi măng:
P=1094 | X=0414.380-0431.020 | Y=0225.630-0234.950 | 640
P=1094 | X=0461.930-0478.570 | Y=0225.630-0234.950 | 450
P=1094 | X=0505.630-0522.270 | Y=0225.630-0234.950 | 380
P=1094 | X=0111.170-0342.250 | Y=0241.030-0252.270 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1094 | X=0111.170-0388.360 | Y=0258.550-0269.790 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=1094 | X=0111.170-0373.420 | Y=0276.310-0287.550 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường ấp
P=1094 | X=0111.170-0373.660 | Y=0287.860-0299.100 | 9,11 đoạn từ Giáp ranh xã Xuân Đông đến Ngã ba giao với
P=1094 | X=0111.170-0377.980 | Y=0299.380-0310.620 | Đường tỉnh 765B (-1000m) có hiện trạng là đường nhựa, bê
P=1094 | X=0111.170-0171.330 | Y=0310.900-0322.140 | tông xi măng:
P=1094 | X=0094.820-0342.720 | Y=0327.420-0339.660 | 24 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1094 | X=0414.380-0431.020 | Y=0327.420-0336.740 | 530
P=1094 | X=0461.930-0478.570 | Y=0327.420-0336.740 | 370
P=1094 | X=0505.630-0522.270 | Y=0327.420-0336.740 | 320
P=1094 | X=0111.170-0364.480 | Y=0345.700-0356.940 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=1094 | X=0111.170-0206.120 | Y=0357.220-0368.460 | >500m đến ≤1.000m.
P=1094 | X=0111.170-0334.340 | Y=0374.760-0386.000 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1094 | X=0111.170-0373.420 | Y=0392.520-0403.760 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường ấp
P=1094 | X=0111.170-0373.660 | Y=0404.040-0415.280 | 9,11 đoạn từ Giáp ranh xã Xuân Đông đến Ngã ba giao với
P=1094 | X=0111.170-0377.980 | Y=0415.560-0426.800 | Đường tỉnh 765B (-1000m) có hiện trạng là đường nhựa, bê
P=1094 | X=0111.170-0171.330 | Y=0427.080-0438.320 | tông xi măng:
P=1094 | X=0094.820-0105.940 | Y=0434.960-0444.280 | 25
P=1094 | X=0414.380-0431.020 | Y=0434.960-0444.280 | 410
P=1094 | X=0461.930-0478.570 | Y=0434.960-0444.280 | 290
P=1094 | X=0505.630-0522.270 | Y=0434.960-0444.280 | 250
P=1094 | X=0111.170-0352.280 | Y=0444.600-0455.840 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=1094 | X=0111.170-0153.310 | Y=0458.020-0467.340 | >1.000m.
P=1094 | X=0111.170-0334.810 | Y=0473.660-0484.900 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1094 | X=0111.170-0384.680 | Y=0491.420-0502.660 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=1094 | X=0111.170-0381.350 | Y=0502.940-0514.180 | ra Đường ấp 9,11 đoạn từ Giáp ranh xã Xuân Đông đến Ngã
