TABLE=037 | AREA=Xã Bàu Hàm | SECTION=non-agricultural | SEGMENTS=1
P=1305 | X=0111.170-0366.700 | Y=0438.120-0449.360 | đến Đường vào Công ty Đông Nhi có hiện trạng là đường
P=1305 | X=0111.170-0214.280 | Y=0449.660-0460.900 | nhựa, bê tông xi măng:
P=1305 | X=0097.730-0103.330 | Y=0457.540-0466.860 | 2
P=1305 | X=0400.700-0425.750 | Y=0457.540-0466.860 | 1.200
P=1305 | X=0456.410-0473.050 | Y=0457.540-0466.860 | 840
P=1305 | X=0505.630-0522.270 | Y=0457.540-0466.860 | 720
P=1305 | X=0111.170-0342.250 | Y=0467.180-0478.420 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1305 | X=0111.170-0352.280 | Y=0484.460-0495.700 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=1305 | X=0111.170-0144.690 | Y=0495.980-0507.220 | ≤500m.
P=1305 | X=0111.170-0359.490 | Y=0513.740-0524.980 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường
P=1305 | X=0111.170-0370.920 | Y=0525.260-0536.500 | Trảng Bom - Thanh Bình đoạn từ Giáp ranh xã Trảng Bom
P=1305 | X=0111.170-0366.700 | Y=0536.810-0548.050 | đến Đường vào Công ty Đông Nhi có hiện trạng là đường
P=1305 | X=0111.170-0214.280 | Y=0548.330-0559.570 | nhựa, bê tông xi măng:
P=1305 | X=0097.730-0342.720 | Y=0565.090-0577.090 | 3 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1305 | X=0408.860-0425.500 | Y=0565.090-0574.410 | 960
P=1305 | X=0456.410-0473.050 | Y=0565.090-0574.410 | 670
P=1305 | X=0505.630-0522.270 | Y=0565.090-0574.410 | 580
P=1305 | X=0111.170-0364.480 | Y=0583.370-0594.610 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=1305 | X=0111.170-0206.120 | Y=0594.890-0606.130 | >500m đến ≤1.000m.
P=1305 | X=0111.170-0334.340 | Y=0612.410-0623.650 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1305 | X=0111.170-0359.490 | Y=0630.190-0641.430 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường
P=1305 | X=0111.170-0370.920 | Y=0641.710-0652.950 | Trảng Bom - Thanh Bình đoạn từ Giáp ranh xã Trảng Bom
P=1305 | X=0111.170-0366.700 | Y=0653.230-0664.470 | đến Đường vào Công ty Đông Nhi có hiện trạng là đường
P=1305 | X=0097.730-0214.280 | Y=0663.750-0675.750 | 4 nhựa, bê tông xi măng:
P=1305 | X=0408.860-0425.500 | Y=0663.750-0673.070 | 830
P=1305 | X=0456.410-0473.050 | Y=0663.750-0673.070 | 580
P=1305 | X=0505.630-0522.270 | Y=0663.750-0673.070 | 500
P=1305 | X=0111.170-0352.280 | Y=0682.030-0693.270 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=1305 | X=0111.170-0153.310 | Y=0695.430-0704.750 | >1.000m.
P=1306 | X=0111.170-0334.810 | Y=0078.500-0089.740 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1306 | X=0111.170-0384.680 | Y=0096.260-0107.500 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=1306 | X=0111.170-0365.000 | Y=0107.780-0119.020 | ra Đường Trảng Bom - Thanh Bình đoạn từ Giáp ranh xã
P=1306 | X=0111.170-0375.830 | Y=0119.330-0130.570 | Trảng Bom đến Đường vào Công ty Đông Nhi có hiện trạng
P=1306 | X=0111.170-0257.500 | Y=0130.850-0142.090 | là đường nhựa, bê tông xi măng:
P=1306 | X=0097.730-0103.330 | Y=0138.730-0148.050 | 5
P=1306 | X=0400.700-0425.750 | Y=0138.730-0148.050 | 1.100
P=1306 | X=0456.410-0473.050 | Y=0138.730-0148.050 | 770
P=1306 | X=0505.630-0522.270 | Y=0138.730-0148.050 | 660
P=1306 | X=0111.170-0342.250 | Y=0148.370-0159.610 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1306 | X=0111.170-0352.280 | Y=0165.650-0176.890 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=1306 | X=0111.170-0144.690 | Y=0177.170-0188.410 | ≤500m.
P=1306 | X=0111.170-0384.680 | Y=0194.930-0206.170 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=1306 | X=0111.170-0365.000 | Y=0206.470-0217.710 | ra Đường Trảng Bom - Thanh Bình đoạn từ Giáp ranh xã
P=1306 | X=0111.170-0375.830 | Y=0217.990-0229.230 | Trảng Bom đến Đường vào Công ty Đông Nhi có hiện trạng
P=1306 | X=0111.170-0257.500 | Y=0229.510-0240.750 | là đường nhựa, bê tông xi măng:
P=1306 | X=0097.730-0342.720 | Y=0246.270-0258.270 | 6 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1306 | X=0408.860-0425.500 | Y=0246.270-0255.590 | 860
P=1306 | X=0456.410-0473.050 | Y=0246.270-0255.590 | 600
P=1306 | X=0505.630-0522.270 | Y=0246.270-0255.590 | 520
P=1306 | X=0111.170-0364.480 | Y=0264.550-0275.790 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=1306 | X=0111.170-0206.120 | Y=0276.070-0287.310 | >500m đến ≤1.000m.
P=1306 | X=0111.170-0334.340 | Y=0293.620-0304.860 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1306 | X=0111.170-0384.680 | Y=0311.380-0322.620 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=1306 | X=0111.170-0365.000 | Y=0322.900-0334.140 | ra Đường Trảng Bom - Thanh Bình đoạn từ Giáp ranh xã
P=1306 | X=0111.170-0375.830 | Y=0334.420-0345.660 | Trảng Bom đến Đường vào Công ty Đông Nhi có hiện trạng
P=1306 | X=0111.170-0257.500 | Y=0345.700-0356.940 | là đường nhựa, bê tông xi măng:
P=1306 | X=0097.730-0103.330 | Y=0353.580-0362.900 | 7
P=1306 | X=0408.860-0425.500 | Y=0353.580-0362.900 | 750
P=1306 | X=0456.410-0473.050 | Y=0353.580-0362.900 | 530
P=1306 | X=0505.630-0522.270 | Y=0353.580-0362.900 | 450
P=1306 | X=0111.170-0352.280 | Y=0363.220-0374.460 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=1306 | X=0111.170-0153.310 | Y=0376.640-0385.960 | >1.000m.
P=1306 | X=0111.170-0334.810 | Y=0392.280-0403.520 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1306 | X=0111.170-0201.430 | Y=0410.040-0421.280 | Đường Trảng Bom -
P=1306 | X=0220.150-0297.550 | Y=0410.040-0421.280 | Đường vào Công
P=1306 | X=0301.080-0371.260 | Y=0415.800-0427.040 | Ngã tư Tân Lập
P=1306 | X=0097.730-0103.330 | Y=0417.680-0427.000 | 8
P=1306 | X=0400.700-0425.750 | Y=0417.680-0427.000 | 3.400
P=1306 | X=0448.250-0473.300 | Y=0417.680-0427.000 | 2.400
P=1306 | X=0497.470-0522.520 | Y=0417.680-0427.000 | 2.000
P=1306 | X=0220.150-0272.540 | Y=0421.560-0432.800 | ty Đông Nhi
P=1306 | X=0111.170-0163.080 | Y=0423.440-0432.760 | Thanh Bình
P=1306 | X=0111.170-0359.490 | Y=0439.320-0450.560 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường
P=1306 | X=0111.170-0375.540 | Y=0450.860-0462.100 | Trảng Bom - Thanh Bình đoạn từ Đường vào Công ty Đông
P=1306 | X=0111.170-0365.250 | Y=0462.380-0473.620 | Nhi đến Ngã tư Tân Lập có hiện trạng là đường nhựa, bê
P=1306 | X=0111.170-0171.330 | Y=0473.900-0485.140 | tông xi măng:
P=1306 | X=0097.730-0103.330 | Y=0481.780-0491.100 | 9
P=1306 | X=0400.700-0425.750 | Y=0481.780-0491.100 | 1.700
P=1306 | X=0448.250-0473.300 | Y=0481.780-0491.100 | 1.200
P=1306 | X=0497.470-0522.520 | Y=0481.780-0491.100 | 1.000
P=1306 | X=0111.170-0342.250 | Y=0491.420-0502.660 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1306 | X=0111.170-0352.280 | Y=0508.940-0520.180 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=1306 | X=0111.170-0144.690 | Y=0520.220-0531.460 | ≤500m.
P=1306 | X=0111.170-0359.490 | Y=0538.010-0549.250 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường
P=1306 | X=0111.170-0375.540 | Y=0549.530-0560.770 | Trảng Bom - Thanh Bình đoạn từ Đường vào Công ty Đông
P=1306 | X=0111.170-0365.250 | Y=0561.050-0572.290 | Nhi đến Ngã tư Tân Lập có hiện trạng là đường nhựa, bê
P=1306 | X=0111.170-0171.330 | Y=0572.570-0583.810 | tông xi măng:
P=1306 | X=0094.820-0342.720 | Y=0589.330-0601.330 | 10 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1306 | X=0400.700-0425.750 | Y=0589.330-0598.650 | 1.400
P=1306 | X=0456.410-0473.050 | Y=0589.330-0598.650 | 980
P=1306 | X=0505.630-0522.270 | Y=0589.330-0598.650 | 840
P=1306 | X=0111.170-0364.480 | Y=0607.610-0618.850 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=1306 | X=0111.170-0206.120 | Y=0619.150-0630.390 | >500m đến ≤1.000m.
P=1306 | X=0111.170-0334.340 | Y=0636.670-0647.910 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1306 | X=0111.170-0359.490 | Y=0654.430-0665.670 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường
P=1306 | X=0111.170-0375.570 | Y=0665.950-0677.190 | Trảng Bom - Thanh Bình đoạn từ Đường vào Công ty Đông
P=1306 | X=0094.820-0365.250 | Y=0677.470-0691.550 | 11 Nhi đến Ngã tư Tân Lập có hiện trạng là đường nhựa, bê
P=1306 | X=0408.860-0425.500 | Y=0682.230-0691.550 | 960
P=1306 | X=0456.410-0473.050 | Y=0682.230-0691.550 | 670
P=1306 | X=0505.630-0522.270 | Y=0682.230-0691.550 | 580
P=1306 | X=0111.170-0171.330 | Y=0688.750-0699.990 | tông xi măng:
P=1306 | X=0111.170-0352.280 | Y=0706.290-0717.530 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=1307 | X=0111.170-0153.310 | Y=0074.380-0083.700 | >1.000m.
P=1307 | X=0111.170-0334.810 | Y=0090.020-0101.260 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1307 | X=0111.170-0384.680 | Y=0107.780-0119.020 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=1307 | X=0111.170-0384.450 | Y=0119.330-0130.570 | ra Đường Trảng Bom - Thanh Bình đoạn từ Đường vào Công
P=1307 | X=0111.170-0359.720 | Y=0130.850-0142.090 | ty Đông Nhi đến Ngã tư Tân Lập có hiện trạng là đường
P=1307 | X=0111.170-0214.280 | Y=0142.370-0153.610 | nhựa, bê tông xi măng:
P=1307 | X=0094.820-0105.940 | Y=0150.250-0159.570 | 12
P=1307 | X=0400.700-0425.750 | Y=0150.250-0159.570 | 1.500
P=1307 | X=0448.250-0473.290 | Y=0150.250-0159.570 | 1.100
P=1307 | X=0505.630-0522.270 | Y=0150.250-0159.570 | 900
P=1307 | X=0111.170-0342.250 | Y=0159.650-0170.890 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1307 | X=0111.170-0352.280 | Y=0177.170-0188.410 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=1307 | X=0111.170-0144.690 | Y=0188.690-0199.930 | ≤500m.
P=1307 | X=0111.170-0384.680 | Y=0206.470-0217.710 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=1307 | X=0111.170-0384.450 | Y=0217.990-0229.230 | ra Đường Trảng Bom - Thanh Bình đoạn từ Đường vào Công
P=1307 | X=0111.170-0359.720 | Y=0229.510-0240.750 | ty Đông Nhi đến Ngã tư Tân Lập có hiện trạng là đường
P=1307 | X=0111.170-0214.280 | Y=0241.030-0252.270 | nhựa, bê tông xi măng:
P=1307 | X=0094.820-0342.720 | Y=0257.550-0269.790 | 13 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1307 | X=0400.700-0425.750 | Y=0257.550-0266.870 | 1.300
P=1307 | X=0456.410-0473.050 | Y=0257.550-0266.870 | 910
P=1307 | X=0505.630-0522.270 | Y=0257.550-0266.870 | 780
P=1307 | X=0111.170-0364.480 | Y=0276.070-0287.310 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=1307 | X=0111.170-0206.120 | Y=0287.620-0298.860 | >500m đến ≤1.000m.
P=1307 | X=0111.170-0334.340 | Y=0305.140-0316.380 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1307 | X=0111.170-0384.680 | Y=0322.900-0334.140 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=1307 | X=0111.170-0384.450 | Y=0334.420-0345.660 | ra Đường Trảng Bom - Thanh Bình đoạn từ Đường vào Công
P=1307 | X=0111.170-0359.720 | Y=0345.700-0356.940 | ty Đông Nhi đến Ngã tư Tân Lập có hiện trạng là đường
P=1307 | X=0111.170-0214.280 | Y=0357.220-0368.460 | nhựa, bê tông xi măng:
P=1307 | X=0094.820-0105.940 | Y=0365.100-0374.420 | 14
P=1307 | X=0408.860-0425.500 | Y=0365.100-0374.420 | 860
P=1307 | X=0456.410-0473.050 | Y=0365.100-0374.420 | 600
P=1307 | X=0505.630-0522.270 | Y=0365.100-0374.420 | 520
P=1307 | X=0111.170-0352.280 | Y=0374.760-0386.000 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=1307 | X=0111.170-0153.310 | Y=0388.160-0397.480 | >1.000m.
P=1307 | X=0111.170-0334.810 | Y=0403.800-0415.040 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1307 | X=0301.080-0382.060 | Y=0421.560-0432.800 | Đường liên ấp Lợi
P=1307 | X=0301.080-0373.970 | Y=0434.960-0444.280 | Hà - Tân Thành,
P=1307 | X=0111.170-0201.430 | Y=0438.840-0450.080 | Đường Trảng Bom -
P=1307 | X=0220.150-0290.340 | Y=0444.600-0455.840 | Ngã tư Tân Lập
P=1307 | X=0301.080-0372.460 | Y=0444.600-0455.840 | từ đường Trảng
P=1307 | X=0094.820-0105.940 | Y=0446.480-0455.800 | 15
P=1307 | X=0400.700-0425.750 | Y=0446.480-0455.800 | 3.200
P=1307 | X=0448.250-0473.300 | Y=0446.480-0455.800 | 2.200
P=1307 | X=0497.470-0522.520 | Y=0446.480-0455.800 | 1.900
P=1307 | X=0111.170-0163.080 | Y=0452.260-0461.580 | Thanh Bình
P=1307 | X=0301.080-0382.510 | Y=0458.020-0467.340 | Bom - Thanh Bình
P=1307 | X=0301.080-0376.780 | Y=0467.660-0478.900 | đến Hương lộ 24
P=1307 | X=0111.170-0359.490 | Y=0485.420-0496.660 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường
P=1307 | X=0111.170-0385.420 | Y=0496.940-0508.180 | Trảng Bom - Thanh Bình đoạn từ Ngã tư Tân Lập đến Đường
P=1307 | X=0111.170-0367.890 | Y=0508.220-0519.460 | liên ấp Lợi Hà - Tân Thành, từ đường Trảng Bom - Thanh
P=1307 | X=0111.170-0379.150 | Y=0519.740-0530.980 | Bình đến Hương lộ 24 có hiện trạng là đường nhựa, bê tông
P=1307 | X=0094.820-0149.000 | Y=0531.260-0542.700 | 16 xi măng:
P=1307 | X=0400.700-0425.750 | Y=0533.380-0542.700 | 1.500
P=1307 | X=0448.250-0473.300 | Y=0533.380-0542.700 | 1.100
P=1307 | X=0505.630-0522.270 | Y=0533.380-0542.700 | 900
P=1307 | X=0111.170-0342.250 | Y=0548.810-0560.050 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1307 | X=0111.170-0352.280 | Y=0566.330-0577.570 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=1307 | X=0111.170-0144.690 | Y=0577.850-0589.090 | ≤500m.
P=1307 | X=0111.170-0359.490 | Y=0595.610-0606.850 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường
P=1307 | X=0111.170-0385.420 | Y=0607.130-0618.370 | Trảng Bom - Thanh Bình đoạn từ Ngã tư Tân Lập đến Đường
P=1307 | X=0111.170-0367.890 | Y=0618.670-0629.910 | liên ấp Lợi Hà - Tân Thành, từ đường Trảng Bom - Thanh
P=1307 | X=0111.170-0379.150 | Y=0630.190-0641.430 | Bình đến Hương lộ 24 có hiện trạng là đường nhựa, bê tông
P=1307 | X=0111.170-0149.000 | Y=0641.710-0652.950 | xi măng:
P=1307 | X=0094.820-0105.940 | Y=0652.470-0661.790 | 17
P=1307 | X=0400.700-0425.750 | Y=0652.470-0661.790 | 1.300
P=1307 | X=0456.410-0473.050 | Y=0652.470-0661.790 | 910
P=1307 | X=0505.630-0522.270 | Y=0652.470-0661.790 | 780
P=1307 | X=0111.170-0342.720 | Y=0659.230-0670.470 | - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1307 | X=0111.170-0364.490 | Y=0676.510-0687.750 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=1307 | X=0111.170-0206.120 | Y=0688.030-0699.270 | >500m đến ≤1.000m.
P=1307 | X=0111.170-0334.340 | Y=0705.570-0716.810 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1308 | X=0111.170-0359.490 | Y=0078.500-0089.740 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường
P=1308 | X=0111.170-0385.420 | Y=0090.020-0101.260 | Trảng Bom - Thanh Bình đoạn từ Ngã tư Tân Lập đến Đường
P=1308 | X=0111.170-0367.880 | Y=0101.540-0112.780 | liên ấp Lợi Hà - Tân Thành, từ đường Trảng Bom - Thanh
P=1308 | X=0111.170-0379.150 | Y=0113.060-0124.300 | Bình đến Hương lộ 24 có hiện trạng là đường nhựa, bê tông
P=1308 | X=0094.820-0149.000 | Y=0124.610-0136.050 | 18 xi măng:
P=1308 | X=0408.860-0425.500 | Y=0126.730-0136.050 | 890
P=1308 | X=0456.410-0473.050 | Y=0126.730-0136.050 | 620
P=1308 | X=0505.630-0522.270 | Y=0126.730-0136.050 | 530
P=1308 | X=0111.170-0352.280 | Y=0142.130-0153.370 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=1308 | X=0111.170-0153.310 | Y=0155.290-0164.610 | >1.000m.
P=1308 | X=0111.170-0334.810 | Y=0170.930-0182.170 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1308 | X=0111.170-0384.680 | Y=0188.690-0199.930 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=1308 | X=0111.170-0377.500 | Y=0200.230-0211.470 | ra Đường Trảng Bom - Thanh Bình đoạn từ Ngã tư Tân Lập
P=1308 | X=0111.170-0384.350 | Y=0211.750-0222.990 | đến Đường liên ấp Lợi Hà - Tân Thành, từ đường Trảng Bom
P=1308 | X=0111.170-0379.990 | Y=0223.270-0234.510 | - Thanh Bình đến Hương lộ 24 có hiện trạng là đường nhựa,
P=1308 | X=0094.820-0185.250 | Y=0234.790-0246.230 | 19 bê tông xi măng:
P=1308 | X=0400.700-0425.750 | Y=0236.910-0246.230 | 1.400
P=1308 | X=0456.410-0473.050 | Y=0236.910-0246.230 | 980
P=1308 | X=0505.630-0522.270 | Y=0236.910-0246.230 | 840
P=1308 | X=0111.170-0342.250 | Y=0252.310-0263.550 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1308 | X=0111.170-0352.280 | Y=0269.830-0281.070 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=1308 | X=0111.170-0144.690 | Y=0281.380-0292.620 | ≤500m.
P=1308 | X=0111.170-0384.680 | Y=0299.140-0310.380 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=1308 | X=0111.170-0377.500 | Y=0310.660-0321.900 | ra Đường Trảng Bom - Thanh Bình đoạn từ Ngã tư Tân Lập
P=1308 | X=0111.170-0384.350 | Y=0321.940-0333.180 | đến Đường liên ấp Lợi Hà - Tân Thành, từ đường Trảng Bom
P=1308 | X=0111.170-0379.990 | Y=0333.460-0344.700 | - Thanh Bình đến Hương lộ 24 có hiện trạng là đường nhựa,
P=1308 | X=0111.170-0185.250 | Y=0344.980-0356.220 | bê tông xi măng:
P=1308 | X=0094.820-0105.940 | Y=0355.980-0365.300 | 20
P=1308 | X=0400.700-0425.750 | Y=0355.980-0365.300 | 1.200
P=1308 | X=0456.410-0473.050 | Y=0355.980-0365.300 | 840
P=1308 | X=0505.630-0522.270 | Y=0355.980-0365.300 | 720
P=1308 | X=0111.170-0342.720 | Y=0362.500-0373.740 | - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1308 | X=0111.170-0364.480 | Y=0380.040-0391.280 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=1308 | X=0111.170-0206.120 | Y=0391.560-0402.800 | >500m đến ≤1.000m.
P=1308 | X=0111.170-0334.340 | Y=0409.080-0420.320 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1308 | X=0111.170-0384.680 | Y=0426.840-0438.080 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=1308 | X=0111.170-0377.500 | Y=0438.360-0449.600 | ra Đường Trảng Bom - Thanh Bình đoạn từ Ngã tư Tân Lập
P=1308 | X=0111.170-0384.350 | Y=0449.900-0461.140 | đến Đường liên ấp Lợi Hà - Tân Thành, từ đường Trảng Bom
P=1308 | X=0111.170-0379.990 | Y=0461.420-0472.660 | - Thanh Bình đến Hương lộ 24 có hiện trạng là đường nhựa,
P=1308 | X=0094.820-0185.250 | Y=0472.940-0484.380 | 21 bê tông xi măng:
P=1308 | X=0408.860-0425.500 | Y=0475.060-0484.380 | 800
P=1308 | X=0456.410-0473.050 | Y=0475.060-0484.380 | 560
P=1308 | X=0505.630-0522.270 | Y=0475.060-0484.380 | 480
P=1308 | X=0111.170-0352.280 | Y=0490.220-0501.460 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=1308 | X=0111.170-0153.310 | Y=0503.620-0512.940 | >1.000m.
P=1308 | X=0111.170-0334.810 | Y=0519.260-0530.500 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1308 | X=0220.150-0284.340 | Y=0537.050-0548.290 | Đường liên ấp
P=1308 | X=0220.150-0276.420 | Y=0550.450-0559.770 | Lợi Hà - Tân
P=1308 | X=0111.170-0201.430 | Y=0560.090-0571.330 | Đường Trảng Bom -
P=1308 | X=0220.150-0296.580 | Y=0560.090-0571.330 | Thành, từ đường
P=1308 | X=0094.820-0105.940 | Y=0567.730-0577.050 | 22
P=1308 | X=0301.080-0343.640 | Y=0567.730-0577.050 | Hồ Trị An
P=1308 | X=0400.700-0425.750 | Y=0567.730-0577.050 | 2.100
P=1308 | X=0448.250-0473.300 | Y=0567.730-0577.050 | 1.500
P=1308 | X=0497.470-0522.520 | Y=0567.730-0577.050 | 1.300
P=1308 | X=0111.170-0163.080 | Y=0573.490-0582.810 | Thanh Bình
P=1308 | X=0220.150-0276.100 | Y=0573.490-0582.810 | Trảng Bom -
P=1308 | X=0220.150-0291.540 | Y=0583.130-0594.370 | Thanh Bình đến
P=1308 | X=0220.150-0276.420 | Y=0594.650-0605.890 | Hương lộ 24
P=1308 | X=0111.170-0359.490 | Y=0612.410-0623.650 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường
P=1308 | X=0111.170-0384.220 | Y=0623.950-0635.190 | Trảng Bom - Thanh Bình đoạn từ Đường liên ấp Lợi Hà - Tân
P=1308 | X=0111.170-0378.700 | Y=0635.470-0646.710 | Thành, từ đường Trảng Bom - Thanh Bình đến Hương lộ 24
P=1308 | X=0111.170-0382.590 | Y=0646.750-0657.990 | đến Hồ Trị An có hiện trạng là đường nhựa, bê tông xi măng:
P=1308 | X=0094.820-0105.940 | Y=0654.630-0663.950 | 23
P=1308 | X=0400.700-0425.750 | Y=0654.630-0663.950 | 1.100
P=1308 | X=0456.410-0473.050 | Y=0654.630-0663.950 | 770
P=1308 | X=0505.630-0522.270 | Y=0654.630-0663.950 | 660
P=1308 | X=0111.170-0342.250 | Y=0664.270-0675.510 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1308 | X=0111.170-0352.280 | Y=0681.790-0693.030 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=1308 | X=0111.170-0144.690 | Y=0693.310-0704.550 | ≤500m.
P=1309 | X=0111.170-0359.490 | Y=0078.500-0089.740 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường
P=1309 | X=0111.170-0384.220 | Y=0090.020-0101.260 | Trảng Bom - Thanh Bình đoạn từ Đường liên ấp Lợi Hà - Tân
P=1309 | X=0111.170-0378.700 | Y=0101.540-0112.780 | Thành, từ đường Trảng Bom - Thanh Bình đến Hương lộ 24
P=1309 | X=0111.170-0382.590 | Y=0113.060-0124.300 | đến Hồ Trị An có hiện trạng là đường nhựa, bê tông xi măng:
P=1309 | X=0094.820-0342.720 | Y=0129.610-0141.850 | 24 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
