TABLE=033 | AREA=Xã Sông Ray | SECTION=non-agricultural | SEGMENTS=1
P=1146 | X=0111.410-0340.080 | Y=0177.170-0188.410 | Mộc có hiện trạng là đường nhựa, bê tông xi măng:
P=1146 | X=0097.730-0342.960 | Y=0194.690-0209.030 | 3 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1146 | X=0413.900-0430.540 | Y=0199.710-0209.030 | 940
P=1146 | X=0461.690-0478.330 | Y=0199.710-0209.030 | 660
P=1146 | X=0505.390-0522.030 | Y=0199.710-0209.030 | 560
P=1146 | X=0111.410-0364.720 | Y=0212.230-0223.470 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=1146 | X=0111.410-0206.360 | Y=0223.750-0234.990 | >500m đến ≤1.000m.
P=1146 | X=0111.410-0334.580 | Y=0241.270-0252.510 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1146 | X=0111.410-0378.950 | Y=0259.030-0270.270 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường tỉnh
P=1146 | X=0111.410-0378.650 | Y=0270.550-0281.790 | 764 đoạn từ Giáp ranh xã Cẩm Mỹ đến Hết Trại giam Xuyên
P=1146 | X=0111.410-0340.080 | Y=0282.100-0293.340 | Mộc có hiện trạng là đường nhựa, bê tông xi măng:
P=1146 | X=0097.730-0103.330 | Y=0295.740-0305.060 | 4
P=1146 | X=0413.900-0430.540 | Y=0295.740-0305.060 | 720
P=1146 | X=0461.690-0478.330 | Y=0295.740-0305.060 | 500
P=1146 | X=0505.390-0522.030 | Y=0295.740-0305.060 | 430
P=1146 | X=0111.410-0352.520 | Y=0299.620-0310.860 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=1146 | X=0111.410-0153.550 | Y=0313.020-0322.340 | >1.000m.
P=1146 | X=0111.410-0335.050 | Y=0328.660-0339.900 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1146 | X=0111.410-0384.920 | Y=0346.420-0357.660 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=1146 | X=0111.410-0388.300 | Y=0357.700-0368.940 | ra Đường tỉnh 764 đoạn từ Giáp ranh xã Cẩm Mỹ đến Hết Trại
P=1146 | X=0111.410-0364.990 | Y=0369.240-0380.480 | giam Xuyên Mộc có hiện trạng là đường nhựa, bê tông xi
P=1146 | X=0097.730-0139.410 | Y=0380.760-0392.200 | 5 măng:
P=1146 | X=0405.740-0430.790 | Y=0382.880-0392.200 | 1.200
P=1146 | X=0461.690-0478.330 | Y=0382.880-0392.200 | 840
P=1146 | X=0505.390-0522.030 | Y=0382.880-0392.200 | 720
P=1146 | X=0111.410-0342.490 | Y=0398.280-0409.520 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1146 | X=0111.410-0388.600 | Y=0415.800-0427.040 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=1146 | X=0111.410-0384.920 | Y=0433.560-0444.800 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=1146 | X=0111.410-0388.300 | Y=0445.080-0456.320 | ra Đường tỉnh 764 đoạn từ Giáp ranh xã Cẩm Mỹ đến Hết Trại
P=1146 | X=0111.410-0364.990 | Y=0456.620-0467.860 | giam Xuyên Mộc có hiện trạng là đường nhựa, bê tông xi
P=1146 | X=0111.410-0139.410 | Y=0468.140-0479.380 | măng:
P=1146 | X=0097.730-0342.960 | Y=0484.660-0496.900 | 6 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1146 | X=0413.900-0430.540 | Y=0484.660-0493.980 | 850
P=1146 | X=0461.690-0478.330 | Y=0484.660-0493.980 | 600
P=1146 | X=0505.390-0522.030 | Y=0484.660-0493.980 | 510
P=1146 | X=0111.410-0364.720 | Y=0503.180-0514.420 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=1146 | X=0111.410-0206.360 | Y=0514.460-0525.700 | >500m đến ≤1.000m.
P=1146 | X=0111.410-0334.580 | Y=0531.980-0543.220 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1146 | X=0111.410-0384.920 | Y=0549.770-0561.010 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=1146 | X=0111.410-0388.300 | Y=0561.290-0572.530 | ra Đường tỉnh 764 đoạn từ Giáp ranh xã Cẩm Mỹ đến Hết Trại
P=1146 | X=0111.410-0364.990 | Y=0572.810-0584.050 | giam Xuyên Mộc có hiện trạng là đường nhựa, bê tông xi
P=1146 | X=0111.410-0139.410 | Y=0584.330-0595.570 | măng:
P=1146 | X=0097.730-0103.330 | Y=0592.210-0601.530 | 7
P=1146 | X=0413.900-0430.540 | Y=0592.210-0601.530 | 650
P=1146 | X=0461.690-0478.330 | Y=0592.210-0601.530 | 460
P=1146 | X=0505.390-0522.030 | Y=0592.210-0601.530 | 390
P=1146 | X=0111.410-0352.520 | Y=0601.850-0613.090 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=1146 | X=0111.410-0153.550 | Y=0615.250-0624.570 | >1.000m.
P=1146 | X=0111.410-0335.050 | Y=0630.910-0642.150 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1146 | X=0303.240-0385.560 | Y=0648.670-0659.910 | Hết Trường THCS
P=1146 | X=0220.630-0280.630 | Y=0650.550-0659.870 | Hết Trại giam
P=1146 | X=0097.730-0181.580 | Y=0654.430-0665.670 | 8 Đường tỉnh 764
P=1146 | X=0405.740-0430.790 | Y=0656.310-0665.630 | 3.300
P=1146 | X=0453.530-0478.580 | Y=0656.310-0665.630 | 2.300
P=1146 | X=0497.230-0522.280 | Y=0656.310-0665.630 | 2.000
P=1146 | X=0220.630-0270.580 | Y=0662.070-0671.390 | Xuyên Mộc
P=1146 | X=0303.240-0347.160 | Y=0662.070-0671.390 | Sông Ray
P=1146 | X=0111.410-0378.950 | Y=0677.950-0689.190 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường tỉnh
P=1146 | X=0097.730-0385.550 | Y=0689.470-0700.710 | 9 764 đoạn từ Hết Trại giam Xuyên Mộc đến Hết Trường THCS
P=1146 | X=0405.740-0430.790 | Y=0691.350-0700.670 | 1.600
P=1146 | X=0453.530-0478.580 | Y=0691.350-0700.670 | 1.100
P=1146 | X=0505.390-0522.030 | Y=0691.350-0700.670 | 960
P=1146 | X=0111.410-0364.810 | Y=0700.770-0712.010 | Sông Ray có hiện trạng là đường nhựa, bê tông xi măng:
P=1147 | X=0111.410-0342.490 | Y=0078.500-0089.740 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1147 | X=0111.410-0388.600 | Y=0096.020-0107.260 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=1147 | X=0111.410-0378.950 | Y=0113.780-0125.020 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường tỉnh
P=1147 | X=0111.410-0385.550 | Y=0125.330-0136.570 | 764 đoạn từ Hết Trại giam Xuyên Mộc đến Hết Trường THCS
P=1147 | X=0111.410-0364.810 | Y=0136.850-0148.090 | Sông Ray có hiện trạng là đường nhựa, bê tông xi măng:
P=1147 | X=0095.060-0342.970 | Y=0154.370-0168.450 | 10 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1147 | X=0413.900-0430.540 | Y=0159.130-0168.450 | 940
P=1147 | X=0461.690-0478.330 | Y=0159.130-0168.450 | 660
P=1147 | X=0505.390-0522.030 | Y=0159.130-0168.450 | 560
P=1147 | X=0111.410-0364.720 | Y=0171.650-0182.890 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=1147 | X=0111.410-0206.360 | Y=0183.170-0194.410 | >500m đến ≤1.000m.
P=1147 | X=0111.410-0334.580 | Y=0200.710-0211.950 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1147 | X=0111.410-0378.950 | Y=0218.470-0229.710 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường tỉnh
P=1147 | X=0111.410-0385.550 | Y=0229.990-0241.230 | 764 đoạn từ Hết Trại giam Xuyên Mộc đến Hết Trường THCS
P=1147 | X=0111.410-0364.810 | Y=0241.510-0252.750 | Sông Ray có hiện trạng là đường nhựa, bê tông xi măng:
P=1147 | X=0095.060-0106.180 | Y=0255.150-0264.470 | 11
P=1147 | X=0413.900-0430.540 | Y=0255.150-0264.470 | 720
P=1147 | X=0461.690-0478.330 | Y=0255.150-0264.470 | 500
P=1147 | X=0505.390-0522.030 | Y=0255.150-0264.470 | 430
P=1147 | X=0111.410-0352.520 | Y=0259.030-0270.270 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=1147 | X=0111.410-0153.550 | Y=0272.430-0281.750 | >1.000m.
P=1147 | X=0111.410-0335.050 | Y=0288.100-0299.340 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1147 | X=0111.410-0384.920 | Y=0305.860-0317.100 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=1147 | X=0111.410-0383.830 | Y=0317.380-0328.620 | ra Đường tỉnh 764 đoạn từ Hết Trại giam Xuyên Mộc đến Hết
P=1147 | X=0111.410-0368.850 | Y=0328.900-0340.140 | Trường THCS Sông Ray có hiện trạng là đường nhựa, bê
P=1147 | X=0095.060-0171.570 | Y=0340.420-0351.860 | 12 tông xi măng:
P=1147 | X=0405.740-0430.790 | Y=0342.540-0351.860 | 1.400
P=1147 | X=0461.690-0478.330 | Y=0342.540-0351.860 | 980
P=1147 | X=0505.390-0522.030 | Y=0342.540-0351.860 | 840
P=1147 | X=0111.410-0342.490 | Y=0357.700-0368.940 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1147 | X=0111.410-0388.600 | Y=0375.240-0386.480 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=1147 | X=0111.410-0384.920 | Y=0393.000-0404.240 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=1147 | X=0111.410-0383.830 | Y=0404.520-0415.760 | ra Đường tỉnh 764 đoạn từ Hết Trại giam Xuyên Mộc đến Hết
P=1147 | X=0111.410-0368.850 | Y=0416.040-0427.280 | Trường THCS Sông Ray có hiện trạng là đường nhựa, bê
P=1147 | X=0111.410-0171.570 | Y=0427.560-0438.800 | tông xi măng:
P=1147 | X=0095.060-0342.960 | Y=0444.080-0456.320 | 13 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1147 | X=0413.900-0430.540 | Y=0444.080-0453.400 | 850
P=1147 | X=0461.690-0478.330 | Y=0444.080-0453.400 | 600
P=1147 | X=0505.390-0522.030 | Y=0444.080-0453.400 | 510
P=1147 | X=0111.410-0364.730 | Y=0462.620-0473.860 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=1147 | X=0111.410-0206.360 | Y=0474.140-0485.380 | >500m đến ≤1.000m.
P=1147 | X=0111.410-0334.580 | Y=0491.660-0502.900 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1147 | X=0111.410-0384.920 | Y=0509.420-0520.660 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=1147 | X=0111.410-0383.830 | Y=0520.940-0532.180 | ra Đường tỉnh 764 đoạn từ Hết Trại giam Xuyên Mộc đến Hết
P=1147 | X=0111.410-0368.850 | Y=0532.220-0543.460 | Trường THCS Sông Ray có hiện trạng là đường nhựa, bê
P=1147 | X=0111.410-0171.570 | Y=0543.770-0555.010 | tông xi măng:
P=1147 | X=0095.060-0106.180 | Y=0551.650-0560.970 | 14
P=1147 | X=0413.900-0430.540 | Y=0551.650-0560.970 | 650
P=1147 | X=0461.690-0478.330 | Y=0551.650-0560.970 | 460
P=1147 | X=0505.390-0522.030 | Y=0551.650-0560.970 | 390
P=1147 | X=0111.410-0352.520 | Y=0561.290-0572.530 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=1147 | X=0111.410-0153.550 | Y=0574.690-0584.010 | >1.000m.
P=1147 | X=0111.410-0335.050 | Y=0590.330-0601.570 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1147 | X=0220.630-0273.070 | Y=0608.090-0619.330 | Hết Trường
P=1147 | X=0303.240-0381.740 | Y=0608.090-0619.330 | Đường liên ấp 1 -
P=1147 | X=0095.060-0181.580 | Y=0613.850-0625.090 | 15 Đường tỉnh 764
P=1147 | X=0405.740-0430.790 | Y=0615.730-0625.050 | 3.900
P=1147 | X=0453.530-0478.580 | Y=0615.730-0625.050 | 2.700
P=1147 | X=0497.230-0522.280 | Y=0615.730-0625.050 | 2.300
P=1147 | X=0220.630-0322.760 | Y=0619.630-0630.870 | THCS Sông Ray ấp 5
P=1147 | X=0111.410-0378.950 | Y=0637.390-0648.630 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường tỉnh
P=1147 | X=0111.410-0383.260 | Y=0648.910-0660.150 | 764 đoạn từ Hết Trường THCS Sông Ray đến Đường liên ấp
P=1147 | X=0111.410-0354.980 | Y=0660.430-0671.670 | 1 - ấp 5 có hiện trạng là đường nhựa, bê tông xi măng:
P=1147 | X=0095.060-0106.180 | Y=0668.310-0677.630 | 16
P=1147 | X=0405.740-0430.780 | Y=0668.310-0677.630 | 1.700
P=1147 | X=0453.530-0478.580 | Y=0668.310-0677.630 | 1.200
P=1147 | X=0497.230-0522.280 | Y=0668.310-0677.630 | 1.000
P=1147 | X=0111.410-0342.490 | Y=0677.950-0689.190 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1147 | X=0111.410-0388.600 | Y=0695.470-0706.710 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=1148 | X=0111.410-0378.950 | Y=0078.500-0089.740 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường tỉnh
P=1148 | X=0111.410-0383.260 | Y=0090.020-0101.260 | 764 đoạn từ Hết Trường THCS Sông Ray đến Đường liên ấp
P=1148 | X=0111.410-0354.980 | Y=0101.540-0112.780 | 1 - ấp 5 có hiện trạng là đường nhựa, bê tông xi măng:
P=1148 | X=0095.060-0342.960 | Y=0119.090-0133.170 | 17 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1148 | X=0413.900-0430.540 | Y=0123.850-0133.170 | 940
P=1148 | X=0461.690-0478.330 | Y=0123.850-0133.170 | 660
P=1148 | X=0505.390-0522.030 | Y=0123.850-0133.170 | 560
P=1148 | X=0111.410-0364.720 | Y=0136.610-0147.850 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=1148 | X=0111.410-0206.360 | Y=0148.130-0159.370 | >500m đến ≤1.000m.
P=1148 | X=0111.410-0334.580 | Y=0165.410-0176.650 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1148 | X=0111.410-0378.950 | Y=0183.170-0194.410 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường tỉnh
P=1148 | X=0111.410-0383.260 | Y=0194.690-0205.930 | 764 đoạn từ Hết Trường THCS Sông Ray đến Đường liên ấp
P=1148 | X=0111.410-0354.980 | Y=0206.230-0217.470 | 1 - ấp 5 có hiện trạng là đường nhựa, bê tông xi măng:
P=1148 | X=0095.060-0106.180 | Y=0219.870-0229.190 | 18
P=1148 | X=0413.900-0430.540 | Y=0219.870-0229.190 | 720
P=1148 | X=0461.690-0478.330 | Y=0219.870-0229.190 | 500
P=1148 | X=0505.390-0522.030 | Y=0219.870-0229.190 | 430
P=1148 | X=0111.410-0352.520 | Y=0223.750-0234.990 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=1148 | X=0111.410-0153.550 | Y=0237.150-0246.470 | >1.000m.
P=1148 | X=0111.410-0335.050 | Y=0252.790-0264.030 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1148 | X=0111.410-0384.920 | Y=0270.550-0281.790 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=1148 | X=0111.410-0381.590 | Y=0282.100-0293.340 | ra Đường tỉnh 764 đoạn từ Hết Trường THCS Sông Ray đến
P=1148 | X=0111.410-0381.070 | Y=0293.620-0304.860 | Đường liên ấp 1 - ấp 5 có hiện trạng là đường nhựa, bê tông
P=1148 | X=0095.060-0149.240 | Y=0305.140-0316.580 | 19 xi măng:
P=1148 | X=0405.740-0430.790 | Y=0307.260-0316.580 | 1.500
P=1148 | X=0453.530-0478.580 | Y=0307.260-0316.580 | 1.100
P=1148 | X=0505.390-0522.030 | Y=0307.260-0316.580 | 900
P=1148 | X=0111.410-0342.490 | Y=0322.660-0333.900 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1148 | X=0111.410-0388.600 | Y=0339.940-0351.180 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=1148 | X=0111.410-0384.920 | Y=0357.700-0368.940 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=1148 | X=0111.410-0381.590 | Y=0369.240-0380.480 | ra Đường tỉnh 764 đoạn từ Hết Trường THCS Sông Ray đến
P=1148 | X=0111.410-0381.070 | Y=0380.760-0392.000 | Đường liên ấp 1 - ấp 5 có hiện trạng là đường nhựa, bê tông
P=1148 | X=0111.410-0149.240 | Y=0392.280-0403.520 | xi măng:
P=1148 | X=0095.060-0342.960 | Y=0409.040-0421.040 | 20 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1148 | X=0413.900-0430.540 | Y=0409.040-0418.360 | 850
P=1148 | X=0461.690-0478.330 | Y=0409.040-0418.360 | 600
P=1148 | X=0505.390-0522.030 | Y=0409.040-0418.360 | 510
P=1148 | X=0111.410-0364.720 | Y=0427.320-0438.560 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=1148 | X=0111.410-0206.390 | Y=0438.840-0450.080 | >500m đến ≤1.000m.
P=1148 | X=0111.410-0334.580 | Y=0456.380-0467.620 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1148 | X=0111.410-0384.920 | Y=0474.140-0485.380 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=1148 | X=0111.410-0381.590 | Y=0485.660-0496.900 | ra Đường tỉnh 764 đoạn từ Hết Trường THCS Sông Ray đến
P=1148 | X=0111.410-0381.070 | Y=0497.180-0508.420 | Đường liên ấp 1 - ấp 5 có hiện trạng là đường nhựa, bê tông
P=1148 | X=0111.410-0149.240 | Y=0508.460-0519.700 | xi măng:
P=1148 | X=0095.060-0106.180 | Y=0516.340-0525.660 | 21
P=1148 | X=0413.900-0430.540 | Y=0516.340-0525.660 | 650
P=1148 | X=0461.690-0478.330 | Y=0516.340-0525.660 | 460
P=1148 | X=0505.390-0522.030 | Y=0516.340-0525.660 | 390
P=1148 | X=0111.410-0352.520 | Y=0525.980-0537.220 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=1148 | X=0111.410-0153.550 | Y=0539.410-0548.730 | >1.000m.
P=1148 | X=0111.410-0335.050 | Y=0555.050-0566.290 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1148 | X=0220.630-0388.520 | Y=0572.810-0584.050 | Đường liên ấp 1 - Hết cây xăng Nông
P=1148 | X=0095.060-0181.580 | Y=0578.570-0589.810 | 22 Đường tỉnh 764
P=1148 | X=0405.740-0430.790 | Y=0580.450-0589.770 | 4.600
P=1148 | X=0453.530-0478.580 | Y=0580.450-0589.770 | 3.200
P=1148 | X=0497.230-0522.280 | Y=0580.450-0589.770 | 2.800
P=1148 | X=0220.630-0240.180 | Y=0584.330-0595.570 | ấp 5
P=1148 | X=0303.240-0380.530 | Y=0584.330-0595.570 | trường Sông Ray
P=1148 | X=0111.410-0378.950 | Y=0602.090-0613.330 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường tỉnh
P=1148 | X=0111.410-0376.050 | Y=0613.610-0624.850 | 764 đoạn từ Đường liên ấp 1 - ấp 5 đến Hết cây xăng Nông
P=1148 | X=0111.410-0367.630 | Y=0625.150-0636.390 | trường Sông Ray có hiện trạng là đường nhựa, bê tông xi
P=1148 | X=0095.060-0139.410 | Y=0636.670-0648.110 | 23 măng:
P=1148 | X=0405.740-0430.790 | Y=0638.790-0648.110 | 2.100
P=1148 | X=0453.530-0478.580 | Y=0638.790-0648.110 | 1.500
P=1148 | X=0497.230-0522.270 | Y=0638.790-0648.110 | 1.300
P=1148 | X=0111.410-0342.490 | Y=0654.190-0665.430 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1148 | X=0111.410-0388.600 | Y=0671.710-0682.950 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=1148 | X=0111.410-0378.950 | Y=0689.470-0700.710 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường tỉnh
P=1148 | X=0095.060-0106.180 | Y=0697.110-0706.430 | 24
P=1148 | X=0413.900-0430.540 | Y=0697.110-0706.430 | 940
P=1148 | X=0461.690-0478.330 | Y=0697.110-0706.430 | 660
P=1148 | X=0505.390-0522.030 | Y=0697.110-0706.430 | 560
P=1148 | X=0111.410-0376.050 | Y=0700.770-0712.010 | 764 đoạn từ Đường liên ấp 1 - ấp 5 đến Hết cây xăng Nông
P=1149 | X=0111.410-0367.630 | Y=0072.500-0083.740 | trường Sông Ray có hiện trạng là đường nhựa, bê tông xi
P=1149 | X=0111.410-0139.410 | Y=0084.020-0095.260 | măng:
P=1149 | X=0111.410-0342.960 | Y=0101.540-0112.780 | - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1149 | X=0111.410-0364.720 | Y=0119.090-0130.330 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=1149 | X=0111.410-0206.360 | Y=0130.610-0141.850 | >500m đến ≤1.000m.
P=1149 | X=0111.410-0334.580 | Y=0148.130-0159.370 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1149 | X=0111.410-0378.950 | Y=0165.650-0176.890 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường tỉnh
P=1149 | X=0111.410-0376.050 | Y=0177.170-0188.410 | 764 đoạn từ Đường liên ấp 1 - ấp 5 đến Hết cây xăng Nông
P=1149 | X=0111.410-0367.630 | Y=0188.690-0199.930 | trường Sông Ray có hiện trạng là đường nhựa, bê tông xi
P=1149 | X=0111.410-0139.410 | Y=0200.230-0211.470 | măng:
P=1149 | X=0095.060-0106.180 | Y=0208.110-0217.430 | 25
P=1149 | X=0413.900-0430.540 | Y=0208.110-0217.430 | 720
P=1149 | X=0461.690-0478.330 | Y=0208.110-0217.430 | 500
P=1149 | X=0505.390-0522.030 | Y=0208.110-0217.430 | 430
P=1149 | X=0111.410-0352.520 | Y=0217.750-0228.990 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=1149 | X=0111.410-0153.550 | Y=0231.150-0240.470 | >1.000m.
P=1149 | X=0111.410-0335.050 | Y=0246.790-0258.030 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1149 | X=0111.410-0384.920 | Y=0264.550-0275.790 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=1149 | X=0111.410-0389.890 | Y=0276.070-0287.310 | ra Đường tỉnh 764 đoạn từ Đường liên ấp 1 - ấp 5 đến Hết cây
P=1149 | X=0111.410-0386.620 | Y=0287.620-0298.860 | xăng Nông trường Sông Ray có hiện trạng là đường nhựa, bê
P=1149 | X=0095.060-0171.570 | Y=0299.140-0310.580 | 26 tông xi măng:
P=1149 | X=0405.740-0430.790 | Y=0301.260-0310.580 | 1.900
P=1149 | X=0453.530-0478.580 | Y=0301.260-0310.580 | 1.300
P=1149 | X=0497.230-0522.280 | Y=0301.260-0310.580 | 1.100
P=1149 | X=0111.410-0342.490 | Y=0316.660-0327.900 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1149 | X=0111.410-0388.600 | Y=0333.940-0345.180 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=1149 | X=0111.410-0384.920 | Y=0351.700-0362.940 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=1149 | X=0111.410-0389.890 | Y=0363.220-0374.460 | ra Đường tỉnh 764 đoạn từ Đường liên ấp 1 - ấp 5 đến Hết cây
P=1149 | X=0111.410-0386.620 | Y=0374.760-0386.000 | xăng Nông trường Sông Ray có hiện trạng là đường nhựa, bê
P=1149 | X=0111.410-0171.570 | Y=0386.280-0397.520 | tông xi măng:
