TABLE=044 | AREA=Xã Phú Vinh | SECTION=non-agricultural | SEGMENTS=1
P=1527 | X=0111.410-0334.580 | Y=0078.500-0089.740 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1527 | X=0111.410-0384.920 | Y=0096.260-0107.500 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=1527 | X=0111.410-0373.430 | Y=0107.780-0119.020 | ra Quốc lộ 20 đoạn từ Giáp ranh xã Định Quán đến Đường
P=1527 | X=0111.410-0389.500 | Y=0119.330-0130.570 | Ngã ba Phú Lợi - Phú Hòa cũ có hiện trạng là đường nhựa, bê
P=1527 | X=0111.410-0171.570 | Y=0130.850-0142.090 | tông xi măng:
P=1527 | X=0097.730-0103.330 | Y=0138.730-0148.050 | 7
P=1527 | X=0405.740-0430.790 | Y=0138.730-0148.050 | 1.000
P=1527 | X=0461.690-0478.330 | Y=0138.730-0148.050 | 700
P=1527 | X=0505.390-0522.030 | Y=0138.730-0148.050 | 600
P=1527 | X=0111.410-0352.520 | Y=0148.370-0159.610 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=1527 | X=0111.410-0153.550 | Y=0161.530-0170.850 | >1.000m.
P=1527 | X=0111.410-0335.050 | Y=0177.170-0188.410 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1527 | X=0303.960-0371.310 | Y=0196.810-0206.130 | Hết ranh trụ sở
P=1527 | X=0221.590-0288.430 | Y=0200.710-0211.950 | Đường Ngã ba
P=1527 | X=0303.960-0380.380 | Y=0208.350-0217.670 | ban chỉ huy quân
P=1527 | X=0097.730-0159.970 | Y=0214.110-0223.430 | 8 Quốc lộ 20
P=1527 | X=0221.590-0283.380 | Y=0214.110-0223.430 | Phú Lợi - Phú
P=1527 | X=0405.740-0430.790 | Y=0214.110-0223.430 | 3.800
P=1527 | X=0453.530-0478.580 | Y=0214.110-0223.430 | 2.700
P=1527 | X=0497.230-0522.280 | Y=0214.110-0223.430 | 2.300
P=1527 | X=0303.960-0369.110 | Y=0217.990-0229.230 | sự huyện Định
P=1527 | X=0221.590-0253.350 | Y=0223.750-0234.990 | Hòa cũ
P=1527 | X=0303.960-0350.760 | Y=0229.510-0240.750 | Quán (Cũ)
P=1527 | X=0111.410-0376.540 | Y=0247.270-0258.510 | Các tuyến đường giao thông đấu nối trực tiếp ra Quốc lộ 20
P=1527 | X=0111.410-0389.500 | Y=0258.790-0270.030 | đoạn từ Đường Ngã ba Phú Lợi - Phú Hòa cũ đến Hết ranh trụ
P=1527 | X=0111.410-0379.900 | Y=0270.310-0281.550 | sở ban chỉ huy quân sự huyện Định Quán (Cũ) có hiện trạng
P=1527 | X=0097.730-0257.740 | Y=0281.860-0293.300 | 9 là đường nhựa, bê tông xi măng:
P=1527 | X=0405.740-0430.790 | Y=0283.980-0293.300 | 1.200
P=1527 | X=0461.690-0478.330 | Y=0283.980-0293.300 | 840
P=1527 | X=0505.390-0522.030 | Y=0283.980-0293.300 | 720
P=1527 | X=0111.410-0342.490 | Y=0299.380-0310.620 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1527 | X=0111.410-0388.600 | Y=0316.900-0328.140 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=1527 | X=0111.410-0376.540 | Y=0334.660-0345.900 | Các tuyến đường giao thông đấu nối trực tiếp ra Quốc lộ 20
P=1527 | X=0111.410-0389.500 | Y=0345.940-0357.180 | đoạn từ Đường Ngã ba Phú Lợi - Phú Hòa cũ đến Hết ranh trụ
P=1527 | X=0111.410-0379.900 | Y=0357.460-0368.700 | sở ban chỉ huy quân sự huyện Định Quán (Cũ) có hiện trạng
P=1527 | X=0111.410-0257.740 | Y=0369.000-0380.240 | là đường nhựa, bê tông xi măng:
P=1527 | X=0095.060-0342.980 | Y=0385.760-0397.760 | 10 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1527 | X=0405.740-0430.790 | Y=0385.760-0395.080 | 1.000
P=1527 | X=0461.690-0478.330 | Y=0385.760-0395.080 | 700
P=1527 | X=0505.390-0522.030 | Y=0385.760-0395.080 | 600
P=1527 | X=0111.410-0364.720 | Y=0404.040-0415.280 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=1527 | X=0111.410-0206.360 | Y=0415.560-0426.800 | >500m đến ≤1.000m.
P=1527 | X=0111.410-0334.580 | Y=0433.080-0444.320 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1527 | X=0111.410-0376.540 | Y=0450.860-0462.100 | Các tuyến đường giao thông đấu nối trực tiếp ra Quốc lộ 20
P=1527 | X=0111.410-0389.500 | Y=0462.380-0473.620 | đoạn từ Đường Ngã ba Phú Lợi - Phú Hòa cũ đến Hết ranh trụ
P=1527 | X=0111.410-0379.900 | Y=0473.900-0485.140 | sở ban chỉ huy quân sự huyện Định Quán (Cũ) có hiện trạng
P=1527 | X=0111.410-0257.740 | Y=0485.420-0496.660 | là đường nhựa, bê tông xi măng:
P=1527 | X=0095.060-0106.180 | Y=0493.300-0502.620 | 11
P=1527 | X=0413.900-0430.540 | Y=0493.300-0502.620 | 640
P=1527 | X=0461.690-0478.330 | Y=0493.300-0502.620 | 450
P=1527 | X=0505.390-0522.030 | Y=0493.300-0502.620 | 380
P=1527 | X=0111.410-0352.520 | Y=0502.940-0514.180 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=1527 | X=0111.410-0153.550 | Y=0516.100-0525.420 | >1.000m.
P=1527 | X=0111.410-0335.050 | Y=0531.740-0542.980 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1527 | X=0111.410-0384.920 | Y=0549.530-0560.770 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=1527 | X=0111.410-0376.990 | Y=0561.050-0572.290 | ra Quốc lộ 20 đoạn từ Đường Ngã ba Phú Lợi - Phú Hòa cũ
P=1527 | X=0111.410-0371.980 | Y=0572.570-0583.810 | đến Hết ranh trụ sở ban chỉ huy quân sự huyện Định Quán
P=1527 | X=0095.060-0340.570 | Y=0584.090-0595.530 | 12 (Cũ) có hiện trạng là đường nhựa, bê tông xi măng:
P=1527 | X=0405.740-0430.790 | Y=0586.210-0595.530 | 1.100
P=1527 | X=0461.690-0478.330 | Y=0586.210-0595.530 | 770
P=1527 | X=0505.390-0522.030 | Y=0586.210-0595.530 | 660
P=1527 | X=0111.410-0342.490 | Y=0601.610-0612.850 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1527 | X=0111.410-0388.600 | Y=0619.150-0630.390 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=1527 | X=0111.410-0384.920 | Y=0636.910-0648.150 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=1527 | X=0111.410-0376.990 | Y=0648.430-0659.670 | ra Quốc lộ 20 đoạn từ Đường Ngã ba Phú Lợi - Phú Hòa cũ
P=1527 | X=0111.410-0371.980 | Y=0659.950-0671.190 | đến Hết ranh trụ sở ban chỉ huy quân sự huyện Định Quán
P=1527 | X=0095.060-0340.570 | Y=0671.470-0682.910 | 13 (Cũ) có hiện trạng là đường nhựa, bê tông xi măng:
P=1527 | X=0413.900-0430.540 | Y=0673.590-0682.910 | 900
P=1527 | X=0461.690-0478.330 | Y=0673.590-0682.910 | 630
P=1527 | X=0505.390-0522.030 | Y=0673.590-0682.910 | 540
P=1527 | X=0111.410-0342.960 | Y=0688.750-0699.990 | - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1527 | X=0111.410-0364.720 | Y=0706.290-0717.530 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=1528 | X=0111.410-0206.360 | Y=0072.500-0083.740 | >500m đến ≤1.000m.
P=1528 | X=0111.410-0334.580 | Y=0090.020-0101.260 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1528 | X=0111.410-0384.920 | Y=0107.780-0119.020 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=1528 | X=0111.410-0376.990 | Y=0119.330-0130.570 | ra Quốc lộ 20 đoạn từ Đường Ngã ba Phú Lợi - Phú Hòa cũ
P=1528 | X=0111.410-0371.980 | Y=0130.850-0142.090 | đến Hết ranh trụ sở ban chỉ huy quân sự huyện Định Quán
P=1528 | X=0111.410-0340.570 | Y=0142.370-0153.610 | (Cũ) có hiện trạng là đường nhựa, bê tông xi măng:
P=1528 | X=0095.060-0106.180 | Y=0150.250-0159.570 | 14
P=1528 | X=0413.900-0430.540 | Y=0150.250-0159.570 | 580
P=1528 | X=0461.690-0478.330 | Y=0150.250-0159.570 | 410
P=1528 | X=0505.390-0522.030 | Y=0150.250-0159.570 | 350
P=1528 | X=0111.410-0352.520 | Y=0159.650-0170.890 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=1528 | X=0111.410-0153.550 | Y=0173.050-0182.370 | >1.000m.
P=1528 | X=0111.410-0335.050 | Y=0188.690-0199.930 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1528 | X=0221.590-0288.950 | Y=0208.350-0217.670 | Hết ranh trụ sở
P=1528 | X=0221.590-0298.040 | Y=0219.870-0229.190 | ban chỉ huy quân
P=1528 | X=0095.060-0159.970 | Y=0225.630-0234.950 | 15 Quốc lộ 20
P=1528 | X=0303.960-0370.760 | Y=0225.630-0234.950 | Ngã ba Km118
P=1528 | X=0405.740-0430.790 | Y=0225.630-0234.950 | 2.200
P=1528 | X=0453.530-0478.580 | Y=0225.630-0234.950 | 1.500
P=1528 | X=0497.230-0522.280 | Y=0225.630-0234.950 | 1.300
P=1528 | X=0221.590-0286.750 | Y=0229.510-0240.750 | sự huyện Định
P=1528 | X=0221.590-0268.390 | Y=0241.030-0252.270 | Quán (Cũ)
P=1528 | X=0111.410-0376.540 | Y=0258.790-0270.030 | Các tuyến đường giao thông đấu nối trực tiếp ra Quốc lộ 20
P=1528 | X=0111.410-0389.960 | Y=0270.310-0281.550 | đoạn từ Hết ranh trụ sở ban chỉ huy quân sự huyện Định Quán
P=1528 | X=0111.410-0388.770 | Y=0281.860-0293.100 | (Cũ) đến Ngã ba Km118 có hiện trạng là đường nhựa, bê tông
P=1528 | X=0095.060-0149.240 | Y=0293.380-0304.820 | 16 xi măng:
P=1528 | X=0413.900-0430.540 | Y=0295.500-0304.820 | 900
P=1528 | X=0461.690-0478.330 | Y=0295.500-0304.820 | 630
P=1528 | X=0505.390-0522.030 | Y=0295.500-0304.820 | 540
P=1528 | X=0111.410-0342.490 | Y=0310.900-0322.140 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1528 | X=0111.410-0388.600 | Y=0328.420-0339.660 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=1528 | X=0111.410-0376.540 | Y=0345.940-0357.180 | Các tuyến đường giao thông đấu nối trực tiếp ra Quốc lộ 20
P=1528 | X=0111.410-0389.960 | Y=0357.460-0368.700 | đoạn từ Hết ranh trụ sở ban chỉ huy quân sự huyện Định Quán
P=1528 | X=0111.410-0388.770 | Y=0369.000-0380.240 | (Cũ) đến Ngã ba Km118 có hiện trạng là đường nhựa, bê tông
P=1528 | X=0111.410-0149.240 | Y=0380.520-0391.760 | xi măng:
P=1528 | X=0095.060-0342.960 | Y=0397.280-0409.280 | 17 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1528 | X=0413.900-0430.540 | Y=0397.280-0406.600 | 640
P=1528 | X=0461.690-0478.330 | Y=0397.280-0406.600 | 450
P=1528 | X=0505.390-0522.030 | Y=0397.280-0406.600 | 380
P=1528 | X=0111.410-0364.720 | Y=0415.560-0426.800 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=1528 | X=0111.410-0206.360 | Y=0427.080-0438.320 | >500m đến ≤1.000m.
P=1528 | X=0111.410-0334.580 | Y=0444.600-0455.840 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1528 | X=0111.410-0376.540 | Y=0462.380-0473.620 | Các tuyến đường giao thông đấu nối trực tiếp ra Quốc lộ 20
P=1528 | X=0111.410-0389.960 | Y=0473.900-0485.140 | đoạn từ Hết ranh trụ sở ban chỉ huy quân sự huyện Định Quán
P=1528 | X=0111.410-0388.770 | Y=0485.420-0496.660 | (Cũ) đến Ngã ba Km118 có hiện trạng là đường nhựa, bê tông
P=1528 | X=0111.410-0149.240 | Y=0496.940-0508.180 | xi măng:
P=1528 | X=0095.060-0106.180 | Y=0504.820-0514.140 | 18
P=1528 | X=0413.900-0430.540 | Y=0504.820-0514.140 | 380
P=1528 | X=0461.690-0478.330 | Y=0504.820-0514.140 | 270
P=1528 | X=0505.390-0522.030 | Y=0504.820-0514.140 | 230
P=1528 | X=0111.410-0352.520 | Y=0514.220-0525.460 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=1528 | X=0111.410-0153.550 | Y=0527.620-0536.940 | >1.000m.
P=1528 | X=0111.410-0335.050 | Y=0543.290-0554.530 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1528 | X=0111.410-0384.920 | Y=0561.050-0572.290 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=1528 | X=0111.410-0371.930 | Y=0572.570-0583.810 | ra Quốc lộ 20 đoạn từ Hết ranh trụ sở ban chỉ huy quân sự
P=1528 | X=0111.410-0371.950 | Y=0584.090-0595.330 | huyện Định Quán (Cũ) đến Ngã ba Km118 có hiện trạng là
P=1528 | X=0095.060-0247.180 | Y=0595.610-0607.050 | 19 đường nhựa, bê tông xi măng:
P=1528 | X=0413.900-0430.540 | Y=0597.730-0607.050 | 810
P=1528 | X=0461.690-0478.330 | Y=0597.730-0607.050 | 570
P=1528 | X=0505.390-0522.030 | Y=0597.730-0607.050 | 490
P=1528 | X=0111.410-0342.490 | Y=0613.130-0624.370 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1528 | X=0111.410-0388.600 | Y=0630.670-0641.910 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=1528 | X=0111.410-0384.920 | Y=0648.430-0659.670 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=1528 | X=0111.410-0371.930 | Y=0659.950-0671.190 | ra Quốc lộ 20 đoạn từ Hết ranh trụ sở ban chỉ huy quân sự
P=1528 | X=0095.060-0371.950 | Y=0671.470-0685.550 | 20 huyện Định Quán (Cũ) đến Ngã ba Km118 có hiện trạng là
P=1528 | X=0413.900-0430.540 | Y=0676.230-0685.550 | 580
P=1528 | X=0461.690-0478.330 | Y=0676.230-0685.550 | 410
P=1528 | X=0505.390-0522.030 | Y=0676.230-0685.550 | 350
P=1528 | X=0111.410-0247.180 | Y=0682.750-0693.990 | đường nhựa, bê tông xi măng:
P=1528 | X=0111.410-0342.960 | Y=0700.290-0711.530 | - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1529 | X=0111.410-0364.720 | Y=0078.500-0089.740 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=1529 | X=0111.410-0206.360 | Y=0090.020-0101.260 | >500m đến ≤1.000m.
P=1529 | X=0111.410-0334.580 | Y=0107.540-0118.780 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1529 | X=0111.410-0384.920 | Y=0125.330-0136.570 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=1529 | X=0111.410-0371.930 | Y=0136.850-0148.090 | ra Quốc lộ 20 đoạn từ Hết ranh trụ sở ban chỉ huy quân sự
P=1529 | X=0111.410-0371.950 | Y=0148.370-0159.610 | huyện Định Quán (Cũ) đến Ngã ba Km118 có hiện trạng là
P=1529 | X=0111.410-0247.220 | Y=0159.650-0170.890 | đường nhựa, bê tông xi măng:
P=1529 | X=0095.060-0106.180 | Y=0167.530-0176.850 | 21
P=1529 | X=0413.900-0430.540 | Y=0167.530-0176.850 | 340
P=1529 | X=0461.690-0478.330 | Y=0167.530-0176.850 | 240
P=1529 | X=0505.390-0522.030 | Y=0167.530-0176.850 | 200
P=1529 | X=0111.410-0352.520 | Y=0177.170-0188.410 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=1529 | X=0111.410-0153.550 | Y=0190.570-0199.890 | >1.000m.
P=1529 | X=0111.410-0335.050 | Y=0206.230-0217.470 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1529 | X=0303.960-0381.550 | Y=0225.870-0235.190 | Giáp ranh xã Tân
P=1529 | X=0095.060-0159.970 | Y=0231.630-0240.950 | 22 Quốc lộ 20
P=1529 | X=0221.590-0288.390 | Y=0231.630-0240.950 | Ngã ba Km118
P=1529 | X=0405.740-0430.790 | Y=0231.630-0240.950 | 1.500
P=1529 | X=0453.530-0478.580 | Y=0231.630-0240.950 | 1.100
P=1529 | X=0505.390-0522.030 | Y=0231.630-0240.950 | 900
P=1529 | X=0303.960-0321.800 | Y=0237.390-0246.710 | Phú
P=1529 | X=0111.410-0376.540 | Y=0253.270-0264.510 | Các tuyến đường giao thông đấu nối trực tiếp ra Quốc lộ 20
P=1529 | X=0111.410-0370.790 | Y=0264.790-0276.030 | đoạn từ Ngã ba Km118 đến Giáp ranh xã Tân Phú có hiện
P=1529 | X=0111.410-0283.190 | Y=0276.310-0287.550 | trạng là đường nhựa, bê tông xi măng:
P=1529 | X=0095.060-0106.180 | Y=0284.220-0293.540 | 23
P=1529 | X=0413.900-0430.540 | Y=0284.220-0293.540 | 510
P=1529 | X=0461.690-0478.330 | Y=0284.220-0293.540 | 360
P=1529 | X=0505.390-0522.030 | Y=0284.220-0293.540 | 310
P=1529 | X=0111.410-0342.490 | Y=0293.860-0305.100 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1529 | X=0111.410-0388.600 | Y=0311.380-0322.620 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=1529 | X=0111.410-0376.540 | Y=0329.140-0340.380 | Các tuyến đường giao thông đấu nối trực tiếp ra Quốc lộ 20
P=1529 | X=0111.410-0370.790 | Y=0340.660-0351.900 | đoạn từ Ngã ba Km118 đến Giáp ranh xã Tân Phú có hiện
P=1529 | X=0111.410-0283.190 | Y=0351.940-0363.180 | trạng là đường nhựa, bê tông xi măng:
P=1529 | X=0095.060-0342.960 | Y=0369.480-0383.800 | 24 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1529 | X=0413.900-0430.540 | Y=0374.480-0383.800 | 380
P=1529 | X=0461.690-0478.330 | Y=0374.480-0383.800 | 270
P=1529 | X=0505.390-0522.030 | Y=0374.480-0383.800 | 230
P=1529 | X=0111.410-0364.720 | Y=0387.000-0398.240 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=1529 | X=0111.410-0206.360 | Y=0398.520-0409.760 | >500m đến ≤1.000m.
P=1529 | X=0111.410-0334.580 | Y=0416.040-0427.280 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1529 | X=0111.410-0376.540 | Y=0433.800-0445.040 | Các tuyến đường giao thông đấu nối trực tiếp ra Quốc lộ 20
P=1529 | X=0111.410-0370.790 | Y=0445.320-0456.560 | đoạn từ Ngã ba Km118 đến Giáp ranh xã Tân Phú có hiện
P=1529 | X=0111.410-0283.190 | Y=0456.860-0468.100 | trạng là đường nhựa, bê tông xi măng:
P=1529 | X=0095.060-0106.180 | Y=0470.500-0479.820 | 25
P=1529 | X=0413.900-0430.540 | Y=0470.500-0479.820 | 260
P=1529 | X=0461.690-0478.330 | Y=0470.500-0479.820 | 180
P=1529 | X=0505.390-0522.030 | Y=0470.500-0479.820 | 160
P=1529 | X=0111.410-0352.520 | Y=0474.380-0485.620 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=1529 | X=0111.410-0153.550 | Y=0487.780-0497.100 | >1.000m.
P=1529 | X=0111.410-0335.050 | Y=0503.420-0514.660 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1529 | X=0111.410-0384.920 | Y=0521.180-0532.420 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
