TABLE=005 | AREA=Phường Trảng Dài | SECTION=non-agricultural | SEGMENTS=1
P=0172 | X=0107.090-0330.260 | Y=0090.020-0101.260 | - Có bề rộng ≥5m, cách đường giao thông >600m.
P=0172 | X=0107.090-0393.980 | Y=0107.540-0118.780 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >400m
P=0172 | X=0107.090-0160.050 | Y=0119.090-0130.330 | đến ≤600m.
P=0172 | X=0107.090-0330.260 | Y=0136.610-0147.850 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0172 | X=0107.090-0392.630 | Y=0154.370-0165.610 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Nguyễn
P=0172 | X=0107.090-0392.860 | Y=0165.650-0176.890 | Ái Quốc đoạn từ Ngã tư Tân Phong đến Hết ranh phường Trảng
P=0172 | X=0107.090-0331.700 | Y=0177.170-0188.410 | Dài có hiện trạng là đường nhựa, bê tông xi măng:
P=0172 | X=0095.810-0101.410 | Y=0185.050-0194.370 | 4
P=0172 | X=0416.540-0441.590 | Y=0185.050-0194.370 | 8.100
P=0172 | X=0457.850-0482.900 | Y=0185.050-0194.370 | 5.700
P=0172 | X=0497.230-0522.280 | Y=0185.050-0194.370 | 4.900
P=0172 | X=0107.090-0384.500 | Y=0194.690-0205.930 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >600m.
P=0172 | X=0107.090-0330.730 | Y=0212.230-0223.470 | - Có bề rộng <3m, cách đường giao thông >200m.
P=0172 | X=0107.090-0392.350 | Y=0229.990-0241.230 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0172 | X=0107.090-0397.420 | Y=0241.510-0252.750 | Đường Nguyễn Ái Quốc đoạn từ Ngã tư Tân Phong đến Hết ranh
P=0172 | X=0107.090-0398.910 | Y=0253.030-0264.270 | phường Trảng Dài có hiện trạng là đường nhựa, bê tông xi măng:
P=0172 | X=0095.810-0101.410 | Y=0260.910-0270.230 | 5
P=0172 | X=0411.020-0441.590 | Y=0260.910-0270.230 | 15.800
P=0172 | X=0452.330-0482.900 | Y=0260.910-0270.230 | 11.100
P=0172 | X=0497.230-0522.280 | Y=0260.910-0270.230 | 9.500
P=0172 | X=0107.090-0330.000 | Y=0270.550-0281.790 | - Có bề rộng ≥5m, cách đường giao thông ≤600m.
P=0172 | X=0107.090-0384.260 | Y=0288.100-0299.340 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤400m.
P=0172 | X=0107.090-0392.350 | Y=0305.860-0317.100 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0172 | X=0107.090-0397.420 | Y=0317.380-0328.620 | Đường Nguyễn Ái Quốc đoạn từ Ngã tư Tân Phong đến Hết ranh
P=0172 | X=0107.090-0398.910 | Y=0328.900-0340.140 | phường Trảng Dài có hiện trạng là đường nhựa, bê tông xi măng:
P=0172 | X=0095.810-0330.260 | Y=0346.420-0360.500 | 6 - Có bề rộng ≥5m, cách đường giao thông >600m.
P=0172 | X=0416.540-0441.590 | Y=0351.180-0360.500 | 9.700
P=0172 | X=0457.850-0482.900 | Y=0351.180-0360.500 | 6.800
P=0172 | X=0497.230-0522.280 | Y=0351.180-0360.500 | 5.800
P=0172 | X=0107.090-0393.980 | Y=0363.700-0374.940 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >400m
P=0172 | X=0107.090-0160.050 | Y=0375.240-0386.480 | đến ≤600m.
P=0172 | X=0107.090-0330.260 | Y=0392.760-0404.000 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0172 | X=0107.090-0392.350 | Y=0410.520-0421.760 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0172 | X=0107.090-0397.420 | Y=0422.040-0433.280 | Đường Nguyễn Ái Quốc đoạn từ Ngã tư Tân Phong đến Hết ranh
P=0172 | X=0107.090-0398.910 | Y=0433.560-0444.800 | phường Trảng Dài có hiện trạng là đường nhựa, bê tông xi măng:
P=0172 | X=0095.810-0101.410 | Y=0441.440-0450.760 | 7
P=0172 | X=0416.540-0441.590 | Y=0441.440-0450.760 | 7.300
P=0172 | X=0457.850-0482.900 | Y=0441.440-0450.760 | 5.100
P=0172 | X=0497.230-0522.280 | Y=0441.440-0450.760 | 4.400
P=0172 | X=0107.090-0384.500 | Y=0451.100-0462.340 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >600m.
P=0172 | X=0107.090-0333.380 | Y=0468.620-0479.860 | - Có bề rộng <3m, cách đường giao thông > 200m.
P=0172 | X=0228.820-0309.320 | Y=0486.380-0497.620 | Đường Nguyễn Ái
P=0172 | X=0095.810-0189.270 | Y=0492.140-0503.380 | 8 Đường Đồng Khởi
P=0172 | X=0311.160-0380.140 | Y=0492.140-0503.380 | Cầu Đồng Khởi
P=0172 | X=0411.020-0441.590 | Y=0494.020-0503.340 | 39.300
P=0172 | X=0452.330-0522.280 | Y=0494.020-0503.340 | 27.500 23.600
P=0172 | X=0228.820-0252.820 | Y=0499.780-0509.100 | Quốc
P=0172 | X=0107.090-0382.070 | Y=0515.660-0526.900 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Đồng
P=0172 | X=0107.090-0380.130 | Y=0527.180-0538.420 | Khởi đoạn từ Đường Nguyễn Ái Quốc đến Cầu Đồng Khởi có
P=0172 | X=0107.090-0300.700 | Y=0538.490-0549.730 | hiện trạng là đường nhựa, bê tông xi măng:
P=0172 | X=0095.810-0101.410 | Y=0546.370-0555.690 | 9
P=0172 | X=0411.020-0441.590 | Y=0546.370-0555.690 | 16.500
P=0172 | X=0452.330-0482.900 | Y=0546.370-0555.690 | 11.600
P=0172 | X=0497.230-0522.280 | Y=0546.370-0555.690 | 9.900
P=0172 | X=0107.090-0330.000 | Y=0556.010-0567.250 | - Có bề rộng ≥5m, cách đường giao thông ≤600m.
P=0172 | X=0107.090-0384.260 | Y=0573.530-0584.770 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤400m.
P=0172 | X=0107.090-0382.070 | Y=0591.290-0602.530 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Đồng
P=0172 | X=0107.090-0380.130 | Y=0602.810-0614.050 | Khởi đoạn từ Đường Nguyễn Ái Quốc đến Cầu Đồng Khởi có
P=0172 | X=0107.090-0300.700 | Y=0614.330-0625.570 | hiện trạng là đường nhựa, bê tông xi măng:
P=0172 | X=0092.900-0330.260 | Y=0631.870-0646.190 | 10 - Có bề rộng ≥5m, cách đường giao thông >600m.
P=0172 | X=0411.020-0441.590 | Y=0636.870-0646.190 | 11.400
P=0172 | X=0463.370-0482.890 | Y=0636.870-0646.190 | 8.00
P=0172 | X=0497.230-0522.280 | Y=0636.870-0646.190 | 6.800
P=0172 | X=0107.090-0393.980 | Y=0649.390-0660.630 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >400m
P=0172 | X=0107.090-0160.050 | Y=0660.910-0672.150 | đến ≤600m.
P=0172 | X=0107.090-0330.260 | Y=0678.430-0689.670 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0172 | X=0107.090-0382.070 | Y=0696.190-0707.430 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Đồng
P=0172 | X=0092.900-0104.020 | Y=0703.860-0713.180 | 11
P=0172 | X=0416.540-0441.590 | Y=0703.860-0713.180 | 7.000
P=0172 | X=0457.850-0482.900 | Y=0703.860-0713.180 | 4.900
P=0172 | X=0497.230-0522.280 | Y=0703.860-0713.180 | 4.200
P=0172 | X=0107.090-0380.130 | Y=0707.730-0718.970 | Khởi đoạn từ Đường Nguyễn Ái Quốc đến Cầu Đồng Khởi có
P=0173 | X=0107.090-0300.700 | Y=0072.500-0083.740 | hiện trạng là đường nhựa, bê tông xi măng:
P=0173 | X=0107.090-0384.500 | Y=0090.020-0101.260 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >600m.
P=0173 | X=0107.090-0330.730 | Y=0107.540-0118.780 | - Có bề rộng <3m, cách đường giao thông >200m.
P=0173 | X=0107.090-0392.350 | Y=0125.330-0136.570 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0173 | X=0107.090-0377.030 | Y=0136.850-0148.090 | Đường Đồng Khởi đoạn từ Đường Nguyễn Ái Quốc đến Cầu
P=0173 | X=0107.090-0364.320 | Y=0148.370-0159.610 | Đồng Khởi có hiện trạng là đường nhựa, bê tông xi măng:
P=0173 | X=0092.900-0104.020 | Y=0156.250-0165.570 | 12
P=0173 | X=0411.020-0441.590 | Y=0156.250-0165.570 | 14.900
P=0173 | X=0452.330-0482.900 | Y=0156.250-0165.570 | 10.400
P=0173 | X=0497.230-0522.280 | Y=0156.250-0165.570 | 8.900
P=0173 | X=0107.090-0330.000 | Y=0165.650-0176.890 | - Có bề rộng ≥5m, cách đường giao thông ≤600m.
P=0173 | X=0107.090-0384.260 | Y=0183.170-0194.410 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤400m.
P=0173 | X=0107.090-0392.350 | Y=0200.950-0212.190 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0173 | X=0107.090-0377.030 | Y=0212.470-0223.710 | Đường Đồng Khởi đoạn từ Đường Nguyễn Ái Quốc đến Cầu
P=0173 | X=0107.090-0364.320 | Y=0223.990-0235.230 | Đồng Khởi có hiện trạng là đường nhựa, bê tông xi măng:
P=0173 | X=0092.900-0330.260 | Y=0241.510-0255.830 | 13 - Có bề rộng ≥5m, cách đường giao thông >600m.
P=0173 | X=0411.020-0441.590 | Y=0246.510-0255.830 | 10.300
P=0173 | X=0457.850-0482.900 | Y=0246.510-0255.830 | 7.200
P=0173 | X=0497.230-0522.280 | Y=0246.510-0255.830 | 6.200
P=0173 | X=0107.090-0393.990 | Y=0259.030-0270.270 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >400m
P=0173 | X=0107.090-0160.050 | Y=0270.550-0281.790 | đến ≤600m.
P=0173 | X=0107.090-0330.260 | Y=0288.100-0299.340 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0173 | X=0107.090-0392.350 | Y=0305.860-0317.100 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0173 | X=0107.090-0377.030 | Y=0317.380-0328.620 | Đường Đồng Khởi đoạn từ Đường Nguyễn Ái Quốc đến Cầu
P=0173 | X=0107.090-0364.380 | Y=0328.900-0340.140 | Đồng Khởi có hiện trạng là đường nhựa, bê tông xi măng:
P=0173 | X=0092.900-0104.020 | Y=0336.780-0346.100 | 14
P=0173 | X=0416.540-0441.590 | Y=0336.780-0346.100 | 6.300
P=0173 | X=0457.850-0482.900 | Y=0336.780-0346.100 | 4.400
P=0173 | X=0497.230-0522.280 | Y=0336.780-0346.100 | 3.800
P=0173 | X=0107.090-0384.500 | Y=0346.420-0357.660 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >600m.
P=0173 | X=0107.090-0333.380 | Y=0363.700-0374.940 | - Có bề rộng <3m, cách đường giao thông > 200m.
P=0173 | X=0311.160-0380.140 | Y=0381.480-0392.720 | Đường Nguyễn
P=0173 | X=0092.900-0189.270 | Y=0387.240-0398.480 | 15 Đường Đồng Khởi
P=0173 | X=0228.820-0297.800 | Y=0387.240-0398.480 | Cầu Đồng Khởi
P=0173 | X=0411.020-0441.590 | Y=0389.120-0398.440 | 29.300
P=0173 | X=0452.330-0522.280 | Y=0389.120-0398.440 | 20.500 17.600
P=0173 | X=0311.160-0351.300 | Y=0393.000-0404.240 | Văn Tiên
P=0173 | X=0107.090-0382.070 | Y=0410.760-0422.000 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Đồng
P=0173 | X=0107.090-0384.430 | Y=0422.280-0433.520 | Khởi đoạn từ Cầu Đồng Khởi đến Đường Nguyễn Văn Tiên có
P=0173 | X=0107.090-0300.700 | Y=0433.800-0445.040 | hiện trạng là đường nhựa, bê tông xi măng:
P=0173 | X=0092.900-0104.020 | Y=0441.680-0451.000 | 16
P=0173 | X=0411.020-0441.590 | Y=0441.680-0451.000 | 11.300
P=0173 | X=0457.850-0482.900 | Y=0441.680-0451.000 | 7.900
P=0173 | X=0497.230-0522.280 | Y=0441.680-0451.000 | 6.800
P=0173 | X=0107.090-0330.000 | Y=0451.340-0462.580 | - Có bề rộng ≥5m, cách đường giao thông ≤600m.
P=0173 | X=0107.090-0384.260 | Y=0468.860-0480.100 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤400m.
P=0173 | X=0107.090-0382.070 | Y=0486.620-0497.860 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Đồng
P=0173 | X=0107.090-0384.430 | Y=0498.140-0509.380 | Khởi đoạn từ Cầu Đồng Khởi đến Đường Nguyễn Văn Tiên có
P=0173 | X=0107.090-0300.700 | Y=0509.660-0520.900 | hiện trạng là đường nhựa, bê tông xi măng:
P=0173 | X=0092.900-0330.260 | Y=0527.180-0541.260 | 17 - Có bề rộng ≥5m, cách đường giao thông >600m.
P=0173 | X=0416.540-0441.590 | Y=0531.940-0541.260 | 6.700
P=0173 | X=0457.850-0482.900 | Y=0531.940-0541.260 | 4.700
P=0173 | X=0497.230-0522.280 | Y=0531.940-0541.260 | 4.000
P=0173 | X=0107.090-0393.980 | Y=0544.490-0555.730 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >400m
P=0173 | X=0107.090-0160.050 | Y=0556.010-0567.250 | đến ≤600m.
P=0173 | X=0107.090-0330.260 | Y=0573.530-0584.770 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0173 | X=0107.090-0382.070 | Y=0591.290-0602.530 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Đồng
P=0173 | X=0107.090-0384.430 | Y=0602.810-0614.050 | Khởi đoạn từ Cầu Đồng Khởi đến Đường Nguyễn Văn Tiên có
P=0173 | X=0107.090-0300.700 | Y=0614.330-0625.570 | hiện trạng là đường nhựa, bê tông xi măng:
P=0173 | X=0092.900-0104.020 | Y=0622.230-0631.550 | 18
P=0173 | X=0416.540-0441.590 | Y=0622.230-0631.550 | 4.400
P=0173 | X=0457.850-0482.900 | Y=0622.230-0631.550 | 3.100
P=0173 | X=0497.230-0522.280 | Y=0622.230-0631.550 | 2.600
P=0173 | X=0107.090-0384.500 | Y=0631.870-0643.110 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >600m.
P=0173 | X=0107.090-0330.730 | Y=0649.390-0660.630 | - Có bề rộng <3m, cách đường giao thông >200m.
P=0173 | X=0107.090-0392.350 | Y=0667.150-0678.390 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0173 | X=0107.090-0389.260 | Y=0678.670-0689.910 | Đường Đồng Khởi đoạn từ Cầu Đồng Khởi đến Đường Nguyễn
P=0173 | X=0092.900-0356.650 | Y=0689.190-0701.430 | 19 Văn Tiên có hiện trạng là đường nhựa, bê tông xi măng:
P=0173 | X=0411.020-0441.590 | Y=0689.190-0698.510 | 10.200
P=0173 | X=0457.850-0482.900 | Y=0689.190-0698.510 | 7.100
P=0173 | X=0497.230-0522.280 | Y=0689.190-0698.510 | 6.100
P=0173 | X=0107.090-0330.000 | Y=0707.730-0718.970 | - Có bề rộng ≥5m, cách đường giao thông ≤600m.
P=0174 | X=0107.090-0384.260 | Y=0078.500-0089.740 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤400m.
P=0174 | X=0107.090-0392.350 | Y=0096.260-0107.500 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0174 | X=0107.090-0389.260 | Y=0107.780-0119.020 | Đường Đồng Khởi đoạn từ Cầu Đồng Khởi đến Đường Nguyễn
P=0174 | X=0107.090-0356.650 | Y=0119.330-0130.570 | Văn Tiên có hiện trạng là đường nhựa, bê tông xi măng:
P=0174 | X=0092.900-0330.260 | Y=0136.850-0150.930 | 20 - Có bề rộng ≥5m, cách đường giao thông >600m.
P=0174 | X=0416.540-0441.590 | Y=0141.610-0150.930 | 6.000
P=0174 | X=0457.850-0482.900 | Y=0141.610-0150.930 | 4.200
P=0174 | X=0497.230-0522.280 | Y=0141.610-0150.930 | 3.600
P=0174 | X=0107.090-0393.980 | Y=0154.370-0165.610 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >400m
P=0174 | X=0107.090-0160.050 | Y=0165.650-0176.890 | đến ≤600m.
P=0174 | X=0107.090-0330.260 | Y=0183.170-0194.410 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0174 | X=0107.090-0392.350 | Y=0200.950-0212.190 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0174 | X=0107.090-0389.260 | Y=0212.470-0223.710 | Đường Đồng Khởi đoạn từ Cầu Đồng Khởi đến Đường Nguyễn
P=0174 | X=0107.090-0356.650 | Y=0223.990-0235.230 | Văn Tiên có hiện trạng là đường nhựa, bê tông xi măng:
P=0174 | X=0092.900-0104.020 | Y=0231.870-0241.190 | 21
P=0174 | X=0416.540-0441.590 | Y=0231.870-0241.190 | 4.000
P=0174 | X=0457.850-0482.900 | Y=0231.870-0241.190 | 2.800
P=0174 | X=0497.230-0522.280 | Y=0231.870-0241.190 | 2.400
P=0174 | X=0107.090-0384.500 | Y=0241.510-0252.750 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >600m.
P=0174 | X=0107.090-0333.380 | Y=0259.030-0270.270 | - Có bề rộng <3m, cách đường giao thông > 200m.
P=0174 | X=0228.820-0297.800 | Y=0276.790-0288.030 | Đường Nguyễn
P=0174 | X=0311.160-0396.840 | Y=0276.790-0288.030 | Đường vào công ty
P=0174 | X=0092.900-0189.270 | Y=0282.580-0293.820 | 22 Đường Đồng Khởi
P=0174 | X=0411.020-0441.590 | Y=0284.460-0293.780 | 23.700
P=0174 | X=0452.330-0522.280 | Y=0284.460-0293.780 | 16.600 14.200
P=0174 | X=0228.820-0268.960 | Y=0288.340-0299.580 | Văn Tiên
P=0174 | X=0311.160-0354.680 | Y=0290.220-0299.540 | Trấn Biên
P=0174 | X=0107.090-0382.070 | Y=0306.100-0317.340 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Đồng
P=0174 | X=0107.090-0387.960 | Y=0317.620-0328.860 | Khởi đoạn từ Đường Nguyễn Văn Tiên đến Đường vào công ty
P=0174 | X=0107.090-0360.010 | Y=0329.140-0340.380 | Trấn Biên có hiện trạng là đường nhựa, bê tông xi măng:
P=0174 | X=0092.900-0104.020 | Y=0337.020-0346.340 | 23
P=0174 | X=0411.020-0441.590 | Y=0337.020-0346.340 | 11.300
P=0174 | X=0457.850-0482.900 | Y=0337.020-0346.340 | 7.900
P=0174 | X=0497.230-0522.280 | Y=0337.020-0346.340 | 6.800
P=0174 | X=0107.090-0330.000 | Y=0346.660-0357.900 | - Có bề rộng ≥5m, cách đường giao thông ≤600m.
P=0174 | X=0107.090-0384.260 | Y=0363.940-0375.180 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤400m.
P=0174 | X=0107.090-0382.070 | Y=0381.720-0392.960 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Đồng
P=0174 | X=0107.090-0387.960 | Y=0393.240-0404.480 | Khởi đoạn từ Đường Nguyễn Văn Tiên đến Đường vào công ty
P=0174 | X=0107.090-0360.010 | Y=0404.760-0416.000 | Trấn Biên có hiện trạng là đường nhựa, bê tông xi măng:
P=0174 | X=0092.900-0330.260 | Y=0422.280-0436.600 | 24 - Có bề rộng ≥5m, cách đường giao thông >600m.
P=0174 | X=0416.540-0441.590 | Y=0427.280-0436.600 | 5.900
P=0174 | X=0457.850-0482.900 | Y=0427.280-0436.600 | 4.100
P=0174 | X=0497.230-0522.280 | Y=0427.280-0436.600 | 3.500
P=0174 | X=0107.090-0393.980 | Y=0439.800-0451.040 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >400m
P=0174 | X=0107.090-0160.050 | Y=0451.340-0462.580 | đến ≤600m.
P=0174 | X=0107.090-0330.260 | Y=0468.860-0480.100 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0174 | X=0107.090-0382.070 | Y=0486.620-0497.860 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Đồng
P=0174 | X=0107.090-0387.960 | Y=0498.140-0509.380 | Khởi đoạn từ Đường Nguyễn Văn Tiên đến Đường vào công ty
P=0174 | X=0107.090-0360.010 | Y=0509.660-0520.900 | Trấn Biên có hiện trạng là đường nhựa, bê tông xi măng:
P=0174 | X=0092.900-0104.020 | Y=0517.540-0526.860 | 25
P=0174 | X=0416.540-0441.590 | Y=0517.540-0526.860 | 3.700
P=0174 | X=0457.850-0482.900 | Y=0517.540-0526.860 | 2.600
P=0174 | X=0497.230-0522.280 | Y=0517.540-0526.860 | 2.200
P=0174 | X=0107.090-0384.550 | Y=0527.180-0538.420 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >600m.
P=0174 | X=0107.090-0330.730 | Y=0544.490-0555.730 | - Có bề rộng <3m, cách đường giao thông >200m.
P=0174 | X=0107.090-0392.350 | Y=0562.250-0573.490 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0174 | X=0107.090-0395.030 | Y=0573.770-0585.010 | Đường Đồng Khởi đoạn từ Đường Nguyễn Văn Tiên đến Đường
P=0174 | X=0107.090-0383.240 | Y=0585.290-0596.530 | vào công ty Trấn Biên có hiện trạng là đường nhựa, bê tông xi
P=0174 | X=0092.900-0135.090 | Y=0598.690-0608.250 | 26 măng:
P=0174 | X=0411.020-0441.590 | Y=0598.930-0608.250 | 10.200
P=0174 | X=0457.850-0482.900 | Y=0598.930-0608.250 | 7.100
P=0174 | X=0497.230-0522.280 | Y=0598.930-0608.250 | 6.100
P=0174 | X=0107.090-0330.000 | Y=0614.330-0625.570 | - Có bề rộng ≥5m, cách đường giao thông ≤600m.
P=0174 | X=0107.090-0384.260 | Y=0631.870-0643.110 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤400m.
P=0174 | X=0107.090-0392.350 | Y=0649.630-0660.870 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0174 | X=0107.090-0395.030 | Y=0661.150-0672.390 | Đường Đồng Khởi đoạn từ Đường Nguyễn Văn Tiên đến Đường
P=0174 | X=0092.900-0383.240 | Y=0672.670-0686.750 | 27 vào công ty Trấn Biên có hiện trạng là đường nhựa, bê tông xi
P=0174 | X=0416.540-0441.590 | Y=0677.430-0686.750 | 5.300
P=0174 | X=0457.850-0482.900 | Y=0677.430-0686.750 | 3.700
P=0174 | X=0497.230-0522.280 | Y=0677.430-0686.750 | 3.200
P=0174 | X=0107.090-0135.090 | Y=0684.190-0695.430 | măng:
P=0174 | X=0107.090-0330.260 | Y=0701.730-0712.970 | - Có bề rộng ≥5m, cách đường giao thông >600m.
P=0175 | X=0107.090-0393.980 | Y=0078.500-0089.740 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >400m
P=0175 | X=0107.090-0160.050 | Y=0090.020-0101.260 | đến ≤600m.
P=0175 | X=0107.090-0330.260 | Y=0107.540-0118.780 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0175 | X=0107.090-0392.350 | Y=0125.330-0136.570 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0175 | X=0107.090-0395.030 | Y=0136.850-0148.090 | Đường Đồng Khởi đoạn từ Đường Nguyễn Văn Tiên đến Đường
P=0175 | X=0107.090-0383.240 | Y=0148.370-0159.610 | vào công ty Trấn Biên có hiện trạng là đường nhựa, bê tông xi
P=0175 | X=0092.900-0135.090 | Y=0159.650-0171.330 | 28 măng:
P=0175 | X=0416.540-0441.590 | Y=0162.010-0171.330 | 3.300
P=0175 | X=0457.850-0482.900 | Y=0162.010-0171.330 | 2.300
P=0175 | X=0497.230-0522.280 | Y=0162.010-0171.330 | 2.000
