TABLE=046 | AREA=Xã Phú Hòa | SECTION=non-agricultural | SEGMENTS=1
P=1563 | X=0111.170-0257.500 | Y=0386.040-0397.280 | là đường nhựa, bê tông xi măng:
P=1563 | X=0097.730-0103.330 | Y=0393.920-0403.240 | 2
P=1563 | X=0413.660-0430.300 | Y=0393.920-0403.240 | 340
P=1563 | X=0461.450-0478.090 | Y=0393.920-0403.240 | 240
P=1563 | X=0505.390-0522.030 | Y=0393.920-0403.240 | 200
P=1563 | X=0111.170-0342.250 | Y=0403.560-0414.800 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1563 | X=0111.170-0388.360 | Y=0421.080-0432.320 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=1563 | X=0111.170-0377.470 | Y=0438.840-0450.080 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Trà
P=1563 | X=0111.170-0382.790 | Y=0450.380-0461.620 | Cổ đoạn từ Giáp ranh xã Tân Phú đến Cầu đập có hiện trạng
P=1563 | X=0111.170-0257.500 | Y=0461.900-0473.140 | là đường nhựa, bê tông xi măng:
P=1563 | X=0097.730-0342.720 | Y=0479.420-0493.500 | 3 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1563 | X=0413.660-0430.300 | Y=0484.180-0493.500 | 280
P=1563 | X=0461.450-0478.090 | Y=0484.180-0493.500 | 200
P=1563 | X=0505.390-0522.030 | Y=0484.180-0493.500 | 170
P=1563 | X=0111.170-0364.480 | Y=0496.940-0508.180 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=1563 | X=0111.170-0206.120 | Y=0508.220-0519.460 | >500m đến ≤1.000m.
P=1563 | X=0111.170-0334.340 | Y=0525.740-0536.980 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1563 | X=0111.170-0377.470 | Y=0543.530-0554.770 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Trà
P=1563 | X=0111.170-0382.790 | Y=0555.050-0566.290 | Cổ đoạn từ Giáp ranh xã Tân Phú đến Cầu đập có hiện trạng
P=1563 | X=0111.170-0257.500 | Y=0566.570-0577.810 | là đường nhựa, bê tông xi măng:
P=1563 | X=0097.730-0103.330 | Y=0580.210-0589.530 | 4
P=1563 | X=0413.660-0430.300 | Y=0580.210-0589.530 | 180
P=1563 | X=0461.450-0478.090 | Y=0580.210-0589.530 | 130
P=1563 | X=0505.390-0522.030 | Y=0580.210-0589.530 | 110
P=1563 | X=0111.170-0352.280 | Y=0584.090-0595.330 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=1563 | X=0111.170-0153.310 | Y=0597.490-0606.810 | >1.000m.
P=1563 | X=0111.170-0334.810 | Y=0613.130-0624.370 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1563 | X=0111.170-0384.710 | Y=0630.910-0642.150 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=1563 | X=0111.170-0385.670 | Y=0642.430-0653.670 | ra Đường Trà Cổ đoạn từ Giáp ranh xã Tân Phú đến Cầu đập
P=1563 | X=0111.170-0318.020 | Y=0653.950-0665.190 | có hiện trạng là đường nhựa, bê tông xi măng:
P=1563 | X=0097.730-0103.330 | Y=0661.830-0671.150 | 5
P=1563 | X=0413.660-0430.300 | Y=0661.830-0671.150 | 310
P=1563 | X=0461.450-0478.090 | Y=0661.830-0671.150 | 220
P=1563 | X=0505.390-0522.030 | Y=0661.830-0671.150 | 190
P=1563 | X=0111.170-0342.250 | Y=0671.470-0682.710 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1563 | X=0111.170-0388.360 | Y=0688.750-0699.990 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=1563 | X=0097.730-0384.680 | Y=0706.530-0717.770 | 6 Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=1563 | X=0413.660-0430.300 | Y=0708.420-0717.740 | 250
P=1563 | X=0461.450-0478.090 | Y=0708.420-0717.740 | 180
P=1563 | X=0505.390-0522.030 | Y=0708.420-0717.740 | 150
P=1564 | X=0111.170-0385.670 | Y=0072.500-0083.740 | ra Đường Trà Cổ đoạn từ Giáp ranh xã Tân Phú đến Cầu đập
P=1564 | X=0111.170-0318.020 | Y=0084.020-0095.260 | có hiện trạng là đường nhựa, bê tông xi măng:
P=1564 | X=0111.170-0342.720 | Y=0101.540-0112.780 | - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1564 | X=0111.170-0364.480 | Y=0119.090-0130.330 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=1564 | X=0111.170-0206.120 | Y=0130.610-0141.850 | >500m đến ≤1.000m.
P=1564 | X=0111.170-0334.340 | Y=0148.130-0159.370 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1564 | X=0111.170-0384.680 | Y=0165.650-0176.890 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=1564 | X=0111.170-0385.670 | Y=0177.170-0188.410 | ra Đường Trà Cổ đoạn từ Giáp ranh xã Tân Phú đến Cầu đập
P=1564 | X=0111.170-0318.020 | Y=0188.690-0199.930 | có hiện trạng là đường nhựa, bê tông xi măng:
P=1564 | X=0097.730-0103.330 | Y=0202.350-0211.670 | 7
P=1564 | X=0413.660-0430.300 | Y=0202.350-0211.670 | 160
P=1564 | X=0461.450-0478.090 | Y=0202.350-0211.670 | 110
P=1564 | X=0505.390-0522.030 | Y=0202.350-0211.670 | 100
P=1564 | X=0111.170-0352.280 | Y=0206.230-0217.470 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=1564 | X=0111.170-0153.310 | Y=0219.630-0228.950 | >1.000m.
P=1564 | X=0111.170-0334.810 | Y=0235.270-0246.510 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1564 | X=0304.200-0371.010 | Y=0253.030-0264.270 | Đường Ngã ba
P=1564 | X=0223.270-0280.710 | Y=0254.910-0264.230 | Giáp ranh xã
P=1564 | X=0097.730-0159.730 | Y=0260.670-0269.990 | 8 Quốc lộ 20
P=1564 | X=0405.500-0430.550 | Y=0260.670-0269.990 | 7.700
P=1564 | X=0453.290-0478.340 | Y=0260.670-0269.990 | 5.400
P=1564 | X=0497.230-0522.280 | Y=0260.670-0269.990 | 4.600
P=1564 | X=0223.270-0271.380 | Y=0264.550-0275.790 | Định Quán
P=1564 | X=0304.200-0387.080 | Y=0266.430-0275.750 | Phú Lợi - Phú Hòa
P=1564 | X=0111.170-0376.300 | Y=0282.340-0293.580 | Các tuyến đường giao thông đấu nối trực tiếp ra Quốc lộ 20
P=1564 | X=0111.170-0389.180 | Y=0293.860-0305.100 | đoạn từ Giáp ranh xã Định Quán đến Đường Ngã ba Phú Lợi -
P=1564 | X=0111.170-0359.530 | Y=0305.380-0316.620 | Phú Hòa có hiện trạng là đường nhựa, bê tông xi măng:
P=1564 | X=0097.730-0103.330 | Y=0313.260-0322.580 | 9
P=1564 | X=0405.500-0430.550 | Y=0313.260-0322.580 | 2.000
P=1564 | X=0453.290-0478.340 | Y=0313.260-0322.580 | 1.400
P=1564 | X=0497.230-0522.280 | Y=0313.260-0322.580 | 1.200
P=1564 | X=0111.170-0342.250 | Y=0322.900-0334.140 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1564 | X=0111.170-0388.360 | Y=0340.420-0351.660 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=1564 | X=0111.170-0376.300 | Y=0357.940-0369.180 | Các tuyến đường giao thông đấu nối trực tiếp ra Quốc lộ 20
P=1564 | X=0111.170-0389.180 | Y=0369.480-0380.720 | đoạn từ Giáp ranh xã Định Quán đến Đường Ngã ba Phú Lợi -
P=1564 | X=0111.170-0359.530 | Y=0381.000-0392.240 | Phú Hòa có hiện trạng là đường nhựa, bê tông xi măng:
P=1564 | X=0094.820-0342.720 | Y=0398.520-0412.840 | 10 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1564 | X=0405.500-0430.550 | Y=0403.520-0412.840 | 1.300
P=1564 | X=0461.450-0478.090 | Y=0403.520-0412.840 | 910
P=1564 | X=0505.390-0522.030 | Y=0403.520-0412.840 | 780
P=1564 | X=0111.170-0364.480 | Y=0416.040-0427.280 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=1564 | X=0111.170-0206.160 | Y=0427.560-0438.800 | >500m đến ≤1.000m.
P=1564 | X=0111.170-0334.340 | Y=0445.080-0456.320 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1564 | X=0111.170-0376.300 | Y=0462.860-0474.100 | Các tuyến đường giao thông đấu nối trực tiếp ra Quốc lộ 20
P=1564 | X=0111.170-0389.180 | Y=0474.380-0485.620 | đoạn từ Giáp ranh xã Định Quán đến Đường Ngã ba Phú Lợi -
P=1564 | X=0111.170-0359.530 | Y=0485.900-0497.140 | Phú Hòa có hiện trạng là đường nhựa, bê tông xi măng:
P=1564 | X=0094.820-0105.940 | Y=0499.540-0508.860 | 11
P=1564 | X=0405.500-0430.550 | Y=0499.540-0508.860 | 1.100
P=1564 | X=0461.450-0478.090 | Y=0499.540-0508.860 | 770
P=1564 | X=0505.390-0522.030 | Y=0499.540-0508.860 | 660
P=1564 | X=0111.170-0352.280 | Y=0503.420-0514.660 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=1564 | X=0111.170-0153.310 | Y=0516.820-0526.140 | >1.000m.
P=1564 | X=0111.170-0334.810 | Y=0532.220-0543.460 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1564 | X=0111.170-0384.680 | Y=0550.010-0561.250 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=1564 | X=0111.170-0373.190 | Y=0561.530-0572.770 | ra Quốc lộ 20 đoạn từ Giáp ranh xã Định Quán đến Đường
P=1564 | X=0111.170-0375.800 | Y=0573.050-0584.290 | Ngã ba Phú Lợi - Phú Hòa có hiện trạng là đường nhựa, bê
P=1564 | X=0094.820-0171.330 | Y=0584.570-0596.010 | 12 tông xi măng:
P=1564 | X=0405.500-0430.550 | Y=0586.690-0596.010 | 1.800
P=1564 | X=0453.290-0478.340 | Y=0586.690-0596.010 | 1.300
P=1564 | X=0497.230-0522.280 | Y=0586.690-0596.010 | 1.100
P=1564 | X=0111.170-0342.250 | Y=0602.090-0613.330 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1564 | X=0111.170-0388.360 | Y=0619.630-0630.870 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=1564 | X=0111.170-0384.680 | Y=0637.390-0648.630 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=1564 | X=0111.170-0373.190 | Y=0648.910-0660.150 | ra Quốc lộ 20 đoạn từ Giáp ranh xã Định Quán đến Đường
P=1564 | X=0111.170-0375.800 | Y=0660.430-0671.670 | Ngã ba Phú Lợi - Phú Hòa có hiện trạng là đường nhựa, bê
P=1564 | X=0094.820-0171.330 | Y=0671.950-0683.390 | 13 tông xi măng:
P=1564 | X=0405.500-0430.550 | Y=0674.070-0683.390 | 1.200
P=1564 | X=0461.450-0478.090 | Y=0674.070-0683.390 | 840
P=1564 | X=0505.390-0522.030 | Y=0674.070-0683.390 | 720
P=1564 | X=0111.170-0342.720 | Y=0689.470-0700.710 | - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1564 | X=0111.170-0364.480 | Y=0706.770-0718.010 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=1565 | X=0111.170-0206.120 | Y=0072.500-0083.740 | >500m đến ≤1.000m.
P=1565 | X=0111.170-0334.360 | Y=0090.020-0101.260 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1565 | X=0111.170-0384.680 | Y=0107.780-0119.020 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=1565 | X=0111.170-0373.190 | Y=0119.330-0130.570 | ra Quốc lộ 20 đoạn từ Giáp ranh xã Định Quán đến Đường
P=1565 | X=0111.170-0375.800 | Y=0130.850-0142.090 | Ngã ba Phú Lợi - Phú Hòa có hiện trạng là đường nhựa, bê
P=1565 | X=0111.170-0171.330 | Y=0142.370-0153.610 | tông xi măng:
P=1565 | X=0094.820-0105.940 | Y=0150.250-0159.570 | 14
P=1565 | X=0405.500-0430.550 | Y=0150.250-0159.570 | 1.000
P=1565 | X=0461.450-0478.090 | Y=0150.250-0159.570 | 700
P=1565 | X=0505.390-0522.030 | Y=0150.250-0159.570 | 600
P=1565 | X=0111.170-0352.290 | Y=0159.650-0170.890 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=1565 | X=0111.170-0153.310 | Y=0173.050-0182.370 | >1.000m.
P=1565 | X=0111.170-0334.810 | Y=0188.690-0199.930 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1565 | X=0304.200-0371.550 | Y=0208.350-0217.670 | Hết ranh trụ sở
P=1565 | X=0223.270-0290.110 | Y=0212.230-0223.470 | Đường Ngã ba
P=1565 | X=0304.200-0380.620 | Y=0219.870-0229.190 | ban chỉ huy quân
P=1565 | X=0094.820-0159.730 | Y=0225.630-0234.950 | 15 Quốc lộ 20
P=1565 | X=0223.270-0285.060 | Y=0225.630-0234.950 | Phú Lợi - Phú
P=1565 | X=0405.500-0430.550 | Y=0225.630-0234.950 | 3.800
P=1565 | X=0453.290-0478.340 | Y=0225.630-0234.950 | 2.700
P=1565 | X=0497.230-0522.280 | Y=0225.630-0234.950 | 2.300
P=1565 | X=0304.200-0369.350 | Y=0229.510-0240.750 | sự huyện Định
P=1565 | X=0223.270-0241.600 | Y=0237.150-0246.470 | Hòa
P=1565 | X=0304.200-0351.000 | Y=0241.030-0252.270 | Quán (Cũ)
P=1565 | X=0111.170-0376.300 | Y=0258.790-0270.030 | Các tuyến đường giao thông đấu nối trực tiếp ra Quốc lộ 20
P=1565 | X=0111.170-0375.820 | Y=0270.310-0281.550 | đoạn từ Đường Ngã ba Phú Lợi - Phú Hòa đến Hết ranh trụ
P=1565 | X=0111.170-0379.660 | Y=0281.860-0293.100 | sở ban chỉ huy quân sự huyện Định Quán (Cũ) có hiện trạng
P=1565 | X=0094.820-0257.500 | Y=0293.380-0304.820 | 16 là đường nhựa, bê tông xi măng:
P=1565 | X=0405.500-0430.550 | Y=0295.500-0304.820 | 1.200
P=1565 | X=0461.450-0478.090 | Y=0295.500-0304.820 | 840
P=1565 | X=0505.390-0522.030 | Y=0295.500-0304.820 | 720
P=1565 | X=0111.170-0342.250 | Y=0310.900-0322.140 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1565 | X=0111.170-0388.380 | Y=0328.420-0339.660 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=1565 | X=0111.170-0376.300 | Y=0345.940-0357.180 | Các tuyến đường giao thông đấu nối trực tiếp ra Quốc lộ 20
P=1565 | X=0111.170-0375.820 | Y=0357.460-0368.700 | đoạn từ Đường Ngã ba Phú Lợi - Phú Hòa đến Hết ranh trụ
P=1565 | X=0111.170-0379.660 | Y=0369.000-0380.240 | sở ban chỉ huy quân sự huyện Định Quán (Cũ) có hiện trạng
P=1565 | X=0111.170-0257.500 | Y=0380.520-0391.760 | là đường nhựa, bê tông xi măng:
P=1565 | X=0094.820-0342.720 | Y=0397.280-0409.280 | 17 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1565 | X=0405.500-0430.550 | Y=0397.280-0406.600 | 1.000
P=1565 | X=0461.450-0478.090 | Y=0397.280-0406.600 | 700
P=1565 | X=0505.390-0522.030 | Y=0397.280-0406.600 | 600
P=1565 | X=0111.170-0364.480 | Y=0415.560-0426.800 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=1565 | X=0111.170-0206.120 | Y=0427.080-0438.320 | >500m đến ≤1.000m.
P=1565 | X=0111.170-0334.340 | Y=0444.600-0455.840 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1565 | X=0111.170-0376.300 | Y=0462.380-0473.620 | Các tuyến đường giao thông đấu nối trực tiếp ra Quốc lộ 20
P=1565 | X=0111.170-0375.820 | Y=0473.900-0485.140 | đoạn từ Đường Ngã ba Phú Lợi - Phú Hòa đến Hết ranh trụ
P=1565 | X=0111.170-0379.660 | Y=0485.420-0496.660 | sở ban chỉ huy quân sự huyện Định Quán (Cũ) có hiện trạng
P=1565 | X=0111.170-0257.500 | Y=0496.940-0508.180 | là đường nhựa, bê tông xi măng:
P=1565 | X=0094.820-0105.940 | Y=0504.820-0514.140 | 18
P=1565 | X=0413.660-0430.300 | Y=0504.820-0514.140 | 640
P=1565 | X=0461.450-0478.090 | Y=0504.820-0514.140 | 450
P=1565 | X=0505.390-0522.030 | Y=0504.820-0514.140 | 380
P=1565 | X=0111.170-0352.280 | Y=0514.220-0525.460 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=1565 | X=0111.170-0153.310 | Y=0527.620-0536.940 | >1.000m.
P=1565 | X=0111.170-0334.810 | Y=0543.290-0554.530 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1565 | X=0111.170-0384.680 | Y=0561.050-0572.290 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=1565 | X=0111.170-0382.790 | Y=0572.570-0583.810 | ra Quốc lộ 20 đoạn từ Đường Ngã ba Phú Lợi - Phú Hòa đến
P=1565 | X=0111.170-0388.050 | Y=0584.090-0595.330 | Hết ranh trụ sở ban chỉ huy quân sự huyện Định Quán (Cũ) có
P=1565 | X=0094.820-0304.780 | Y=0595.610-0607.050 | 19 hiện trạng là đường nhựa, bê tông xi măng:
P=1565 | X=0405.500-0430.550 | Y=0597.730-0607.050 | 1.100
P=1565 | X=0461.450-0478.090 | Y=0597.730-0607.050 | 770
P=1565 | X=0505.390-0522.030 | Y=0597.730-0607.050 | 660
P=1565 | X=0111.170-0342.250 | Y=0613.130-0624.370 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1565 | X=0111.170-0388.360 | Y=0630.670-0641.910 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=1565 | X=0111.170-0384.680 | Y=0648.430-0659.670 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=1565 | X=0111.170-0382.790 | Y=0659.950-0671.190 | ra Quốc lộ 20 đoạn từ Đường Ngã ba Phú Lợi - Phú Hòa đến
P=1565 | X=0094.820-0388.050 | Y=0671.470-0685.550 | 20 Hết ranh trụ sở ban chỉ huy quân sự huyện Định Quán (Cũ) có
P=1565 | X=0413.660-0430.300 | Y=0676.230-0685.550 | 900
P=1565 | X=0461.450-0478.090 | Y=0676.230-0685.550 | 630
P=1565 | X=0505.390-0522.030 | Y=0676.230-0685.550 | 540
P=1565 | X=0111.170-0304.780 | Y=0682.750-0693.990 | hiện trạng là đường nhựa, bê tông xi măng:
P=1565 | X=0111.170-0342.720 | Y=0700.290-0711.530 | - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1566 | X=0111.170-0364.480 | Y=0078.500-0089.740 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=1566 | X=0111.170-0206.120 | Y=0090.020-0101.260 | >500m đến ≤1.000m.
P=1566 | X=0111.170-0334.340 | Y=0107.540-0118.780 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1566 | X=0111.170-0384.680 | Y=0125.330-0136.570 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=1566 | X=0111.170-0382.790 | Y=0136.850-0148.090 | ra Quốc lộ 20 đoạn từ Đường Ngã ba Phú Lợi - Phú Hòa đến
P=1566 | X=0111.170-0388.050 | Y=0148.370-0159.610 | Hết ranh trụ sở ban chỉ huy quân sự huyện Định Quán (Cũ) có
P=1566 | X=0111.170-0304.780 | Y=0159.650-0170.890 | hiện trạng là đường nhựa, bê tông xi măng:
P=1566 | X=0094.820-0105.940 | Y=0167.530-0176.850 | 21
P=1566 | X=0413.660-0430.300 | Y=0167.530-0176.850 | 580
P=1566 | X=0461.450-0478.090 | Y=0167.530-0176.850 | 410
P=1566 | X=0505.390-0522.030 | Y=0167.530-0176.850 | 350
P=1566 | X=0111.170-0352.280 | Y=0177.170-0188.410 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=1566 | X=0111.170-0153.310 | Y=0190.570-0199.890 | >1.000m.
P=1566 | X=0111.170-0334.810 | Y=0206.230-0217.470 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1566 | X=0223.270-0290.630 | Y=0225.870-0235.190 | Hết ranh trụ sở
P=1566 | X=0223.270-0299.720 | Y=0237.390-0246.710 | ban chỉ huy quân
P=1566 | X=0094.820-0159.730 | Y=0243.150-0252.470 | 22 Quốc lộ 20
P=1566 | X=0304.200-0371.000 | Y=0243.150-0252.470 | Ngã ba Km118
P=1566 | X=0405.500-0430.550 | Y=0243.150-0252.470 | 2.200
P=1566 | X=0453.290-0478.340 | Y=0243.150-0252.470 | 1.500
P=1566 | X=0497.230-0522.280 | Y=0243.150-0252.470 | 1.300
P=1566 | X=0223.270-0288.430 | Y=0247.030-0258.270 | sự huyện Định
P=1566 | X=0223.270-0270.070 | Y=0258.550-0269.790 | Quán (Cũ)
P=1566 | X=0111.170-0376.300 | Y=0276.310-0287.550 | Các tuyến đường giao thông đấu nối trực tiếp ra Quốc lộ 20
P=1566 | X=0111.170-0389.720 | Y=0287.860-0299.100 | đoạn từ Hết ranh trụ sở ban chỉ huy quân sự huyện Định Quán
P=1566 | X=0111.170-0388.530 | Y=0299.380-0310.620 | (Cũ) đến Ngã ba Km118 có hiện trạng là đường nhựa, bê tông
P=1566 | X=0094.820-0149.000 | Y=0310.900-0322.340 | 23 xi măng:
P=1566 | X=0413.660-0430.300 | Y=0313.020-0322.340 | 900
P=1566 | X=0461.450-0478.090 | Y=0313.020-0322.340 | 630
P=1566 | X=0505.390-0522.030 | Y=0313.020-0322.340 | 540
P=1566 | X=0111.170-0342.250 | Y=0328.420-0339.660 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1566 | X=0111.170-0388.360 | Y=0345.700-0356.940 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=1566 | X=0111.170-0376.300 | Y=0363.460-0374.700 | Các tuyến đường giao thông đấu nối trực tiếp ra Quốc lộ 20
P=1566 | X=0111.170-0389.720 | Y=0375.000-0386.240 | đoạn từ Hết ranh trụ sở ban chỉ huy quân sự huyện Định Quán
P=1566 | X=0111.170-0388.530 | Y=0386.520-0397.760 | (Cũ) đến Ngã ba Km118 có hiện trạng là đường nhựa, bê tông
P=1566 | X=0111.170-0149.000 | Y=0398.040-0409.280 | xi măng:
P=1566 | X=0094.820-0342.720 | Y=0414.800-0426.800 | 24 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1566 | X=0413.660-0430.300 | Y=0414.800-0424.120 | 640
P=1566 | X=0461.450-0478.090 | Y=0414.800-0424.120 | 450
P=1566 | X=0505.390-0522.030 | Y=0414.800-0424.120 | 380
P=1566 | X=0111.170-0364.480 | Y=0433.080-0444.320 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=1566 | X=0111.170-0206.120 | Y=0444.600-0455.840 | >500m đến ≤1.000m.
P=1566 | X=0111.170-0334.340 | Y=0462.140-0473.380 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1566 | X=0111.170-0376.300 | Y=0479.900-0491.140 | Các tuyến đường giao thông đấu nối trực tiếp ra Quốc lộ 20
P=1566 | X=0111.170-0389.720 | Y=0491.420-0502.660 | đoạn từ Hết ranh trụ sở ban chỉ huy quân sự huyện Định Quán
P=1566 | X=0111.170-0388.530 | Y=0502.940-0514.180 | (Cũ) đến Ngã ba Km118 có hiện trạng là đường nhựa, bê tông
P=1566 | X=0111.170-0149.000 | Y=0514.220-0525.460 | xi măng:
P=1566 | X=0094.820-0105.940 | Y=0522.100-0531.420 | 25
P=1566 | X=0413.660-0430.300 | Y=0522.100-0531.420 | 380
P=1566 | X=0461.450-0478.090 | Y=0522.100-0531.420 | 270
P=1566 | X=0505.390-0522.030 | Y=0522.100-0531.420 | 230
P=1566 | X=0111.170-0352.280 | Y=0531.740-0542.980 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=1566 | X=0111.170-0153.310 | Y=0545.170-0554.490 | >1.000m.
P=1566 | X=0111.170-0334.810 | Y=0560.810-0572.050 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1566 | X=0111.170-0384.680 | Y=0578.570-0589.810 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=1566 | X=0111.170-0371.690 | Y=0590.090-0601.330 | ra Quốc lộ 20 đoạn từ Hết ranh trụ sở ban chỉ huy quân sự
P=1566 | X=0111.170-0371.710 | Y=0601.610-0612.850 | huyện Định Quán (Cũ) đến Ngã ba Km118 có hiện trạng là
P=1566 | X=0094.820-0246.940 | Y=0613.130-0624.570 | 26 đường nhựa, bê tông xi măng:
P=1566 | X=0413.660-0430.300 | Y=0615.250-0624.570 | 810
P=1566 | X=0461.450-0478.090 | Y=0615.250-0624.570 | 570
P=1566 | X=0505.390-0522.030 | Y=0615.250-0624.570 | 490
