TABLE=010 | AREA=Phường Tam Phước | SECTION=non-agricultural | SEGMENTS=1
P=0346 | X=0306.120-0359.660 | Y=0240.310-0251.550 | Tam Phước
P=0346 | X=0113.330-0137.170 | Y=0242.190-0251.510 | Nghệ
P=0346 | X=0113.330-0361.650 | Y=0258.070-0269.310 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường
P=0346 | X=0113.330-0383.500 | Y=0269.590-0280.830 | Dương Diên Nghệ đoạn từ Quốc lộ 51 đến Hết ranh Phường
P=0346 | X=0113.330-0376.120 | Y=0281.110-0292.350 | Tam Phước có hiện trạng là đường nhựa, bê tông xi măng:
P=0346 | X=0098.690-0104.290 | Y=0294.780-0304.100 | 2
P=0346 | X=0405.500-0430.550 | Y=0294.780-0304.100 | 5.000
P=0346 | X=0448.010-0473.060 | Y=0294.780-0304.100 | 3.500
P=0346 | X=0497.230-0522.270 | Y=0294.780-0304.100 | 3.000
P=0346 | X=0113.330-0336.240 | Y=0298.660-0309.900 | - Có bề rộng ≥5m, cách đường giao thông ≤600m.
P=0346 | X=0113.330-0354.440 | Y=0315.940-0327.180 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=0346 | X=0113.330-0146.850 | Y=0327.460-0338.700 | ≤400m.
P=0346 | X=0113.330-0361.650 | Y=0345.220-0356.460 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường
P=0346 | X=0113.330-0383.500 | Y=0356.740-0367.980 | Dương Diên Nghệ đoạn từ Quốc lộ 51 đến Hết ranh Phường
P=0346 | X=0113.330-0376.120 | Y=0368.280-0379.520 | Tam Phước có hiện trạng là đường nhựa, bê tông xi măng:
P=0346 | X=0098.690-0336.500 | Y=0385.800-0400.120 | 3 - Có bề rộng ≥5m, cách đường giao thông >600m.
P=0346 | X=0405.500-0430.550 | Y=0390.800-0400.120 | 3.700
P=0346 | X=0448.010-0473.060 | Y=0390.800-0400.120 | 2.600
P=0346 | X=0497.230-0522.280 | Y=0390.800-0400.120 | 2.200
P=0346 | X=0113.330-0366.650 | Y=0403.320-0414.560 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=0346 | X=0113.330-0199.880 | Y=0414.840-0426.080 | >400m đến ≤600m.
P=0346 | X=0113.330-0336.500 | Y=0432.360-0443.600 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0346 | X=0113.330-0361.650 | Y=0450.140-0461.380 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường
P=0346 | X=0113.330-0364.040 | Y=0461.660-0472.900 | Dương Diên Nghệ đoạn từ Quốc lộ 51 Hết ranh Phường
P=0346 | X=0113.330-0376.130 | Y=0473.180-0484.420 | Tam Phước có hiện trạng là đường nhựa, bê tông xi măng:
P=0346 | X=0098.690-0104.290 | Y=0486.820-0496.140 | 4
P=0346 | X=0405.500-0430.550 | Y=0486.820-0496.140 | 2.300
P=0346 | X=0448.010-0473.060 | Y=0486.820-0496.140 | 1.600
P=0346 | X=0497.230-0522.280 | Y=0486.820-0496.140 | 1.400
P=0346 | X=0113.330-0354.440 | Y=0490.460-0501.700 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=0346 | X=0113.330-0147.090 | Y=0503.860-0513.180 | >600m.
P=0346 | X=0113.330-0336.970 | Y=0519.500-0530.740 | - Có bề rộng <3m, cách đường giao thông >200m.
P=0346 | X=0113.330-0359.240 | Y=0537.290-0548.530 | Các tuyến đường giao thông không đấu nối trực tiếp và
P=0346 | X=0113.330-0376.790 | Y=0548.810-0560.050 | thông ra Đường Dương Diên Nghệ đoạn từ Quốc lộ 51 đến
P=0346 | X=0113.330-0379.990 | Y=0560.330-0571.570 | Hết ranh Phường Tam Phước có hiện trạng là đường nhựa,
P=0346 | X=0113.330-0187.410 | Y=0571.850-0583.090 | bê tông xi măng:
P=0346 | X=0098.690-0104.290 | Y=0579.730-0589.050 | 5
P=0346 | X=0405.500-0430.550 | Y=0579.730-0589.050 | 4.500
P=0346 | X=0448.010-0473.060 | Y=0579.730-0589.050 | 3.200
P=0346 | X=0497.230-0522.280 | Y=0579.730-0589.050 | 2.700
P=0346 | X=0113.330-0336.240 | Y=0589.370-0600.610 | - Có bề rộng ≥5m, cách đường giao thông ≤600m.
P=0346 | X=0113.330-0354.440 | Y=0606.890-0618.130 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=0346 | X=0113.330-0146.850 | Y=0618.430-0629.670 | ≤400m.
P=0346 | X=0113.330-0359.240 | Y=0636.190-0647.430 | Các tuyến đường giao thông không đấu nối trực tiếp và
P=0346 | X=0113.330-0376.790 | Y=0647.710-0658.950 | thông ra Đường Dương Diên Nghệ đoạn từ Quốc lộ 51 đến
P=0346 | X=0113.330-0379.990 | Y=0659.230-0670.470 | Hết ranh Phường Tam Phước có hiện trạng là đường nhựa,
P=0346 | X=0098.690-0187.410 | Y=0670.510-0681.950 | 6 bê tông xi măng:
P=0346 | X=0405.500-0430.550 | Y=0672.630-0681.950 | 3.300
P=0346 | X=0448.010-0473.060 | Y=0672.630-0681.950 | 2.300
P=0346 | X=0497.230-0522.280 | Y=0672.630-0681.950 | 2.000
P=0346 | X=0113.330-0336.500 | Y=0688.030-0699.270 | - Có bề rộng ≥5m, cách đường giao thông >600m.
P=0346 | X=0113.330-0366.640 | Y=0705.570-0716.810 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=0347 | X=0113.330-0199.880 | Y=0072.500-0083.740 | >400m đến ≤600m.
P=0347 | X=0113.330-0336.510 | Y=0090.020-0101.260 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0347 | X=0113.330-0359.240 | Y=0107.780-0119.020 | Các tuyến đường giao thông không đấu nối trực tiếp và
P=0347 | X=0113.330-0376.790 | Y=0119.330-0130.570 | thông ra Đường Dương Diên Nghệ đoạn từ Quốc lộ 51 đến
P=0347 | X=0113.330-0379.990 | Y=0130.850-0142.090 | Hết ranh Phường Tam Phước có hiện trạng là đường nhựa,
P=0347 | X=0113.330-0187.410 | Y=0142.370-0153.610 | bê tông xi măng:
P=0347 | X=0098.690-0104.290 | Y=0150.250-0159.570 | 7
P=0347 | X=0405.500-0430.550 | Y=0150.250-0159.570 | 2.100
P=0347 | X=0448.010-0473.060 | Y=0150.250-0159.570 | 1.500
P=0347 | X=0497.230-0522.280 | Y=0150.250-0159.570 | 1.300
P=0347 | X=0113.330-0354.440 | Y=0159.650-0170.890 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=0347 | X=0113.330-0147.090 | Y=0173.050-0182.370 | >600m.
P=0347 | X=0113.330-0339.620 | Y=0188.690-0199.930 | - Có bề rộng <3m, cách đường giao thông > 200m.
P=0347 | X=0306.120-0384.790 | Y=0206.470-0217.710 | Hết ranh thửa đất
P=0347 | X=0219.430-0382.280 | Y=0217.990-0229.230 | Ranh giới phường số 247, tờ BĐĐC
P=0347 | X=0098.690-0164.050 | Y=0223.750-0234.990 | 8 Hương lộ 2
P=0347 | X=0405.500-0430.550 | Y=0225.630-0234.950 | 5.500
P=0347 | X=0448.010-0473.060 | Y=0225.630-0234.950 | 3.900
P=0347 | X=0497.230-0522.280 | Y=0225.630-0234.950 | 3.300
P=0347 | X=0219.430-0272.980 | Y=0229.510-0240.750 | Tam Phước
P=0347 | X=0306.120-0380.630 | Y=0229.510-0240.750 | số 105, (phường
P=0347 | X=0306.120-0363.010 | Y=0241.030-0252.270 | Tam Phước)
P=0347 | X=0113.330-0380.860 | Y=0258.790-0270.030 | Các tuyến đường giao thông đấu nối trực tiếp ra Hương lộ 2
P=0347 | X=0113.330-0372.220 | Y=0270.310-0281.550 | đoạn từ Ranh giới phường Tam Phước đến Hết ranh thửa
P=0347 | X=0113.330-0377.740 | Y=0281.860-0293.100 | đất số 247, tờ BĐĐC số 105, (phường Tam Phước) có hiện
P=0347 | X=0113.330-0285.110 | Y=0293.380-0304.620 | trạng là đường nhựa, bê tông xi măng:
P=0347 | X=0098.690-0104.290 | Y=0301.260-0310.580 | 9
P=0347 | X=0405.500-0430.550 | Y=0301.260-0310.580 | 3.300
P=0347 | X=0448.010-0473.060 | Y=0301.260-0310.580 | 2.300
P=0347 | X=0497.230-0522.280 | Y=0301.260-0310.580 | 2.000
P=0347 | X=0113.330-0336.240 | Y=0310.900-0322.140 | - Có bề rộng ≥5m, cách đường giao thông ≤600m.
P=0347 | X=0113.330-0354.440 | Y=0328.420-0339.660 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=0347 | X=0113.330-0146.850 | Y=0339.700-0350.940 | ≤400m.
P=0347 | X=0113.330-0380.860 | Y=0357.460-0368.700 | Các tuyến đường giao thông đấu nối trực tiếp ra Hương lộ 2
P=0347 | X=0113.330-0372.220 | Y=0369.000-0380.240 | đoạn từ Ranh giới phường Tam Phước đến Hết ranh thửa
P=0347 | X=0113.330-0377.740 | Y=0380.520-0391.760 | đất số 247, tờ BĐĐC số 105, (phường Tam Phước) có hiện
P=0347 | X=0113.330-0285.110 | Y=0392.040-0403.280 | trạng là đường nhựa, bê tông xi măng:
P=0347 | X=0096.050-0336.500 | Y=0408.800-0420.800 | 10 - Có bề rộng ≥5m, cách đường giao thông >600m.
P=0347 | X=0405.500-0430.550 | Y=0408.800-0418.120 | 2.000
P=0347 | X=0448.010-0473.060 | Y=0408.800-0418.120 | 1.400
P=0347 | X=0497.230-0522.280 | Y=0408.800-0418.120 | 1.200
P=0347 | X=0113.330-0366.640 | Y=0427.080-0438.320 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=0347 | X=0113.330-0199.880 | Y=0438.600-0449.840 | >400m đến ≤600m.
P=0347 | X=0113.330-0336.500 | Y=0456.140-0467.380 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0347 | X=0113.330-0380.860 | Y=0473.900-0485.140 | Các tuyến đường giao thông đấu nối trực tiếp ra Hương lộ 2
P=0347 | X=0113.330-0372.220 | Y=0485.420-0496.660 | đoạn từ Ranh giới phường Tam Phước đến Hết ranh thửa
P=0347 | X=0113.330-0377.740 | Y=0496.940-0508.180 | đất số 247, tờ BĐĐC số 105, (phường Tam Phước) có hiện
P=0347 | X=0113.330-0285.110 | Y=0508.220-0519.460 | trạng là đường nhựa, bê tông xi măng:
P=0347 | X=0096.050-0107.170 | Y=0516.100-0525.420 | 11
P=0347 | X=0405.500-0430.550 | Y=0516.100-0525.420 | 1.700
P=0347 | X=0448.010-0473.060 | Y=0516.100-0525.420 | 1.200
P=0347 | X=0497.230-0522.280 | Y=0516.100-0525.420 | 1.000
P=0347 | X=0113.330-0354.440 | Y=0525.740-0536.980 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=0347 | X=0113.330-0147.090 | Y=0539.170-0548.490 | >600m.
P=0347 | X=0113.330-0336.970 | Y=0554.810-0566.050 | - Có bề rộng <3m, cách đường giao thông >200m.
P=0347 | X=0113.330-0359.240 | Y=0572.570-0583.810 | Các tuyến đường giao thông không đấu nối trực tiếp và
P=0347 | X=0113.330-0381.260 | Y=0584.090-0595.330 | thông ra Hương lộ 2 đoạn từ Ranh giới phường Tam Phước
P=0347 | X=0113.330-0367.190 | Y=0595.610-0606.850 | đến Hết ranh thửa đất số 247, tờ BĐĐC số 105, (phường
P=0347 | X=0113.330-0379.710 | Y=0607.130-0618.370 | Tam Phước) có hiện trạng là đường nhựa, bê tông xi măng:
P=0347 | X=0096.050-0107.170 | Y=0615.010-0624.330 | 12
P=0347 | X=0405.500-0430.550 | Y=0615.010-0624.330 | 3.000
P=0347 | X=0448.010-0473.060 | Y=0615.010-0624.330 | 2.100
P=0347 | X=0497.230-0522.280 | Y=0615.010-0624.330 | 1.800
P=0347 | X=0113.330-0336.240 | Y=0624.670-0635.910 | - Có bề rộng ≥5m, cách đường giao thông ≤600m.
P=0347 | X=0113.330-0354.440 | Y=0642.190-0653.430 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=0347 | X=0113.330-0146.850 | Y=0653.710-0664.950 | ≤400m.
P=0347 | X=0113.330-0359.240 | Y=0671.470-0682.710 | Các tuyến đường giao thông không đấu nối trực tiếp và
P=0347 | X=0113.330-0381.260 | Y=0682.750-0693.990 | thông ra Hương lộ 2 đoạn từ Ranh giới phường Tam Phước
P=0347 | X=0096.050-0107.170 | Y=0690.390-0699.710 | 13
P=0347 | X=0405.500-0430.550 | Y=0690.390-0699.710 | 1.800
P=0347 | X=0448.010-0473.060 | Y=0690.390-0699.710 | 1.300
P=0347 | X=0497.230-0522.280 | Y=0690.390-0699.710 | 1.100
P=0347 | X=0113.330-0367.190 | Y=0694.270-0705.510 | đến Hết ranh thửa đất số 247, tờ BĐĐC số 105, (phường
P=0347 | X=0113.330-0379.710 | Y=0705.810-0717.050 | Tam Phước) có hiện trạng là đường nhựa, bê tông xi măng:
P=0348 | X=0113.330-0336.500 | Y=0078.500-0089.740 | - Có bề rộng ≥5m, cách đường giao thông >600m.
P=0348 | X=0113.330-0366.640 | Y=0096.020-0107.260 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=0348 | X=0113.330-0199.880 | Y=0107.540-0118.780 | >400m đến ≤600m.
P=0348 | X=0113.330-0336.500 | Y=0125.090-0136.330 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0348 | X=0113.330-0359.240 | Y=0142.850-0154.090 | Các tuyến đường giao thông không đấu nối trực tiếp và
P=0348 | X=0113.330-0381.260 | Y=0154.370-0165.610 | thông ra Hương lộ 2 đoạn từ Ranh giới phường Tam Phước
P=0348 | X=0113.330-0367.190 | Y=0165.650-0176.890 | đến Hết ranh thửa đất số 247, tờ BĐĐC số 105, (phường
P=0348 | X=0113.330-0379.710 | Y=0177.170-0188.410 | Tam Phước) có hiện trạng là đường nhựa, bê tông xi măng:
P=0348 | X=0096.050-0107.170 | Y=0185.050-0194.370 | 14
P=0348 | X=0405.500-0430.550 | Y=0185.050-0194.370 | 1.500
P=0348 | X=0448.010-0473.060 | Y=0185.050-0194.370 | 1.100
P=0348 | X=0505.390-0522.030 | Y=0185.050-0194.370 | 900
P=0348 | X=0113.330-0354.440 | Y=0194.690-0205.930 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=0348 | X=0113.330-0147.090 | Y=0208.110-0217.430 | >600m.
P=0348 | X=0113.330-0339.620 | Y=0223.750-0234.990 | - Có bề rộng <3m, cách đường giao thông > 200m.
P=0348 | X=0306.120-0365.340 | Y=0243.390-0252.710 | Bên phải, hết
P=0348 | X=0306.120-0379.660 | Y=0253.030-0264.270 | ranh thửa đất số
P=0348 | X=0306.120-0382.310 | Y=0264.550-0275.790 | 141, tờ BĐĐC số
P=0348 | X=0306.120-0376.860 | Y=0277.950-0287.270 | 82; Bên trái, hết
P=0348 | X=0096.050-0184.360 | Y=0281.860-0293.100 | 15 Đường Hà Nam
P=0348 | X=0219.430-0268.020 | Y=0283.740-0293.060 | Quốc lộ 51
P=0348 | X=0405.500-0430.550 | Y=0283.740-0293.060 | 5.500
P=0348 | X=0448.010-0473.060 | Y=0283.740-0293.060 | 3.900
P=0348 | X=0497.230-0522.280 | Y=0283.740-0293.060 | 3.300
P=0348 | X=0306.120-0379.660 | Y=0287.620-0298.860 | ranh thửa đất số
P=0348 | X=0306.120-0384.940 | Y=0299.140-0310.380 | 8, tờ BĐĐC số 82
P=0348 | X=0306.120-0367.790 | Y=0310.660-0321.900 | (phường Tam
P=0348 | X=0306.120-0340.200 | Y=0321.940-0333.180 | Phước)
P=0348 | X=0113.330-0377.240 | Y=0339.700-0350.940 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Hà
P=0348 | X=0113.330-0380.380 | Y=0351.220-0362.460 | Nam đoạn từ Quốc lộ 51 đến Bên phải, hết ranh thửa đất số
P=0348 | X=0113.330-0362.190 | Y=0362.740-0373.980 | 141, tờ BĐĐC số 82; Bên trái, hết ranh thửa đất số 8, tờ
P=0348 | X=0113.330-0373.900 | Y=0374.280-0385.520 | BĐĐC số 82 (phường Tam Phước) có hiện trạng là đường
P=0348 | X=0096.050-0216.440 | Y=0385.800-0397.240 | 16 nhựa, bê tông xi măng:
P=0348 | X=0405.500-0430.550 | Y=0387.920-0397.240 | 3.300
P=0348 | X=0448.010-0473.060 | Y=0387.920-0397.240 | 2.300
P=0348 | X=0497.230-0522.280 | Y=0387.920-0397.240 | 2.000
P=0348 | X=0113.330-0336.280 | Y=0403.320-0414.560 | - Có bề rộng ≥5m, cách đường giao thông ≤600m.
P=0348 | X=0113.330-0354.440 | Y=0420.840-0432.080 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=0348 | X=0113.330-0146.850 | Y=0432.360-0443.600 | ≤400m.
P=0348 | X=0113.330-0377.240 | Y=0450.140-0461.380 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Hà
P=0348 | X=0113.330-0380.380 | Y=0461.660-0472.900 | Nam đoạn từ Quốc lộ 51 đến Bên phải, hết ranh thửa đất số
P=0348 | X=0113.330-0362.190 | Y=0473.180-0484.420 | 141, tờ BĐĐC số 82; Bên trái, hết ranh thửa đất số 8, tờ
P=0348 | X=0113.330-0373.900 | Y=0484.460-0495.700 | BĐĐC số 82 (phường Tam Phước) có hiện trạng là đường
P=0348 | X=0113.330-0216.440 | Y=0495.980-0507.220 | nhựa, bê tông xi măng:
P=0348 | X=0096.050-0107.170 | Y=0506.980-0516.300 | 17
P=0348 | X=0405.500-0430.550 | Y=0506.980-0516.300 | 2.500
P=0348 | X=0448.010-0473.060 | Y=0506.980-0516.300 | 1.800
P=0348 | X=0497.230-0522.270 | Y=0506.980-0516.300 | 1.500
P=0348 | X=0113.330-0336.500 | Y=0513.500-0524.740 | - Có bề rộng ≥5m, cách đường giao thông >600m.
P=0348 | X=0113.330-0366.640 | Y=0531.020-0542.260 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=0348 | X=0113.330-0199.880 | Y=0542.570-0553.810 | >400m đến ≤600m.
P=0348 | X=0113.330-0336.500 | Y=0560.090-0571.330 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0348 | X=0113.330-0377.240 | Y=0577.850-0589.090 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Hà
P=0348 | X=0113.330-0380.380 | Y=0589.370-0600.610 | Nam đoạn từ Quốc lộ 51 đến Bên phải, hết ranh thửa đất số
P=0348 | X=0113.330-0362.190 | Y=0600.890-0612.130 | 141, tờ BĐĐC số 82; Bên trái, hết ranh thửa đất số 8, tờ
P=0348 | X=0113.330-0373.900 | Y=0612.410-0623.650 | BĐĐC số 82 (phường Tam Phước) có hiện trạng là đường
P=0348 | X=0096.050-0216.440 | Y=0623.950-0635.390 | 18 nhựa, bê tông xi măng:
P=0348 | X=0405.500-0430.550 | Y=0626.070-0635.390 | 2.000
P=0348 | X=0448.010-0473.060 | Y=0626.070-0635.390 | 1.400
P=0348 | X=0497.230-0522.280 | Y=0626.070-0635.390 | 1.200
P=0348 | X=0113.330-0354.440 | Y=0641.470-0652.710 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=0348 | X=0113.330-0147.090 | Y=0654.630-0663.950 | >600m.
P=0348 | X=0113.330-0336.970 | Y=0670.270-0681.510 | - Có bề rộng <3m, cách đường giao thông >200m.
P=0348 | X=0113.330-0359.240 | Y=0688.030-0699.270 | Các tuyến đường giao thông không đấu nối trực tiếp và
P=0348 | X=0096.050-0107.170 | Y=0695.670-0704.990 | 19
P=0348 | X=0405.500-0430.550 | Y=0695.670-0704.990 | 3.000
P=0348 | X=0448.010-0473.060 | Y=0695.670-0704.990 | 2.100
P=0348 | X=0497.230-0522.270 | Y=0695.670-0704.990 | 1.800
P=0348 | X=0113.330-0376.850 | Y=0699.550-0710.790 | thông ra Đường Hà Nam đoạn từ Quốc lộ 51 đến Bên phải,
P=0349 | X=0113.330-0378.440 | Y=0072.500-0083.740 | hết ranh thửa đất số 141, tờ BĐĐC số 82; Bên trái, hết ranh
P=0349 | X=0113.330-0381.820 | Y=0084.020-0095.260 | thửa đất số 8, tờ BĐĐC số 82 (phường Tam Phước) có hiện
P=0349 | X=0113.330-0285.110 | Y=0095.540-0106.780 | trạng là đường nhựa, bê tông xi măng:
P=0349 | X=0113.330-0336.240 | Y=0113.060-0124.300 | - Có bề rộng ≥5m, cách đường giao thông ≤600m.
P=0349 | X=0113.330-0354.440 | Y=0130.610-0141.850 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=0349 | X=0113.330-0146.850 | Y=0142.130-0153.370 | ≤400m.
P=0349 | X=0113.330-0359.240 | Y=0159.650-0170.890 | Các tuyến đường giao thông không đấu nối trực tiếp và
P=0349 | X=0113.330-0376.850 | Y=0171.170-0182.410 | thông ra Đường Hà Nam đoạn từ Quốc lộ 51 đến Bên phải,
P=0349 | X=0113.330-0378.440 | Y=0182.690-0193.930 | hết ranh thửa đất số 141, tờ BĐĐC số 82; Bên trái, hết ranh
P=0349 | X=0113.330-0381.820 | Y=0194.210-0205.450 | thửa đất số 8, tờ BĐĐC số 82 (phường Tam Phước) có hiện
P=0349 | X=0113.330-0285.150 | Y=0205.750-0216.990 | trạng là đường nhựa, bê tông xi măng:
P=0349 | X=0096.050-0107.170 | Y=0216.750-0226.070 | 20
P=0349 | X=0405.500-0430.550 | Y=0216.750-0226.070 | 2.300
P=0349 | X=0448.010-0473.060 | Y=0216.750-0226.070 | 1.600
P=0349 | X=0497.230-0522.280 | Y=0216.750-0226.070 | 1.400
P=0349 | X=0113.330-0336.500 | Y=0223.270-0234.510 | - Có bề rộng ≥5m, cách đường giao thông >600m.
P=0349 | X=0113.330-0366.640 | Y=0240.790-0252.030 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=0349 | X=0113.330-0199.880 | Y=0252.310-0263.550 | >400m đến ≤600m.
P=0349 | X=0113.330-0336.500 | Y=0269.830-0281.070 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0349 | X=0113.330-0359.240 | Y=0287.620-0298.860 | Các tuyến đường giao thông không đấu nối trực tiếp và
P=0349 | X=0113.330-0376.850 | Y=0299.140-0310.380 | thông ra Đường Hà Nam đoạn từ Quốc lộ 51 đến Bên phải,
P=0349 | X=0113.330-0378.440 | Y=0310.660-0321.900 | hết ranh thửa đất số 141, tờ BĐĐC số 82; Bên trái, hết ranh
P=0349 | X=0113.330-0381.820 | Y=0321.940-0333.180 | thửa đất số 8, tờ BĐĐC số 82 (phường Tam Phước) có hiện
P=0349 | X=0096.050-0285.110 | Y=0333.460-0344.900 | 21 trạng là đường nhựa, bê tông xi măng:
P=0349 | X=0405.500-0430.550 | Y=0335.580-0344.900 | 1.800
P=0349 | X=0448.010-0473.060 | Y=0335.580-0344.900 | 1.300
P=0349 | X=0497.230-0522.280 | Y=0335.580-0344.900 | 1.100
P=0349 | X=0113.330-0354.440 | Y=0350.980-0362.220 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=0349 | X=0113.330-0147.090 | Y=0364.380-0373.700 | >600m.
P=0349 | X=0113.330-0339.620 | Y=0380.040-0391.280 | - Có bề rộng <3m, cách đường giao thông > 200m.
P=0349 | X=0306.120-0372.430 | Y=0397.800-0409.040 | Đường Dương
P=0349 | X=0096.050-0268.020 | Y=0403.560-0414.800 | 22 Đường Lý Nhân Tông Quốc lộ 51
P=0349 | X=0405.500-0430.550 | Y=0405.440-0414.760 | 5.500
P=0349 | X=0448.010-0473.060 | Y=0405.440-0414.760 | 3.900
P=0349 | X=0497.230-0522.280 | Y=0405.440-0414.760 | 3.300
P=0349 | X=0306.120-0353.490 | Y=0411.200-0420.520 | Diên Nghệ
P=0349 | X=0113.330-0375.000 | Y=0427.080-0438.320 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Lý
P=0349 | X=0113.330-0362.830 | Y=0438.600-0449.840 | Nhân Tông đoạn từ Quốc lộ 51 đến Đường Dương Diên
P=0349 | X=0113.330-0346.810 | Y=0450.140-0461.380 | Nghệ có hiện trạng là đường nhựa, bê tông xi măng:
P=0349 | X=0096.050-0107.170 | Y=0463.780-0473.100 | 23
P=0349 | X=0405.500-0430.550 | Y=0463.780-0473.100 | 2.800
P=0349 | X=0448.010-0473.060 | Y=0463.780-0473.100 | 2.000
P=0349 | X=0497.230-0522.280 | Y=0463.780-0473.100 | 1.700
P=0349 | X=0113.330-0336.240 | Y=0467.660-0478.900 | - Có bề rộng ≥5m, cách đường giao thông ≤600m.
P=0349 | X=0113.330-0354.440 | Y=0485.180-0496.420 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=0349 | X=0113.330-0146.850 | Y=0496.460-0507.700 | ≤400m.
P=0349 | X=0113.330-0375.000 | Y=0514.220-0525.460 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Lý
P=0349 | X=0113.330-0362.810 | Y=0525.740-0536.980 | Nhân Tông đoạn từ Quốc lộ 51 đến Đường Dương Diên
P=0349 | X=0113.330-0346.810 | Y=0537.290-0548.530 | Nghệ có hiện trạng là đường nhựa, bê tông xi măng:
P=0349 | X=0096.050-0336.500 | Y=0554.810-0569.130 | 24 - Có bề rộng ≥5m, cách đường giao thông >600m.
P=0349 | X=0405.500-0430.550 | Y=0559.810-0569.130 | 2.200
P=0349 | X=0448.010-0473.050 | Y=0559.810-0569.130 | 1.500
P=0349 | X=0497.230-0522.280 | Y=0559.810-0569.130 | 1.300
P=0349 | X=0113.330-0366.640 | Y=0572.330-0583.570 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
