TABLE=015 | AREA=Xã Phước Thái | SECTION=non-agricultural | SEGMENTS=1
P=0477 | X=0100.370-0105.970 | Y=0202.830-0212.150 | 2
P=0477 | X=0357.260-0382.310 | Y=0202.830-0212.150 | 4.500
P=0477 | X=0433.610-0458.660 | Y=0202.830-0212.150 | 3.200
P=0477 | X=0497.230-0522.280 | Y=0202.830-0212.150 | 2.700
P=0477 | X=0116.690-0303.540 | Y=0206.710-0217.950 | - Có bề rộng ≥5m, cách đường giao thông
P=0477 | X=0116.690-0158.370 | Y=0218.230-0229.470 | ≤1.000m.
P=0477 | X=0116.690-0308.370 | Y=0235.750-0246.990 | - Có bề rộng từ ≥3m đến <5m, cách đường
P=0477 | X=0116.690-0199.630 | Y=0247.270-0258.510 | giao thông ≤500m.
P=0477 | X=0116.690-0300.360 | Y=0265.270-0276.510 | Các tuyến đường giao thông đấu nối trực
P=0477 | X=0116.690-0293.220 | Y=0276.790-0288.030 | tiếp ra Quốc lộ 51 đoạn từ Giáp ranh xã
P=0477 | X=0116.690-0298.040 | Y=0288.340-0299.580 | Long Phước đến Cầu Thái Thiện có hiện
P=0477 | X=0116.690-0288.470 | Y=0299.860-0311.100 | trạng là đường nhựa, bê tông xi măng:
P=0477 | X=0116.690-0303.540 | Y=0317.380-0328.620 | - Có bề rộng ≥5m, cách đường giao thông
P=0477 | X=0100.370-0105.970 | Y=0327.900-0337.220 | 3
P=0477 | X=0357.260-0382.310 | Y=0327.900-0337.220 | 3.100
P=0477 | X=0433.610-0458.660 | Y=0327.900-0337.220 | 2.200
P=0477 | X=0497.230-0522.280 | Y=0327.900-0337.220 | 1.900
P=0477 | X=0116.690-0158.830 | Y=0330.780-0340.100 | >1.000m.
P=0477 | X=0116.690-0308.370 | Y=0346.180-0357.420 | - Có bề rộng từ ≥3m đến <5m, cách đường
P=0477 | X=0116.690-0273.340 | Y=0357.700-0368.940 | giao thông từ >500m đến ≤1.000m.
P=0477 | X=0116.690-0303.790 | Y=0375.240-0386.480 | - Có bề rộng <3m, cách đường giao thông
P=0477 | X=0116.690-0150.210 | Y=0386.760-0398.000 | ≤200m.
P=0477 | X=0116.690-0300.360 | Y=0404.760-0416.000 | Các tuyến đường giao thông đấu nối trực
P=0477 | X=0116.690-0293.220 | Y=0416.280-0427.520 | tiếp ra Quốc lộ 51 đoạn từ Giáp ranh xã
P=0477 | X=0116.690-0298.040 | Y=0427.800-0439.040 | Long Phước đến Cầu Thái Thiện có hiện
P=0477 | X=0116.690-0288.470 | Y=0439.320-0450.560 | trạng là đường nhựa, bê tông xi măng:
P=0477 | X=0100.370-0105.970 | Y=0452.980-0462.300 | 4
P=0477 | X=0357.260-0382.310 | Y=0452.980-0462.300 | 2.400
P=0477 | X=0433.610-0458.660 | Y=0452.980-0462.300 | 1.700
P=0477 | X=0497.230-0522.280 | Y=0452.980-0462.300 | 1.400
P=0477 | X=0116.690-0308.370 | Y=0456.860-0468.100 | - Có bề rộng từ ≥3m đến <5m, cách đường
P=0477 | X=0116.690-0208.270 | Y=0470.260-0479.580 | giao thông >1.000m.
P=0477 | X=0116.690-0303.790 | Y=0485.900-0497.140 | - Có bề rộng <3m, cách đường giao thông
P=0477 | X=0116.690-0150.450 | Y=0499.300-0508.620 | >200m.
P=0477 | X=0116.690-0309.560 | Y=0515.420-0526.660 | Các tuyến đường giao thông không đấu nối
P=0477 | X=0116.690-0294.840 | Y=0526.940-0538.180 | trực tiếp và thông ra Quốc lộ 51 đoạn từ
P=0477 | X=0116.690-0295.130 | Y=0538.250-0549.490 | Giáp ranh xã Long Phước đến Cầu Thái
P=0477 | X=0116.690-0310.970 | Y=0549.770-0561.010 | Thiện có hiện trạng là đường nhựa, bê tông
P=0477 | X=0116.690-0154.520 | Y=0561.290-0572.530 | xi măng:
P=0477 | X=0100.370-0105.970 | Y=0569.170-0578.490 | 5
P=0477 | X=0357.260-0382.310 | Y=0569.170-0578.490 | 4.100
P=0477 | X=0433.610-0458.660 | Y=0569.170-0578.490 | 2.900
P=0477 | X=0497.230-0522.280 | Y=0569.170-0578.490 | 2.500
P=0477 | X=0116.690-0303.540 | Y=0578.810-0590.050 | - Có bề rộng ≥5m, cách đường giao thông
P=0477 | X=0116.690-0158.370 | Y=0590.330-0601.570 | ≤1.000m.
P=0477 | X=0116.690-0308.370 | Y=0607.850-0619.090 | - Có bề rộng từ ≥3m đến <5m, cách đường
P=0477 | X=0116.690-0199.630 | Y=0619.390-0630.630 | giao thông ≤500m.
P=0477 | X=0116.690-0309.560 | Y=0637.390-0648.630 | Các tuyến đường giao thông không đấu nối
P=0477 | X=0116.690-0294.840 | Y=0648.910-0660.150 | trực tiếp và thông ra Quốc lộ 51 đoạn từ
P=0477 | X=0116.690-0295.130 | Y=0660.430-0671.670 | Giáp ranh xã Long Phước đến Cầu Thái
P=0477 | X=0100.370-0105.970 | Y=0670.950-0680.270 | 6
P=0477 | X=0357.260-0382.310 | Y=0670.950-0680.270 | 2.800
P=0477 | X=0433.610-0458.660 | Y=0670.950-0680.270 | 2.000
P=0477 | X=0497.230-0522.280 | Y=0670.950-0680.270 | 1.700
P=0477 | X=0116.690-0310.970 | Y=0671.950-0683.190 | Thiện có hiện trạng là đường nhựa, bê tông
P=0477 | X=0116.690-0154.520 | Y=0683.470-0694.710 | xi măng:
P=0477 | X=0116.690-0303.540 | Y=0700.770-0712.010 | - Có bề rộng ≥5m, cách đường giao thông
P=0478 | X=0116.690-0158.830 | Y=0074.620-0083.940 | >1.000m.
P=0478 | X=0116.690-0308.360 | Y=0090.260-0101.500 | - Có bề rộng từ ≥3m đến <5m, cách đường
P=0478 | X=0116.690-0273.340 | Y=0101.780-0113.020 | giao thông từ >500m đến ≤1.000m.
P=0478 | X=0116.690-0303.790 | Y=0119.330-0130.570 | - Có bề rộng <3m, cách đường giao thông
P=0478 | X=0116.690-0150.210 | Y=0130.850-0142.090 | ≤200m.
P=0478 | X=0116.690-0309.560 | Y=0148.850-0160.090 | Các tuyến đường giao thông không đấu nối
P=0478 | X=0116.690-0294.840 | Y=0160.370-0171.610 | trực tiếp và thông ra Quốc lộ 51 đoạn từ
P=0478 | X=0116.690-0295.130 | Y=0171.650-0182.890 | Giáp ranh xã Long Phước đến Cầu Thái
P=0478 | X=0116.690-0310.970 | Y=0183.170-0194.410 | Thiện có hiện trạng là đường nhựa, bê tông
P=0478 | X=0116.690-0154.520 | Y=0194.690-0205.930 | xi măng:
P=0478 | X=0100.370-0105.970 | Y=0202.590-0211.910 | 7
P=0478 | X=0357.260-0382.310 | Y=0202.590-0211.910 | 2.200
P=0478 | X=0433.610-0458.660 | Y=0202.590-0211.910 | 1.500
P=0478 | X=0497.230-0522.280 | Y=0202.590-0211.910 | 1.300
P=0478 | X=0116.690-0308.370 | Y=0212.230-0223.470 | - Có bề rộng từ ≥3m đến <5m, cách đường
P=0478 | X=0116.690-0208.270 | Y=0225.630-0234.950 | giao thông >1.000m.
P=0478 | X=0116.690-0303.790 | Y=0241.270-0252.510 | - Có bề rộng <3m, cách đường giao thông
P=0478 | X=0116.690-0150.450 | Y=0254.670-0263.990 | >200m.
P=0478 | X=0253.060-0297.060 | Y=0272.670-0281.990 | Giáp ranh
P=0478 | X=0186.070-0226.700 | Y=0278.430-0287.750 | Cầu Thái
P=0478 | X=0100.370-0105.970 | Y=0284.220-0293.540 | 8
P=0478 | X=0116.690-0165.250 | Y=0284.220-0293.540 | Quốc lộ 51
P=0478 | X=0253.060-0313.160 | Y=0284.220-0293.540 | thành phố Hồ
P=0478 | X=0351.720-0382.290 | Y=0284.220-0293.540 | 11.300
P=0478 | X=0433.610-0458.660 | Y=0284.220-0293.540 | 7.900
P=0478 | X=0497.230-0522.280 | Y=0284.220-0293.540 | 6.800
P=0478 | X=0186.070-0211.350 | Y=0289.980-0299.300 | Thiện
P=0478 | X=0253.060-0293.210 | Y=0295.740-0305.060 | Chí Minh
P=0478 | X=0116.690-0300.360 | Y=0311.860-0323.100 | Các tuyến đường giao thông đấu nối trực
P=0478 | X=0116.690-0304.280 | Y=0323.380-0334.620 | tiếp ra Quốc lộ 51 đoạn từ Cầu Thái Thiện
P=0478 | X=0116.690-0299.210 | Y=0334.900-0346.140 | đến Giáp ranh thành phố Hồ Chí Minh có
P=0478 | X=0116.690-0310.330 | Y=0346.180-0357.420 | hiện trạng là đường nhựa, bê tông xi măng:
P=0478 | X=0100.370-0105.970 | Y=0359.820-0369.140 | 9
P=0478 | X=0357.260-0382.310 | Y=0359.820-0369.140 | 4.900
P=0478 | X=0433.610-0458.660 | Y=0359.820-0369.140 | 3.400
P=0478 | X=0497.230-0522.280 | Y=0359.820-0369.140 | 2.900
P=0478 | X=0116.690-0303.540 | Y=0363.700-0374.940 | - Có bề rộng ≥5m, cách đường giao thông
P=0478 | X=0116.690-0158.370 | Y=0375.240-0386.480 | ≤1.000m.
P=0478 | X=0116.690-0308.370 | Y=0392.760-0404.000 | - Có bề rộng từ ≥3m đến <5m, cách đường
P=0478 | X=0116.690-0199.660 | Y=0404.280-0415.520 | giao thông ≤500m.
P=0478 | X=0116.690-0300.360 | Y=0422.280-0433.520 | Các tuyến đường giao thông đấu nối trực
P=0478 | X=0116.690-0304.280 | Y=0433.800-0445.040 | tiếp ra Quốc lộ 51 đoạn từ Cầu Thái Thiện
P=0478 | X=0116.690-0299.210 | Y=0445.320-0456.560 | đến Giáp ranh thành phố Hồ Chí Minh có
P=0478 | X=0116.690-0310.330 | Y=0456.860-0468.100 | hiện trạng là đường nhựa, bê tông xi măng:
P=0478 | X=0116.690-0303.540 | Y=0474.380-0485.620 | - Có bề rộng ≥5m, cách đường giao thông
P=0478 | X=0097.490-0158.830 | Y=0484.900-0497.100 | 10 >1.000m.
P=0478 | X=0357.260-0382.310 | Y=0484.900-0494.220 | 3.100
P=0478 | X=0433.610-0458.660 | Y=0484.900-0494.220 | 2.200
P=0478 | X=0497.230-0522.280 | Y=0484.900-0494.220 | 1.900
P=0478 | X=0116.690-0308.370 | Y=0503.420-0514.660 | - Có bề rộng từ ≥3m đến <5m, cách đường
P=0478 | X=0116.690-0273.340 | Y=0514.940-0526.180 | giao thông từ >500m đến ≤1.000m.
P=0478 | X=0116.690-0303.790 | Y=0532.220-0543.460 | - Có bề rộng <3m, cách đường giao thông
P=0478 | X=0116.690-0150.210 | Y=0543.770-0555.010 | ≤200m.
P=0478 | X=0116.690-0300.360 | Y=0561.770-0573.010 | Các tuyến đường giao thông đấu nối trực
P=0478 | X=0116.690-0304.280 | Y=0573.290-0584.530 | tiếp ra Quốc lộ 51 đoạn từ Cầu Thái Thiện
P=0478 | X=0116.690-0299.230 | Y=0584.810-0596.050 | đến Giáp ranh thành phố Hồ Chí Minh có
P=0478 | X=0116.690-0310.330 | Y=0596.330-0607.570 | hiện trạng là đường nhựa, bê tông xi măng:
P=0478 | X=0097.490-0108.610 | Y=0609.970-0619.290 | 11
P=0478 | X=0357.260-0382.310 | Y=0609.970-0619.290 | 2.400
P=0478 | X=0433.610-0458.660 | Y=0609.970-0619.290 | 1.700
P=0478 | X=0497.230-0522.280 | Y=0609.970-0619.290 | 1.400
P=0478 | X=0116.690-0308.370 | Y=0613.850-0625.090 | - Có bề rộng từ ≥3m đến <5m, cách đường
P=0478 | X=0116.690-0208.270 | Y=0627.270-0636.590 | giao thông >1.000m.
P=0478 | X=0116.690-0303.790 | Y=0642.910-0654.150 | - Có bề rộng <3m, cách đường giao thông
P=0478 | X=0116.690-0150.450 | Y=0656.310-0665.630 | >200m.
P=0478 | X=0116.690-0309.560 | Y=0672.430-0683.670 | Các tuyến đường giao thông không đấu nối
P=0478 | X=0116.690-0316.040 | Y=0683.950-0695.190 | trực tiếp và thông ra Quốc lộ 51 đoạn từ Cầu
P=0478 | X=0097.490-0108.610 | Y=0691.590-0700.910 | 12
P=0478 | X=0357.260-0382.310 | Y=0691.590-0700.910 | 4.400
P=0478 | X=0433.610-0458.660 | Y=0691.590-0700.910 | 3.100
P=0478 | X=0497.230-0522.280 | Y=0691.590-0700.910 | 2.600
P=0478 | X=0116.690-0311.560 | Y=0695.470-0706.710 | Thái Thiện đến Giáp ranh thành phố Hồ Chí
P=0478 | X=0116.690-0307.620 | Y=0706.770-0718.010 | Minh có hiện trạng là đường nhựa, bê tông
P=0479 | X=0116.690-0154.520 | Y=0072.740-0083.980 | xi măng:
P=0479 | X=0116.690-0303.540 | Y=0090.260-0101.500 | - Có bề rộng ≥5m, cách đường giao thông
P=0479 | X=0116.690-0158.370 | Y=0101.780-0113.020 | ≤1.000m.
P=0479 | X=0116.690-0308.370 | Y=0119.330-0130.570 | - Có bề rộng từ ≥3m đến <5m, cách đường
P=0479 | X=0116.690-0199.630 | Y=0130.850-0142.090 | giao thông ≤500m.
P=0479 | X=0116.690-0309.560 | Y=0148.850-0160.090 | Các tuyến đường giao thông không đấu nối
P=0479 | X=0116.690-0316.040 | Y=0160.370-0171.610 | trực tiếp và thông ra Quốc lộ 51 đoạn từ Cầu
P=0479 | X=0116.690-0311.560 | Y=0171.650-0182.890 | Thái Thiện đến Giáp ranh thành phố Hồ Chí
P=0479 | X=0116.690-0307.620 | Y=0183.170-0194.410 | Minh có hiện trạng là đường nhựa, bê tông
P=0479 | X=0116.690-0154.520 | Y=0194.690-0205.930 | xi măng:
P=0479 | X=0097.490-0303.540 | Y=0212.230-0226.550 | 13 - Có bề rộng ≥5m, cách đường giao thông
P=0479 | X=0357.260-0382.310 | Y=0217.230-0226.550 | 2.800
P=0479 | X=0433.610-0458.660 | Y=0217.230-0226.550 | 2.000
P=0479 | X=0497.230-0522.280 | Y=0217.230-0226.550 | 1.700
P=0479 | X=0116.690-0158.830 | Y=0225.630-0234.950 | >1.000m.
P=0479 | X=0116.690-0308.370 | Y=0241.270-0252.510 | - Có bề rộng từ ≥3m đến <5m, cách đường
P=0479 | X=0116.690-0273.340 | Y=0252.790-0264.030 | giao thông từ >500m đến ≤1.000m.
P=0479 | X=0116.690-0303.790 | Y=0270.310-0281.550 | - Có bề rộng <3m, cách đường giao thông
P=0479 | X=0116.690-0150.210 | Y=0281.860-0293.100 | ≤200m.
P=0479 | X=0116.690-0309.560 | Y=0299.860-0311.100 | Các tuyến đường giao thông không đấu nối
P=0479 | X=0116.690-0316.040 | Y=0311.380-0322.620 | trực tiếp và thông ra Quốc lộ 51 đoạn từ Cầu
P=0479 | X=0116.690-0311.560 | Y=0322.900-0334.140 | Thái Thiện đến Giáp ranh thành phố Hồ Chí
P=0479 | X=0116.690-0307.620 | Y=0334.420-0345.660 | Minh có hiện trạng là đường nhựa, bê tông
P=0479 | X=0116.690-0154.520 | Y=0345.700-0356.940 | xi măng:
P=0479 | X=0097.490-0108.610 | Y=0353.580-0362.900 | 14
P=0479 | X=0357.260-0382.310 | Y=0353.580-0362.900 | 2.200
P=0479 | X=0433.610-0458.660 | Y=0353.580-0362.900 | 1.500
P=0479 | X=0497.230-0522.280 | Y=0353.580-0362.900 | 1.300
P=0479 | X=0116.690-0308.370 | Y=0363.220-0374.460 | - Có bề rộng từ ≥3m đến <5m, cách đường
P=0479 | X=0116.690-0208.270 | Y=0376.640-0385.960 | giao thông >1.000m.
P=0479 | X=0116.690-0303.790 | Y=0392.280-0403.520 | - Có bề rộng <3m, cách đường giao thông
P=0479 | X=0116.690-0150.450 | Y=0405.680-0415.000 | >200m.
P=0479 | X=0116.690-0167.420 | Y=0421.800-0433.040 | Đường vào
P=0479 | X=0097.490-0234.630 | Y=0435.200-0444.520 | 15 UBND xã Tân Quốc lộ 51
P=0479 | X=0253.060-0302.820 | Y=0435.200-0444.520 | Cầu Suối 1
P=0479 | X=0357.260-0382.310 | Y=0435.200-0444.520 | 8.000
P=0479 | X=0433.610-0458.660 | Y=0435.200-0444.520 | 5.600
P=0479 | X=0497.230-0522.280 | Y=0435.200-0444.520 | 4.800
P=0479 | X=0116.690-0150.850 | Y=0444.840-0456.080 | Hiệp cũ
P=0479 | X=0116.690-0300.360 | Y=0462.860-0474.100 | Các tuyến đường giao thông đấu nối trực
P=0479 | X=0116.690-0299.220 | Y=0474.380-0485.620 | tiếp ra Đường vào UBND xã Tân Hiệp cũ
P=0479 | X=0116.690-0309.320 | Y=0485.900-0497.140 | đoạn từ Quốc lộ 51 đến Cầu Suối 1 có hiện
P=0479 | X=0116.690-0288.470 | Y=0497.420-0508.660 | trạng là đường nhựa, bê tông xi măng:
P=0479 | X=0097.490-0108.610 | Y=0511.060-0520.380 | 16
P=0479 | X=0357.260-0382.300 | Y=0511.060-0520.380 | 4.000
P=0479 | X=0433.610-0458.660 | Y=0511.060-0520.380 | 2.800
P=0479 | X=0497.230-0522.280 | Y=0511.060-0520.380 | 2.400
P=0479 | X=0116.690-0303.540 | Y=0514.940-0526.180 | - Có bề rộng ≥5m, cách đường giao thông
P=0479 | X=0116.690-0158.370 | Y=0526.220-0537.460 | ≤1.000m.
P=0479 | X=0116.690-0308.370 | Y=0543.770-0555.010 | - Có bề rộng từ ≥3m đến <5m, cách đường
P=0479 | X=0116.690-0199.630 | Y=0555.290-0566.530 | giao thông ≤500m.
P=0479 | X=0116.690-0300.360 | Y=0573.290-0584.530 | Các tuyến đường giao thông đấu nối trực
P=0479 | X=0116.690-0299.220 | Y=0584.810-0596.050 | tiếp ra Đường vào UBND xã Tân Hiệp cũ
P=0479 | X=0116.690-0309.320 | Y=0596.330-0607.570 | đoạn từ Quốc lộ 51 đến Cầu Suối 1 có hiện
P=0479 | X=0116.690-0288.470 | Y=0607.850-0619.090 | trạng là đường nhựa, bê tông xi măng:
P=0479 | X=0116.690-0303.540 | Y=0625.390-0636.630 | - Có bề rộng ≥5m, cách đường giao thông
P=0479 | X=0097.490-0158.830 | Y=0635.910-0648.110 | 17 >1.000m.
P=0479 | X=0357.260-0382.310 | Y=0635.910-0645.230 | 2.800
P=0479 | X=0433.610-0458.660 | Y=0635.910-0645.230 | 2.000
P=0479 | X=0497.230-0522.280 | Y=0635.910-0645.230 | 1.700
P=0479 | X=0116.690-0308.360 | Y=0654.430-0665.670 | - Có bề rộng từ ≥3m đến <5m, cách đường
P=0479 | X=0116.690-0273.340 | Y=0665.950-0677.190 | giao thông từ >500m đến ≤1.000m.
P=0479 | X=0116.690-0303.790 | Y=0683.470-0694.710 | - Có bề rộng <3m, cách đường giao thông
P=0479 | X=0116.690-0150.210 | Y=0694.750-0705.990 | ≤200m.
P=0480 | X=0116.690-0300.360 | Y=0078.740-0089.980 | Các tuyến đường giao thông đấu nối trực
P=0480 | X=0116.690-0299.220 | Y=0090.260-0101.500 | tiếp ra Đường vào UBND xã Tân Hiệp cũ
P=0480 | X=0116.690-0309.320 | Y=0101.780-0113.020 | đoạn từ Quốc lộ 51 đến Cầu Suối 1 có hiện
P=0480 | X=0116.690-0288.470 | Y=0113.300-0124.540 | trạng là đường nhựa, bê tông xi măng:
P=0480 | X=0097.490-0108.610 | Y=0126.970-0136.290 | 18
P=0480 | X=0357.260-0382.310 | Y=0126.970-0136.290 | 2.100
P=0480 | X=0433.610-0458.660 | Y=0126.970-0136.290 | 1.500
P=0480 | X=0497.230-0522.280 | Y=0126.970-0136.290 | 1.300
P=0480 | X=0116.690-0308.370 | Y=0130.850-0142.090 | - Có bề rộng từ ≥3m đến <5m, cách đường
P=0480 | X=0116.690-0208.270 | Y=0144.250-0153.570 | giao thông >1.000m.
P=0480 | X=0116.690-0303.790 | Y=0159.650-0170.890 | - Có bề rộng <3m, cách đường giao thông
P=0480 | X=0116.690-0150.450 | Y=0173.050-0182.370 | >200m.
P=0480 | X=0116.690-0309.560 | Y=0189.170-0200.410 | Các tuyến đường giao thông không đấu nối
P=0480 | X=0116.690-0304.250 | Y=0200.710-0211.950 | trực tiếp và thông ra Đường vào UBND xã
P=0480 | X=0116.690-0299.970 | Y=0212.230-0223.470 | Tân Hiệp cũ đoạn từ Quốc lộ 51 đến Cầu
P=0480 | X=0116.690-0314.100 | Y=0223.750-0234.990 | Suối 1 có hiện trạng là đường nhựa, bê tông
P=0480 | X=0116.690-0154.520 | Y=0235.270-0246.510 | xi măng:
P=0480 | X=0097.490-0108.610 | Y=0243.150-0252.470 | 19
P=0480 | X=0357.260-0382.310 | Y=0243.150-0252.470 | 3.600
P=0480 | X=0433.610-0458.660 | Y=0243.150-0252.470 | 2.500
P=0480 | X=0497.230-0522.280 | Y=0243.150-0252.470 | 2.200
P=0480 | X=0116.690-0303.540 | Y=0252.790-0264.030 | - Có bề rộng ≥5m, cách đường giao thông
P=0480 | X=0116.690-0158.370 | Y=0264.310-0275.550 | ≤1.000m.
P=0480 | X=0116.690-0308.370 | Y=0281.860-0293.100 | - Có bề rộng từ ≥3m đến <5m, cách đường
P=0480 | X=0116.690-0199.630 | Y=0293.380-0304.620 | giao thông ≤500m.
P=0480 | X=0116.690-0309.560 | Y=0311.380-0322.620 | Các tuyến đường giao thông không đấu nối
P=0480 | X=0116.690-0304.250 | Y=0322.900-0334.140 | trực tiếp và thông ra Đường vào UBND xã
P=0480 | X=0116.690-0299.970 | Y=0334.420-0345.660 | Tân Hiệp cũ đoạn từ Quốc lộ 51 đến Cầu
P=0480 | X=0116.690-0314.100 | Y=0345.700-0356.940 | Suối 1 có hiện trạng là đường nhựa, bê tông
P=0480 | X=0116.690-0154.520 | Y=0357.220-0368.460 | xi măng:
P=0480 | X=0097.490-0303.540 | Y=0374.760-0389.080 | 20 - Có bề rộng ≥5m, cách đường giao thông
P=0480 | X=0357.260-0382.310 | Y=0379.760-0389.080 | 2.500
P=0480 | X=0433.610-0458.660 | Y=0379.760-0389.080 | 1.800
P=0480 | X=0497.230-0522.280 | Y=0379.760-0389.080 | 1.500
P=0480 | X=0116.690-0158.830 | Y=0388.160-0397.480 | >1.000m.
P=0480 | X=0116.690-0308.370 | Y=0403.800-0415.040 | - Có bề rộng từ ≥3m đến <5m, cách đường
P=0480 | X=0116.690-0273.340 | Y=0415.320-0426.560 | giao thông từ >500m đến ≤1.000m.
P=0480 | X=0116.690-0303.790 | Y=0432.840-0444.080 | - Có bề rộng <3m, cách đường giao thông
P=0480 | X=0116.690-0150.210 | Y=0444.360-0455.600 | ≤200m.
P=0480 | X=0116.690-0309.560 | Y=0462.380-0473.620 | Các tuyến đường giao thông không đấu nối
P=0480 | X=0116.690-0304.250 | Y=0473.900-0485.140 | trực tiếp và thông ra Đường vào UBND xã
P=0480 | X=0116.690-0299.970 | Y=0485.420-0496.660 | Tân Hiệp cũ đoạn từ Quốc lộ 51 đến Cầu
P=0480 | X=0116.690-0314.100 | Y=0496.940-0508.180 | Suối 1 có hiện trạng là đường nhựa, bê tông
P=0480 | X=0116.690-0154.520 | Y=0508.220-0519.460 | xi măng:
P=0480 | X=0097.490-0108.610 | Y=0516.100-0525.420 | 21
P=0480 | X=0357.260-0382.310 | Y=0516.100-0525.420 | 1.900
P=0480 | X=0433.610-0458.660 | Y=0516.100-0525.420 | 1.300
P=0480 | X=0497.230-0522.280 | Y=0516.100-0525.420 | 1.100
P=0480 | X=0116.690-0308.370 | Y=0525.740-0536.980 | - Có bề rộng từ ≥3m đến <5m, cách đường
P=0480 | X=0116.690-0208.270 | Y=0539.170-0548.490 | giao thông >1.000m.
P=0480 | X=0116.690-0303.790 | Y=0554.810-0566.050 | - Có bề rộng <3m, cách đường giao thông
P=0480 | X=0116.690-0150.450 | Y=0568.210-0577.530 | >200m.
P=0480 | X=0116.690-0167.420 | Y=0584.330-0595.570 | Đường vào
P=0480 | X=0253.060-0310.760 | Y=0586.210-0595.530 | Hết ranh giới
P=0480 | X=0097.490-0235.840 | Y=0597.730-0607.050 | 22 UBND xã Tân Cầu Suối 1
P=0480 | X=0253.060-0307.170 | Y=0597.730-0607.050 | xã Tân Hiệp
P=0480 | X=0357.260-0382.310 | Y=0597.730-0607.050 | 6.100
P=0480 | X=0433.610-0458.660 | Y=0597.730-0607.050 | 4.300
P=0480 | X=0497.230-0522.280 | Y=0597.730-0607.050 | 3.700
P=0480 | X=0116.690-0150.850 | Y=0607.370-0618.610 | Hiệp cũ
P=0480 | X=0253.060-0263.700 | Y=0607.370-0618.610 | cũ
P=0480 | X=0116.690-0300.360 | Y=0625.390-0636.630 | Các tuyến đường giao thông đấu nối trực
P=0480 | X=0116.690-0299.220 | Y=0636.910-0648.150 | tiếp ra Đường vào UBND xã Tân Hiệp cũ
P=0480 | X=0116.690-0316.970 | Y=0648.430-0659.670 | đoạn từ Cầu Suối 1 đến Hết ranh giới xã Tân
P=0480 | X=0097.490-0297.550 | Y=0659.950-0674.030 | 23 Hiệp cũ có hiện trạng là đường nhựa, bê
P=0480 | X=0357.260-0382.310 | Y=0664.710-0674.030 | 2.900
P=0480 | X=0433.610-0458.660 | Y=0664.710-0674.030 | 2.000
P=0480 | X=0497.230-0522.280 | Y=0664.710-0674.030 | 1.700
P=0480 | X=0116.690-0176.850 | Y=0671.470-0682.710 | tông xi măng:
P=0480 | X=0116.690-0303.540 | Y=0688.750-0699.990 | - Có bề rộng ≥5m, cách đường giao thông
P=0480 | X=0116.690-0158.370 | Y=0700.290-0711.530 | ≤1.000m.
P=0481 | X=0116.690-0308.370 | Y=0078.740-0089.980 | - Có bề rộng từ ≥3m đến <5m, cách đường
P=0481 | X=0116.690-0199.630 | Y=0090.260-0101.500 | giao thông ≤500m.
