TABLE=027 | AREA=Xã Xuân Bắc | SECTION=non-agricultural | SEGMENTS=1
P=0994 | X=0107.330-0378.710 | Y=0229.990-0241.230 | 763 đoạn từ Giáp ranh xã Thống Nhất đến Giáp Trường Tiểu
P=0994 | X=0107.330-0385.470 | Y=0241.510-0252.750 | học Võ Thị Sáu có hiện trạng là đường nhựa, bê tông xi măng:
P=0994 | X=0095.570-0101.170 | Y=0255.150-0264.470 | 4
P=0994 | X=0406.940-0423.580 | Y=0255.150-0264.470 | 270
P=0994 | X=0443.450-0460.090 | Y=0255.150-0264.470 | 190
P=0994 | X=0505.390-0522.030 | Y=0255.150-0264.470 | 160
P=0994 | X=0107.330-0348.420 | Y=0259.030-0270.270 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=0994 | X=0107.330-0149.470 | Y=0272.430-0281.750 | >1.000m.
P=0994 | X=0107.330-0330.970 | Y=0288.100-0299.340 | - Có bề rộng <3m, cách đường giao thông >200m.
P=0994 | X=0107.330-0380.840 | Y=0305.860-0317.100 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=0994 | X=0107.330-0384.930 | Y=0317.380-0328.620 | ra Đường tỉnh 763 đoạn từ Giáp ranh xã Thống Nhất đến Giáp
P=0994 | X=0107.330-0381.580 | Y=0328.900-0340.140 | Trường Tiểu học Võ Thị Sáu có hiện trạng là đường nhựa, bê
P=0994 | X=0095.570-0167.490 | Y=0340.420-0351.860 | 5 tông xi măng:
P=0994 | X=0406.940-0423.580 | Y=0342.540-0351.860 | 610
P=0994 | X=0443.450-0460.090 | Y=0342.540-0351.860 | 430
P=0994 | X=0505.390-0522.030 | Y=0342.540-0351.860 | 370
P=0994 | X=0107.330-0338.410 | Y=0357.700-0368.940 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=0994 | X=0107.330-0384.500 | Y=0375.240-0386.480 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=0994 | X=0107.330-0380.840 | Y=0393.000-0404.240 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=0994 | X=0107.330-0384.930 | Y=0404.520-0415.760 | ra Đường tỉnh 763 đoạn từ Giáp ranh xã Thống Nhất đến Giáp
P=0994 | X=0107.330-0381.580 | Y=0416.040-0427.280 | Trường Tiểu học Võ Thị Sáu có hiện trạng là đường nhựa, bê
P=0994 | X=0107.330-0167.490 | Y=0427.560-0438.800 | tông xi măng:
P=0994 | X=0095.570-0338.880 | Y=0444.080-0456.320 | 6 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=0994 | X=0406.940-0423.580 | Y=0444.080-0453.400 | 370
P=0994 | X=0443.450-0460.090 | Y=0444.080-0453.400 | 260
P=0994 | X=0505.390-0522.030 | Y=0444.080-0453.400 | 220
P=0994 | X=0107.330-0360.620 | Y=0462.620-0473.860 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=0994 | X=0107.330-0202.280 | Y=0474.140-0485.380 | >500m đến ≤1.000m.
P=0994 | X=0107.330-0330.510 | Y=0491.660-0502.900 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0994 | X=0107.330-0380.840 | Y=0509.420-0520.660 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=0994 | X=0107.330-0384.930 | Y=0520.940-0532.180 | ra Đường tỉnh 763 đoạn từ Giáp ranh xã Thống Nhất đến Giáp
P=0994 | X=0107.330-0381.580 | Y=0532.220-0543.460 | Trường Tiểu học Võ Thị Sáu có hiện trạng là đường nhựa, bê
P=0994 | X=0107.330-0167.490 | Y=0543.770-0555.010 | tông xi măng:
P=0994 | X=0095.570-0101.170 | Y=0551.650-0560.970 | 7
P=0994 | X=0406.940-0423.580 | Y=0551.650-0560.970 | 240
P=0994 | X=0443.450-0460.090 | Y=0551.650-0560.970 | 170
P=0994 | X=0505.390-0522.030 | Y=0551.650-0560.970 | 140
P=0994 | X=0107.330-0348.420 | Y=0561.290-0572.530 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=0994 | X=0107.330-0149.470 | Y=0574.690-0584.010 | >1.000m.
P=0994 | X=0107.330-0330.970 | Y=0590.330-0601.570 | - Có bề rộng <3m, cách đường giao thông >200m.
P=0994 | X=0235.540-0293.460 | Y=0608.090-0619.330 | Giáp Trường
P=0994 | X=0315.000-0389.500 | Y=0615.730-0625.050 | Hết giáo xứ Suối
P=0994 | X=0095.570-0177.500 | Y=0619.630-0630.870 | 8 Đường tỉnh 763
P=0994 | X=0235.540-0305.720 | Y=0621.510-0630.830 | Tiểu học Võ Thị
P=0994 | X=0398.780-0423.830 | Y=0621.510-0630.830 | 2.300
P=0994 | X=0435.290-0460.340 | Y=0621.510-0630.830 | 1.600
P=0994 | X=0497.230-0522.280 | Y=0621.510-0630.830 | 1.400
P=0994 | X=0315.000-0333.330 | Y=0627.270-0636.590 | Nho
P=0994 | X=0235.540-0253.380 | Y=0633.030-0642.350 | Sáu
P=0994 | X=0107.330-0374.870 | Y=0648.910-0660.150 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường tỉnh
P=0994 | X=0107.330-0389.450 | Y=0660.430-0671.670 | 763 đoạn từ Giáp Trường Tiểu học Võ Thị Sáu đến Hết giáo xứ
P=0994 | X=0107.330-0358.100 | Y=0671.950-0683.190 | Suối Nho có hiện trạng là đường nhựa, bê tông xi măng:
P=0994 | X=0095.570-0101.170 | Y=0679.830-0689.150 | 9
P=0994 | X=0406.940-0423.580 | Y=0679.830-0689.150 | 950
P=0994 | X=0443.450-0460.090 | Y=0679.830-0689.150 | 670
P=0994 | X=0505.390-0522.030 | Y=0679.830-0689.150 | 570
P=0994 | X=0107.330-0338.410 | Y=0689.470-0700.710 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=0994 | X=0107.330-0384.500 | Y=0706.770-0718.010 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=0995 | X=0107.330-0374.870 | Y=0078.500-0089.740 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường tỉnh
P=0995 | X=0107.330-0389.450 | Y=0090.020-0101.260 | 763 đoạn từ Giáp Trường Tiểu học Võ Thị Sáu đến Hết giáo xứ
P=0995 | X=0107.330-0358.100 | Y=0101.540-0112.780 | Suối Nho có hiện trạng là đường nhựa, bê tông xi măng:
P=0995 | X=0092.900-0338.880 | Y=0119.090-0133.170 | 10 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=0995 | X=0406.940-0423.580 | Y=0123.850-0133.170 | 550
P=0995 | X=0443.450-0460.090 | Y=0123.850-0133.170 | 390
P=0995 | X=0505.390-0522.030 | Y=0123.850-0133.170 | 330
P=0995 | X=0107.330-0360.620 | Y=0136.610-0147.850 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=0995 | X=0107.330-0202.320 | Y=0148.130-0159.370 | >500m đến ≤1.000m.
P=0995 | X=0107.330-0330.500 | Y=0165.410-0176.650 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0995 | X=0107.330-0374.870 | Y=0183.170-0194.410 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường tỉnh
P=0995 | X=0107.330-0389.450 | Y=0194.690-0205.930 | 763 đoạn từ Giáp Trường Tiểu học Võ Thị Sáu đến Hết giáo xứ
P=0995 | X=0107.330-0358.100 | Y=0206.230-0217.470 | Suối Nho có hiện trạng là đường nhựa, bê tông xi măng:
P=0995 | X=0092.900-0104.020 | Y=0219.870-0229.190 | 11
P=0995 | X=0406.940-0423.580 | Y=0219.870-0229.190 | 410
P=0995 | X=0443.450-0460.090 | Y=0219.870-0229.190 | 290
P=0995 | X=0505.390-0522.030 | Y=0219.870-0229.190 | 250
P=0995 | X=0107.330-0348.420 | Y=0223.750-0234.990 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=0995 | X=0107.330-0149.470 | Y=0237.150-0246.470 | >1.000m.
P=0995 | X=0107.330-0330.970 | Y=0252.790-0264.030 | - Có bề rộng <3m, cách đường giao thông >200m.
P=0995 | X=0107.330-0380.840 | Y=0270.550-0281.790 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=0995 | X=0107.330-0380.380 | Y=0282.100-0293.340 | ra Đường tỉnh 763 đoạn từ Giáp Trường Tiểu học Võ Thị Sáu
P=0995 | X=0107.330-0369.320 | Y=0293.620-0304.860 | đến Hết giáo xứ Suối Nho có hiện trạng là đường nhựa, bê
P=0995 | X=0092.900-0167.490 | Y=0305.140-0316.580 | 12 tông xi măng:
P=0995 | X=0406.940-0423.580 | Y=0307.260-0316.580 | 860
P=0995 | X=0443.450-0460.090 | Y=0307.260-0316.580 | 600
P=0995 | X=0505.390-0522.030 | Y=0307.260-0316.580 | 520
P=0995 | X=0107.330-0338.410 | Y=0322.660-0333.900 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=0995 | X=0107.330-0384.500 | Y=0339.940-0351.180 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=0995 | X=0107.330-0380.840 | Y=0357.700-0368.940 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=0995 | X=0107.330-0380.380 | Y=0369.240-0380.480 | ra Đường tỉnh 763 đoạn từ Giáp Trường Tiểu học Võ Thị Sáu
P=0995 | X=0107.330-0369.320 | Y=0380.760-0392.000 | đến Hết giáo xứ Suối Nho có hiện trạng là đường nhựa, bê
P=0995 | X=0107.330-0167.490 | Y=0392.280-0403.520 | tông xi măng:
P=0995 | X=0092.900-0338.880 | Y=0409.040-0421.040 | 13 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=0995 | X=0406.940-0423.580 | Y=0409.040-0418.360 | 500
P=0995 | X=0443.450-0460.090 | Y=0409.040-0418.360 | 350
P=0995 | X=0505.390-0522.030 | Y=0409.040-0418.360 | 300
P=0995 | X=0107.330-0360.620 | Y=0427.320-0438.560 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=0995 | X=0107.330-0202.280 | Y=0438.840-0450.080 | >500m đến ≤1.000m.
P=0995 | X=0107.330-0330.500 | Y=0456.380-0467.620 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0995 | X=0107.330-0380.840 | Y=0474.140-0485.380 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=0995 | X=0107.330-0380.380 | Y=0485.660-0496.900 | ra Đường tỉnh 763 đoạn từ Giáp Trường Tiểu học Võ Thị Sáu
P=0995 | X=0107.330-0369.320 | Y=0497.180-0508.420 | đến Hết giáo xứ Suối Nho có hiện trạng là đường nhựa, bê
P=0995 | X=0107.330-0167.490 | Y=0508.460-0519.700 | tông xi măng:
P=0995 | X=0092.900-0104.020 | Y=0516.340-0525.660 | 14
P=0995 | X=0406.940-0423.580 | Y=0516.340-0525.660 | 370
P=0995 | X=0443.450-0460.090 | Y=0516.340-0525.660 | 260
P=0995 | X=0505.390-0522.030 | Y=0516.340-0525.660 | 220
P=0995 | X=0107.330-0348.450 | Y=0525.980-0537.220 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=0995 | X=0107.330-0149.470 | Y=0539.410-0548.730 | >1.000m.
P=0995 | X=0107.330-0330.970 | Y=0555.050-0566.290 | - Có bề rộng <3m, cách đường giao thông >200m.
P=0995 | X=0235.540-0380.140 | Y=0572.810-0584.050 | Hết giáo xứ Suối Đường tổ 2 ấp
P=0995 | X=0092.900-0177.500 | Y=0578.570-0589.810 | 15 Đường tỉnh 763
P=0995 | X=0398.780-0423.830 | Y=0580.450-0589.770 | 3.300
P=0995 | X=0435.290-0460.340 | Y=0580.450-0589.770 | 2.300
P=0995 | X=0497.230-0522.280 | Y=0580.450-0589.770 | 2.000
P=0995 | X=0235.540-0253.870 | Y=0586.210-0595.530 | Nho
P=0995 | X=0315.000-0386.780 | Y=0586.210-0595.530 | 3B xã Xuân Bắc
P=0995 | X=0107.330-0374.870 | Y=0602.090-0613.330 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường tỉnh
P=0995 | X=0107.330-0375.570 | Y=0613.610-0624.850 | 763 đoạn từ Hết giáo xứ Suối Nho đến Đường tổ 2 ấp 3B xã
P=0995 | X=0107.330-0360.240 | Y=0625.150-0636.390 | Xuân Bắc có hiện trạng là đường nhựa, bê tông xi măng:
P=0995 | X=0092.900-0104.020 | Y=0633.030-0642.350 | 16
P=0995 | X=0398.780-0423.830 | Y=0633.030-0642.350 | 1.200
P=0995 | X=0443.450-0460.090 | Y=0633.030-0642.350 | 840
P=0995 | X=0505.390-0522.030 | Y=0633.030-0642.350 | 720
P=0995 | X=0107.330-0338.410 | Y=0642.670-0653.910 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=0995 | X=0107.330-0384.500 | Y=0660.190-0671.430 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=0995 | X=0107.330-0374.870 | Y=0677.950-0689.190 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường tỉnh
P=0995 | X=0092.900-0375.570 | Y=0689.470-0700.710 | 17 763 đoạn từ Hết giáo xứ Suối Nho đến Đường tổ 2 ấp 3B xã
P=0995 | X=0406.940-0423.580 | Y=0691.350-0700.670 | 820
P=0995 | X=0443.450-0460.090 | Y=0691.350-0700.670 | 570
P=0995 | X=0505.390-0522.030 | Y=0691.350-0700.670 | 490
P=0995 | X=0107.330-0360.240 | Y=0700.770-0712.010 | Xuân Bắc có hiện trạng là đường nhựa, bê tông xi măng:
P=0996 | X=0107.330-0338.880 | Y=0078.500-0089.740 | - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=0996 | X=0107.330-0360.620 | Y=0096.020-0107.260 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=0996 | X=0107.330-0202.280 | Y=0107.540-0118.780 | >500m đến ≤1.000m.
P=0996 | X=0107.330-0330.500 | Y=0125.090-0136.330 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0996 | X=0107.330-0374.870 | Y=0142.850-0154.090 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường tỉnh
P=0996 | X=0107.330-0375.570 | Y=0154.370-0165.610 | 763 đoạn từ Hết giáo xứ Suối Nho đến Đường tổ 2 ấp 3B xã
P=0996 | X=0107.330-0360.240 | Y=0165.650-0176.890 | Xuân Bắc có hiện trạng là đường nhựa, bê tông xi măng:
P=0996 | X=0092.900-0104.020 | Y=0179.290-0188.610 | 18
P=0996 | X=0406.940-0423.580 | Y=0179.290-0188.610 | 680
P=0996 | X=0443.450-0460.090 | Y=0179.290-0188.610 | 480
P=0996 | X=0505.390-0522.030 | Y=0179.290-0188.610 | 410
P=0996 | X=0107.330-0348.420 | Y=0183.170-0194.410 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=0996 | X=0107.330-0149.470 | Y=0196.570-0205.890 | >1.000m.
P=0996 | X=0107.330-0330.970 | Y=0212.230-0223.470 | - Có bề rộng <3m, cách đường giao thông >200m.
P=0996 | X=0107.330-0380.840 | Y=0229.990-0241.230 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=0996 | X=0107.330-0389.980 | Y=0241.510-0252.750 | ra Đường tỉnh 763 đoạn từ Hết giáo xứ Suối Nho đến Đường tổ
P=0996 | X=0107.330-0380.360 | Y=0253.030-0264.270 | 2 ấp 3B xã Xuân Bắc có hiện trạng là đường nhựa, bê tông xi
P=0996 | X=0092.900-0135.330 | Y=0264.550-0275.990 | 19 măng:
P=0996 | X=0398.780-0423.830 | Y=0266.670-0275.990 | 1.100
P=0996 | X=0443.450-0460.090 | Y=0266.670-0275.990 | 770
P=0996 | X=0505.390-0522.030 | Y=0266.670-0275.990 | 660
P=0996 | X=0107.330-0338.410 | Y=0282.100-0293.340 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=0996 | X=0107.330-0384.500 | Y=0299.620-0310.860 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=0996 | X=0107.330-0380.840 | Y=0317.380-0328.620 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=0996 | X=0107.330-0389.980 | Y=0328.900-0340.140 | ra Đường tỉnh 763 đoạn từ Hết giáo xứ Suối Nho đến Đường tổ
P=0996 | X=0107.330-0380.360 | Y=0340.420-0351.660 | 2 ấp 3B xã Xuân Bắc có hiện trạng là đường nhựa, bê tông xi
P=0996 | X=0107.330-0135.330 | Y=0351.700-0362.940 | măng:
P=0996 | X=0092.900-0338.880 | Y=0368.480-0380.480 | 20 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=0996 | X=0406.940-0423.580 | Y=0368.480-0377.800 | 740
P=0996 | X=0443.450-0460.090 | Y=0368.480-0377.800 | 520
P=0996 | X=0505.390-0522.030 | Y=0368.480-0377.800 | 440
P=0996 | X=0107.330-0360.620 | Y=0386.760-0398.000 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=0996 | X=0107.330-0202.280 | Y=0398.280-0409.520 | >500m đến ≤1.000m.
P=0996 | X=0107.330-0330.500 | Y=0415.800-0427.040 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0996 | X=0107.330-0380.840 | Y=0433.560-0444.800 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=0996 | X=0107.330-0389.980 | Y=0445.080-0456.320 | ra Đường tỉnh 763 đoạn từ Hết giáo xứ Suối Nho đến Đường tổ
P=0996 | X=0107.330-0380.360 | Y=0456.620-0467.860 | 2 ấp 3B xã Xuân Bắc có hiện trạng là đường nhựa, bê tông xi
P=0996 | X=0107.330-0135.330 | Y=0468.140-0479.380 | măng:
P=0996 | X=0092.900-0104.020 | Y=0476.020-0485.340 | 21
P=0996 | X=0406.940-0423.580 | Y=0476.020-0485.340 | 610
P=0996 | X=0443.450-0460.090 | Y=0476.020-0485.340 | 430
P=0996 | X=0505.390-0522.030 | Y=0476.020-0485.340 | 370
P=0996 | X=0107.330-0348.420 | Y=0485.660-0496.900 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=0996 | X=0107.330-0149.470 | Y=0499.060-0508.380 | >1.000m.
P=0996 | X=0107.330-0330.970 | Y=0514.460-0525.700 | - Có bề rộng <3m, cách đường giao thông >200m.
P=0996 | X=0235.540-0372.440 | Y=0532.220-0543.460 | Đường tổ 2 ấp Giáp ranh xã
P=0996 | X=0092.900-0177.500 | Y=0538.010-0549.250 | 22 Đường tỉnh 763
P=0996 | X=0398.780-0423.830 | Y=0539.890-0549.210 | 2.800
P=0996 | X=0435.290-0460.340 | Y=0539.890-0549.210 | 2.000
P=0996 | X=0497.230-0522.280 | Y=0539.890-0549.210 | 1.700
P=0996 | X=0235.540-0357.000 | Y=0545.650-0554.970 | 3B xã Xuân Bắc Xuân Lộc
P=0996 | X=0107.330-0374.870 | Y=0561.530-0572.770 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường tỉnh
P=0996 | X=0107.330-0383.260 | Y=0573.050-0584.290 | 763 đoạn từ Đường tổ 2 ấp 3B xã Xuân Bắc đến Giáp ranh xã
P=0996 | X=0107.330-0359.050 | Y=0584.570-0595.810 | Xuân Lộc có hiện trạng là đường nhựa, bê tông xi măng:
P=0996 | X=0092.900-0104.020 | Y=0592.450-0601.770 | 23
P=0996 | X=0398.780-0423.830 | Y=0592.450-0601.770 | 1.100
P=0996 | X=0443.450-0460.090 | Y=0592.450-0601.770 | 770
P=0996 | X=0505.390-0522.030 | Y=0592.450-0601.770 | 660
P=0996 | X=0107.330-0338.410 | Y=0602.090-0613.330 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=0996 | X=0107.330-0384.500 | Y=0619.630-0630.870 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=0996 | X=0107.330-0374.870 | Y=0637.390-0648.630 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường tỉnh
P=0996 | X=0107.330-0383.240 | Y=0648.910-0660.150 | 763 đoạn từ Đường tổ 2 ấp 3B xã Xuân Bắc đến Giáp ranh xã
P=0996 | X=0107.330-0359.050 | Y=0660.430-0671.670 | Xuân Lộc có hiện trạng là đường nhựa, bê tông xi măng:
P=0996 | X=0092.900-0104.020 | Y=0674.070-0683.390 | 24
P=0996 | X=0406.940-0423.580 | Y=0674.070-0683.390 | 820
P=0996 | X=0443.450-0460.090 | Y=0674.070-0683.390 | 570
P=0996 | X=0505.390-0522.030 | Y=0674.070-0683.390 | 490
P=0996 | X=0107.330-0338.880 | Y=0677.950-0689.190 | - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=0996 | X=0107.330-0360.620 | Y=0695.470-0706.710 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=0996 | X=0107.330-0202.280 | Y=0706.770-0718.010 | >500m đến ≤1.000m.
P=0997 | X=0107.330-0330.510 | Y=0078.500-0089.740 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0997 | X=0107.330-0374.870 | Y=0096.260-0107.500 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường tỉnh
P=0997 | X=0107.330-0383.240 | Y=0107.780-0119.020 | 763 đoạn từ Đường tổ 2 ấp 3B xã Xuân Bắc đến Giáp ranh xã
P=0997 | X=0107.330-0359.050 | Y=0119.330-0130.570 | Xuân Lộc có hiện trạng là đường nhựa, bê tông xi măng:
P=0997 | X=0092.900-0104.020 | Y=0132.970-0142.290 | 25
P=0997 | X=0406.940-0423.580 | Y=0132.970-0142.290 | 630
P=0997 | X=0443.450-0460.090 | Y=0132.970-0142.290 | 440
P=0997 | X=0505.390-0522.030 | Y=0132.970-0142.290 | 380
P=0997 | X=0107.330-0348.420 | Y=0136.850-0148.090 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=0997 | X=0107.330-0149.480 | Y=0150.250-0159.570 | >1.000m.
P=0997 | X=0107.330-0330.970 | Y=0165.650-0176.890 | - Có bề rộng <3m, cách đường giao thông >200m.
P=0997 | X=0107.330-0380.840 | Y=0183.410-0194.650 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=0997 | X=0107.330-0388.060 | Y=0194.930-0206.170 | ra Đường tỉnh 763 đoạn từ Đường tổ 2 ấp 3B xã Xuân Bắc đến
P=0997 | X=0107.330-0388.510 | Y=0206.470-0217.710 | Giáp ranh xã Xuân Lộc có hiện trạng là đường nhựa, bê tông xi
P=0997 | X=0092.900-0135.330 | Y=0217.990-0229.430 | 26 măng:
P=0997 | X=0406.940-0423.580 | Y=0220.110-0229.430 | 990
P=0997 | X=0443.450-0460.090 | Y=0220.110-0229.430 | 690
P=0997 | X=0505.390-0522.030 | Y=0220.110-0229.430 | 590
P=0997 | X=0107.330-0338.410 | Y=0235.510-0246.750 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=0997 | X=0107.330-0384.500 | Y=0253.030-0264.270 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=0997 | X=0107.330-0380.840 | Y=0270.790-0282.030 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=0997 | X=0107.330-0388.060 | Y=0282.340-0293.580 | ra Đường tỉnh 763 đoạn từ Đường tổ 2 ấp 3B xã Xuân Bắc đến
P=0997 | X=0107.330-0388.510 | Y=0293.860-0305.100 | Giáp ranh xã Xuân Lộc có hiện trạng là đường nhựa, bê tông xi
P=0997 | X=0107.330-0135.330 | Y=0305.380-0316.620 | măng:
P=0997 | X=0092.900-0338.880 | Y=0321.900-0334.140 | 27 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=0997 | X=0406.940-0423.580 | Y=0321.900-0331.220 | 740
