TABLE=012 | AREA=Xã Bình An | SECTION=non-agricultural | SEGMENTS=1
P=0421 | X=0113.090-0344.170 | Y=0445.320-0456.560 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=0421 | X=0113.090-0354.200 | Y=0462.860-0474.100 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=0421 | X=0113.090-0146.610 | Y=0474.380-0485.620 | ≤500m.
P=0421 | X=0113.090-0359.000 | Y=0492.380-0503.620 | Các tuyến đường giao thông không đấu nối trực tiếp và
P=0421 | X=0113.090-0357.330 | Y=0503.900-0515.140 | thông ra Quốc lộ 51 đoạn từ Trung tâm huấn luyện chó
P=0421 | X=0113.090-0346.990 | Y=0515.420-0526.660 | nghiệp vụ Quân Khuyển đến Mũi tàu có hiện trạng là
P=0421 | X=0113.090-0248.860 | Y=0526.940-0538.180 | đường nhựa, bê tông xi măng:
P=0421 | X=0098.450-0344.680 | Y=0543.490-0555.490 | 6 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=0421 | X=0399.500-0424.550 | Y=0543.490-0552.810 | 3.000
P=0421 | X=0448.730-0473.780 | Y=0543.490-0552.810 | 2.100
P=0421 | X=0497.230-0522.280 | Y=0543.490-0552.810 | 1.800
P=0421 | X=0113.090-0366.400 | Y=0561.770-0573.010 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=0421 | X=0113.090-0208.040 | Y=0573.290-0584.530 | >500m đến ≤1.000m.
P=0421 | X=0113.090-0336.260 | Y=0590.810-0602.050 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0421 | X=0113.090-0359.000 | Y=0608.810-0620.050 | Các tuyến đường giao thông không đấu nối trực tiếp và
P=0421 | X=0113.090-0357.330 | Y=0620.350-0631.590 | thông ra Quốc lộ 51 đoạn từ Trung tâm huấn luyện chó
P=0421 | X=0113.090-0346.990 | Y=0631.870-0643.110 | nghiệp vụ Quân Khuyển đến Mũi tàu có hiện trạng là
P=0421 | X=0113.090-0248.860 | Y=0643.390-0654.630 | đường nhựa, bê tông xi măng:
P=0421 | X=0098.450-0104.050 | Y=0651.270-0660.590 | 7
P=0421 | X=0399.500-0424.550 | Y=0651.270-0660.590 | 2.300
P=0421 | X=0448.730-0473.780 | Y=0651.270-0660.590 | 1.600
P=0421 | X=0497.230-0522.280 | Y=0651.270-0660.590 | 1.400
P=0421 | X=0113.090-0354.200 | Y=0660.910-0672.150 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=0421 | X=0113.090-0155.230 | Y=0674.310-0683.630 | >1.000m.
P=0421 | X=0113.090-0336.730 | Y=0689.950-0701.190 | - Có bề rộng <3m, cách đường giao thông >200m.
P=0421 | X=0098.450-0247.820 | Y=0707.970-0719.210 | 8 Lê Duẩn (Quốc lộ 51A Mũi tàu
P=0421 | X=0293.160-0350.600 | Y=0709.860-0719.180 | Giáp ranh xã
P=0421 | X=0393.980-0424.550 | Y=0709.860-0719.180 | 13.600
P=0421 | X=0448.730-0473.780 | Y=0709.860-0719.180 | 9.500
P=0421 | X=0497.230-0522.280 | Y=0709.860-0719.180 | 8.200
P=0422 | X=0113.090-0127.010 | Y=0072.740-0083.980 | cũ)
P=0422 | X=0293.160-0346.530 | Y=0074.620-0083.940 | Long Thành
P=0422 | X=0113.090-0367.660 | Y=0090.740-0101.980 | Các tuyến đường giao thông đấu nối trực tiếp ra Lê Duẩn
P=0422 | X=0113.090-0365.460 | Y=0102.260-0113.500 | (Quốc lộ 51A cũ) đoạn từ Mũi tàu đến Giáp ranh xã Long
P=0422 | X=0113.090-0351.130 | Y=0113.780-0125.020 | Thành có hiện trạng là đường nhựa, bê tông xi măng:
P=0422 | X=0098.450-0104.050 | Y=0127.450-0136.770 | 9
P=0422 | X=0399.500-0424.550 | Y=0127.450-0136.770 | 4.400
P=0422 | X=0448.730-0473.780 | Y=0127.450-0136.770 | 3.100
P=0422 | X=0497.230-0522.280 | Y=0127.450-0136.770 | 2.600
P=0422 | X=0113.090-0344.170 | Y=0131.330-0142.570 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=0422 | X=0113.090-0354.200 | Y=0148.850-0160.090 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=0422 | X=0113.090-0146.610 | Y=0160.370-0171.610 | ≤500m.
P=0422 | X=0113.090-0367.660 | Y=0178.370-0189.610 | Các tuyến đường giao thông đấu nối trực tiếp ra Lê Duẩn
P=0422 | X=0113.090-0365.460 | Y=0189.650-0200.890 | (Quốc lộ 51A cũ) đoạn từ Mũi tàu đến Giáp ranh xã Long
P=0422 | X=0113.090-0351.130 | Y=0201.190-0212.430 | Thành có hiện trạng là đường nhựa, bê tông xi măng:
P=0422 | X=0095.810-0344.650 | Y=0218.710-0233.030 | 10 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=0422 | X=0399.500-0424.550 | Y=0223.710-0233.030 | 3.100
P=0422 | X=0448.730-0473.780 | Y=0223.710-0233.030 | 2.200
P=0422 | X=0497.230-0522.280 | Y=0223.710-0233.030 | 1.900
P=0422 | X=0113.090-0366.400 | Y=0236.230-0247.470 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=0422 | X=0113.090-0208.040 | Y=0247.750-0258.990 | >500m đến ≤1.000m.
P=0422 | X=0113.090-0336.260 | Y=0265.270-0276.510 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0422 | X=0113.090-0367.660 | Y=0283.300-0294.540 | Các tuyến đường giao thông đấu nối trực tiếp ra Lê Duẩn
P=0422 | X=0113.090-0365.490 | Y=0294.820-0306.060 | (Quốc lộ 51A cũ) đoạn từ Mũi tàu đến Giáp ranh xã Long
P=0422 | X=0113.090-0351.130 | Y=0306.340-0317.580 | Thành có hiện trạng là đường nhựa, bê tông xi măng:
P=0422 | X=0095.810-0106.930 | Y=0319.980-0329.300 | 11
P=0422 | X=0399.500-0424.550 | Y=0319.980-0329.300 | 2.000
P=0422 | X=0448.730-0473.780 | Y=0319.980-0329.300 | 1.400
P=0422 | X=0497.230-0522.280 | Y=0319.980-0329.300 | 1.200
P=0422 | X=0113.090-0354.200 | Y=0323.860-0335.100 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=0422 | X=0113.090-0155.230 | Y=0337.260-0346.580 | >1.000m.
P=0422 | X=0113.090-0336.730 | Y=0352.900-0364.140 | - Có bề rộng <3m, cách đường giao thông >200m.
P=0422 | X=0113.090-0359.000 | Y=0370.920-0382.160 | Các tuyến đường giao thông không đấu nối trực tiếp và
P=0422 | X=0113.090-0360.700 | Y=0382.200-0393.440 | thông ra Lê Duẩn (Quốc lộ 51A cũ) đoạn từ Mũi tàu đến
P=0422 | X=0113.090-0373.400 | Y=0393.720-0404.960 | Giáp ranh xã Long Thành có hiện trạng là đường nhựa, bê
P=0422 | X=0113.090-0173.250 | Y=0405.240-0416.480 | tông xi măng:
P=0422 | X=0095.810-0106.930 | Y=0413.120-0422.440 | 12
P=0422 | X=0399.500-0424.550 | Y=0413.120-0422.440 | 4.000
P=0422 | X=0448.730-0473.780 | Y=0413.120-0422.440 | 2.800
P=0422 | X=0497.230-0522.280 | Y=0413.120-0422.440 | 2.400
P=0422 | X=0113.090-0344.170 | Y=0422.760-0434.000 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=0422 | X=0113.090-0354.200 | Y=0440.280-0451.520 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=0422 | X=0113.090-0146.610 | Y=0451.820-0463.060 | ≤500m.
P=0422 | X=0113.090-0359.000 | Y=0469.820-0481.060 | Các tuyến đường giao thông không đấu nối trực tiếp và
P=0422 | X=0113.090-0360.700 | Y=0481.340-0492.580 | thông ra Lê Duẩn (Quốc lộ 51A cũ) đoạn từ Mũi tàu đến
P=0422 | X=0113.090-0373.400 | Y=0492.860-0504.100 | Giáp ranh xã Long Thành có hiện trạng là đường nhựa, bê
P=0422 | X=0113.090-0173.250 | Y=0504.380-0515.620 | tông xi măng:
P=0422 | X=0095.810-0344.640 | Y=0520.900-0533.140 | 13 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=0422 | X=0399.500-0424.550 | Y=0520.900-0530.220 | 2.800
P=0422 | X=0448.730-0473.780 | Y=0520.900-0530.220 | 2.000
P=0422 | X=0497.230-0522.280 | Y=0520.900-0530.220 | 1.700
P=0422 | X=0113.090-0366.400 | Y=0539.450-0550.690 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=0422 | X=0113.090-0208.040 | Y=0550.970-0562.210 | >500m đến ≤1.000m.
P=0422 | X=0113.090-0336.260 | Y=0568.250-0579.490 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0422 | X=0113.090-0359.000 | Y=0586.250-0597.490 | Các tuyến đường giao thông không đấu nối trực tiếp và
P=0422 | X=0113.090-0360.700 | Y=0597.770-0609.010 | thông ra Lê Duẩn (Quốc lộ 51A cũ) đoạn từ Mũi tàu đến
P=0422 | X=0113.090-0373.400 | Y=0609.290-0620.530 | Giáp ranh xã Long Thành có hiện trạng là đường nhựa, bê
P=0422 | X=0113.090-0173.250 | Y=0620.830-0632.070 | tông xi măng:
P=0422 | X=0095.810-0106.930 | Y=0628.710-0638.030 | 14
P=0422 | X=0399.500-0424.550 | Y=0628.710-0638.030 | 1.800
P=0422 | X=0448.730-0473.780 | Y=0628.710-0638.030 | 1.300
P=0422 | X=0497.230-0522.280 | Y=0628.710-0638.030 | 1.100
P=0422 | X=0113.090-0354.200 | Y=0638.350-0649.590 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=0422 | X=0113.090-0155.230 | Y=0651.750-0661.070 | >1.000m.
P=0422 | X=0113.090-0336.730 | Y=0667.390-0678.630 | - Có bề rộng <3m, cách đường giao thông >200m.
P=0422 | X=0113.090-0205.990 | Y=0685.390-0696.630 | Trường Chinh (Quốc
P=0422 | X=0293.160-0356.620 | Y=0685.390-0696.630 | Đường Võ Thị
P=0422 | X=0214.870-0247.820 | Y=0691.150-0702.390 | Mũi tàu
P=0422 | X=0095.810-0106.930 | Y=0693.030-0702.350 | 15
P=0422 | X=0393.980-0424.550 | Y=0693.030-0702.350 | 10.500
P=0422 | X=0448.730-0473.780 | Y=0693.030-0702.350 | 7.400
P=0422 | X=0497.230-0522.280 | Y=0693.030-0702.350 | 6.300
P=0422 | X=0113.090-0158.440 | Y=0696.910-0708.150 | lộ 51B cũ)
P=0422 | X=0293.160-0311.000 | Y=0698.790-0708.110 | Sáu
P=0423 | X=0113.090-0363.810 | Y=0078.740-0089.980 | Các tuyến đường giao thông đấu nối trực tiếp ra Trường
P=0423 | X=0113.090-0359.010 | Y=0090.260-0101.500 | Chinh (Quốc lộ 51B cũ) đoạn từ Mũi tàu đến Đường Võ
P=0423 | X=0113.090-0357.130 | Y=0101.780-0113.020 | Thị Sáu có hiện trạng là đường nhựa, bê tông xi măng:
P=0423 | X=0095.810-0106.930 | Y=0115.420-0124.740 | 16
P=0423 | X=0399.500-0424.550 | Y=0115.420-0124.740 | 5.000
P=0423 | X=0448.730-0473.780 | Y=0115.420-0124.740 | 3.500
P=0423 | X=0497.230-0522.280 | Y=0115.420-0124.740 | 3.000
P=0423 | X=0113.090-0344.170 | Y=0119.330-0130.570 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=0423 | X=0113.090-0354.200 | Y=0136.850-0148.090 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=0423 | X=0113.090-0146.610 | Y=0148.370-0159.610 | ≤500m.
P=0423 | X=0113.090-0363.810 | Y=0166.370-0177.610 | Các tuyến đường giao thông đấu nối trực tiếp ra Trường
P=0423 | X=0113.090-0359.010 | Y=0177.650-0188.890 | Chinh (Quốc lộ 51B cũ) đoạn từ Mũi tàu đến Đường Võ
P=0423 | X=0113.090-0357.130 | Y=0189.170-0200.410 | Thị Sáu có hiện trạng là đường nhựa, bê tông xi măng:
P=0423 | X=0095.810-0344.640 | Y=0206.710-0221.030 | 17 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=0423 | X=0399.500-0424.550 | Y=0211.710-0221.030 | 3.400
P=0423 | X=0448.730-0473.780 | Y=0211.710-0221.030 | 2.400
P=0423 | X=0497.230-0522.280 | Y=0211.710-0221.030 | 2.000
P=0423 | X=0113.090-0366.400 | Y=0224.230-0235.470 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=0423 | X=0113.090-0208.040 | Y=0235.750-0246.990 | >500m đến ≤1.000m.
P=0423 | X=0113.090-0336.260 | Y=0253.270-0264.510 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0423 | X=0113.090-0363.810 | Y=0271.270-0282.510 | Các tuyến đường giao thông đấu nối trực tiếp ra Trường
P=0423 | X=0113.090-0359.010 | Y=0282.820-0294.060 | Chinh (Quốc lộ 51B cũ) đoạn từ Mũi tàu đến Đường Võ
P=0423 | X=0113.090-0357.150 | Y=0294.340-0305.580 | Thị Sáu có hiện trạng là đường nhựa, bê tông xi măng:
P=0423 | X=0095.810-0106.930 | Y=0307.980-0317.300 | 18
P=0423 | X=0399.500-0424.550 | Y=0307.980-0317.300 | 2.300
P=0423 | X=0448.730-0473.780 | Y=0307.980-0317.300 | 1.600
P=0423 | X=0497.230-0522.280 | Y=0307.980-0317.300 | 1.400
P=0423 | X=0113.090-0354.200 | Y=0311.860-0323.100 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=0423 | X=0113.090-0155.230 | Y=0325.260-0334.580 | >1.000m.
P=0423 | X=0113.090-0336.730 | Y=0340.900-0352.140 | - Có bề rộng <3m, cách đường giao thông >200m.
P=0423 | X=0113.090-0359.000 | Y=0358.900-0370.140 | Các tuyến đường giao thông không đấu nối trực tiếp và
P=0423 | X=0113.090-0365.960 | Y=0370.200-0381.440 | thông ra Trường Chinh (Quốc lộ 51B cũ) đoạn từ Mũi tàu
P=0423 | X=0113.090-0363.090 | Y=0381.720-0392.960 | đến Đường Võ Thị Sáu có hiện trạng là đường nhựa, bê
P=0423 | X=0113.090-0173.250 | Y=0393.240-0404.480 | tông xi măng:
P=0423 | X=0095.810-0106.930 | Y=0401.120-0410.440 | 19
P=0423 | X=0399.500-0424.550 | Y=0401.120-0410.440 | 4.500
P=0423 | X=0448.730-0473.780 | Y=0401.120-0410.440 | 3.200
P=0423 | X=0497.230-0522.280 | Y=0401.120-0410.440 | 2.700
P=0423 | X=0113.090-0344.170 | Y=0410.760-0422.000 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=0423 | X=0113.090-0354.200 | Y=0428.280-0439.520 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=0423 | X=0113.090-0146.610 | Y=0439.800-0451.040 | ≤500m.
P=0423 | X=0113.090-0359.000 | Y=0457.820-0469.060 | Các tuyến đường giao thông không đấu nối trực tiếp và
P=0423 | X=0113.090-0365.960 | Y=0469.340-0480.580 | thông ra Trường Chinh (Quốc lộ 51B cũ) đoạn từ Mũi tàu
P=0423 | X=0113.090-0363.090 | Y=0480.860-0492.100 | đến Đường Võ Thị Sáu có hiện trạng là đường nhựa, bê
P=0423 | X=0113.090-0173.250 | Y=0492.380-0503.620 | tông xi măng:
P=0423 | X=0095.810-0344.640 | Y=0508.900-0521.140 | 20 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=0423 | X=0399.500-0424.550 | Y=0508.900-0518.220 | 3.100
P=0423 | X=0448.730-0473.780 | Y=0508.900-0518.220 | 2.200
P=0423 | X=0497.230-0522.280 | Y=0508.900-0518.220 | 1.900
P=0423 | X=0113.090-0366.400 | Y=0527.420-0538.660 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=0423 | X=0113.090-0208.040 | Y=0538.970-0550.210 | >500m đến ≤1.000m.
P=0423 | X=0113.090-0336.260 | Y=0556.250-0567.490 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0423 | X=0113.090-0359.000 | Y=0574.250-0585.490 | Các tuyến đường giao thông không đấu nối trực tiếp và
P=0423 | X=0113.090-0365.960 | Y=0585.770-0597.010 | thông ra Trường Chinh (Quốc lộ 51B cũ) đoạn từ Mũi tàu
P=0423 | X=0113.090-0363.090 | Y=0597.290-0608.530 | đến Đường Võ Thị Sáu có hiện trạng là đường nhựa, bê
P=0423 | X=0113.090-0173.250 | Y=0608.810-0620.050 | tông xi măng:
P=0423 | X=0095.810-0106.930 | Y=0616.690-0626.010 | 21
P=0423 | X=0399.500-0424.550 | Y=0616.690-0626.010 | 2.100
P=0423 | X=0448.730-0473.780 | Y=0616.690-0626.010 | 1.500
P=0423 | X=0497.230-0522.280 | Y=0616.690-0626.010 | 1.300
P=0423 | X=0113.090-0354.200 | Y=0626.350-0637.590 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=0423 | X=0113.090-0155.230 | Y=0639.750-0649.070 | >1.000m.
P=0423 | X=0113.090-0336.730 | Y=0655.390-0666.630 | - Có bề rộng <3m, cách đường giao thông >200m.
P=0423 | X=0113.090-0350.610 | Y=0673.390-0684.630 | Đường từ Sân bóng khu 15 đến hết đoạn đường Ráp
P=0423 | X=0095.810-0106.930 | Y=0681.030-0690.350 | 22
P=0423 | X=0399.500-0424.550 | Y=0681.030-0690.350 | 4.600
P=0423 | X=0448.730-0473.780 | Y=0681.030-0690.350 | 3.200
P=0423 | X=0497.230-0522.280 | Y=0681.030-0690.350 | 2.800
P=0423 | X=0113.090-0189.480 | Y=0686.790-0696.110 | thuộc xã Bình An
P=0423 | X=0095.810-0373.840 | Y=0702.930-0714.170 | 23 Các tuyến đường giao thông đấu nối trực tiếp ra Đường từ
P=0423 | X=0399.500-0424.550 | Y=0704.820-0714.140 | 2.400
P=0423 | X=0448.730-0473.780 | Y=0704.820-0714.140 | 1.700
P=0423 | X=0497.230-0522.280 | Y=0704.820-0714.140 | 1.400
P=0424 | X=0113.090-0367.640 | Y=0072.740-0083.980 | Sân bóng khu 15 đến hết đoạn đường Ráp thuộc xã Bình
P=0424 | X=0113.090-0335.050 | Y=0084.260-0095.500 | An có hiện trạng là đường nhựa, bê tông xi măng:
P=0424 | X=0113.090-0344.170 | Y=0101.780-0113.020 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=0424 | X=0113.090-0354.200 | Y=0119.330-0130.570 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=0424 | X=0113.090-0146.610 | Y=0130.850-0142.090 | ≤500m.
P=0424 | X=0113.090-0373.840 | Y=0148.850-0160.090 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường từ
P=0424 | X=0113.090-0367.640 | Y=0160.370-0171.610 | Sân bóng khu 15 đến hết đoạn đường Ráp thuộc xã Bình
P=0424 | X=0113.090-0335.050 | Y=0171.650-0182.890 | An có hiện trạng là đường nhựa, bê tông xi măng:
P=0424 | X=0095.810-0344.640 | Y=0189.170-0203.490 | 24 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=0424 | X=0399.500-0424.550 | Y=0194.170-0203.490 | 2.000
P=0424 | X=0448.730-0473.780 | Y=0194.170-0203.490 | 1.400
P=0424 | X=0497.230-0522.280 | Y=0194.170-0203.490 | 1.200
P=0424 | X=0113.090-0366.400 | Y=0206.710-0217.950 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=0424 | X=0113.090-0208.040 | Y=0218.230-0229.470 | >500m đến ≤1.000m.
P=0424 | X=0113.090-0336.260 | Y=0235.750-0246.990 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0424 | X=0113.090-0373.840 | Y=0253.750-0264.990 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường từ
P=0424 | X=0113.090-0367.640 | Y=0265.270-0276.510 | Sân bóng khu 15 đến hết đoạn đường Ráp thuộc xã Bình
P=0424 | X=0113.090-0335.050 | Y=0276.790-0288.030 | An có hiện trạng là đường nhựa, bê tông xi măng:
P=0424 | X=0095.810-0106.930 | Y=0290.460-0299.780 | 25
P=0424 | X=0399.500-0424.550 | Y=0290.460-0299.780 | 1.400
P=0424 | X=0456.890-0473.530 | Y=0290.460-0299.780 | 980
P=0424 | X=0505.390-0522.030 | Y=0290.460-0299.780 | 840
P=0424 | X=0113.090-0354.200 | Y=0294.340-0305.580 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=0424 | X=0113.090-0155.230 | Y=0307.740-0317.060 | >1.000m.
P=0424 | X=0113.090-0336.730 | Y=0323.380-0334.620 | - Có bề rộng <3m, cách đường giao thông >200m.
P=0424 | X=0113.090-0359.000 | Y=0341.380-0352.620 | Các tuyến đường giao thông không đấu nối trực tiếp và
P=0424 | X=0113.090-0368.630 | Y=0352.900-0364.140 | thông ra Đường từ Sân bóng khu 15 đến hết đoạn đường
P=0424 | X=0113.090-0357.330 | Y=0364.180-0375.420 | Ráp thuộc xã Bình An có hiện trạng là đường nhựa, bê
P=0424 | X=0113.090-0173.250 | Y=0375.720-0386.960 | tông xi măng:
P=0424 | X=0095.810-0106.930 | Y=0383.600-0392.920 | 26
P=0424 | X=0399.500-0424.550 | Y=0383.600-0392.920 | 2.200
