TABLE=034 | AREA=Xã Xuân Đông | SECTION=non-agricultural | SEGMENTS=1
P=1167 | X=0505.390-0522.030 | Y=0249.390-0258.710 | 780
P=1167 | X=0106.850-0337.930 | Y=0259.030-0270.270 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1167 | X=0106.850-0384.020 | Y=0276.550-0287.790 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=1167 | X=0106.850-0392.110 | Y=0294.340-0305.580 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=1167 | X=0106.850-0411.580 | Y=0305.860-0317.100 | Đường tỉnh 765 đoạn từ Giáp ranh xã Xuân Phú đến Giáp trạm xăng
P=1167 | X=0106.850-0377.790 | Y=0317.380-0328.620 | dầu Đồng Nai có hiện trạng là đường nhựa, bê tông xi măng:
P=1167 | X=0095.570-0338.400 | Y=0334.900-0348.980 | 6 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1167 | X=0433.130-0449.770 | Y=0339.660-0348.980 | 850
P=1167 | X=0469.370-0486.010 | Y=0339.660-0348.980 | 600
P=1167 | X=0505.390-0522.030 | Y=0339.660-0348.980 | 510
P=1167 | X=0106.850-0413.270 | Y=0352.420-0363.660 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >500m đến
P=1167 | X=0106.850-0148.530 | Y=0363.700-0374.940 | ≤1.000m.
P=1167 | X=0106.850-0330.020 | Y=0381.240-0392.480 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1167 | X=0106.850-0392.110 | Y=0399.000-0410.240 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=1167 | X=0106.850-0411.580 | Y=0410.520-0421.760 | Đường tỉnh 765 đoạn từ Giáp ranh xã Xuân Phú đến Giáp trạm xăng
P=1167 | X=0106.850-0377.790 | Y=0422.040-0433.280 | dầu Đồng Nai có hiện trạng là đường nhựa, bê tông xi măng:
P=1167 | X=0095.570-0101.170 | Y=0429.920-0439.240 | 7
P=1167 | X=0433.130-0449.770 | Y=0429.920-0439.240 | 650
P=1167 | X=0469.370-0486.010 | Y=0429.920-0439.240 | 460
P=1167 | X=0505.390-0522.030 | Y=0429.920-0439.240 | 390
P=1167 | X=0106.850-0392.640 | Y=0439.560-0450.800 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >1.000m.
P=1167 | X=0106.850-0330.490 | Y=0457.100-0468.340 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1167 | X=0322.200-0411.820 | Y=0476.740-0486.060 | Cầu Suối Sách (gần
P=1167 | X=0235.540-0304.020 | Y=0480.620-0491.860 | Giáp trạm xăng
P=1167 | X=0095.570-0177.020 | Y=0486.380-0497.620 | 8 Đường tỉnh 765
P=1167 | X=0322.200-0408.470 | Y=0486.380-0497.620 | Trường Nguyễn Bá
P=1167 | X=0424.970-0450.020 | Y=0488.260-0497.580 | 3.300
P=1167 | X=0461.210-0486.260 | Y=0488.260-0497.580 | 2.300
P=1167 | X=0497.230-0522.280 | Y=0488.260-0497.580 | 2.000
P=1167 | X=0235.540-0296.580 | Y=0492.140-0503.380 | dầu Đồng Nai
P=1167 | X=0322.200-0348.840 | Y=0499.780-0509.100 | Ngọc)
P=1167 | X=0106.850-0393.590 | Y=0515.660-0526.900 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường tỉnh 765
P=1167 | X=0106.850-0388.300 | Y=0527.180-0538.420 | đoạn từ Giáp trạm xăng dầu Đồng Nai đến Cầu Suối Sách (gần
P=1167 | X=0106.850-0401.470 | Y=0538.490-0549.730 | Trường Nguyễn Bá Ngọc) có hiện trạng là đường nhựa, bê tông xi
P=1167 | X=0095.570-0134.850 | Y=0550.010-0561.450 | 9 măng:
P=1167 | X=0424.970-0450.020 | Y=0552.130-0561.450 | 1.600
P=1167 | X=0461.210-0486.260 | Y=0552.130-0561.450 | 1.100
P=1167 | X=0505.390-0522.030 | Y=0552.130-0561.450 | 960
P=1167 | X=0106.850-0337.930 | Y=0567.530-0578.770 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1167 | X=0106.850-0384.020 | Y=0585.050-0596.290 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=1167 | X=0106.850-0393.590 | Y=0602.810-0614.050 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường tỉnh 765
P=1167 | X=0106.850-0388.300 | Y=0614.330-0625.570 | đoạn từ Giáp trạm xăng dầu Đồng Nai đến Cầu Suối Sách (gần
P=1167 | X=0106.850-0401.470 | Y=0625.870-0637.110 | Trường Nguyễn Bá Ngọc) có hiện trạng là đường nhựa, bê tông xi
P=1167 | X=0106.850-0134.850 | Y=0637.390-0648.630 | măng:
P=1167 | X=0092.900-0338.400 | Y=0653.910-0666.150 | 10 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1167 | X=0433.130-0449.770 | Y=0653.910-0663.230 | 940
P=1167 | X=0469.370-0486.010 | Y=0653.910-0663.230 | 660
P=1167 | X=0505.390-0522.030 | Y=0653.910-0663.230 | 560
P=1167 | X=0106.850-0413.270 | Y=0672.430-0683.670 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >500m đến
P=1167 | X=0106.850-0148.530 | Y=0683.950-0695.190 | ≤1.000m.
P=1167 | X=0106.850-0330.020 | Y=0701.490-0712.730 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1168 | X=0106.850-0393.590 | Y=0078.500-0089.740 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường tỉnh 765
P=1168 | X=0106.850-0388.300 | Y=0090.020-0101.260 | đoạn từ Giáp trạm xăng dầu Đồng Nai đến Cầu Suối Sách (gần
P=1168 | X=0106.850-0401.470 | Y=0101.540-0112.780 | Trường Nguyễn Bá Ngọc) có hiện trạng là đường nhựa, bê tông xi
P=1168 | X=0092.900-0134.850 | Y=0113.060-0124.500 | 11 măng:
P=1168 | X=0433.130-0449.770 | Y=0115.180-0124.500 | 720
P=1168 | X=0469.370-0486.010 | Y=0115.180-0124.500 | 500
P=1168 | X=0505.390-0522.030 | Y=0115.180-0124.500 | 430
P=1168 | X=0106.850-0392.640 | Y=0130.610-0141.850 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >1.000m.
P=1168 | X=0106.850-0330.490 | Y=0148.130-0159.370 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1168 | X=0106.850-0392.110 | Y=0165.650-0176.890 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=1168 | X=0106.850-0412.540 | Y=0177.170-0188.410 | Đường tỉnh 765 đoạn từ Giáp trạm xăng dầu Đồng Nai đến Cầu Suối
P=1168 | X=0106.850-0403.750 | Y=0188.690-0199.930 | Sách (gần Trường Nguyễn Bá Ngọc) có hiện trạng là đường nhựa,
P=1168 | X=0092.900-0180.930 | Y=0200.230-0211.670 | 12 bê tông xi măng:
P=1168 | X=0424.970-0450.020 | Y=0202.350-0211.670 | 1.400
P=1168 | X=0469.370-0486.010 | Y=0202.350-0211.670 | 980
P=1168 | X=0505.390-0522.030 | Y=0202.350-0211.670 | 840
P=1168 | X=0106.850-0337.930 | Y=0217.750-0228.990 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1168 | X=0106.850-0384.020 | Y=0235.270-0246.510 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=1168 | X=0106.850-0392.140 | Y=0253.030-0264.270 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=1168 | X=0106.850-0412.540 | Y=0264.550-0275.790 | Đường tỉnh 765 đoạn từ Giáp trạm xăng dầu Đồng Nai đến Cầu Suối
P=1168 | X=0106.850-0403.750 | Y=0276.070-0287.310 | Sách (gần Trường Nguyễn Bá Ngọc) có hiện trạng là đường nhựa,
P=1168 | X=0106.850-0180.930 | Y=0287.620-0298.860 | bê tông xi măng:
P=1168 | X=0092.900-0338.400 | Y=0304.140-0316.380 | 13 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1168 | X=0433.130-0449.770 | Y=0304.140-0313.460 | 850
P=1168 | X=0469.370-0486.010 | Y=0304.140-0313.460 | 600
P=1168 | X=0505.390-0522.030 | Y=0304.140-0313.460 | 510
P=1168 | X=0106.850-0413.260 | Y=0322.660-0333.900 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >500m đến
P=1168 | X=0106.850-0148.530 | Y=0333.940-0345.180 | ≤1.000m.
P=1168 | X=0106.850-0330.020 | Y=0351.460-0362.700 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1168 | X=0106.850-0392.110 | Y=0369.240-0380.480 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=1168 | X=0106.850-0412.540 | Y=0380.760-0392.000 | Đường tỉnh 765 đoạn từ Giáp trạm xăng dầu Đồng Nai đến Cầu Suối
P=1168 | X=0106.850-0403.750 | Y=0392.280-0403.520 | Sách (gần Trường Nguyễn Bá Ngọc) có hiện trạng là đường nhựa,
P=1168 | X=0092.900-0180.930 | Y=0403.800-0415.240 | 14 bê tông xi măng:
P=1168 | X=0433.130-0449.770 | Y=0405.920-0415.240 | 650
P=1168 | X=0469.370-0486.010 | Y=0405.920-0415.240 | 460
P=1168 | X=0505.390-0522.030 | Y=0405.920-0415.240 | 390
P=1168 | X=0106.850-0392.640 | Y=0421.320-0432.560 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >1.000m.
P=1168 | X=0106.850-0330.490 | Y=0438.840-0450.080 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1168 | X=0235.540-0302.560 | Y=0458.500-0467.820 | Cầu Suối Sách
P=1168 | X=0092.900-0177.020 | Y=0468.140-0479.380 | 15 Đường tỉnh 765
P=1168 | X=0235.540-0292.270 | Y=0468.140-0479.380 | (gần Trường
P=1168 | X=0322.200-0383.660 | Y=0470.020-0479.340 | Cầu Suối Lức
P=1168 | X=0424.970-0450.020 | Y=0470.020-0479.340 | 2.900
P=1168 | X=0461.210-0486.260 | Y=0470.020-0479.340 | 2.000
P=1168 | X=0497.230-0522.280 | Y=0470.020-0479.340 | 1.700
P=1168 | X=0235.540-0314.520 | Y=0481.540-0490.860 | Nguyễn Bá Ngọc)
P=1168 | X=0106.850-0393.590 | Y=0497.420-0508.660 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường tỉnh 765
P=1168 | X=0106.850-0415.420 | Y=0508.940-0520.180 | đoạn từ Cầu Suối Sách (gần Trường Nguyễn Bá Ngọc) đến Cầu Suối
P=1168 | X=0106.850-0333.850 | Y=0520.220-0531.460 | Lức có hiện trạng là đường nhựa, bê tông xi măng:
P=1168 | X=0092.900-0104.020 | Y=0528.100-0537.420 | 16
P=1168 | X=0424.970-0450.020 | Y=0528.100-0537.420 | 1.400
P=1168 | X=0469.370-0486.010 | Y=0528.100-0537.420 | 980
P=1168 | X=0505.390-0522.030 | Y=0528.100-0537.420 | 840
P=1168 | X=0106.850-0337.930 | Y=0537.770-0549.010 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1168 | X=0106.850-0384.060 | Y=0555.290-0566.530 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=1168 | X=0106.850-0393.590 | Y=0573.050-0584.290 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường tỉnh 765
P=1168 | X=0106.850-0415.420 | Y=0584.570-0595.810 | đoạn từ Cầu Suối Sách (gần Trường Nguyễn Bá Ngọc) đến Cầu Suối
P=1168 | X=0106.850-0333.850 | Y=0596.090-0607.330 | Lức có hiện trạng là đường nhựa, bê tông xi măng:
P=1168 | X=0092.900-0338.400 | Y=0613.610-0627.710 | 17 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1168 | X=0433.130-0449.770 | Y=0618.390-0627.710 | 940
P=1168 | X=0469.370-0486.010 | Y=0618.390-0627.710 | 660
P=1168 | X=0505.390-0522.030 | Y=0618.390-0627.710 | 560
P=1168 | X=0106.850-0413.270 | Y=0631.150-0642.390 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >500m đến
P=1168 | X=0106.850-0148.530 | Y=0642.670-0653.910 | ≤1.000m.
P=1168 | X=0106.850-0330.020 | Y=0660.190-0671.430 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1168 | X=0106.850-0393.590 | Y=0677.950-0689.190 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường tỉnh 765
P=1168 | X=0092.900-0415.420 | Y=0689.470-0700.710 | 18 đoạn từ Cầu Suối Sách (gần Trường Nguyễn Bá Ngọc) đến Cầu Suối
P=1168 | X=0433.130-0449.770 | Y=0691.350-0700.670 | 720
P=1168 | X=0469.370-0486.010 | Y=0691.350-0700.670 | 500
P=1168 | X=0505.390-0522.030 | Y=0691.350-0700.670 | 430
P=1168 | X=0106.850-0333.850 | Y=0700.770-0712.010 | Lức có hiện trạng là đường nhựa, bê tông xi măng:
P=1169 | X=0106.850-0392.640 | Y=0078.500-0089.740 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >1.000m.
P=1169 | X=0106.850-0330.490 | Y=0096.020-0107.260 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1169 | X=0106.850-0392.110 | Y=0113.780-0125.020 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=1169 | X=0106.850-0395.270 | Y=0125.330-0136.570 | Đường tỉnh 765 đoạn từ Cầu Suối Sách (gần Trường Nguyễn Bá
P=1169 | X=0106.850-0395.960 | Y=0136.850-0148.090 | Ngọc) đến Cầu Suối Lức có hiện trạng là đường nhựa, bê tông xi
P=1169 | X=0092.900-0134.850 | Y=0148.370-0159.810 | 19 măng:
P=1169 | X=0424.970-0450.020 | Y=0150.490-0159.810 | 1.300
P=1169 | X=0469.370-0486.010 | Y=0150.490-0159.810 | 910
P=1169 | X=0505.390-0522.030 | Y=0150.490-0159.810 | 780
P=1169 | X=0106.850-0337.930 | Y=0165.650-0176.890 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1169 | X=0106.850-0384.020 | Y=0183.170-0194.410 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=1169 | X=0106.850-0392.110 | Y=0200.950-0212.190 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=1169 | X=0106.850-0395.270 | Y=0212.470-0223.710 | Đường tỉnh 765 đoạn từ Cầu Suối Sách (gần Trường Nguyễn Bá
P=1169 | X=0106.850-0395.960 | Y=0223.990-0235.230 | Ngọc) đến Cầu Suối Lức có hiện trạng là đường nhựa, bê tông xi
P=1169 | X=0106.850-0134.850 | Y=0235.510-0246.750 | măng:
P=1169 | X=0092.900-0338.400 | Y=0252.270-0264.270 | 20 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1169 | X=0433.130-0449.770 | Y=0252.270-0261.590 | 850
P=1169 | X=0469.370-0486.010 | Y=0252.270-0261.590 | 600
P=1169 | X=0505.390-0522.030 | Y=0252.270-0261.590 | 510
P=1169 | X=0106.850-0413.270 | Y=0270.550-0281.790 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >500m đến
P=1169 | X=0106.850-0148.530 | Y=0282.100-0293.340 | ≤1.000m.
P=1169 | X=0106.850-0330.020 | Y=0299.620-0310.860 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1169 | X=0106.850-0392.110 | Y=0317.380-0328.620 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=1169 | X=0106.850-0395.270 | Y=0328.900-0340.140 | Đường tỉnh 765 đoạn từ Cầu Suối Sách (gần Trường Nguyễn Bá
P=1169 | X=0106.850-0395.960 | Y=0340.420-0351.660 | Ngọc) đến Cầu Suối Lức có hiện trạng là đường nhựa, bê tông xi
P=1169 | X=0092.900-0134.850 | Y=0351.700-0363.140 | 21 măng:
P=1169 | X=0433.130-0449.770 | Y=0353.820-0363.140 | 650
P=1169 | X=0469.370-0486.010 | Y=0353.820-0363.140 | 460
P=1169 | X=0505.390-0522.030 | Y=0353.820-0363.140 | 390
P=1169 | X=0106.850-0392.640 | Y=0369.240-0380.480 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >1.000m.
P=1169 | X=0106.850-0330.490 | Y=0386.760-0398.000 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1169 | X=0322.200-0402.470 | Y=0404.520-0415.760 | Giáp Trường Tiểu
P=1169 | X=0092.900-0177.020 | Y=0410.280-0421.520 | 22 Đường tỉnh 765
P=1169 | X=0235.540-0297.000 | Y=0412.160-0421.480 | Cầu Suối Lức
P=1169 | X=0424.970-0450.020 | Y=0412.160-0421.480 | 3.900
P=1169 | X=0461.210-0486.260 | Y=0412.160-0421.480 | 2.700
P=1169 | X=0497.230-0522.280 | Y=0412.160-0421.480 | 2.300
P=1169 | X=0322.200-0390.940 | Y=0417.920-0427.240 | học Võ Thị Sáu
P=1169 | X=0106.850-0393.590 | Y=0433.800-0445.040 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường tỉnh 765
P=1169 | X=0106.850-0413.990 | Y=0445.320-0456.560 | đoạn từ Cầu Suối Lức đến Giáp Trường Tiểu học Võ Thị Sáu có hiện
P=1169 | X=0106.850-0278.630 | Y=0456.860-0468.100 | trạng là đường nhựa, bê tông xi măng:
P=1169 | X=0092.900-0104.020 | Y=0464.740-0474.060 | 23
P=1169 | X=0424.970-0450.020 | Y=0464.740-0474.060 | 1.800
P=1169 | X=0461.210-0486.260 | Y=0464.740-0474.060 | 1.300
P=1169 | X=0497.230-0522.280 | Y=0464.740-0474.060 | 1.100
P=1169 | X=0106.850-0337.930 | Y=0474.380-0485.620 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1169 | X=0106.850-0384.060 | Y=0491.900-0503.140 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=1169 | X=0106.850-0393.590 | Y=0509.660-0520.900 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường tỉnh 765
P=1169 | X=0106.850-0413.990 | Y=0521.180-0532.420 | đoạn từ Cầu Suối Lức đến Giáp Trường Tiểu học Võ Thị Sáu có hiện
P=1169 | X=0106.850-0278.630 | Y=0532.490-0543.730 | trạng là đường nhựa, bê tông xi măng:
P=1169 | X=0092.900-0338.400 | Y=0550.010-0564.330 | 24 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1169 | X=0433.130-0449.770 | Y=0555.010-0564.330 | 940
P=1169 | X=0469.370-0486.010 | Y=0555.010-0564.330 | 660
P=1169 | X=0505.390-0522.030 | Y=0555.010-0564.330 | 560
P=1169 | X=0106.850-0413.270 | Y=0567.530-0578.770 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >500m đến
P=1169 | X=0106.850-0148.530 | Y=0579.050-0590.290 | ≤1.000m.
P=1169 | X=0106.850-0330.020 | Y=0596.570-0607.810 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1169 | X=0106.850-0393.590 | Y=0614.330-0625.570 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường tỉnh 765
P=1169 | X=0106.850-0413.990 | Y=0625.870-0637.110 | đoạn từ Cầu Suối Lức đến Giáp Trường Tiểu học Võ Thị Sáu có hiện
P=1169 | X=0106.850-0278.630 | Y=0637.390-0648.630 | trạng là đường nhựa, bê tông xi măng:
P=1169 | X=0092.900-0104.020 | Y=0645.270-0654.590 | 25
P=1169 | X=0433.130-0449.770 | Y=0645.270-0654.590 | 720
P=1169 | X=0469.370-0486.010 | Y=0645.270-0654.590 | 500
P=1169 | X=0505.390-0522.030 | Y=0645.270-0654.590 | 430
P=1169 | X=0106.850-0392.640 | Y=0654.910-0666.150 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >1.000m.
P=1169 | X=0106.850-0330.490 | Y=0672.430-0683.670 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1169 | X=0106.850-0392.110 | Y=0690.190-0701.430 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=1169 | X=0092.900-0104.020 | Y=0697.830-0707.150 | 26
P=1169 | X=0424.970-0450.020 | Y=0697.830-0707.150 | 1.600
P=1169 | X=0461.210-0486.260 | Y=0697.830-0707.150 | 1.100
P=1169 | X=0505.390-0522.030 | Y=0697.830-0707.150 | 960
P=1169 | X=0106.850-0414.460 | Y=0701.730-0712.970 | Đường tỉnh 765 đoạn từ Cầu Suối Lức đến Giáp Trường Tiểu học Võ
P=1170 | X=0106.850-0350.890 | Y=0072.500-0083.740 | Thị Sáu có hiện trạng là đường nhựa, bê tông xi măng:
P=1170 | X=0106.850-0337.930 | Y=0090.020-0101.260 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1170 | X=0106.850-0384.020 | Y=0107.540-0118.780 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=1170 | X=0106.850-0392.110 | Y=0125.330-0136.570 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=1170 | X=0106.850-0414.460 | Y=0136.850-0148.090 | Đường tỉnh 765 đoạn từ Cầu Suối Lức đến Giáp Trường Tiểu học Võ
P=1170 | X=0106.850-0350.890 | Y=0148.370-0159.610 | Thị Sáu có hiện trạng là đường nhựa, bê tông xi măng:
P=1170 | X=0092.900-0338.400 | Y=0165.650-0179.970 | 27 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1170 | X=0433.130-0449.770 | Y=0170.650-0179.970 | 850
