TABLE=045 | AREA=Xã La Ngà | SECTION=non-agricultural | SEGMENTS=1
P=1545 | X=0111.170-0342.250 | Y=0403.560-0414.800 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1545 | X=0111.170-0388.360 | Y=0421.080-0432.320 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=1545 | X=0111.170-0376.300 | Y=0438.840-0450.080 | Các tuyến đường giao thông đấu nối trực tiếp ra Quốc lộ 20
P=1545 | X=0111.170-0381.300 | Y=0450.380-0461.620 | đoạn từ Giáp ranh xã Thống Nhất đến Hết chợ Túc Trưng có
P=1545 | X=0111.170-0304.780 | Y=0461.900-0473.140 | hiện trạng là đường nhựa, bê tông xi măng:
P=1545 | X=0097.730-0342.720 | Y=0479.420-0493.500 | 3 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1545 | X=0413.900-0430.540 | Y=0484.180-0493.500 | 570
P=1545 | X=0461.690-0478.330 | Y=0484.180-0493.500 | 400
P=1545 | X=0505.390-0522.030 | Y=0484.180-0493.500 | 340
P=1545 | X=0111.170-0364.480 | Y=0496.940-0508.180 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=1545 | X=0111.170-0206.120 | Y=0508.220-0519.460 | >500m đến ≤1.000m.
P=1545 | X=0111.170-0334.340 | Y=0525.740-0536.980 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1545 | X=0111.170-0376.300 | Y=0543.530-0554.770 | Các tuyến đường giao thông đấu nối trực tiếp ra Quốc lộ 20
P=1545 | X=0111.170-0381.300 | Y=0555.050-0566.290 | đoạn từ Giáp ranh xã Thống Nhất đến Hết chợ Túc Trưng có
P=1545 | X=0111.170-0304.780 | Y=0566.570-0577.810 | hiện trạng là đường nhựa, bê tông xi măng:
P=1545 | X=0097.730-0103.330 | Y=0580.210-0589.530 | 4
P=1545 | X=0413.900-0430.540 | Y=0580.210-0589.530 | 450
P=1545 | X=0461.690-0478.330 | Y=0580.210-0589.530 | 320
P=1545 | X=0505.390-0522.030 | Y=0580.210-0589.530 | 270
P=1545 | X=0111.170-0352.280 | Y=0584.090-0595.330 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=1545 | X=0111.170-0153.310 | Y=0597.490-0606.810 | >1.000m.
P=1545 | X=0111.170-0334.810 | Y=0613.130-0624.370 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1545 | X=0111.170-0384.680 | Y=0630.910-0642.150 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=1545 | X=0111.170-0381.640 | Y=0642.430-0653.670 | ra Quốc lộ 20 đoạn từ Giáp ranh xã Thống Nhất đến Hết chợ
P=1545 | X=0111.170-0367.450 | Y=0653.950-0665.190 | Túc Trưng có hiện trạng là đường nhựa, bê tông xi măng:
P=1545 | X=0097.730-0103.330 | Y=0661.830-0671.150 | 5
P=1545 | X=0413.900-0430.540 | Y=0661.830-0671.150 | 810
P=1545 | X=0461.690-0478.330 | Y=0661.830-0671.150 | 570
P=1545 | X=0505.390-0522.030 | Y=0661.830-0671.150 | 490
P=1545 | X=0111.170-0342.250 | Y=0671.470-0682.710 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1545 | X=0111.170-0388.360 | Y=0688.750-0699.990 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=1545 | X=0097.730-0384.680 | Y=0706.530-0717.770 | 6 Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=1545 | X=0413.900-0430.540 | Y=0708.420-0717.740 | 510
P=1545 | X=0461.690-0478.330 | Y=0708.420-0717.740 | 360
P=1545 | X=0505.390-0522.030 | Y=0708.420-0717.740 | 310
P=1546 | X=0111.170-0381.640 | Y=0072.500-0083.740 | ra Quốc lộ 20 đoạn từ Giáp ranh xã Thống Nhất đến Hết chợ
P=1546 | X=0111.170-0367.450 | Y=0084.020-0095.260 | Túc Trưng có hiện trạng là đường nhựa, bê tông xi măng:
P=1546 | X=0111.170-0342.720 | Y=0101.540-0112.780 | - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1546 | X=0111.170-0364.480 | Y=0119.090-0130.330 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=1546 | X=0111.170-0206.120 | Y=0130.610-0141.850 | >500m đến ≤1.000m.
P=1546 | X=0111.170-0334.340 | Y=0148.130-0159.370 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1546 | X=0111.170-0384.680 | Y=0165.650-0176.890 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=1546 | X=0111.170-0381.640 | Y=0177.170-0188.410 | ra Quốc lộ 20 đoạn từ Giáp ranh xã Thống Nhất đến Hết chợ
P=1546 | X=0111.170-0367.450 | Y=0188.690-0199.930 | Túc Trưng có hiện trạng là đường nhựa, bê tông xi măng:
P=1546 | X=0097.730-0103.330 | Y=0202.350-0211.670 | 7
P=1546 | X=0413.900-0430.540 | Y=0202.350-0211.670 | 410
P=1546 | X=0461.690-0478.330 | Y=0202.350-0211.670 | 290
P=1546 | X=0505.390-0522.030 | Y=0202.350-0211.670 | 250
P=1546 | X=0111.170-0352.280 | Y=0206.230-0217.470 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=1546 | X=0111.170-0153.310 | Y=0219.630-0228.950 | >1.000m.
P=1546 | X=0111.170-0334.810 | Y=0235.270-0246.510 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1546 | X=0303.480-0382.510 | Y=0253.030-0264.270 | Hết trường PHTH
P=1546 | X=0221.590-0276.810 | Y=0254.910-0264.230 | Hết chợ Túc
P=1546 | X=0097.730-0159.730 | Y=0260.670-0269.990 | 8 Quốc lộ 20
P=1546 | X=0405.740-0430.790 | Y=0260.670-0269.990 | 3.800
P=1546 | X=0453.530-0478.580 | Y=0260.670-0269.990 | 2.700
P=1546 | X=0497.230-0522.280 | Y=0260.670-0269.990 | 2.300
P=1546 | X=0221.590-0249.030 | Y=0264.550-0275.790 | Trưng
P=1546 | X=0303.480-0341.960 | Y=0264.550-0275.790 | Điểu Cải
P=1546 | X=0111.170-0376.300 | Y=0282.340-0293.580 | Các tuyến đường giao thông đấu nối trực tiếp ra Quốc lộ 20
P=1546 | X=0111.170-0389.240 | Y=0293.860-0305.100 | đoạn từ Hết chợ Túc Trưng đến Hết trường PHTH Điểu Cải có
P=1546 | X=0111.170-0304.820 | Y=0305.380-0316.620 | hiện trạng là đường nhựa, bê tông xi măng:
P=1546 | X=0097.730-0103.330 | Y=0313.260-0322.580 | 9
P=1546 | X=0413.900-0430.540 | Y=0313.260-0322.580 | 930
P=1546 | X=0461.690-0478.330 | Y=0313.260-0322.580 | 650
P=1546 | X=0505.390-0522.030 | Y=0313.260-0322.580 | 560
P=1546 | X=0111.170-0342.250 | Y=0322.900-0334.140 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1546 | X=0111.170-0388.360 | Y=0340.420-0351.660 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=1546 | X=0111.170-0376.300 | Y=0357.940-0369.180 | Các tuyến đường giao thông đấu nối trực tiếp ra Quốc lộ 20
P=1546 | X=0111.170-0389.240 | Y=0369.480-0380.720 | đoạn từ Hết chợ Túc Trưng đến Hết trường PHTH Điểu Cải có
P=1546 | X=0111.170-0304.780 | Y=0381.000-0392.240 | hiện trạng là đường nhựa, bê tông xi măng:
P=1546 | X=0094.820-0342.720 | Y=0398.520-0412.840 | 10 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1546 | X=0413.900-0430.540 | Y=0403.520-0412.840 | 810
P=1546 | X=0461.690-0478.330 | Y=0403.520-0412.840 | 570
P=1546 | X=0505.390-0522.030 | Y=0403.520-0412.840 | 490
P=1546 | X=0111.170-0364.480 | Y=0416.040-0427.280 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=1546 | X=0111.170-0206.120 | Y=0427.560-0438.800 | >500m đến ≤1.000m.
P=1546 | X=0111.170-0334.340 | Y=0445.080-0456.320 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1546 | X=0111.170-0376.300 | Y=0462.860-0474.100 | Các tuyến đường giao thông đấu nối trực tiếp ra Quốc lộ 20
P=1546 | X=0111.170-0389.240 | Y=0474.380-0485.620 | đoạn từ Hết chợ Túc Trưng đến Hết trường PHTH Điểu Cải có
P=1546 | X=0111.170-0304.780 | Y=0485.900-0497.140 | hiện trạng là đường nhựa, bê tông xi măng:
P=1546 | X=0094.820-0105.940 | Y=0499.540-0508.860 | 11
P=1546 | X=0413.900-0430.540 | Y=0499.540-0508.860 | 580
P=1546 | X=0461.690-0478.330 | Y=0499.540-0508.860 | 410
P=1546 | X=0505.390-0522.030 | Y=0499.540-0508.860 | 350
P=1546 | X=0111.170-0352.280 | Y=0503.420-0514.660 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=1546 | X=0111.170-0153.310 | Y=0516.820-0526.140 | >1.000m.
P=1546 | X=0111.170-0334.810 | Y=0532.220-0543.460 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1546 | X=0111.170-0384.680 | Y=0550.010-0561.250 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=1546 | X=0111.170-0367.420 | Y=0561.530-0572.770 | ra Quốc lộ 20 đoạn từ Hết chợ Túc Trưng đến Hết trường
P=1546 | X=0111.170-0389.310 | Y=0573.050-0584.290 | PHTH Điểu Cải có hiện trạng là đường nhựa, bê tông xi măng:
P=1546 | X=0094.820-0105.940 | Y=0580.930-0590.250 | 12
P=1546 | X=0413.900-0430.540 | Y=0580.930-0590.250 | 840
P=1546 | X=0461.690-0478.330 | Y=0580.930-0590.250 | 590
P=1546 | X=0505.390-0522.030 | Y=0580.930-0590.250 | 500
P=1546 | X=0111.170-0342.250 | Y=0590.570-0601.810 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1546 | X=0111.170-0388.360 | Y=0608.090-0619.330 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=1546 | X=0111.170-0384.680 | Y=0625.870-0637.110 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=1546 | X=0111.170-0367.420 | Y=0637.390-0648.630 | ra Quốc lộ 20 đoạn từ Hết chợ Túc Trưng đến Hết trường
P=1546 | X=0111.170-0389.310 | Y=0648.910-0660.150 | PHTH Điểu Cải có hiện trạng là đường nhựa, bê tông xi măng:
P=1546 | X=0094.820-0105.940 | Y=0662.550-0671.870 | 13
P=1546 | X=0413.900-0430.540 | Y=0662.550-0671.870 | 730
P=1546 | X=0461.690-0478.330 | Y=0662.550-0671.870 | 510
P=1546 | X=0505.390-0522.030 | Y=0662.550-0671.870 | 440
P=1546 | X=0111.170-0342.750 | Y=0666.430-0677.670 | - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1546 | X=0111.170-0364.480 | Y=0683.950-0695.190 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=1546 | X=0111.170-0206.120 | Y=0695.470-0706.710 | >500m đến ≤1.000m.
P=1547 | X=0111.170-0334.340 | Y=0078.500-0089.740 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1547 | X=0111.170-0384.680 | Y=0096.260-0107.500 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=1547 | X=0111.170-0367.420 | Y=0107.780-0119.020 | ra Quốc lộ 20 đoạn từ Hết chợ Túc Trưng đến Hết trường
P=1547 | X=0111.170-0389.310 | Y=0119.330-0130.570 | PHTH Điểu Cải có hiện trạng là đường nhựa, bê tông xi măng:
P=1547 | X=0094.820-0105.940 | Y=0132.970-0142.290 | 14
P=1547 | X=0413.900-0430.540 | Y=0132.970-0142.290 | 520
P=1547 | X=0461.690-0478.330 | Y=0132.970-0142.290 | 360
P=1547 | X=0505.390-0522.030 | Y=0132.970-0142.290 | 310
P=1547 | X=0111.170-0352.280 | Y=0136.850-0148.090 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=1547 | X=0111.170-0153.310 | Y=0150.250-0159.570 | >1.000m.
P=1547 | X=0111.170-0334.810 | Y=0165.650-0176.890 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1547 | X=0221.590-0300.650 | Y=0183.410-0194.650 | Hết trường PHTH
P=1547 | X=0303.480-0378.680 | Y=0189.170-0200.410 | Ngã ba cây xăng
P=1547 | X=0094.820-0159.730 | Y=0191.050-0200.370 | 15 Quốc lộ 20
P=1547 | X=0405.740-0430.790 | Y=0191.050-0200.370 | 5.100
P=1547 | X=0453.530-0478.580 | Y=0191.050-0200.370 | 3.600
P=1547 | X=0497.230-0522.280 | Y=0191.050-0200.370 | 3.100
P=1547 | X=0221.590-0260.100 | Y=0194.930-0206.170 | Điểu Cải
P=1547 | X=0111.170-0376.300 | Y=0212.710-0223.950 | Các tuyến đường giao thông đấu nối trực tiếp ra Quốc lộ 20
P=1547 | X=0111.170-0379.140 | Y=0224.230-0235.470 | đoạn từ Hết trường PHTH Điểu Cải đến Ngã ba cây xăng có
P=1547 | X=0111.170-0304.780 | Y=0235.750-0246.990 | hiện trạng là đường nhựa, bê tông xi măng:
P=1547 | X=0094.820-0105.940 | Y=0243.630-0252.950 | 16
P=1547 | X=0405.740-0430.790 | Y=0243.630-0252.950 | 1.900
P=1547 | X=0453.530-0478.580 | Y=0243.630-0252.950 | 1.300
P=1547 | X=0497.230-0522.280 | Y=0243.630-0252.950 | 1.100
P=1547 | X=0111.170-0342.250 | Y=0253.270-0264.510 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1547 | X=0111.170-0388.380 | Y=0270.790-0282.030 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=1547 | X=0111.170-0376.300 | Y=0288.580-0299.820 | Các tuyến đường giao thông đấu nối trực tiếp ra Quốc lộ 20
P=1547 | X=0111.170-0379.140 | Y=0300.100-0311.340 | đoạn từ Hết trường PHTH Điểu Cải đến Ngã ba cây xăng có
P=1547 | X=0111.170-0304.780 | Y=0311.620-0322.860 | hiện trạng là đường nhựa, bê tông xi măng:
P=1547 | X=0094.820-0342.720 | Y=0329.140-0343.220 | 17 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1547 | X=0405.740-0430.790 | Y=0333.900-0343.220 | 1.200
P=1547 | X=0461.690-0478.330 | Y=0333.900-0343.220 | 840
P=1547 | X=0505.390-0522.030 | Y=0333.900-0343.220 | 720
P=1547 | X=0111.170-0364.480 | Y=0346.660-0357.900 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=1547 | X=0111.170-0206.120 | Y=0357.940-0369.180 | >500m đến ≤1.000m.
P=1547 | X=0111.170-0334.340 | Y=0375.480-0386.720 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1547 | X=0111.170-0376.300 | Y=0393.240-0404.480 | Các tuyến đường giao thông đấu nối trực tiếp ra Quốc lộ 20
P=1547 | X=0111.170-0379.140 | Y=0404.760-0416.000 | đoạn từ Hết trường PHTH Điểu Cải đến Ngã ba cây xăng có
P=1547 | X=0111.170-0304.780 | Y=0416.280-0427.520 | hiện trạng là đường nhựa, bê tông xi măng:
P=1547 | X=0094.820-0105.940 | Y=0429.920-0439.240 | 18
P=1547 | X=0413.900-0430.540 | Y=0429.920-0439.240 | 810
P=1547 | X=0461.690-0478.330 | Y=0429.920-0439.240 | 570
P=1547 | X=0505.390-0522.030 | Y=0429.920-0439.240 | 490
P=1547 | X=0111.170-0352.280 | Y=0433.800-0445.040 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=1547 | X=0111.170-0153.310 | Y=0447.200-0456.520 | >1.000m.
P=1547 | X=0111.170-0334.810 | Y=0462.860-0474.100 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1547 | X=0111.170-0384.680 | Y=0480.620-0491.860 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=1547 | X=0111.170-0385.650 | Y=0492.140-0503.380 | ra Quốc lộ 20 đoạn từ Hết trường PHTH Điểu Cải đến Ngã ba
P=1547 | X=0111.170-0360.730 | Y=0503.660-0514.900 | cây xăng có hiện trạng là đường nhựa, bê tông xi măng:
P=1547 | X=0094.820-0105.940 | Y=0511.540-0520.860 | 19
P=1547 | X=0405.740-0430.790 | Y=0511.540-0520.860 | 1.700
P=1547 | X=0453.530-0478.580 | Y=0511.540-0520.860 | 1.200
P=1547 | X=0497.230-0522.280 | Y=0511.540-0520.860 | 1.000
P=1547 | X=0111.170-0342.250 | Y=0521.180-0532.420 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1547 | X=0111.170-0388.360 | Y=0538.490-0549.730 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=1547 | X=0111.170-0384.680 | Y=0556.250-0567.490 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=1547 | X=0111.170-0385.650 | Y=0567.770-0579.010 | ra Quốc lộ 20 đoạn từ Hết trường PHTH Điểu Cải đến Ngã ba
P=1547 | X=0111.170-0360.730 | Y=0579.290-0590.530 | cây xăng có hiện trạng là đường nhựa, bê tông xi măng:
P=1547 | X=0094.820-0342.720 | Y=0596.810-0611.130 | 20 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1547 | X=0405.740-0430.790 | Y=0601.810-0611.130 | 1.100
P=1547 | X=0461.690-0478.330 | Y=0601.810-0611.130 | 770
P=1547 | X=0505.390-0522.030 | Y=0601.810-0611.130 | 660
P=1547 | X=0111.170-0364.480 | Y=0614.330-0625.570 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=1547 | X=0111.170-0206.120 | Y=0625.870-0637.110 | >500m đến ≤1.000m.
P=1547 | X=0111.170-0334.340 | Y=0643.390-0654.630 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1547 | X=0111.170-0384.680 | Y=0661.150-0672.390 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=1547 | X=0111.170-0385.650 | Y=0672.670-0683.910 | ra Quốc lộ 20 đoạn từ Hết trường PHTH Điểu Cải đến Ngã ba
P=1547 | X=0094.820-0360.730 | Y=0683.190-0695.430 | 21 cây xăng có hiện trạng là đường nhựa, bê tông xi măng:
P=1547 | X=0413.900-0430.540 | Y=0683.190-0692.510 | 730
P=1547 | X=0461.690-0478.330 | Y=0683.190-0692.510 | 510
P=1547 | X=0505.390-0522.030 | Y=0683.190-0692.510 | 440
P=1547 | X=0111.170-0352.280 | Y=0701.730-0712.970 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=1548 | X=0111.170-0153.310 | Y=0074.380-0083.700 | >1.000m.
P=1548 | X=0111.170-0334.810 | Y=0090.020-0101.260 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1548 | X=0221.590-0374.740 | Y=0107.780-0119.020 | Ngã ba cây xăng Bến xe Phú Túc
P=1548 | X=0094.820-0159.730 | Y=0109.660-0118.980 | 22 Quốc lộ 20
P=1548 | X=0405.740-0430.790 | Y=0109.660-0118.980 | 4.500
P=1548 | X=0453.530-0478.580 | Y=0109.660-0118.980 | 3.200
P=1548 | X=0497.230-0522.280 | Y=0109.660-0118.980 | 2.700
P=1548 | X=0111.170-0376.300 | Y=0125.570-0136.810 | Các tuyến đường giao thông đấu nối trực tiếp ra Quốc lộ 20
P=1548 | X=0111.170-0388.530 | Y=0137.090-0148.330 | đoạn từ Ngã ba cây xăng đến Bến xe Phú Túc có hiện trạng là
P=1548 | X=0111.170-0246.940 | Y=0148.610-0159.850 | đường nhựa, bê tông xi măng:
P=1548 | X=0094.820-0105.940 | Y=0156.490-0165.810 | 23
P=1548 | X=0405.740-0430.790 | Y=0156.490-0165.810 | 1.400
P=1548 | X=0461.690-0478.330 | Y=0156.490-0165.810 | 980
P=1548 | X=0505.390-0522.030 | Y=0156.490-0165.810 | 840
P=1548 | X=0111.170-0342.250 | Y=0166.130-0177.370 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1548 | X=0111.170-0388.360 | Y=0183.410-0194.650 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=1548 | X=0111.170-0376.300 | Y=0201.190-0212.430 | Các tuyến đường giao thông đấu nối trực tiếp ra Quốc lộ 20
P=1548 | X=0111.170-0388.530 | Y=0212.710-0223.950 | đoạn từ Ngã ba cây xăng đến Bến xe Phú Túc có hiện trạng là
P=1548 | X=0111.170-0246.940 | Y=0224.230-0235.470 | đường nhựa, bê tông xi măng:
P=1548 | X=0094.820-0342.720 | Y=0241.750-0256.070 | 24 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1548 | X=0405.740-0430.790 | Y=0246.750-0256.070 | 1.000
P=1548 | X=0461.690-0478.330 | Y=0246.750-0256.070 | 700
P=1548 | X=0505.390-0522.030 | Y=0246.750-0256.070 | 600
P=1548 | X=0111.170-0364.480 | Y=0259.270-0270.510 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=1548 | X=0111.170-0206.120 | Y=0270.790-0282.030 | >500m đến ≤1.000m.
P=1548 | X=0111.170-0334.340 | Y=0288.340-0299.580 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1548 | X=0111.170-0376.300 | Y=0306.100-0317.340 | Các tuyến đường giao thông đấu nối trực tiếp ra Quốc lộ 20
P=1548 | X=0111.170-0388.530 | Y=0317.620-0328.860 | đoạn từ Ngã ba cây xăng đến Bến xe Phú Túc có hiện trạng là
P=1548 | X=0111.170-0246.940 | Y=0329.140-0340.380 | đường nhựa, bê tông xi măng:
P=1548 | X=0094.820-0105.940 | Y=0342.780-0352.100 | 25
P=1548 | X=0413.900-0430.540 | Y=0342.780-0352.100 | 810
P=1548 | X=0461.690-0478.330 | Y=0342.780-0352.100 | 570
P=1548 | X=0505.390-0522.030 | Y=0342.780-0352.100 | 490
P=1548 | X=0111.170-0352.280 | Y=0346.660-0357.900 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=1548 | X=0111.170-0153.310 | Y=0359.820-0369.140 | >1.000m.
P=1548 | X=0111.170-0334.810 | Y=0375.480-0386.720 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1548 | X=0111.170-0384.680 | Y=0393.240-0404.480 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=1548 | X=0111.170-0380.030 | Y=0404.760-0416.000 | ra Quốc lộ 20 đoạn từ Ngã ba cây xăng đến Bến xe Phú Túc
P=1548 | X=0111.170-0318.020 | Y=0416.280-0427.520 | có hiện trạng là đường nhựa, bê tông xi măng:
P=1548 | X=0094.820-0105.940 | Y=0424.160-0433.480 | 26
P=1548 | X=0405.740-0430.790 | Y=0424.160-0433.480 | 1.300
P=1548 | X=0461.690-0478.330 | Y=0424.160-0433.480 | 910
P=1548 | X=0505.390-0522.030 | Y=0424.160-0433.480 | 780
P=1548 | X=0111.170-0342.250 | Y=0433.800-0445.040 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1548 | X=0111.170-0388.370 | Y=0451.340-0462.580 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=1548 | X=0111.170-0384.680 | Y=0469.100-0480.340 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=1548 | X=0111.170-0380.030 | Y=0480.620-0491.860 | ra Quốc lộ 20 đoạn từ Ngã ba cây xăng đến Bến xe Phú Túc
P=1548 | X=0111.170-0318.020 | Y=0492.140-0503.380 | có hiện trạng là đường nhựa, bê tông xi măng:
P=1548 | X=0094.820-0342.720 | Y=0509.660-0523.740 | 27 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1548 | X=0413.900-0430.540 | Y=0514.420-0523.740 | 900
P=1548 | X=0461.690-0478.330 | Y=0514.420-0523.740 | 630
P=1548 | X=0505.390-0522.030 | Y=0514.420-0523.740 | 540
P=1548 | X=0111.170-0364.480 | Y=0527.180-0538.420 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=1548 | X=0111.170-0206.120 | Y=0538.490-0549.730 | >500m đến ≤1.000m.
P=1548 | X=0111.170-0334.340 | Y=0556.010-0567.250 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1548 | X=0111.170-0384.680 | Y=0573.770-0585.010 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=1548 | X=0111.170-0380.030 | Y=0585.290-0596.530 | ra Quốc lộ 20 đoạn từ Ngã ba cây xăng đến Bến xe Phú Túc
P=1548 | X=0111.170-0318.020 | Y=0596.810-0608.050 | có hiện trạng là đường nhựa, bê tông xi măng:
P=1548 | X=0094.820-0105.940 | Y=0610.450-0619.770 | 28
P=1548 | X=0413.900-0430.540 | Y=0610.450-0619.770 | 730
