TABLE=008 | AREA=Phường Tân Triều | SECTION=non-agricultural | SEGMENTS=1
P=0265 | X=0383.420-0413.990 | Y=0382.400-0391.720 | 17.600
P=0265 | X=0433.850-0464.420 | Y=0382.400-0391.720 | 12.300
P=0265 | X=0491.710-0522.280 | Y=0382.400-0391.720 | 10.600
P=0265 | X=0122.210-0345.160 | Y=0392.040-0403.280 | - Có bề rộng ≥5m, cách đường giao thông ≤600m.
P=0265 | X=0122.210-0363.320 | Y=0409.560-0420.800 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=0265 | X=0122.210-0155.730 | Y=0421.080-0432.320 | ≤400m.
P=0265 | X=0122.210-0336.440 | Y=0438.840-0450.080 | Các tuyến đường giao thông đấu nối trực tiếp ra
P=0265 | X=0122.210-0352.050 | Y=0450.380-0461.620 | Đường Nguyễn Ái Quốc đoạn từ Giáp ranh phường
P=0265 | X=0122.210-0341.240 | Y=0461.900-0473.140 | Trấn Biên đến Đường Đồng Khởi có hiện trạng là
P=0265 | X=0122.210-0257.980 | Y=0473.420-0484.660 | đường nhựa, bê tông xi măng:
P=0265 | X=0103.250-0108.850 | Y=0489.940-0499.260 | 3
P=0265 | X=0383.420-0413.990 | Y=0489.940-0499.260 | 11.500
P=0265 | X=0439.370-0464.420 | Y=0489.940-0499.260 | 8.100
P=0265 | X=0497.230-0522.280 | Y=0489.940-0499.260 | 6.900
P=0265 | X=0122.210-0345.380 | Y=0490.940-0502.180 | - Có bề rộng ≥5m, cách đường giao thông >600m.
P=0265 | X=0122.210-0363.320 | Y=0508.220-0519.460 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=0265 | X=0122.210-0221.020 | Y=0519.740-0530.980 | từ >400m đến ≤600m.
P=0265 | X=0122.210-0345.380 | Y=0537.290-0548.530 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0265 | X=0122.210-0336.440 | Y=0555.050-0566.290 | Các tuyến đường giao thông đấu nối trực tiếp ra
P=0265 | X=0122.210-0352.050 | Y=0566.570-0577.810 | Đường Nguyễn Ái Quốc đoạn từ Giáp ranh phường
P=0265 | X=0122.210-0341.240 | Y=0578.090-0589.330 | Trấn Biên đến Đường Đồng Khởi có hiện trạng là
P=0265 | X=0122.210-0257.980 | Y=0589.610-0600.850 | đường nhựa, bê tông xi măng:
P=0265 | X=0103.250-0108.850 | Y=0597.490-0606.810 | 4
P=0265 | X=0388.940-0413.990 | Y=0597.490-0606.810 | 7.400
P=0265 | X=0439.370-0464.420 | Y=0597.490-0606.810 | 5.200
P=0265 | X=0497.230-0522.280 | Y=0597.490-0606.810 | 4.400
P=0265 | X=0122.210-0363.320 | Y=0607.130-0618.370 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=0265 | X=0122.210-0155.970 | Y=0620.550-0629.870 | >600m.
P=0265 | X=0122.210-0345.850 | Y=0636.190-0647.430 | - Có bề rộng <3m, cách đường giao thông >200m.
P=0265 | X=0122.210-0368.120 | Y=0653.950-0665.190 | Các tuyến đường giao thông không đấu nối trực tiếp và
P=0265 | X=0122.210-0352.990 | Y=0665.470-0676.710 | thông ra Đường Nguyễn Ái Quốc đoạn từ Giáp ranh
P=0265 | X=0122.210-0368.870 | Y=0676.750-0687.990 | phường Trấn Biên đến Đường Đồng Khởi có hiện trạng
P=0265 | X=0103.250-0108.850 | Y=0681.750-0691.070 | 5
P=0265 | X=0383.420-0413.990 | Y=0681.750-0691.070 | 15.800
P=0265 | X=0433.850-0464.420 | Y=0681.750-0691.070 | 11.100
P=0265 | X=0497.230-0522.280 | Y=0681.750-0691.070 | 9.500
P=0265 | X=0122.210-0268.540 | Y=0688.270-0699.510 | là đường nhựa, bê tông xi măng:
P=0265 | X=0122.210-0345.120 | Y=0705.810-0717.050 | - Có bề rộng ≥5m, cách đường giao thông ≤600m.
P=0266 | X=0122.210-0363.320 | Y=0078.500-0089.740 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=0266 | X=0122.210-0155.730 | Y=0090.020-0101.260 | ≤400m.
P=0266 | X=0122.210-0368.120 | Y=0107.780-0119.020 | Các tuyến đường giao thông không đấu nối trực tiếp và
P=0266 | X=0122.210-0352.990 | Y=0119.330-0130.570 | thông ra Đường Nguyễn Ái Quốc đoạn từ Giáp ranh
P=0266 | X=0122.210-0368.870 | Y=0130.850-0142.090 | phường Trấn Biên đến Đường Đồng Khởi có hiện trạng
P=0266 | X=0122.210-0268.540 | Y=0142.370-0153.610 | là đường nhựa, bê tông xi măng:
P=0266 | X=0103.250-0108.850 | Y=0158.890-0168.210 | 6
P=0266 | X=0383.420-0413.990 | Y=0158.890-0168.210 | 10.400
P=0266 | X=0439.370-0464.420 | Y=0158.890-0168.210 | 7.300
P=0266 | X=0497.230-0522.280 | Y=0158.890-0168.210 | 6.200
P=0266 | X=0122.210-0345.400 | Y=0159.650-0170.890 | - Có bề rộng ≥5m, cách đường giao thông >600m.
P=0266 | X=0122.210-0363.320 | Y=0177.170-0188.410 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=0266 | X=0122.210-0221.020 | Y=0188.690-0199.930 | từ >400m đến ≤600m.
P=0266 | X=0122.210-0345.380 | Y=0206.230-0217.470 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0266 | X=0122.210-0368.120 | Y=0223.990-0235.230 | Các tuyến đường giao thông không đấu nối trực tiếp và
P=0266 | X=0122.210-0352.990 | Y=0235.510-0246.750 | thông ra Đường Nguyễn Ái Quốc đoạn từ Giáp ranh
P=0266 | X=0122.210-0368.870 | Y=0247.030-0258.270 | phường Trấn Biên đến Đường Đồng Khởi có hiện trạng
P=0266 | X=0122.210-0268.540 | Y=0258.550-0269.790 | là đường nhựa, bê tông xi măng:
P=0266 | X=0103.250-0108.850 | Y=0266.430-0275.750 | 7
P=0266 | X=0388.940-0413.990 | Y=0266.430-0275.750 | 6.700
P=0266 | X=0439.370-0464.420 | Y=0266.430-0275.750 | 4.700
P=0266 | X=0497.230-0522.280 | Y=0266.430-0275.750 | 4.000
P=0266 | X=0122.210-0363.320 | Y=0276.070-0287.310 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=0266 | X=0122.210-0155.970 | Y=0289.500-0298.820 | >600m.
P=0266 | X=0122.210-0348.500 | Y=0305.140-0316.380 | - Có bề rộng <3m, cách đường giao thông > 200m.
P=0266 | X=0122.210-0180.630 | Y=0322.900-0334.140 | Đường Đồng
P=0266 | X=0196.630-0277.140 | Y=0322.900-0334.140 | Đường Nguyễn Ái
P=0266 | X=0288.340-0357.340 | Y=0328.660-0339.900 | Cầu Đồng Khởi
P=0266 | X=0103.250-0108.850 | Y=0330.540-0339.860 | 8
P=0266 | X=0383.420-0413.990 | Y=0330.540-0339.860 | 39.300
P=0266 | X=0433.850-0464.420 | Y=0330.540-0339.860 | 27.500
P=0266 | X=0491.710-0522.280 | Y=0330.540-0339.860 | 23.600
P=0266 | X=0122.210-0143.410 | Y=0336.300-0345.620 | Khởi
P=0266 | X=0196.630-0220.630 | Y=0336.300-0345.620 | Quốc
P=0266 | X=0122.210-0336.440 | Y=0351.940-0363.180 | Các tuyến đường giao thông đấu nối trực tiếp ra
P=0266 | X=0122.210-0351.720 | Y=0363.460-0374.700 | Đường Đồng Khởi đoạn từ Đường Nguyễn Ái Quốc
P=0266 | X=0122.210-0357.560 | Y=0375.000-0386.240 | đến Cầu Đồng Khởi có hiện trạng là đường nhựa, bê
P=0266 | X=0122.210-0182.370 | Y=0386.520-0397.760 | tông xi măng:
P=0266 | X=0103.250-0108.850 | Y=0394.400-0403.720 | 9
P=0266 | X=0383.420-0413.990 | Y=0394.400-0403.720 | 16.500
P=0266 | X=0433.850-0464.420 | Y=0394.400-0403.720 | 11.600
P=0266 | X=0497.230-0522.280 | Y=0394.400-0403.720 | 9.900
P=0266 | X=0122.210-0345.120 | Y=0404.040-0415.280 | - Có bề rộng ≥5m, cách đường giao thông ≤600m.
P=0266 | X=0122.210-0363.320 | Y=0421.560-0432.800 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=0266 | X=0122.210-0155.730 | Y=0433.080-0444.320 | ≤400m.
P=0266 | X=0122.210-0336.440 | Y=0450.860-0462.100 | Các tuyến đường giao thông đấu nối trực tiếp ra
P=0266 | X=0122.210-0351.720 | Y=0462.380-0473.620 | Đường Đồng Khởi đoạn từ Đường Nguyễn Ái Quốc
P=0266 | X=0122.210-0357.560 | Y=0473.900-0485.140 | đến Cầu Đồng Khởi có hiện trạng là đường nhựa, bê
P=0266 | X=0122.210-0182.370 | Y=0485.420-0496.660 | tông xi măng:
P=0266 | X=0100.610-0111.730 | Y=0501.940-0511.260 | 10
P=0266 | X=0383.420-0413.990 | Y=0501.940-0511.260 | 11.400
P=0266 | X=0439.370-0464.420 | Y=0501.940-0511.260 | 8.000
P=0266 | X=0497.230-0522.280 | Y=0501.940-0511.260 | 6.800
P=0266 | X=0122.210-0345.380 | Y=0502.940-0514.180 | - Có bề rộng ≥5m, cách đường giao thông >600m.
P=0266 | X=0122.210-0363.320 | Y=0520.220-0531.460 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=0266 | X=0122.210-0221.020 | Y=0531.740-0542.980 | từ >400m đến ≤600m.
P=0266 | X=0122.210-0345.380 | Y=0549.290-0560.530 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0266 | X=0122.210-0336.440 | Y=0567.050-0578.290 | Các tuyến đường giao thông đấu nối trực tiếp ra
P=0266 | X=0122.210-0351.720 | Y=0578.570-0589.810 | Đường Đồng Khởi đoạn từ Đường Nguyễn Ái Quốc
P=0266 | X=0122.210-0357.560 | Y=0590.090-0601.330 | đến Cầu Đồng Khởi có hiện trạng là đường nhựa, bê
P=0266 | X=0122.210-0182.370 | Y=0601.610-0612.850 | tông xi măng:
P=0266 | X=0100.610-0111.730 | Y=0609.490-0618.810 | 11
P=0266 | X=0388.940-0413.990 | Y=0609.490-0618.810 | 7.000
P=0266 | X=0439.370-0464.420 | Y=0609.490-0618.810 | 4.900
P=0266 | X=0497.230-0522.280 | Y=0609.490-0618.810 | 4.200
P=0266 | X=0122.210-0363.320 | Y=0619.150-0630.390 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=0266 | X=0122.210-0155.970 | Y=0632.550-0641.870 | >600m.
P=0266 | X=0122.210-0345.850 | Y=0648.190-0659.430 | - Có bề rộng <3m, cách đường giao thông >200m.
P=0266 | X=0122.210-0368.120 | Y=0665.950-0677.190 | Các tuyến đường giao thông không đấu nối trực tiếp và
P=0266 | X=0122.210-0364.520 | Y=0677.470-0688.710 | thông ra Đường Đồng Khởi đoạn từ Đường Nguyễn Ái
P=0266 | X=0100.610-0111.730 | Y=0685.110-0694.430 | 12
P=0266 | X=0383.420-0413.990 | Y=0685.110-0694.430 | 14.900
P=0266 | X=0433.850-0464.420 | Y=0685.110-0694.430 | 10.400
P=0266 | X=0497.230-0522.280 | Y=0685.110-0694.430 | 8.900
P=0266 | X=0122.210-0341.240 | Y=0688.750-0699.990 | Quốc đến Cầu Đồng Khởi có hiện trạng là đường
P=0266 | X=0122.210-0225.320 | Y=0700.290-0711.530 | nhựa, bê tông xi măng:
P=0267 | X=0122.210-0345.120 | Y=0078.500-0089.740 | - Có bề rộng ≥5m, cách đường giao thông ≤600m.
P=0267 | X=0122.210-0363.320 | Y=0096.020-0107.260 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=0267 | X=0122.210-0155.730 | Y=0107.540-0118.780 | ≤400m.
P=0267 | X=0122.210-0368.120 | Y=0125.330-0136.570 | Các tuyến đường giao thông không đấu nối trực tiếp và
P=0267 | X=0122.210-0364.520 | Y=0136.850-0148.090 | thông ra Đường Đồng Khởi đoạn từ Đường Nguyễn Ái
P=0267 | X=0122.210-0341.240 | Y=0148.370-0159.610 | Quốc đến Cầu Đồng Khởi có hiện trạng là đường
P=0267 | X=0122.210-0225.320 | Y=0159.650-0170.890 | nhựa, bê tông xi măng:
P=0267 | X=0100.610-0111.730 | Y=0176.410-0185.730 | 13
P=0267 | X=0383.420-0413.990 | Y=0176.410-0185.730 | 10.300
P=0267 | X=0439.370-0464.420 | Y=0176.410-0185.730 | 7.200
P=0267 | X=0497.230-0522.280 | Y=0176.410-0185.730 | 6.200
P=0267 | X=0122.210-0345.380 | Y=0177.170-0188.410 | - Có bề rộng ≥5m, cách đường giao thông >600m.
P=0267 | X=0122.210-0363.320 | Y=0194.690-0205.930 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=0267 | X=0122.210-0221.020 | Y=0206.230-0217.470 | từ >400m đến ≤600m.
P=0267 | X=0122.210-0345.380 | Y=0223.750-0234.990 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0267 | X=0122.210-0368.120 | Y=0241.510-0252.750 | Các tuyến đường giao thông không đấu nối trực tiếp và
P=0267 | X=0122.210-0364.520 | Y=0253.030-0264.270 | thông ra Đường Đồng Khởi đoạn từ Đường Nguyễn Ái
P=0267 | X=0122.210-0341.240 | Y=0264.550-0275.790 | Quốc đến Cầu Đồng Khởi có hiện trạng là đường
P=0267 | X=0122.210-0225.320 | Y=0276.070-0287.310 | nhựa, bê tông xi măng:
P=0267 | X=0100.610-0111.730 | Y=0283.980-0293.300 | 14
P=0267 | X=0388.940-0413.990 | Y=0283.980-0293.300 | 6.300
P=0267 | X=0439.370-0464.420 | Y=0283.980-0293.300 | 4.400
P=0267 | X=0497.230-0522.280 | Y=0283.980-0293.300 | 3.800
P=0267 | X=0122.210-0363.320 | Y=0293.620-0304.860 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=0267 | X=0122.210-0155.970 | Y=0307.020-0316.340 | >600m.
P=0267 | X=0122.210-0348.500 | Y=0322.660-0333.900 | - Có bề rộng <3m, cách đường giao thông > 200m.
P=0267 | X=0122.210-0180.630 | Y=0340.420-0351.660 | Đường Đồng
P=0267 | X=0288.340-0357.320 | Y=0340.420-0351.660 | Đường Nguyễn
P=0267 | X=0196.630-0265.620 | Y=0345.940-0357.180 | Cầu Đồng Khởi
P=0267 | X=0100.610-0111.730 | Y=0347.820-0357.140 | 15
P=0267 | X=0383.420-0413.990 | Y=0347.820-0357.140 | 29.300
P=0267 | X=0433.850-0464.420 | Y=0347.820-0357.140 | 20.500
P=0267 | X=0491.710-0522.280 | Y=0347.820-0357.140 | 17.600
P=0267 | X=0288.340-0328.480 | Y=0351.700-0362.940 | Văn Tiên
P=0267 | X=0122.210-0143.410 | Y=0353.580-0362.900 | Khởi
P=0267 | X=0122.210-0336.440 | Y=0369.480-0380.720 | Các tuyến đường giao thông đấu nối trực tiếp ra
P=0267 | X=0122.210-0367.190 | Y=0381.000-0392.240 | Đường Đồng Khởi đoạn từ Cầu Đồng Khởi đến Đường
P=0267 | X=0122.210-0368.600 | Y=0392.520-0403.760 | Nguyễn Văn Tiên có hiện trạng là đường nhựa, bê tông
P=0267 | X=0122.210-0160.040 | Y=0404.040-0415.280 | xi măng:
P=0267 | X=0100.610-0111.730 | Y=0411.920-0421.240 | 16
P=0267 | X=0383.420-0413.990 | Y=0411.920-0421.240 | 11.300
P=0267 | X=0439.370-0464.420 | Y=0411.920-0421.240 | 7.900
P=0267 | X=0497.230-0522.280 | Y=0411.920-0421.240 | 6.800
P=0267 | X=0122.210-0345.120 | Y=0421.560-0432.800 | - Có bề rộng ≥5m, cách đường giao thông ≤600m.
P=0267 | X=0122.210-0363.320 | Y=0439.080-0450.320 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=0267 | X=0122.210-0155.730 | Y=0450.620-0461.860 | ≤400m.
P=0267 | X=0122.210-0336.440 | Y=0468.380-0479.620 | Các tuyến đường giao thông đấu nối trực tiếp ra
P=0267 | X=0122.210-0367.190 | Y=0479.900-0491.140 | Đường Đồng Khởi đoạn từ Cầu Đồng Khởi đến Đường
P=0267 | X=0122.210-0368.600 | Y=0491.420-0502.660 | Nguyễn Văn Tiên có hiện trạng là đường nhựa, bê tông
P=0267 | X=0122.210-0160.040 | Y=0502.940-0514.180 | xi măng:
P=0267 | X=0100.610-0111.730 | Y=0519.460-0528.780 | 17
P=0267 | X=0388.940-0413.990 | Y=0519.460-0528.780 | 6.700
P=0267 | X=0439.370-0464.420 | Y=0519.460-0528.780 | 4.700
P=0267 | X=0497.230-0522.280 | Y=0519.460-0528.780 | 4.000
P=0267 | X=0122.210-0345.380 | Y=0520.220-0531.460 | - Có bề rộng ≥5m, cách đường giao thông >600m.
P=0267 | X=0122.210-0363.320 | Y=0537.770-0549.010 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=0267 | X=0122.210-0221.020 | Y=0549.290-0560.530 | từ >400m đến ≤600m.
P=0267 | X=0122.210-0345.380 | Y=0566.810-0578.050 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0267 | X=0122.210-0336.440 | Y=0584.570-0595.810 | Các tuyến đường giao thông đấu nối trực tiếp ra
P=0267 | X=0122.210-0367.190 | Y=0596.090-0607.330 | Đường Đồng Khởi đoạn từ Cầu Đồng Khởi đến Đường
P=0267 | X=0122.210-0368.600 | Y=0607.610-0618.850 | Nguyễn Văn Tiên có hiện trạng là đường nhựa, bê tông
P=0267 | X=0122.210-0160.040 | Y=0619.150-0630.390 | xi măng:
P=0267 | X=0100.610-0111.730 | Y=0627.030-0636.350 | 18
P=0267 | X=0388.940-0413.990 | Y=0627.030-0636.350 | 4.400
P=0267 | X=0439.370-0464.420 | Y=0627.030-0636.350 | 3.100
P=0267 | X=0497.230-0522.280 | Y=0627.030-0636.350 | 2.600
P=0267 | X=0122.210-0363.320 | Y=0636.670-0647.910 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=0267 | X=0122.210-0155.970 | Y=0650.070-0659.390 | >600m.
P=0267 | X=0122.210-0345.850 | Y=0665.710-0676.950 | - Có bề rộng <3m, cách đường giao thông >200m.
P=0267 | X=0122.210-0368.120 | Y=0683.470-0694.710 | Các tuyến đường giao thông không đấu nối trực tiếp và
P=0267 | X=0122.210-0352.760 | Y=0694.750-0705.990 | thông ra Đường Đồng Khởi đoạn từ Cầu Đồng Khởi
P=0267 | X=0100.610-0111.730 | Y=0696.630-0705.950 | 19
P=0267 | X=0383.420-0413.990 | Y=0696.630-0705.950 | 10.200
P=0267 | X=0439.370-0464.420 | Y=0696.630-0705.950 | 7.100
P=0267 | X=0497.230-0522.280 | Y=0696.630-0705.950 | 6.100
P=0267 | X=0122.210-0357.560 | Y=0706.290-0717.530 | đến Đường Nguyễn Văn Tiên có hiện trạng là đường
P=0268 | X=0122.210-0225.320 | Y=0072.500-0083.740 | nhựa, bê tông xi măng:
P=0268 | X=0122.210-0345.120 | Y=0090.020-0101.260 | - Có bề rộng ≥5m, cách đường giao thông ≤600m.
P=0268 | X=0122.210-0363.320 | Y=0107.540-0118.780 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=0268 | X=0122.210-0155.730 | Y=0119.090-0130.330 | ≤400m.
P=0268 | X=0122.210-0368.120 | Y=0136.850-0148.090 | Các tuyến đường giao thông không đấu nối trực tiếp và
P=0268 | X=0122.210-0352.760 | Y=0148.370-0159.610 | thông ra Đường Đồng Khởi đoạn từ Cầu Đồng Khởi
P=0268 | X=0122.210-0357.570 | Y=0159.650-0170.890 | đến Đường Nguyễn Văn Tiên có hiện trạng là đường
P=0268 | X=0122.210-0225.320 | Y=0171.170-0182.410 | nhựa, bê tông xi măng:
P=0268 | X=0100.610-0111.730 | Y=0187.930-0197.250 | 20
P=0268 | X=0388.940-0413.990 | Y=0187.930-0197.250 | 6.000
P=0268 | X=0439.370-0464.420 | Y=0187.930-0197.250 | 4.200
P=0268 | X=0497.230-0522.280 | Y=0187.930-0197.250 | 3.600
P=0268 | X=0122.210-0345.380 | Y=0188.690-0199.930 | - Có bề rộng ≥5m, cách đường giao thông >600m.
P=0268 | X=0122.210-0363.320 | Y=0206.230-0217.470 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=0268 | X=0122.210-0221.020 | Y=0217.750-0228.990 | từ >400m đến ≤600m.
P=0268 | X=0122.210-0345.380 | Y=0235.270-0246.510 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0268 | X=0122.210-0368.120 | Y=0253.030-0264.270 | Các tuyến đường giao thông không đấu nối trực tiếp và
P=0268 | X=0122.210-0352.760 | Y=0264.550-0275.790 | thông ra Đường Đồng Khởi đoạn từ Cầu Đồng Khởi
P=0268 | X=0122.210-0357.560 | Y=0276.070-0287.310 | đến Đường Nguyễn Văn Tiên có hiện trạng là đường
P=0268 | X=0122.210-0225.320 | Y=0287.620-0298.860 | nhựa, bê tông xi măng:
P=0268 | X=0100.610-0111.730 | Y=0295.500-0304.820 | 21
P=0268 | X=0388.940-0413.990 | Y=0295.500-0304.820 | 4.000
P=0268 | X=0439.370-0464.420 | Y=0295.500-0304.820 | 2.800
P=0268 | X=0497.230-0522.270 | Y=0295.500-0304.820 | 2.400
P=0268 | X=0122.210-0363.320 | Y=0305.140-0316.380 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=0268 | X=0122.210-0155.970 | Y=0318.540-0327.860 | >600m.
P=0268 | X=0122.210-0348.500 | Y=0333.940-0345.180 | - Có bề rộng <3m, cách đường giao thông > 200m.
P=0268 | X=0122.210-0180.630 | Y=0351.700-0362.940 | Đường Đồng
P=0268 | X=0196.630-0363.570 | Y=0351.700-0362.940 | Đường Nguyễn Văn Đường vào công
P=0268 | X=0100.610-0111.730 | Y=0359.340-0368.660 | 22
P=0268 | X=0383.420-0413.990 | Y=0359.340-0368.660 | 23.700
P=0268 | X=0433.850-0464.420 | Y=0359.340-0368.660 | 16.600
P=0268 | X=0491.710-0522.280 | Y=0359.340-0368.660 | 14.200
P=0268 | X=0122.210-0143.410 | Y=0365.100-0374.420 | Khởi
P=0268 | X=0196.630-0216.380 | Y=0365.100-0374.420 | Tiên
P=0268 | X=0288.340-0342.440 | Y=0365.100-0374.420 | ty Trấn Biên
P=0268 | X=0122.210-0336.440 | Y=0381.000-0392.240 | Các tuyến đường giao thông đấu nối trực tiếp ra
P=0268 | X=0122.210-0356.350 | Y=0392.520-0403.760 | Đường Đồng Khởi đoạn từ Đường Nguyễn Văn Tiên
P=0268 | X=0122.210-0344.830 | Y=0404.040-0415.280 | đến Đường vào công ty Trấn Biên có hiện trạng là
P=0268 | X=0122.210-0257.990 | Y=0415.560-0426.800 | đường nhựa, bê tông xi măng:
P=0268 | X=0100.610-0111.730 | Y=0423.440-0432.760 | 23
P=0268 | X=0383.420-0413.990 | Y=0423.440-0432.760 | 11.300
P=0268 | X=0439.370-0464.420 | Y=0423.440-0432.760 | 7.900
P=0268 | X=0497.230-0522.280 | Y=0423.440-0432.760 | 6.800
P=0268 | X=0122.210-0345.120 | Y=0433.080-0444.320 | - Có bề rộng ≥5m, cách đường giao thông ≤600m.
P=0268 | X=0122.210-0363.320 | Y=0450.620-0461.860 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=0268 | X=0122.210-0155.730 | Y=0462.140-0473.380 | ≤400m.
P=0268 | X=0122.210-0336.440 | Y=0479.900-0491.140 | Các tuyến đường giao thông đấu nối trực tiếp ra
P=0268 | X=0122.210-0356.350 | Y=0491.420-0502.660 | Đường Đồng Khởi đoạn từ Đường Nguyễn Văn Tiên
P=0268 | X=0122.210-0344.830 | Y=0502.940-0514.180 | đến Đường vào công ty Trấn Biên có hiện trạng là
P=0268 | X=0122.210-0257.980 | Y=0514.220-0525.460 | đường nhựa, bê tông xi măng:
P=0268 | X=0100.610-0111.730 | Y=0530.980-0540.300 | 24
P=0268 | X=0388.940-0413.990 | Y=0530.980-0540.300 | 5.900
P=0268 | X=0439.370-0464.420 | Y=0530.980-0540.300 | 4.100
P=0268 | X=0497.230-0522.280 | Y=0530.980-0540.300 | 3.500
P=0268 | X=0122.210-0345.380 | Y=0531.740-0542.980 | - Có bề rộng ≥5m, cách đường giao thông >600m.
P=0268 | X=0122.210-0363.320 | Y=0549.290-0560.530 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=0268 | X=0122.210-0221.020 | Y=0560.810-0572.050 | từ >400m đến ≤600m.
P=0268 | X=0122.210-0345.380 | Y=0578.330-0589.570 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0268 | X=0122.210-0336.440 | Y=0596.090-0607.330 | Các tuyến đường giao thông đấu nối trực tiếp ra
P=0268 | X=0122.210-0356.350 | Y=0607.610-0618.850 | Đường Đồng Khởi đoạn từ Đường Nguyễn Văn Tiên
P=0268 | X=0122.210-0344.830 | Y=0619.150-0630.390 | đến Đường vào công ty Trấn Biên có hiện trạng là
P=0268 | X=0122.210-0257.980 | Y=0630.670-0641.910 | đường nhựa, bê tông xi măng:
P=0268 | X=0100.610-0111.730 | Y=0638.550-0647.870 | 25
P=0268 | X=0388.940-0413.990 | Y=0638.550-0647.870 | 3.700
