TABLE=021 | AREA=Phường Xuân Lập | SECTION=non-agricultural | SEGMENTS=1
P=0725 | X=0115.970-0339.140 | Y=0136.850-0148.090 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0725 | X=0115.970-0364.290 | Y=0154.850-0166.090 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường
P=0725 | X=0115.970-0373.880 | Y=0166.370-0177.610 | Lương Đình Của đoạn từ Đường Hồng Thập Tự đến Giáp
P=0725 | X=0115.970-0377.980 | Y=0177.650-0188.890 | ranh phường Long Khánh có hiện trạng là đường nhựa, bê
P=0725 | X=0115.970-0176.130 | Y=0189.170-0200.410 | tông xi măng:
P=0725 | X=0099.890-0105.490 | Y=0191.290-0200.610 | 4
P=0725 | X=0402.860-0427.910 | Y=0191.290-0200.610 | 1.000
P=0725 | X=0448.490-0465.130 | Y=0191.290-0200.610 | 700
P=0725 | X=0505.390-0522.030 | Y=0191.290-0200.610 | 600
P=0725 | X=0115.970-0393.400 | Y=0206.710-0217.950 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >600m.
P=0725 | X=0115.970-0339.610 | Y=0224.230-0235.470 | - Có bề rộng <3m, cách đường giao thông >200m.
P=0725 | X=0115.970-0389.480 | Y=0242.230-0253.470 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=0725 | X=0115.970-0395.980 | Y=0253.750-0264.990 | ra Đường Lương Đình Của đoạn từ Đường Hồng Thập Tự đến
P=0725 | X=0115.970-0387.670 | Y=0265.270-0276.510 | Giáp ranh phường Long Khánh có hiện trạng là đường nhựa,
P=0725 | X=0115.970-0190.050 | Y=0276.790-0288.030 | bê tông xi măng:
P=0725 | X=0099.890-0105.490 | Y=0278.910-0288.230 | 5
P=0725 | X=0402.860-0427.910 | Y=0278.910-0288.230 | 2.000
P=0725 | X=0440.330-0465.380 | Y=0278.910-0288.230 | 1.400
P=0725 | X=0497.230-0522.280 | Y=0278.910-0288.230 | 1.200
P=0725 | X=0115.970-0338.880 | Y=0294.340-0305.580 | - Có bề rộng ≥5m, cách đường giao thông ≤600m.
P=0725 | X=0115.970-0393.160 | Y=0311.860-0323.100 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤400m.
P=0725 | X=0115.970-0389.480 | Y=0329.860-0341.100 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=0725 | X=0115.970-0395.980 | Y=0341.380-0352.620 | ra Đường Lương Đình Của đoạn từ Đường Hồng Thập Tự đến
P=0725 | X=0115.970-0387.670 | Y=0352.900-0364.140 | Giáp ranh phường Long Khánh có hiện trạng là đường nhựa,
P=0725 | X=0115.970-0190.050 | Y=0364.180-0375.420 | bê tông xi măng:
P=0725 | X=0099.890-0105.490 | Y=0380.960-0390.280 | 6
P=0725 | X=0402.860-0427.910 | Y=0380.960-0390.280 | 1.500
P=0725 | X=0440.330-0465.380 | Y=0380.960-0390.280 | 1.100
P=0725 | X=0505.390-0522.030 | Y=0380.960-0390.280 | 900
P=0725 | X=0115.970-0339.140 | Y=0381.720-0392.960 | - Có bề rộng ≥5m, cách đường giao thông >600m.
P=0725 | X=0115.970-0369.280 | Y=0399.240-0410.480 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=0725 | X=0115.970-0202.540 | Y=0410.760-0422.000 | >400m đến ≤600m.
P=0725 | X=0115.970-0339.140 | Y=0428.280-0439.520 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0725 | X=0115.970-0389.480 | Y=0446.280-0457.520 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=0725 | X=0115.970-0395.980 | Y=0457.820-0469.060 | ra Đường Lương Đình Của đoạn từ Đường Hồng Thập Tự đến
P=0725 | X=0115.970-0387.670 | Y=0469.340-0480.580 | Giáp ranh phường Long Khánh có hiện trạng là đường nhựa,
P=0725 | X=0115.970-0190.050 | Y=0480.860-0492.100 | bê tông xi măng:
P=0725 | X=0099.890-0105.490 | Y=0482.980-0492.300 | 7
P=0725 | X=0411.020-0427.660 | Y=0482.980-0492.300 | 900
P=0725 | X=0448.490-0465.130 | Y=0482.980-0492.300 | 630
P=0725 | X=0505.390-0522.030 | Y=0482.980-0492.300 | 540
P=0725 | X=0115.970-0393.400 | Y=0498.380-0509.620 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >600m.
P=0725 | X=0115.970-0342.290 | Y=0515.900-0527.140 | - Có bề rộng <3m, cách đường giao thông > 200m.
P=0725 | X=0223.990-0376.300 | Y=0533.930-0545.170 | Đường Xuân Bình Đường Nguyễn
P=0725 | X=0115.970-0203.430 | Y=0539.690-0550.930 | Đường Võ Văn Tần
P=0725 | X=0099.890-0105.490 | Y=0541.570-0550.890 | 8
P=0725 | X=0402.860-0427.910 | Y=0541.570-0550.890 | 1.700
P=0725 | X=0440.330-0465.380 | Y=0541.570-0550.890 | 1.200
P=0725 | X=0497.230-0522.280 | Y=0541.570-0550.890 | 1.000
P=0725 | X=0307.320-0341.950 | Y=0545.450-0556.690 | Văn trỗi
P=0725 | X=0223.990-0272.830 | Y=0547.330-0556.650 | - Xuân Lập
P=0725 | X=0115.970-0379.410 | Y=0563.450-0574.690 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Võ
P=0725 | X=0115.970-0380.630 | Y=0574.970-0586.210 | Văn Tần đoạn từ Đường Xuân Bình - Xuân Lập đến Đường
P=0725 | X=0115.970-0366.680 | Y=0586.250-0597.490 | Nguyễn Văn trỗi có hiện trạng là đường nhựa, bê tông xi
P=0725 | X=0115.970-0143.970 | Y=0597.770-0609.010 | măng:
P=0725 | X=0099.890-0105.490 | Y=0599.890-0609.210 | 9
P=0725 | X=0411.020-0427.660 | Y=0599.890-0609.210 | 840
P=0725 | X=0448.490-0465.130 | Y=0599.890-0609.210 | 590
P=0725 | X=0505.390-0522.030 | Y=0599.890-0609.210 | 500
P=0725 | X=0115.970-0338.910 | Y=0615.290-0626.530 | - Có bề rộng ≥5m, cách đường giao thông ≤600m.
P=0725 | X=0115.970-0393.160 | Y=0632.830-0644.070 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤400m.
P=0725 | X=0115.970-0379.410 | Y=0650.830-0662.070 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Võ
P=0725 | X=0115.970-0380.630 | Y=0662.350-0673.590 | Văn Tần đoạn từ Đường Xuân Bình - Xuân Lập đến Đường
P=0725 | X=0097.250-0366.680 | Y=0673.870-0687.950 | 10 Nguyễn Văn trỗi có hiện trạng là đường nhựa, bê tông xi
P=0725 | X=0411.020-0427.660 | Y=0678.630-0687.950 | 700
P=0725 | X=0448.490-0465.130 | Y=0678.630-0687.950 | 490
P=0725 | X=0505.390-0522.030 | Y=0678.630-0687.950 | 420
P=0725 | X=0115.970-0143.970 | Y=0685.390-0696.630 | măng:
P=0725 | X=0115.970-0339.140 | Y=0702.930-0714.170 | - Có bề rộng ≥5m, cách đường giao thông >600m.
P=0726 | X=0115.970-0369.280 | Y=0078.740-0089.980 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=0726 | X=0115.970-0202.540 | Y=0090.260-0101.500 | >400m đến ≤600m.
P=0726 | X=0115.970-0339.140 | Y=0107.780-0119.020 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0726 | X=0115.970-0379.430 | Y=0125.810-0137.050 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Võ
P=0726 | X=0115.970-0380.630 | Y=0137.330-0148.570 | Văn Tần đoạn từ Đường Xuân Bình - Xuân Lập đến Đường
P=0726 | X=0115.970-0366.680 | Y=0148.850-0160.090 | Nguyễn Văn trỗi có hiện trạng là đường nhựa, bê tông xi
P=0726 | X=0097.250-0143.970 | Y=0160.370-0171.810 | 11 măng:
P=0726 | X=0411.020-0427.660 | Y=0162.490-0171.810 | 560
P=0726 | X=0448.490-0465.130 | Y=0162.490-0171.810 | 390
P=0726 | X=0505.390-0522.030 | Y=0162.490-0171.810 | 340
P=0726 | X=0115.970-0393.400 | Y=0177.650-0188.890 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >600m.
P=0726 | X=0115.970-0339.610 | Y=0195.170-0206.410 | - Có bề rộng <3m, cách đường giao thông >200m.
P=0726 | X=0115.970-0389.480 | Y=0213.190-0224.430 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=0726 | X=0115.970-0387.580 | Y=0224.710-0235.950 | ra Đường Võ Văn Tần đoạn từ Đường Xuân Bình - Xuân Lập
P=0726 | X=0115.970-0388.540 | Y=0236.230-0247.470 | đến Đường Nguyễn Văn trỗi có hiện trạng là đường nhựa, bê
P=0726 | X=0097.250-0176.130 | Y=0247.750-0259.190 | 12 tông xi măng:
P=0726 | X=0411.020-0427.660 | Y=0249.870-0259.190 | 760
P=0726 | X=0448.490-0465.130 | Y=0249.870-0259.190 | 530
P=0726 | X=0505.390-0522.030 | Y=0249.870-0259.190 | 460
P=0726 | X=0115.970-0338.880 | Y=0265.270-0276.510 | - Có bề rộng ≥5m, cách đường giao thông ≤600m.
P=0726 | X=0115.970-0393.160 | Y=0282.820-0294.060 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤400m.
P=0726 | X=0115.970-0389.480 | Y=0300.820-0312.060 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=0726 | X=0115.970-0387.580 | Y=0312.340-0323.580 | ra Đường Võ Văn Tần đoạn từ Đường Xuân Bình - Xuân Lập
P=0726 | X=0115.970-0388.540 | Y=0323.860-0335.100 | đến Đường Nguyễn Văn trỗi có hiện trạng là đường nhựa, bê
P=0726 | X=0115.970-0176.130 | Y=0335.380-0346.620 | tông xi măng:
P=0726 | X=0097.250-0339.140 | Y=0351.900-0364.140 | 13 - Có bề rộng ≥5m, cách đường giao thông >600m.
P=0726 | X=0411.020-0427.660 | Y=0351.900-0361.220 | 630
P=0726 | X=0448.490-0465.130 | Y=0351.900-0361.220 | 440
P=0726 | X=0505.390-0522.030 | Y=0351.900-0361.220 | 380
P=0726 | X=0115.970-0369.280 | Y=0370.200-0381.440 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=0726 | X=0115.970-0202.540 | Y=0381.720-0392.960 | >400m đến ≤600m.
P=0726 | X=0115.970-0339.140 | Y=0399.240-0410.480 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0726 | X=0115.970-0389.480 | Y=0417.240-0428.480 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=0726 | X=0115.970-0387.580 | Y=0428.760-0440.000 | ra Đường Võ Văn Tần đoạn từ Đường Xuân Bình - Xuân Lập
P=0726 | X=0115.970-0388.540 | Y=0440.280-0451.520 | đến Đường Nguyễn Văn trỗi có hiện trạng là đường nhựa, bê
P=0726 | X=0097.250-0176.130 | Y=0451.820-0463.260 | 14 tông xi măng:
P=0726 | X=0411.020-0427.660 | Y=0453.940-0463.260 | 500
P=0726 | X=0448.490-0465.130 | Y=0453.940-0463.260 | 350
P=0726 | X=0505.390-0522.030 | Y=0453.940-0463.260 | 300
P=0726 | X=0115.970-0393.400 | Y=0469.340-0480.580 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >600m.
P=0726 | X=0115.970-0342.290 | Y=0486.860-0498.100 | - Có bề rộng <3m, cách đường giao thông > 200m.
P=0726 | X=0115.970-0376.930 | Y=0504.860-0516.100 | Đường Nguyễn Văn Đường Lương Định Cuối khu dân cư
P=0726 | X=0097.250-0108.370 | Y=0512.500-0521.820 | 15
P=0726 | X=0402.860-0427.910 | Y=0512.500-0521.820 | 3.500
P=0726 | X=0440.330-0465.370 | Y=0512.500-0521.820 | 2.500
P=0726 | X=0497.230-0522.280 | Y=0512.500-0521.820 | 2.100
P=0726 | X=0303.240-0374.140 | Y=0516.380-0527.620 | Khu phố Núi Đỏ
P=0726 | X=0115.970-0133.330 | Y=0518.260-0527.580 | Trỗi
P=0726 | X=0209.590-0227.910 | Y=0518.260-0527.580 | Của
P=0726 | X=0115.970-0364.290 | Y=0534.410-0545.650 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường
P=0726 | X=0115.970-0382.780 | Y=0545.930-0557.170 | Nguyễn Văn Trỗi đoạn từ Đường Lương Định Của đến Cuối
P=0726 | X=0115.970-0386.380 | Y=0557.450-0568.690 | khu dân cư Khu phố Núi Đỏ có hiện trạng là đường nhựa, bê
P=0726 | X=0097.250-0176.130 | Y=0568.970-0580.410 | 16 tông xi măng:
P=0726 | X=0402.860-0427.910 | Y=0571.090-0580.410 | 1.800
P=0726 | X=0440.330-0465.380 | Y=0571.090-0580.410 | 1.300
P=0726 | X=0497.230-0522.280 | Y=0571.090-0580.410 | 1.100
P=0726 | X=0115.970-0338.880 | Y=0586.250-0597.490 | - Có bề rộng ≥5m, cách đường giao thông ≤600m.
P=0726 | X=0115.970-0393.160 | Y=0603.770-0615.010 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤400m.
P=0726 | X=0115.970-0364.290 | Y=0621.790-0633.030 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường
P=0726 | X=0115.970-0382.780 | Y=0633.310-0644.550 | Nguyễn Văn Trỗi đoạn từ Đường Lương Định Của đến Cuối
P=0726 | X=0115.970-0386.380 | Y=0644.830-0656.070 | khu dân cư Khu phố Núi Đỏ có hiện trạng là đường nhựa, bê
P=0726 | X=0115.970-0176.130 | Y=0656.350-0667.590 | tông xi măng:
P=0726 | X=0097.250-0108.370 | Y=0664.230-0673.550 | 17
P=0726 | X=0402.860-0427.910 | Y=0664.230-0673.550 | 1.400
P=0726 | X=0448.490-0465.130 | Y=0664.230-0673.550 | 980
P=0726 | X=0505.390-0522.030 | Y=0664.230-0673.550 | 840
P=0726 | X=0115.970-0339.140 | Y=0673.870-0685.110 | - Có bề rộng ≥5m, cách đường giao thông >600m.
P=0726 | X=0115.970-0369.280 | Y=0691.390-0702.630 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=0726 | X=0115.970-0202.540 | Y=0702.930-0714.170 | >400m đến ≤600m.
P=0727 | X=0115.970-0339.140 | Y=0078.740-0089.980 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0727 | X=0115.970-0364.290 | Y=0096.740-0107.980 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường
P=0727 | X=0115.970-0382.780 | Y=0108.260-0119.500 | Nguyễn Văn Trỗi đoạn từ Đường Lương Định Của đến Cuối
P=0727 | X=0115.970-0386.380 | Y=0119.810-0131.050 | khu dân cư Khu phố Núi Đỏ có hiện trạng là đường nhựa, bê
P=0727 | X=0097.250-0176.130 | Y=0131.330-0142.770 | 18 tông xi măng:
P=0727 | X=0411.020-0427.660 | Y=0133.450-0142.770 | 700
P=0727 | X=0448.490-0465.130 | Y=0133.450-0142.770 | 490
P=0727 | X=0505.390-0522.030 | Y=0133.450-0142.770 | 420
P=0727 | X=0115.970-0393.400 | Y=0148.850-0160.090 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >600m.
P=0727 | X=0115.970-0339.610 | Y=0166.370-0177.610 | - Có bề rộng <3m, cách đường giao thông >200m.
P=0727 | X=0115.970-0389.480 | Y=0184.370-0195.610 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=0727 | X=0115.970-0385.910 | Y=0195.650-0206.890 | ra Đường Nguyễn Văn Trỗi đoạn từ Đường Lương Định Của
P=0727 | X=0115.970-0386.380 | Y=0207.190-0218.430 | đến Cuối khu dân cư Khu phố Núi Đỏ có hiện trạng là đường
P=0727 | X=0097.250-0219.120 | Y=0220.590-0230.150 | 19 nhựa, bê tông xi măng:
P=0727 | X=0402.860-0427.910 | Y=0220.830-0230.150 | 1.600
P=0727 | X=0440.330-0465.380 | Y=0220.830-0230.150 | 1.100
P=0727 | X=0505.390-0522.030 | Y=0220.830-0230.150 | 960
P=0727 | X=0115.970-0338.880 | Y=0236.230-0247.470 | - Có bề rộng ≥5m, cách đường giao thông ≤600m.
P=0727 | X=0115.970-0393.180 | Y=0253.750-0264.990 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤400m.
P=0727 | X=0115.970-0389.480 | Y=0271.750-0282.990 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=0727 | X=0115.970-0385.910 | Y=0283.300-0294.540 | ra Đường Nguyễn Văn Trỗi đoạn từ Đường Lương Định Của
P=0727 | X=0115.970-0386.380 | Y=0294.820-0306.060 | đến Cuối khu dân cư Khu phố Núi Đỏ có hiện trạng là đường
P=0727 | X=0115.970-0219.080 | Y=0306.340-0317.580 | nhựa, bê tông xi măng:
P=0727 | X=0097.250-0339.150 | Y=0322.860-0335.100 | 20 - Có bề rộng ≥5m, cách đường giao thông >600m.
P=0727 | X=0402.860-0427.910 | Y=0322.860-0332.180 | 1.300
P=0727 | X=0448.490-0465.130 | Y=0322.860-0332.180 | 910
P=0727 | X=0505.390-0522.030 | Y=0322.860-0332.180 | 780
P=0727 | X=0115.970-0369.280 | Y=0341.380-0352.620 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=0727 | X=0115.970-0202.540 | Y=0352.900-0364.140 | >400m đến ≤600m.
P=0727 | X=0115.970-0339.140 | Y=0370.200-0381.440 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0727 | X=0115.970-0389.480 | Y=0388.200-0399.440 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=0727 | X=0115.970-0385.900 | Y=0399.720-0410.960 | ra Đường Nguyễn Văn Trỗi đoạn từ Đường Lương Định Của
P=0727 | X=0115.970-0386.380 | Y=0411.240-0422.480 | đến Cuối khu dân cư Khu phố Núi Đỏ có hiện trạng là đường
P=0727 | X=0097.250-0219.080 | Y=0422.760-0434.200 | 21 nhựa, bê tông xi măng:
P=0727 | X=0411.020-0427.660 | Y=0424.880-0434.200 | 630
P=0727 | X=0448.490-0465.130 | Y=0424.880-0434.200 | 440
P=0727 | X=0505.390-0522.030 | Y=0424.880-0434.200 | 380
P=0727 | X=0115.970-0393.400 | Y=0440.280-0451.520 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >600m.
P=0727 | X=0115.970-0339.610 | Y=0457.820-0469.060 | - Có bề rộng <3m, cách đường giao thông >200m.
P=0727 | X=0115.970-0283.310 | Y=0475.820-0487.060 | Đường Nguyễn Văn Cuối khu dân cư
P=0727 | X=0303.240-0376.270 | Y=0481.580-0492.820 | Đường Bàu Sen
P=0727 | X=0097.250-0108.370 | Y=0483.460-0492.780 | 22
P=0727 | X=0402.860-0427.910 | Y=0483.460-0492.780 | 2.200
P=0727 | X=0440.330-0465.380 | Y=0483.460-0492.780 | 1.500
P=0727 | X=0497.230-0522.280 | Y=0483.460-0492.780 | 1.300
P=0727 | X=0209.590-0280.500 | Y=0487.340-0498.580 | Khu phố Núi Đỏ
P=0727 | X=0115.970-0133.330 | Y=0489.220-0498.540 | Trỗi
P=0727 | X=0115.970-0364.290 | Y=0505.340-0516.580 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường
P=0727 | X=0115.970-0378.220 | Y=0516.860-0528.100 | Nguyễn Văn Trỗi đoạn từ Cuối khu dân cư Khu phố Núi Đỏ
P=0727 | X=0115.970-0387.080 | Y=0528.380-0539.620 | đến Đường Bàu Sen có hiện trạng là đường nhựa, bê tông xi
P=0727 | X=0097.250-0143.970 | Y=0539.930-0551.370 | 23 măng:
P=0727 | X=0402.860-0427.910 | Y=0542.050-0551.370 | 1.100
P=0727 | X=0448.490-0465.130 | Y=0542.050-0551.370 | 770
P=0727 | X=0505.390-0522.030 | Y=0542.050-0551.370 | 660
P=0727 | X=0115.970-0338.910 | Y=0557.450-0568.690 | - Có bề rộng ≥5m, cách đường giao thông ≤600m.
P=0727 | X=0115.970-0393.160 | Y=0574.970-0586.210 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤400m.
P=0727 | X=0115.970-0364.290 | Y=0592.970-0604.210 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường
P=0727 | X=0115.970-0378.220 | Y=0604.250-0615.490 | Nguyễn Văn Trãi đoạn từ Cuối khu dân cư Khu phố Núi Đỏ
P=0727 | X=0115.970-0387.080 | Y=0615.770-0627.010 | đến Đường Bàu Sen có hiện trạng là đường nhựa, bê tông xi
P=0727 | X=0115.970-0143.970 | Y=0627.310-0638.550 | măng:
P=0727 | X=0097.250-0339.140 | Y=0644.070-0656.070 | 24 - Có bề rộng ≥5m, cách đường giao thông >600m.
P=0727 | X=0411.020-0427.660 | Y=0644.070-0653.390 | 840
P=0727 | X=0448.490-0465.130 | Y=0644.070-0653.390 | 590
P=0727 | X=0505.390-0522.030 | Y=0644.070-0653.390 | 500
P=0727 | X=0115.970-0369.280 | Y=0662.350-0673.590 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=0727 | X=0115.970-0202.540 | Y=0673.870-0685.110 | >400m đến ≤600m.
P=0727 | X=0115.970-0339.140 | Y=0691.390-0702.630 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0728 | X=0115.970-0364.290 | Y=0078.740-0089.980 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường
P=0728 | X=0115.970-0378.220 | Y=0090.260-0101.500 | Nguyễn Văn Trỗi đoạn từ Cuối khu dân cư Khu phố Núi Đỏ
P=0728 | X=0115.970-0387.080 | Y=0101.780-0113.020 | đến Đường Bàu Sen có hiện trạng là đường nhựa, bê tông xi
P=0728 | X=0097.250-0143.970 | Y=0113.300-0124.740 | 25 măng:
P=0728 | X=0411.020-0427.660 | Y=0115.420-0124.740 | 630
P=0728 | X=0448.490-0465.130 | Y=0115.420-0124.740 | 440
P=0728 | X=0505.390-0522.030 | Y=0115.420-0124.740 | 380
P=0728 | X=0115.970-0393.400 | Y=0130.850-0142.090 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >600m.
P=0728 | X=0115.970-0339.610 | Y=0148.370-0159.610 | - Có bề rộng <3m, cách đường giao thông >200m.
P=0728 | X=0115.970-0389.480 | Y=0166.370-0177.610 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=0728 | X=0115.970-0390.460 | Y=0177.650-0188.890 | ra Đường Nguyễn Văn Trỗi đoạn từ Cuối khu dân cư Khu phố
P=0728 | X=0115.970-0388.540 | Y=0189.170-0200.410 | Núi Đỏ đến Đường Bàu Sen có hiện trạng là đường nhựa, bê
P=0728 | X=0097.250-0176.130 | Y=0200.710-0212.150 | 26 tông xi măng:
P=0728 | X=0411.020-0427.660 | Y=0202.830-0212.150 | 990
P=0728 | X=0448.490-0465.130 | Y=0202.830-0212.150 | 690
P=0728 | X=0505.390-0522.030 | Y=0202.830-0212.150 | 590
P=0728 | X=0115.970-0338.880 | Y=0218.230-0229.470 | - Có bề rộng ≥5m, cách đường giao thông ≤600m.
P=0728 | X=0115.970-0393.160 | Y=0235.750-0246.990 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤400m.
P=0728 | X=0115.970-0389.480 | Y=0253.750-0264.990 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=0728 | X=0115.970-0390.460 | Y=0265.270-0276.510 | ra Đường Nguyễn Văn Trỗi đoạn từ Cuối khu dân cư Khu phố
P=0728 | X=0115.970-0388.540 | Y=0276.790-0288.030 | Núi Đỏ đến Đường Bàu Sen có hiện trạng là đường nhựa, bê
P=0728 | X=0115.970-0176.130 | Y=0288.340-0299.580 | tông xi măng:
P=0728 | X=0097.250-0339.140 | Y=0304.860-0317.100 | 27 - Có bề rộng ≥5m, cách đường giao thông >600m.
P=0728 | X=0411.020-0427.660 | Y=0304.860-0314.180 | 760
