TABLE=052 | AREA=Xã Đắk Lua | SECTION=non-agricultural | SEGMENTS=1
P=1720 | X=0116.930-0380.950 | Y=0502.220-0513.460 | số 40, BĐ ĐC xã Đắk Lua. Bên trái hết ranh thửa đất số 14,
P=1720 | X=0116.930-0367.420 | Y=0513.740-0524.980 | tờ BĐ số 40, BĐ ĐC xã Đắk Lua) có hiện trạng là đường
P=1720 | X=0100.370-0105.970 | Y=0524.740-0534.060 | 6
P=1720 | X=0415.100-0431.740 | Y=0524.740-0534.060 | 140
P=1720 | X=0451.610-0468.250 | Y=0524.740-0534.060 | 100
P=1720 | X=0511.390-0522.510 | Y=0524.740-0534.060 | 85
P=1720 | X=0116.930-0220.040 | Y=0525.260-0536.500 | nhựa, bê tông xi măng:
P=1720 | X=0116.930-0348.520 | Y=0542.810-0554.050 | - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1720 | X=0116.930-0370.240 | Y=0560.330-0571.570 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=1720 | X=0116.930-0211.900 | Y=0571.850-0583.090 | >500m đến ≤1.000m.
P=1720 | X=0116.930-0340.100 | Y=0589.370-0600.610 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1720 | X=0116.930-0362.840 | Y=0607.370-0618.610 | Các tuyến đường giao thông không đấu nối trực tiếp và
P=1720 | X=0116.930-0361.150 | Y=0618.910-0630.150 | thông ra Đường ấp 7 Đabongkua đoạn từ Ranh giới xã
P=1720 | X=0116.930-0372.450 | Y=0630.430-0641.670 | Phước Sơn (Trường Tiểu học Nguyễn Bá Học) đến Ranh
P=1720 | X=0116.930-0379.180 | Y=0641.950-0653.190 | giới xã Phước Sơn (bên phải hết ranh thửa đất số 7, tờ BĐ
P=1720 | X=0116.930-0380.950 | Y=0653.470-0664.710 | số 40, BĐ ĐC xã Đắk Lua. Bên trái hết ranh thửa đất số 14,
P=1720 | X=0100.370-0105.970 | Y=0658.230-0667.550 | 7
P=1720 | X=0415.100-0431.740 | Y=0658.230-0667.550 | 130
P=1720 | X=0457.370-0468.490 | Y=0658.230-0667.550 | 90
P=1720 | X=0511.390-0522.510 | Y=0658.230-0667.550 | 80
P=1720 | X=0116.930-0367.420 | Y=0664.750-0675.990 | tờ BĐ số 40, BĐ ĐC xã Đắk Lua) có hiện trạng là đường
P=1720 | X=0116.930-0220.040 | Y=0676.270-0687.510 | nhựa, bê tông xi măng:
P=1720 | X=0116.930-0358.040 | Y=0693.790-0705.030 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=1720 | X=0116.930-0159.070 | Y=0707.220-0716.540 | >1.000m.
P=1721 | X=0116.930-0340.570 | Y=0078.740-0089.980 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1721 | X=0202.630-0285.780 | Y=0096.740-0107.980 | Đoạn từ phần giáp
P=1721 | X=0116.930-0188.790 | Y=0108.260-0119.500 | Đường Đắc Lua
P=1721 | X=0287.140-0343.400 | Y=0108.260-0119.500 | Cua Đá ấp 2
P=1721 | X=0100.370-0105.970 | Y=0110.140-0119.460 | 8
P=1721 | X=0202.630-0265.140 | Y=0110.140-0119.460 | ranh tỉnh Bình
P=1721 | X=0415.100-0431.740 | Y=0110.140-0119.460 | 650
P=1721 | X=0451.610-0468.250 | Y=0110.140-0119.460 | 460
P=1721 | X=0505.630-0522.270 | Y=0110.140-0119.460 | 390
P=1721 | X=0202.630-0233.380 | Y=0119.810-0131.050 | Phước
P=1721 | X=0116.930-0365.270 | Y=0137.810-0149.050 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường
P=1721 | X=0116.930-0377.030 | Y=0149.330-0160.570 | Đắc Lua đoạn từ phần giáp ranh tỉnh Bình Phước đến Cua
P=1721 | X=0116.930-0361.690 | Y=0160.850-0172.090 | Đá ấp 2 có hiện trạng là đường nhựa, bê tông xi măng:
P=1721 | X=0100.370-0105.970 | Y=0174.490-0183.810 | 9
P=1721 | X=0415.100-0431.740 | Y=0174.490-0183.810 | 320
P=1721 | X=0451.610-0468.250 | Y=0174.490-0183.810 | 220
P=1721 | X=0505.630-0522.270 | Y=0174.490-0183.810 | 190
P=1721 | X=0116.930-0348.010 | Y=0178.370-0189.610 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1721 | X=0116.930-0358.040 | Y=0195.650-0206.890 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=1721 | X=0116.930-0150.450 | Y=0207.190-0218.430 | ≤500m.
P=1721 | X=0116.930-0365.260 | Y=0225.190-0236.430 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường
P=1721 | X=0116.930-0377.020 | Y=0236.710-0247.950 | Đắc Lua đoạn từ phần giáp ranh tỉnh Bình Phước đến Cua
P=1721 | X=0116.930-0361.690 | Y=0248.230-0259.470 | Đá ấp 2 có hiện trạng là đường nhựa, bê tông xi măng:
P=1721 | X=0097.730-0348.480 | Y=0265.750-0280.070 | 10 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1721 | X=0415.100-0431.740 | Y=0270.750-0280.070 | 160
P=1721 | X=0451.610-0468.250 | Y=0270.750-0280.070 | 110
P=1721 | X=0505.630-0522.270 | Y=0270.750-0280.070 | 100
P=1721 | X=0116.930-0370.240 | Y=0283.300-0294.540 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=1721 | X=0116.930-0211.900 | Y=0294.820-0306.060 | >500m đến ≤1.000m.
P=1721 | X=0116.930-0340.100 | Y=0312.340-0323.580 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1721 | X=0116.930-0365.270 | Y=0330.340-0341.580 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường
P=1721 | X=0116.930-0377.010 | Y=0341.860-0353.100 | Đắc Lua đoạn từ phần giáp ranh tỉnh Bình Phước đến Cua
P=1721 | X=0116.930-0361.690 | Y=0353.380-0364.620 | Đá ấp 2 có hiện trạng là đường nhựa, bê tông xi măng:
P=1721 | X=0097.730-0108.850 | Y=0367.040-0376.360 | 11
P=1721 | X=0415.100-0431.740 | Y=0367.040-0376.360 | 130
P=1721 | X=0457.370-0468.490 | Y=0367.040-0376.360 | 90
P=1721 | X=0511.390-0522.510 | Y=0367.040-0376.360 | 80
P=1721 | X=0116.930-0358.040 | Y=0370.920-0382.160 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=1721 | X=0116.930-0159.080 | Y=0384.080-0393.400 | >1.000m.
P=1721 | X=0116.930-0340.570 | Y=0399.720-0410.960 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1721 | X=0116.930-0362.840 | Y=0417.720-0428.960 | Các tuyến đường giao thông không đấu nối trực tiếp và
P=1721 | X=0116.930-0377.240 | Y=0429.240-0440.480 | thông ra Đường Đắc Lua đoạn từ phần giáp ranh tỉnh Bình
P=1721 | X=0116.930-0372.460 | Y=0440.760-0452.000 | Phước đến Cua Đá ấp 2 có hiện trạng là đường nhựa, bê
P=1721 | X=0116.930-0177.090 | Y=0452.300-0463.540 | tông xi măng:
P=1721 | X=0097.730-0108.850 | Y=0460.180-0469.500 | 12
P=1721 | X=0415.100-0431.740 | Y=0460.180-0469.500 | 290
P=1721 | X=0451.610-0468.250 | Y=0460.180-0469.500 | 200
P=1721 | X=0505.630-0522.270 | Y=0460.180-0469.500 | 170
P=1721 | X=0116.930-0348.010 | Y=0469.820-0481.060 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1721 | X=0116.930-0358.040 | Y=0487.340-0498.580 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=1721 | X=0116.930-0150.450 | Y=0498.860-0510.100 | ≤500m.
P=1721 | X=0116.930-0362.840 | Y=0516.860-0528.100 | Các tuyến đường giao thông không đấu nối trực tiếp và
P=1721 | X=0116.930-0377.240 | Y=0528.380-0539.620 | thông ra Đường Đắc Lua đoạn từ phần giáp ranh tỉnh Bình
P=1721 | X=0116.930-0372.460 | Y=0539.930-0551.170 | Phước đến Cua Đá ấp 2 có hiện trạng là đường nhựa, bê
P=1721 | X=0116.930-0177.090 | Y=0551.450-0562.690 | tông xi măng:
P=1721 | X=0097.730-0348.480 | Y=0567.970-0580.210 | 13 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1721 | X=0415.100-0431.740 | Y=0567.970-0577.290 | 140
P=1721 | X=0451.610-0468.250 | Y=0567.970-0577.290 | 100
P=1721 | X=0511.390-0522.510 | Y=0567.970-0577.290 | 85
P=1721 | X=0116.930-0370.240 | Y=0586.250-0597.490 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=1721 | X=0116.930-0211.900 | Y=0597.770-0609.010 | >500m đến ≤1.000m.
P=1721 | X=0116.930-0340.100 | Y=0615.290-0626.530 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1721 | X=0116.930-0362.840 | Y=0633.310-0644.550 | Các tuyến đường giao thông không đấu nối trực tiếp và
P=1721 | X=0116.930-0377.240 | Y=0644.830-0656.070 | thông ra Đường Đắc Lua đoạn từ phần giáp ranh tỉnh Bình
P=1721 | X=0116.930-0372.460 | Y=0656.350-0667.590 | Phước đến Cua Đá ấp 2 có hiện trạng là đường nhựa, bê
P=1721 | X=0097.730-0177.090 | Y=0667.110-0679.110 | 14 tông xi măng:
P=1721 | X=0415.100-0431.740 | Y=0667.110-0676.430 | 120
P=1721 | X=0457.370-0468.490 | Y=0667.110-0676.430 | 80
P=1721 | X=0511.390-0522.510 | Y=0667.110-0676.430 | 70
P=1721 | X=0116.930-0358.040 | Y=0685.390-0696.630 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=1721 | X=0116.930-0159.070 | Y=0698.790-0708.110 | >1.000m.
P=1722 | X=0116.930-0340.570 | Y=0078.740-0089.980 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1722 | X=0287.140-0378.940 | Y=0096.740-0107.980 | Hết ranh thửa đất số
P=1722 | X=0287.140-0371.740 | Y=0108.260-0119.500 | 18, tờ BĐĐC số 11
P=1722 | X=0287.140-0368.940 | Y=0121.690-0131.010 | về bên phải và hết
P=1722 | X=0097.730-0188.790 | Y=0125.570-0136.810 | 15 Đường Đắc Lua
P=1722 | X=0202.630-0258.900 | Y=0125.570-0136.810 | Cua Đá ấp 2
P=1722 | X=0415.100-0431.740 | Y=0127.450-0136.770 | 650
P=1722 | X=0451.610-0468.250 | Y=0127.450-0136.770 | 460
P=1722 | X=0505.630-0522.270 | Y=0127.450-0136.770 | 390
P=1722 | X=0287.140-0377.350 | Y=0131.330-0142.570 | ranh thửa đất số 23,
P=1722 | X=0287.140-0368.630 | Y=0142.850-0154.090 | tờ BĐĐC số 11 về
P=1722 | X=0287.140-0376.760 | Y=0154.370-0165.610 | bên trái, xã Đắc Lua
P=1722 | X=0116.930-0365.270 | Y=0172.370-0183.610 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường
P=1722 | X=0116.930-0381.190 | Y=0183.650-0194.890 | Đắc Lua đoạn từ Cua Đá ấp 2 đến Hết ranh thửa đất số 18,
P=1722 | X=0116.930-0374.190 | Y=0195.170-0206.410 | tờ BĐĐC số 11 về bên phải và hết ranh thửa đất số 23, tờ
P=1722 | X=0116.930-0349.630 | Y=0206.710-0217.950 | BĐĐC số 11 về bên trái, xã Đắc Lua có hiện trạng là
P=1722 | X=0097.730-0252.700 | Y=0218.230-0229.670 | 16 đường nhựa, bê tông xi măng:
P=1722 | X=0415.100-0431.740 | Y=0220.350-0229.670 | 320
P=1722 | X=0451.610-0468.250 | Y=0220.350-0229.670 | 220
P=1722 | X=0505.630-0522.270 | Y=0220.350-0229.670 | 190
P=1722 | X=0116.930-0348.010 | Y=0235.750-0246.990 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1722 | X=0116.930-0358.040 | Y=0253.270-0264.510 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=1722 | X=0116.930-0150.450 | Y=0264.790-0276.030 | ≤500m.
P=1722 | X=0116.930-0365.270 | Y=0282.820-0294.060 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường
P=1722 | X=0116.930-0381.190 | Y=0294.340-0305.580 | Đắc Lua đoạn từ Cua Đá ấp 2 đến Hết ranh thửa đất số 18,
P=1722 | X=0116.930-0374.190 | Y=0305.860-0317.100 | tờ BĐĐC số 11 về bên phải và hết ranh thửa đất số 23, tờ
P=1722 | X=0116.930-0349.630 | Y=0317.380-0328.620 | BĐĐC số 11 về bên trái, xã Đắc Lua có hiện trạng là
P=1722 | X=0116.930-0252.710 | Y=0328.900-0340.140 | đường nhựa, bê tông xi măng:
P=1722 | X=0097.730-0108.850 | Y=0339.660-0348.980 | 17
P=1722 | X=0415.100-0431.740 | Y=0339.660-0348.980 | 160
P=1722 | X=0451.610-0468.250 | Y=0339.660-0348.980 | 110
P=1722 | X=0505.630-0522.270 | Y=0339.660-0348.980 | 100
P=1722 | X=0116.930-0348.480 | Y=0346.180-0357.420 | - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1722 | X=0116.930-0370.240 | Y=0363.700-0374.940 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=1722 | X=0116.930-0211.900 | Y=0375.240-0386.480 | >500m đến ≤1.000m.
P=1722 | X=0116.930-0340.100 | Y=0392.760-0404.000 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1722 | X=0116.930-0365.270 | Y=0410.760-0422.000 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường
P=1722 | X=0116.930-0381.190 | Y=0422.280-0433.520 | Đắc Lua đoạn từ Cua Đá ấp 2 đến Hết ranh thửa đất số 18,
P=1722 | X=0116.930-0374.190 | Y=0433.800-0445.040 | tờ BĐĐC số 11 về bên phải và hết ranh thửa đất số 23, tờ
P=1722 | X=0116.930-0349.630 | Y=0445.320-0456.560 | BĐĐC số 11 về bên trái, xã Đắc Lua có hiện trạng là
P=1722 | X=0097.730-0252.700 | Y=0456.860-0468.300 | 18 đường nhựa, bê tông xi măng:
P=1722 | X=0415.100-0431.740 | Y=0458.980-0468.300 | 130
P=1722 | X=0457.370-0468.490 | Y=0458.980-0468.300 | 90
P=1722 | X=0511.390-0522.510 | Y=0458.980-0468.300 | 80
P=1722 | X=0116.930-0358.040 | Y=0474.380-0485.620 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=1722 | X=0116.930-0159.070 | Y=0487.780-0497.100 | >1.000m.
P=1722 | X=0116.930-0340.570 | Y=0503.420-0514.660 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1722 | X=0116.930-0362.840 | Y=0521.420-0532.660 | Các tuyến đường giao thông không đấu nối trực tiếp và
P=1722 | X=0116.930-0362.230 | Y=0532.970-0544.210 | thông ra Đường Đắc Lua đoạn từ Cua Đá ấp 2 đến Hết
P=1722 | X=0116.930-0362.230 | Y=0544.250-0555.490 | ranh thửa đất số 18, tờ BĐĐC số 11 về bên phải và hết
P=1722 | X=0116.930-0363.740 | Y=0555.770-0567.010 | ranh thửa đất số 23, tờ BĐĐC số 11 về bên trái, xã Đắc
P=1722 | X=0097.730-0343.220 | Y=0567.290-0578.730 | 19 Lua có hiện trạng là đường nhựa, bê tông xi măng:
P=1722 | X=0415.100-0431.740 | Y=0569.410-0578.730 | 290
P=1722 | X=0451.610-0468.250 | Y=0569.410-0578.730 | 200
P=1722 | X=0505.630-0522.270 | Y=0569.410-0578.730 | 170
P=1722 | X=0116.930-0348.010 | Y=0584.810-0596.050 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1722 | X=0116.930-0358.040 | Y=0602.330-0613.570 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=1722 | X=0116.930-0150.450 | Y=0613.850-0625.090 | ≤500m.
P=1722 | X=0116.930-0362.840 | Y=0631.870-0643.110 | Các tuyến đường giao thông không đấu nối trực tiếp và
P=1722 | X=0116.930-0362.230 | Y=0643.390-0654.630 | thông ra Đường Đắc Lua đoạn từ Cua Đá ấp 2 đến Hết
P=1722 | X=0116.930-0362.230 | Y=0654.910-0666.150 | ranh thửa đất số 18, tờ BĐĐC số 11 về bên phải và hết
P=1722 | X=0097.730-0363.740 | Y=0665.430-0677.670 | 20 ranh thửa đất số 23, tờ BĐĐC số 11 về bên trái, xã Đắc
P=1722 | X=0415.100-0431.740 | Y=0665.430-0674.750 | 140
P=1722 | X=0451.610-0468.250 | Y=0665.430-0674.750 | 100
P=1722 | X=0511.390-0522.510 | Y=0665.430-0674.750 | 85
P=1722 | X=0116.930-0343.220 | Y=0677.950-0689.190 | Lua có hiện trạng là đường nhựa, bê tông xi măng:
P=1722 | X=0116.930-0348.480 | Y=0695.470-0706.710 | - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1723 | X=0116.930-0370.240 | Y=0078.740-0089.980 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=1723 | X=0116.930-0211.900 | Y=0090.260-0101.500 | >500m đến ≤1.000m.
P=1723 | X=0116.930-0340.100 | Y=0107.780-0119.020 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1723 | X=0116.930-0362.840 | Y=0125.810-0137.050 | Các tuyến đường giao thông không đấu nối trực tiếp và
P=1723 | X=0116.930-0362.230 | Y=0137.330-0148.570 | thông ra Đường Đắc Lua đoạn từ Cua Đá ấp 2 đến Hết
P=1723 | X=0116.930-0362.230 | Y=0148.850-0160.090 | ranh thửa đất số 18, tờ BĐĐC số 11 về bên phải và hết
P=1723 | X=0116.930-0363.740 | Y=0160.370-0171.610 | ranh thửa đất số 23, tờ BĐĐC số 11 về bên trái, xã Đắc
P=1723 | X=0097.730-0343.230 | Y=0171.650-0183.330 | 21 Lua có hiện trạng là đường nhựa, bê tông xi măng:
P=1723 | X=0415.100-0431.740 | Y=0174.010-0183.330 | 120
P=1723 | X=0457.370-0468.490 | Y=0174.010-0183.330 | 80
