TABLE=032 | AREA=Xã Xuân Đường | SECTION=non-agricultural | SEGMENTS=1
P=1134 | X=0108.290-0278.590 | Y=0404.280-0415.520 | Đường tỉnh 773 (Hương Đường Sông
P=1134 | X=0301.800-0377.240 | Y=0410.040-0421.280 | hiện hữu ấp 1 xã
P=1134 | X=0096.290-0101.890 | Y=0411.920-0421.240 | 8
P=1134 | X=0405.260-0430.310 | Y=0411.920-0421.240 | 3.100
P=1134 | X=0453.290-0478.340 | Y=0411.920-0421.240 | 2.200
P=1134 | X=0497.230-0522.280 | Y=0411.920-0421.240 | 1.900
P=1134 | X=0108.290-0146.930 | Y=0415.800-0427.040 | lộ 10 cũ)
P=1134 | X=0220.630-0295.290 | Y=0417.680-0427.000 | Nhạn - Dầu Giây
P=1134 | X=0301.800-0359.490 | Y=0421.560-0432.800 | Xuân Đường
P=1134 | X=0108.290-0375.830 | Y=0439.320-0450.560 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường tỉnh
P=1134 | X=0108.290-0379.070 | Y=0450.860-0462.100 | 773 (Hương lộ 10 cũ) đoạn từ Đường Sông Nhạn - Dầu Giây
P=1134 | X=0108.290-0375.350 | Y=0462.380-0473.620 | đến Giáp khu dân cư hiện hữu ấp 1 xã Xuân Đường có hiện
P=1134 | X=0096.290-0280.070 | Y=0473.900-0485.340 | 9 trạng là đường nhựa, bê tông xi măng:
P=1134 | X=0405.260-0430.310 | Y=0476.020-0485.340 | 1.600
P=1134 | X=0453.290-0478.340 | Y=0476.020-0485.340 | 1.100
P=1134 | X=0505.630-0522.270 | Y=0476.020-0485.340 | 960
P=1134 | X=0108.290-0339.370 | Y=0491.420-0502.660 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1134 | X=0108.290-0385.460 | Y=0508.940-0520.180 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=1134 | X=0108.290-0375.830 | Y=0526.460-0537.700 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường tỉnh
P=1134 | X=0108.290-0379.070 | Y=0538.010-0549.250 | 773 (Hương lộ 10 cũ) đoạn từ Đường Sông Nhạn - Dầu Giây
P=1134 | X=0108.290-0375.350 | Y=0549.530-0560.770 | đến Giáp khu dân cư hiện hữu ấp 1 xã Xuân Đường có hiện
P=1134 | X=0108.290-0280.070 | Y=0561.050-0572.290 | trạng là đường nhựa, bê tông xi măng:
P=1134 | X=0093.380-0339.840 | Y=0577.810-0589.810 | 10 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1134 | X=0413.660-0430.300 | Y=0577.810-0587.130 | 950
P=1134 | X=0461.690-0478.330 | Y=0577.810-0587.130 | 670
P=1134 | X=0505.630-0522.270 | Y=0577.810-0587.130 | 570
P=1134 | X=0108.290-0361.600 | Y=0596.090-0607.330 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=1134 | X=0108.290-0203.240 | Y=0607.610-0618.850 | >500m đến ≤1.000m.
P=1134 | X=0108.290-0331.460 | Y=0625.150-0636.390 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1134 | X=0108.290-0375.830 | Y=0642.910-0654.150 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường tỉnh
P=1134 | X=0108.290-0379.070 | Y=0654.430-0665.670 | 773 (Hương lộ 10 cũ) đoạn từ Đường Sông Nhạn - Dầu Giây
P=1134 | X=0108.290-0375.350 | Y=0665.950-0677.190 | đến Giáp khu dân cư hiện hữu ấp 1 xã Xuân Đường có hiện
P=1134 | X=0093.380-0280.070 | Y=0676.470-0688.710 | 11 trạng là đường nhựa, bê tông xi măng:
P=1134 | X=0413.660-0430.300 | Y=0676.470-0685.790 | 780
P=1134 | X=0461.690-0478.330 | Y=0676.470-0685.790 | 550
P=1134 | X=0505.630-0522.270 | Y=0676.470-0685.790 | 470
P=1134 | X=0108.290-0349.380 | Y=0694.750-0705.990 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=1134 | X=0108.290-0150.430 | Y=0708.180-0717.500 | >1.000m.
P=1135 | X=0108.290-0331.930 | Y=0078.500-0089.740 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1135 | X=0108.290-0381.800 | Y=0096.260-0107.500 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=1135 | X=0108.290-0366.460 | Y=0107.780-0119.020 | ra Đường tỉnh 773 (Hương lộ 10 cũ) đoạn từ Đường Sông
P=1135 | X=0108.290-0382.770 | Y=0119.330-0130.570 | Nhạn - Dầu Giây đến Giáp khu dân cư hiện hữu ấp 1 xã Xuân
P=1135 | X=0093.380-0349.690 | Y=0130.850-0142.290 | 12 Đường có hiện trạng là đường nhựa, bê tông xi măng:
P=1135 | X=0405.260-0430.310 | Y=0132.970-0142.290 | 1.400
P=1135 | X=0461.690-0478.330 | Y=0132.970-0142.290 | 980
P=1135 | X=0505.630-0522.270 | Y=0132.970-0142.290 | 840
P=1135 | X=0108.290-0339.370 | Y=0148.370-0159.610 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1135 | X=0108.290-0385.460 | Y=0165.650-0176.890 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=1135 | X=0108.290-0381.800 | Y=0183.410-0194.650 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=1135 | X=0108.290-0366.460 | Y=0194.930-0206.170 | ra Đường tỉnh 773 (Hương lộ 10 cũ) đoạn từ Đường Sông
P=1135 | X=0108.290-0382.770 | Y=0206.470-0217.710 | Nhạn - Dầu Giây đến Giáp khu dân cư hiện hữu ấp 1 xã Xuân
P=1135 | X=0108.290-0349.690 | Y=0217.990-0229.230 | Đường có hiện trạng là đường nhựa, bê tông xi măng:
P=1135 | X=0093.380-0339.840 | Y=0234.750-0246.750 | 13 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1135 | X=0413.660-0430.300 | Y=0234.750-0244.070 | 860
P=1135 | X=0461.690-0478.330 | Y=0234.750-0244.070 | 600
P=1135 | X=0505.630-0522.270 | Y=0234.750-0244.070 | 520
P=1135 | X=0108.290-0361.600 | Y=0253.030-0264.270 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=1135 | X=0108.290-0203.240 | Y=0264.550-0275.790 | >500m đến ≤1.000m.
P=1135 | X=0108.290-0331.460 | Y=0282.100-0293.340 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1135 | X=0108.290-0381.800 | Y=0299.860-0311.100 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=1135 | X=0108.290-0366.460 | Y=0311.380-0322.620 | ra Đường tỉnh 773 (Hương lộ 10 cũ) đoạn từ Đường Sông
P=1135 | X=0108.290-0382.770 | Y=0322.900-0334.140 | Nhạn - Dầu Giây đến Giáp khu dân cư hiện hữu ấp 1 xã Xuân
P=1135 | X=0108.290-0349.690 | Y=0334.420-0345.660 | Đường có hiện trạng là đường nhựa, bê tông xi măng:
P=1135 | X=0093.380-0104.500 | Y=0342.300-0351.620 | 14
P=1135 | X=0413.660-0430.300 | Y=0342.300-0351.620 | 700
P=1135 | X=0461.690-0478.330 | Y=0342.300-0351.620 | 490
P=1135 | X=0505.630-0522.270 | Y=0342.300-0351.620 | 420
P=1135 | X=0108.290-0349.380 | Y=0351.700-0362.940 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=1135 | X=0108.290-0150.430 | Y=0365.100-0374.420 | >1.000m.
P=1135 | X=0108.290-0331.930 | Y=0380.760-0392.000 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1135 | X=0220.630-0294.810 | Y=0398.520-0409.760 | Giáp khu dân cư
P=1135 | X=0108.290-0216.140 | Y=0404.280-0415.520 | Đường tỉnh 773 (Hương
P=1135 | X=0301.800-0382.940 | Y=0406.160-0415.480 | Giáp ranh xã Cẩm
P=1135 | X=0220.630-0296.100 | Y=0410.040-0421.280 | hiện hữu ấp 1 xã
P=1135 | X=0093.380-0104.500 | Y=0411.920-0421.240 | 15
P=1135 | X=0405.260-0430.310 | Y=0411.920-0421.240 | 3.300
P=1135 | X=0453.290-0478.340 | Y=0411.920-0421.240 | 2.300
P=1135 | X=0497.230-0522.280 | Y=0411.920-0421.240 | 2.000
P=1135 | X=0108.290-0146.930 | Y=0415.800-0427.040 | lộ 10 cũ)
P=1135 | X=0301.800-0315.240 | Y=0417.680-0427.000 | Mỹ
P=1135 | X=0220.630-0278.350 | Y=0421.560-0432.800 | Xuân Đường
P=1135 | X=0108.290-0375.830 | Y=0439.320-0450.560 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường tỉnh
P=1135 | X=0108.290-0382.540 | Y=0450.860-0462.100 | 773 (Hương lộ 10 cũ) đoạn từ Giáp khu dân cư hiện hữu ấp 1
P=1135 | X=0108.290-0370.270 | Y=0462.380-0473.620 | xã Xuân Đường đến Giáp ranh xã Cẩm Mỹ có hiện trạng là
P=1135 | X=0093.380-0244.040 | Y=0473.900-0485.340 | 16 đường nhựa, bê tông xi măng:
P=1135 | X=0405.260-0430.310 | Y=0476.020-0485.340 | 1.700
P=1135 | X=0453.290-0478.340 | Y=0476.020-0485.340 | 1.200
P=1135 | X=0497.230-0522.280 | Y=0476.020-0485.340 | 1.000
P=1135 | X=0108.290-0339.370 | Y=0491.420-0502.660 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1135 | X=0108.290-0385.460 | Y=0508.940-0520.180 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=1135 | X=0108.290-0375.830 | Y=0526.460-0537.700 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường tỉnh
P=1135 | X=0108.290-0382.540 | Y=0538.010-0549.250 | 773 (Hương lộ 10 cũ) đoạn từ Giáp khu dân cư hiện hữu ấp 1
P=1135 | X=0108.290-0370.270 | Y=0549.530-0560.770 | xã Xuân Đường đến Giáp ranh xã Cẩm Mỹ có hiện trạng là
P=1135 | X=0108.290-0244.040 | Y=0561.050-0572.290 | đường nhựa, bê tông xi măng:
P=1135 | X=0093.380-0339.840 | Y=0577.810-0589.810 | 17 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1135 | X=0413.660-0430.300 | Y=0577.810-0587.130 | 950
P=1135 | X=0461.690-0478.330 | Y=0577.810-0587.130 | 670
P=1135 | X=0505.630-0522.270 | Y=0577.810-0587.130 | 570
P=1135 | X=0108.290-0361.600 | Y=0596.090-0607.330 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=1135 | X=0108.290-0203.240 | Y=0607.610-0618.850 | >500m đến ≤1.000m.
P=1135 | X=0108.290-0331.460 | Y=0625.150-0636.390 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1135 | X=0108.290-0375.830 | Y=0642.910-0654.150 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường tỉnh
P=1135 | X=0108.290-0382.540 | Y=0654.430-0665.670 | 773 (Hương lộ 10 cũ) đoạn từ Giáp khu dân cư hiện hữu ấp 1
P=1135 | X=0108.290-0370.270 | Y=0665.950-0677.190 | xã Xuân Đường đến Giáp ranh xã Cẩm Mỹ có hiện trạng là
P=1135 | X=0093.380-0244.040 | Y=0676.470-0688.710 | 18 đường nhựa, bê tông xi măng:
P=1135 | X=0413.660-0430.300 | Y=0676.470-0685.790 | 780
P=1135 | X=0461.690-0478.330 | Y=0676.470-0685.790 | 550
P=1135 | X=0505.630-0522.270 | Y=0676.470-0685.790 | 470
P=1135 | X=0108.290-0349.380 | Y=0694.750-0705.990 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=1135 | X=0108.290-0150.430 | Y=0708.180-0717.500 | >1.000m.
P=1136 | X=0108.290-0331.930 | Y=0078.500-0089.740 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1136 | X=0108.290-0381.800 | Y=0096.260-0107.500 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=1136 | X=0108.290-0382.940 | Y=0107.780-0119.020 | ra Đường tỉnh 773 (Hương lộ 10 cũ) đoạn từ Giáp khu dân cư
P=1136 | X=0108.290-0377.020 | Y=0119.330-0130.570 | hiện hữu ấp 1 xã Xuân Đường đến Giáp ranh xã Cẩm Mỹ có
P=1136 | X=0093.380-0301.900 | Y=0130.850-0142.290 | 19 hiện trạng là đường nhựa, bê tông xi măng:
P=1136 | X=0405.260-0430.310 | Y=0132.970-0142.290 | 1.500
P=1136 | X=0453.290-0478.340 | Y=0132.970-0142.290 | 1.100
P=1136 | X=0505.630-0522.270 | Y=0132.970-0142.290 | 900
P=1136 | X=0108.290-0339.370 | Y=0148.370-0159.610 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1136 | X=0108.290-0385.460 | Y=0165.650-0176.890 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=1136 | X=0108.290-0381.800 | Y=0183.410-0194.650 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=1136 | X=0108.290-0382.940 | Y=0194.930-0206.170 | ra Đường tỉnh 773 (Hương lộ 10 cũ) đoạn từ Giáp khu dân cư
P=1136 | X=0108.290-0377.020 | Y=0206.470-0217.710 | hiện hữu ấp 1 xã Xuân Đường đến Giáp ranh xã Cẩm Mỹ có
P=1136 | X=0108.290-0301.940 | Y=0217.990-0229.230 | hiện trạng là đường nhựa, bê tông xi măng:
P=1136 | X=0093.380-0339.840 | Y=0234.750-0246.750 | 20 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1136 | X=0413.660-0430.300 | Y=0234.750-0244.070 | 860
P=1136 | X=0461.690-0478.330 | Y=0234.750-0244.070 | 600
P=1136 | X=0505.630-0522.270 | Y=0234.750-0244.070 | 520
P=1136 | X=0108.290-0361.600 | Y=0253.030-0264.270 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=1136 | X=0108.290-0203.240 | Y=0264.550-0275.790 | >500m đến ≤1.000m.
P=1136 | X=0108.290-0331.460 | Y=0282.100-0293.340 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1136 | X=0108.290-0381.830 | Y=0299.860-0311.100 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=1136 | X=0108.290-0382.940 | Y=0311.380-0322.620 | ra Đường tỉnh 773 (Hương lộ 10 cũ) đoạn từ Giáp khu dân cư
P=1136 | X=0108.290-0377.020 | Y=0322.900-0334.140 | hiện hữu ấp 1 xã Xuân Đường đến Giáp ranh xã Cẩm Mỹ có
P=1136 | X=0108.290-0301.900 | Y=0334.420-0345.660 | hiện trạng là đường nhựa, bê tông xi măng:
P=1136 | X=0093.380-0104.500 | Y=0342.300-0351.620 | 21
P=1136 | X=0413.660-0430.300 | Y=0342.300-0351.620 | 700
P=1136 | X=0461.690-0478.330 | Y=0342.300-0351.620 | 490
P=1136 | X=0505.630-0522.270 | Y=0342.300-0351.620 | 420
P=1136 | X=0108.290-0349.380 | Y=0351.700-0362.940 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=1136 | X=0108.290-0150.430 | Y=0365.100-0374.420 | >1.000m.
P=1136 | X=0108.290-0331.940 | Y=0380.760-0392.000 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1136 | X=0108.290-0217.280 | Y=0398.520-0409.760 | Đường Hương lộ 10 xây
P=1136 | X=0108.290-0214.840 | Y=0411.920-0421.240 | dựng mới tránh sân bay
P=1136 | X=0093.380-0104.500 | Y=0417.680-0427.000 | 22
P=1136 | X=0405.260-0430.310 | Y=0417.680-0427.000 | 6.000
P=1136 | X=0453.290-0478.340 | Y=0417.680-0427.000 | 4.200
P=1136 | X=0497.230-0522.280 | Y=0417.680-0427.000 | 3.600
P=1136 | X=0108.290-0216.790 | Y=0421.560-0432.800 | Long Thành, đoạn thuộc
P=1136 | X=0108.290-0179.670 | Y=0433.080-0444.320 | xã Xuân Đường
P=1136 | X=0108.290-0356.610 | Y=0450.860-0462.100 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường
P=1136 | X=0108.290-0376.060 | Y=0462.380-0473.620 | Hương lộ 10 xây dựng mới tránh sân bay Long Thành, đoạn
P=1136 | X=0108.290-0385.640 | Y=0473.900-0485.140 | thuộc xã Xuân Đường có hiện trạng là đường nhựa, bê tông xi
P=1136 | X=0093.380-0136.290 | Y=0485.420-0496.860 | 23 măng:
P=1136 | X=0405.260-0430.310 | Y=0487.540-0496.860 | 2.900
P=1136 | X=0453.290-0478.340 | Y=0487.540-0496.860 | 2.000
P=1136 | X=0497.230-0522.280 | Y=0487.540-0496.860 | 1.700
P=1136 | X=0108.290-0339.370 | Y=0502.940-0514.180 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1136 | X=0108.290-0385.460 | Y=0520.220-0531.460 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=1136 | X=0108.290-0356.610 | Y=0538.010-0549.250 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường
P=1136 | X=0108.290-0376.070 | Y=0549.530-0560.770 | Hương lộ 10 xây dựng mới tránh sân bay Long Thành, đoạn
P=1136 | X=0108.290-0385.640 | Y=0561.050-0572.290 | thuộc xã Xuân Đường có hiện trạng là đường nhựa, bê tông xi
P=1136 | X=0108.290-0136.290 | Y=0572.570-0583.810 | măng:
P=1136 | X=0093.380-0339.840 | Y=0589.330-0601.330 | 24 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1136 | X=0405.260-0430.310 | Y=0589.330-0598.650 | 2.100
P=1136 | X=0453.290-0478.340 | Y=0589.330-0598.650 | 1.500
P=1136 | X=0497.230-0522.280 | Y=0589.330-0598.650 | 1.300
P=1136 | X=0108.290-0361.600 | Y=0607.610-0618.850 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=1136 | X=0108.290-0203.240 | Y=0619.150-0630.390 | >500m đến ≤1.000m.
P=1136 | X=0108.290-0331.460 | Y=0636.670-0647.910 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1136 | X=0108.290-0356.610 | Y=0654.430-0665.670 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường
P=1136 | X=0108.290-0376.070 | Y=0665.950-0677.190 | Hương lộ 10 xây dựng mới tránh sân bay Long Thành, đoạn
P=1136 | X=0093.380-0385.640 | Y=0677.470-0691.550 | 25 thuộc xã Xuân Đường có hiện trạng là đường nhựa, bê tông xi
P=1136 | X=0405.260-0430.310 | Y=0682.230-0691.550 | 1.500
P=1136 | X=0453.290-0478.340 | Y=0682.230-0691.550 | 1.100
P=1136 | X=0505.630-0522.270 | Y=0682.230-0691.550 | 900
