TABLE=063 | AREA=Phường Phước Bình | SECTION=non-agricultural | SEGMENTS=1
P=1996 | X=0188.230-0253.390 | Y=0102.260-0113.500 | Ngã ba đường
P=1996 | X=0188.230-0353.010 | Y=0113.780-0125.020 | Nguyễn Tất Thành - Ngã ba đường
P=1996 | X=0188.230-0376.940 | Y=0125.330-0136.570 | Đường Thống Nhất Nguyễn Tất Thành -
P=1996 | X=0287.860-0380.150 | Y=0136.850-0148.090 | Đường Thích Quảng
P=1996 | X=0188.230-0272.490 | Y=0138.730-0148.050 | (Ngã ba vòng xoay
P=1996 | X=0107.330-0176.310 | Y=0142.610-0153.850 | Đường Nguyễn
P=1996 | X=0188.230-0373.180 | Y=0148.370-0159.610 | Phước Bình (từ ranh Đức (hết ranh thửa
P=1996 | X=0095.570-0101.170 | Y=0150.250-0159.570 | 4
P=1996 | X=0391.100-0421.670 | Y=0150.250-0159.570 | 13.100
P=1996 | X=0439.130-0464.180 | Y=0150.250-0159.570 | 9.200
P=1996 | X=0497.230-0522.270 | Y=0150.250-0159.570 | 7.900
P=1996 | X=0107.330-0153.010 | Y=0156.010-0165.330 | Tất Thành
P=1996 | X=0188.230-0383.030 | Y=0159.650-0170.890 | thửa đất số 190, tờ đất số 243, tờ bản đồ
P=1996 | X=0188.230-0379.180 | Y=0171.170-0182.410 | bản đồ số 14 và thửa số 14 và thửa đất số
P=1996 | X=0188.230-0388.940 | Y=0182.690-0193.930 | đất số 12, tờ bản đồ 154, tờ bản đồ số 140)
P=1996 | X=0188.230-0221.350 | Y=0196.090-0205.410 | số 140)
P=1996 | X=0188.230-0253.390 | Y=0212.230-0223.470 | Ngã ba đường
P=1996 | X=0287.860-0374.710 | Y=0214.110-0223.430 | Ngã ba Nguyễn Tất
P=1996 | X=0188.230-0356.840 | Y=0223.750-0234.990 | Nguyễn Tất Thành - Thành - Đường
P=1996 | X=0188.230-0385.260 | Y=0235.270-0246.510 | Đường Thích Quảng Nguyễn Thái Học (hết
P=1996 | X=0107.330-0176.310 | Y=0241.030-0252.270 | Đường Nguyễn
P=1996 | X=0188.230-0383.590 | Y=0246.790-0258.030 | Đức (từ ranh thửa đất ranh thửa đất số 283,
P=1996 | X=0095.570-0101.170 | Y=0248.670-0257.990 | 5
P=1996 | X=0396.620-0421.670 | Y=0248.670-0257.990 | 9.400
P=1996 | X=0439.130-0464.180 | Y=0248.670-0257.990 | 6.500
P=1996 | X=0497.230-0522.280 | Y=0248.670-0257.990 | 5.600
P=1996 | X=0107.330-0153.010 | Y=0254.430-0263.750 | Tất Thành
P=1996 | X=0188.230-0371.490 | Y=0258.310-0269.550 | số 240, tờ bản đồ số tờ bản đồ số 14 và
P=1996 | X=0188.230-0373.000 | Y=0269.830-0281.070 | 14 và thửa đất số 62, thửa đất số 270, tờ
P=1996 | X=0188.230-0266.980 | Y=0281.380-0292.620 | tờ bản đồ số 140)
P=1996 | X=0287.860-0354.360 | Y=0281.380-0292.620 | bản đồ số 114)
P=1996 | X=0188.230-0374.710 | Y=0301.260-0310.580 | Ngã ba Nguyễn Tất Ngã ba Nguyễn Tất
P=1996 | X=0188.230-0257.220 | Y=0310.900-0322.140 | Thành - Đường
P=1996 | X=0287.860-0370.770 | Y=0310.900-0322.140 | Thành - Đường bê
P=1996 | X=0107.330-0176.310 | Y=0319.300-0330.540 | Đường Nguyễn
P=1996 | X=0188.230-0367.500 | Y=0324.060-0333.380 | Nguyễn Thái Học (từ tông Khu phố (hết
P=1996 | X=0095.570-0121.890 | Y=0332.700-0344.900 | 6 Tất
P=1996 | X=0188.230-0421.670 | Y=0333.700-0344.940 | ranh thửa đất số 154, ranh thửa đất số 146, 6.800
P=1996 | X=0439.130-0464.180 | Y=0335.580-0344.900 | 4.800
P=1996 | X=0497.230-0522.280 | Y=0335.580-0344.900 | 4.100
P=1996 | X=0188.230-0271.870 | Y=0345.220-0356.460 | tờ bản đồ số 13 và
P=1996 | X=0287.860-0371.490 | Y=0345.220-0356.460 | tờ bản đồ số 16 và
P=1996 | X=0107.330-0135.740 | Y=0350.220-0359.540 | Thành
P=1996 | X=0188.230-0386.860 | Y=0356.740-0367.980 | thửa đất số 271, tờ thửa đất số 24, tờ bản
P=1996 | X=0188.230-0254.740 | Y=0368.280-0379.520 | bản đồ số 114)
P=1996 | X=0287.860-0334.920 | Y=0368.280-0379.520 | đồ số 118)
P=1996 | X=0188.230-0275.070 | Y=0388.160-0397.480 | Ngã ba Nguyễn Tất
P=1996 | X=0188.230-0271.150 | Y=0397.800-0409.040 | Thành - Đường bê
P=1996 | X=0188.230-0286.270 | Y=0411.200-0420.520 | tông Khu phố (từ ranh
P=1996 | X=0107.330-0176.310 | Y=0415.080-0426.320 | Đường Nguyễn
P=1996 | X=0188.230-0421.670 | Y=0420.840-0432.080 | thửa đất số 57, tờ bản Giáp ranh xã Bình Tân 5.800
P=1996 | X=0095.570-0101.170 | Y=0422.720-0432.040 | 7
P=1996 | X=0439.130-0464.180 | Y=0422.720-0432.040 | 4.000
P=1996 | X=0497.230-0522.280 | Y=0422.720-0432.040 | 3.500
P=1996 | X=0107.330-0153.010 | Y=0428.480-0437.800 | Tất Thành
P=1996 | X=0188.230-0280.100 | Y=0432.360-0443.600 | đồ số 16 và thửa đất
P=1996 | X=0188.230-0274.500 | Y=0443.880-0455.120 | số 29, tờ bản đồ số
P=1996 | X=0188.230-0208.150 | Y=0457.300-0466.620 | 118)
P=1996 | X=0188.230-0387.420 | Y=0473.420-0484.660 | Ngã ba Nguyễn Tất Đường Đinh Văn Chất
P=1996 | X=0188.230-0389.110 | Y=0484.940-0496.180 | Thành - Đường p/2 và Đường bê tông (hết
P=1996 | X=0107.330-0378.070 | Y=0496.220-0507.460 | Đường 3 tháng 2 (từ ranh thửa đất số ranh thửa đất số 16,
P=1996 | X=0095.570-0101.170 | Y=0503.860-0513.180 | 8
P=1996 | X=0391.100-0421.670 | Y=0503.860-0513.180 | 12.400
P=1996 | X=0439.130-0464.180 | Y=0503.860-0513.180 | 8.700
P=1996 | X=0497.230-0522.280 | Y=0503.860-0513.180 | 7.400
P=1996 | X=0107.330-0371.490 | Y=0507.740-0518.980 | (Đường ĐT 759) 131, tử bản đồ số 52 tờ bản đồ số 52 và
P=1996 | X=0188.230-0370.830 | Y=0519.260-0530.500 | và thửa đất số 139, tờ Thửa đất số 91, tờ
P=1996 | X=0188.230-0249.220 | Y=0530.780-0542.020 | bản đồ số 53)
P=1996 | X=0287.860-0348.840 | Y=0530.780-0542.020 | bản đồ số 53)
P=1996 | X=0188.230-0263.900 | Y=0548.810-0560.050 | Đường Đinh Văn
P=1996 | X=0287.860-0386.380 | Y=0548.810-0560.050 | Đường Đoàn Nhữ Hài
P=1996 | X=0188.230-0271.150 | Y=0560.330-0571.570 | Chất và Đường bê
P=1996 | X=0287.860-0389.110 | Y=0560.330-0571.570 | và Đường bê tông (hết
P=1996 | X=0107.330-0383.590 | Y=0571.850-0583.090 | Đường 3 tháng 2 tông (từ ranh thửa đất ranh thửa đất số 140,
P=1996 | X=0095.570-0101.170 | Y=0579.490-0588.810 | 9
P=1996 | X=0391.100-0421.670 | Y=0579.490-0588.810 | 10.200
P=1996 | X=0439.130-0464.180 | Y=0579.490-0588.810 | 7.100
P=1996 | X=0497.230-0522.280 | Y=0579.490-0588.810 | 6.100
P=1996 | X=0107.330-0371.490 | Y=0583.370-0594.610 | (Đường ĐT 759) số 170, tờ bản đồ số tờ bản đồ số 11 và
P=1996 | X=0188.230-0386.860 | Y=0594.890-0606.130 | 11 và thửa đất số 14, thửa đất số 25, tờ bản
P=1996 | X=0188.230-0261.460 | Y=0606.410-0617.650 | tờ bản đồ số 52)
P=1996 | X=0287.860-0329.400 | Y=0606.410-0617.650 | đồ số 49)
P=1996 | X=0188.230-0286.740 | Y=0624.430-0635.670 | Đường Đoàn Nhữ Hài
P=1996 | X=0188.230-0386.380 | Y=0635.950-0647.190 | và Đường bê tông (từ Đường Hoàng Lệ Kha
P=1996 | X=0188.230-0381.310 | Y=0647.470-0658.710 | ranh thửa đất số 111, và Đường Tú Xương
P=1996 | X=0107.330-0271.870 | Y=0658.750-0669.990 | Đường 3 tháng 2 tờ bản đồ số 11 và
P=1996 | X=0287.860-0381.340 | Y=0658.750-0669.990 | (hết ranh thửa đất số
P=1996 | X=0092.900-0104.020 | Y=0666.390-0675.710 | 10
P=1996 | X=0396.620-0421.670 | Y=0666.390-0675.710 | 8.000
P=1996 | X=0439.130-0464.180 | Y=0666.390-0675.710 | 5.600
P=1996 | X=0497.230-0522.280 | Y=0666.390-0675.710 | 4.800
P=1996 | X=0107.330-0382.550 | Y=0670.270-0681.510 | (Đường ĐT 759) thửa đất số 22, tờ bản 2, tờ bản đồ số 35 và
P=1996 | X=0188.230-0381.340 | Y=0681.790-0693.030 | đồ số 49 ); không bao thửa đất số 1, tờ bản
P=1996 | X=0188.230-0329.400 | Y=0693.310-0704.550 | gồm thửa đất số 139, đồ số 43)
P=1996 | X=0188.230-0258.180 | Y=0704.850-0716.090 | tờ bản đồ số 11
P=1997 | X=0287.860-0378.680 | Y=0080.620-0089.940 | Khu quy hoạch KDC
P=1997 | X=0188.230-0286.740 | Y=0084.500-0095.740 | Đường Hoàng Lệ Kha
P=1997 | X=0287.860-0376.510 | Y=0090.260-0101.500 | Long Điền và Nghĩa
P=1997 | X=0188.230-0281.660 | Y=0096.020-0107.260 | và Đường Tú Xương
P=1997 | X=0287.860-0369.670 | Y=0101.780-0113.020 | địa Long Điền (hết
P=1997 | X=0107.330-0277.380 | Y=0107.540-0118.780 | Đường 3 tháng 2 (từ ranh thửa đất số
P=1997 | X=0287.860-0384.750 | Y=0113.300-0124.540 | ranh thửa đất số 1, tờ
P=1997 | X=0092.900-0104.020 | Y=0115.180-0124.500 | 11
P=1997 | X=0396.620-0421.670 | Y=0115.180-0124.500 | 5.900
P=1997 | X=0439.130-0464.180 | Y=0115.180-0124.500 | 4.100
P=1997 | X=0497.230-0522.280 | Y=0115.180-0124.500 | 3.500
P=1997 | X=0107.330-0280.500 | Y=0119.090-0130.330 | (Đường ĐT 759) 117, tờ bản đồ số 28
P=1997 | X=0287.860-0377.020 | Y=0124.850-0136.090 | bản đồ số 4 và thửa
P=1997 | X=0188.230-0286.800 | Y=0130.610-0141.850 | và thửa đất số 108, tờ
P=1997 | X=0287.860-0377.510 | Y=0136.370-0147.610 | đất số 11, tờ bản đồ
P=1997 | X=0188.230-0249.220 | Y=0142.130-0153.370 | bản đồ số 28)
P=1997 | X=0287.860-0315.480 | Y=0149.530-0158.850 | số 20)
P=1997 | X=0287.860-0388.520 | Y=0165.650-0176.890 | Ngã ba đường ĐT 759
P=1997 | X=0287.860-0359.240 | Y=0177.170-0188.410 | và Đường nhựa
P=1997 | X=0188.230-0387.130 | Y=0188.690-0199.930 | Khu quy hoạch KDC hướng về Phú Châu +
P=1997 | X=0188.230-0389.400 | Y=0200.230-0211.470 | Long Điền và Nghĩa (Bên trái tuyến + 194m
P=1997 | X=0188.230-0265.810 | Y=0211.750-0222.990 | địa Long Điền (từ
P=1997 | X=0287.860-0384.070 | Y=0211.750-0222.990 | hướng xã Đa Kia (hết
P=1997 | X=0107.330-0174.610 | Y=0217.510-0228.750 | Đường ĐT 759
P=1997 | X=0188.230-0421.670 | Y=0223.270-0234.510 | ranh thửa đất số 59, ranh thửa đất số 249, 2.300
P=1997 | X=0092.900-0104.020 | Y=0225.150-0234.470 | 12
P=1997 | X=0439.130-0464.180 | Y=0225.150-0234.470 | 1.600
P=1997 | X=0497.230-0522.280 | Y=0225.150-0234.470 | 1.400
P=1997 | X=0107.330-0184.580 | Y=0229.030-0240.270 | (Xã Bình Sơn cũ)
P=1997 | X=0188.230-0271.870 | Y=0234.790-0246.030 | tờ bản đồ số 54 và
P=1997 | X=0287.860-0374.850 | Y=0234.790-0246.030 | tờ bản đồ số 87) và
P=1997 | X=0188.230-0378.680 | Y=0246.310-0257.550 | thửa đất số 170, tờ Bên phải tuyến Giáp
P=1997 | X=0188.230-0249.220 | Y=0257.830-0269.070 | bản đồ số 87)
P=1997 | X=0287.860-0375.900 | Y=0257.830-0269.070 | Đường bê tông (hết
P=1997 | X=0287.860-0378.070 | Y=0269.350-0280.590 | ranh thửa đất số 35,
P=1997 | X=0287.860-0364.440 | Y=0280.870-0292.110 | tờ bản đồ số 75))
P=1997 | X=0188.230-0269.540 | Y=0298.900-0310.140 | Ngã ba đường ĐT
P=1997 | X=0188.230-0279.060 | Y=0310.420-0321.660 | 759 và Đường nhựa
P=1997 | X=0188.230-0287.510 | Y=0321.700-0332.940 | hướng về Phú Châu +
P=1997 | X=0287.860-0378.150 | Y=0333.220-0344.460 | Giáp ranh xã Đa Kia
P=1997 | X=0188.230-0262.070 | Y=0335.100-0344.420 | (Bên trái tuyến +
P=1997 | X=0188.230-0381.340 | Y=0344.740-0355.980 | 194m hướng xã Đa (hết ranh thửa đất số
P=1997 | X=0107.330-0174.610 | Y=0350.500-0361.740 | Đường ĐT 759
P=1997 | X=0188.230-0421.670 | Y=0356.260-0367.500 | Kia (từ ranh thửa đất 15, tờ bản đồ số 54 và 1.500
P=1997 | X=0092.900-0104.020 | Y=0358.140-0367.460 | 13
P=1997 | X=0439.130-0464.180 | Y=0358.140-0367.460 | 1.100
P=1997 | X=0505.390-0522.030 | Y=0358.140-0367.460 | 920
P=1997 | X=0107.330-0184.580 | Y=0362.020-0373.260 | (Xã Bình Sơn cũ)
P=1997 | X=0188.230-0386.860 | Y=0367.800-0379.040 | số 33, tờ bản đồ số thửa đất số 16, tờ bản
P=1997 | X=0188.230-0329.400 | Y=0379.320-0390.560 | 54) và Bên phải tuyến đồ số 54)
P=1997 | X=0188.230-0280.030 | Y=0390.840-0402.080 | Giáp Đường bê tông
P=1997 | X=0188.230-0277.380 | Y=0402.360-0413.600 | (từ ranh thửa đất số
P=1997 | X=0188.230-0281.620 | Y=0413.880-0425.120 | 29, tờ bản đồ số 54))
P=1997 | X=0107.330-0187.570 | Y=0431.880-0443.120 | Đường Long Bình
P=1997 | X=0287.860-0385.710 | Y=0431.880-0443.120 | Hết thửa đất số 31, tờ
P=1997 | X=0188.230-0275.050 | Y=0437.640-0448.880 | Ngã ba giao với ĐT
P=1997 | X=0092.900-0184.000 | Y=0443.400-0454.640 | 14 - Bình Sơn (đoạn
P=1997 | X=0287.860-0383.990 | Y=0443.400-0454.640 | bản đồ số 84 của ông
P=1997 | X=0404.780-0421.420 | Y=0445.280-0454.600 | 540
P=1997 | X=0447.290-0463.930 | Y=0445.280-0454.600 | 380
P=1997 | X=0505.390-0522.030 | Y=0445.280-0454.600 | 330
P=1997 | X=0188.230-0204.870 | Y=0451.060-0460.380 | 759
P=1997 | X=0287.860-0371.990 | Y=0454.940-0466.180 | Nguyễn Đình Tuấn
P=1997 | X=0107.330-0116.210 | Y=0456.820-0466.140 | 1)
P=1997 | X=0287.860-0368.570 | Y=0474.820-0484.140 | Giáp ranh xã Bình
P=1997 | X=0107.330-0377.980 | Y=0484.220-0495.460 | Đường Long Bình Hết thửa đất số 31, tờ Tân; hết thửa đất số
P=1997 | X=0092.900-0374.620 | Y=0495.740-0506.980 | 15 - Bình Sơn (đoạn bản đồ số 84 của ông 14, tờ bản đồ số 82
P=1997 | X=0404.780-0421.420 | Y=0497.620-0506.940 | 500
P=1997 | X=0447.290-0463.930 | Y=0497.620-0506.940 | 350
P=1997 | X=0505.390-0522.030 | Y=0497.620-0506.940 | 300
P=1997 | X=0188.230-0272.350 | Y=0507.260-0518.500 | Nguyễn Đình Tuấn
P=1997 | X=0107.330-0116.210 | Y=0509.140-0518.460 | 2)
P=1997 | X=0287.860-0387.820 | Y=0509.140-0518.460 | của ông Hoàng Hoàng
P=1997 | X=0287.860-0306.200 | Y=0520.660-0529.980 | Hào
P=1997 | X=0287.860-0376.300 | Y=0536.810-0548.050 | Đến hết thửa đất số
P=1997 | X=0107.330-0164.070 | Y=0548.330-0559.570 | Đường Long
P=1997 | X=0287.860-0380.140 | Y=0548.330-0559.570 | 01, tờ bản đồ số 107
P=1997 | X=0188.230-0268.940 | Y=0550.210-0559.530 | Giáp ranh xã Bình
P=1997 | X=0092.900-0104.020 | Y=0555.970-0565.290 | 16
P=1997 | X=0404.780-0421.420 | Y=0555.970-0565.290 | 500
P=1997 | X=0447.290-0463.930 | Y=0555.970-0565.290 | 350
P=1997 | X=0505.390-0522.030 | Y=0555.970-0565.290 | 300
P=1997 | X=0107.330-0205.590 | Y=0559.850-0571.090 | Hưng - Bình Sơn Tân
P=1997 | X=0287.860-0363.580 | Y=0561.730-0571.050 | của bà Phạm Thị
P=1997 | X=0287.860-0319.480 | Y=0573.250-0582.570 | Nguyệt
P=1997 | X=0107.330-0160.930 | Y=0589.370-0600.610 | Đường giao
P=1997 | X=0107.330-0187.750 | Y=0600.890-0612.130 | thông đấu nối trục
P=1997 | X=0092.900-0104.020 | Y=0608.530-0617.850 | 17
P=1997 | X=0188.230-0238.500 | Y=0608.530-0617.850 | Toàn tuyến
P=1997 | X=0404.780-0421.420 | Y=0608.530-0617.850 | 540
P=1997 | X=0447.290-0463.930 | Y=0608.530-0617.850 | 380
P=1997 | X=0505.390-0522.030 | Y=0608.530-0617.850 | 330
P=1997 | X=0107.330-0174.610 | Y=0612.410-0623.650 | Đường ĐT 759
P=1997 | X=0107.330-0170.190 | Y=0625.830-0635.150 | phạm vi 200m
P=1997 | X=0287.860-0376.550 | Y=0641.950-0653.190 | Ngã ba giao Đường
P=1997 | X=0287.860-0357.000 | Y=0653.470-0664.710 | Trường Chinh -
P=1997 | X=0188.230-0276.910 | Y=0659.230-0670.470 | Ngã ba giao Đường
P=1997 | X=0287.860-0376.390 | Y=0664.750-0675.990 | Đường Độc lập (hết
P=1997 | X=0092.900-0277.300 | Y=0670.510-0681.750 | 18 Đường Độc Lập Nguyễn Tất Thành -
P=1997 | X=0396.620-0421.670 | Y=0672.390-0681.710 | 8.500
P=1997 | X=0439.130-0464.180 | Y=0672.390-0681.710 | 6.000
P=1997 | X=0497.230-0522.280 | Y=0672.390-0681.710 | 5.100
P=1997 | X=0287.860-0383.590 | Y=0676.270-0687.510 | ranh thửa đất số 683,
P=1997 | X=0188.230-0260.100 | Y=0682.030-0693.270 | Đường Độc Lập
P=1997 | X=0287.860-0371.490 | Y=0687.790-0699.030 | tờ bản đồ số 44 và
P=1997 | X=0287.860-0386.860 | Y=0699.310-0710.550 | thửa đất số 44, tờ bản
P=1998 | X=0287.860-0334.920 | Y=0072.740-0083.980 | đồ số 110)
P=1998 | X=0287.860-0376.550 | Y=0090.740-0101.980 | Ngã ba giao Đường
P=1998 | X=0188.230-0365.740 | Y=0102.260-0113.500 | Ngã ba giao Đường Độc Lập - Đường
P=1998 | X=0188.230-0257.380 | Y=0113.780-0125.020 | Trường Chinh -
P=1998 | X=0287.860-0384.440 | Y=0115.660-0124.980 | Nguyễn Tất Thành và
P=1998 | X=0188.230-0272.290 | Y=0125.330-0136.570 | Đường Độc lập (từ
P=1998 | X=0287.860-0376.550 | Y=0125.330-0136.570 | Ngã ba giao Đường
P=1998 | X=0092.900-0374.140 | Y=0136.850-0148.090 | 19 Đường Độc Lập ranh thửa đất số 682, Độc Lập - Lê Trọng
P=1998 | X=0391.100-0421.670 | Y=0138.730-0148.050 | 10.200
P=1998 | X=0439.130-0464.170 | Y=0138.730-0148.050 | 7.100
P=1998 | X=0497.230-0522.280 | Y=0138.730-0148.050 | 6.100
P=1998 | X=0188.230-0271.870 | Y=0148.370-0159.610 | tờ bản đồ số 44 và
P=1998 | X=0287.860-0388.150 | Y=0148.370-0159.610 | Tấn (hết ranh thửa đất
P=1998 | X=0188.230-0379.660 | Y=0159.650-0170.890 | thửa đất số 37, tờ bản số 156, tờ bản đồ số
P=1998 | X=0188.230-0235.270 | Y=0171.170-0182.410 | đồ số 110)
P=1998 | X=0287.860-0389.070 | Y=0171.170-0182.410 | 31 và thửa đất số 2, tờ
P=1998 | X=0287.860-0354.360 | Y=0182.690-0193.930 | bản đồ số 110)
P=1998 | X=0107.330-0167.810 | Y=0200.710-0211.950 | Đường Phạm
P=1998 | X=0287.860-0371.990 | Y=0200.710-0211.950 | Đường Lý Thường
P=1998 | X=0188.230-0283.860 | Y=0206.470-0217.710 | Giáp Đường Độc Lập
P=1998 | X=0092.900-0104.020 | Y=0208.350-0217.670 | 20
P=1998 | X=0391.100-0421.670 | Y=0208.350-0217.670 | 11.000
P=1998 | X=0439.130-0464.180 | Y=0208.350-0217.670 | 7.700
P=1998 | X=0497.230-0522.280 | Y=0208.350-0217.670 | 6.600
P=1998 | X=0107.330-0131.190 | Y=0214.110-0223.430 | Hùng
P=1998 | X=0287.860-0305.320 | Y=0214.110-0223.430 | Kiệt
P=1998 | X=0107.330-0171.970 | Y=0230.230-0241.470 | Đường Lương
P=1998 | X=0092.900-0104.020 | Y=0237.870-0247.190 | 21
P=1998 | X=0188.230-0238.500 | Y=0237.870-0247.190 | Toàn tuyến
P=1998 | X=0391.100-0421.670 | Y=0237.870-0247.190 | 11.000
P=1998 | X=0439.130-0464.180 | Y=0237.870-0247.190 | 7.700
P=1998 | X=0497.230-0522.280 | Y=0237.870-0247.190 | 6.600
P=1998 | X=0107.330-0149.170 | Y=0241.750-0252.990 | Định Của
P=1998 | X=0107.330-0185.810 | Y=0259.750-0270.990 | Đường Phan Huy
P=1998 | X=0092.900-0104.020 | Y=0267.390-0276.710 | 22
P=1998 | X=0188.230-0238.500 | Y=0267.390-0276.710 | Toàn tuyến
P=1998 | X=0391.100-0421.670 | Y=0267.390-0276.710 | 11.000
P=1998 | X=0439.130-0464.180 | Y=0267.390-0276.710 | 7.700
P=1998 | X=0497.230-0522.280 | Y=0267.390-0276.710 | 6.600
P=1998 | X=0107.330-0120.850 | Y=0273.150-0282.470 | Ích
P=1998 | X=0107.330-0176.310 | Y=0289.300-0300.540 | Đường Nguyễn
P=1998 | X=0092.900-0104.020 | Y=0296.940-0306.260 | 23
