TABLE=004 | AREA=Phường Long Bình | SECTION=non-agricultural | SEGMENTS=1
P=0145 | X=0406.700-0431.750 | Y=0577.570-0586.890 | 4.700
P=0145 | X=0454.010-0479.060 | Y=0577.570-0586.890 | 3.300
P=0145 | X=0497.230-0522.280 | Y=0577.570-0586.890 | 2.800
P=0145 | X=0110.690-0364.000 | Y=0590.090-0601.330 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=0145 | X=0110.690-0197.240 | Y=0601.610-0612.850 | >400m đến ≤600m.
P=0145 | X=0110.690-0333.880 | Y=0619.150-0630.390 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0145 | X=0110.690-0359.010 | Y=0636.910-0648.150 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường
P=0145 | X=0110.690-0385.890 | Y=0648.430-0659.670 | Nguyễn Trường Tộ đoạn từ Quốc lộ 1 đến Đường Hoàng Văn
P=0145 | X=0110.690-0338.170 | Y=0659.950-0671.190 | Bổn có hiện trạng là đường nhựa, bê tông xi măng:
P=0145 | X=0097.490-0103.090 | Y=0667.830-0677.150 | 4
P=0145 | X=0406.700-0431.750 | Y=0667.830-0677.150 | 2.900
P=0145 | X=0454.010-0479.060 | Y=0667.830-0677.150 | 2.000
P=0145 | X=0497.230-0522.280 | Y=0667.830-0677.150 | 1.700
P=0145 | X=0110.690-0388.120 | Y=0677.470-0688.710 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >600m.
P=0145 | X=0110.690-0334.330 | Y=0694.750-0705.990 | - Có bề rộng <3m, cách đường giao thông >200m.
P=0146 | X=0110.690-0384.200 | Y=0078.500-0089.740 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=0146 | X=0110.690-0379.190 | Y=0090.020-0101.260 | ra Đường Nguyễn Trường Tộ đoạn từ Quốc lộ 1 đến Đường
P=0146 | X=0110.690-0360.440 | Y=0101.540-0112.780 | Hoàng Văn Bổn có hiện trạng là đường nhựa, bê tông xi
P=0146 | X=0097.490-0138.690 | Y=0113.060-0124.500 | 5 măng:
P=0146 | X=0406.700-0431.750 | Y=0115.180-0124.500 | 8.100
P=0146 | X=0454.010-0479.060 | Y=0115.180-0124.500 | 5.700
P=0146 | X=0497.230-0522.280 | Y=0115.180-0124.500 | 4.900
P=0146 | X=0110.690-0333.600 | Y=0130.610-0141.850 | - Có bề rộng ≥5m, cách đường giao thông ≤600m.
P=0146 | X=0110.690-0387.880 | Y=0148.130-0159.370 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤400m.
P=0146 | X=0110.690-0384.200 | Y=0165.650-0176.890 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=0146 | X=0110.690-0379.190 | Y=0177.170-0188.410 | ra Đường Nguyễn Trường Tộ đoạn từ Quốc lộ 1 đến Đường
P=0146 | X=0110.690-0360.450 | Y=0188.690-0199.930 | Hoàng Văn Bổn có hiện trạng là đường nhựa, bê tông xi
P=0146 | X=0110.690-0138.690 | Y=0200.230-0211.470 | măng:
P=0146 | X=0097.490-0333.860 | Y=0216.990-0228.990 | 6 - Có bề rộng ≥5m, cách đường giao thông >600m.
P=0146 | X=0406.700-0431.750 | Y=0216.990-0226.310 | 4.200
P=0146 | X=0454.010-0479.060 | Y=0216.990-0226.310 | 2.900
P=0146 | X=0497.230-0522.280 | Y=0216.990-0226.310 | 2.500
P=0146 | X=0110.690-0364.000 | Y=0235.270-0246.510 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=0146 | X=0110.690-0197.240 | Y=0246.790-0258.030 | >400m đến ≤600m.
P=0146 | X=0110.690-0333.860 | Y=0264.310-0275.550 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0146 | X=0110.690-0384.220 | Y=0282.100-0293.340 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=0146 | X=0110.690-0379.190 | Y=0293.620-0304.860 | ra Đường Nguyễn Trường Tộ đoạn từ Quốc lộ 1 đến Đường
P=0146 | X=0110.690-0360.440 | Y=0305.140-0316.380 | Hoàng Văn Bổn có hiện trạng là đường nhựa, bê tông xi
P=0146 | X=0097.490-0138.690 | Y=0316.660-0328.100 | 7 măng:
P=0146 | X=0406.700-0431.750 | Y=0318.780-0328.100 | 2.600
P=0146 | X=0454.010-0479.060 | Y=0318.780-0328.100 | 1.800
P=0146 | X=0497.230-0522.280 | Y=0318.780-0328.100 | 1.600
P=0146 | X=0110.690-0388.120 | Y=0333.940-0345.180 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >600m.
P=0146 | X=0110.690-0336.980 | Y=0351.460-0362.700 | - Có bề rộng <3m, cách đường giao thông > 200m.
P=0146 | X=0219.670-0289.360 | Y=0369.240-0380.480 | Đường Bùi Văn
P=0146 | X=0301.800-0385.170 | Y=0375.000-0386.240 | Đến đường Hoàng
P=0146 | X=0097.490-0292.740 | Y=0380.760-0392.000 | 8 Đường Hoàng Bá Bích Hòa (Quốc lộ 15
P=0146 | X=0401.180-0431.750 | Y=0382.640-0391.960 | 33.000
P=0146 | X=0448.490-0479.060 | Y=0382.640-0391.960 | 23.100
P=0146 | X=0491.710-0522.280 | Y=0382.640-0391.960 | 19.800
P=0146 | X=0301.800-0336.600 | Y=0388.400-0397.720 | Tam Kỳ
P=0146 | X=0219.670-0252.790 | Y=0394.160-0403.480 | nối dài)
P=0146 | X=0110.690-0359.010 | Y=0410.040-0421.280 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường
P=0146 | X=0110.690-0379.180 | Y=0421.560-0432.800 | Hoàng Bá Bích đoạn từ Đường Bùi Văn Hòa (Quốc lộ 15 nối
P=0146 | X=0110.690-0374.140 | Y=0433.080-0444.320 | dài) đến Đến đường Hoàng Tam Kỳ có hiện trạng là đường
P=0146 | X=0097.490-0213.800 | Y=0444.600-0456.040 | 9 nhựa, bê tông xi măng:
P=0146 | X=0401.180-0431.750 | Y=0446.720-0456.040 | 14.000
P=0146 | X=0454.010-0479.060 | Y=0446.720-0456.040 | 9.800
P=0146 | X=0497.230-0522.280 | Y=0446.720-0456.040 | 8.400
P=0146 | X=0110.690-0333.600 | Y=0462.140-0473.380 | - Có bề rộng ≥5m, cách đường giao thông ≤600m.
P=0146 | X=0110.690-0387.880 | Y=0479.660-0490.900 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤400m.
P=0146 | X=0110.690-0359.010 | Y=0497.420-0508.660 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường
P=0146 | X=0110.690-0379.180 | Y=0508.940-0520.180 | Hoàng Bá Bích đoạn từ Đường Bùi Văn Hòa (Quốc lộ 15 nối
P=0146 | X=0110.690-0374.140 | Y=0520.220-0531.460 | dài) đến Đến đường Hoàng Tam Kỳ có hiện trạng là đường
P=0146 | X=0110.690-0213.800 | Y=0531.740-0542.980 | nhựa, bê tông xi măng:
P=0146 | X=0094.820-0333.860 | Y=0548.530-0560.530 | 10 - Có bề rộng ≥5m, cách đường giao thông >600m.
P=0146 | X=0406.700-0431.770 | Y=0548.530-0557.850 | 8.200
P=0146 | X=0454.010-0479.060 | Y=0548.530-0557.850 | 5.700
P=0146 | X=0497.230-0522.280 | Y=0548.530-0557.850 | 4.900
P=0146 | X=0110.690-0364.000 | Y=0566.810-0578.050 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=0146 | X=0110.690-0197.240 | Y=0578.330-0589.570 | >400m đến ≤600m.
P=0146 | X=0110.690-0333.860 | Y=0595.850-0607.090 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0146 | X=0110.690-0359.010 | Y=0613.610-0624.850 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường
P=0146 | X=0110.690-0379.180 | Y=0625.150-0636.390 | Hoàng Bá Bích đoạn từ Đường Bùi Văn Hòa (Quốc lộ 15 nối
P=0146 | X=0110.690-0374.140 | Y=0636.670-0647.910 | dài) đến Đến đường Hoàng Tam Kỳ có hiện trạng là đường
P=0146 | X=0094.820-0213.800 | Y=0648.190-0659.630 | 11 nhựa, bê tông xi măng:
P=0146 | X=0406.700-0431.750 | Y=0650.310-0659.630 | 4.900
P=0146 | X=0454.010-0479.060 | Y=0650.310-0659.630 | 3.400
P=0146 | X=0497.230-0522.280 | Y=0650.310-0659.630 | 2.900
P=0146 | X=0110.690-0388.140 | Y=0665.710-0676.950 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >600m.
P=0146 | X=0110.690-0334.330 | Y=0683.230-0694.470 | - Có bề rộng <3m, cách đường giao thông >200m.
P=0146 | X=0094.820-0384.200 | Y=0700.770-0712.010 | 12 Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=0146 | X=0401.180-0431.750 | Y=0702.660-0711.980 | 12.600
P=0146 | X=0454.010-0479.060 | Y=0702.660-0711.980 | 8.800
P=0146 | X=0497.230-0522.280 | Y=0702.660-0711.980 | 7.600
P=0147 | X=0110.690-0384.860 | Y=0072.500-0083.740 | ra Đường Hoàng Bá Bích đoạn từ Đường Bùi Văn Hòa (Quốc
P=0147 | X=0110.690-0382.050 | Y=0084.020-0095.260 | lộ 15 nối dài) đến Đến đường Hoàng Tam Kỳ có hiện trạng là
P=0147 | X=0110.690-0246.460 | Y=0095.540-0106.780 | đường nhựa, bê tông xi măng:
P=0147 | X=0110.690-0333.600 | Y=0113.060-0124.300 | - Có bề rộng ≥5m, cách đường giao thông ≤600m.
P=0147 | X=0110.690-0387.880 | Y=0130.610-0141.850 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤400m.
P=0147 | X=0110.690-0384.200 | Y=0148.370-0159.610 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=0147 | X=0110.690-0384.860 | Y=0159.650-0170.890 | ra Đường Hoàng Bá Bích đoạn từ Đường Bùi Văn Hòa (Quốc
P=0147 | X=0110.690-0382.050 | Y=0171.170-0182.410 | lộ 15 nối dài) đến Đến đường Hoàng Tam Kỳ có hiện trạng là
P=0147 | X=0110.690-0246.460 | Y=0182.690-0193.930 | đường nhựa, bê tông xi măng:
P=0147 | X=0094.820-0333.860 | Y=0199.470-0211.470 | 13 - Có bề rộng ≥5m, cách đường giao thông >600m.
P=0147 | X=0406.700-0431.750 | Y=0199.470-0208.790 | 7.400
P=0147 | X=0454.010-0479.060 | Y=0199.470-0208.790 | 5.200
P=0147 | X=0497.230-0522.280 | Y=0199.470-0208.790 | 4.400
P=0147 | X=0110.690-0364.000 | Y=0217.750-0228.990 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=0147 | X=0110.690-0197.240 | Y=0229.270-0240.510 | >400m đến ≤600m.
P=0147 | X=0110.690-0333.880 | Y=0246.790-0258.030 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0147 | X=0110.690-0384.200 | Y=0264.550-0275.790 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=0147 | X=0110.690-0384.860 | Y=0276.070-0287.310 | ra Đường Hoàng Bá Bích đoạn từ Đường Bùi Văn Hòa (Quốc
P=0147 | X=0110.690-0382.050 | Y=0287.620-0298.860 | lộ 15 nối dài) đến Đến đường Hoàng Tam Kỳ có hiện trạng là
P=0147 | X=0094.820-0246.460 | Y=0299.140-0310.580 | 14 đường nhựa, bê tông xi măng:
P=0147 | X=0406.700-0431.750 | Y=0301.260-0310.580 | 4.400
P=0147 | X=0454.010-0479.060 | Y=0301.260-0310.580 | 3.100
P=0147 | X=0497.230-0522.280 | Y=0301.260-0310.580 | 2.600
P=0147 | X=0110.690-0388.120 | Y=0316.660-0327.900 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >600m.
P=0147 | X=0110.690-0336.980 | Y=0333.940-0345.180 | - Có bề rộng <3m, cách đường giao thông > 200m.
P=0147 | X=0110.690-0194.770 | Y=0351.700-0362.940 | Đường Thân Nhân
P=0147 | X=0219.670-0300.180 | Y=0351.700-0362.940 | Đường Nguyễn Ái
P=0147 | X=0301.800-0364.740 | Y=0357.460-0368.700 | Suối Săn Máu
P=0147 | X=0094.820-0105.940 | Y=0359.340-0368.660 | 15
P=0147 | X=0401.180-0431.750 | Y=0359.340-0368.660 | 19.000
P=0147 | X=0448.490-0479.060 | Y=0359.340-0368.660 | 13.300
P=0147 | X=0491.710-0522.280 | Y=0359.340-0368.660 | 11.400
P=0147 | X=0110.690-0136.930 | Y=0365.100-0374.420 | Trung
P=0147 | X=0219.670-0243.700 | Y=0365.100-0374.420 | Quốc
P=0147 | X=0110.690-0384.680 | Y=0381.000-0392.240 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Thân
P=0147 | X=0110.690-0373.630 | Y=0392.520-0403.760 | Nhân Trung đoạn từ Đường Nguyễn Ái Quốc đến Suối Săn
P=0147 | X=0110.690-0339.850 | Y=0404.040-0415.280 | Máu có hiện trạng là đường nhựa, bê tông xi măng:
P=0147 | X=0094.820-0105.940 | Y=0411.920-0421.240 | 16
P=0147 | X=0406.700-0431.750 | Y=0411.920-0421.240 | 8.300
P=0147 | X=0454.010-0479.060 | Y=0411.920-0421.240 | 5.800
P=0147 | X=0497.230-0522.280 | Y=0411.920-0421.240 | 5.000
P=0147 | X=0110.690-0333.600 | Y=0421.560-0432.800 | - Có bề rộng ≥5m, cách đường giao thông ≤600m.
P=0147 | X=0110.690-0387.880 | Y=0439.080-0450.320 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤400m.
P=0147 | X=0110.690-0384.680 | Y=0456.860-0468.100 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Thân
P=0147 | X=0110.690-0373.630 | Y=0468.380-0479.620 | Nhân Trung đoạn từ Đường Nguyễn Ái Quốc đến Suối Săn
P=0147 | X=0110.690-0339.850 | Y=0479.900-0491.140 | Máu có hiện trạng là đường nhựa, bê tông xi măng:
P=0147 | X=0094.820-0333.860 | Y=0497.420-0511.500 | 17 - Có bề rộng ≥5m, cách đường giao thông >600m.
P=0147 | X=0406.700-0431.750 | Y=0502.180-0511.500 | 5.000
P=0147 | X=0454.010-0479.060 | Y=0502.180-0511.500 | 3.500
P=0147 | X=0497.230-0522.280 | Y=0502.180-0511.500 | 3.000
P=0147 | X=0110.690-0364.000 | Y=0514.940-0526.180 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=0147 | X=0110.690-0197.240 | Y=0526.220-0537.460 | >400m đến ≤600m.
P=0147 | X=0110.690-0333.860 | Y=0543.770-0555.010 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0147 | X=0110.690-0384.680 | Y=0561.530-0572.770 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Thân
P=0147 | X=0110.690-0373.630 | Y=0573.050-0584.290 | Nhân Trung đoạn từ Đường Nguyễn Ái Quốc đến Suối Săn
P=0147 | X=0110.690-0339.850 | Y=0584.570-0595.810 | Máu có hiện trạng là đường nhựa, bê tông xi măng:
P=0147 | X=0094.820-0105.940 | Y=0592.450-0601.770 | 18
P=0147 | X=0406.700-0431.750 | Y=0592.450-0601.770 | 3.900
P=0147 | X=0454.010-0479.060 | Y=0592.450-0601.770 | 2.700
P=0147 | X=0497.230-0522.280 | Y=0592.450-0601.770 | 2.300
P=0147 | X=0110.690-0388.120 | Y=0602.090-0613.330 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >600m.
P=0147 | X=0110.690-0334.330 | Y=0619.630-0630.870 | - Có bề rộng <3m, cách đường giao thông >200m.
P=0147 | X=0110.690-0384.200 | Y=0637.390-0648.630 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=0147 | X=0110.690-0382.700 | Y=0648.910-0660.150 | ra Đường Thân Nhân Trung đoạn từ Đường Nguyễn Ái Quốc
P=0147 | X=0110.690-0371.980 | Y=0660.430-0671.670 | đến Suối Săn Máu có hiện trạng là đường nhựa, bê tông xi
P=0147 | X=0094.820-0138.690 | Y=0671.950-0683.390 | 19 măng:
P=0147 | X=0406.700-0431.750 | Y=0674.070-0683.390 | 7.500
P=0147 | X=0454.010-0479.060 | Y=0674.070-0683.390 | 5.300
P=0147 | X=0497.230-0522.280 | Y=0674.070-0683.390 | 4.500
P=0147 | X=0110.690-0333.600 | Y=0689.470-0700.710 | - Có bề rộng ≥5m, cách đường giao thông ≤600m.
P=0147 | X=0110.690-0387.880 | Y=0706.770-0718.010 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤400m.
P=0148 | X=0110.690-0384.200 | Y=0078.500-0089.740 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=0148 | X=0110.690-0382.700 | Y=0090.020-0101.260 | ra Đường Thân Nhân Trung đoạn từ Đường Nguyễn Ái Quốc
P=0148 | X=0110.690-0371.950 | Y=0101.540-0112.780 | đến Suối Săn Máu có hiện trạng là đường nhựa, bê tông xi
P=0148 | X=0110.690-0138.690 | Y=0113.060-0124.300 | măng:
P=0148 | X=0094.820-0333.860 | Y=0129.610-0141.850 | 20 - Có bề rộng ≥5m, cách đường giao thông >600m.
P=0148 | X=0406.700-0431.750 | Y=0129.610-0138.930 | 4.500
P=0148 | X=0454.010-0479.060 | Y=0129.610-0138.930 | 3.200
P=0148 | X=0497.230-0522.280 | Y=0129.610-0138.930 | 2.700
P=0148 | X=0110.690-0364.000 | Y=0148.130-0159.370 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=0148 | X=0110.690-0197.240 | Y=0159.410-0170.650 | >400m đến ≤600m.
P=0148 | X=0110.690-0333.860 | Y=0176.930-0188.170 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0148 | X=0110.690-0384.200 | Y=0194.690-0205.930 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=0148 | X=0110.690-0382.700 | Y=0206.230-0217.470 | ra Đường Thân Nhân Trung đoạn từ Đường Nguyễn Ái Quốc
P=0148 | X=0110.690-0371.950 | Y=0217.750-0228.990 | đến Suối Săn Máu có hiện trạng là đường nhựa, bê tông xi
P=0148 | X=0094.820-0138.690 | Y=0229.270-0240.710 | 21 măng:
P=0148 | X=0406.700-0431.750 | Y=0231.390-0240.710 | 3.500
P=0148 | X=0454.010-0479.060 | Y=0231.390-0240.710 | 2.500
P=0148 | X=0497.230-0522.280 | Y=0231.390-0240.710 | 2.100
P=0148 | X=0110.690-0388.120 | Y=0246.790-0258.030 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >600m.
P=0148 | X=0110.690-0336.980 | Y=0264.310-0275.550 | - Có bề rộng <3m, cách đường giao thông > 200m.
P=0148 | X=0219.670-0278.790 | Y=0283.980-0293.300 | Công viên 30
P=0148 | X=0219.670-0300.510 | Y=0295.500-0304.820 | tháng 4 (bên phải:
P=0148 | X=0219.670-0364.040 | Y=0305.140-0316.380 | hẻm Đền Thánh Ranh phường
P=0148 | X=0094.820-0217.990 | Y=0310.900-0322.140 | 22 Đường Nguyễn Ái Quốc
P=0148 | X=0401.180-0431.750 | Y=0312.780-0322.100 | 36.500
P=0148 | X=0448.490-0479.060 | Y=0312.780-0322.100 | 25.600
P=0148 | X=0491.710-0522.280 | Y=0312.780-0322.100 | 21.900
P=0148 | X=0219.670-0282.010 | Y=0318.540-0327.860 | Hiếu; bên trái:
P=0148 | X=0301.800-0347.480 | Y=0318.540-0327.860 | Long Bình
P=0148 | X=0219.670-0297.550 | Y=0329.820-0339.140 | hẻm chợ nhỏ khu
P=0148 | X=0219.670-0248.020 | Y=0341.340-0350.660 | phố 4)
P=0148 | X=0110.690-0359.010 | Y=0357.220-0368.460 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường
P=0148 | X=0110.690-0388.210 | Y=0368.760-0380.000 | Nguyễn Ái Quốc đoạn từ Công viên 30 tháng 4 (bên phải: hẻm
P=0148 | X=0110.690-0383.000 | Y=0380.280-0391.520 | Đền Thánh Hiếu; bên trái: hẻm chợ nhỏ khu phố 4) đến Ranh
P=0148 | X=0110.690-0373.630 | Y=0391.800-0403.040 | phường Long Bình có hiện trạng là đường nhựa, bê tông xi
P=0148 | X=0094.820-0105.940 | Y=0399.680-0409.000 | 23
P=0148 | X=0401.180-0431.750 | Y=0399.680-0409.000 | 17.600
P=0148 | X=0448.490-0479.060 | Y=0399.680-0409.000 | 12.300
P=0148 | X=0491.710-0522.280 | Y=0399.680-0409.000 | 10.600
P=0148 | X=0110.690-0138.690 | Y=0403.320-0414.560 | măng:
P=0148 | X=0110.690-0333.600 | Y=0420.840-0432.080 | - Có bề rộng ≥5m, cách đường giao thông ≤600m.
P=0148 | X=0110.690-0387.880 | Y=0438.360-0449.600 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤400m.
P=0148 | X=0110.690-0359.010 | Y=0456.140-0467.380 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường
P=0148 | X=0110.690-0388.210 | Y=0467.660-0478.900 | Nguyễn Ái Quốc đoạn từ Công viên 30 tháng 4 (bên phải: hẻm
P=0148 | X=0110.690-0383.000 | Y=0479.180-0490.420 | Đền Thánh Hiếu; bên trái: hẻm chợ nhỏ khu phố 4) đến Ranh
P=0148 | X=0110.690-0373.630 | Y=0490.460-0501.700 | phường Long Bình có hiện trạng là đường nhựa, bê tông xi
P=0148 | X=0110.690-0138.690 | Y=0501.980-0513.220 | măng:
P=0148 | X=0094.820-0105.940 | Y=0512.980-0522.300 | 24
P=0148 | X=0401.180-0431.750 | Y=0512.980-0522.300 | 10.800
P=0148 | X=0454.010-0479.060 | Y=0512.980-0522.300 | 7.600
P=0148 | X=0497.230-0522.280 | Y=0512.980-0522.300 | 6.500
P=0148 | X=0110.690-0333.860 | Y=0519.500-0530.740 | - Có bề rộng ≥5m, cách đường giao thông >600m.
P=0148 | X=0110.690-0364.000 | Y=0537.050-0548.290 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=0148 | X=0110.690-0197.240 | Y=0548.570-0559.810 | >400m đến ≤600m.
P=0148 | X=0110.690-0333.860 | Y=0566.090-0577.330 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0148 | X=0110.690-0359.010 | Y=0583.850-0595.090 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường
P=0148 | X=0110.690-0388.210 | Y=0595.370-0606.610 | Nguyễn Ái Quốc đoạn từ Công viên 30 tháng 4 (bên phải: hẻm
P=0148 | X=0110.690-0383.000 | Y=0606.890-0618.130 | Đền Thánh Hiếu; bên trái: hẻm chợ nhỏ khu phố 4) đến Ranh
P=0148 | X=0110.690-0373.630 | Y=0618.430-0629.670 | phường Long Bình có hiện trạng là đường nhựa, bê tông xi
P=0148 | X=0094.820-0105.940 | Y=0626.310-0635.630 | 25
P=0148 | X=0406.700-0431.750 | Y=0626.310-0635.630 | 8.100
P=0148 | X=0454.010-0479.060 | Y=0626.310-0635.630 | 5.700
P=0148 | X=0497.230-0522.280 | Y=0626.310-0635.630 | 4.900
P=0148 | X=0110.690-0138.690 | Y=0629.950-0641.190 | măng:
P=0148 | X=0110.690-0388.120 | Y=0647.470-0658.710 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >600m.
P=0148 | X=0110.690-0334.330 | Y=0664.750-0675.990 | - Có bề rộng <3m, cách đường giao thông >200m.
P=0148 | X=0110.690-0384.200 | Y=0682.510-0693.750 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=0148 | X=0094.820-0387.550 | Y=0694.030-0705.270 | 26 ra Đường Nguyễn Ái Quốc đoạn từ Công viên 30 tháng 4 (bên
P=0148 | X=0401.180-0431.750 | Y=0695.910-0705.230 | 15.800
P=0148 | X=0448.490-0479.060 | Y=0695.910-0705.230 | 11.100
P=0148 | X=0497.230-0522.280 | Y=0695.910-0705.230 | 9.500
P=0148 | X=0110.690-0383.420 | Y=0705.570-0716.810 | phải: hẻm Đền Thánh Hiếu; bên trái: hẻm chợ nhỏ khu phố 4)
