TABLE=018 | AREA=Xã Phước An | SECTION=non-agricultural | SEGMENTS=1
P=0584 | X=0113.570-0382.520 | Y=0544.250-0555.490 | Quách Thị Trang đoạn từ Đường Hà Huy Tập đến Giáp ranh
P=0584 | X=0113.570-0384.980 | Y=0555.770-0567.010 | xã Đại Phước có hiện trạng là đường nhựa, bê tông xi măng:
P=0584 | X=0098.930-0345.120 | Y=0573.290-0587.610 | 3 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=0584 | X=0405.980-0431.030 | Y=0578.290-0587.610 | 2.700
P=0584 | X=0453.770-0478.810 | Y=0578.290-0587.610 | 1.900
P=0584 | X=0497.230-0522.280 | Y=0578.290-0587.610 | 1.600
P=0584 | X=0113.570-0366.880 | Y=0590.810-0602.050 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=0584 | X=0113.570-0208.520 | Y=0602.330-0613.570 | >500m đến ≤1.000m.
P=0584 | X=0113.570-0336.740 | Y=0619.870-0631.110 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0584 | X=0113.570-0361.890 | Y=0637.630-0648.870 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường
P=0584 | X=0113.570-0382.520 | Y=0649.150-0660.390 | Quách Thị Trang đoạn từ Đường Hà Huy Tập đến Giáp ranh
P=0584 | X=0113.570-0384.980 | Y=0660.670-0671.910 | xã Đại Phước có hiện trạng là đường nhựa, bê tông xi măng:
P=0584 | X=0098.930-0104.530 | Y=0674.310-0683.630 | 4
P=0584 | X=0405.980-0431.030 | Y=0674.310-0683.630 | 2.000
P=0584 | X=0453.770-0478.820 | Y=0674.310-0683.630 | 1.400
P=0584 | X=0497.230-0522.280 | Y=0674.310-0683.630 | 1.200
P=0584 | X=0113.570-0354.680 | Y=0678.190-0689.430 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=0584 | X=0113.570-0155.710 | Y=0691.590-0700.910 | >1.000m.
P=0584 | X=0113.570-0337.210 | Y=0707.250-0718.490 | - Có bề rộng <3m, cách đường giao thông >200m.
P=0585 | X=0113.570-0387.080 | Y=0078.500-0089.740 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=0585 | X=0113.570-0382.070 | Y=0090.020-0101.260 | ra Đường Quách Thị Trang đoạn từ Đường Hà Huy Tập đến
P=0585 | X=0113.570-0390.920 | Y=0101.540-0112.780 | Giáp ranh xã Đại Phước có hiện trạng là đường nhựa, bê tông
P=0585 | X=0098.930-0151.400 | Y=0113.060-0124.500 | 5 xi măng:
P=0585 | X=0405.980-0431.030 | Y=0115.180-0124.500 | 3.200
P=0585 | X=0453.770-0478.820 | Y=0115.180-0124.500 | 2.200
P=0585 | X=0497.230-0522.280 | Y=0115.180-0124.500 | 1.900
P=0585 | X=0113.570-0344.650 | Y=0130.610-0141.850 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=0585 | X=0113.570-0390.760 | Y=0148.130-0159.370 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=0585 | X=0113.570-0387.080 | Y=0165.650-0176.890 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=0585 | X=0113.570-0382.070 | Y=0177.170-0188.410 | ra Đường Quách Thị Trang đoạn từ Đường Hà Huy Tập đến
P=0585 | X=0113.570-0390.920 | Y=0188.690-0199.930 | Giáp ranh xã Đại Phước có hiện trạng là đường nhựa, bê tông
P=0585 | X=0113.570-0151.400 | Y=0200.230-0211.470 | xi măng:
P=0585 | X=0098.930-0345.120 | Y=0216.990-0228.990 | 6 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=0585 | X=0405.980-0431.030 | Y=0216.990-0226.310 | 2.400
P=0585 | X=0453.770-0478.820 | Y=0216.990-0226.310 | 1.700
P=0585 | X=0497.230-0522.280 | Y=0216.990-0226.310 | 1.400
P=0585 | X=0113.570-0366.880 | Y=0235.270-0246.510 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=0585 | X=0113.570-0208.520 | Y=0246.790-0258.030 | >500m đến ≤1.000m.
P=0585 | X=0113.570-0336.740 | Y=0264.310-0275.550 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0585 | X=0113.570-0387.080 | Y=0282.100-0293.340 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=0585 | X=0113.570-0382.070 | Y=0293.620-0304.860 | ra Đường Quách Thị Trang đoạn từ Đường Hà Huy Tập đến
P=0585 | X=0113.570-0390.920 | Y=0305.140-0316.380 | Giáp ranh xã Đại Phước có hiện trạng là đường nhựa, bê tông
P=0585 | X=0113.570-0151.400 | Y=0316.660-0327.900 | xi măng:
P=0585 | X=0098.930-0104.530 | Y=0324.540-0333.860 | 7
P=0585 | X=0405.980-0431.030 | Y=0324.540-0333.860 | 1.800
P=0585 | X=0453.770-0478.820 | Y=0324.540-0333.860 | 1.300
P=0585 | X=0497.230-0522.280 | Y=0324.540-0333.860 | 1.100
P=0585 | X=0113.570-0354.680 | Y=0333.940-0345.180 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=0585 | X=0113.570-0155.710 | Y=0347.340-0356.660 | >1.000m.
P=0585 | X=0113.570-0337.210 | Y=0362.980-0374.220 | - Có bề rộng <3m, cách đường giao thông >200m.
P=0585 | X=0304.680-0363.090 | Y=0380.760-0392.000 | Đường Hùng
P=0585 | X=0098.930-0201.030 | Y=0386.520-0397.760 | 8 Đường Võ Văn Tần
P=0585 | X=0223.030-0298.730 | Y=0386.520-0397.760 | Đường Trần Phú
P=0585 | X=0405.980-0431.030 | Y=0388.400-0397.720 | 9.400
P=0585 | X=0453.770-0478.820 | Y=0388.400-0397.720 | 6.600
P=0585 | X=0497.230-0522.280 | Y=0388.400-0397.720 | 5.600
P=0585 | X=0304.680-0335.960 | Y=0392.280-0403.520 | Vương
P=0585 | X=0113.570-0377.010 | Y=0410.040-0421.280 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Võ
P=0585 | X=0113.570-0381.560 | Y=0421.560-0432.800 | Văn Tần đoạn từ Đường Trần Phú đến Đường Hùng Vương
P=0585 | X=0113.570-0320.420 | Y=0433.080-0444.320 | có hiện trạng là đường nhựa, bê tông xi măng:
P=0585 | X=0098.930-0104.530 | Y=0440.960-0450.280 | 9
P=0585 | X=0405.980-0431.030 | Y=0440.960-0450.280 | 3.400
P=0585 | X=0453.770-0478.820 | Y=0440.960-0450.280 | 2.400
P=0585 | X=0497.230-0522.280 | Y=0440.960-0450.280 | 2.000
P=0585 | X=0113.570-0344.650 | Y=0450.620-0461.860 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=0585 | X=0113.570-0390.760 | Y=0468.140-0479.380 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=0585 | X=0113.570-0377.010 | Y=0485.900-0497.140 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Võ
P=0585 | X=0113.570-0381.560 | Y=0497.420-0508.660 | Văn Tần đoạn từ Đường Trần Phú đến Đường Hùng Vương
P=0585 | X=0113.570-0320.420 | Y=0508.940-0520.180 | có hiện trạng là đường nhựa, bê tông xi măng:
P=0585 | X=0096.050-0345.120 | Y=0526.220-0540.540 | 10 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=0585 | X=0405.980-0431.030 | Y=0531.220-0540.540 | 2.600
P=0585 | X=0453.770-0478.820 | Y=0531.220-0540.540 | 1.800
P=0585 | X=0497.230-0522.280 | Y=0531.220-0540.540 | 1.600
P=0585 | X=0113.570-0366.880 | Y=0543.770-0555.010 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=0585 | X=0113.570-0208.520 | Y=0555.290-0566.530 | >500m đến ≤1.000m.
P=0585 | X=0113.570-0336.740 | Y=0572.810-0584.050 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0585 | X=0113.570-0377.010 | Y=0590.570-0601.810 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Võ
P=0585 | X=0113.570-0381.560 | Y=0602.090-0613.330 | Văn Tần đoạn từ Đường Trần Phú đến Đường Hùng Vương
P=0585 | X=0113.570-0320.420 | Y=0613.610-0624.850 | có hiện trạng là đường nhựa, bê tông xi măng:
P=0585 | X=0096.050-0107.170 | Y=0627.270-0636.590 | 11
P=0585 | X=0405.980-0431.030 | Y=0627.270-0636.590 | 1.800
P=0585 | X=0453.770-0478.820 | Y=0627.270-0636.590 | 1.300
P=0585 | X=0497.230-0522.280 | Y=0627.270-0636.590 | 1.100
P=0585 | X=0113.570-0354.680 | Y=0631.150-0642.390 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=0585 | X=0113.570-0155.710 | Y=0644.550-0653.870 | >1.000m.
P=0585 | X=0113.570-0337.210 | Y=0660.190-0671.430 | - Có bề rộng <3m, cách đường giao thông >200m.
P=0585 | X=0113.570-0387.080 | Y=0677.950-0689.190 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=0585 | X=0096.050-0382.070 | Y=0689.470-0700.710 | 12 ra Đường Võ Văn Tần đoạn từ Đường Trần Phú đến Đường
P=0585 | X=0405.980-0431.030 | Y=0691.350-0700.670 | 3.100
P=0585 | X=0453.770-0478.820 | Y=0691.350-0700.670 | 2.200
P=0585 | X=0497.230-0522.280 | Y=0691.350-0700.670 | 1.900
P=0585 | X=0113.570-0381.150 | Y=0700.770-0712.010 | Hùng Vương có hiện trạng là đường nhựa, bê tông xi măng:
P=0586 | X=0113.570-0344.650 | Y=0078.500-0089.740 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=0586 | X=0113.570-0390.780 | Y=0096.020-0107.260 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=0586 | X=0113.570-0387.080 | Y=0113.780-0125.020 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=0586 | X=0113.570-0382.070 | Y=0125.330-0136.570 | ra Đường Võ Văn Tần đoạn từ Đường Trần Phú đến Đường
P=0586 | X=0113.570-0381.150 | Y=0136.850-0148.090 | Hùng Vương có hiện trạng là đường nhựa, bê tông xi măng:
P=0586 | X=0096.050-0345.120 | Y=0154.370-0168.450 | 13 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=0586 | X=0405.980-0431.030 | Y=0159.130-0168.450 | 2.300
P=0586 | X=0453.770-0478.820 | Y=0159.130-0168.450 | 1.600
P=0586 | X=0497.230-0522.280 | Y=0159.130-0168.450 | 1.400
P=0586 | X=0113.570-0366.880 | Y=0171.650-0182.890 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=0586 | X=0113.570-0208.520 | Y=0183.170-0194.410 | >500m đến ≤1.000m.
P=0586 | X=0113.570-0336.740 | Y=0200.710-0211.950 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0586 | X=0113.570-0387.080 | Y=0218.470-0229.710 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=0586 | X=0113.570-0382.070 | Y=0229.990-0241.230 | ra Đường Võ Văn Tần đoạn từ Đường Trần Phú đến Đường
P=0586 | X=0113.570-0381.150 | Y=0241.510-0252.750 | Hùng Vương có hiện trạng là đường nhựa, bê tông xi măng:
P=0586 | X=0096.050-0107.170 | Y=0255.150-0264.470 | 14
P=0586 | X=0405.980-0431.030 | Y=0255.150-0264.470 | 1.600
P=0586 | X=0453.770-0478.820 | Y=0255.150-0264.470 | 1.100
P=0586 | X=0505.390-0522.030 | Y=0255.150-0264.470 | 960
P=0586 | X=0113.570-0354.680 | Y=0259.030-0270.270 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=0586 | X=0113.570-0155.710 | Y=0272.430-0281.750 | >1.000m.
P=0586 | X=0113.570-0337.210 | Y=0288.100-0299.340 | - Có bề rộng <3m, cách đường giao thông >200m.
P=0586 | X=0223.030-0363.090 | Y=0305.860-0317.100 | Giáp ranh xã Đại Đường Hùng
P=0586 | X=0096.050-0201.480 | Y=0311.620-0322.860 | 15 Đường đê Ông Kèo
P=0586 | X=0405.980-0431.030 | Y=0313.500-0322.820 | 5.300
P=0586 | X=0453.770-0478.820 | Y=0313.500-0322.820 | 3.700
P=0586 | X=0497.230-0522.280 | Y=0313.500-0322.820 | 3.200
P=0586 | X=0223.030-0253.780 | Y=0317.380-0328.620 | Phước
P=0586 | X=0304.680-0335.960 | Y=0317.380-0328.620 | Vương
P=0586 | X=0113.570-0375.810 | Y=0335.140-0346.380 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường đê
P=0586 | X=0113.570-0381.820 | Y=0346.660-0357.900 | Ông Kèo đoạn từ Giáp ranh xã Đại Phước đến Đường Hùng
P=0586 | X=0113.570-0354.260 | Y=0357.940-0369.180 | Vương có hiện trạng là đường nhựa, bê tông xi măng:
P=0586 | X=0096.050-0107.170 | Y=0365.820-0375.140 | 16
P=0586 | X=0405.980-0431.030 | Y=0365.820-0375.140 | 2.500
P=0586 | X=0453.770-0478.820 | Y=0365.820-0375.140 | 1.800
P=0586 | X=0497.230-0522.280 | Y=0365.820-0375.140 | 1.500
P=0586 | X=0113.570-0344.650 | Y=0375.480-0386.720 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=0586 | X=0113.570-0390.780 | Y=0393.000-0404.240 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=0586 | X=0113.570-0375.810 | Y=0410.760-0422.000 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường đê
P=0586 | X=0113.570-0381.820 | Y=0422.280-0433.520 | Ông Kèo đoạn từ Giáp ranh xã Đại Phước đến Đường Hùng
P=0586 | X=0113.570-0354.260 | Y=0433.800-0445.040 | Vương có hiện trạng là đường nhựa, bê tông xi măng:
P=0586 | X=0096.050-0345.120 | Y=0451.340-0465.420 | 17 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=0586 | X=0405.980-0431.030 | Y=0456.100-0465.420 | 2.000
P=0586 | X=0453.770-0478.820 | Y=0456.100-0465.420 | 1.400
P=0586 | X=0497.230-0522.280 | Y=0456.100-0465.420 | 1.200
P=0586 | X=0113.570-0366.880 | Y=0468.860-0480.100 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=0586 | X=0113.570-0208.520 | Y=0480.380-0491.620 | >500m đến ≤1.000m.
P=0586 | X=0113.570-0336.740 | Y=0497.900-0509.140 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0586 | X=0113.570-0375.810 | Y=0515.660-0526.900 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường đê
P=0586 | X=0113.570-0381.820 | Y=0527.180-0538.420 | Ông Kèo đoạn từ Giáp ranh xã Đại Phước đến Đường Hùng
P=0586 | X=0113.570-0354.260 | Y=0538.490-0549.730 | Vương có hiện trạng là đường nhựa, bê tông xi măng:
P=0586 | X=0096.050-0107.170 | Y=0552.130-0561.450 | 18
P=0586 | X=0405.980-0431.030 | Y=0552.130-0561.450 | 1.400
P=0586 | X=0461.930-0478.570 | Y=0552.130-0561.450 | 980
P=0586 | X=0505.390-0522.030 | Y=0552.130-0561.450 | 840
P=0586 | X=0113.570-0354.680 | Y=0556.010-0567.250 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=0586 | X=0113.570-0155.710 | Y=0569.410-0578.730 | >1.000m.
P=0586 | X=0113.570-0337.210 | Y=0585.050-0596.290 | - Có bề rộng <3m, cách đường giao thông >200m.
P=0586 | X=0113.570-0387.080 | Y=0602.810-0614.050 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=0586 | X=0113.570-0380.860 | Y=0614.330-0625.570 | ra Đường đê Ông Kèo đoạn từ Giáp ranh xã Đại Phước đến
P=0586 | X=0113.570-0384.670 | Y=0625.870-0637.110 | Đường Hùng Vương có hiện trạng là đường nhựa, bê tông xi
P=0586 | X=0096.050-0141.570 | Y=0637.390-0648.830 | 19 măng:
P=0586 | X=0405.980-0431.030 | Y=0639.510-0648.830 | 2.300
P=0586 | X=0453.770-0478.820 | Y=0639.510-0648.830 | 1.500
P=0586 | X=0497.230-0522.280 | Y=0639.510-0648.830 | 1.400
P=0586 | X=0113.570-0344.650 | Y=0654.910-0666.150 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=0586 | X=0113.570-0390.760 | Y=0672.430-0683.670 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=0586 | X=0113.570-0387.080 | Y=0690.190-0701.430 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=0586 | X=0096.050-0107.170 | Y=0697.830-0707.150 | 20
P=0586 | X=0405.980-0431.030 | Y=0697.830-0707.150 | 1.800
P=0586 | X=0453.770-0478.820 | Y=0697.830-0707.150 | 1.300
P=0586 | X=0497.230-0522.280 | Y=0697.830-0707.150 | 1.100
P=0586 | X=0113.570-0380.860 | Y=0701.730-0712.970 | ra Đường đê Ông Kèo đoạn từ Giáp ranh xã Đại Phước đến
P=0587 | X=0113.570-0384.670 | Y=0072.500-0083.740 | Đường Hùng Vương có hiện trạng là đường nhựa, bê tông xi
P=0587 | X=0113.570-0141.570 | Y=0084.020-0095.260 | măng:
P=0587 | X=0113.570-0345.120 | Y=0101.540-0112.780 | - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=0587 | X=0113.570-0366.880 | Y=0119.090-0130.330 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=0587 | X=0113.570-0208.520 | Y=0130.610-0141.850 | >500m đến ≤1.000m.
P=0587 | X=0113.570-0336.740 | Y=0148.130-0159.370 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0587 | X=0113.570-0387.080 | Y=0165.650-0176.890 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=0587 | X=0113.570-0380.860 | Y=0177.170-0188.410 | ra Đường đê Ông Kèo đoạn từ Giáp ranh xã Đại Phước đến
P=0587 | X=0113.570-0384.670 | Y=0188.690-0199.930 | Đường Hùng Vương có hiện trạng là đường nhựa, bê tông xi
P=0587 | X=0113.570-0141.570 | Y=0200.230-0211.470 | măng:
P=0587 | X=0096.050-0107.170 | Y=0208.110-0217.430 | 21
P=0587 | X=0405.980-0431.030 | Y=0208.110-0217.430 | 1.300
P=0587 | X=0461.930-0478.570 | Y=0208.110-0217.430 | 910
P=0587 | X=0505.390-0522.030 | Y=0208.110-0217.430 | 780
P=0587 | X=0113.570-0354.680 | Y=0217.750-0228.990 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=0587 | X=0113.570-0155.710 | Y=0231.150-0240.470 | >1.000m.
P=0587 | X=0113.570-0337.210 | Y=0246.790-0258.030 | - Có bề rộng <3m, cách đường giao thông >200m.
P=0587 | X=0113.570-0196.450 | Y=0264.550-0275.790 | Đường Phạm Thái
P=0587 | X=0223.030-0281.470 | Y=0264.550-0275.790 | Đường Hùng
P=0587 | X=0304.680-0389.900 | Y=0264.550-0275.790 | Hết ranh xã Phước
P=0587 | X=0096.050-0107.170 | Y=0272.190-0281.510 | 22
P=0587 | X=0405.980-0431.030 | Y=0272.190-0281.510 | 8.100
P=0587 | X=0453.770-0478.820 | Y=0272.190-0281.510 | 5.700
P=0587 | X=0497.230-0522.280 | Y=0272.190-0281.510 | 4.900
P=0587 | X=0113.570-0144.850 | Y=0276.070-0287.310 | Bường
P=0587 | X=0223.030-0254.310 | Y=0276.070-0287.310 | Vương
P=0587 | X=0304.680-0317.000 | Y=0277.950-0287.270 | An
P=0587 | X=0113.570-0390.860 | Y=0293.860-0305.100 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Phạm
P=0587 | X=0113.570-0373.390 | Y=0305.380-0316.620 | Thái Bường đoạn từ Đường Hùng Vương đến Hết ranh xã
P=0587 | X=0113.570-0368.420 | Y=0316.900-0328.140 | Phước An có hiện trạng là đường nhựa, bê tông xi măng:
P=0587 | X=0096.050-0107.170 | Y=0324.780-0334.100 | 23
P=0587 | X=0405.980-0431.030 | Y=0324.780-0334.100 | 3.200
P=0587 | X=0453.770-0478.820 | Y=0324.780-0334.100 | 2.200
P=0587 | X=0497.230-0522.280 | Y=0324.780-0334.100 | 1.900
P=0587 | X=0113.570-0344.650 | Y=0334.420-0345.660 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=0587 | X=0113.570-0390.760 | Y=0351.700-0362.940 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=0587 | X=0113.570-0390.860 | Y=0369.480-0380.720 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Phạm
P=0587 | X=0113.570-0373.390 | Y=0381.000-0392.240 | Thái Bường đoạn từ Đường Hùng Vương đến Hết ranh xã
P=0587 | X=0113.570-0368.420 | Y=0392.520-0403.760 | Phước An có hiện trạng là đường nhựa, bê tông xi măng:
P=0587 | X=0096.050-0345.120 | Y=0410.040-0424.360 | 24 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=0587 | X=0405.980-0431.030 | Y=0415.040-0424.360 | 2.600
P=0587 | X=0453.770-0478.820 | Y=0415.040-0424.360 | 1.800
P=0587 | X=0497.230-0522.280 | Y=0415.040-0424.360 | 1.600
P=0587 | X=0113.570-0366.880 | Y=0427.560-0438.800 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=0587 | X=0113.570-0208.520 | Y=0439.080-0450.320 | >500m đến ≤1.000m.
P=0587 | X=0113.570-0336.740 | Y=0456.620-0467.860 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0587 | X=0113.570-0390.860 | Y=0474.380-0485.620 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Phạm
P=0587 | X=0113.570-0373.390 | Y=0485.900-0497.140 | Thái Bường đoạn từ Đường Hùng Vương đến Hết ranh xã
P=0587 | X=0113.570-0368.420 | Y=0497.420-0508.660 | Phước An có hiện trạng là đường nhựa, bê tông xi măng:
P=0587 | X=0096.050-0107.170 | Y=0511.060-0520.380 | 25
P=0587 | X=0405.980-0431.030 | Y=0511.060-0520.380 | 2.000
P=0587 | X=0453.770-0478.820 | Y=0511.060-0520.380 | 1.400
P=0587 | X=0497.230-0522.280 | Y=0511.060-0520.380 | 1.200
P=0587 | X=0113.570-0354.680 | Y=0514.940-0526.180 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=0587 | X=0113.570-0155.710 | Y=0528.100-0537.420 | >1.000m.
P=0587 | X=0113.570-0337.210 | Y=0543.770-0555.010 | - Có bề rộng <3m, cách đường giao thông >200m.
P=0587 | X=0113.570-0387.080 | Y=0561.530-0572.770 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=0587 | X=0113.570-0374.130 | Y=0573.050-0584.290 | ra Đường Phạm Thái Bường đoạn từ Đường Hùng Vương
P=0587 | X=0113.570-0379.900 | Y=0584.570-0595.810 | đến Hết ranh xã Phước An có hiện trạng là đường nhựa, bê
P=0587 | X=0096.050-0173.730 | Y=0596.090-0607.530 | 26 tông xi măng:
P=0587 | X=0405.980-0431.030 | Y=0598.210-0607.530 | 2.900
P=0587 | X=0453.770-0478.820 | Y=0598.210-0607.530 | 2.000
P=0587 | X=0497.230-0522.280 | Y=0598.210-0607.530 | 1.700
P=0587 | X=0113.570-0344.650 | Y=0613.610-0624.850 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=0587 | X=0113.570-0390.760 | Y=0631.150-0642.390 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=0587 | X=0113.570-0387.080 | Y=0648.910-0660.150 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=0587 | X=0113.570-0374.130 | Y=0660.430-0671.670 | ra Đường Phạm Thái Bường đoạn từ Đường Hùng Vương
P=0587 | X=0096.050-0379.900 | Y=0671.950-0686.030 | 27 đến Hết ranh xã Phước An có hiện trạng là đường nhựa, bê
P=0587 | X=0405.980-0431.030 | Y=0676.710-0686.030 | 2.300
P=0587 | X=0453.770-0478.820 | Y=0676.710-0686.030 | 1.600
P=0587 | X=0497.230-0522.280 | Y=0676.710-0686.030 | 1.400
P=0587 | X=0113.570-0173.730 | Y=0683.470-0694.710 | tông xi măng:
