TABLE=029 | AREA=Xã Xuân Định | SECTION=non-agricultural | SEGMENTS=1
P=1060 | X=0106.850-0391.430 | Y=0165.650-0176.890 | Các tuyến đường giao thông đấu nối trực tiếp ra Quốc lộ 1 đoạn
P=1060 | X=0106.850-0392.630 | Y=0177.170-0188.410 | từ Giáp ranh phường Hàng Gòn đến Hết công ty Intimex có hiện
P=1060 | X=0106.850-0278.630 | Y=0188.690-0199.930 | trạng là đường nhựa, bê tông xi măng:
P=1060 | X=0095.570-0101.170 | Y=0196.570-0205.890 | 4
P=1060 | X=0423.050-0439.690 | Y=0196.570-0205.890 | 800
P=1060 | X=0459.290-0475.930 | Y=0196.570-0205.890 | 560
P=1060 | X=0505.390-0522.030 | Y=0196.570-0205.890 | 480
P=1060 | X=0106.850-0392.640 | Y=0206.230-0217.470 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >1.000m.
P=1060 | X=0106.850-0330.490 | Y=0223.750-0234.990 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1060 | X=0106.850-0392.110 | Y=0241.510-0252.750 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=1060 | X=0106.850-0393.480 | Y=0253.030-0264.270 | Quốc lộ 1 đoạn từ Giáp ranh phường Hàng Gòn đến Hết công ty
P=1060 | X=0106.850-0348.740 | Y=0264.550-0275.790 | Intimex có hiện trạng là đường nhựa, bê tông xi măng:
P=1060 | X=0095.570-0101.170 | Y=0272.430-0281.750 | 5
P=1060 | X=0414.860-0439.910 | Y=0272.430-0281.750 | 1.500
P=1060 | X=0451.130-0476.170 | Y=0272.430-0281.750 | 1.100
P=1060 | X=0505.390-0522.030 | Y=0272.430-0281.750 | 900
P=1060 | X=0106.850-0337.930 | Y=0282.100-0293.340 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1060 | X=0106.850-0384.020 | Y=0299.620-0310.860 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=1060 | X=0106.850-0392.110 | Y=0317.380-0328.620 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=1060 | X=0106.850-0393.480 | Y=0328.900-0340.140 | Quốc lộ 1 đoạn từ Giáp ranh phường Hàng Gòn đến Hết công ty
P=1060 | X=0106.850-0348.740 | Y=0340.420-0351.660 | Intimex có hiện trạng là đường nhựa, bê tông xi măng:
P=1060 | X=0095.570-0338.400 | Y=0357.700-0372.020 | 6 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1060 | X=0423.050-0439.690 | Y=0362.700-0372.020 | 900
P=1060 | X=0459.290-0475.930 | Y=0362.700-0372.020 | 630
P=1060 | X=0505.390-0522.030 | Y=0362.700-0372.020 | 540
P=1060 | X=0106.850-0393.740 | Y=0375.240-0386.480 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >500m
P=1060 | X=0106.850-0167.970 | Y=0386.760-0398.000 | đến ≤1.000m.
P=1060 | X=0106.850-0330.020 | Y=0404.280-0415.520 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1060 | X=0106.850-0392.110 | Y=0422.040-0433.280 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=1060 | X=0106.850-0393.480 | Y=0433.560-0444.800 | Quốc lộ 1 đoạn từ Giáp ranh phường Hàng Gòn đến Hết công ty
P=1060 | X=0106.850-0348.740 | Y=0445.080-0456.320 | Intimex có hiện trạng là đường nhựa, bê tông xi măng:
P=1060 | X=0095.570-0101.170 | Y=0452.980-0462.300 | 7
P=1060 | X=0423.050-0439.690 | Y=0452.980-0462.300 | 720
P=1060 | X=0459.290-0475.930 | Y=0452.980-0462.300 | 500
P=1060 | X=0505.390-0522.030 | Y=0452.980-0462.300 | 430
P=1060 | X=0106.850-0392.640 | Y=0462.620-0473.860 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >1.000m.
P=1060 | X=0106.850-0330.490 | Y=0480.140-0491.380 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1060 | X=0310.440-0386.150 | Y=0497.900-0509.140 | Điểm qua đường
P=1060 | X=0228.100-0278.960 | Y=0505.540-0514.860 | Hết công ty
P=1060 | X=0310.440-0399.070 | Y=0509.420-0520.660 | vào tu viện Đa Minh
P=1060 | X=0095.570-0149.890 | Y=0511.300-0520.620 | 8 Quốc lộ 1
P=1060 | X=0414.860-0439.910 | Y=0511.300-0520.620 | 4.400
P=1060 | X=0451.130-0476.180 | Y=0511.300-0520.620 | 3.100
P=1060 | X=0497.230-0522.280 | Y=0511.300-0520.620 | 2.600
P=1060 | X=0228.100-0260.250 | Y=0517.060-0526.380 | Intimex
P=1060 | X=0310.440-0329.880 | Y=0522.820-0532.140 | 60m
P=1060 | X=0106.850-0391.430 | Y=0538.490-0549.730 | Các tuyến đường giao thông đấu nối trực tiếp ra Quốc lộ 1 đoạn
P=1060 | X=0106.850-0394.020 | Y=0550.010-0561.250 | từ Hết công ty Intimex đến Điểm qua đường vào tu viện Đa Minh
P=1060 | X=0106.850-0336.010 | Y=0561.530-0572.770 | 60m có hiện trạng là đường nhựa, bê tông xi măng:
P=1060 | X=0095.570-0101.170 | Y=0569.410-0578.730 | 9
P=1060 | X=0414.860-0439.910 | Y=0569.410-0578.730 | 1.700
P=1060 | X=0451.130-0476.180 | Y=0569.410-0578.730 | 1.200
P=1060 | X=0497.230-0522.280 | Y=0569.410-0578.730 | 1.000
P=1060 | X=0106.850-0337.930 | Y=0579.050-0590.290 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1060 | X=0106.850-0384.040 | Y=0596.570-0607.810 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=1060 | X=0106.850-0391.430 | Y=0614.330-0625.570 | Các tuyến đường giao thông đấu nối trực tiếp ra Quốc lộ 1 đoạn
P=1060 | X=0106.850-0394.020 | Y=0625.870-0637.110 | từ Hết công ty Intimex đến Điểm qua đường vào tu viện Đa Minh
P=1060 | X=0106.850-0336.010 | Y=0637.390-0648.630 | 60m có hiện trạng là đường nhựa, bê tông xi măng:
P=1060 | X=0092.900-0338.430 | Y=0654.910-0668.990 | 10 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1060 | X=0414.860-0439.910 | Y=0659.670-0668.990 | 1.000
P=1060 | X=0459.290-0475.930 | Y=0659.670-0668.990 | 700
P=1060 | X=0505.390-0522.030 | Y=0659.670-0668.990 | 600
P=1060 | X=0106.850-0393.740 | Y=0672.430-0683.670 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >500m
P=1060 | X=0106.850-0167.970 | Y=0683.950-0695.190 | đến ≤1.000m.
P=1060 | X=0106.850-0330.020 | Y=0701.490-0712.730 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1061 | X=0106.850-0391.430 | Y=0078.500-0089.740 | Các tuyến đường giao thông đấu nối trực tiếp ra Quốc lộ 1 đoạn
P=1061 | X=0106.850-0394.020 | Y=0090.020-0101.260 | từ Hết công ty Intimex đến Điểm qua đường vào tu viện Đa Minh
P=1061 | X=0106.850-0336.010 | Y=0101.540-0112.780 | 60m có hiện trạng là đường nhựa, bê tông xi măng:
P=1061 | X=0092.900-0104.020 | Y=0109.420-0118.740 | 11
P=1061 | X=0423.050-0439.690 | Y=0109.420-0118.740 | 800
P=1061 | X=0459.290-0475.930 | Y=0109.420-0118.740 | 560
P=1061 | X=0505.390-0522.030 | Y=0109.420-0118.740 | 480
P=1061 | X=0106.850-0392.640 | Y=0119.090-0130.330 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >1.000m.
P=1061 | X=0106.850-0330.490 | Y=0136.610-0147.850 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1061 | X=0106.850-0392.110 | Y=0154.370-0165.610 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=1061 | X=0106.850-0392.150 | Y=0165.650-0176.890 | Quốc lộ 1 đoạn từ Hết công ty Intimex đến Điểm qua đường vào
P=1061 | X=0106.850-0377.480 | Y=0177.170-0188.410 | tu viện Đa Minh 60m có hiện trạng là đường nhựa, bê tông xi
P=1061 | X=0092.900-0134.850 | Y=0188.690-0200.130 | 12 măng:
P=1061 | X=0414.860-0439.910 | Y=0190.810-0200.130 | 1.500
P=1061 | X=0451.130-0476.180 | Y=0190.810-0200.130 | 1.100
P=1061 | X=0505.390-0522.030 | Y=0190.810-0200.130 | 900
P=1061 | X=0106.850-0337.930 | Y=0206.230-0217.470 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1061 | X=0106.850-0384.020 | Y=0223.750-0234.990 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=1061 | X=0106.850-0392.110 | Y=0241.510-0252.750 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=1061 | X=0106.850-0392.150 | Y=0253.030-0264.270 | Quốc lộ 1 đoạn từ Hết công ty Intimex đến Điểm qua đường vào
P=1061 | X=0106.850-0377.480 | Y=0264.550-0275.790 | tu viện Đa Minh 60m có hiện trạng là đường nhựa, bê tông xi
P=1061 | X=0106.850-0134.850 | Y=0276.070-0287.310 | măng:
P=1061 | X=0092.900-0338.400 | Y=0292.620-0304.860 | 13 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1061 | X=0423.050-0439.690 | Y=0292.620-0301.940 | 900
P=1061 | X=0459.290-0475.930 | Y=0292.620-0301.940 | 630
P=1061 | X=0505.390-0522.030 | Y=0292.620-0301.940 | 540
P=1061 | X=0106.850-0393.740 | Y=0311.140-0322.380 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >500m
P=1061 | X=0106.850-0167.970 | Y=0322.660-0333.900 | đến ≤1.000m.
P=1061 | X=0106.850-0330.020 | Y=0339.940-0351.180 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1061 | X=0106.850-0392.110 | Y=0357.700-0368.940 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=1061 | X=0106.850-0392.150 | Y=0369.240-0380.480 | Quốc lộ 1 đoạn từ Hết công ty Intimex đến Điểm qua đường vào
P=1061 | X=0106.850-0377.480 | Y=0380.760-0392.000 | tu viện Đa Minh 60m có hiện trạng là đường nhựa, bê tông xi
P=1061 | X=0092.900-0134.850 | Y=0392.280-0403.720 | 14 măng:
P=1061 | X=0423.050-0439.690 | Y=0394.400-0403.720 | 720
P=1061 | X=0459.290-0475.930 | Y=0394.400-0403.720 | 500
P=1061 | X=0505.390-0522.030 | Y=0394.400-0403.720 | 430
P=1061 | X=0106.850-0392.640 | Y=0409.800-0421.040 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >1.000m.
P=1061 | X=0106.850-0330.490 | Y=0427.320-0438.560 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1061 | X=0228.100-0303.810 | Y=0445.080-0456.320 | Điểm qua đường
P=1061 | X=0310.440-0389.500 | Y=0452.740-0462.060 | Ranh xã Bảo Hòa
P=1061 | X=0228.100-0292.260 | Y=0456.620-0467.860 | vào tu viện Đa
P=1061 | X=0092.900-0149.890 | Y=0458.500-0467.820 | 15 Quốc lộ 1
P=1061 | X=0414.860-0439.910 | Y=0458.500-0467.820 | 3.900
P=1061 | X=0451.130-0476.180 | Y=0458.500-0467.820 | 2.700
P=1061 | X=0497.230-0522.280 | Y=0458.500-0467.820 | 2.300
P=1061 | X=0310.440-0321.080 | Y=0462.380-0473.620 | cũ
P=1061 | X=0228.100-0272.010 | Y=0470.020-0479.340 | Minh 60m
P=1061 | X=0106.850-0391.430 | Y=0485.900-0497.140 | Các tuyến đường giao thông đấu nối trực tiếp ra Quốc lộ 1 đoạn
P=1061 | X=0106.850-0388.300 | Y=0497.420-0508.660 | từ Điểm qua đường vào tu viện Đa Minh 60m đến Ranh xã Bảo
P=1061 | X=0106.850-0348.250 | Y=0508.940-0520.180 | Hòa cũ có hiện trạng là đường nhựa, bê tông xi măng:
P=1061 | X=0092.900-0104.050 | Y=0516.820-0526.140 | 16
P=1061 | X=0414.860-0439.910 | Y=0516.820-0526.140 | 1.700
P=1061 | X=0451.130-0476.180 | Y=0516.820-0526.140 | 1.200
P=1061 | X=0497.230-0522.280 | Y=0516.820-0526.140 | 1.000
P=1061 | X=0106.850-0337.930 | Y=0526.220-0537.460 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1061 | X=0106.850-0384.020 | Y=0543.770-0555.010 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=1061 | X=0106.850-0391.430 | Y=0561.530-0572.770 | Các tuyến đường giao thông đấu nối trực tiếp ra Quốc lộ 1 đoạn
P=1061 | X=0106.850-0388.300 | Y=0573.050-0584.290 | từ Điểm qua đường vào tu viện Đa Minh 60m đến Ranh xã Bảo
P=1061 | X=0106.850-0348.250 | Y=0584.570-0595.810 | Hòa cũ có hiện trạng là đường nhựa, bê tông xi măng:
P=1061 | X=0092.900-0338.410 | Y=0602.090-0616.410 | 17 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1061 | X=0414.860-0439.910 | Y=0607.090-0616.410 | 1.000
P=1061 | X=0459.290-0475.930 | Y=0607.090-0616.410 | 700
P=1061 | X=0505.390-0522.030 | Y=0607.090-0616.410 | 600
P=1061 | X=0106.850-0393.740 | Y=0619.630-0630.870 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >500m
P=1061 | X=0106.850-0167.970 | Y=0631.150-0642.390 | đến ≤1.000m.
P=1061 | X=0106.850-0330.020 | Y=0648.670-0659.910 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1061 | X=0106.850-0391.430 | Y=0666.430-0677.670 | Các tuyến đường giao thông đấu nối trực tiếp ra Quốc lộ 1 đoạn
P=1061 | X=0106.850-0388.300 | Y=0677.950-0689.190 | từ Điểm qua đường vào tu viện Đa Minh 60m đến Ranh xã Bảo
P=1061 | X=0092.900-0348.250 | Y=0688.470-0700.710 | 18 Hòa cũ có hiện trạng là đường nhựa, bê tông xi măng:
P=1061 | X=0423.050-0439.690 | Y=0688.470-0697.790 | 800
P=1061 | X=0459.290-0475.930 | Y=0688.470-0697.790 | 560
P=1061 | X=0505.390-0522.030 | Y=0688.470-0697.790 | 480
P=1061 | X=0106.850-0392.640 | Y=0706.770-0718.010 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >1.000m.
P=1062 | X=0106.850-0330.490 | Y=0078.500-0089.740 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1062 | X=0106.850-0392.140 | Y=0096.260-0107.500 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=1062 | X=0106.850-0398.150 | Y=0107.780-0119.020 | Quốc lộ 1 đoạn từ Điểm qua đường vào tu viện Đa Minh 60m đến
P=1062 | X=0106.850-0378.200 | Y=0119.330-0130.570 | Ranh xã Bảo Hòa cũ có hiện trạng là đường nhựa, bê tông xi
P=1062 | X=0092.900-0134.850 | Y=0130.850-0142.290 | 19 măng:
P=1062 | X=0414.860-0439.910 | Y=0132.970-0142.290 | 1.500
P=1062 | X=0451.130-0476.180 | Y=0132.970-0142.290 | 1.100
P=1062 | X=0505.390-0522.030 | Y=0132.970-0142.290 | 900
P=1062 | X=0106.850-0337.930 | Y=0148.370-0159.610 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1062 | X=0106.850-0384.020 | Y=0165.650-0176.890 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=1062 | X=0106.850-0392.110 | Y=0183.410-0194.650 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=1062 | X=0106.850-0398.150 | Y=0194.930-0206.170 | Quốc lộ 1 đoạn từ Điểm qua đường vào tu viện Đa Minh 60m đến
P=1062 | X=0106.850-0378.200 | Y=0206.470-0217.710 | Ranh xã Bảo Hòa cũ có hiện trạng là đường nhựa, bê tông xi
P=1062 | X=0106.850-0134.850 | Y=0217.990-0229.230 | măng:
P=1062 | X=0092.900-0338.400 | Y=0234.750-0246.750 | 20 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1062 | X=0423.050-0439.690 | Y=0234.750-0244.070 | 900
P=1062 | X=0459.290-0475.930 | Y=0234.750-0244.070 | 630
P=1062 | X=0505.390-0522.030 | Y=0234.750-0244.070 | 540
P=1062 | X=0106.850-0393.740 | Y=0253.030-0264.270 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >500m
P=1062 | X=0106.850-0167.970 | Y=0264.550-0275.790 | đến ≤1.000m.
P=1062 | X=0106.850-0330.020 | Y=0282.100-0293.340 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1062 | X=0106.850-0392.110 | Y=0299.860-0311.100 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=1062 | X=0106.850-0398.150 | Y=0311.380-0322.620 | Quốc lộ 1 đoạn từ Điểm qua đường vào tu viện Đa Minh 60m đến
P=1062 | X=0106.850-0378.200 | Y=0322.900-0334.140 | Ranh xã Bảo Hòa cũ có hiện trạng là đường nhựa, bê tông xi
P=1062 | X=0092.900-0134.850 | Y=0334.420-0345.860 | 21 măng:
P=1062 | X=0423.050-0439.690 | Y=0336.540-0345.860 | 720
P=1062 | X=0459.290-0475.930 | Y=0336.540-0345.860 | 500
P=1062 | X=0505.390-0522.030 | Y=0336.540-0345.860 | 430
P=1062 | X=0106.850-0392.640 | Y=0351.700-0362.940 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >1.000m.
P=1062 | X=0106.850-0330.490 | Y=0369.240-0380.480 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1062 | X=0228.100-0388.310 | Y=0388.880-0398.200 | Ranh xã Bảo Hòa Hết giáo xứ Xuân
P=1062 | X=0092.900-0149.890 | Y=0394.640-0403.960 | 22 Quốc lộ 1
P=1062 | X=0414.860-0439.910 | Y=0394.640-0403.960 | 4.100
P=1062 | X=0451.130-0476.180 | Y=0394.640-0403.960 | 2.900
P=1062 | X=0497.230-0522.280 | Y=0394.640-0403.960 | 2.500
P=1062 | X=0228.100-0238.740 | Y=0398.520-0409.760 | cũ
P=1062 | X=0310.440-0331.150 | Y=0400.400-0409.720 | Bình
P=1062 | X=0106.850-0391.430 | Y=0416.280-0427.520 | Các tuyến đường giao thông đấu nối trực tiếp ra Quốc lộ 1 đoạn
P=1062 | X=0106.850-0395.750 | Y=0427.800-0439.040 | từ Ranh xã Bảo Hòa cũ đến Hết giáo xứ Xuân Bình có hiện trạng
P=1062 | X=0106.850-0253.180 | Y=0439.320-0450.560 | là đường nhựa, bê tông xi măng:
P=1062 | X=0092.900-0104.020 | Y=0447.200-0456.520 | 23
P=1062 | X=0414.860-0439.930 | Y=0447.200-0456.520 | 1.700
P=1062 | X=0451.130-0476.180 | Y=0447.200-0456.520 | 1.200
P=1062 | X=0497.230-0522.280 | Y=0447.200-0456.520 | 1.000
P=1062 | X=0106.850-0337.930 | Y=0456.860-0468.100 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1062 | X=0106.850-0384.020 | Y=0474.380-0485.620 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=1062 | X=0106.850-0391.430 | Y=0492.140-0503.380 | Các tuyến đường giao thông đấu nối trực tiếp ra Quốc lộ 1 đoạn
P=1062 | X=0106.850-0395.750 | Y=0503.660-0514.900 | từ Ranh xã Bảo Hòa cũ đến Hết giáo xứ Xuân Bình có hiện trạng
P=1062 | X=0106.850-0253.180 | Y=0515.180-0526.420 | là đường nhựa, bê tông xi măng:
P=1062 | X=0092.900-0338.400 | Y=0532.490-0546.810 | 24 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1062 | X=0414.860-0439.910 | Y=0537.490-0546.810 | 1.000
P=1062 | X=0459.290-0475.930 | Y=0537.490-0546.810 | 700
P=1062 | X=0505.390-0522.030 | Y=0537.490-0546.810 | 600
P=1062 | X=0106.850-0393.740 | Y=0550.010-0561.250 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >500m
P=1062 | X=0106.850-0167.970 | Y=0561.530-0572.770 | đến ≤1.000m.
P=1062 | X=0106.850-0330.020 | Y=0579.050-0590.290 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1062 | X=0106.850-0391.430 | Y=0596.810-0608.050 | Các tuyến đường giao thông đấu nối trực tiếp ra Quốc lộ 1 đoạn
P=1062 | X=0106.850-0395.750 | Y=0608.330-0619.570 | từ Ranh xã Bảo Hòa cũ đến Hết giáo xứ Xuân Bình có hiện trạng
P=1062 | X=0106.850-0253.180 | Y=0619.870-0631.110 | là đường nhựa, bê tông xi măng:
P=1062 | X=0092.900-0104.020 | Y=0627.750-0637.070 | 25
P=1062 | X=0423.050-0439.690 | Y=0627.750-0637.070 | 800
P=1062 | X=0459.290-0475.930 | Y=0627.750-0637.070 | 560
P=1062 | X=0505.390-0522.030 | Y=0627.750-0637.070 | 480
P=1062 | X=0106.850-0392.640 | Y=0637.390-0648.630 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >1.000m.
P=1062 | X=0106.850-0330.490 | Y=0654.910-0666.150 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1062 | X=0106.850-0392.110 | Y=0672.670-0683.910 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=1062 | X=0092.900-0382.070 | Y=0684.190-0695.430 | 26 Quốc lộ 1 đoạn từ Ranh xã Bảo Hòa cũ đến Hết giáo xứ Xuân
P=1062 | X=0414.860-0439.910 | Y=0686.070-0695.390 | 1.500
P=1062 | X=0451.130-0476.180 | Y=0686.070-0695.390 | 1.100
P=1062 | X=0505.390-0522.030 | Y=0686.070-0695.390 | 900
P=1062 | X=0106.850-0337.200 | Y=0695.710-0706.950 | Bình có hiện trạng là đường nhựa, bê tông xi măng:
P=1063 | X=0106.850-0337.930 | Y=0078.500-0089.740 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1063 | X=0106.850-0384.020 | Y=0096.020-0107.260 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=1063 | X=0106.850-0392.110 | Y=0113.780-0125.020 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=1063 | X=0106.850-0382.070 | Y=0125.330-0136.570 | Quốc lộ 1 đoạn từ Ranh xã Bảo Hòa cũ đến Hết giáo xứ Xuân
P=1063 | X=0106.850-0337.200 | Y=0136.850-0148.090 | Bình có hiện trạng là đường nhựa, bê tông xi măng:
P=1063 | X=0092.900-0338.400 | Y=0154.370-0168.450 | 27 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1063 | X=0423.050-0439.690 | Y=0159.130-0168.450 | 900
P=1063 | X=0459.290-0475.930 | Y=0159.130-0168.450 | 630
P=1063 | X=0505.390-0522.030 | Y=0159.130-0168.450 | 540
P=1063 | X=0106.850-0393.740 | Y=0171.650-0182.890 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >500m
P=1063 | X=0106.850-0167.970 | Y=0183.170-0194.410 | đến ≤1.000m.
P=1063 | X=0106.850-0330.040 | Y=0200.710-0211.950 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1063 | X=0106.850-0392.110 | Y=0218.470-0229.710 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
