TABLE=055 | AREA=Xã Phú Lý | SECTION=non-agricultural | SEGMENTS=1
P=1821 | X=0096.290-0101.890 | Y=0499.300-0508.620 | 9
P=1821 | X=0389.420-0406.060 | Y=0499.300-0508.620 | 700
P=1821 | X=0450.410-0467.050 | Y=0499.300-0508.620 | 490
P=1821 | X=0505.390-0522.030 | Y=0499.300-0508.620 | 420
P=1821 | X=0108.530-0339.610 | Y=0508.940-0520.180 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1821 | X=0108.530-0321.800 | Y=0526.220-0537.460 | - Có bề rộng từ ≥3m đến <5m, cách đường giao
P=1821 | X=0108.530-0169.650 | Y=0537.770-0549.010 | thông ≤500m.
P=1821 | X=0108.530-0322.760 | Y=0555.530-0566.770 | Các tuyến đường giao thông đấu nối trực tiếp ra
P=1821 | X=0108.530-0336.490 | Y=0567.050-0578.290 | Đường tỉnh 761 đoạn từ Cầu suối Kóp đến Hết chợ
P=1821 | X=0108.530-0318.650 | Y=0578.570-0589.810 | Phú Lý có hiện trạng là đường nhựa, bê tông xi
P=1821 | X=0108.530-0136.530 | Y=0590.090-0601.330 | măng:
P=1821 | X=0093.620-0340.080 | Y=0606.850-0618.850 | 10 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1821 | X=0389.420-0406.060 | Y=0606.850-0616.170 | 420
P=1821 | X=0450.410-0467.050 | Y=0606.850-0616.170 | 290
P=1821 | X=0505.390-0522.030 | Y=0606.850-0616.170 | 250
P=1821 | X=0108.530-0321.780 | Y=0625.150-0636.390 | - Có bề rộng từ ≥3m đến <5m, cách đường giao
P=1821 | X=0108.530-0243.350 | Y=0636.670-0647.910 | thông từ >500m đến ≤1.000m.
P=1821 | X=0108.530-0331.700 | Y=0654.190-0665.430 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1821 | X=0108.530-0322.760 | Y=0671.950-0683.190 | Các tuyến đường giao thông đấu nối trực tiếp ra
P=1821 | X=0108.530-0336.490 | Y=0683.470-0694.710 | Đường tỉnh 761 đoạn từ Cầu suối Kóp đến Hết chợ
P=1821 | X=0093.620-0104.740 | Y=0691.110-0700.430 | 11
P=1821 | X=0389.420-0406.060 | Y=0691.110-0700.430 | 280
P=1821 | X=0450.410-0467.050 | Y=0691.110-0700.430 | 200
P=1821 | X=0505.390-0522.030 | Y=0691.110-0700.430 | 170
P=1821 | X=0108.530-0318.650 | Y=0694.750-0705.990 | Phú Lý có hiện trạng là đường nhựa, bê tông xi
P=1821 | X=0108.530-0136.530 | Y=0706.290-0717.530 | măng:
P=1822 | X=0108.530-0321.780 | Y=0078.500-0089.740 | - Có bề rộng từ ≥3m đến <5m, cách đường giao
P=1822 | X=0108.530-0178.510 | Y=0091.900-0101.220 | thông >1.000m.
P=1822 | X=0108.530-0332.180 | Y=0107.540-0118.780 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1822 | X=0108.530-0341.240 | Y=0125.330-0136.570 | Các tuyến đường giao thông không đấu nối trực tiếp
P=1822 | X=0108.530-0331.620 | Y=0136.850-0148.090 | và thông ra Đường tỉnh 761 đoạn từ Cầu suối Kóp
P=1822 | X=0108.530-0344.360 | Y=0148.370-0159.610 | đến Hết chợ Phú Lý có hiện trạng là đường nhựa, bê
P=1822 | X=0108.530-0168.690 | Y=0159.650-0170.890 | tông xi măng:
P=1822 | X=0093.620-0104.740 | Y=0167.530-0176.850 | 12
P=1822 | X=0389.420-0406.060 | Y=0167.530-0176.850 | 630
P=1822 | X=0450.410-0467.050 | Y=0167.530-0176.850 | 440
P=1822 | X=0505.390-0522.030 | Y=0167.530-0176.850 | 380
P=1822 | X=0108.530-0339.610 | Y=0177.170-0188.410 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1822 | X=0108.530-0321.780 | Y=0194.690-0205.930 | - Có bề rộng từ ≥3m đến <5m, cách đường giao
P=1822 | X=0108.530-0169.650 | Y=0206.230-0217.470 | thông ≤500m.
P=1822 | X=0108.530-0341.240 | Y=0223.990-0235.230 | Các tuyến đường giao thông không đấu nối trực tiếp
P=1822 | X=0108.530-0331.620 | Y=0235.510-0246.750 | và thông ra Đường tỉnh 761 đoạn từ Cầu suối Kóp
P=1822 | X=0108.530-0344.360 | Y=0247.030-0258.270 | đến Hết chợ Phú Lý có hiện trạng là đường nhựa, bê
P=1822 | X=0108.530-0168.690 | Y=0258.550-0269.790 | tông xi măng:
P=1822 | X=0093.620-0340.080 | Y=0275.070-0287.310 | 13 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1822 | X=0389.420-0406.060 | Y=0275.070-0284.390 | 380
P=1822 | X=0450.410-0467.050 | Y=0275.070-0284.390 | 270
P=1822 | X=0505.390-0522.030 | Y=0275.070-0284.390 | 230
P=1822 | X=0108.530-0321.780 | Y=0293.620-0304.860 | - Có bề rộng từ ≥3m đến <5m, cách đường giao
P=1822 | X=0108.530-0243.380 | Y=0305.140-0316.380 | thông từ >500m đến ≤1.000m.
P=1822 | X=0108.530-0331.700 | Y=0322.660-0333.900 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1822 | X=0108.530-0341.240 | Y=0340.420-0351.660 | Các tuyến đường giao thông không đấu nối trực tiếp
P=1822 | X=0108.530-0331.620 | Y=0351.700-0362.940 | và thông ra Đường tỉnh 761 đoạn từ Cầu suối Kóp
P=1822 | X=0108.530-0344.360 | Y=0363.220-0374.460 | đến Hết chợ Phú Lý có hiện trạng là đường nhựa, bê
P=1822 | X=0108.530-0168.690 | Y=0374.760-0386.000 | tông xi măng:
P=1822 | X=0093.620-0104.740 | Y=0382.640-0391.960 | 14
P=1822 | X=0389.420-0406.060 | Y=0382.640-0391.960 | 250
P=1822 | X=0450.410-0467.050 | Y=0382.640-0391.960 | 180
P=1822 | X=0505.390-0522.030 | Y=0382.640-0391.960 | 150
P=1822 | X=0108.530-0321.780 | Y=0392.280-0403.520 | - Có bề rộng từ ≥3m đến <5m, cách đường giao
P=1822 | X=0108.530-0178.510 | Y=0405.680-0415.000 | thông >1.000m.
P=1822 | X=0108.530-0332.170 | Y=0421.320-0432.560 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1822 | X=0262.660-0326.470 | Y=0440.960-0450.280 | Hết Trung tâm
P=1822 | X=0093.620-0178.700 | Y=0450.620-0461.860 | 15 Đường tỉnh 761
P=1822 | X=0192.070-0332.340 | Y=0452.500-0461.820 | Hết chợ Phú Lý văn hóa xã Phú
P=1822 | X=0389.420-0406.060 | Y=0452.500-0461.820 | 980
P=1822 | X=0450.410-0467.050 | Y=0452.500-0461.820 | 690
P=1822 | X=0505.390-0522.030 | Y=0452.500-0461.820 | 590
P=1822 | X=0262.660-0273.220 | Y=0464.020-0473.340 | Lý
P=1822 | X=0108.530-0322.760 | Y=0479.900-0491.140 | Các tuyến đường giao thông đấu nối trực tiếp ra
P=1822 | X=0108.530-0325.970 | Y=0491.420-0502.660 | Đường tỉnh 761 đoạn từ Hết chợ Phú Lý đến Hết
P=1822 | X=0108.530-0343.890 | Y=0502.940-0514.180 | Trung tâm văn hóa xã Phú Lý có hiện trạng là đường
P=1822 | X=0108.530-0211.640 | Y=0514.220-0525.460 | nhựa, bê tông xi măng:
P=1822 | X=0093.620-0104.740 | Y=0522.100-0531.420 | 16
P=1822 | X=0389.420-0406.060 | Y=0522.100-0531.420 | 490
P=1822 | X=0450.410-0467.050 | Y=0522.100-0531.420 | 340
P=1822 | X=0505.390-0522.030 | Y=0522.100-0531.420 | 290
P=1822 | X=0108.530-0339.610 | Y=0531.740-0542.980 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1822 | X=0108.530-0321.780 | Y=0549.290-0560.530 | - Có bề rộng từ ≥3m đến <5m, cách đường giao
P=1822 | X=0108.530-0169.650 | Y=0560.810-0572.050 | thông ≤500m.
P=1822 | X=0108.530-0322.760 | Y=0578.570-0589.810 | Các tuyến đường giao thông đấu nối trực tiếp ra
P=1822 | X=0108.530-0325.970 | Y=0590.090-0601.330 | Đường tỉnh 761 đoạn từ Hết chợ Phú Lý đến Hết
P=1822 | X=0108.530-0343.890 | Y=0601.610-0612.850 | Trung tâm văn hóa xã Phú Lý có hiện trạng là đường
P=1822 | X=0108.530-0211.640 | Y=0613.130-0624.370 | nhựa, bê tông xi măng:
P=1822 | X=0093.620-0340.080 | Y=0629.670-0641.910 | 17 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1822 | X=0389.420-0406.060 | Y=0629.670-0638.990 | 420
P=1822 | X=0450.410-0467.050 | Y=0629.670-0638.990 | 290
P=1822 | X=0505.390-0522.030 | Y=0629.670-0638.990 | 250
P=1822 | X=0108.530-0321.780 | Y=0648.190-0659.430 | - Có bề rộng từ ≥3m đến <5m, cách đường giao
P=1822 | X=0108.530-0243.380 | Y=0659.710-0670.950 | thông từ >500m đến ≤1.000m.
P=1822 | X=0108.530-0331.700 | Y=0677.230-0688.470 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1822 | X=0108.530-0322.760 | Y=0694.750-0705.990 | Các tuyến đường giao thông đấu nối trực tiếp ra
P=1822 | X=0093.620-0104.740 | Y=0702.420-0711.740 | 18
P=1822 | X=0389.420-0406.060 | Y=0702.420-0711.740 | 280
P=1822 | X=0450.410-0467.050 | Y=0702.420-0711.740 | 200
P=1822 | X=0505.390-0522.030 | Y=0702.420-0711.740 | 170
P=1822 | X=0108.530-0325.970 | Y=0706.290-0717.530 | Đường tỉnh 761 đoạn từ Hết chợ Phú Lý đến Hết
P=1823 | X=0108.530-0343.890 | Y=0072.500-0083.740 | Trung tâm văn hóa xã Phú Lý có hiện trạng là đường
P=1823 | X=0108.530-0211.670 | Y=0084.020-0095.260 | nhựa, bê tông xi măng:
P=1823 | X=0108.530-0321.780 | Y=0101.540-0112.780 | - Có bề rộng từ ≥3m đến <5m, cách đường giao
P=1823 | X=0108.530-0178.510 | Y=0114.940-0124.260 | thông >1.000m.
P=1823 | X=0108.530-0332.170 | Y=0130.610-0141.850 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1823 | X=0108.530-0341.240 | Y=0148.370-0159.610 | Các tuyến đường giao thông không đấu nối trực tiếp
P=1823 | X=0108.530-0340.910 | Y=0159.650-0170.890 | và thông ra Đường tỉnh 761 đoạn từ Hết chợ Phú Lý
P=1823 | X=0108.530-0338.360 | Y=0171.170-0182.410 | đến Hết Trung tâm văn hóa xã Phú Lý có hiện trạng
P=1823 | X=0108.530-0254.870 | Y=0182.690-0193.930 | là đường nhựa, bê tông xi măng:
P=1823 | X=0093.620-0104.740 | Y=0190.570-0199.890 | 19
P=1823 | X=0389.420-0406.060 | Y=0190.570-0199.890 | 440
P=1823 | X=0450.410-0467.050 | Y=0190.570-0199.890 | 310
P=1823 | X=0505.390-0522.030 | Y=0190.570-0199.890 | 260
P=1823 | X=0108.530-0339.610 | Y=0200.230-0211.470 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1823 | X=0108.530-0321.780 | Y=0217.750-0228.990 | - Có bề rộng từ ≥3m đến <5m, cách đường giao
P=1823 | X=0108.530-0169.650 | Y=0229.270-0240.510 | thông ≤500m.
P=1823 | X=0108.530-0341.240 | Y=0247.030-0258.270 | Các tuyến đường giao thông không đấu nối trực tiếp
P=1823 | X=0108.530-0340.910 | Y=0258.550-0269.790 | và thông ra Đường tỉnh 761 đoạn từ Hết chợ Phú Lý
P=1823 | X=0108.530-0338.360 | Y=0270.070-0281.310 | đến Hết Trung tâm văn hóa xã Phú Lý có hiện trạng
P=1823 | X=0108.530-0254.860 | Y=0281.620-0292.860 | là đường nhựa, bê tông xi măng:
P=1823 | X=0093.620-0340.080 | Y=0298.140-0310.380 | 20 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1823 | X=0389.420-0406.060 | Y=0298.140-0307.460 | 380
P=1823 | X=0450.410-0467.050 | Y=0298.140-0307.460 | 270
P=1823 | X=0505.390-0522.030 | Y=0298.140-0307.460 | 230
P=1823 | X=0108.530-0321.780 | Y=0316.660-0327.900 | - Có bề rộng từ ≥3m đến <5m, cách đường giao
P=1823 | X=0108.530-0243.350 | Y=0327.940-0339.180 | thông từ >500m đến ≤1.000m.
P=1823 | X=0108.530-0331.700 | Y=0345.460-0356.700 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1823 | X=0108.530-0341.240 | Y=0363.220-0374.460 | Các tuyến đường giao thông không đấu nối trực tiếp
P=1823 | X=0108.530-0340.910 | Y=0374.760-0386.000 | và thông ra Đường tỉnh 761 đoạn từ Hết chợ Phú Lý
P=1823 | X=0108.530-0338.360 | Y=0386.280-0397.520 | đến Hết Trung tâm văn hóa xã Phú Lý có hiện trạng
P=1823 | X=0108.530-0254.860 | Y=0397.800-0409.040 | là đường nhựa, bê tông xi măng:
P=1823 | X=0093.620-0104.770 | Y=0405.680-0415.000 | 21
P=1823 | X=0389.420-0406.060 | Y=0405.680-0415.000 | 250
P=1823 | X=0450.410-0467.050 | Y=0405.680-0415.000 | 180
P=1823 | X=0505.390-0522.030 | Y=0405.680-0415.000 | 150
P=1823 | X=0108.530-0321.780 | Y=0415.320-0426.560 | - Có bề rộng từ ≥3m đến <5m, cách đường giao
P=1823 | X=0108.530-0178.520 | Y=0428.720-0438.040 | thông >1.000m.
P=1823 | X=0108.530-0332.170 | Y=0444.360-0455.600 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1823 | X=0192.070-0255.880 | Y=0464.020-0473.340 | Hết Trung tâm
P=1823 | X=0262.660-0326.130 | Y=0467.900-0479.140 | Ngã tư đường
P=1823 | X=0093.620-0178.700 | Y=0473.660-0484.900 | 22 Đường tỉnh 761
P=1823 | X=0192.070-0261.740 | Y=0473.660-0484.900 | văn hóa xã Phú
P=1823 | X=0389.420-0406.060 | Y=0475.540-0484.860 | 980
P=1823 | X=0450.410-0467.050 | Y=0475.540-0484.860 | 690
P=1823 | X=0505.390-0522.030 | Y=0475.540-0484.860 | 590
P=1823 | X=0262.660-0285.940 | Y=0481.300-0490.620 | 322A
P=1823 | X=0192.070-0202.630 | Y=0487.060-0496.380 | Lý
P=1823 | X=0108.530-0322.760 | Y=0502.940-0514.180 | Các tuyến đường giao thông đấu nối trực tiếp ra
P=1823 | X=0108.530-0334.480 | Y=0514.220-0525.460 | Đường tỉnh 761 đoạn từ Hết Trung tâm văn hóa xã
P=1823 | X=0108.530-0322.760 | Y=0525.740-0536.980 | Phú Lý đến Ngã tư đường 322A có hiện trạng là
P=1823 | X=0108.530-0244.280 | Y=0537.290-0548.530 | đường nhựa, bê tông xi măng:
P=1823 | X=0093.620-0104.740 | Y=0545.170-0554.490 | 23
P=1823 | X=0389.420-0406.060 | Y=0545.170-0554.490 | 490
P=1823 | X=0450.410-0467.050 | Y=0545.170-0554.490 | 340
P=1823 | X=0505.390-0522.030 | Y=0545.170-0554.490 | 290
P=1823 | X=0108.530-0339.610 | Y=0554.810-0566.050 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1823 | X=0108.530-0321.800 | Y=0572.330-0583.570 | - Có bề rộng từ ≥3m đến <5m, cách đường giao
P=1823 | X=0108.530-0169.650 | Y=0583.850-0595.090 | thông ≤500m.
P=1823 | X=0108.530-0322.760 | Y=0601.610-0612.850 | Các tuyến đường giao thông đấu nối trực tiếp ra
P=1823 | X=0108.530-0334.500 | Y=0613.130-0624.370 | Đường tỉnh 761 đoạn từ Hết Trung tâm văn hóa xã
P=1823 | X=0108.530-0322.760 | Y=0624.670-0635.910 | Phú Lý đến Ngã tư đường 322A có hiện trạng là
P=1823 | X=0108.530-0244.280 | Y=0636.190-0647.430 | đường nhựa, bê tông xi măng:
P=1823 | X=0093.620-0340.080 | Y=0652.710-0664.950 | 24 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1823 | X=0389.420-0406.060 | Y=0652.710-0662.030 | 420
P=1823 | X=0450.410-0467.050 | Y=0652.710-0662.030 | 290
P=1823 | X=0505.390-0522.030 | Y=0652.710-0662.030 | 250
P=1823 | X=0108.530-0321.780 | Y=0671.230-0682.470 | - Có bề rộng từ ≥3m đến <5m, cách đường giao
P=1823 | X=0108.530-0243.350 | Y=0682.510-0693.750 | thông từ >500m đến ≤1.000m.
P=1823 | X=0108.530-0331.700 | Y=0700.050-0711.290 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1824 | X=0108.530-0322.760 | Y=0078.500-0089.740 | Các tuyến đường giao thông đấu nối trực tiếp ra
P=1824 | X=0108.530-0334.480 | Y=0090.020-0101.260 | Đường tỉnh 761 đoạn từ Hết Trung tâm văn hóa xã
P=1824 | X=0108.530-0322.760 | Y=0101.540-0112.780 | Phú Lý đến Ngã tư đường 322A có hiện trạng là
P=1824 | X=0108.530-0244.310 | Y=0113.060-0124.300 | đường nhựa, bê tông xi măng:
P=1824 | X=0093.620-0104.740 | Y=0120.970-0130.290 | 25
P=1824 | X=0389.420-0406.060 | Y=0120.970-0130.290 | 280
P=1824 | X=0450.410-0467.050 | Y=0120.970-0130.290 | 200
P=1824 | X=0505.390-0522.030 | Y=0120.970-0130.290 | 170
P=1824 | X=0108.530-0321.780 | Y=0130.610-0141.850 | - Có bề rộng từ ≥3m đến <5m, cách đường giao
P=1824 | X=0108.530-0178.550 | Y=0144.010-0153.330 | thông >1.000m.
P=1824 | X=0108.530-0332.190 | Y=0159.410-0170.650 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1824 | X=0108.530-0341.240 | Y=0177.170-0188.410 | Các tuyến đường giao thông không đấu nối trực tiếp
P=1824 | X=0108.530-0335.350 | Y=0188.690-0199.930 | và thông ra Đường tỉnh 761 đoạn từ Hết Trung tâm
P=1824 | X=0108.530-0338.360 | Y=0200.230-0211.470 | văn hóa xã Phú Lý đến Ngã tư đường 322A có hiện
P=1824 | X=0108.530-0280.310 | Y=0211.750-0222.990 | trạng là đường nhựa, bê tông xi măng:
P=1824 | X=0093.620-0104.740 | Y=0219.630-0228.950 | 26
P=1824 | X=0389.420-0406.060 | Y=0219.630-0228.950 | 440
