TABLE=003 | AREA=Phường Tam Hiệp | SECTION=non-agricultural | SEGMENTS=1
P=0101 | X=0095.570-0330.500 | Y=0247.750-0262.070 | 3 - Có bề rộng ≥5m, cách đường giao thông >600m.
P=0101 | X=0404.540-0435.100 | Y=0252.750-0262.070 | 10.100
P=0101 | X=0452.810-0477.860 | Y=0252.750-0262.070 | 7.100
P=0101 | X=0497.230-0522.280 | Y=0252.750-0262.070 | 6.100
P=0101 | X=0107.330-0394.220 | Y=0265.270-0276.510 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >400m
P=0101 | X=0107.330-0160.290 | Y=0276.790-0288.030 | đến ≤600m.
P=0101 | X=0107.330-0330.500 | Y=0294.340-0305.580 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0101 | X=0107.330-0379.080 | Y=0312.100-0323.340 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Lê A
P=0101 | X=0107.330-0399.820 | Y=0323.620-0334.860 | đoạn từ Đường Nguyễn Ái Quốc đến Đường Phạm Văn Thuận có
P=0101 | X=0107.330-0300.940 | Y=0335.140-0346.380 | hiện trạng là đường nhựa, bê tông xi măng:
P=0101 | X=0095.570-0101.170 | Y=0343.020-0352.340 | 4
P=0101 | X=0410.060-0435.110 | Y=0343.020-0352.340 | 6.500
P=0101 | X=0452.810-0477.860 | Y=0343.020-0352.340 | 4.600
P=0101 | X=0497.230-0522.280 | Y=0343.020-0352.340 | 3.900
P=0101 | X=0107.330-0384.740 | Y=0352.660-0363.900 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >600m.
P=0101 | X=0107.330-0330.970 | Y=0369.960-0381.200 | - Có bề rộng <3m, cách đường giao thông >200m.
P=0101 | X=0107.330-0392.590 | Y=0387.720-0398.960 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0101 | X=0107.330-0392.300 | Y=0399.240-0410.480 | Đường Lê A đoạn từ Đường Nguyễn Ái Quốc đến Đường Phạm
P=0101 | X=0107.330-0365.770 | Y=0410.760-0422.000 | Văn Thuận có hiện trạng là đường nhựa, bê tông xi măng:
P=0101 | X=0095.570-0101.170 | Y=0418.640-0427.960 | 5
P=0101 | X=0404.540-0435.110 | Y=0418.640-0427.960 | 13.900
P=0101 | X=0452.810-0477.860 | Y=0418.640-0427.960 | 9.700
P=0101 | X=0497.230-0522.280 | Y=0418.640-0427.960 | 8.300
P=0101 | X=0107.330-0330.250 | Y=0428.280-0439.520 | - Có bề rộng ≥5m, cách đường giao thông ≤600m.
P=0101 | X=0107.330-0384.500 | Y=0445.800-0457.040 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤400m.
P=0101 | X=0107.330-0392.590 | Y=0463.580-0474.820 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0101 | X=0107.330-0392.300 | Y=0475.100-0486.340 | Đường Lê A đoạn từ Đường Nguyễn Ái Quốc đến Đường Phạm
P=0101 | X=0107.330-0365.800 | Y=0486.620-0497.860 | Văn Thuận có hiện trạng là đường nhựa, bê tông xi măng:
P=0101 | X=0095.570-0330.500 | Y=0504.140-0518.220 | 6 - Có bề rộng ≥5m, cách đường giao thông >600m.
P=0101 | X=0410.060-0435.110 | Y=0508.900-0518.220 | 9.100
P=0101 | X=0452.810-0477.860 | Y=0508.900-0518.220 | 6.400
P=0101 | X=0497.230-0522.280 | Y=0508.900-0518.220 | 5.500
P=0101 | X=0107.330-0394.220 | Y=0521.660-0532.900 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >400m
P=0101 | X=0107.330-0160.290 | Y=0533.210-0544.450 | đến ≤600m.
P=0101 | X=0107.330-0330.500 | Y=0550.490-0561.730 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0101 | X=0107.330-0392.620 | Y=0568.250-0579.490 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0101 | X=0107.330-0392.300 | Y=0579.770-0591.010 | Đường Lê A đoạn từ Đường Nguyễn Ái Quốc đến Đường Phạm
P=0101 | X=0107.330-0365.770 | Y=0591.290-0602.530 | Văn Thuận có hiện trạng là đường nhựa, bê tông xi măng:
P=0101 | X=0095.570-0101.170 | Y=0599.170-0608.490 | 7
P=0101 | X=0410.060-0435.110 | Y=0599.170-0608.490 | 5.900
P=0101 | X=0452.810-0477.860 | Y=0599.170-0608.490 | 4.100
P=0101 | X=0497.230-0522.280 | Y=0599.170-0608.490 | 3.500
P=0101 | X=0107.330-0384.740 | Y=0608.810-0620.050 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >600m.
P=0101 | X=0107.330-0333.620 | Y=0626.350-0637.590 | - Có bề rộng <3m, cách đường giao thông > 200m.
P=0101 | X=0229.300-0309.800 | Y=0644.110-0655.350 | Đường Nguyễn Ái
P=0101 | X=0095.570-0218.550 | Y=0649.870-0661.110 | 8 Đường Dương Tử Giang
P=0101 | X=0311.640-0435.110 | Y=0649.870-0661.110 | Đường Phan Trung 27.200
P=0101 | X=0447.290-0477.860 | Y=0651.750-0661.070 | 19.000
P=0101 | X=0491.710-0522.280 | Y=0651.750-0661.070 | 16.300
P=0101 | X=0229.300-0253.300 | Y=0657.510-0666.830 | Quốc
P=0101 | X=0107.330-0390.190 | Y=0673.390-0684.630 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Dương
P=0101 | X=0095.570-0377.010 | Y=0684.910-0696.150 | 9 Tử Giang đoạn từ Đường Nguyễn Ái Quốc đến Đường Phan
P=0101 | X=0404.540-0435.110 | Y=0686.790-0696.110 | 13.000
P=0101 | X=0452.810-0477.860 | Y=0686.790-0696.110 | 9.100
P=0101 | X=0497.230-0522.280 | Y=0686.790-0696.110 | 7.800
P=0101 | X=0107.330-0343.210 | Y=0696.430-0707.670 | Trung có hiện trạng là đường nhựa, bê tông xi măng:
P=0102 | X=0107.330-0330.240 | Y=0078.500-0089.740 | - Có bề rộng ≥5m, cách đường giao thông ≤600m.
P=0102 | X=0107.330-0384.500 | Y=0096.020-0107.260 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤400m.
P=0102 | X=0107.330-0390.190 | Y=0113.780-0125.020 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Dương
P=0102 | X=0107.330-0377.010 | Y=0125.330-0136.570 | Tử Giang đoạn từ Đường Nguyễn Ái Quốc đến Đường Phan
P=0102 | X=0107.330-0343.220 | Y=0136.850-0148.090 | Trung có hiện trạng là đường nhựa, bê tông xi măng:
P=0102 | X=0092.900-0330.500 | Y=0154.370-0168.450 | 10 - Có bề rộng ≥5m, cách đường giao thông >600m.
P=0102 | X=0410.060-0435.110 | Y=0159.130-0168.450 | 7.700
P=0102 | X=0452.810-0477.860 | Y=0159.130-0168.450 | 5.400
P=0102 | X=0497.230-0522.280 | Y=0159.130-0168.450 | 4.600
P=0102 | X=0107.330-0394.220 | Y=0171.650-0182.890 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >400m
P=0102 | X=0107.330-0160.290 | Y=0183.170-0194.410 | đến ≤600m.
P=0102 | X=0107.330-0330.500 | Y=0200.710-0211.950 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0102 | X=0107.330-0390.210 | Y=0218.470-0229.710 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Dương
P=0102 | X=0107.330-0377.010 | Y=0229.990-0241.230 | Tử Giang đoạn từ Đường Nguyễn Ái Quốc đến Đường Phan
P=0102 | X=0107.330-0343.210 | Y=0241.510-0252.750 | Trung có hiện trạng là đường nhựa, bê tông xi măng:
P=0102 | X=0092.900-0104.020 | Y=0249.390-0258.710 | 11
P=0102 | X=0410.060-0435.110 | Y=0249.390-0258.710 | 4.600
P=0102 | X=0452.810-0477.860 | Y=0249.390-0258.710 | 3.200
P=0102 | X=0497.230-0522.280 | Y=0249.390-0258.710 | 2.800
P=0102 | X=0107.330-0384.740 | Y=0259.030-0270.270 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >600m.
P=0102 | X=0107.330-0330.970 | Y=0276.550-0287.790 | - Có bề rộng <3m, cách đường giao thông >200m.
P=0102 | X=0107.330-0392.590 | Y=0294.340-0305.580 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0102 | X=0107.330-0385.180 | Y=0305.860-0317.100 | Đường Dương Tử Giang đoạn từ Đường Nguyễn Ái Quốc đến
P=0102 | X=0107.330-0372.910 | Y=0317.380-0328.620 | Đường Phan Trung có hiện trạng là đường nhựa, bê tông xi
P=0102 | X=0092.900-0135.330 | Y=0328.900-0340.340 | 12 măng:
P=0102 | X=0404.540-0435.110 | Y=0331.020-0340.340 | 11.700
P=0102 | X=0452.810-0477.860 | Y=0331.020-0340.340 | 8.200
P=0102 | X=0497.230-0522.280 | Y=0331.020-0340.340 | 7.000
P=0102 | X=0107.330-0330.240 | Y=0346.420-0357.660 | - Có bề rộng ≥5m, cách đường giao thông ≤600m.
P=0102 | X=0107.330-0384.540 | Y=0363.700-0374.940 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤400m.
P=0102 | X=0107.330-0392.590 | Y=0381.480-0392.720 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0102 | X=0107.330-0385.180 | Y=0393.000-0404.240 | Đường Dương Tử Giang đoạn từ Đường Nguyễn Ái Quốc đến
P=0102 | X=0107.330-0372.910 | Y=0404.520-0415.760 | Đường Phan Trung có hiện trạng là đường nhựa, bê tông xi
P=0102 | X=0107.330-0135.330 | Y=0416.040-0427.280 | măng:
P=0102 | X=0092.900-0330.530 | Y=0432.800-0444.800 | 13 - Có bề rộng ≥5m, cách đường giao thông >600m.
P=0102 | X=0410.060-0435.110 | Y=0432.800-0442.120 | 6.900
P=0102 | X=0452.810-0477.860 | Y=0432.800-0442.120 | 4.800
P=0102 | X=0497.230-0522.280 | Y=0432.800-0442.120 | 4.100
P=0102 | X=0107.330-0394.220 | Y=0451.100-0462.340 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >400m
P=0102 | X=0107.330-0160.290 | Y=0462.620-0473.860 | đến ≤600m.
P=0102 | X=0107.330-0330.500 | Y=0480.140-0491.380 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0102 | X=0107.330-0392.590 | Y=0497.900-0509.140 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0102 | X=0107.330-0385.180 | Y=0509.420-0520.660 | Đường Dương Tử Giang đoạn từ Đường Nguyễn Ái Quốc đến
P=0102 | X=0107.330-0372.910 | Y=0520.940-0532.180 | Đường Phan Trung có hiện trạng là đường nhựa, bê tông xi
P=0102 | X=0092.900-0135.330 | Y=0532.220-0543.690 | 14 măng:
P=0102 | X=0410.060-0435.110 | Y=0534.370-0543.690 | 4.100
P=0102 | X=0452.810-0477.860 | Y=0534.370-0543.690 | 2.900
P=0102 | X=0497.230-0522.280 | Y=0534.370-0543.690 | 2.500
P=0102 | X=0107.330-0384.740 | Y=0549.770-0561.010 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >600m.
P=0102 | X=0107.330-0333.620 | Y=0567.290-0578.530 | - Có bề rộng <3m, cách đường giao thông > 200m.
P=0102 | X=0311.640-0395.830 | Y=0585.050-0596.290 | Giáp ranh thửa đất
P=0102 | X=0229.300-0309.800 | Y=0590.810-0602.050 | Đường Nguyễn Ái
P=0102 | X=0092.900-0178.690 | Y=0596.570-0607.810 | 15 Đường Lê Thoa
P=0102 | X=0311.640-0435.110 | Y=0596.570-0607.810 | số 83, tờ BĐĐC số 23.700
P=0102 | X=0447.290-0477.860 | Y=0598.450-0607.770 | 16.600
P=0102 | X=0491.710-0522.280 | Y=0598.450-0607.770 | 14.200
P=0102 | X=0229.300-0253.300 | Y=0604.210-0613.530 | Quốc
P=0102 | X=0311.640-0322.760 | Y=0609.970-0619.290 | 75
P=0102 | X=0107.330-0395.240 | Y=0625.870-0637.110 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Lê Thoa
P=0102 | X=0107.330-0400.350 | Y=0637.390-0648.630 | đoạn từ Đường Nguyễn Ái Quốc đến Giáp ranh thửa đất số 83, tờ
P=0102 | X=0107.330-0372.270 | Y=0648.910-0660.150 | BĐĐC số 75 có hiện trạng là đường nhựa, bê tông xi măng:
P=0102 | X=0092.900-0104.020 | Y=0656.790-0666.110 | 16
P=0102 | X=0404.540-0435.110 | Y=0656.790-0666.110 | 10.700
P=0102 | X=0452.810-0477.860 | Y=0656.790-0666.110 | 7.500
P=0102 | X=0497.230-0522.280 | Y=0656.790-0666.110 | 6.400
P=0102 | X=0107.330-0330.250 | Y=0666.430-0677.670 | - Có bề rộng ≥5m, cách đường giao thông ≤600m.
P=0102 | X=0107.330-0384.500 | Y=0683.950-0695.190 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤400m.
P=0102 | X=0092.900-0395.240 | Y=0701.730-0712.970 | 17 Các tuyến đường giao thông đấu nối trực tiếp ra Đường Lê Thoa
P=0102 | X=0410.060-0435.110 | Y=0703.620-0712.940 | 7.100
P=0102 | X=0452.810-0477.860 | Y=0703.620-0712.940 | 5.000
P=0102 | X=0497.230-0522.280 | Y=0703.620-0712.940 | 4.300
P=0103 | X=0107.330-0400.350 | Y=0072.500-0083.740 | đoạn từ Đường Nguyễn Ái Quốc đến Giáp ranh thửa đất số 83, tờ
P=0103 | X=0107.330-0372.270 | Y=0084.020-0095.260 | BĐĐC số 75 có hiện trạng là đường nhựa, bê tông xi măng:
P=0103 | X=0107.330-0330.500 | Y=0101.540-0112.780 | - Có bề rộng ≥5m, cách đường giao thông >600m.
P=0103 | X=0107.330-0394.220 | Y=0119.090-0130.330 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >400m
P=0103 | X=0107.330-0160.290 | Y=0130.610-0141.850 | đến ≤600m.
P=0103 | X=0107.330-0330.500 | Y=0148.130-0159.370 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0103 | X=0107.330-0395.240 | Y=0165.650-0176.890 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Lê Thoa
P=0103 | X=0107.330-0400.350 | Y=0177.170-0188.410 | đoạn từ Đường Nguyễn Ái Quốc đến Giáp ranh thửa đất số 83, tờ
P=0103 | X=0107.330-0372.270 | Y=0188.690-0199.930 | BĐĐC số 75 có hiện trạng là đường nhựa, bê tông xi măng:
P=0103 | X=0092.900-0104.020 | Y=0196.570-0205.890 | 18
P=0103 | X=0410.060-0435.110 | Y=0196.570-0205.890 | 4.600
P=0103 | X=0452.810-0477.860 | Y=0196.570-0205.890 | 3.200
P=0103 | X=0497.230-0522.280 | Y=0196.570-0205.890 | 2.800
P=0103 | X=0107.330-0384.740 | Y=0206.230-0217.470 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >600m.
P=0103 | X=0107.330-0330.970 | Y=0223.750-0234.990 | - Có bề rộng <3m, cách đường giao thông >200m.
P=0103 | X=0107.330-0392.590 | Y=0241.510-0252.750 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0103 | X=0107.330-0391.890 | Y=0253.030-0264.270 | Đường Lê Thoa đoạn từ Đường Nguyễn Ái Quốc đến Giáp ranh
P=0103 | X=0107.330-0391.900 | Y=0264.550-0275.790 | thửa đất số 83, tờ BĐĐC số 75 có hiện trạng là đường nhựa, bê
P=0103 | X=0092.900-0167.490 | Y=0276.070-0287.510 | 19 tông xi măng:
P=0103 | X=0410.060-0435.110 | Y=0278.190-0287.510 | 9.600
P=0103 | X=0452.810-0477.860 | Y=0278.190-0287.510 | 6.700
P=0103 | X=0497.230-0522.280 | Y=0278.190-0287.510 | 5.800
P=0103 | X=0107.330-0330.240 | Y=0293.620-0304.860 | - Có bề rộng ≥5m, cách đường giao thông ≤600m.
P=0103 | X=0107.330-0384.500 | Y=0311.140-0322.380 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤400m.
P=0103 | X=0107.330-0392.590 | Y=0328.900-0340.140 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0103 | X=0107.330-0391.890 | Y=0340.420-0351.660 | Đường Lê Thoa đoạn từ Đường Nguyễn Ái Quốc đến Giáp ranh
P=0103 | X=0107.330-0391.900 | Y=0351.700-0362.940 | thửa đất số 83, tờ BĐĐC số 75 có hiện trạng là đường nhựa, bê
P=0103 | X=0107.330-0167.480 | Y=0363.220-0374.460 | tông xi măng:
P=0103 | X=0092.900-0330.500 | Y=0380.000-0392.000 | 20 - Có bề rộng ≥5m, cách đường giao thông >600m.
P=0103 | X=0410.060-0435.110 | Y=0380.000-0389.320 | 6.400
P=0103 | X=0452.810-0477.860 | Y=0380.000-0389.320 | 4.500
P=0103 | X=0497.230-0522.280 | Y=0380.000-0389.320 | 3.800
P=0103 | X=0107.330-0394.220 | Y=0398.280-0409.520 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >400m
P=0103 | X=0107.330-0160.290 | Y=0409.800-0421.040 | đến ≤600m.
P=0103 | X=0107.330-0330.500 | Y=0427.320-0438.560 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0103 | X=0107.330-0392.620 | Y=0445.080-0456.320 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0103 | X=0107.330-0391.890 | Y=0456.620-0467.860 | Đường Lê Thoa đoạn từ Đường Nguyễn Ái Quốc đến Giáp ranh
P=0103 | X=0107.330-0391.900 | Y=0468.140-0479.380 | thửa đất số 83, tờ BĐĐC số 75 có hiện trạng là đường nhựa, bê
P=0103 | X=0092.900-0167.490 | Y=0479.660-0491.100 | 21 tông xi măng:
P=0103 | X=0410.060-0435.110 | Y=0481.780-0491.100 | 4.100
P=0103 | X=0452.810-0477.860 | Y=0481.780-0491.100 | 2.900
P=0103 | X=0497.230-0522.270 | Y=0481.780-0491.100 | 2.500
P=0103 | X=0107.330-0384.740 | Y=0497.180-0508.420 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >600m.
P=0103 | X=0107.330-0333.620 | Y=0514.460-0525.700 | - Có bề rộng <3m, cách đường giao thông > 200m.
P=0103 | X=0229.300-0310.490 | Y=0532.220-0543.460 | Đường Phạm Văn
P=0103 | X=0092.900-0194.060 | Y=0538.010-0549.250 | 22 Đường Phan Trung
P=0103 | X=0311.640-0393.820 | Y=0538.010-0549.250 | Đường Đồng Khởi
P=0103 | X=0404.540-0435.110 | Y=0539.890-0549.210 | 32.000
P=0103 | X=0447.290-0477.860 | Y=0539.890-0549.210 | 22.400
P=0103 | X=0491.710-0522.280 | Y=0539.890-0549.210 | 19.200
P=0103 | X=0229.300-0257.700 | Y=0545.650-0554.970 | Thuận
P=0103 | X=0107.330-0381.810 | Y=0561.530-0572.770 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Phan
P=0103 | X=0107.330-0390.220 | Y=0573.050-0584.290 | Trung đoạn từ Đường Phạm Văn Thuận đến Đường Đồng Khởi
P=0103 | X=0107.330-0314.180 | Y=0584.570-0595.810 | có hiện trạng là đường nhựa, bê tông xi măng:
P=0103 | X=0092.900-0104.020 | Y=0592.450-0601.770 | 23
P=0103 | X=0404.540-0435.110 | Y=0592.450-0601.770 | 14.200
P=0103 | X=0452.810-0477.860 | Y=0592.450-0601.770 | 9.900
P=0103 | X=0497.230-0522.280 | Y=0592.450-0601.770 | 8.500
P=0103 | X=0107.330-0330.240 | Y=0602.090-0613.330 | - Có bề rộng ≥5m, cách đường giao thông ≤600m.
P=0103 | X=0107.330-0384.500 | Y=0619.630-0630.870 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤400m.
P=0103 | X=0107.330-0381.810 | Y=0637.630-0648.870 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Phan
P=0103 | X=0107.330-0390.220 | Y=0649.150-0660.390 | Trung đoạn từ Đường Phạm Văn Thuận đến Đường Đồng Khởi
P=0103 | X=0107.330-0314.180 | Y=0660.670-0671.910 | có hiện trạng là đường nhựa, bê tông xi măng:
P=0103 | X=0092.900-0104.020 | Y=0674.310-0683.630 | 24
P=0103 | X=0404.540-0435.110 | Y=0674.310-0683.630 | 10.100
P=0103 | X=0452.810-0477.860 | Y=0674.310-0683.630 | 7.100
P=0103 | X=0497.230-0522.280 | Y=0674.310-0683.630 | 6.100
P=0103 | X=0107.330-0330.500 | Y=0678.190-0689.430 | - Có bề rộng ≥5m, cách đường giao thông >600m.
P=0103 | X=0107.330-0394.220 | Y=0695.710-0706.950 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >400m
P=0103 | X=0107.330-0160.290 | Y=0707.250-0718.490 | đến ≤600m.
P=0104 | X=0107.330-0330.500 | Y=0078.740-0089.980 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0104 | X=0107.330-0381.810 | Y=0096.740-0107.980 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Phan
P=0104 | X=0107.330-0390.220 | Y=0108.260-0119.500 | Trung đoạn từ Đường Phạm Văn Thuận đến Đường Đồng Khởi
P=0104 | X=0107.330-0314.180 | Y=0119.810-0131.050 | có hiện trạng là đường nhựa, bê tông xi măng:
P=0104 | X=0092.900-0104.020 | Y=0127.690-0137.010 | 25
P=0104 | X=0410.060-0435.110 | Y=0127.690-0137.010 | 5.300
P=0104 | X=0452.810-0477.860 | Y=0127.690-0137.010 | 3.700
P=0104 | X=0497.230-0522.280 | Y=0127.690-0137.010 | 3.200
P=0104 | X=0107.330-0384.740 | Y=0137.330-0148.570 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >600m.
P=0104 | X=0107.330-0330.970 | Y=0154.850-0166.090 | - Có bề rộng <3m, cách đường giao thông >200m.
P=0104 | X=0107.330-0392.590 | Y=0172.610-0183.850 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0104 | X=0107.330-0400.310 | Y=0184.130-0195.370 | Đường Phan Trung đoạn từ Đường Phạm Văn Thuận đến Đường
P=0104 | X=0107.330-0364.560 | Y=0195.410-0206.650 | Đồng Khởi có hiện trạng là đường nhựa, bê tông xi măng:
P=0104 | X=0092.900-0104.020 | Y=0203.310-0212.630 | 26
P=0104 | X=0404.540-0435.110 | Y=0203.310-0212.630 | 12.800
P=0104 | X=0452.810-0477.860 | Y=0203.310-0212.630 | 9.000
P=0104 | X=0497.230-0522.280 | Y=0203.310-0212.630 | 7.700
P=0104 | X=0107.330-0330.240 | Y=0212.950-0224.190 | - Có bề rộng ≥5m, cách đường giao thông ≤600m.
P=0104 | X=0107.330-0384.530 | Y=0230.470-0241.710 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤400m.
P=0104 | X=0107.330-0392.590 | Y=0248.470-0259.710 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0104 | X=0107.330-0400.310 | Y=0259.990-0271.230 | Đường Phan Trung đoạn từ Đường Phạm Văn Thuận đến Đường
P=0104 | X=0107.330-0364.560 | Y=0271.510-0282.750 | Đồng Khởi có hiện trạng là đường nhựa, bê tông xi măng:
P=0104 | X=0092.900-0330.500 | Y=0289.060-0303.140 | 27 - Có bề rộng ≥5m, cách đường giao thông >600m.
P=0104 | X=0410.060-0435.110 | Y=0293.820-0303.140 | 9.100
P=0104 | X=0452.810-0477.860 | Y=0293.820-0303.140 | 6.400
P=0104 | X=0497.230-0522.280 | Y=0293.820-0303.140 | 5.500
P=0104 | X=0107.330-0394.220 | Y=0306.580-0317.820 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >400m
P=0104 | X=0107.330-0160.290 | Y=0318.100-0329.340 | đến ≤600m.
P=0104 | X=0107.330-0330.500 | Y=0335.620-0346.860 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0104 | X=0107.330-0392.590 | Y=0353.620-0364.860 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0104 | X=0107.330-0400.310 | Y=0365.160-0376.400 | Đường Phan Trung đoạn từ Đường Phạm Văn Thuận đến Đường
P=0104 | X=0107.330-0364.560 | Y=0376.680-0387.920 | Đồng Khởi có hiện trạng là đường nhựa, bê tông xi măng:
P=0104 | X=0092.900-0104.020 | Y=0384.560-0393.880 | 28
P=0104 | X=0410.060-0435.110 | Y=0384.560-0393.880 | 4.800
P=0104 | X=0452.810-0477.860 | Y=0384.560-0393.880 | 3.400
P=0104 | X=0497.230-0522.280 | Y=0384.560-0393.880 | 2.900
