TABLE=042 | AREA=Xã Thống Nhất | SECTION=non-agricultural | SEGMENTS=1
P=1445 | X=0111.170-0334.340 | Y=0333.940-0345.180 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1445 | X=0111.170-0376.300 | Y=0351.700-0362.940 | Các tuyến đường giao thông đấu nối trực tiếp ra Quốc lộ 20
P=1445 | X=0111.170-0389.980 | Y=0363.220-0374.460 | đoạn từ Giáp ranh xã Gia Kiệm đến Đường Vườn Xoài có hiện
P=1445 | X=0111.170-0282.950 | Y=0374.760-0386.000 | trạng là đường nhựa, bê tông xi măng:
P=1445 | X=0097.730-0103.330 | Y=0388.400-0397.720 | 4
P=1445 | X=0405.980-0431.030 | Y=0388.400-0397.720 | 1.400
P=1445 | X=0461.690-0478.330 | Y=0388.400-0397.720 | 980
P=1445 | X=0505.390-0522.030 | Y=0388.400-0397.720 | 840
P=1445 | X=0111.170-0352.280 | Y=0392.280-0403.520 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=1445 | X=0111.170-0153.310 | Y=0405.680-0415.000 | >1.000m.
P=1445 | X=0111.170-0334.810 | Y=0421.320-0432.560 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1445 | X=0111.170-0384.680 | Y=0439.080-0450.320 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=1445 | X=0111.170-0366.230 | Y=0450.620-0461.860 | ra Quốc lộ 20 đoạn từ Giáp ranh xã Gia Kiệm đến Đường
P=1445 | X=0111.170-0368.890 | Y=0462.140-0473.380 | Vườn Xoài có hiện trạng là đường nhựa, bê tông xi măng:
P=1445 | X=0097.730-0103.330 | Y=0470.020-0479.340 | 5
P=1445 | X=0405.980-0431.030 | Y=0470.020-0479.340 | 2.500
P=1445 | X=0453.530-0478.580 | Y=0470.020-0479.340 | 1.800
P=1445 | X=0497.230-0522.280 | Y=0470.020-0479.340 | 1.500
P=1445 | X=0111.170-0342.250 | Y=0479.660-0490.900 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1445 | X=0111.170-0388.360 | Y=0497.180-0508.420 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=1445 | X=0111.170-0384.680 | Y=0514.940-0526.180 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=1445 | X=0111.170-0366.230 | Y=0526.220-0537.460 | ra Quốc lộ 20 đoạn từ Giáp ranh xã Gia Kiệm đến Đường
P=1445 | X=0111.170-0368.890 | Y=0537.770-0549.010 | Vườn Xoài có hiện trạng là đường nhựa, bê tông xi măng:
P=1445 | X=0097.730-0342.760 | Y=0555.290-0569.610 | 6 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1445 | X=0405.980-0431.030 | Y=0560.290-0569.610 | 1.400
P=1445 | X=0461.690-0478.330 | Y=0560.290-0569.610 | 980
P=1445 | X=0505.390-0522.030 | Y=0560.290-0569.610 | 840
P=1445 | X=0111.170-0364.480 | Y=0572.810-0584.050 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=1445 | X=0111.170-0206.120 | Y=0584.330-0595.570 | >500m đến ≤1.000m.
P=1445 | X=0111.170-0334.340 | Y=0601.850-0613.090 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1445 | X=0111.170-0384.680 | Y=0619.630-0630.870 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=1445 | X=0111.170-0366.230 | Y=0631.150-0642.390 | ra Quốc lộ 20 đoạn từ Giáp ranh xã Gia Kiệm đến Đường
P=1445 | X=0111.170-0368.890 | Y=0642.670-0653.910 | Vườn Xoài có hiện trạng là đường nhựa, bê tông xi măng:
P=1445 | X=0097.730-0103.330 | Y=0656.310-0665.630 | 7
P=1445 | X=0405.980-0431.030 | Y=0656.310-0665.630 | 1.300
P=1445 | X=0461.690-0478.330 | Y=0656.310-0665.630 | 910
P=1445 | X=0505.390-0522.030 | Y=0656.310-0665.630 | 780
P=1445 | X=0111.170-0352.280 | Y=0660.190-0671.430 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=1445 | X=0111.170-0153.310 | Y=0673.590-0682.910 | >1.000m.
P=1445 | X=0111.170-0334.810 | Y=0689.230-0700.470 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1445 | X=0219.430-0374.610 | Y=0707.010-0718.250 | Đường Vườn Xoài Đường vào Nhà
P=1445 | X=0097.730-0159.730 | Y=0708.900-0718.220 | 8 Quốc lộ 20
P=1445 | X=0405.980-0431.030 | Y=0708.900-0718.220 | 6.700
P=1445 | X=0453.530-0478.580 | Y=0708.900-0718.220 | 4.700
P=1445 | X=0497.230-0522.280 | Y=0708.900-0718.220 | 4.000
P=1446 | X=0302.760-0374.300 | Y=0072.500-0083.740 | văn hóa ấp Đức
P=1446 | X=0302.760-0333.330 | Y=0085.900-0095.220 | Long 3
P=1446 | X=0111.170-0376.300 | Y=0101.780-0113.020 | Các tuyến đường giao thông đấu nối trực tiếp ra Quốc lộ 20
P=1446 | X=0111.170-0377.260 | Y=0113.300-0124.540 | đoạn từ Đường Vườn Xoài đến Đường vào Nhà văn hóa ấp
P=1446 | X=0111.170-0372.980 | Y=0124.850-0136.090 | Đức Long 3 có hiện trạng là đường nhựa, bê tông xi măng:
P=1446 | X=0097.730-0103.330 | Y=0132.730-0142.050 | 9
P=1446 | X=0400.460-0431.030 | Y=0132.730-0142.050 | 1.9000
P=1446 | X=0453.530-0478.580 | Y=0132.730-0142.050 | 1.300
P=1446 | X=0497.230-0522.280 | Y=0132.730-0142.050 | 1.100
P=1446 | X=0111.170-0342.250 | Y=0142.370-0153.610 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1446 | X=0111.170-0388.360 | Y=0159.650-0170.890 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=1446 | X=0111.170-0376.300 | Y=0177.410-0188.650 | Các tuyến đường giao thông đấu nối trực tiếp ra Quốc lộ 20
P=1446 | X=0111.170-0377.260 | Y=0188.930-0200.170 | đoạn từ Đường Vườn Xoài đến Đường vào Nhà văn hóa ấp
P=1446 | X=0111.170-0372.980 | Y=0200.470-0211.710 | Đức Long 3 có hiện trạng là đường nhựa, bê tông xi măng:
P=1446 | X=0094.820-0342.740 | Y=0217.990-0232.310 | 10 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1446 | X=0405.980-0431.030 | Y=0222.990-0232.310 | 1.400
P=1446 | X=0461.690-0478.330 | Y=0222.990-0232.310 | 980
P=1446 | X=0505.390-0522.030 | Y=0222.990-0232.310 | 840
P=1446 | X=0111.170-0364.480 | Y=0235.510-0246.750 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=1446 | X=0111.170-0206.120 | Y=0247.030-0258.270 | >500m đến ≤1.000m.
P=1446 | X=0111.170-0334.340 | Y=0264.550-0275.790 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1446 | X=0111.170-0376.300 | Y=0282.340-0293.580 | Các tuyến đường giao thông đấu nối trực tiếp ra Quốc lộ 20
P=1446 | X=0111.170-0377.260 | Y=0293.860-0305.100 | đoạn từ Đường Vườn Xoài đến Đường vào Nhà văn hóa ấp
P=1446 | X=0111.170-0372.980 | Y=0305.380-0316.620 | Đức Long 3 có hiện trạng là đường nhựa, bê tông xi măng:
P=1446 | X=0094.820-0105.940 | Y=0319.020-0328.340 | 11
P=1446 | X=0414.140-0430.780 | Y=0319.020-0328.340 | 960
P=1446 | X=0461.690-0478.330 | Y=0319.020-0328.340 | 670
P=1446 | X=0505.390-0522.030 | Y=0319.020-0328.340 | 580
P=1446 | X=0111.170-0352.280 | Y=0322.900-0334.140 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=1446 | X=0111.170-0153.310 | Y=0336.300-0345.620 | >1.000m.
P=1446 | X=0111.170-0334.810 | Y=0351.700-0362.940 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1446 | X=0111.170-0384.680 | Y=0369.480-0380.720 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=1446 | X=0111.170-0387.820 | Y=0381.000-0392.240 | ra Quốc lộ 20 đoạn từ Đường Vườn Xoài đến Đường vào Nhà
P=1446 | X=0111.170-0384.690 | Y=0392.520-0403.760 | văn hóa ấp Đức Long 3 có hiện trạng là đường nhựa, bê tông
P=1446 | X=0094.820-0149.000 | Y=0404.040-0415.480 | 12 xi măng:
P=1446 | X=0405.980-0431.030 | Y=0406.160-0415.480 | 1.700
P=1446 | X=0453.530-0478.580 | Y=0406.160-0415.480 | 1.200
P=1446 | X=0497.230-0522.280 | Y=0406.160-0415.480 | 1.000
P=1446 | X=0111.170-0342.250 | Y=0421.560-0432.800 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1446 | X=0111.170-0388.360 | Y=0439.080-0450.320 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=1446 | X=0111.170-0384.680 | Y=0456.860-0468.100 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=1446 | X=0111.170-0387.820 | Y=0468.380-0479.620 | ra Quốc lộ 20 đoạn từ Đường Vườn Xoài đến Đường vào Nhà
P=1446 | X=0111.170-0384.690 | Y=0479.900-0491.140 | văn hóa ấp Đức Long 3 có hiện trạng là đường nhựa, bê tông
P=1446 | X=0111.170-0149.000 | Y=0491.420-0502.660 | xi măng:
P=1446 | X=0094.820-0342.720 | Y=0507.940-0520.180 | 13 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1446 | X=0405.980-0431.030 | Y=0507.940-0517.260 | 1.300
P=1446 | X=0461.690-0478.330 | Y=0507.940-0517.260 | 910
P=1446 | X=0505.390-0522.030 | Y=0507.940-0517.260 | 780
P=1446 | X=0111.170-0364.480 | Y=0526.220-0537.460 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=1446 | X=0111.170-0206.120 | Y=0537.770-0549.010 | >500m đến ≤1.000m.
P=1446 | X=0111.170-0334.340 | Y=0555.290-0566.530 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1446 | X=0111.170-0384.680 | Y=0573.050-0584.290 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=1446 | X=0111.170-0387.820 | Y=0584.570-0595.810 | ra Quốc lộ 20 đoạn từ Đường Vườn Xoài đến Đường vào Nhà
P=1446 | X=0111.170-0384.690 | Y=0596.090-0607.330 | văn hóa ấp Đức Long 3 có hiện trạng là đường nhựa, bê tông
P=1446 | X=0111.170-0149.000 | Y=0607.610-0618.850 | xi măng:
P=1446 | X=0094.820-0105.940 | Y=0615.490-0624.810 | 14
P=1446 | X=0414.140-0430.780 | Y=0615.490-0624.810 | 860
P=1446 | X=0461.690-0478.330 | Y=0615.490-0624.810 | 600
P=1446 | X=0505.390-0522.030 | Y=0615.490-0624.810 | 520
P=1446 | X=0111.170-0352.280 | Y=0625.150-0636.390 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=1446 | X=0111.170-0153.310 | Y=0638.550-0647.870 | >1.000m.
P=1446 | X=0111.170-0334.810 | Y=0654.190-0665.430 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1446 | X=0219.430-0291.310 | Y=0671.950-0683.190 | Đường vào Nhà
P=1446 | X=0219.430-0290.980 | Y=0683.470-0694.710 | văn hóa ấp Đức
P=1446 | X=0094.820-0159.730 | Y=0685.350-0694.670 | 15 Quốc lộ 20
P=1446 | X=0302.760-0349.890 | Y=0685.350-0694.670 | Xã La Ngà
P=1446 | X=0405.980-0431.030 | Y=0685.350-0694.670 | 3.800
P=1446 | X=0453.530-0478.580 | Y=0685.350-0694.670 | 2.700
P=1446 | X=0497.230-0522.280 | Y=0685.350-0694.670 | 2.300
P=1446 | X=0219.430-0250.000 | Y=0696.630-0705.950 | Long 3
P=1447 | X=0111.170-0376.300 | Y=0078.500-0089.740 | Các tuyến đường giao thông đấu nối trực tiếp ra Quốc lộ 20
P=1447 | X=0111.170-0375.800 | Y=0090.020-0101.260 | đoạn từ Đường vào Nhà văn hóa ấp Đức Long 3 đến Xã La
P=1447 | X=0111.170-0339.140 | Y=0101.540-0112.780 | Ngà có hiện trạng là đường nhựa, bê tông xi măng:
P=1447 | X=0094.820-0105.940 | Y=0109.420-0118.740 | 16
P=1447 | X=0405.980-0431.030 | Y=0109.420-0118.740 | 1.100
P=1447 | X=0461.690-0478.330 | Y=0109.420-0118.740 | 770
P=1447 | X=0505.390-0522.030 | Y=0109.420-0118.740 | 660
P=1447 | X=0111.170-0342.250 | Y=0119.090-0130.330 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1447 | X=0111.170-0388.360 | Y=0136.610-0147.850 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=1447 | X=0111.170-0376.300 | Y=0154.370-0165.610 | Các tuyến đường giao thông đấu nối trực tiếp ra Quốc lộ 20
P=1447 | X=0111.170-0375.800 | Y=0165.650-0176.890 | đoạn từ Đường vào Nhà văn hóa ấp Đức Long 3 đến Xã La
P=1447 | X=0111.170-0339.140 | Y=0177.170-0188.410 | Ngà có hiện trạng là đường nhựa, bê tông xi măng:
P=1447 | X=0094.820-0342.720 | Y=0194.690-0209.030 | 17 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1447 | X=0414.140-0430.780 | Y=0199.710-0209.030 | 890
P=1447 | X=0461.690-0478.330 | Y=0199.710-0209.030 | 620
P=1447 | X=0505.390-0522.030 | Y=0199.710-0209.030 | 530
P=1447 | X=0111.170-0364.480 | Y=0212.230-0223.470 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=1447 | X=0111.170-0206.120 | Y=0223.750-0234.990 | >500m đến ≤1.000m.
P=1447 | X=0111.170-0334.340 | Y=0241.270-0252.510 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1447 | X=0111.170-0376.300 | Y=0259.030-0270.270 | Các tuyến đường giao thông đấu nối trực tiếp ra Quốc lộ 20
P=1447 | X=0111.170-0375.800 | Y=0270.550-0281.790 | đoạn từ Đường vào Nhà văn hóa ấp Đức Long 3 đến Xã La
P=1447 | X=0111.170-0339.160 | Y=0282.100-0293.340 | Ngà có hiện trạng là đường nhựa, bê tông xi măng:
P=1447 | X=0094.820-0105.940 | Y=0295.740-0305.060 | 18
P=1447 | X=0414.140-0430.780 | Y=0295.740-0305.060 | 570
P=1447 | X=0461.690-0478.330 | Y=0295.740-0305.060 | 400
P=1447 | X=0505.390-0522.030 | Y=0295.740-0305.060 | 340
P=1447 | X=0111.170-0352.280 | Y=0299.620-0310.860 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=1447 | X=0111.170-0153.310 | Y=0313.020-0322.340 | >1.000m.
P=1447 | X=0111.170-0334.810 | Y=0328.660-0339.900 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1447 | X=0111.170-0384.680 | Y=0346.420-0357.660 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=1447 | X=0111.170-0390.200 | Y=0357.700-0368.940 | ra Quốc lộ 20 đoạn từ Đường vào Nhà văn hóa ấp Đức Long 3
P=1447 | X=0111.170-0387.400 | Y=0369.240-0380.480 | đến Xã La Ngà có hiện trạng là đường nhựa, bê tông xi măng:
P=1447 | X=0094.820-0105.940 | Y=0377.120-0386.440 | 19
P=1447 | X=0414.140-0430.780 | Y=0377.120-0386.440 | 990
P=1447 | X=0461.690-0478.330 | Y=0377.120-0386.440 | 690
P=1447 | X=0505.390-0522.030 | Y=0377.120-0386.440 | 590
P=1447 | X=0111.170-0342.250 | Y=0386.760-0398.000 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1447 | X=0111.170-0388.360 | Y=0404.280-0415.520 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=1447 | X=0111.170-0384.680 | Y=0422.040-0433.280 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=1447 | X=0111.170-0390.200 | Y=0433.560-0444.800 | ra Quốc lộ 20 đoạn từ Đường vào Nhà văn hóa ấp Đức Long 3
P=1447 | X=0111.170-0387.400 | Y=0445.080-0456.320 | đến Xã La Ngà có hiện trạng là đường nhựa, bê tông xi măng:
P=1447 | X=0094.820-0342.720 | Y=0462.620-0476.700 | 20 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1447 | X=0414.140-0430.780 | Y=0467.380-0476.700 | 800
P=1447 | X=0461.690-0478.330 | Y=0467.380-0476.700 | 560
P=1447 | X=0505.390-0522.030 | Y=0467.380-0476.700 | 480
P=1447 | X=0111.170-0364.480 | Y=0480.140-0491.380 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=1447 | X=0111.170-0206.120 | Y=0491.660-0502.900 | >500m đến ≤1.000m.
P=1447 | X=0111.170-0334.350 | Y=0509.180-0520.420 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1447 | X=0111.170-0384.680 | Y=0526.940-0538.180 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=1447 | X=0111.170-0390.200 | Y=0538.250-0549.490 | ra Quốc lộ 20 đoạn từ Đường vào Nhà văn hóa ấp Đức Long 3
P=1447 | X=0111.170-0387.400 | Y=0549.770-0561.010 | đến Xã La Ngà có hiện trạng là đường nhựa, bê tông xi măng:
P=1447 | X=0094.820-0105.940 | Y=0563.410-0572.730 | 21
P=1447 | X=0414.140-0430.780 | Y=0563.410-0572.730 | 510
P=1447 | X=0461.690-0478.330 | Y=0563.410-0572.730 | 360
P=1447 | X=0505.390-0522.030 | Y=0563.410-0572.730 | 310
P=1447 | X=0111.170-0352.280 | Y=0567.290-0578.530 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=1447 | X=0111.170-0153.310 | Y=0580.690-0590.010 | >1.000m.
P=1447 | X=0111.170-0334.810 | Y=0596.330-0607.570 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1447 | X=0219.430-0300.440 | Y=0614.090-0625.330 | Đường song hành
P=1447 | X=0302.760-0371.240 | Y=0621.750-0631.070 | Giáp ranh chùa
P=1447 | X=0094.820-0184.690 | Y=0625.630-0636.870 | 22 Đường Cầu Ván
P=1447 | X=0219.430-0292.420 | Y=0625.630-0636.870 | phía Đông Quốc
P=1447 | X=0405.980-0431.030 | Y=0627.510-0636.830 | 2.100
P=1447 | X=0453.530-0478.580 | Y=0627.510-0636.830 | 1.500
P=1447 | X=0497.230-0522.280 | Y=0627.510-0636.830 | 1.300
P=1447 | X=0302.760-0344.980 | Y=0633.270-0642.590 | Trúc Lâm
P=1447 | X=0219.430-0241.380 | Y=0639.030-0648.350 | lộ 20
P=1447 | X=0111.170-0380.630 | Y=0654.910-0666.150 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Cầu
P=1447 | X=0111.170-0369.590 | Y=0666.430-0677.670 | Ván đoạn từ Đường song hành phía Đông Quốc lộ 20 đến
P=1447 | X=0094.820-0371.480 | Y=0677.950-0692.030 | 23 Giáp ranh chùa Trúc Lâm có hiện trạng là đường nhựa, bê
P=1447 | X=0414.140-0430.780 | Y=0682.710-0692.030 | 900
P=1447 | X=0461.690-0478.330 | Y=0682.710-0692.030 | 630
P=1447 | X=0505.390-0522.030 | Y=0682.710-0692.030 | 540
P=1447 | X=0111.170-0171.330 | Y=0689.470-0700.710 | tông xi măng:
P=1447 | X=0111.170-0342.250 | Y=0706.770-0718.010 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1448 | X=0111.170-0388.360 | Y=0078.500-0089.740 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=1448 | X=0111.170-0380.630 | Y=0096.260-0107.500 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Cầu
P=1448 | X=0111.170-0369.590 | Y=0107.780-0119.020 | Ván đoạn từ Đường song hành phía Đông Quốc lộ 20 đến
P=1448 | X=0111.170-0371.480 | Y=0119.330-0130.570 | Giáp ranh chùa Trúc Lâm có hiện trạng là đường nhựa, bê
P=1448 | X=0111.170-0171.330 | Y=0130.850-0142.090 | tông xi măng:
P=1448 | X=0094.820-0342.720 | Y=0147.370-0159.610 | 24 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1448 | X=0414.140-0430.780 | Y=0147.370-0156.690 | 600
P=1448 | X=0461.690-0478.330 | Y=0147.370-0156.690 | 420
P=1448 | X=0505.390-0522.030 | Y=0147.370-0156.690 | 360
P=1448 | X=0111.170-0364.480 | Y=0165.650-0176.890 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=1448 | X=0111.170-0206.140 | Y=0177.170-0188.410 | >500m đến ≤1.000m.
P=1448 | X=0111.170-0334.340 | Y=0194.690-0205.930 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1448 | X=0111.170-0380.630 | Y=0212.470-0223.710 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Cầu
P=1448 | X=0111.170-0369.590 | Y=0223.990-0235.230 | Ván đoạn từ Đường song hành phía Đông Quốc lộ 20 đến
P=1448 | X=0111.170-0371.480 | Y=0235.510-0246.750 | Giáp ranh chùa Trúc Lâm có hiện trạng là đường nhựa, bê
P=1448 | X=0111.170-0171.330 | Y=0247.030-0258.270 | tông xi măng:
P=1448 | X=0094.820-0105.940 | Y=0254.910-0264.230 | 25
P=1448 | X=0414.140-0430.780 | Y=0254.910-0264.230 | 300
P=1448 | X=0461.690-0478.330 | Y=0254.910-0264.230 | 210
P=1448 | X=0505.390-0522.030 | Y=0254.910-0264.230 | 180
P=1448 | X=0111.170-0352.280 | Y=0264.550-0275.790 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=1448 | X=0111.170-0153.310 | Y=0277.950-0287.270 | >1.000m.
P=1448 | X=0111.170-0334.810 | Y=0293.620-0304.860 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1448 | X=0111.170-0384.680 | Y=0311.380-0322.620 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=1448 | X=0111.170-0366.200 | Y=0322.900-0334.140 | ra Đường Cầu Ván đoạn từ Đường song hành phía Đông
P=1448 | X=0111.170-0366.670 | Y=0334.420-0345.660 | Quốc lộ 20 đến Giáp ranh chùa Trúc Lâm có hiện trạng là
P=1448 | X=0094.820-0246.940 | Y=0345.700-0357.140 | 26 đường nhựa, bê tông xi măng:
P=1448 | X=0414.140-0430.780 | Y=0347.820-0357.140 | 810
P=1448 | X=0461.690-0478.330 | Y=0347.820-0357.140 | 570
P=1448 | X=0505.390-0522.030 | Y=0347.820-0357.140 | 490
P=1448 | X=0111.170-0342.250 | Y=0363.220-0374.460 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1448 | X=0111.170-0388.360 | Y=0380.760-0392.000 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=1448 | X=0111.170-0384.680 | Y=0398.520-0409.760 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=1448 | X=0111.170-0366.200 | Y=0410.040-0421.280 | ra Đường Cầu Ván đoạn từ Đường song hành phía Đông
P=1448 | X=0111.170-0366.670 | Y=0421.560-0432.800 | Quốc lộ 20 đến Giáp ranh chùa Trúc Lâm có hiện trạng là
P=1448 | X=0111.170-0246.940 | Y=0433.080-0444.320 | đường nhựa, bê tông xi măng:
P=1448 | X=0094.820-0342.720 | Y=0449.600-0461.860 | 27 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1448 | X=0414.140-0430.780 | Y=0449.600-0458.920 | 540
