TABLE=056 | AREA=Phường Bình Phước | SECTION=non-agricultural | SEGMENTS=1
P=1843 | X=0386.300-0416.870 | Y=0202.590-0211.910 | 16.800
P=1843 | X=0429.770-0460.340 | Y=0202.590-0211.910 | 11.800
P=1843 | X=0491.710-0522.280 | Y=0202.590-0211.910 | 10.100
P=1843 | X=0319.080-0383.640 | Y=0212.230-0223.470 | Đông Phú (cũ)
P=1843 | X=0252.820-0271.620 | Y=0214.110-0223.430 | số 2
P=1843 | X=0252.820-0364.200 | Y=0230.230-0241.470 | Ngã tư Đồng Đường Lý
P=1843 | X=0095.570-0204.150 | Y=0235.990-0247.230 | 9 Đường Phú Riềng Đỏ
P=1843 | X=0386.300-0416.870 | Y=0237.870-0247.190 | 38.500
P=1843 | X=0429.770-0460.340 | Y=0237.870-0247.190 | 27.000
P=1843 | X=0491.710-0522.280 | Y=0237.870-0247.190 | 23.100
P=1843 | X=0319.080-0375.420 | Y=0241.750-0252.990 | Thường Kiệt
P=1843 | X=0252.820-0272.590 | Y=0243.630-0252.950 | Xoài
P=1843 | X=0319.080-0350.840 | Y=0259.750-0270.990 | Đường
P=1843 | X=0252.820-0297.940 | Y=0265.510-0276.750 | Đường Lý
P=1843 | X=0092.900-0204.150 | Y=0271.270-0282.510 | 10 Đường Phú Riềng Đỏ
P=1843 | X=0319.080-0416.870 | Y=0271.270-0282.510 | Trương Công 29.400
P=1843 | X=0429.770-0460.340 | Y=0273.150-0282.470 | 20.600
P=1843 | X=0491.710-0522.280 | Y=0273.150-0282.470 | 17.600
P=1843 | X=0252.820-0309.160 | Y=0277.030-0288.270 | Thường Kiệt
P=1843 | X=0319.080-0339.800 | Y=0282.820-0294.060 | Định
P=1843 | X=0252.820-0284.580 | Y=0300.820-0312.060 | Đường
P=1843 | X=0319.080-0377.010 | Y=0300.820-0312.060 | Đường Cách
P=1843 | X=0092.900-0204.150 | Y=0312.340-0323.580 | 11 Đường Phú Riềng Đỏ
P=1843 | X=0252.820-0416.870 | Y=0312.340-0323.580 | Trương Công Mạng Tháng 23.800
P=1843 | X=0429.770-0460.340 | Y=0314.220-0323.540 | 16.700
P=1843 | X=0491.710-0522.280 | Y=0314.220-0323.540 | 14.300
P=1843 | X=0252.820-0273.540 | Y=0323.860-0335.100 | Định
P=1843 | X=0319.080-0338.990 | Y=0325.740-0335.060 | Tám
P=1843 | X=0319.080-0374.230 | Y=0341.860-0353.100 | Hết ranh đất
P=1843 | X=0252.820-0310.750 | Y=0347.620-0358.860 | Đường Cách
P=1843 | X=0319.080-0382.570 | Y=0355.260-0364.580 | Trung tâm Sát
P=1843 | X=0092.900-0204.150 | Y=0359.140-0370.380 | 12 Đường Phú Riềng Đỏ
P=1843 | X=0252.820-0309.070 | Y=0361.020-0370.340 | Mạng Tháng
P=1843 | X=0386.300-0416.870 | Y=0361.020-0370.340 | 20.000
P=1843 | X=0429.770-0460.340 | Y=0361.020-0370.340 | 14.000
P=1843 | X=0491.710-0522.280 | Y=0361.020-0370.340 | 12.000
P=1843 | X=0319.080-0368.830 | Y=0366.780-0376.100 | Hạch lái xe
P=1843 | X=0252.820-0272.730 | Y=0372.560-0381.880 | Tám
P=1843 | X=0319.080-0352.530 | Y=0378.080-0387.400 | Cao Su
P=1843 | X=0252.820-0313.480 | Y=0394.200-0405.440 | Giáp ranh đất
P=1843 | X=0319.080-0363.080 | Y=0401.840-0411.160 | Giáp ranh
P=1843 | X=0252.820-0316.310 | Y=0407.600-0416.920 | Trung tâm Sát
P=1843 | X=0092.900-0204.150 | Y=0411.480-0422.720 | 13 Đường Phú Riềng Đỏ
P=1843 | X=0319.080-0372.950 | Y=0411.480-0422.720 | huyện Đồng
P=1843 | X=0386.300-0416.870 | Y=0413.360-0422.680 | 13.600
P=1843 | X=0435.290-0460.340 | Y=0413.360-0422.680 | 9.500
P=1843 | X=0497.230-0522.280 | Y=0413.360-0422.680 | 8.200
P=1843 | X=0252.820-0302.570 | Y=0419.120-0428.440 | Hạch lái xe
P=1843 | X=0319.080-0356.990 | Y=0423.000-0434.240 | Phú (cũ)
P=1843 | X=0252.820-0286.270 | Y=0430.640-0439.960 | Cao Su
P=1843 | X=0252.820-0367.450 | Y=0446.760-0458.000 | Ngã tư Đồng Đường Nơ
P=1843 | X=0092.900-0204.150 | Y=0452.540-0463.780 | 14 Đường Phú Riềng Đỏ
P=1843 | X=0386.300-0416.870 | Y=0454.420-0463.740 | 38.500
P=1843 | X=0429.770-0460.340 | Y=0454.420-0463.740 | 27.000
P=1843 | X=0491.710-0522.280 | Y=0454.420-0463.740 | 23.100
P=1843 | X=0252.820-0272.590 | Y=0460.180-0469.500 | Xoài
P=1843 | X=0319.080-0370.290 | Y=0460.180-0469.500 | Trang Long
P=1843 | X=0252.820-0301.190 | Y=0476.300-0487.540 | Đường Nơ
P=1843 | X=0319.080-0377.490 | Y=0476.300-0487.540 | Đường Hùng
P=1843 | X=0092.900-0204.160 | Y=0482.060-0493.300 | 15 Đường Phú Riềng Đỏ
P=1843 | X=0386.300-0416.870 | Y=0483.940-0493.260 | 29.400
P=1843 | X=0429.770-0460.340 | Y=0483.940-0493.260 | 20.600
P=1843 | X=0491.710-0522.280 | Y=0483.940-0493.260 | 17.600
P=1843 | X=0319.080-0350.360 | Y=0487.820-0499.060 | Vương
P=1843 | X=0252.820-0304.030 | Y=0489.700-0499.020 | Trang Long
P=1843 | X=0319.080-0374.230 | Y=0505.820-0517.060 | Hết ranh đất
P=1843 | X=0252.820-0378.140 | Y=0517.340-0528.580 | Đường Hùng Chi cục Kiểm
P=1843 | X=0092.900-0204.150 | Y=0523.100-0534.340 | 16 Đường Phú Riềng Đỏ
P=1843 | X=0386.300-0416.870 | Y=0524.980-0534.300 | 23.800
P=1843 | X=0429.770-0460.340 | Y=0524.980-0534.300 | 16.700
P=1843 | X=0491.710-0522.280 | Y=0524.980-0534.300 | 14.300
P=1843 | X=0252.820-0284.100 | Y=0528.860-0540.100 | Vương
P=1843 | X=0319.080-0377.710 | Y=0530.740-0540.060 | lâm tỉnh Bình
P=1843 | X=0319.080-0369.720 | Y=0540.410-0551.650 | Phước (cũ)
P=1843 | X=0252.820-0313.000 | Y=0558.410-0569.650 | Giấy ranh đất
P=1843 | X=0319.080-0376.530 | Y=0566.050-0575.370 | Giáp ranh xã
P=1843 | X=0252.820-0311.880 | Y=0571.810-0581.130 | Chi cục Kiểm
P=1843 | X=0092.900-0204.150 | Y=0575.690-0586.930 | 17 Đường Phú Riềng Đỏ
P=1843 | X=0319.080-0366.680 | Y=0575.690-0586.930 | Tiến Hưng
P=1843 | X=0386.300-0416.870 | Y=0577.570-0586.890 | 20.000
P=1843 | X=0429.770-0460.340 | Y=0577.570-0586.890 | 14.000
P=1843 | X=0491.710-0522.280 | Y=0577.570-0586.890 | 12.000
P=1843 | X=0252.820-0311.450 | Y=0583.330-0592.650 | lâm tỉnh Bình
P=1843 | X=0319.080-0336.360 | Y=0587.210-0598.450 | (cũ)
P=1843 | X=0252.820-0303.460 | Y=0592.970-0604.210 | Phước (cũ)
P=1843 | X=0252.820-0305.220 | Y=0610.730-0621.970 | Đường Phú
P=1843 | X=0319.080-0365.970 | Y=0610.730-0621.970 | Đường Võ
P=1843 | X=0092.900-0222.360 | Y=0616.510-0627.750 | 18 Đường An Dương Vương
P=1843 | X=0386.300-0416.870 | Y=0618.390-0627.710 | 24.000
P=1843 | X=0429.770-0460.340 | Y=0618.390-0627.710 | 16.800
P=1843 | X=0491.710-0522.280 | Y=0618.390-0627.710 | 14.400
P=1843 | X=0252.820-0294.660 | Y=0622.270-0633.510 | Riềng Đỏ
P=1843 | X=0319.080-0357.080 | Y=0622.270-0633.510 | Văn Tần
P=1843 | X=0252.820-0299.710 | Y=0640.270-0651.510 | Đường Võ
P=1843 | X=0319.080-0377.660 | Y=0640.270-0651.510 | Đường Quốc
P=1843 | X=0092.900-0222.360 | Y=0646.030-0657.270 | 19 Đường An Dương Vương
P=1843 | X=0386.300-0416.870 | Y=0647.910-0657.230 | 21.200
P=1843 | X=0429.770-0460.340 | Y=0647.910-0657.230 | 14.800
P=1843 | X=0491.710-0522.280 | Y=0647.910-0657.230 | 12.700
P=1843 | X=0252.820-0290.820 | Y=0651.790-0663.030 | Văn Tần
P=1843 | X=0319.080-0341.000 | Y=0653.670-0662.990 | lộ 14
P=1843 | X=0252.820-0298.510 | Y=0669.790-0681.030 | Đường Lê
P=1843 | X=0319.080-0374.380 | Y=0669.790-0681.030 | Đường Trần
P=1843 | X=0092.900-0191.440 | Y=0675.550-0686.790 | 20 Đường Bạch Đằng
P=1843 | X=0386.300-0416.870 | Y=0677.430-0686.750 | 14.000
P=1843 | X=0435.290-0460.340 | Y=0677.430-0686.750 | 9.800
P=1843 | X=0497.230-0522.280 | Y=0677.430-0686.750 | 8.400
P=1843 | X=0252.820-0276.660 | Y=0683.190-0692.510 | Duẩn
P=1843 | X=0319.080-0372.700 | Y=0683.190-0692.510 | Quang Diệu
P=1843 | X=0092.900-0191.440 | Y=0699.310-0710.550 | 21 Đường Bạch Đằng
P=1843 | X=0252.820-0308.120 | Y=0699.310-0710.550 | Đường Trần
P=1843 | X=0319.080-0350.840 | Y=0699.310-0710.550 | Đường
P=1843 | X=0386.300-0416.870 | Y=0701.190-0710.510 | 12.400
P=1843 | X=0435.290-0460.340 | Y=0701.190-0710.510 | 8.700
P=1843 | X=0497.230-0522.280 | Y=0701.190-0710.510 | 7.400
P=1844 | X=0319.080-0382.040 | Y=0072.740-0083.980 | Trường Chinh
P=1844 | X=0252.820-0306.440 | Y=0074.620-0083.940 | Quang Diệu
P=1844 | X=0252.820-0305.220 | Y=0090.740-0101.980 | Đường Phú
P=1844 | X=0319.080-0377.500 | Y=0090.740-0101.980 | Đường Đặng
P=1844 | X=0092.900-0198.880 | Y=0096.500-0107.740 | 22 Đường Bùi Thị Xuân
P=1844 | X=0386.300-0416.870 | Y=0098.380-0107.700 | 16.000
P=1844 | X=0429.770-0460.340 | Y=0098.380-0107.700 | 11.200
P=1844 | X=0497.230-0522.280 | Y=0098.380-0107.700 | 9.600
P=1844 | X=0252.820-0294.660 | Y=0102.260-0113.500 | Riềng Đỏ
P=1844 | X=0319.080-0357.550 | Y=0104.140-0113.460 | Thai Mai
P=1844 | X=0252.820-0366.460 | Y=0120.290-0131.530 | Đường Đặng Đường Hồ
P=1844 | X=0092.900-0198.880 | Y=0126.050-0137.290 | 23 Đường Bùi Thị Xuân
P=1844 | X=0386.300-0416.870 | Y=0127.930-0137.250 | 11.000
P=1844 | X=0435.290-0460.340 | Y=0127.930-0137.250 | 7.700
P=1844 | X=0497.230-0522.280 | Y=0127.930-0137.250 | 6.600
P=1844 | X=0319.080-0376.760 | Y=0131.810-0143.050 | Xuân Hương
P=1844 | X=0252.820-0291.290 | Y=0133.690-0143.010 | Thai Mai
P=1844 | X=0252.820-0308.120 | Y=0149.810-0161.050 | Đường Trần
P=1844 | X=0319.080-0364.200 | Y=0149.810-0161.050 | Đường Lý
P=1844 | X=0092.900-0205.580 | Y=0155.570-0166.810 | 24 Đường Đặng Trần Thi
P=1844 | X=0386.300-0416.870 | Y=0157.450-0166.770 | 14.400
P=1844 | X=0429.770-0460.340 | Y=0157.450-0166.770 | 10.100
P=1844 | X=0497.230-0522.280 | Y=0157.450-0166.770 | 8.600
P=1844 | X=0252.820-0299.000 | Y=0161.330-0172.570 | Hưng Đạo
P=1844 | X=0319.080-0375.420 | Y=0161.330-0172.570 | Thường Kiệt
P=1844 | X=0252.820-0308.120 | Y=0179.330-0190.570 | Đường Trần
P=1844 | X=0319.080-0371.970 | Y=0179.330-0190.570 | Đường Cao
P=1844 | X=0092.900-0205.580 | Y=0185.090-0196.330 | 25 Đường Đặng Trần Thi
P=1844 | X=0386.300-0416.870 | Y=0186.970-0196.290 | 20.000
P=1844 | X=0429.770-0460.340 | Y=0186.970-0196.290 | 14.000
P=1844 | X=0491.710-0522.280 | Y=0186.970-0196.290 | 12.000
P=1844 | X=0252.820-0299.000 | Y=0190.850-0202.090 | Hưng Đạo
P=1844 | X=0319.080-0362.770 | Y=0192.730-0202.050 | Xuân Huy
P=1844 | X=0252.820-0304.240 | Y=0208.870-0220.110 | Ngã tư Bàu
P=1844 | X=0319.080-0366.440 | Y=0208.870-0220.110 | Đường Cù
P=1844 | X=0092.900-0174.610 | Y=0214.630-0225.870 | 26 Đường ĐT 753
P=1844 | X=0386.300-0416.870 | Y=0216.510-0225.830 | 13.600
P=1844 | X=0435.290-0460.340 | Y=0216.510-0225.830 | 9.500
P=1844 | X=0497.230-0522.280 | Y=0216.510-0225.830 | 8.200
P=1844 | X=0252.820-0272.970 | Y=0222.270-0231.590 | Trúc
P=1844 | X=0319.080-0365.240 | Y=0222.270-0231.590 | Chính Lan
P=1844 | X=0252.820-0300.180 | Y=0238.390-0249.630 | Đường Cù
P=1844 | X=0092.900-0174.610 | Y=0243.910-0255.150 | 27 Đường ĐT 753
P=1844 | X=0319.080-0375.350 | Y=0245.790-0255.110 | Cầu Rạt nhỏ
P=1844 | X=0386.300-0416.870 | Y=0245.790-0255.110 | 11.200
P=1844 | X=0435.290-0460.340 | Y=0245.790-0255.110 | 7.800
P=1844 | X=0497.230-0522.280 | Y=0245.790-0255.110 | 6.700
P=1844 | X=0252.820-0298.980 | Y=0251.550-0260.870 | Chính Lan
P=1844 | X=0319.080-0373.180 | Y=0269.550-0278.870 | Cầu Rạt lớn
P=1844 | X=0319.080-0364.280 | Y=0281.070-0290.390 | (giáp ranh
P=1844 | X=0092.900-0174.610 | Y=0284.980-0296.220 | 28 Đường ĐT 753
P=1844 | X=0252.820-0309.090 | Y=0286.860-0296.180 | Cầu Rạt nhỏ
P=1844 | X=0391.820-0416.870 | Y=0286.860-0296.180 | 8.000
P=1844 | X=0435.290-0460.340 | Y=0286.860-0296.180 | 5.600
P=1844 | X=0497.230-0522.280 | Y=0286.860-0296.180 | 4.800
P=1844 | X=0319.080-0372.950 | Y=0290.740-0301.980 | huyện Đồng
P=1844 | X=0319.080-0360.340 | Y=0302.260-0313.500 | Phú (cũ))
P=1844 | X=0252.820-0292.980 | Y=0320.260-0331.500 | Đường 6
P=1844 | X=0319.080-0374.380 | Y=0320.260-0331.500 | Đường Trần
P=1844 | X=0092.900-0195.280 | Y=0326.020-0337.260 | 29 Đường Hà Huy Tập
P=1844 | X=0386.300-0416.870 | Y=0327.900-0337.220 | 11.200
P=1844 | X=0435.290-0460.340 | Y=0327.900-0337.220 | 7.800
P=1844 | X=0497.230-0522.280 | Y=0327.900-0337.220 | 6.700
P=1844 | X=0319.080-0365.260 | Y=0331.780-0343.020 | Hưng Đạo
P=1844 | X=0252.820-0286.260 | Y=0333.660-0342.980 | tháng 1
P=1844 | X=0252.820-0308.120 | Y=0349.780-0361.020 | Đường Trần
P=1844 | X=0319.080-0379.580 | Y=0349.780-0361.020 | Đường Phạm
P=1844 | X=0092.900-0195.280 | Y=0355.540-0366.780 | 30 Đường Hà Huy Tập
P=1844 | X=0386.300-0416.870 | Y=0357.420-0366.740 | 10.400
P=1844 | X=0435.290-0460.340 | Y=0357.420-0366.740 | 7.300
P=1844 | X=0497.230-0522.280 | Y=0357.420-0366.740 | 6.200
P=1844 | X=0252.820-0299.000 | Y=0361.300-0372.540 | Hưng Đạo
P=1844 | X=0319.080-0355.880 | Y=0361.300-0372.540 | Đình Hổ
P=1844 | X=0319.080-0350.840 | Y=0379.320-0390.560 | Đường
P=1844 | X=0252.820-0311.400 | Y=0385.080-0396.320 | Đường Quốc
P=1844 | X=0092.900-0201.960 | Y=0390.840-0402.080 | 31 Đường Hai Bà Trưng
P=1844 | X=0319.080-0416.870 | Y=0390.840-0402.080 | Trương Công 24.500
P=1844 | X=0429.770-0460.340 | Y=0392.720-0402.040 | 17.200
P=1844 | X=0491.710-0522.280 | Y=0392.720-0402.040 | 14.700
P=1844 | X=0252.820-0274.740 | Y=0398.480-0407.800 | lộ 14
P=1844 | X=0319.080-0339.800 | Y=0402.360-0413.600 | Định
P=1844 | X=0252.820-0284.580 | Y=0420.360-0431.600 | Đường
P=1844 | X=0319.080-0384.700 | Y=0426.120-0437.360 | Đường Bùi Thị
P=1844 | X=0092.900-0201.960 | Y=0431.880-0443.120 | 32 Đường Hai Bà Trưng
P=1844 | X=0252.820-0313.370 | Y=0431.880-0443.120 | Trương Công
P=1844 | X=0386.300-0416.870 | Y=0433.760-0443.080 | 12.000
P=1844 | X=0435.290-0460.340 | Y=0433.760-0443.080 | 8.400
P=1844 | X=0497.230-0522.280 | Y=0433.760-0443.080 | 7.200
P=1844 | X=0319.080-0342.210 | Y=0439.520-0448.840 | Xuân
P=1844 | X=0252.820-0273.540 | Y=0443.400-0454.640 | Định
P=1844 | X=0319.080-0350.840 | Y=0461.420-0472.660 | Đường
P=1844 | X=0252.820-0300.200 | Y=0467.180-0478.420 | Đường Hồ
P=1844 | X=0092.900-0186.110 | Y=0472.940-0484.180 | 33 Đường Hàm Nghi
P=1844 | X=0319.080-0416.870 | Y=0474.820-0484.140 | Nguyễn Bỉnh 12.400
P=1844 | X=0435.290-0460.340 | Y=0474.820-0484.140 | 8.700
P=1844 | X=0497.230-0522.280 | Y=0474.820-0484.140 | 7.400
P=1844 | X=0252.820-0310.530 | Y=0478.700-0489.940 | Xuân Hương
P=1844 | X=0319.080-0347.380 | Y=0486.100-0495.420 | Khiêm
P=1844 | X=0252.820-0284.580 | Y=0502.220-0513.460 | Đường
P=1844 | X=0319.080-0350.840 | Y=0507.980-0519.220 | Đường
P=1844 | X=0092.900-0186.110 | Y=0513.740-0524.980 | 34 Đường Hàm Nghi
P=1844 | X=0252.820-0310.290 | Y=0515.620-0524.940 | Nguyễn Bỉnh
P=1844 | X=0386.300-0416.870 | Y=0515.620-0524.940 | 11.200
P=1844 | X=0435.290-0460.340 | Y=0515.620-0524.940 | 7.800
P=1844 | X=0497.230-0522.280 | Y=0515.620-0524.940 | 6.700
P=1844 | X=0319.080-0382.040 | Y=0519.500-0530.740 | Trường Chinh
P=1844 | X=0252.820-0281.120 | Y=0527.140-0536.460 | Khiêm
P=1844 | X=0252.820-0284.580 | Y=0543.290-0554.530 | Đường
P=1844 | X=0319.080-0374.520 | Y=0543.290-0554.530 | Đường Hàm
P=1844 | X=0092.900-0215.170 | Y=0549.050-0560.290 | 35 Đường Hồ Xuân Hương
P=1844 | X=0386.300-0416.870 | Y=0550.930-0560.250 | 20.800
P=1844 | X=0429.770-0460.340 | Y=0550.930-0560.250 | 14.600
P=1844 | X=0491.710-0522.280 | Y=0550.930-0560.250 | 12.500
P=1844 | X=0252.820-0339.570 | Y=0554.810-0566.050 | Trường Chinh Nghi
P=1844 | X=0252.820-0308.260 | Y=0572.810-0584.050 | Đường Hàm
P=1844 | X=0319.080-0364.770 | Y=0572.810-0584.050 | Đường Lê
P=1844 | X=0092.900-0215.170 | Y=0578.570-0589.810 | 36 Đường Hồ Xuân Hương
P=1844 | X=0386.300-0416.870 | Y=0580.450-0589.770 | 24.000
P=1844 | X=0429.770-0460.340 | Y=0580.450-0589.770 | 16.800
P=1844 | X=0491.710-0522.280 | Y=0580.450-0589.770 | 14.400
P=1844 | X=0252.820-0273.310 | Y=0586.210-0595.530 | Nghi
P=1844 | X=0319.080-0365.500 | Y=0586.210-0595.530 | Trọng Tấn
P=1844 | X=0319.080-0350.840 | Y=0602.330-0613.570 | Đường
P=1844 | X=0252.820-0298.510 | Y=0608.090-0619.330 | Đường Lê
P=1844 | X=0092.900-0215.170 | Y=0613.850-0625.090 | 37 Đường Hồ Xuân Hương
P=1844 | X=0319.080-0375.830 | Y=0615.730-0625.050 | Nguyễn Hữu
P=1844 | X=0386.300-0416.870 | Y=0615.730-0625.050 | 17.200
P=1844 | X=0429.770-0460.340 | Y=0615.730-0625.050 | 12.000
P=1844 | X=0491.710-0522.280 | Y=0615.730-0625.050 | 10.300
P=1844 | X=0252.820-0299.240 | Y=0621.510-0630.830 | Trọng Tấn
P=1844 | X=0319.080-0342.920 | Y=0627.270-0636.590 | Cảnh
P=1844 | X=0319.080-0367.670 | Y=0643.390-0654.630 | Hết đường
P=1844 | X=0252.820-0284.580 | Y=0649.150-0660.390 | Đường
P=1844 | X=0319.080-0375.810 | Y=0656.790-0666.110 | N16 khu dân
P=1844 | X=0092.900-0215.170 | Y=0660.670-0671.910 | 38 Đường Hồ Xuân Hương
P=1844 | X=0252.820-0309.570 | Y=0662.550-0671.870 | Nguyễn Hữu
P=1844 | X=0386.300-0416.870 | Y=0662.550-0671.870 | 10.500
P=1844 | X=0435.290-0460.340 | Y=0662.550-0671.870 | 7.300
P=1844 | X=0497.230-0522.280 | Y=0662.550-0671.870 | 6.300
P=1844 | X=0319.080-0377.740 | Y=0666.430-0677.670 | cư Bắc Đồng
P=1844 | X=0252.820-0276.660 | Y=0674.070-0683.390 | Cảnh
P=1844 | X=0319.080-0336.920 | Y=0679.830-0689.150 | Phú
