TABLE=017 | AREA=Xã Đại Phước | SECTION=non-agricultural | SEGMENTS=1
P=0555 | X=0106.850-0398.620 | Y=0234.550-0245.790 | đường Trần Văn Trà và đường Lý Thái Tổ có hiện trạng là đường
P=0555 | X=0095.570-0209.960 | Y=0246.070-0257.510 | 2 nhựa, bê tông xi măng:
P=0555 | X=0424.970-0450.020 | Y=0248.190-0257.510 | 3.300
P=0555 | X=0461.210-0486.260 | Y=0248.190-0257.510 | 2.300
P=0555 | X=0497.230-0522.280 | Y=0248.190-0257.510 | 2.000
P=0555 | X=0106.850-0337.930 | Y=0263.590-0274.830 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=0555 | X=0106.850-0384.020 | Y=0281.110-0292.350 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=0555 | X=0106.850-0405.340 | Y=0298.900-0310.140 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Lý Thái Tổ
P=0555 | X=0106.850-0404.860 | Y=0310.420-0321.660 | (Đường tỉnh 769 cũ) đoạn từ Giáp ranh xã Nhơn Trạch đến Ngã ba
P=0555 | X=0106.850-0398.620 | Y=0321.700-0332.940 | đường Trần Văn Trà và đường Lý Thái Tổ có hiện trạng là đường
P=0555 | X=0106.850-0209.960 | Y=0333.220-0344.460 | nhựa, bê tông xi măng:
P=0555 | X=0095.570-0338.400 | Y=0349.980-0361.980 | 3 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=0555 | X=0424.970-0450.020 | Y=0349.980-0359.300 | 2.600
P=0555 | X=0461.210-0486.260 | Y=0349.980-0359.300 | 1.800
P=0555 | X=0497.230-0522.270 | Y=0349.980-0359.300 | 1.600
P=0555 | X=0106.850-0413.270 | Y=0368.280-0379.520 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >500m đến
P=0555 | X=0106.850-0148.530 | Y=0379.800-0391.040 | ≤1.000m.
P=0555 | X=0106.850-0330.020 | Y=0397.320-0408.560 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0555 | X=0106.850-0405.340 | Y=0415.080-0426.320 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Lý Thái Tổ
P=0555 | X=0106.850-0404.860 | Y=0426.600-0437.840 | (Đường tỉnh 769 cũ) đoạn từ Giáp ranh xã Nhơn Trạch đến Ngã ba
P=0555 | X=0106.850-0398.620 | Y=0438.120-0449.360 | đường Trần Văn Trà và đường Lý Thái Tổ có hiện trạng là đường
P=0555 | X=0095.570-0209.960 | Y=0449.660-0461.100 | 4 nhựa, bê tông xi măng:
P=0555 | X=0424.970-0450.020 | Y=0451.780-0461.100 | 1.800
P=0555 | X=0461.210-0486.260 | Y=0451.780-0461.100 | 1.300
P=0555 | X=0497.230-0522.280 | Y=0451.780-0461.100 | 1.100
P=0555 | X=0106.850-0392.640 | Y=0467.180-0478.420 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >1.000m.
P=0555 | X=0106.850-0330.490 | Y=0484.460-0495.700 | - Có bề rộng <3m, cách đường giao thông >200m.
P=0555 | X=0106.850-0392.110 | Y=0502.220-0513.460 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0555 | X=0106.850-0406.510 | Y=0513.740-0524.980 | Đường Lý Thái Tổ (Đường tỉnh 769 cũ) đoạn từ Giáp ranh xã Nhơn
P=0555 | X=0106.850-0412.550 | Y=0525.260-0536.500 | Trạch đến Ngã ba đường Trần Văn Trà và đường Lý Thái Tổ có hiện
P=0555 | X=0095.570-0278.630 | Y=0536.810-0548.250 | 5 trạng là đường nhựa, bê tông xi măng:
P=0555 | X=0424.970-0450.020 | Y=0538.930-0548.250 | 3.000
P=0555 | X=0461.210-0486.260 | Y=0538.930-0548.250 | 2.100
P=0555 | X=0497.230-0522.280 | Y=0538.930-0548.250 | 1.800
P=0555 | X=0106.850-0337.930 | Y=0554.330-0565.570 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=0555 | X=0106.850-0384.020 | Y=0571.850-0583.090 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=0555 | X=0106.850-0392.110 | Y=0589.610-0600.850 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0555 | X=0106.850-0406.510 | Y=0601.130-0612.370 | Đường Lý Thái Tổ (Đường tỉnh 769 cũ) đoạn từ Giáp ranh xã Nhơn
P=0555 | X=0106.850-0412.550 | Y=0612.650-0623.890 | Trạch đến Ngã ba đường Trần Văn Trà và đường Lý Thái Tổ có hiện
P=0555 | X=0106.850-0278.630 | Y=0624.190-0635.430 | trạng là đường nhựa, bê tông xi măng:
P=0555 | X=0095.570-0338.400 | Y=0640.710-0652.950 | 6 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=0555 | X=0424.970-0450.020 | Y=0640.710-0650.030 | 2.300
P=0555 | X=0461.210-0486.260 | Y=0640.710-0650.030 | 1.600
P=0555 | X=0497.230-0522.280 | Y=0640.710-0650.030 | 1.400
P=0555 | X=0106.850-0413.270 | Y=0659.230-0670.470 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >500m đến
P=0555 | X=0106.850-0148.530 | Y=0670.510-0681.750 | ≤1.000m.
P=0555 | X=0106.850-0330.020 | Y=0688.030-0699.270 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0555 | X=0095.570-0392.110 | Y=0705.810-0717.050 | 7 Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0555 | X=0424.970-0450.020 | Y=0707.700-0717.020 | 1.600
P=0555 | X=0461.210-0486.260 | Y=0707.700-0717.020 | 1.100
P=0555 | X=0505.390-0522.030 | Y=0707.700-0717.020 | 960
P=0556 | X=0106.850-0406.510 | Y=0072.500-0083.740 | Đường Lý Thái Tổ (Đường tỉnh 769 cũ) đoạn từ Giáp ranh xã Nhơn
P=0556 | X=0106.850-0412.550 | Y=0084.020-0095.260 | Trạch đến Ngã ba đường Trần Văn Trà và đường Lý Thái Tổ có hiện
P=0556 | X=0106.850-0278.630 | Y=0095.540-0106.780 | trạng là đường nhựa, bê tông xi măng:
P=0556 | X=0106.850-0392.640 | Y=0113.060-0124.300 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >1.000m.
P=0556 | X=0106.850-0330.490 | Y=0130.610-0141.850 | - Có bề rộng <3m, cách đường giao thông >200m.
P=0556 | X=0106.850-0311.210 | Y=0148.370-0159.610 | Đường Lý Thái Tổ (Đường Đường Trần Văn
P=0556 | X=0095.570-0101.170 | Y=0156.010-0165.330 | 8
P=0556 | X=0322.200-0374.600 | Y=0156.010-0165.330 | Phà Cát Lái
P=0556 | X=0419.450-0450.020 | Y=0156.010-0165.330 | 14.200
P=0556 | X=0461.210-0486.260 | Y=0156.010-0165.330 | 9.900
P=0556 | X=0497.230-0522.280 | Y=0156.010-0165.330 | 8.500
P=0556 | X=0106.850-0159.410 | Y=0159.650-0170.890 | tỉnh 769 cũ)
P=0556 | X=0235.540-0250.730 | Y=0161.530-0170.850 | Trà
P=0556 | X=0106.850-0405.340 | Y=0177.410-0188.650 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Lý Thái Tổ
P=0556 | X=0106.850-0404.840 | Y=0188.930-0200.170 | (Đường tỉnh 769 cũ) đoạn từ Đường Trần Văn Trà đến Phà Cát Lái
P=0556 | X=0106.850-0313.700 | Y=0200.470-0211.710 | có hiện trạng là đường nhựa, bê tông xi măng:
P=0556 | X=0095.570-0101.170 | Y=0208.350-0217.670 | 9
P=0556 | X=0424.970-0450.020 | Y=0208.350-0217.670 | 4.100
P=0556 | X=0461.210-0486.260 | Y=0208.350-0217.670 | 2.900
P=0556 | X=0497.230-0522.280 | Y=0208.350-0217.670 | 2.500
P=0556 | X=0106.850-0337.930 | Y=0217.990-0229.230 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=0556 | X=0106.850-0384.020 | Y=0235.510-0246.750 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=0556 | X=0106.850-0405.340 | Y=0253.270-0264.510 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Lý Thái Tổ
P=0556 | X=0106.850-0404.840 | Y=0264.790-0276.030 | (Đường tỉnh 769 cũ) đoạn từ Đường Trần Văn Trà đến Phà Cát Lái
P=0556 | X=0106.850-0313.700 | Y=0276.310-0287.550 | có hiện trạng là đường nhựa, bê tông xi măng:
P=0556 | X=0092.900-0338.400 | Y=0293.860-0307.940 | 10 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=0556 | X=0424.970-0450.020 | Y=0298.620-0307.940 | 3.100
P=0556 | X=0461.210-0486.260 | Y=0298.620-0307.940 | 2.200
P=0556 | X=0497.230-0522.280 | Y=0298.620-0307.940 | 1.900
P=0556 | X=0106.850-0413.270 | Y=0311.380-0322.620 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >500m đến
P=0556 | X=0106.850-0148.530 | Y=0322.900-0334.140 | ≤1.000m.
P=0556 | X=0106.850-0330.020 | Y=0340.420-0351.660 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0556 | X=0106.850-0405.340 | Y=0357.940-0369.180 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Lý Thái Tổ
P=0556 | X=0106.850-0404.840 | Y=0369.480-0380.720 | (Đường tỉnh 769 cũ) đoạn từ Đường Trần Văn Trà đến Phà Cát Lái
P=0556 | X=0106.850-0313.700 | Y=0381.000-0392.240 | có hiện trạng là đường nhựa, bê tông xi măng:
P=0556 | X=0092.900-0104.020 | Y=0388.880-0398.200 | 11
P=0556 | X=0424.970-0450.020 | Y=0388.880-0398.200 | 2.500
P=0556 | X=0461.210-0486.260 | Y=0388.880-0398.200 | 1.800
P=0556 | X=0497.230-0522.280 | Y=0388.880-0398.200 | 1.500
P=0556 | X=0106.850-0392.640 | Y=0398.520-0409.760 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >1.000m.
P=0556 | X=0106.850-0330.490 | Y=0416.040-0427.280 | - Có bề rộng <3m, cách đường giao thông >200m.
P=0556 | X=0106.850-0392.110 | Y=0433.800-0445.040 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0556 | X=0106.850-0414.930 | Y=0445.320-0456.560 | Đường Lý Thái Tổ (Đường tỉnh 769 cũ) đoạn từ Đường Trần Văn Trà
P=0556 | X=0106.850-0388.110 | Y=0456.860-0468.100 | đến Phà Cát Lái có hiện trạng là đường nhựa, bê tông xi măng:
P=0556 | X=0092.900-0104.020 | Y=0464.740-0474.060 | 12
P=0556 | X=0424.970-0450.020 | Y=0464.740-0474.060 | 3.700
P=0556 | X=0461.210-0486.260 | Y=0464.740-0474.060 | 2.600
P=0556 | X=0497.230-0522.280 | Y=0464.740-0474.060 | 2.200
P=0556 | X=0106.850-0337.930 | Y=0474.380-0485.620 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=0556 | X=0106.850-0384.050 | Y=0491.900-0503.140 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=0556 | X=0106.850-0392.110 | Y=0509.660-0520.900 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0556 | X=0106.850-0414.930 | Y=0521.180-0532.420 | Đường Lý Thái Tổ (Đường tỉnh 769 cũ) đoạn từ Đường Trần Văn Trà
P=0556 | X=0106.850-0388.110 | Y=0532.490-0543.730 | đến Phà Cát Lái có hiện trạng là đường nhựa, bê tông xi măng:
P=0556 | X=0092.900-0338.400 | Y=0550.010-0564.330 | 13 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=0556 | X=0424.970-0450.020 | Y=0555.010-0564.330 | 2.800
P=0556 | X=0461.210-0486.260 | Y=0555.010-0564.330 | 2.000
P=0556 | X=0497.230-0522.280 | Y=0555.010-0564.330 | 1.700
P=0556 | X=0106.850-0413.270 | Y=0567.530-0578.770 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >500m đến
P=0556 | X=0106.850-0148.530 | Y=0579.050-0590.290 | ≤1.000m.
P=0556 | X=0106.850-0330.020 | Y=0596.570-0607.810 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0556 | X=0106.850-0392.110 | Y=0614.330-0625.570 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0556 | X=0106.850-0414.930 | Y=0625.870-0637.110 | Đường Lý Thái Tổ (Đường tỉnh 769 cũ) đoạn từ Đường Trần Văn Trà
P=0556 | X=0106.850-0388.110 | Y=0637.390-0648.630 | đến Phà Cát Lái có hiện trạng là đường nhựa, bê tông xi măng:
P=0556 | X=0092.900-0104.020 | Y=0645.270-0654.590 | 14
P=0556 | X=0424.970-0450.020 | Y=0645.270-0654.590 | 2.300
P=0556 | X=0461.210-0486.260 | Y=0645.270-0654.590 | 1.600
P=0556 | X=0497.230-0522.280 | Y=0645.270-0654.590 | 1.400
P=0556 | X=0106.850-0392.640 | Y=0654.910-0666.150 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >1.000m.
P=0556 | X=0106.850-0330.490 | Y=0672.430-0683.670 | - Có bề rộng <3m, cách đường giao thông >200m.
P=0556 | X=0235.540-0410.780 | Y=0690.190-0701.430 | Đường Trần Nam Ngã ba Lý Thái Tổ -
P=0556 | X=0092.900-0200.280 | Y=0695.950-0707.190 | 15 Đường Trần Văn Trà
P=0556 | X=0419.450-0450.020 | Y=0697.830-0707.150 | 10.800
P=0556 | X=0461.210-0486.260 | Y=0697.830-0707.150 | 7.600
P=0556 | X=0497.230-0522.280 | Y=0697.830-0707.150 | 6.500
P=0556 | X=0322.200-0381.310 | Y=0701.730-0712.970 | Trần Văn Trà
P=0556 | X=0235.540-0261.780 | Y=0703.620-0712.940 | Trung
P=0557 | X=0106.850-0399.340 | Y=0078.500-0089.740 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Trần Văn
P=0557 | X=0106.850-0403.900 | Y=0090.020-0101.260 | Trà đoạn từ Đường Trần Nam Trung đến Ngã ba Lý Thái Tổ - Trần
P=0557 | X=0106.850-0352.090 | Y=0101.540-0112.780 | Văn Trà có hiện trạng là đường nhựa, bê tông xi măng:
P=0557 | X=0092.900-0104.020 | Y=0109.420-0118.740 | 16
P=0557 | X=0424.970-0450.020 | Y=0109.420-0118.740 | 3.900
P=0557 | X=0461.210-0486.260 | Y=0109.420-0118.740 | 2.700
P=0557 | X=0497.230-0522.280 | Y=0109.420-0118.740 | 2.300
P=0557 | X=0106.850-0337.930 | Y=0119.090-0130.330 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=0557 | X=0106.850-0384.020 | Y=0136.610-0147.850 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=0557 | X=0106.850-0399.340 | Y=0154.370-0165.610 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Trần Văn
P=0557 | X=0106.850-0403.900 | Y=0165.650-0176.890 | Trà đoạn từ Đường Trần Nam Trung đến Ngã ba Lý Thái Tổ - Trần
P=0557 | X=0106.850-0352.090 | Y=0177.170-0188.410 | Văn Trà có hiện trạng là đường nhựa, bê tông xi măng:
P=0557 | X=0092.900-0338.400 | Y=0194.690-0209.030 | 17 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=0557 | X=0424.970-0450.020 | Y=0199.710-0209.030 | 3.100
P=0557 | X=0461.210-0486.260 | Y=0199.710-0209.030 | 2.200
P=0557 | X=0497.230-0522.280 | Y=0199.710-0209.030 | 1.900
P=0557 | X=0106.850-0413.270 | Y=0212.230-0223.470 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >500m đến
P=0557 | X=0106.850-0148.530 | Y=0223.750-0234.990 | ≤1.000m.
P=0557 | X=0106.850-0330.020 | Y=0241.270-0252.510 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0557 | X=0106.850-0399.340 | Y=0259.030-0270.270 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Trần Văn
P=0557 | X=0106.850-0403.900 | Y=0270.550-0281.790 | Trà đoạn từ Đường Trần Nam Trung đến Ngã ba Lý Thái Tổ - Trần
P=0557 | X=0106.850-0352.090 | Y=0282.100-0293.340 | Văn Trà có hiện trạng là đường nhựa, bê tông xi măng:
P=0557 | X=0092.900-0104.020 | Y=0289.980-0299.300 | 18
P=0557 | X=0424.970-0450.020 | Y=0289.980-0299.300 | 2.400
P=0557 | X=0461.210-0486.260 | Y=0289.980-0299.300 | 1.700
P=0557 | X=0497.230-0522.280 | Y=0289.980-0299.300 | 1.400
P=0557 | X=0106.850-0392.640 | Y=0299.620-0310.860 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >1.000m.
P=0557 | X=0106.850-0330.510 | Y=0317.140-0328.380 | - Có bề rộng <3m, cách đường giao thông >200m.
P=0557 | X=0106.850-0392.110 | Y=0334.900-0346.140 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0557 | X=0106.850-0415.810 | Y=0346.420-0357.660 | Đường Trần Văn Trà đoạn từ Đường Trần Nam Trung đến Ngã ba Lý
P=0557 | X=0106.850-0387.550 | Y=0357.700-0368.940 | Thái Tổ - Trần Văn Trà có hiện trạng là đường nhựa, bê tông xi
P=0557 | X=0092.900-0134.850 | Y=0369.240-0380.680 | 19 măng:
P=0557 | X=0424.970-0450.020 | Y=0371.360-0380.680 | 3.500
P=0557 | X=0461.210-0486.260 | Y=0371.360-0380.680 | 2.500
P=0557 | X=0497.230-0522.280 | Y=0371.360-0380.680 | 2.100
P=0557 | X=0106.850-0337.940 | Y=0386.760-0398.000 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=0557 | X=0106.850-0384.020 | Y=0404.280-0415.520 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=0557 | X=0106.850-0392.110 | Y=0422.040-0433.280 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0557 | X=0106.850-0415.810 | Y=0433.560-0444.800 | Đường Trần Văn Trà đoạn từ Đường Trần Nam Trung đến Ngã ba Lý
P=0557 | X=0106.850-0387.550 | Y=0445.080-0456.320 | Thái Tổ - Trần Văn Trà có hiện trạng là đường nhựa, bê tông xi
P=0557 | X=0106.850-0134.850 | Y=0456.620-0467.860 | măng:
P=0557 | X=0092.900-0338.400 | Y=0473.140-0485.380 | 20 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=0557 | X=0424.970-0450.020 | Y=0473.140-0482.460 | 2.800
P=0557 | X=0461.210-0486.260 | Y=0473.140-0482.460 | 2.000
P=0557 | X=0497.230-0522.280 | Y=0473.140-0482.460 | 1.700
P=0557 | X=0106.850-0413.270 | Y=0491.660-0502.900 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >500m đến
P=0557 | X=0106.850-0148.530 | Y=0503.180-0514.420 | ≤1.000m.
P=0557 | X=0106.850-0330.020 | Y=0520.460-0531.700 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0557 | X=0106.850-0392.110 | Y=0538.250-0549.490 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0557 | X=0106.850-0415.810 | Y=0549.770-0561.010 | Đường Trần Văn Trà đoạn từ Đường Trần Nam Trung đến Ngã ba Lý
P=0557 | X=0106.850-0387.550 | Y=0561.290-0572.530 | Thái Tổ - Trần Văn Trà có hiện trạng là đường nhựa, bê tông xi
P=0557 | X=0092.900-0134.850 | Y=0572.810-0584.250 | 21 măng:
P=0557 | X=0424.970-0450.020 | Y=0574.930-0584.250 | 2.200
P=0557 | X=0461.210-0486.260 | Y=0574.930-0584.250 | 1.500
P=0557 | X=0497.230-0522.280 | Y=0574.930-0584.250 | 1.300
P=0557 | X=0106.850-0392.640 | Y=0590.330-0601.570 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >1.000m.
P=0557 | X=0106.850-0330.490 | Y=0607.850-0619.090 | - Có bề rộng <3m, cách đường giao thông >200m.
P=0557 | X=0235.540-0300.650 | Y=0625.630-0636.870 | Ranh xã Nhơn
P=0557 | X=0235.540-0450.020 | Y=0637.150-0648.390 | Trạch và xã Phước Đường Trần Văn Trà 7.300
P=0557 | X=0092.900-0182.050 | Y=0639.030-0648.350 | 22 Quách Thị Trang
P=0557 | X=0461.210-0486.260 | Y=0639.030-0648.350 | 5.100
P=0557 | X=0497.230-0522.280 | Y=0639.030-0648.350 | 4.400
P=0557 | X=0235.540-0247.860 | Y=0650.550-0659.870 | An
P=0557 | X=0106.850-0399.100 | Y=0666.430-0677.670 | Các tuyến đường giao thông đấu nối trực tiếp ra Quách Thị Trang
P=0557 | X=0106.850-0410.370 | Y=0677.950-0689.190 | đoạn từ Ranh xã Nhơn Trạch và xã Phước An đến Đường Trần Văn
P=0557 | X=0092.900-0331.460 | Y=0688.470-0700.710 | 23 Trà có hiện trạng là đường nhựa, bê tông xi măng:
P=0557 | X=0424.970-0450.020 | Y=0688.470-0697.790 | 3.500
P=0557 | X=0461.210-0486.260 | Y=0688.470-0697.790 | 2.500
P=0557 | X=0497.230-0522.280 | Y=0688.470-0697.790 | 2.100
P=0557 | X=0106.850-0337.930 | Y=0706.770-0718.010 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=0558 | X=0106.850-0384.020 | Y=0078.500-0089.740 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=0558 | X=0106.850-0399.100 | Y=0096.260-0107.500 | Các tuyến đường giao thông đấu nối trực tiếp ra Quách Thị Trang
P=0558 | X=0106.850-0410.370 | Y=0107.780-0119.020 | đoạn từ Ranh xã Nhơn Trạch và xã Phước An đến Đường Trần Văn
P=0558 | X=0106.850-0331.460 | Y=0119.330-0130.570 | Trà có hiện trạng là đường nhựa, bê tông xi măng:
P=0558 | X=0092.900-0338.400 | Y=0136.850-0150.930 | 24 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=0558 | X=0424.970-0450.020 | Y=0141.610-0150.930 | 2.700
P=0558 | X=0461.210-0486.260 | Y=0141.610-0150.930 | 1.900
P=0558 | X=0497.230-0522.280 | Y=0141.610-0150.930 | 1.600
P=0558 | X=0106.850-0413.270 | Y=0154.370-0165.610 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >500m đến
P=0558 | X=0106.850-0148.530 | Y=0165.650-0176.890 | ≤1.000m.
P=0558 | X=0106.850-0330.040 | Y=0183.170-0194.410 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0558 | X=0106.850-0399.100 | Y=0200.950-0212.190 | Các tuyến đường giao thông đấu nối trực tiếp ra Quách Thị Trang
P=0558 | X=0106.850-0410.370 | Y=0212.470-0223.710 | đoạn từ Ranh xã Nhơn Trạch và xã Phước An đến Đường Trần Văn
P=0558 | X=0106.850-0331.460 | Y=0223.990-0235.230 | Trà có hiện trạng là đường nhựa, bê tông xi măng:
P=0558 | X=0092.900-0104.020 | Y=0231.870-0241.190 | 25
P=0558 | X=0424.970-0450.020 | Y=0231.870-0241.190 | 2.000
P=0558 | X=0461.210-0486.260 | Y=0231.870-0241.190 | 1.400
P=0558 | X=0497.230-0522.280 | Y=0231.870-0241.190 | 1.200
P=0558 | X=0106.850-0392.700 | Y=0241.510-0252.750 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >1.000m.
P=0558 | X=0106.850-0330.490 | Y=0259.030-0270.270 | - Có bề rộng <3m, cách đường giao thông >200m.
P=0558 | X=0106.850-0392.110 | Y=0276.790-0288.030 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0558 | X=0106.850-0409.900 | Y=0288.340-0299.580 | Quách Thị Trang đoạn từ Ranh xã Nhơn Trạch và xã Phước An đến
P=0558 | X=0106.850-0409.970 | Y=0299.860-0311.100 | Đường Trần Văn Trà có hiện trạng là đường nhựa, bê tông xi măng:
P=0558 | X=0092.900-0104.020 | Y=0307.740-0317.060 | 26
P=0558 | X=0424.970-0450.020 | Y=0307.740-0317.060 | 3.200
P=0558 | X=0461.210-0486.260 | Y=0307.740-0317.060 | 2.200
P=0558 | X=0497.230-0522.280 | Y=0307.740-0317.060 | 1.900
P=0558 | X=0106.850-0337.930 | Y=0317.380-0328.620 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=0558 | X=0106.850-0384.020 | Y=0334.900-0346.140 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=0558 | X=0106.850-0392.110 | Y=0352.660-0363.900 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
