TABLE=058 | AREA=Phường Minh Hưng | RECORDS=455 | GROUPS=455 | REVIEW=230
ID=NQ28-058-S04-TT0001-01 | SEC=agricultural | TT=1 | REL=main | PRICES=700,560,336 | ROAD=dưới 4m 58. Phường Minh Hưng Tên đường giao TT thông Phía đường Đường ĐT 751 (Ranh Chơn | START=Đoạn đường Phía giới Bắc: Ngã ba tờ bản Ngô Đức Kế Phía giới phường đường Thành) ranh Chơn | END=Giá trồng cây năm Bắc: Hết ranh thửa đất số 69, đồ số 140; Nam: Ngã ba bê tông giới phường Thành | FLAGS=
ID=NQ28-058-S04-TT0039-01 | SEC=agricultural | TT=39 | REL=main | PRICES=276,221,132 | ROAD=Đường số 22 - Khu Đường phố Minh Long 2 | START=ĐT 751 Hết | END=tuyến | FLAGS=
ID=NQ28-058-S04-TT0040-01 | SEC=agricultural | TT=40 | REL=main | PRICES=276,221,132 | ROAD=Đường số 23 - Khu Đường phố Minh Long 2 | START=Ranh thửa ĐT 751 thửa bản | END=phía Bắc đất số 56 và đất số 60 tờ đồ số 137 | FLAGS=
ID=NQ28-058-S04-TT0041-01 | SEC=agricultural | TT=41 | REL=main | PRICES=276,221,132 | ROAD=Ranh Đường số 23 - Khu thửa phố Minh Long 2 thửa bản | START=phía Bắc đất số 56 và Đường đất số 60 tờ đồ số 137 | END=số 29 | FLAGS=
ID=NQ28-058-S04-TT0042-01 | SEC=agricultural | TT=42 | REL=main | PRICES=276,221,132 | ROAD=Đường số 24 - Khu Đường phố Minh Long 2 | START=ĐT 751 Hết | END=tuyến | FLAGS=
ID=NQ28-058-S04-TT0043-01 | SEC=agricultural | TT=43 | REL=main | PRICES=276,221,132 | ROAD=Đường số 25 - Khu Đường phố Minh Long 2 | START=ĐT 751 Hết | END=tuyến | FLAGS=
ID=NQ28-058-S04-TT0044-01 | SEC=agricultural | TT=44 | REL=main | PRICES=276,221,132 | ROAD=Đường số 26 - Khu Đường phố Minh Long 2 | START=Ranh thửa ĐT 751 bản đất đồ | END=phía Bắc đất số 103 tờ đồ 136 và thửa số 405 tờ bản số 137 | FLAGS=
ID=NQ28-058-S04-TT0045-01 | SEC=agricultural | TT=45 | REL=main | PRICES=276,221,132 | ROAD=Ranh thửa Đường số 26 - Khu bản phố Minh Long 2 đất đồ | START=phía Bắc đất số 103 tờ đồ 136 và thửa Hết số 405 tờ bản số 137 | END=tuyến | FLAGS=
ID=NQ28-058-S04-TT0046-01 | SEC=agricultural | TT=46 | REL=main | PRICES=276,221,132 | ROAD=Đường số 27 - Khu Đường phố Minh Long 2 | START=ĐT 751 Hết | END=tuyến | FLAGS=
ID=NQ28-058-S04-TT0047-01 | SEC=agricultural | TT=47 | REL=main | PRICES=276,221,132 | ROAD=Đường số 28 - Khu Đường phố Minh Long 3 | START=ĐT 751 Hết | END=tuyến | FLAGS=
ID=NQ28-058-S04-TT0048-01 | SEC=agricultural | TT=48 | REL=main | PRICES=394,315,189 | ROAD=Đường số 29 - Khu Đường phố Minh Long 2 | START=Phía đường ĐT 751 Đông: thửa bản | END=Tây: Ngã ba số 33; Phía Hết ranh đất số 189, tờ đồ số 130 | FLAGS=
ID=NQ28-058-S04-TT0049-01 | SEC=agricultural | TT=49 | REL=main | PRICES=394,315,189 | ROAD=Phía đường Đường số 29 - Khu Đông: phố Minh Long 2 thửa bản | START=Tây: Ngã ba Phía số 33; Phía đường Hết ranh Phía đất số 189, tờ ranh đồ số 130 tờ bản | END=Tây: Ngã ba số 29B; Đông: Hết thửa đất số 2, đồ số 130 | FLAGS=
ID=NQ28-058-S04-TT0050-01 | SEC=agricultural | TT=50 | REL=main | PRICES=394,315,189 | ROAD=Phía đường Đường số 29 - Khu Phía phố Minh Long 2 ranh tờ | START=Tây: Ngã ba số 29B; Đông: Hết Đường thửa đất số 2, bản đồ số 130 | END=ĐH 15 | FLAGS=
ID=NQ28-058-S04-TT0051-01 | SEC=agricultural | TT=51 | REL=main | PRICES=276,221,132 | ROAD=Đường số 29A - Khu phố Minh Long Đường | START=số 29 Đường | END=số 29B | FLAGS=
ID=NQ28-058-S04-TT0002-02 | SEC=agricultural | TT=2 | REL=main | PRICES= | ROAD= | START= | END= | FLAGS=MAIN_ROAD_EMPTY,PRICE_MISSING,AGRICULTURAL_PRICE_COLUMN_MISSING,DUPLICATE_TT_IN_SEGMENT
ID=NQ28-058-S04-TT0052-01 | SEC=agricultural | TT=52 | REL=main | PRICES=276,221,132 | ROAD=Đường số 29B - Suối Khu phố Minh Long | START=Bà Và Suối | END=1 | FLAGS=
ID=NQ28-058-S04-TT0053-01 | SEC=agricultural | TT=53 | REL=main | PRICES=276,221,132 | ROAD=2 Đường số 30 - Khu Đường phố Minh Long 3 | START=Ranh thửa ĐT 751 thửa bản | END=phía Nam đất số 97 và đất số 98 tờ đồ 136 | FLAGS=
ID=NQ28-058-S04-TT0054-01 | SEC=agricultural | TT=54 | REL=main | PRICES=276,221,132 | ROAD=Ranh Đường số 30 - Khu thửa phố Minh Long 3 thửa bản | START=phía Nam đất số 97 và Hết đất số 98 tờ đồ 136 | END=tuyến | FLAGS=
ID=NQ28-058-S04-TT0055-01 | SEC=agricultural | TT=55 | REL=main | PRICES=276,221,132 | ROAD=Đường số 31 - Khu Đường phố Minh Long 2 | START=Ngã tông ĐT 751 Bắc tờ bản | END=ba đường Bê (Ranh phía thửa đất số 11 đồ số 137) | FLAGS=
ID=NQ28-058-S04-TT0056-01 | SEC=agricultural | TT=56 | REL=main | PRICES=276,221,132 | ROAD=Đường số 32 - Khu Đường phố Minh Long 3 | START=ĐT 751 Đường | END=số 40 | FLAGS=
ID=NQ28-058-S04-TT0057-01 | SEC=agricultural | TT=57 | REL=main | PRICES=276,221,132 | ROAD=Đường số 32 - Khu Đường phố Minh Long 3 | START=số 40 Hết | END=tuyến | FLAGS=
ID=NQ28-058-S04-TT0058-01 | SEC=agricultural | TT=58 | REL=main | PRICES=276,221,132 | ROAD=Đường số 32A - Khu phố Minh Long Đường | START=số 32 Đường | END=số 30 | FLAGS=
ID=NQ28-058-S04-TT0003-02 | SEC=agricultural | TT=3 | REL=main | PRICES= | ROAD= | START= | END= | FLAGS=MAIN_ROAD_EMPTY,PRICE_MISSING,AGRICULTURAL_PRICE_COLUMN_MISSING,DUPLICATE_TT_IN_SEGMENT
ID=NQ28-058-S04-TT0059-01 | SEC=agricultural | TT=59 | REL=main | PRICES=276,221,132 | ROAD=Đường số 32B - Khu phố Minh Long Đường | START=số 32 Hết | END=tuyến | FLAGS=
ID=NQ28-058-S04-TT0003-03 | SEC=agricultural | TT=3 | REL=main | PRICES= | ROAD= | START= | END= | FLAGS=MAIN_ROAD_EMPTY,PRICE_MISSING,AGRICULTURAL_PRICE_COLUMN_MISSING,DUPLICATE_TT_IN_SEGMENT
ID=NQ28-058-S04-TT0060-01 | SEC=agricultural | TT=60 | REL=main | PRICES=276,221,132 | ROAD=Đường số 32C - Khu phố Minh Long Đường | START=số 32 Hết | END=tuyến | FLAGS=
ID=NQ28-058-S04-TT0003-04 | SEC=agricultural | TT=3 | REL=main | PRICES= | ROAD= | START= | END= | FLAGS=MAIN_ROAD_EMPTY,PRICE_MISSING,AGRICULTURAL_PRICE_COLUMN_MISSING,DUPLICATE_TT_IN_SEGMENT
ID=NQ28-058-S04-TT0061-01 | SEC=agricultural | TT=61 | REL=main | PRICES=276,221,132 | ROAD=Đường số 33 - Khu Đường phố Minh Long 2 | START=ĐT 751 Đường | END=số 35 | FLAGS=
ID=NQ28-058-S04-TT0062-01 | SEC=agricultural | TT=62 | REL=main | PRICES=276,221,132 | ROAD=Đường số 34 - Khu Đường phố Minh Long 3 | START=ĐT 751 Hết | END=tuyến | FLAGS=
ID=NQ28-058-S04-TT0063-01 | SEC=agricultural | TT=63 | REL=main | PRICES=276,221,132 | ROAD=Đường số 35 - Khu Đường phố Minh Long 2 | START=Ngã ĐT 751 đường | END=ba đường số 33 và 35 | FLAGS=
ID=NQ28-058-S04-TT0064-01 | SEC=agricultural | TT=64 | REL=main | PRICES=276,221,132 | ROAD=Đường số 35 - Khu Ngã phố Minh Long 2 đường | START=ba đường Đường số 33 và 35 | END=số 51 | FLAGS=
ID=NQ28-058-S04-TT0065-01 | SEC=agricultural | TT=65 | REL=main | PRICES=394,315,189 | ROAD=Đường số 36 - Khu Đường phố Minh Long 3 | START=Ngã ĐT 751 40 | END=tư đường số | FLAGS=
ID=NQ28-058-S04-TT0066-01 | SEC=agricultural | TT=66 | REL=main | PRICES=394,315,189 | ROAD=Đường số 36 - Khu Ngã phố Minh Long 3 40 | START=Mương tư đường số - Khu Long Cao) | END=thoát nước phố Minh 3 (Cầu Bưng | FLAGS=
ID=NQ28-058-S04-TT0067-01 | SEC=agricultural | TT=67 | REL=main | PRICES=394,315,189 | ROAD=Mương Đường số 36 - Khu - Khu phố Minh Long 3 Long Cao) | START=thoát nước phố Minh Đường 3 (Cầu Bưng | END=ĐH 06 | FLAGS=
ID=NQ28-058-S04-TT0068-01 | SEC=agricultural | TT=68 | REL=main | PRICES=276,221,132 | ROAD=Đường số 37 - Khu Đường phố Minh Long 2 | START=ĐT 751 Hết | END=tuyến | FLAGS=
ID=NQ28-058-S04-TT0069-01 | SEC=agricultural | TT=69 | REL=main | PRICES=394,315,189 | ROAD=Đường số 38 - Khu Đường phố Minh Long 3 | START=Ngã ĐT 751 40 | END=ba đường số | FLAGS=
ID=NQ28-058-S04-TT0070-01 | SEC=agricultural | TT=70 | REL=main | PRICES=394,315,189 | ROAD=Đường số 38 - Khu Ngã phố Minh Long 3 40 | START=ba đường số Hết | END=tuyến | FLAGS=
ID=NQ28-058-S04-TT0071-01 | SEC=agricultural | TT=71 | REL=main | PRICES=276,221,132 | ROAD=Đường số 39 - Khu Đường phố Minh Long 4 | START=ĐT751 Hết | END=tuyến | FLAGS=
ID=NQ28-058-S04-TT0072-01 | SEC=agricultural | TT=72 | REL=main | PRICES=276,221,132 | ROAD=Đường số 40- Khu Đường phố Minh Long 3 | START=số 32 Đường | END=số 38 | FLAGS=
ID=NQ28-058-S04-TT0073-01 | SEC=agricultural | TT=73 | REL=main | PRICES=394,315,189 | ROAD=Đường số 41 - Khu Đường phố Minh Long 4 | START=Mương - Khu ĐT 751 Long thửa bản | END=thoát nước phố Minh 4 (Hết ranh đất số 161 tờ đồ số 128) | FLAGS=
ID=NQ28-058-S04-TT0074-01 | SEC=agricultural | TT=74 | REL=main | PRICES=394,315,189 | ROAD=Mương - Khu Đường số 41 - Khu Long phố Minh Long 4 thửa bản | START=thoát nước phố Minh 4 (Hết ranh Hết đất số 161 tờ đồ số 128) | END=tuyến | FLAGS=
ID=NQ28-058-S04-TT0075-01 | SEC=agricultural | TT=75 | REL=main | PRICES=276,221,132 | ROAD=Đường số 43A- Khu phố Minh Long Đường | START=ĐT 751 Hết | END=tuyến | FLAGS=
ID=NQ28-058-S04-TT0004-02 | SEC=agricultural | TT=4 | REL=main | PRICES= | ROAD= | START= | END= | FLAGS=MAIN_ROAD_EMPTY,PRICE_MISSING,AGRICULTURAL_PRICE_COLUMN_MISSING,DUPLICATE_TT_IN_SEGMENT
ID=NQ28-058-S04-TT0076-01 | SEC=agricultural | TT=76 | REL=main | PRICES=276,221,132 | ROAD=Đường số 43B- Khu phố Minh Long Đường | START=Ngã ĐT 751 tông | END=tư đường bê và đường số | FLAGS=
ID=NQ28-058-S04-TT0004-03 | SEC=agricultural | TT=4 | REL=main | PRICES= | ROAD= | START=43B Ranh | END=phía Tây | FLAGS=MAIN_ROAD_EMPTY,PRICE_MISSING,AGRICULTURAL_PRICE_COLUMN_MISSING,DUPLICATE_TT_IN_SEGMENT
ID=NQ28-058-S04-TT0077-01 | SEC=agricultural | TT=77 | REL=main | PRICES=276,221,132 | ROAD=Đường số 44- Khu Đường phố Minh Long 5 | START=Nam số ĐH 06 số số số | END=các thửa đất 292 tờ bản đồ 146 và thửa đất 293 tờ bản đồ 122 | FLAGS=
ID=NQ28-058-S04-TT0078-01 | SEC=agricultural | TT=78 | REL=main | PRICES=276,221,132 | ROAD=Ranh Nam Đường số 44- Khu số phố Minh Long 5 số số số | START=phía Tây các thửa đất 292 tờ bản đồ Đường 146 và thửa đất 293 tờ bản đồ 122 | END=ĐH 06 | FLAGS=
ID=NQ28-058-S04-TT0079-01 | SEC=agricultural | TT=79 | REL=main | PRICES=394,315,189 | ROAD=Đường số 45 - Khu Đường phố Minh Long 4 | START=Ngã tông Minh ĐT 751 ranh 179 128) | END=tư đường bê - Khu phố Long 4 (hết thửa đất số tờ bản đồ số | FLAGS=
ID=NQ28-058-S04-TT0080-01 | SEC=agricultural | TT=80 | REL=main | PRICES=394,315,189 | ROAD=Ngã tông Đường số 45 - Khu Minh phố Minh Long 4 ranh 179 128) | START=tư đường bê - Khu phố Long 4 (hết Hết thửa đất số tờ bản đồ số | END=tuyến | FLAGS=
ID=NQ28-058-S04-TT0081-01 | SEC=agricultural | TT=81 | REL=main | PRICES=276,221,132 | ROAD=Đường số 47- Khu Đường phố Minh Long 4 | START=Ranh thửa ĐT 751 thửa bản | END=phía Bắc các đất số 55 và đất số 58 tờ đồ số 127 | FLAGS=
ID=NQ28-058-S04-TT0082-01 | SEC=agricultural | TT=82 | REL=main | PRICES=276,221,132 | ROAD=Ranh Đường số 47- Khu thửa phố Minh Long 4 thửa bản | START=phía Bắc các đất số 55 và Đường đất số 58 tờ đồ số 127 | END=số 45 | FLAGS=
ID=NQ28-058-S04-TT0083-01 | SEC=agricultural | TT=83 | REL=main | PRICES=276,221,132 | ROAD=Đường số 49- Khu Đường phố Minh Long 4 | START=ĐT 751 Hết | END=tuyến | FLAGS=
ID=NQ28-058-S04-TT0084-01 | SEC=agricultural | TT=84 | REL=main | PRICES=394,315,189 | ROAD=Đường số 51 - Khu Đường phố Minh Long 4 | START=số 41 Đường | END=số 29 | FLAGS=
ID=NQ28-058-S04-TT0085-01 | SEC=agricultural | TT=85 | REL=main | PRICES=276,221,132 | ROAD=Đường số 52- Khu Đường phố Minh Long 4 | START=ĐH05 Đường | END=số 3 | FLAGS=
ID=NQ28-058-S04-TT0086-01 | SEC=agricultural | TT=86 | REL=main | PRICES=700,560,336 | ROAD=Ranh Chơn Đường Quốc lộ 13 tư Cao | START=giới phường Thành (ngã Ngã giao với đường 89, Bá Quát) | END=tư đường số đường số 20 | FLAGS=
ID=NQ28-058-S04-TT0087-01 | SEC=agricultural | TT=87 | REL=main | PRICES=700,560,336 | ROAD=Ngã Đường Quốc lộ 13 89, | START=tư đường số Ngã đường số 20 84, | END=tư đường số đường số 97 | FLAGS=
ID=NQ28-058-S04-TT0088-01 | SEC=agricultural | TT=88 | REL=main | PRICES=700,560,336 | ROAD=Ngã Đường Quốc lộ 13 84, | START=Phía tư đường số đường đường số 97 đông ĐH01 | END=tây giáp số 35, phía giáp đường | FLAGS=
ID=NQ28-058-S04-TT0089-01 | SEC=agricultural | TT=89 | REL=main | PRICES=700,560,336 | ROAD=Phía đường Đường Quốc lộ 13 đông ĐH01 | START=tây giáp Phía số 35, phía đường giáp đường đông số | END=tây giáp ĐH 04, phía giáp đường 69 | FLAGS=
ID=NQ28-058-S04-TT0090-01 | SEC=agricultural | TT=90 | REL=main | PRICES=700,560,336 | ROAD=Phía đường Đường Quốc lộ 13 đông số | START=tây giáp Phía ĐH 04, phía đường giáp đường phía 69 đường | END=tây giáp số 36A, đông giáp số 25 | FLAGS=
ID=NQ28-058-S04-TT0091-01 | SEC=agricultural | TT=91 | REL=main | PRICES=700,560,336 | ROAD=Phía đường Đường Quốc lộ 13 phía đường | START=Phía tây giáp đường số 36A, đông đông giáp đất số 25 số | END=tây giáp số 37, phía hết ranh thửa số 36 tờ bản đồ 11 | FLAGS=
ID=NQ28-058-S04-TT0092-01 | SEC=agricultural | TT=92 | REL=main | PRICES=700,560,336 | ROAD=Phía đường Đường Quốc lộ 13 đông đất số | START=tây giáp số 37, phía Ranh hết ranh thửa Khai số 36 tờ bản đồ 11 | END=giới xã Tân | FLAGS=
ID=NQ28-058-S04-TT0093-01 | SEC=agricultural | TT=93 | REL=main | PRICES=394,315,189 | ROAD=Đường ĐT752B Đường | START=Ngã Quốc lộ 13 Nông su | END=tư hết đất trường cao Minh Hưng | FLAGS=
ID=NQ28-058-S04-TT0094-01 | SEC=agricultural | TT=94 | REL=main | PRICES=394,315,189 | ROAD=Ngã Đường ĐT752B Nông su | START=tư hết đất Giáp trường cao Khai Minh Hưng | END=ranh xã Tân | FLAGS=
