TABLE=065 | AREA=Xã Thuận Lợi | RECORDS=39 | GROUPS=39 | REVIEW=21
ID=NQ28-065-S01-TT0001-01 | SEC=non-agricultural | TT=1 | REL=main | PRICES=3300,2900 | ROAD=65. Xã Thuận lợi Tên đường giao TT thông Khu dân cư Thuận Phú 2 (Công ty Cổ Đường phần Hồng Phúc), tuyến Thuận Phú 1 (Công Thành) | START=Đoạn đường D1; Toàn | END=Giá đất 4.800 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-065-S01-TT0012-01 | SEC=non-agricultural | TT=12 | REL=main | PRICES=1400,1200 | ROAD=Đường ĐT 741 (Dự án KDC Thái Công - Toàn Thuận Lợi) | START=tuyến | END=2.000 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-065-S01-TT0013-01 | SEC=non-agricultural | TT=13 | REL=main | PRICES=810,700 | ROAD=Đường giao thông đấu nối trục đường ĐT 741 phạm vi 200m Toàn (Dự án KDC Thái Công - Thuận Lợi) | START=tuyến | END=1.200 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-065-S01-TT0014-01 | SEC=non-agricultural | TT=14 | REL=main | PRICES=710,610 | ROAD=Các tuyến đường còn lại (Dự án KDC Thái Toàn Công - Thuận Lợi) | START=tuyến | END=1.000 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-065-S01-TT0015-01 | SEC=non-agricultural | TT=15 | REL=main | PRICES=1400,1200 | ROAD=Đường ĐT 741 (Dự án KDC Thái Thành - Toàn Thuận Lợi) | START=tuyến | END=2.000 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-065-S01-TT0016-01 | SEC=non-agricultural | TT=16 | REL=main | PRICES=810,700 | ROAD=Đường giao thông đấu nối trục Đường ĐT 741 phạm vi 200m Toàn (Dự án KDC Thái Thành - Thuận Lợi) | START=tuyến | END=1.200 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-065-S01-TT0017-01 | SEC=non-agricultural | TT=17 | REL=main | PRICES=710,610 | ROAD=Các tuyến đường còn lại (Dự án KDC Thái Toàn Thành - Thuận Lợi) | START=tuyến | END=1.000 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-065-S01-TT0018-01 | SEC=non-agricultural | TT=18 | REL=main | PRICES=1900,1600 | ROAD=Tượng Đường ĐT 758 Thắng 741) | START=đài Chiến Ngã (Đường ĐT chế | END=ba Xí nghiệp 2.700 biến | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-065-S01-TT0019-01 | SEC=non-agricultural | TT=19 | REL=main | PRICES=1100,920 | ROAD=Ngã Đường ĐT 758 chế biến | START=Hết hóa ba Xí nghiệp (thửa Thửa bản | END=ranh Nhà Văn ấp Thuận Phú 3 đất số 458; 1.500 đất số 320, tờ đồ số 14) | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-065-S01-TT0020-01 | SEC=non-agricultural | TT=20 | REL=main | PRICES=680,480,410 | ROAD=Hết ranh hóa ấp Đường ĐT 758 (thửa Thửa bản đồ | START=Nhà Văn Thuận Phú 3 đất số 458; Cầu đất số 320, tờ số 14) | END=Sông Bé 680 | FLAGS=
ID=NQ28-065-S01-TT0021-01 | SEC=non-agricultural | TT=21 | REL=main | PRICES=710,610 | ROAD=Đường giao thông giáp phường Bình Đầu Phước | START=Hết 67, Đường ĐT 741 (hộ Toàn) | END=ranh thửa đất số tờ bản đồ số 50 1.000 ông Chu Văn | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-065-S01-TT0022-01 | SEC=non-agricultural | TT=22 | REL=main | PRICES=680,480,410 | ROAD=Đường giao thông nông thôn đấu nối Toàn trục Đường ĐT 741 phạm vi 200m | START=tuyến | END=680 | FLAGS=
ID=NQ28-065-S01-TT0023-01 | SEC=non-agricultural | TT=23 | REL=main | PRICES=600,420,360 | ROAD=Đường giao thông nông thôn đấu nối Toàn trục Đường ĐT 758 | START=tuyến | END=600 | FLAGS=
ID=NQ28-065-S01-TT0024-01 | SEC=non-agricultural | TT=24 | REL=main | PRICES=510,360,310 | ROAD=phạm vi 200m Đường kết nối xã Đường | START=ĐT 758 Giáp | END=ranh xã Phú 510 | FLAGS=
ID=NQ28-065-S01-TT0025-01 | SEC=non-agricultural | TT=25 | REL=main | PRICES=360,310 | ROAD=Thuận Lợi với xã phú Riềng Đường liên xã Thuận Đường Lợi - Thuận Phú (cũ) | START=Riềng ĐT 758 Ngã | END=tư Bảy Thạnh 5Io | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-065-S01-TT0026-01 | SEC=non-agricultural | TT=26 | REL=main | PRICES=510,360,310 | ROAD=Thửa Đường giao thông bản đồ liên xã Thuận Lợi - ranh Đồng Tâm su) | START=đất số 22, tờ Hết số 163 (giáp tờ bản nghiệp vụ cao (giáp Phú | END=thửa đất số 38, đồ số 143 510 ranh Cao su Riềng Đỏ) | FLAGS=
ID=NQ28-065-S01-TT0027-01 | SEC=non-agricultural | TT=27 | REL=main | PRICES=380,270,230 | ROAD=Đường giao thông Thửa liên xã Thuận Lợi - bản đồ Đồng Tâm | START=đất số 129, tờ Thửa số 147 bản | END=đất số 274, tờ 380 đồ số 147 | FLAGS=
ID=NQ28-065-S01-TT0028-01 | SEC=non-agricultural | TT=28 | REL=main | PRICES=340,240,200 | ROAD=Đường giao thông Thửa liên xã Thuận Lợi - bản đồ Đồng Tâm | START=Thửa đất số 274, tờ bản số 147 ranh | END=đất số 839, tờ đồ số 151 (giáp 340 xã Đồng Tâm) | FLAGS=
ID=NQ28-065-S01-TT0029-01 | SEC=non-agricultural | TT=29 | REL=main | PRICES=380,270,230 | ROAD=Đường giao thông liên xã Thuận Lợi - Toàn Đồng Tiến | START=tuyến | END=380 | FLAGS=
ID=NQ28-065-S01-TT0030-01 | SEC=non-agricultural | TT=30 | REL=main | PRICES=510,360,310 | ROAD=Đường giao thông Thửa liên xã Thuận Lợi - bản đồ Thuận Phú (cũ) | START=đất số 55, tờ Thửa số 110 bản | END=đất số 25, tờ 510 đồ số 114 | FLAGS=
ID=NQ28-065-S01-TT0031-01 | SEC=non-agricultural | TT=31 | REL=main | PRICES=430,300,260 | ROAD=Đường giao thông Thửa liên xã Thuận Lợi - bản đồ Thuận Phú (cũ) | START=đất số 47, tờ Thửa số 113 bản | END=đất số 42, tờ 430 đồ số 112 | FLAGS=
ID=NQ28-065-S01-TT0032-01 | SEC=non-agricultural | TT=32 | REL=main | PRICES=510,360,310 | ROAD=Đường giao thông Thửa liên xã Thuận Lợi - bản đồ Thuận Phú (cũ) | START=đất số 37, tờ Thửa số 112 bản | END=đất số 176, tờ 510 đồ số 111 | FLAGS=
ID=NQ28-065-S01-TT0033-01 | SEC=non-agricultural | TT=33 | REL=main | PRICES=430,300,260 | ROAD=Đường giao thông Thửa liên xã Thuận Lợi - bản đồ Thuận Phú (cũ) | START=đất số 176, tờ Thửa số 111 bản | END=đất số 180, tờ 430 đồ số 117 | FLAGS=
ID=NQ28-065-S01-TT0034-01 | SEC=non-agricultural | TT=34 | REL=main | PRICES=510,360,310 | ROAD=Đường giao thông Thửa liên xã Thuận Lợi - bản đồ Thuận Phú (cũ) | START=Thửa đất số 51, tờ bản số 117 tư Bảy | END=đất số 87, tờ đồ số 125 (ngã 510 Thạnh) | FLAGS=
ID=NQ28-065-S01-TT0035-01 | SEC=non-agricultural | TT=35 | REL=main | PRICES=510,360,310 | ROAD=Đường giao thông Thửa liên xã Thuận Lợi - bản đồ Thuận Phú (cũ) | START=Thửa đất số 213, tờ bản số 125 cao | END=đất số 160, tờ đồ số 126 (ranh 510 su Thuận Phú) | FLAGS=
ID=NQ28-065-S01-TT0036-01 | SEC=non-agricultural | TT=36 | REL=main | PRICES=510,360,310 | ROAD=Đường giao thông Toàn liên xã còn lại Đường giao thông | START=tuyến | END=510 | FLAGS=
ID=NQ28-065-S01-TT0037-01 | SEC=non-agricultural | TT=37 | REL=main | PRICES=430,300,260 | ROAD=liên thôn, liên ấp có kết cấu trải nhựa, bê Toàn tông (trừ các tuyến đường đã có ở trên) | START=tuyến | END=430 | FLAGS=
ID=NQ28-065-S01-TT0038-01 | SEC=non-agricultural | TT=38 | REL=main | PRICES=380,270,230 | ROAD=Đường giao thông liên thôn, liên ấp còn Toàn lại | START=tuyến | END=380 | FLAGS=
ID=NQ28-065-S01-TT0039-01 | SEC=non-agricultural | TT=39 | REL=main | PRICES=340,240,200 | ROAD=Các tuyến đường Toàn giao thông còn lại trên địa bàn xã | START=tuyến | END=340 | FLAGS=
