TABLE=076 | AREA=Xã Tân Hưng | RECORDS=35 | GROUPS=35 | REVIEW=35
ID=NQ28-076-S01-TT0001-01 | SEC=non-agricultural | TT=1 | REL=main | PRICES=1100,970 | ROAD=76. Xã Tân Hưng Tên đường giao TT thông Ngã ba Đường ĐT 756 (thửa bản đồ | START=Đoạn đường Ngã dốc cà phê Đường đất số 105, tờ (thửa số 31) tờ bản | END=Giá đất ở mại, ba giao ĐT 758 1.600 đất số 254, đồ số 41) | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-076-S01-TT0023-01 | SEC=non-agricultural | TT=23 | REL=main | PRICES=380,320 | ROAD=Ngã ba xã đi hồ An Ngã ba Khương (đoạn còn (thửa bản đồ lại) | START=bà Út Của Hồ An đất số 535, tờ (thửa số 94) tờ bản | END=Khương đất số 527, 540 đồ số 70) | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-076-S01-TT0024-01 | SEC=non-agricultural | TT=24 | REL=main | PRICES=380,320 | ROAD=Từ Ngã Đường nhựa ấp 4 đi Vinh Đường ĐT 757 578, 70) | START=ba nhà ông Đường (thửa đất số 1 (thửa tờ bản đồ số tờ bản | END=ĐT 757 đất số 671, 540 đồ số 84) | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-076-S01-TT0025-01 | SEC=non-agricultural | TT=25 | REL=main | PRICES=380,320 | ROAD=Ngã ba Đường nhựa ấp 2 đi Hằng Đường ĐT 757 222, 94) | START=nhà bà Đường (thửa đất số (thửa tờ bản đồ số tờ bản | END=ĐT 757 đất số 296, 540 đồ số 69) | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-076-S01-TT0026-01 | SEC=non-agricultural | TT=26 | REL=main | PRICES=380,320 | ROAD=Ngã ba Đường nhựa ấp 2 đi Khéc Đường ĐT 757 479, 69) | START=nhà ông Đường (thửa đất số (thửa tờ bản đồ số tờ bản | END=ĐT 757 đất số 19, 540 đồ số 87) | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-076-S01-TT0027-01 | SEC=non-agricultural | TT=27 | REL=main | PRICES=540,460 | ROAD=Ngã ba Đường nhựa vào đập Tân Quan thủy điện Srok Phu số 364, Miêng số 123) | START=trạm y tế xã Cổng (thửa đất Srok tờ bản đồ (thửa tờ bản | END=Thủy điện Phu Miêng 770 đất số 357, đồ số 76) | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-076-S01-TT0028-01 | SEC=non-agricultural | TT=28 | REL=main | PRICES=440,380 | ROAD=Đường bê tông của các tổ 1, 2, 3, 4, 5, 6, Toàn 7, 8, 9 ấp Hưng Lập B | START=tuyến | END=630 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-076-S01-TT0029-01 | SEC=non-agricultural | TT=29 | REL=main | PRICES=630,540 | ROAD=Các tuyến đường ở Toàn khu chợ Tân Hưng | START=tuyến | END=900 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-076-S01-TT0030-01 | SEC=non-agricultural | TT=30 | REL=main | PRICES=690,590 | ROAD=Các tuyến đường ở khu chợ Thanh An Toàn (cũ) Đường bê tông xi | START=tuyến | END=990 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-076-S01-TT0031-01 | SEC=non-agricultural | TT=31 | REL=main | PRICES=350,300 | ROAD=măng nông thôn có độ rộng từ 3m trở lên nối với Đường ĐT Toàn 756, ĐT 757 và đường ĐT 758 trong phạm vi 300m từ | START=tuyến | END=500 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-076-S01-TT0032-01 | SEC=non-agricultural | TT=32 | REL=main | PRICES=320,270 | ROAD=HLLG Các tuyến Đường Toàn nhựa còn lại | START=tuyến | END=450 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-076-S01-TT0033-01 | SEC=non-agricultural | TT=33 | REL=main | PRICES=280,240 | ROAD=Đường bê tông có độ Toàn rộng từ 3m trở lên | START=tuyến | END=410 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-076-S01-TT0034-01 | SEC=non-agricultural | TT=34 | REL=main | PRICES=250,220 | ROAD=Các tuyến đường còn lại trên địa bàn xã Toàn Tân Hưng (cũ) và xã Thanh An (cũ) | START=tuyến | END=360 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-076-S01-TT0035-01 | SEC=non-agricultural | TT=35 | REL=main | PRICES=250,220 | ROAD=Các tuyến đường còn lại trên địa bàn xã An Toàn Khương (cũ) | START=tuyến | END=360 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
