TABLE=086 | AREA=Xã Tân Tiến | RECORDS=75 | GROUPS=75 | REVIEW=75
ID=NQ28-086-S01-TT0001-01 | SEC=non-agricultural | TT=1 | REL=main | PRICES=640,550 | ROAD=86. Xã Tân Tiến Tên đường giao TT thông Giáp Đường ĐT 759B Lộc | START=Đoạn đường ranh xã Giáp ranh Tấn Quang | END=Giá Giá thương đất ở mại, xã Lộc 920 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-086-S01-TT0017-01 | SEC=non-agricultural | TT=17 | REL=main | PRICES=500,430 | ROAD=Đường Đường nhựa ấp Tân doanh nhà Lợi Lầu) | START=Ngã ba liên (hết ranh (ngã ba đất số 104 bà Năm thửa đất tờ bản | END=Biển Hồ Thửa và 720 số 136, đồ số 16) | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-086-S01-TT0018-01 | SEC=non-agricultural | TT=18 | REL=main | PRICES=400,350 | ROAD=Đường nhựa ấp Tân Thửa tờ bản Lợi | START=Hết thửa đất số 77, 427, tờ đồ số 16 9 | END=đất số bản đồ số 580 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-086-S01-TT0019-01 | SEC=non-agricultural | TT=19 | REL=main | PRICES=500,430 | ROAD=Đường Đường nhựa ấp Tân doanh chào Phú Phú) | START=liên Ngã ba (Cổng thửa đất ấp Tân tờ bản | END=(hết ranh số 407, 720 đồ số 17) | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-086-S01-TT0020-01 | SEC=non-agricultural | TT=20 | REL=main | PRICES=400,350 | ROAD=Đường Đường nhựa ấp Tân doanh chào Phong Phong) | START=liên Ngã ba (Cổng thửa đất ấp Tân tờ bản | END=(hết ranh số 120, 580 đồ số 8) | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-086-S01-TT0021-01 | SEC=non-agricultural | TT=21 | REL=main | PRICES=400,350 | ROAD=Đường nhựa ấp Tân Đường Phong doanh | START=liên Hết ranh số 202, (ngã ba | END=thửa đất 580 tờ bản đồ | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-086-S01-TT0022-01 | SEC=non-agricultural | TT=22 | REL=main | PRICES=400,350 | ROAD=cây Đường Đường nhựa ấp Tân doanh chào Hội Hội) | START=tung) số 7 liên (cổng Hết tuyến ấp Tân | END=580 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-086-S01-TT0023-01 | SEC=non-agricultural | TT=23 | REL=main | PRICES=400,350 | ROAD=Đường Đường nhựa ấp Tân doanh chào Hội Hội) | START=liên Hết ranh (cổng số 42, tờ cũ ấp Tân số 6 | END=thửa đất bản đồ 580 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-086-S01-TT0024-01 | SEC=non-agricultural | TT=24 | REL=main | PRICES=500,430 | ROAD=Đường nhựa ấp Tân Đường Lập đi Tân Phú | START=Hết ranh số 215, ĐT 759B số 266, số 26 | END=thửa đất thửa đất 720 tờ bản đồ | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-086-S01-TT0025-01 | SEC=non-agricultural | TT=25 | REL=main | PRICES=500,430 | ROAD=Đường Đường nhựa giáp ấp 75913 Tân Phú nhà tài chính) | START=ĐT Hết ranh (ngã ba số 31 và số 324, ông Thắng số 25 | END=thửa đất thửa đất 720 tờ bản đồ | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-086-S01-TT0026-01 | SEC=non-agricultural | TT=26 | REL=main | PRICES=500,430 | ROAD=Đường Đường nhựa ấp Tân (ngã Phú Thắng | START=ĐT 759B Hết ranh ba nhà ông đất số 153, Công an) bản đồ | END=Thửa tờ 720 số 21 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-086-S01-TT0027-01 | SEC=non-agricultural | TT=27 | REL=main | PRICES=400,350 | ROAD=Đường nhựa ấp Tân Đường Định | START=Hết ranh số 69 và ĐT 759B số 75, tờ số 24 | END=thửa đất thửa đất 580 bản đồ | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-086-S01-TT0028-01 | SEC=non-agricultural | TT=28 | REL=main | PRICES=500,430 | ROAD=Đường Đường nhựa ấp Tân 75913 Định chào Định) | START=Hết ranh ĐT đất số 331 (cổng thửa đất ấp Tân đến thửa 92, tờ bản 24 | END=từ thửa và số 76 720 đất số đồ số | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-086-S01-TT0029-01 | SEC=non-agricultural | TT=29 | REL=main | PRICES=400,350 | ROAD=Đường nhựa vào hồ Đường bơi Ngọc Thủy | START=Hết ranh số 92 và ĐT 759B số 280, số 24 | END=thửa đất thửa đất 580 tờ bản đồ | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-086-S01-TT0030-01 | SEC=non-agricultural | TT=30 | REL=main | PRICES=400,350 | ROAD=Đường nhựa ấp Tân Đường Hiệp 75913 | START=Hết ranh ĐT số 232, số 23 | END=thửa đất tờ bản đồ 580 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-086-S01-TT0031-01 | SEC=non-agricultural | TT=31 | REL=main | PRICES=400,350 | ROAD=Đường Đường nhựa ấp Tân (cổng Hiệp Tân | START=ĐT 759B Hết ranh chào ấp số 32, tờ Hiệp) số 14 | END=thửa đất bản đồ 580 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-086-S01-TT0032-01 | SEC=non-agricultural | TT=32 | REL=main | PRICES=400,350 | ROAD=Đường nhựa giáp Đường ranh xã Lộc Hiệp cũ | START=ĐT 759B Hết tuyến | END=580 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-086-S01-TT0033-01 | SEC=non-agricultural | TT=33 | REL=main | PRICES=400,350 | ROAD=Đường nhựa giáp Đường ranh xã Lộc Hiệp cũ | START=Hết ranh ĐT 759B số 111, số 14 | END=thửa đất tờ bản đồ 580 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-086-S01-TT0034-01 | SEC=non-agricultural | TT=34 | REL=main | PRICES=400,350 | ROAD=Ngã Đường nhựa C3 Liên | START=Hết ranh ba đường số 104, Doanh số 9 | END=thửa đất tờ bản đồ 580 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-086-S01-TT0035-01 | SEC=non-agricultural | TT=35 | REL=main | PRICES=500,430 | ROAD=Đường Đường nhựa ấp Tân (cổng Đông Tân | START=ĐT 759B chào ấp Đập Bù Đông) | END=Đạo 720 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-086-S01-TT0036-01 | SEC=non-agricultural | TT=36 | REL=main | PRICES=500,430 | ROAD=Đường nhựa khu dân cư đội 3 - đội 5 Trung Toàn đoàn 717 | START=tuyến | END=720 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-086-S01-TT0037-01 | SEC=non-agricultural | TT=37 | REL=main | PRICES=340,290 | ROAD=Đường nhựa giáp Đường ranh xã Tân Tiến - Tân Thành cũ | START=ĐT 759B Suối Bù | END=Đạo 480 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-086-S01-TT0038-01 | SEC=non-agricultural | TT=38 | REL=main | PRICES=500,430 | ROAD=Đường nhựa ấp Tân Từ đập Đông Bù Đạo | START=Ranh địa tràn suối hành chính Tân Tiến | END=giới xã 720 cũ | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-086-S01-TT0039-01 | SEC=non-agricultural | TT=39 | REL=main | PRICES=340,290 | ROAD=Ranh Đường nhựa ấp Tân hành Đông Tân | START=địa giới Cầu sắt chính xã Hiệp Tiến cũ | END=ấp Tân 480 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-086-S01-TT0040-01 | SEC=non-agricultural | TT=40 | REL=main | PRICES=500,430 | ROAD=Đường Đường nhựa ấp Tân doanh xăng Phú Anh) | START=liên Nhà ông (Từ Cây Thiện (ấp Hoàng Lập) | END=Lê Văn Tân 720 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-086-S01-TT0041-01 | SEC=non-agricultural | TT=41 | REL=main | PRICES=340,290 | ROAD=Đường bê tông bên Toàn cạnh trường mầm non | START=tuyến | END=480 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-086-S01-TT0042-01 | SEC=non-agricultural | TT=42 | REL=main | PRICES=400,350 | ROAD=Đường nhựa giáp Tân Đường Hội - Tân Lợi doanh | START=liên Công ty Tòng | END=Thanh 580 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-086-S01-TT0043-01 | SEC=non-agricultural | TT=43 | REL=main | PRICES=340,290 | ROAD=Từ ngã bà Đồng Đường nhựa ấp Tân Huỳnh Định số 354, đồ số | START=ba nhà Đến ranh Thị đất số 92 (thửa đất đất số 280, tờ bản bản đồ 24) | END=thửa và thửa 490 tờ số 24 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-086-S01-TT0044-01 | SEC=non-agricultural | TT=44 | REL=main | PRICES=340,290 | ROAD=Từ ngã Đường nhựa ấp Tân đất số Đông bản | START=ba (thửa Hết ranh 121, tờ số 52, tờ đồ số 41) số 41 | END=thửa đất bản đồ 490 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-086-S01-TT0045-01 | SEC=non-agricultural | TT=45 | REL=main | PRICES=340,290 | ROAD=Từ ngã Đường nhựa ấp Tân đất số Đông đồ số | START=ba (thửa Hết ranh 16, tờ bản số 33, tờ 44) số 43 | END=thửa đất bản đồ 400 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-086-S01-TT0046-01 | SEC=non-agricultural | TT=46 | REL=main | PRICES=340,290 | ROAD=Từ ngã Đường nhựa ấp Tân đất số Đông đồ số | START=ba (thửa Hết ranh 16, tờ bản số 26, tờ 44) số 44 | END=thửa đất bản đồ 490 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-086-S01-TT0047-01 | SEC=non-agricultural | TT=47 | REL=main | PRICES=560,480 | ROAD=Đường nhựa ngã tư cầu Trắng đi Đội 3 Toàn Trung đoàn 717 | START=tuyến | END=800 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-086-S01-TT0048-01 | SEC=non-agricultural | TT=48 | REL=main | PRICES=560,480 | ROAD=Đường nhựa ngã tư Cầu Trắng đi Đội 5 Toàn Trung đoàn 717 | START=tuyến | END=800 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-086-S01-TT0049-01 | SEC=non-agricultural | TT=49 | REL=main | PRICES=560,480 | ROAD=Đường Sóc Nê Ngã | START=Hết ranh Trường ba Sóc Nê và Trường học | END=đất cấp II+III 800 tiểu | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-086-S01-TT0050-01 | SEC=non-agricultural | TT=50 | REL=main | PRICES=500,430 | ROAD=hết ranh Trường Đường Sóc Nê và Trường học | START=đất cấp II+III Suối Đá tiểu | END=720 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-086-S01-TT0051-01 | SEC=non-agricultural | TT=51 | REL=main | PRICES=450,380 | ROAD=Đường Sóc Nê Suối | START=Hết ranh ông 3 đến Đá đất số 631, bản đồ | END=đất nhà (Thửa 640 tờ số 88) | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-086-S01-TT0052-01 | SEC=non-agricultural | TT=52 | REL=main | PRICES=670,580 | ROAD=Đường trong khu vực Toàn chợ Tân Tiến | START=tuyến | END=960 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-086-S01-TT0053-01 | SEC=non-agricultural | TT=53 | REL=main | PRICES=450,380 | ROAD=Đường nhựa K2 Đường | START=ĐT 759B Suối K2 | END=640 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-086-S01-TT0054-01 | SEC=non-agricultural | TT=54 | REL=main | PRICES=340,290 | ROAD=Đường nhựa K2 Suối | START=K2 Hết tuyến Hết ranh | END=480 đất ông | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-086-S01-TT0055-01 | SEC=non-agricultural | TT=55 | REL=main | PRICES=400,350 | ROAD=Đường nhựa giáp ấp Đường (đoạn Tân Bình, Tân Hòa | START=Phan Văn ĐT 759B (Hết ranh nắn cua) đất số 60, đồ số 72) | END=Hoàng thửa 580 tờ bản | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-086-S01-TT0056-01 | SEC=non-agricultural | TT=56 | REL=main | PRICES=280,240 | ROAD=Hết Phan Đường nhựa giáp ấp Hoàng Tân Bình, Tân Hòa thửa tờ bản | START=ranh đất ông Ngã ba Văn Trường (Hết ranh ranh thửa đất số 60, 525, tờ đồ số 72) 72) | END=nhà Yến (Hết đất số 400 bản đồ số | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-086-S01-TT0057-01 | SEC=non-agricultural | TT=57 | REL=main | PRICES=370,320 | ROAD=Đường Đường nhựa ấp Tân (cổng An Tân | START=Hết ranh ĐT 759B Nông Văn chào ấp (hết ranh đất số 100, An) bản đồ | END=đất ông Píu thửa 530 tờ số 79) | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-086-S01-TT0058-01 | SEC=non-agricultural | TT=58 | REL=main | PRICES=370,320 | ROAD=Đường Đường nhựa ấp Tân (cổng Thuận Tân | START=Hết ranh ĐT 759B Đinh Hoàng chào ấp (hết ranh đất số 57, Thuận) đồ số 70) | END=đất ông Tuấn thửa 530 tờ bản | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-086-S01-TT0059-01 | SEC=non-agricultural | TT=59 | REL=main | PRICES=400,350 | ROAD=Đường Đường nhựa ấp Tân (cổng Nhân Tân | START=Hết ranh ĐT 759B Bùi Văn chào ấp (thửa đất Nhân) tờ bản | END=đất ông Quỳ 580 số 201, đồ số 77) | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-086-S01-TT0060-01 | SEC=non-agricultural | TT=60 | REL=main | PRICES=340,290 | ROAD=Đường nhựa ấp Tân Đường An | START=Hết ranh ĐT 759B số 380, số 73) | END=thửa đất tờ bản đồ 480 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-086-S01-TT0061-01 | SEC=non-agricultural | TT=61 | REL=main | PRICES=340,290 | ROAD=Đường nhựa H8 Đường | START=Ngã tư ông Viện ĐT 759B ranh thửa 170, tờ 80) | END=máy trà (hết đất số 480 bản đồ số | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-086-S01-TT0062-01 | SEC=non-agricultural | TT=62 | REL=main | PRICES=340,290 | ROAD=Đường nhựa giáp ranh Tân Thành - Tân Toàn Tiến | START=tuyến | END=480 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-086-S01-TT0063-01 | SEC=non-agricultural | TT=63 | REL=main | PRICES=340,290 | ROAD=Đường nhựa ấp Tân Đường | START=ĐT 759B Ngã ba | END=nhà ông 480 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-086-S01-TT0064-01 | SEC=non-agricultural | TT=64 | REL=main | PRICES=340,290 | ROAD=An (Đường Đào Tiên) Đường bê tông, nhựa (bên cạnh Cây xăng Đường Thanh Xổ) | START=Thái Hoàng ĐT 759B Hết tuyến | END=Déng 480 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-086-S01-TT0065-01 | SEC=non-agricultural | TT=65 | REL=main | PRICES=360,310 | ROAD=Đường nhựa ấp Tân Bình (cổng chào Tân Đường Bình) | START=ĐT 759B Hết tuyến | END=520 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-086-S01-TT0066-01 | SEC=non-agricultural | TT=66 | REL=main | PRICES=360,310 | ROAD=Đường nhựa ấp Tân Hòa (bên cạnh Cây Đường xăng Hoàng Trọng) | START=ĐT 759B Kênh nhánh | END=N12 520 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-086-S01-TT0067-01 | SEC=non-agricultural | TT=67 | REL=main | PRICES=360,310 | ROAD=Đường nhựa ấp Tân Thuận (trại cá Tư Đường Nghĩa) | START=Ngã ba ĐT 759B Bế Văn | END=nhà ông 520 Ba | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-086-S01-TT0068-01 | SEC=non-agricultural | TT=68 | REL=main | PRICES=390,340 | ROAD=Đường nhựa giáp ranh Tân Tiến - Thanh Toàn Hòa (ấp 2 Thạnh Hòa) | START=tuyến | END=560 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-086-S01-TT0069-01 | SEC=non-agricultural | TT=69 | REL=main | PRICES=360,310 | ROAD=Đường nhựa giáp ranh Tân Tiến - Thanh Toàn Hòa (ấp 6 Thanh Hòa) | START=tuyến | END=520 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-086-S01-TT0070-01 | SEC=non-agricultural | TT=70 | REL=main | PRICES=220,190 | ROAD=Đường liên xã Lộc An Giáp - Lộc Tấn cũ Lộc | START=ranh xã Giáp ranh Thạnh Tấn | END=xã Lộc 320 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-086-S01-TT0071-01 | SEC=non-agricultural | TT=71 | REL=main | PRICES=220,190 | ROAD=Đường liên xã Lộc An Nông - Lộc Tấn cũ | START=Thửa đất trường 11 tờ bản | END=số 16, 320 đồ số 119 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-086-S01-TT0072-01 | SEC=non-agricultural | TT=72 | REL=main | PRICES=220,190 | ROAD=Đường liên xã Lộc An Thửa - Lộc Tấn cũ tờ bản | START=đất số 16, Ngã ba đồ số 119 | END=Trạm y tế 320 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-086-S01-TT0073-01 | SEC=non-agricultural | TT=73 | REL=main | PRICES=220,190 | ROAD=Đường liên xã Lộc An Ngã - Lộc Tấn cũ tế | START=ba Trạm y Giáp ranh Quang | END=xã Lộc 320 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-086-S01-TT0074-01 | SEC=non-agricultural | TT=74 | REL=main | PRICES=200,170 | ROAD=Các tuyến đường giao thông | START=nông thôn từ 3,5m | END=trở lên 280 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-086-S01-TT0075-01 | SEC=non-agricultural | TT=75 | REL=main | PRICES=180,150 | ROAD=Các tuyến đường còn Toàn lại | START=tuyến | END=260 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
