TABLE=095 | AREA=Xã Bình Tân | RECORDS=37 | GROUPS=37 | REVIEW=37
ID=NQ28-095-S01-TT0001-01 | SEC=non-agricultural | TT=1 | REL=main | PRICES=2700,2300 | ROAD=95. Xã Bình Tân Tên đường giao TT thông Giáp ranh Đường ĐT 741 Phước | START=Đoạn đường Ranh UBND phường Bình Tân Bình 500m về Đồng Xoài | END=Giá Giá thương đất ở mại, xã cũ + 3.800 hướng | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-095-S01-TT0012-01 | SEC=non-agricultural | TT=12 | REL=main | PRICES=1100,920 | ROAD=Đường liên xã Long Hưng (cũ) - Đường Long Bình (cũ) | START=Cách trường giáo Long ĐT 741 (cũ) đi về Long Bình 1000m | END=Mẫu Hưng phía 1.500 (cũ) | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-095-S01-TT0013-01 | SEC=non-agricultural | TT=13 | REL=main | PRICES=600,510 | ROAD=Đường liên xã Đầu lô 81 Long Hưng (cũ) - trường Long Bình (cũ) | START=Hết ranh - Nông Thiều Định Long Hưng thửa đất bản đồ | END=đất ông Kỳ tại 850 số 17, tờ số 7 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-095-S01-TT0014-01 | SEC=non-agricultural | TT=14 | REL=main | PRICES=360,310 | ROAD=Đường Liên xã Trường Long Hưng (cũ) - Long Hưng Bình Sơn (cũ) thôn 7) | START=Hết ranh Tiểu học Lê Đình (Điểm thửa đất bản đồ | END=đất ông Bốn tại 510 số 19, tờ số 13 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-095-S01-TT0015-01 | SEC=non-agricultural | TT=15 | REL=main | PRICES=290,240 | ROAD=Đường liên xã Ngã ba | START=Đất tiếp nhà ông | END=giáp ranh 410 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-095-S01-TT0016-01 | SEC=non-agricultural | TT=16 | REL=main | PRICES=480,410 | ROAD=Bình Tân đi Phú Vĩnh Phường Phước đất số 89, đồ số 62) Bình Đường liên xã Ngã ba Bình Tân đi xã Giáp đường Phước Tân (cũ) 741 | START=Pẩu (thửa Phường tờ bản Bình (thửa 132, tờ 64) Bình Hiếu - Nhà ông ĐT 200m hướng NT8 | END=Phước đất số bản đồ số Bùi Mót + về 680 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-095-S01-TT0017-01 | SEC=non-agricultural | TT=17 | REL=main | PRICES=420,360 | ROAD=Đường liên xã Bình Tân đi Ngã ba Phường Phước Bình Hiếu Bình | START=Ngã ba Bưu điện Bình Hiếu hướng về Phước | END=Bưu điện + 200m 600 phường Bình | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-095-S01-TT0018-01 | SEC=non-agricultural | TT=18 | REL=main | PRICES=420,360 | ROAD=Đường liên xã Giáp ranh Bình Tân đi xã Phước Bình Sơn (cũ) | START=Hết ranh ông Nguyễn Phường Khương Long số 40, tờ | END=đất nhà Viết (thửa đất 600 bản đồ | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-095-S01-TT0019-01 | SEC=non-agricultural | TT=19 | REL=main | PRICES=710,610 | ROAD=Ngã ba Đường Liên xã ông Trình | START=số 138) cây xăng Cầu Cửu | END=Long 1.000 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-095-S01-TT0020-01 | SEC=non-agricultural | TT=20 | REL=main | PRICES=270,230 | ROAD=Cầu Cửu Đường liên xã 2 bên đường) | START=Hết ranh Lý (thửa Long (tính tờ bản đồ tiếp giáp ĐT 757B | END=bà Lê Thị đất số 41, số 66) 390 đường | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-095-S01-TT0021-01 | SEC=non-agricultural | TT=21 | REL=main | PRICES=1400,1200 | ROAD=Đường QH 12m Đường | START=Cuối tuyến ĐH QH 12m, đất nhà | END=đường đến ranh 2.000 ông Nhị | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-095-S01-TT0022-01 | SEC=non-agricultural | TT=22 | REL=main | PRICES=1900,1600 | ROAD=Đường QH 17m Đường | START=Cuối tuyến ĐH QH 17m, đất nhà | END=đường đến ranh 2.700 ông Tều | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-095-S01-TT0023-01 | SEC=non-agricultural | TT=23 | REL=main | PRICES=1400,1200 | ROAD=Đường QH 15m Đường Ranh thửa | START=ĐH 12m Đường đất của Hết ranh | END=QH 17m 2.000 đất ông | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-095-S01-TT0024-01 | SEC=non-agricultural | TT=24 | REL=main | PRICES=270,230 | ROAD=ông Nguyễn Đường giao thông Thập tính đấu nối đường bên đường trung tâm xã đất số 50, đồ số 125) | START=Văn Nguyễn dọc 2 tính dọc (thửa đường (thửa tờ bản số 96, tờ số 107) | END=Như Hưng 2 bên 380 đất bản đồ | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-095-S01-TT0025-01 | SEC=non-agricultural | TT=25 | REL=main | PRICES=710,610 | ROAD=Ngã ba Đường quanh chợ ông Trình | START=Cười tuyến cây xăng quanh chợ, ranh đất Nguyễn | END=đường hết 1.000 nhà ông Đức Thọ | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-095-S01-TT0026-01 | SEC=non-agricultural | TT=26 | REL=main | PRICES=770,660 | ROAD=Đầu ranh Đường quanh chợ xăng Thành | START=Ngã ba đất Cây văn hóa Long Tân 2 | END=vào Nhà Thôn Bình 1.100 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-095-S01-TT0027-01 | SEC=non-agricultural | TT=27 | REL=main | PRICES=710,610 | ROAD=Trung tâm Long Ngã ba Bình (cũ) Trần Đức | START=nhà ông Hết ranh Long Nguyễn | END=ông 1.000 Ngọc Mai | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-095-S01-TT0028-01 | SEC=non-agricultural | TT=28 | REL=main | PRICES=2900,2400 | ROAD=Tuyến đường số 1 Khu dân cư Bình Đường Tân | START=Giáp ranh ĐT 741 Nông trường Phước | END=cao su 4.100 Bình | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-095-S01-TT0029-01 | SEC=non-agricultural | TT=29 | REL=main | PRICES=300,260 | ROAD=Đường từ Trường Giáp đường cấp II-III Long Phú Bình Tân đi xã Bình Tân Phước | START=liên xã Giáp ranh - xã Trung Tân (cũ) | END=xã Phú 430 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-095-S01-TT0030-01 | SEC=non-agricultural | TT=30 | REL=main | PRICES=320,280 | ROAD=Đường từ Đường Giáp đường ĐT 741 đến đường Bình Tân vòng quanh núi Bà Phước Rá | START=liên xã Giáp ranh - xã Phước Tân (cũ) | END=phường 460 Bình | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-095-S01-TT0031-01 | SEC=non-agricultural | TT=31 | REL=main | PRICES=320,280 | ROAD=Đường từ đường ĐT 741 (gần Công ty Cao su Phước Đường Long, xã Bình Tân) đến đường ĐT 759 | START=Giáp ranh ĐT 741 Phước | END=phường 460 Bình | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-095-S01-TT0032-01 | SEC=non-agricultural | TT=32 | REL=main | PRICES=480,410 | ROAD=Đường giao thông đấu nối trục Toàn tuyến Đường ĐT 741 phạm vi 200m | START= | END=680 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-095-S01-TT0033-01 | SEC=non-agricultural | TT=33 | REL=main | PRICES=270,230 | ROAD=Đường giao thông đấu nối trục Toàn tuyến Đường ĐT 757B phạm vi 200m | START= | END=380 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-095-S01-TT0034-01 | SEC=non-agricultural | TT=34 | REL=main | PRICES=250,210 | ROAD=Đường dọc sông Giáp ranh bé Hà | START=xã Long Đất ông Đình Hoạt | END=Đặng 360 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-095-S01-TT0035-01 | SEC=non-agricultural | TT=35 | REL=main | PRICES=250,210 | ROAD=Các đường giao thông liên xã còn Toàn tuyến lại | START= | END=360 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-095-S01-TT0036-01 | SEC=non-agricultural | TT=36 | REL=main | PRICES=220,190 | ROAD=Các tuyến Đường nhựa, bê tông Bao gồm bản đồ nông thôn mới thuộc Trung tâm 114, 124, xã | START=các tờ số: 106, 125 | END=310 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-095-S01-TT0037-01 | SEC=non-agricultural | TT=37 | REL=main | PRICES=180,150 | ROAD=Các tuyến đường giao thông còn lại Toàn tuyến trên địa bàn xã | START= | END=260 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
