TABLE=058 | AREA=Phường Minh Hưng | RECORDS=248 | GROUPS=248 | REVIEW=248
ID=NQ28-058-S01-TT0001-01 | SEC=non-agricultural | TT=1 | REL=main | PRICES=2800,2400 | ROAD=58. Phường Minh Hưng Tên đường TT giao thông Phía Bắc: Ngã Đường ĐT đường Ngô | START=Đoạn đường Phía Bắc: Hết ba giới thửa đất Đức Kế bản đồ số 140; | END=Giá đất ở ranh số 69, tờ Phía 4.000 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-058-S01-TT0007-01 | SEC=non-agricultural | TT=7 | REL=main | PRICES=760,650 | ROAD=Phía Tây: Hết Đường ĐH 05 thửa đất số bản đồ số 130; | START=05 ranh Ngã tư Đường 191, tờ tông - Khu Long 7 và Đường | END=bê phố Minh 1.100 ĐH | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-058-S01-TT0008-01 | SEC=non-agricultural | TT=8 | REL=main | PRICES=620,530 | ROAD=Phía Đông: đường số 52 Đường ĐH Ngã tư Đường tông - Khu Minh Long Đường ĐH 05 Đường ĐH ranh thửa đất 168 tờ bản | START=Ngã ba 05 (hết ranh và số 168 tờ bản 05 117) bê phố 7 và 05 (hết Đường ĐH số đồ số | END=thửa đất đồ số 15 880 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-058-S01-TT0009-01 | SEC=non-agricultural | TT=9 | REL=main | PRICES=1200,1000 | ROAD=117) Đường ĐH 05 Đường ĐT | START=751 Đường ĐH Phía Bắc: Hết | END=06 1.700 ranh | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-058-S01-TT0010-01 | SEC=non-agricultural | TT=10 | REL=main | PRICES=1000,890 | ROAD=Ranh giới phường Đường ĐH 06 Chơn Thành | START=thửa đất số bản đồ số 143; Nam: Ngã ba ĐH 06 và đường 44 | END=195, tờ Phía 1.500 đường số | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-058-S01-TT0011-01 | SEC=non-agricultural | TT=11 | REL=main | PRICES=900,770 | ROAD=Phía Bắc: Hết thửa đất số bản đồ số 143; Đường ĐH 06 Phía Nam: đường ĐH Đường số 44 | START=ranh Phía Bắc: Ngã 195, tờ đường số 36 Đường ĐH Ngã ba Nam: Ngã ba 06 và bê tông và | END=ba và 06; Phía 1.300 đường ĐH 06 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-058-S01-TT0012-01 | SEC=non-agricultural | TT=12 | REL=main | PRICES=730,620 | ROAD=Phía Bắc: Ngã đường số 36 Đường ĐH Đường ĐH 06 Phía Nam: đường bê tông ĐH 06 | START=ba và Hết tuyến (ranh 06; Thành phố Ngã ba Minh) và | END=giới Hồ Chí 1.000 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-058-S01-TT0013-01 | SEC=non-agricultural | TT=13 | REL=main | PRICES=840,720 | ROAD=Đường Ngô Đức Kế Đường ĐT (Ranh giới phường Chơn Thành) | START=Ngã ba đường 751 Đức Kế và 3A | END=Ngô Đường số 1.200 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-058-S01-TT0014-01 | SEC=non-agricultural | TT=14 | REL=main | PRICES=670,580 | ROAD=Đường Ngô Đức Kế Ngã ba đường Đức Kế và (Ranh giới phường Chơn số 3A Thành) | START=Ngô Đường Hết tuyến | END=960 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-058-S01-TT0015-01 | SEC=non-agricultural | TT=15 | REL=main | PRICES=670,580 | ROAD=Đường số 1 - Khu phố Minh Đường ĐT Long 6 | START=751 Hết tuyến | END=960 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-058-S01-TT0016-01 | SEC=non-agricultural | TT=16 | REL=main | PRICES=610,520 | ROAD=Đường số 2 - Khu phố Minh Đường ĐT Long 6 | START=751 Đường ĐH | END=06 870 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-058-S01-TT0017-01 | SEC=non-agricultural | TT=17 | REL=main | PRICES=790,680 | ROAD=Đường số 3 - Khu phố Minh Đường ĐT Long 6 | START=Ngã tư Đường Đường số 3A 751 Văn hóa Khu | END=số 3 và (Nhà 1.100 phố | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-058-S01-TT0018-01 | SEC=non-agricultural | TT=18 | REL=main | PRICES=670,580 | ROAD=Đường số 3A Đường Ngô | START=Minh Long Đức Đường số 7 | END=6) 960 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-058-S01-TT0019-01 | SEC=non-agricultural | TT=19 | REL=main | PRICES=670,580 | ROAD=- Khu phố Kế Minh Long 6 Đường số 3B Đường số 3 Khu phố Minh Long 6 | START=Đường số 7 | END=960 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-058-S01-TT0020-01 | SEC=non-agricultural | TT=20 | REL=main | PRICES=670,580 | ROAD=Đường số 3C Đường số 3A Khu phố Minh Long 6 | START=Hết tuyến | END=960 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-058-S01-TT0021-01 | SEC=non-agricultural | TT=21 | REL=main | PRICES=790,680 | ROAD=Đường số 4 - Khu phố Minh Đường ĐT Long 1 | START=751 Hết tuyến | END=1.100 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-058-S01-TT0022-01 | SEC=non-agricultural | TT=22 | REL=main | PRICES=790,680 | ROAD=Đường số 5 - Khu phố Minh Đường ĐT Long 6 | START=751 Hết tuyến | END=1.100 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-058-S01-TT0023-01 | SEC=non-agricultural | TT=23 | REL=main | PRICES=790,680 | ROAD=Đường số 6 - Khu phố Minh Đường ĐT Long 1 | START=751 Hết tuyến | END=1.100 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-058-S01-TT0024-01 | SEC=non-agricultural | TT=24 | REL=main | PRICES=790,680 | ROAD=Đường số 7 - Khu phố Minh Đường ĐT Long 1 | START=Phía Tây: Hết thửa đất số 751 đồ số 131; Ngã ba đường Đường số 7 | END=ranh 72, tờ bản Phía Đông: 1.100 số 3 và | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-058-S01-TT0025-01 | SEC=non-agricultural | TT=25 | REL=main | PRICES=490,420 | ROAD=Phía Tây: Hết Đường số 7 - thửa đất số Khu phố Minh bản đồ số 131; Long 1 và Phía Đông: Khu phố Minh đường số 3 Long 7 Đường số 7 | START=ranh 72, tờ Hết tuyến Ngã ba và | END=700 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-058-S01-TT0026-01 | SEC=non-agricultural | TT=26 | REL=main | PRICES=790,680 | ROAD=Đường số 8 - Khu phố Minh Đường ĐT Long 1 | START=751 Hết tuyến | END=1.100 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-058-S01-TT0027-01 | SEC=non-agricultural | TT=27 | REL=main | PRICES=790,680 | ROAD=Đường số 9 - Khu phố Minh Đường ĐT Long 1 | START=751 Hết tuyến | END=1.100 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-058-S01-TT0028-01 | SEC=non-agricultural | TT=28 | REL=main | PRICES=790,680 | ROAD=Đường số 10 Đường ĐT Khu phố Minh Long 1 | START=751 Hết tuyến | END=1.100 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-058-S01-TT0029-01 | SEC=non-agricultural | TT=29 | REL=main | PRICES=790,680 | ROAD=Đường số 11 Đường ĐT Khu phố Minh Long 1 | START=751 Hết tuyến | END=1.100 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-058-S01-TT0030-01 | SEC=non-agricultural | TT=30 | REL=main | PRICES=790,680 | ROAD=Đường số 12 Đường ĐT Khu phố Minh Long 1 | START=751 Hết tuyến | END=1.100 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-058-S01-TT0031-01 | SEC=non-agricultural | TT=31 | REL=main | PRICES=790,680 | ROAD=Đường số 13 - Khu phố Minh Long 1 Đường ĐT và Khu phố Minh Long 7 | START=751 Đường số 52 | END=1.100 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-058-S01-TT0032-01 | SEC=non-agricultural | TT=32 | REL=main | PRICES=670,580 | ROAD=Đường số 13 - Khu phố Minh Long 1 Đường số 52 và Khu phố Minh Long 7 | START=Đường ĐH | END=05 960 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-058-S01-TT0033-01 | SEC=non-agricultural | TT=33 | REL=main | PRICES=790,680 | ROAD=Đường số 15 Đường ĐT Khu phố Minh Long 1 | START=751 Đường số 52 | END=1.100 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-058-S01-TT0034-01 | SEC=non-agricultural | TT=34 | REL=main | PRICES=790,680 | ROAD=Đường số 16 Đường ĐT Khu phố Minh Long 2 | START=751 Đường số 18 | END=1.100 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-058-S01-TT0035-01 | SEC=non-agricultural | TT=35 | REL=main | PRICES=790,680 | ROAD=Đường số 17 Đường ĐT Khu phố Minh Long 2 | START=751 Đường số 52 | END=1.100 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-058-S01-TT0036-01 | SEC=non-agricultural | TT=36 | REL=main | PRICES=790,680 | ROAD=Đường số 18 Đường ĐT Khu phố Minh Long 2 | START=751 Đường số 16 | END=1.100 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-058-S01-TT0037-01 | SEC=non-agricultural | TT=37 | REL=main | PRICES=790,680 | ROAD=Đường số 20 Đường ĐT Khu phố Minh Long 2 | START=751 Hết tuyến | END=1.100 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-058-S01-TT0038-01 | SEC=non-agricultural | TT=38 | REL=main | PRICES=790,680 | ROAD=Đường số 21 Đường ĐT Khu phố Minh Long 2 | START=751 Hết tuyến | END=1.100 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-058-S01-TT0039-01 | SEC=non-agricultural | TT=39 | REL=main | PRICES=790,680 | ROAD=Đường số 22 Đường ĐT Khu phố Minh Long 2 | START=751 Hết tuyến | END=1.100 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-058-S01-TT0040-01 | SEC=non-agricultural | TT=40 | REL=main | PRICES=490,420 | ROAD=Đường số 23 Đường ĐT Khu phố Minh Long 2 | START=Ranh Phía đất số 56 và 751 số 60 tờ bản 137 | END=Bắc thửa thửa đất 700 đồ số | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-058-S01-TT0041-01 | SEC=non-agricultural | TT=41 | REL=main | PRICES=470,400 | ROAD=Ranh Phía Đường số 23 thửa đất số Khu phố thửa đất số Minh Long 2 bản đồ số 137 | START=Bắc 56 và Đường số 29 60 tờ | END=670 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-058-S01-TT0042-01 | SEC=non-agricultural | TT=42 | REL=main | PRICES=790,680 | ROAD=Đường số 24 Đường ĐT Khu phố Minh Long 2 | START=751 Hết tuyến | END=1.100 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-058-S01-TT0043-01 | SEC=non-agricultural | TT=43 | REL=main | PRICES=790,680 | ROAD=Đường số 25 Đường ĐT Khu phố Minh Long 2 | START=751 Hết tuyến | END=1.100 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-058-S01-TT0044-01 | SEC=non-agricultural | TT=44 | REL=main | PRICES=790,680 | ROAD=Đường số 26 Đường ĐT Khu phố Minh Long 2 | START=Ranh Phía đất số 103 751 136 và thửa 405 tờ bản | END=Bắc thửa tờ bản đồ 1.100 đất số đồ số 137 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-058-S01-TT0045-01 | SEC=non-agricultural | TT=45 | REL=main | PRICES=670,580 | ROAD=Ranh Phía Đường số 26 thửa đất số Khu phố bản đồ 136 Minh Long 2 đất số 405 | START=Bắc 103 tờ Hết tuyến và thửa tờ bản | END=960 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-058-S01-TT0046-01 | SEC=non-agricultural | TT=46 | REL=main | PRICES=790,680 | ROAD=đồ số 137 Đường số 27 Đường ĐT Khu phố Minh Long 2 | START=751 Hết tuyến | END=1.100 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-058-S01-TT0047-01 | SEC=non-agricultural | TT=47 | REL=main | PRICES=790,680 | ROAD=Đường số 28 Đường ĐT Khu phố Minh Long 3 | START=751 Hết tuyến | END=1.100 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-058-S01-TT0048-01 | SEC=non-agricultural | TT=48 | REL=main | PRICES=1100,900 | ROAD=Đường số 29 Đường ĐT Khu phố Minh Long 2 | START=Phía Tây: Ngã đường số 33; 751 Đông: Hết ranh đất số 189, số 130 | END=ba Phía thửa 1.500 tờ bản đồ | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-058-S01-TT0049-01 | SEC=non-agricultural | TT=49 | REL=main | PRICES=790,680 | ROAD=Phía Tây: Ngã Đường số 29 đường số 33; Đông: Hết ranh Khu phố Minh Long 2 thửa đất số bản đồ số 130 | START=ba Phía Tây: Ngã Phía đường số 29B; Đông: Hết ranh 189, tờ đất số 2, tờ 130 | END=ba Phía thửa 1.100 bản đồ số | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-058-S01-TT0050-01 | SEC=non-agricultural | TT=50 | REL=main | PRICES=790,680 | ROAD=Phía Tây: Ngã Đường số 29 đường số 29B; Phía Đông: Khu phố Minh Long 2 ranh thửa đất tờ bản đồ số | START=ba Hết Đường ĐH số 2, 130 | END=15 1.100 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-058-S01-TT0051-01 | SEC=non-agricultural | TT=51 | REL=main | PRICES=670,580 | ROAD=Đường số 29A - Khu Đường số 29 phố Minh Long 2 | START=Đường số 29B | END=960 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-058-S01-TT0052-01 | SEC=non-agricultural | TT=52 | REL=main | PRICES=490,420 | ROAD=Đường số 29B - Khu Suối Bà Và phố Minh Long 2 | START=Suối 1 | END=700 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-058-S01-TT0053-01 | SEC=non-agricultural | TT=53 | REL=main | PRICES=670,580 | ROAD=Đường số 30 Đường ĐT Khu phố Minh Long 3 | START=Ranh Phía 751 đất số 97 và số 98 tờ bản | END=Nam thửa thửa đất 960 đồ 136 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-058-S01-TT0054-01 | SEC=non-agricultural | TT=54 | REL=main | PRICES=490,420 | ROAD=Ranh Phía Đường số 30 thửa đất số Khu phố thửa đất số Minh Long 3 bản đồ 136 | START=Nam 97 và Hết tuyến 98 tờ | END=700 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-058-S01-TT0055-01 | SEC=non-agricultural | TT=55 | REL=main | PRICES=790,680 | ROAD=Đường số 31 Đường ĐT Khu phố Minh Long 2 | START=Ngã ba đường tông (Ranh 751 thửa đất số đồ số 137) | END=Bê Phía Bắc 1.100 11 tờ bản | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-058-S01-TT0056-01 | SEC=non-agricultural | TT=56 | REL=main | PRICES=670,580 | ROAD=Đường số 32 Đường ĐT Khu phố Minh Long 3 | START=751 Đường số 40 | END=960 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-058-S01-TT0057-01 | SEC=non-agricultural | TT=57 | REL=main | PRICES=490,420 | ROAD=Đường số 32 Đường số 40 Khu phố Minh Long 3 | START=Hết tuyến | END=700 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-058-S01-TT0058-01 | SEC=non-agricultural | TT=58 | REL=main | PRICES=670,580 | ROAD=Đường số Đường số 32 | START=Đường số 30 | END=960 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-058-S01-TT0059-01 | SEC=non-agricultural | TT=59 | REL=main | PRICES=670,580 | ROAD=32A - Khu phố Minh Long 3 Đường số 32B - Khu Đường số 32 phố Minh Long 3 | START=Hết tuyến | END=960 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-058-S01-TT0060-01 | SEC=non-agricultural | TT=60 | REL=main | PRICES=670,580 | ROAD=Đường số 32C - Khu Đường số 32 phố Minh Long 3 | START=Hết tuyến | END=960 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-058-S01-TT0061-01 | SEC=non-agricultural | TT=61 | REL=main | PRICES=790,680 | ROAD=Đường số 33 Đường ĐT Khu phố Minh Long 2 | START=751 Đường số 35 | END=1.100 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-058-S01-TT0062-01 | SEC=non-agricultural | TT=62 | REL=main | PRICES=670,580 | ROAD=Đường số 34 Đường ĐT Khu phố Minh Long 3 | START=751 Hết tuyến | END=960 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-058-S01-TT0063-01 | SEC=non-agricultural | TT=63 | REL=main | PRICES=790,680 | ROAD=Đường số 35 Đường ĐT Khu phố Minh Long 2 | START=Ngã ba đường 751 số 33 và 35 | END=Đường 1.100 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-058-S01-TT0064-01 | SEC=non-agricultural | TT=64 | REL=main | PRICES=670,580 | ROAD=Đường số 35 Ngã ba đường Khu phố Đường số 33 Minh Long 2 | START=Đường số 51 và 35 | END=960 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-058-S01-TT0065-01 | SEC=non-agricultural | TT=65 | REL=main | PRICES=790,680 | ROAD=Đường số 36 Đường ĐT Khu phố Minh Long 3 | START=751 Ngã tư Đường | END=số 40 1.100 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-058-S01-TT0066-01 | SEC=non-agricultural | TT=66 | REL=main | PRICES=490,420 | ROAD=Đường số 36 Ngã tư Đường Khu phố 40 Minh Long 3 | START=Mương thoát số Khu phố Minh (Cầu Bưng | END=nước - Long 3 700 Cao) | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-058-S01-TT0067-01 | SEC=non-agricultural | TT=67 | REL=main | PRICES=420,360 | ROAD=Mương thoát Đường số 36 - Khu phố Minh Khu phố Long 3 (Cầu Minh Long 3 Cao) | START=nước Đường ĐH Bưng | END=06 600 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-058-S01-TT0068-01 | SEC=non-agricultural | TT=68 | REL=main | PRICES=790,680 | ROAD=Đường số 37 Đường ĐT Khu phố Minh Long 2 | START=751 Hết tuyến | END=1.100 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-058-S01-TT0069-01 | SEC=non-agricultural | TT=69 | REL=main | PRICES=790,680 | ROAD=Đường số 38 Đường ĐT Khu phố Minh Long 3 | START=751 Ngã ba đường | END=số 40 1.100 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-058-S01-TT0070-01 | SEC=non-agricultural | TT=70 | REL=main | PRICES=490,420 | ROAD=Đường số 38 Ngã ba đường Khu phố 40 Minh Long 3 | START=số Hết tuyến | END=700 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-058-S01-TT0071-01 | SEC=non-agricultural | TT=71 | REL=main | PRICES=790,680 | ROAD=Đường số 39 Đường ĐT Khu phố Minh Long 4 | START=751 Hết tuyến | END=1.100 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-058-S01-TT0072-01 | SEC=non-agricultural | TT=72 | REL=main | PRICES=490,420 | ROAD=Đường số 40 Đường số 32 Khu phố Minh Long 3 | START=Đường số 38 | END=700 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-058-S01-TT0073-01 | SEC=non-agricultural | TT=73 | REL=main | PRICES=790,680 | ROAD=Đường số 41 Đường ĐT Khu phố Minh Long 4 | START=Mương thoát Khu phố Minh 751 (hết ranh thửa 161 tờ bản | END=nước - Long 4 1.100 đất số đồ số 128) | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-058-S01-TT0074-01 | SEC=non-agricultural | TT=74 | REL=main | PRICES=490,420 | ROAD=Mương thoát Đường số 41 - Khu phố Minh Khu phố Long 4 (Hết Minh Long 4 thửa đất số bản đồ số 128) | START=nước ranh Hết tuyến 161 tờ | END=700 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-058-S01-TT0075-01 | SEC=non-agricultural | TT=75 | REL=main | PRICES=790,680 | ROAD=Đường số 43A - Khu Đường ĐT phố Minh Long 4 | START=751 Hết tuyến | END=1.100 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-058-S01-TT0076-01 | SEC=non-agricultural | TT=76 | REL=main | PRICES=790,680 | ROAD=Đường số 43B - Khu Đường ĐT phố Minh Long 4 | START=Ngã tư đường 751 và Đường số | END=bê tông 1.100 43B | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-058-S01-TT0077-01 | SEC=non-agricultural | TT=77 | REL=main | PRICES=670,580 | ROAD=Đường số 44 Đường ĐH Khu phố Minh Long 5 | START=Ranh Phía các thửa đất 06 bản đồ số 146 đất số 293 số 122 | END=Tây Nam số 292 tờ và thửa 960 tờ bản đồ | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-058-S01-TT0078-01 | SEC=non-agricultural | TT=78 | REL=main | PRICES=490,420 | ROAD=Ranh Phía Nam các thửa Đường số 44- số 292 tờ bản Khu phố Minh số 146 và thửa Long 5 số 293 tờ bản số 122 | START=Tây đất đồ Đường ĐH đất đồ | END=06 700 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-058-S01-TT0079-01 | SEC=non-agricultural | TT=79 | REL=main | PRICES=790,680 | ROAD=Đường số 45 Đường ĐT Khu phố Minh Long 4 | START=Ngã tư đường - Khu phố Minh 751 4 (hết ranh số 179 tờ bản 128) | END=bê tông Long thửa đất 1.100 đồ số | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
