TABLE=062 | AREA=Phường An Lộc | RECORDS=200 | GROUPS=200 | REVIEW=199
ID=NQ28-062-S01-TT0001-01 | SEC=non-agricultural | TT=1 | REL=main | PRICES=14400,12300 | ROAD=62. Phường An Lộc Tên đường TT giao thông Đường Nguyễn Đường Trần Huệ | START=Đoạn đường Đường Hưng Đạo Vương | END=Giá Giá thương đất ở mại, Hùng 20.500 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-062-S01-TT0013-04 | SEC=non-agricultural | TT=13 | REL=main | PRICES= | ROAD= | START= | END= | FLAGS=MAIN_ROAD_EMPTY,PRICE_MISSING,NON_AGRICULTURAL_PRICE_COLUMN_COUNT_0,DUPLICATE_TT_IN_SEGMENT
ID=NQ28-062-S01-TT0038-01 | SEC=non-agricultural | TT=38 | REL=main | PRICES=2000,1700 | ROAD=Đường Quốc lộ Đường TLT | START=Đường 15 | END=vào nhà 2.900 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-062-S01-TT0013-05 | SEC=non-agricultural | TT=13 | REL=main | PRICES= | ROAD= | START=máy xi | END=măng | FLAGS=MAIN_ROAD_EMPTY,PRICE_MISSING,NON_AGRICULTURAL_PRICE_COLUMN_COUNT_0,DUPLICATE_TT_IN_SEGMENT
ID=NQ28-062-S01-TT0039-01 | SEC=non-agricultural | TT=39 | REL=main | PRICES=1400,1200 | ROAD=Đường Quốc lộ Đường vào | START=nhà máy xi Giáp ranh | END=xã Lộc 1.900 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-062-S01-TT0013-06 | SEC=non-agricultural | TT=13 | REL=main | PRICES= | ROAD=măng | START=Thành | END= | FLAGS=PRICE_MISSING,NON_AGRICULTURAL_PRICE_COLUMN_COUNT_0,DUPLICATE_TT_IN_SEGMENT
ID=NQ28-062-S01-TT0040-01 | SEC=non-agricultural | TT=40 | REL=main | PRICES=5100,4400 | ROAD=Đường Quốc lộ Đường Nguyễn | START=Thái Ngã ba | END=Sóc Bế 7.300 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-062-S01-TT0013-07 | SEC=non-agricultural | TT=13 | REL=main | PRICES= | ROAD=Học | START=(Đường | END=TP T1) | FLAGS=PRICE_MISSING,NON_AGRICULTURAL_PRICE_COLUMN_COUNT_0,DUPLICATE_TT_IN_SEGMENT
ID=NQ28-062-S01-TT0041-01 | SEC=non-agricultural | TT=41 | REL=main | PRICES=3700,3200 | ROAD=Đường Quốc lộ Ngã ba Sóc | START=Bế Hết ranh | END=đất Cây 5.300 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-062-S01-TT0013-08 | SEC=non-agricultural | TT=13 | REL=main | PRICES= | ROAD=(Đường TPT | START=1) xăng Thạnh | END=Phú | FLAGS=PRICE_MISSING,NON_AGRICULTURAL_PRICE_COLUMN_COUNT_0,DUPLICATE_TT_IN_SEGMENT
ID=NQ28-062-S01-TT0042-01 | SEC=non-agricultural | TT=42 | REL=main | PRICES=4300,3600 | ROAD=Đường Quốc lộ Giáp ranh | START=đất Cây hết ranh | END=đất Nông 6.100 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-062-S01-TT0013-09 | SEC=non-agricultural | TT=13 | REL=main | PRICES= | ROAD=xăng Thạnh | START=Phú Trường | END=Xa Cam | FLAGS=PRICE_MISSING,NON_AGRICULTURAL_PRICE_COLUMN_COUNT_0,DUPLICATE_TT_IN_SEGMENT
ID=NQ28-062-S01-TT0043-01 | SEC=non-agricultural | TT=43 | REL=main | PRICES=2900,2500 | ROAD=Đường Quốc lộ Giáp ranh | START=đất Nông Đường | END=TLT 3 4.200 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-062-S01-TT0013-10 | SEC=non-agricultural | TT=13 | REL=main | PRICES= | ROAD=Trường Xa Đường bao | START=Cam | END= | FLAGS=PRICE_MISSING,NON_AGRICULTURAL_PRICE_COLUMN_COUNT_0,DUPLICATE_TT_IN_SEGMENT
ID=NQ28-062-S01-TT0044-01 | SEC=non-agricultural | TT=44 | REL=main | PRICES=4300,3600 | ROAD=quanh khu dân Toàn tuyến cư chợ xã Thanh Phú | START= | END=6.100 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-062-S01-TT0045-01 | SEC=non-agricultural | TT=45 | REL=main | PRICES=680,580 | ROAD=Đường ĐT 757 Đường Quốc | START=Giáp ranh lộ 13 Hưng | END=xã Tân 970 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-062-S01-TT0046-01 | SEC=non-agricultural | TT=46 | REL=main | PRICES=4000,3400 | ROAD=Đường bao Toàn tuyến quanh chợ | START= | END=5.700 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-062-S01-TT0047-01 | SEC=non-agricultural | TT=47 | REL=main | PRICES=790,680 | ROAD=Đường vào nhà Đường Quốc máy xi măng | START=lộ 13 Suối | END=1.100 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-062-S01-TT0048-01 | SEC=non-agricultural | TT=48 | REL=main | PRICES=680,580 | ROAD=Đường vào nhà Suối máy xi măng | START=Cuối đường thảm nhựa | END=đã 970 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-062-S01-TT0049-01 | SEC=non-agricultural | TT=49 | REL=main | PRICES=790,680 | ROAD=Đường vùng đệm nhà máy xi Toàn tuyến măng Bình Phước | START= | END=1.100 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-062-S01-TT0049-02 | SEC=non-agricultural | TT=49 | REL=main | PRICES=2500,2100 | ROAD=Khu dân cư Các tuyến khu dân cư Khang Minh | START=đường trong (Đường | END=3.600 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2,DUPLICATE_TT_IN_SEGMENT
ID=NQ28-062-S01-TT0050-01 | SEC=non-agricultural | TT=50 | REL=main | PRICES=2000,1700 | ROAD=Quân trục chính đường vào măng) Các tuyến Khu dân cư khu dân cư Khang Minh Minh Quân Quân còn lại) | START=trừ tuyến nhà máy xi đường trong Khang (Đường | END=2.900 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-062-S01-TT0051-01 | SEC=non-agricultural | TT=51 | REL=main | PRICES=2500,2100 | ROAD=Các tuyến Khu dân cư khu dân cư Ngọc Điền Phát Phát (Đường chính) | START=đường trong Ngọc Điền trục | END=3.600 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-062-S01-TT0052-01 | SEC=non-agricultural | TT=52 | REL=main | PRICES=2000,1700 | ROAD=Các tuyến Khu dân cư khu dân cư Ngọc Điền Phát Phát (Đường | START=đường trang Ngọc Điền còn lại) | END=2.900 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-062-S01-TT0053-01 | SEC=non-agricultural | TT=53 | REL=main | PRICES=1000,870 | ROAD=Đường TPT 1 Đường Quốc | START=lộ 13 Đường | END=TPT 4 1.500 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-062-S01-TT0054-01 | SEC=non-agricultural | TT=54 | REL=main | PRICES=680,580 | ROAD=Đường TPT 1 Đường TPT | START=4 TLT 21 | END=970 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-062-S01-TT0055-01 | SEC=non-agricultural | TT=55 | REL=main | PRICES=2800,2400 | ROAD=Đường bao Đường TPT 2 dân cư chợ Phú | START=quanh khu Cuối đường xã Thanh cấp mở | END=nâng 4.100 rộng | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-062-S01-TT0056-01 | SEC=non-agricultural | TT=56 | REL=main | PRICES=480,410 | ROAD=Đường TPT 3 Cầu cây Sung | START=Đường | END=TPT 27 690 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-062-S01-TT0057-01 | SEC=non-agricultural | TT=57 | REL=main | PRICES=680,580 | ROAD=Đường TPT 4 Đường TPT | START=1 Đường | END=TPT 12 970 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-062-S01-TT0058-01 | SEC=non-agricultural | TT=58 | REL=main | PRICES=480,410 | ROAD=Đường TPT 4 Đường TPT | START=12 Hết tuyến | END=690 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-062-S01-TT0059-01 | SEC=non-agricultural | TT=59 | REL=main | PRICES=480,410 | ROAD=Thửa đất Đường TPT 5 đồ số 14 thuộc khu phố Thanh | START=Thửa số 28, tờ bản tờ bản tổ 4, thuộc Hà phố Sóc | END=đất số 126, đồ số 03 690 tổ 6, khu Trăng | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-062-S01-TT0060-01 | SEC=non-agricultural | TT=60 | REL=main | PRICES=480,410 | ROAD=Đường TPT 6 Đường TPT | START=7 Đường | END=TPT 4 690 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-062-S01-TT0061-01 | SEC=non-agricultural | TT=61 | REL=main | PRICES=480,410 | ROAD=Đường TPT 7 Đường TPT | START=8 Đường | END=TPT 4 690 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-062-S01-TT0062-01 | SEC=non-agricultural | TT=62 | REL=main | PRICES=480,410 | ROAD=Đường TPT 8 Đường TPT | START=5 Đường | END=TPT 12 690 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-062-S01-TT0063-01 | SEC=non-agricultural | TT=63 | REL=main | PRICES=480,410 | ROAD=Đường TPT 9 Đường ray | START=xe lửa Đường | END=TPT 5 690 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-062-S01-TT0064-01 | SEC=non-agricultural | TT=64 | REL=main | PRICES=480,410 | ROAD=Đường TPT 10 Đường TPT | START=5 Đường | END=TPT 8 690 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-062-S01-TT0065-01 | SEC=non-agricultural | TT=65 | REL=main | PRICES=480,410 | ROAD=Đường TPT 11 Đường TPT | START=Lô cao 4 ông Huỳnh đường | END=su (nhà Thái), 690 TPT 22 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-062-S01-TT0066-01 | SEC=non-agricultural | TT=66 | REL=main | PRICES=480,410 | ROAD=Đường TPT 12 Đường TPT | START=Xóm (nhà 1 Phạm nghĩa | END=ông Sáu), đến 690 địa | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-062-S01-TT0067-01 | SEC=non-agricultural | TT=67 | REL=main | PRICES=570,490 | ROAD=Đường TPT 13 Đường TPT | START=4 Đường | END=TPT 11 810 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-062-S01-TT0068-01 | SEC=non-agricultural | TT=68 | REL=main | PRICES=570,490 | ROAD=Đường TPT 14 Đường TPT | START=1 Đường | END=TPT 15 810 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-062-S01-TT0069-01 | SEC=non-agricultural | TT=69 | REL=main | PRICES=680,580 | ROAD=Đường TPT 15 Đường Quốc | START=lộ 13 Đường | END=TPT 1 970 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-062-S01-TT0070-01 | SEC=non-agricultural | TT=70 | REL=main | PRICES=480,410 | ROAD=Đường TPT Đường TPT 16 Chưởng Phước) | START=Lô cao 18 (chùa Vũ Thị đường | END=su (nhà bà Ngọ), 690 TPT 20 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-062-S01-TT0071-01 | SEC=non-agricultural | TT=71 | REL=main | PRICES=680,580 | ROAD=Đường TPT 17 Đường TPT | START=Đường 5 13 | END=Quốc lộ 970 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-062-S01-TT0072-01 | SEC=non-agricultural | TT=72 | REL=main | PRICES=570,490 | ROAD=Đường TPT 18 Đường TPT | START=Đường 1 Thái Học | END=Nguyễn 810 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-062-S01-TT0073-01 | SEC=non-agricultural | TT=73 | REL=main | PRICES=480,410 | ROAD=Đường TPT 19 Đường TPT | START=16 Đường | END=TPT 20 690 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-062-S01-TT0074-01 | SEC=non-agricultural | TT=74 | REL=main | PRICES=480,410 | ROAD=Đường TPT 20 Đường TPT | START=18 Đường | END=TPT 22 690 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-062-S01-TT0075-01 | SEC=non-agricultural | TT=75 | REL=main | PRICES=570,490 | ROAD=Đường TPT 21 Đường Quốc | START=lộ 13 Đường | END=TPT 18 810 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-062-S01-TT0076-01 | SEC=non-agricultural | TT=76 | REL=main | PRICES=680,580 | ROAD=Đường TPT 23 Đường Quốc | START=lộ 13 Đường | END=TPT 1 970 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-062-S01-TT0077-01 | SEC=non-agricultural | TT=77 | REL=main | PRICES=680,580 | ROAD=Đường TPT 24 Đường Quốc | START=lộ 13 Đường | END=TPT 23 970 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-062-S01-TT0078-01 | SEC=non-agricultural | TT=78 | REL=main | PRICES=680,580 | ROAD=Đường TPT 25 Đường TPT | START=50 Đường | END=TPT 26 970 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-062-S01-TT0079-01 | SEC=non-agricultural | TT=79 | REL=main | PRICES=680,580 | ROAD=Đường TPT 26 Đường Quốc | START=Hết Đường lộ 13 (ngã ba Tâm) | END=nhựa nhà bà 970 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-062-S01-TT0080-01 | SEC=non-agricultural | TT=80 | REL=main | PRICES=680,580 | ROAD=Đường TPT 27 Đường Quốc | START=lộ 13 Đường | END=TPT 3 970 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-062-S01-TT0081-01 | SEC=non-agricultural | TT=81 | REL=main | PRICES=680,580 | ROAD=Đường TPT 28 Đường Quốc | START=lộ 13 Đường | END=TPT 27 970 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-062-S01-TT0082-01 | SEC=non-agricultural | TT=82 | REL=main | PRICES=680,580 | ROAD=Đường TPT 29 Đường Quốc | START=Xóm (nhà lộ 13 Xuân Đạo), phường | END=ông Lê ranh 970 An Lộc | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-062-S01-TT0083-01 | SEC=non-agricultural | TT=83 | REL=main | PRICES=1000,870 | ROAD=Đường TPT 30 Đường Quốc | START=lộ 13 Đường | END=TPT 29 1.500 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-062-S01-TT0084-01 | SEC=non-agricultural | TT=84 | REL=main | PRICES=570,490 | ROAD=Đường TPT 31 Đường TPT | START=Đường 32 (Suối) | END=TPT 30 810 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-062-S01-TT0085-01 | SEC=non-agricultural | TT=85 | REL=main | PRICES=680,580 | ROAD=Đường TPT 32 Đường Quốc | START=lộ 13 Đường | END=TPT 31 970 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
