TABLE=078 | AREA=Xã Minh Đức | RECORDS=53 | GROUPS=53 | REVIEW=53
ID=NQ28-078-S01-TT0001-01 | SEC=non-agricultural | TT=1 | REL=main | PRICES=1100,970 | ROAD=78. Xã Minh Đức Tên đường TT giao thông Ngã ba T&T Đường ĐH 246 đất số 324, đồ số 66) | START=Đoạn đường Suối (Hết (thửa số 191 và tờ bản số 106 thuộc đồ số 66) | END=Giá Giá thương đất ở mại, thửa đất thửa đất 1.600 tờ bản | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-078-S01-TT0022-01 | SEC=non-agricultural | TT=22 | REL=main | PRICES=1100,970 | ROAD=Hết ranh thửa Đường ĐT 752 26, tờ bản | START=đất số 170, đất số đồ số 11 đồ số 02 Phía Nam: đất số 169, đồ số 11 | END=tờ bản 1.600 Hết thửa tờ bản | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-078-S01-TT0023-01 | SEC=non-agricultural | TT=23 | REL=main | PRICES=630,540 | ROAD=Phía Bắc: đất số 170, đồ số 11 Đường ĐT 752 Phía Nam: đất số 169, đồ số 11 | START=Hết thửa tờ bản Giáp sông Hết thửa (giáp tỉnh tờ bản | END=Sài Gòn 900 Tây Ninh) | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-078-S01-TT0024-01 | SEC=non-agricultural | TT=24 | REL=main | PRICES=440,380 | ROAD=Đường Nhựa Đường ĐT vào Nhà máy xi ba Hòa Đào) măng | START=Ngã tư nhà 752 (Ngã măng (hết 374 và 151 đồ số 9) | END=máy xi ranh thửa 630 tờ bản | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-078-S01-TT0025-01 | SEC=non-agricultural | TT=25 | REL=main | PRICES=320,270 | ROAD=Đường giao thông phía Tây Giáp ranh Quốc lộ 13 kết Khai nối Chơn Thành - Hoa Lư | START=xã Tân Giáp ranh | END=Suối 450 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-078-S01-TT0026-01 | SEC=non-agricultural | TT=26 | REL=main | PRICES=440,380 | ROAD=Đường giao thông phía Tây Quốc lộ 13 kết Ranh Suối nối Chơn Thành - Hoa Lư | START=Giao ngã Nhựa ĐT Minh Tâm | END=tư đường 752 (xã 630 cũ) | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-078-S01-TT0027-01 | SEC=non-agricultural | TT=27 | REL=main | PRICES=320,270 | ROAD=Đường giao thông phía Tây Giao ngã tư Quốc lộ 13 kết Nhựa ĐT nối Chơn Thành Minh Tâm - Hoa Lư | START=đường Ngã tư nhà 752 (xã măng cũ) | END=máy xi 450 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-078-S01-TT0028-01 | SEC=non-agricultural | TT=28 | REL=main | PRICES=440,380 | ROAD=Đường giao thông phía Tây Ngã tư nhà Quốc lộ 13 kết măng nối Chơn Thành - Hoa Lư | START=Ngã Tư ranh máy xi liên xã Minh An Phú cũ | END=đường Tâm - 630 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-078-S01-TT0029-01 | SEC=non-agricultural | TT=29 | REL=main | PRICES=320,270 | ROAD=Đường giao Ngã Tư ranh thông phía Tây liên xã Minh Quốc lộ 13 kết An Phú cũ | START=đường Đến hết ranh Tâm - giáp xã Lộc | END=suối; 450 Thành | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-078-S01-TT0030-01 | SEC=non-agricultural | TT=30 | REL=main | PRICES=280,240 | ROAD=nối Chơn Thành - Hoa Lư Đường ranh giữa xã An Phú Cầu Ba Nông cũ và Minh Tâm cũ | START=Cầu cần | END=Lê 1 410 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-078-S01-TT0031-01 | SEC=non-agricultural | TT=31 | REL=main | PRICES=320,270 | ROAD=Đường ranh giữa xã An Phú Cầu cần Lê cũ và Minh Tâm cũ | START=Ngã ba Đường liên xã (Lô 1 Nông trường Cam) | END=nhựa 3/92, 450 Xa | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-078-S01-TT0032-01 | SEC=non-agricultural | TT=32 | REL=main | PRICES=630,540 | ROAD=Đường giáp Đầu thửa ranh phường tờ bản đồ Hưng Chiến (cũ) | START=đất số 78, Hết tuyến số 7 | END=900 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-078-S01-TT0033-01 | SEC=non-agricultural | TT=33 | REL=main | PRICES=380,320 | ROAD=Đường nhựa Đầu thửa liên ấp 1 đến ấp tờ bản đồ | START=đất số 130, Hết thửa số 11 tờ bản đồ | END=đất số 161, 540 số 22 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-078-S01-TT0003-02 | SEC=non-agricultural | TT=3 | REL=main | PRICES= | ROAD= | START= | END= | FLAGS=MAIN_ROAD_EMPTY,PRICE_MISSING,NON_AGRICULTURAL_PRICE_COLUMN_COUNT_0,DUPLICATE_TT_IN_SEGMENT
ID=NQ28-078-S01-TT0003-03 | SEC=non-agricultural | TT=3 | REL=main | PRICES= | ROAD=Đường nhựa ấp xã Minh Tâm Đầu thửa | START=đất số 444, Hết thửa | END=đất số 249, | FLAGS=PRICE_MISSING,NON_AGRICULTURAL_PRICE_COLUMN_COUNT_0,DUPLICATE_TT_IN_SEGMENT
ID=NQ28-078-S01-TT0034-01 | SEC=non-agricultural | TT=34 | REL=main | PRICES=380,320 | ROAD=cũ đi phường tờ bản đồ Hưng Chiến, thị xã Bình Long | START=số 22 tờ bản đồ | END=540 số 7 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-078-S01-TT0002-02 | SEC=non-agricultural | TT=2 | REL=main | PRICES= | ROAD=Đường nhựa ấp Sóc Vàng, xã Đầu thửa | START=đất số 316, Hết thửa | END=đất số 247, | FLAGS=PRICE_MISSING,NON_AGRICULTURAL_PRICE_COLUMN_COUNT_0,DUPLICATE_TT_IN_SEGMENT
ID=NQ28-078-S01-TT0035-01 | SEC=non-agricultural | TT=35 | REL=main | PRICES=380,320 | ROAD=Minh Tâm đi tờ bản đồ Sóc Rul, xã An Phú | START=số 6 tờ bản đồ | END=540 số 6 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-078-S01-TT0036-01 | SEC=non-agricultural | TT=36 | REL=main | PRICES=380,320 | ROAD=Đường nhựa Ngã ba Sóc Vàng đi cầu Đầu thửa Thanh Niên ấp tờ bản đồ 4, xã Minh Tâm (Đoạn 1) | START=đất số 57, Hết thửa số 20 bản đồ số | END=đất số 4, tờ 540 17 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-078-S01-TT0037-01 | SEC=non-agricultural | TT=37 | REL=main | PRICES=380,320 | ROAD=Đường nhựa Ngã ba Sóc Vàng đi cầu Từ đầu thửa Thanh Niên ấp 4, tờ bản đồ 4, xã Minh Tâm (Đoạn 2) | START=đất số Đến hết thửa số 17 220, tờ bản | END=đất số 540 đồ số 5 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-078-S01-TT0038-01 | SEC=non-agricultural | TT=38 | REL=main | PRICES=380,320 | ROAD=Đường nhựa vô Ngã tư nhà nhà máy xi măng măng Minh Tâm | START=máy xi Hết tuyến | END=540 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-078-S01-TT0039-01 | SEC=non-agricultural | TT=39 | REL=main | PRICES=760,650 | ROAD=Đường nhựa liên xã An Phú Toàn tuyến cũ | START= | END=1.100 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-078-S01-TT0040-01 | SEC=non-agricultural | TT=40 | REL=main | PRICES=380,320 | ROAD=Đường từ Ngã Từ Thửa đất tư Tằng Hách 1125, tờ bản đến Ngã tư 51 Phúc Sơn | START=Đường giao số phía Tây đồ số kết nối Chơn - Hoa Lư | END=thông Quốc lộ 13 540 Thành | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-078-S01-TT0041-01 | SEC=non-agricultural | TT=41 | REL=main | PRICES=320,270 | ROAD=Đường từ Ngã Từ thửa đất | START=số 283, Giáp ranh | END=phường 450 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-078-S01-TT0042-01 | SEC=non-agricultural | TT=42 | REL=main | PRICES=320,270 | ROAD=ba nghĩa địa tờ bản đồ Tằng Hách đi Phường An Lộc (đường số 1) Đường nhựa ấp Ngã tư Đường sóc 5 (ĐT 752B- 752 QH QL14C cũ) | START=số 51 An Lộc ĐT Giáp đất Tống Chân | END=trại giam 450 (K4) | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-078-S01-TT0043-01 | SEC=non-agricultural | TT=43 | REL=main | PRICES=320,270 | ROAD=Đường Nhựa ấp Ngã tư Đường | START=ĐT Giáp suối | END=450 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-078-S01-TT0004-02 | SEC=non-agricultural | TT=4 | REL=main | PRICES= | ROAD=752 Đường từ Ngã | START= | END= | FLAGS=PRICE_MISSING,NON_AGRICULTURAL_PRICE_COLUMN_COUNT_0,DUPLICATE_TT_IN_SEGMENT
ID=NQ28-078-S01-TT0044-01 | SEC=non-agricultural | TT=44 | REL=main | PRICES=320,270 | ROAD=ba Phố Lố đến Từ thửa đất tờ bản đồ cổng chào An Tân | START=số 31, Đến thửa số 84 126, tờ bản | END=đất số 450 đồ số 50 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-078-S01-TT0045-01 | SEC=non-agricultural | TT=45 | REL=main | PRICES=380,320 | ROAD=Giáp ranh Đường Nhựa Bình Long Bình Phú - Sóc số 45, tờ bản Rul 93) | START=phường (thửa đất Hết thửa đồ số tờ bản đồ | END=đất số 53, 540 số 94 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-078-S01-TT0046-01 | SEC=non-agricultural | TT=46 | REL=main | PRICES=320,270 | ROAD=Đường Bình Từ thửa đất tờ bản đồ Phú - Sóc Rul | START=số 54, Giáp ranh số 93 Tâm cũ | END=xã Minh 450 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-078-S01-TT0047-01 | SEC=non-agricultural | TT=47 | REL=main | PRICES=380,320 | ROAD=Đường nhựa đi Ngã ba giao phường An Lộc liên xã An (Từ thửa đất (xã Thanh Lương cũ) tờ bản đồ | START=đường Phú (cũ) Hết ranh số 40, 21, tờ bản số 86) | END=thửa đất số 540 đồ số 83 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-078-S01-TT0048-01 | SEC=non-agricultural | TT=48 | REL=main | PRICES=250,220 | ROAD=Đường giao thông nông thôn Toàn tuyến có độ rộng từ 3m trở lên | START= | END=360 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-078-S01-TT0049-01 | SEC=non-agricultural | TT=49 | REL=main | PRICES=190,160 | ROAD=Các tuyến Toàn tuyến đường còn lại | START= | END=270 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
