TABLE=064 | AREA=Phường Phước Long | RECORDS=124 | GROUPS=124 | REVIEW=121
ID=NQ28-064-S01-TT0001-01 | SEC=non-agricultural | TT=1 | REL=main | PRICES=7100,6100 | ROAD=64. Phường Phước Long thông Đường Đinh Tiên Giáp Đường Hoàng | START=Đoạn đường Giáp 6/1 Duyệt | END=Giá đất đường Lê Văn 10.200 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-064-S01-TT0020-01 | SEC=non-agricultural | TT=20 | REL=main | PRICES=3000,2600 | ROAD=Đường Trần Ngã tư Lê Văn Quang Khải | START=Giáp Đường Ngã ba Duyệt Long | END=đường Hồ 4.300 Thủy | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-064-S01-TT0021-01 | SEC=non-agricultural | TT=21 | REL=main | PRICES=5400,4600 | ROAD=Đường Cách mạng Tượng tháng 8 thắng | START=đài chiến Ngã ba Sư Vạn | END=giáp Đường 7.700 Hạnh | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-064-S01-TT0022-01 | SEC=non-agricultural | TT=22 | REL=main | PRICES=4200,3600 | ROAD=Đường Cách mạng Ngã ba Sư Vạn tháng 8 | START=Giáp đường Hết tuyến Hạnh | END=6.000 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-064-S01-TT0023-01 | SEC=non-agricultural | TT=23 | REL=main | PRICES=3300,2900 | ROAD=Đường Hai Bà Toàn tuyến Trưng | START= | END=4.800 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-064-S01-TT0024-01 | SEC=non-agricultural | TT=24 | REL=main | PRICES=3300,2900 | ROAD=Đường Tự Do Toàn tuyến | START= | END=4.800 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-064-S01-TT0025-01 | SEC=non-agricultural | TT=25 | REL=main | PRICES=5500,4700 | ROAD=Đường Hồ Long Ngã tư Thủy 6/1 | START=Giáp đường Đường | END=Hùng Vương 7.900 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-064-S01-TT0026-01 | SEC=non-agricultural | TT=26 | REL=main | PRICES=4800,4100 | ROAD=Đường Hồ Long Đường Thủy | START=Ngã ba Hùng Vương Lý Thái | END=Giáp Đường 6.800 Tổ | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-064-S01-TT0027-01 | SEC=non-agricultural | TT=27 | REL=main | PRICES=3600,3100 | ROAD=Đường Trần Quốc Ngã tư Toản Trần Quang | START=Giáp Đường Ngã tư Khải Lý Thái | END=Giáp Đường 5.100 Tổ | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-064-S01-TT0028-01 | SEC=non-agricultural | TT=28 | REL=main | PRICES=3300,2900 | ROAD=Đường Trần Quốc Giao lộ Văn Duyệt Toản | START=Đường Lê Giao Quang | END=lộ Đường Trần 4.800 Khải | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-064-S01-TT0029-01 | SEC=non-agricultural | TT=29 | REL=main | PRICES=3000,2600 | ROAD=Đường Sư Vạn Toàn tuyến Hạnh | START= | END=4.300 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-064-S01-TT0030-01 | SEC=non-agricultural | TT=30 | REL=main | PRICES=4300,3700 | ROAD=Đường Đường Lý Thái Tổ Hoàng | START=Đinh Tiên Đường Phong | END=Lê Hồng 6.100 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-064-S01-TT0031-01 | SEC=non-agricultural | TT=31 | REL=main | PRICES=1200,1000 | ROAD=Đường Đường Lý Thái Tổ Phong | START=Lê Hồng Cầu An | END=Lương 1.700 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-064-S01-TT0032-01 | SEC=non-agricultural | TT=32 | REL=main | PRICES=4200,3600 | ROAD=Đường Lê Văn Giao Đường Duyệt Tiên Hoàng | START=Đinh Giao Tổ | END=Đường Lý Thái 6.000 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-064-S01-TT0033-01 | SEC=non-agricultural | TT=33 | REL=main | PRICES=3300,2900 | ROAD=Đường Lê Văn Giao Đường Duyệt Tổ | START=Lý Thái Hết tuyến | END=4.800 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-064-S01-TT0034-01 | SEC=non-agricultural | TT=34 | REL=main | PRICES=2400,2000 | ROAD=Đường Nguyễn Giao Đường Văn Trỗi Tiên Hoàng | START=Đinh Giao Quốc | END=Đường Trần 3.400 Toản | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-064-S01-TT0035-01 | SEC=non-agricultural | TT=35 | REL=main | PRICES=2400,2000 | ROAD=Đường Hàm Nghi Đường | START=Ngã ba Lý Thái Tổ Phú và | END=đường Trần 3.400 Lê Văn Duyệt | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-064-S01-TT0036-01 | SEC=non-agricultural | TT=36 | REL=main | PRICES=2400,2000 | ROAD=Đường Nội bộ khu dân cư y tế khu Toàn tuyến phố Long Thủy 5 | START= | END=3.400 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-064-S01-TT0037-01 | SEC=non-agricultural | TT=37 | REL=main | PRICES=1800,1500 | ROAD=Đường Xô Viết Từ thửa Nghệ Tĩnh tờ bản | START=đất số 56, Ngã ba đồ số 9 Phạm | END=giao Đường 2.600 Hồng Thái | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-064-S01-TT0038-01 | SEC=non-agricultural | TT=38 | REL=main | PRICES=890,770 | ROAD=Đường Xô Viết Ngã ba Nghệ Tĩnh Hồng Thái | START=đường Phạm Thửa bản đồ | END=đất số 13, tờ 1.300 số 01 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-064-S01-TT0039-01 | SEC=non-agricultural | TT=39 | REL=main | PRICES=1800,1500 | ROAD=Đường Nguyễn Từ Thửa Văn Cừ tờ bản | START=đất số 371, Đường đồ số 04 Tĩnh | END=Xô Viết Nghệ 2.600 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-064-S01-TT0040-01 | SEC=non-agricultural | TT=40 | REL=main | PRICES=2400,2000 | ROAD=Ngã ba Đường Trần Phú Nghi | START=đường Hàm Đường Đạo | END=Trần Hưng 3.400 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-064-S01-TT0041-01 | SEC=non-agricultural | TT=41 | REL=main | PRICES=2100,1800 | ROAD=Đường Thanh Niên Toàn tuyến | START= | END=3.100 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-064-S01-TT0042-01 | SEC=non-agricultural | TT=42 | REL=main | PRICES=2400,2000 | ROAD=Ngã ba Đường Phan Bội 6/1 và Châu Nguyễn | START=Giáp Đường Đường Đường Tất Thành | END=Nguyễn Xí 3.400 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-064-S01-TT0043-01 | SEC=non-agricultural | TT=43 | REL=main | PRICES=2400,2000 | ROAD=Đường Đường Kim Đảng Thủy | START=Hồ Long Đường Giáp | END=Nguyễn Văn 3.400 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-064-S01-TT0044-01 | SEC=non-agricultural | TT=44 | REL=main | PRICES=2100,1800 | ROAD=Đường Bà Triệu Toàn tuyến | START= | END=3.100 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-064-S01-TT0045-01 | SEC=non-agricultural | TT=45 | REL=main | PRICES=2100,1800 | ROAD=Đường Cao Bá Toàn tuyến Quát | START= | END=3.100 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-064-S01-TT0046-01 | SEC=non-agricultural | TT=46 | REL=main | PRICES=2100,1800 | ROAD=Đường Phan Đình Toàn tuyến Giót | START= | END=3.100 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-064-S01-TT0047-01 | SEC=non-agricultural | TT=47 | REL=main | PRICES=1800,1500 | ROAD=Đường Hoàng Toàn tuyến Diệu | START= | END=2.600 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-064-S01-TT0048-01 | SEC=non-agricultural | TT=48 | REL=main | PRICES=2400,2000 | ROAD=Đường Nguyễn Ngã ba Văn Giáp Hồ Long | START=Giáp Đường Đường Thủy | END=Nguyễn Xí 3.400 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-064-S01-TT0049-01 | SEC=non-agricultural | TT=49 | REL=main | PRICES=2100,1800 | ROAD=Đường Nguyễn Đường Văn Giáp | START=Hết tuyến Nguyễn Xí nhựa | END=đường 3.100 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-064-S01-TT0050-01 | SEC=non-agricultural | TT=50 | REL=main | PRICES=2000,1700 | ROAD=Đường Nối Trần Ngã ba Quang Khải và Trần Quang Nguyễn Văn Trỗi | START=Giáp đường Ngã ba Nguyễn Khải | END=Giáp Đường 2.900 Văn Trỗi | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-064-S01-TT0051-01 | SEC=non-agricultural | TT=51 | REL=main | PRICES=2100,1800 | ROAD=Đường hẻm Lê Văn Duyệt (Cách Ngã ba ngã ba Lý Thái Tổ Lê Văn và Lê Văn Duyệt 50m) | START=Giáp đường Hết tuyến Duyệt | END=3.100 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-064-S01-TT0052-01 | SEC=non-agricultural | TT=52 | REL=main | PRICES=2000,1700 | ROAD=Đường vào sân Ngã ba vận động Lê Văn | START=Giáp Đường Ranh Duyệt | END=sân vận động 2.900 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-064-S01-TT0053-01 | SEC=non-agricultural | TT=53 | REL=main | PRICES=2000,1700 | ROAD=Đường Hùng Từ Đường Vương Thủy | START=Hồ Long Cầu giáp Long | END=ranh xã 2.900 Giang (cũ) | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-064-S01-TT0054-01 | SEC=non-agricultural | TT=54 | REL=main | PRICES=2000,1700 | ROAD=Đường hẻm ra Đường Trần Hưng Toàn tuyến Đạo về đường Tự Do | START= | END=2.900 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-064-S01-TT0055-01 | SEC=non-agricultural | TT=55 | REL=main | PRICES=2100,1800 | ROAD=Đường Trần Đường Quang Khải (nối Thủy dài) | START=Hồ Long Đường Phong | END=Lê Hồng 3.000 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-064-S01-TT0056-01 | SEC=non-agricultural | TT=56 | REL=main | PRICES=1200,1000 | ROAD=Đường Phạm Đường Tĩnh Hồng Thái | START=Hối tuyến Xô Viết Nghệ số 44, 05) | END=(thửa đất tờ bản đồ số 1.700 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-064-S01-TT0057-01 | SEC=non-agricultural | TT=57 | REL=main | PRICES=2100,1800 | ROAD=Đường Đường Nguyễn Xí Giáp | START=Đến hết Nguyễn Văn nhựa xe) | END=Đường (giáp ranh bến 3.000 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-064-S01-TT0058-01 | SEC=non-agricultural | TT=58 | REL=main | PRICES=1200,1000 | ROAD=Đường Cù Chính Đường | START=Cách Mạng Đến Hết | END=tuyến 1.700 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-064-S01-TT0059-01 | SEC=non-agricultural | TT=59 | REL=main | PRICES=890,770 | ROAD=Lan Tháng Đường Hồ Huân Đường Nghiệp | START=Tám 6/1 Đến Hết | END=tuyến 1.300 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-064-S01-TT0060-01 | SEC=non-agricultural | TT=60 | REL=main | PRICES=2100,1800 | ROAD=Đường nhựa bên Đường hông sân vận động Duyệt | START=Lê Văn Đường Thủy | END=Hồ Long 3.000 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-064-S01-TT0061-01 | SEC=non-agricultural | TT=61 | REL=main | PRICES=1800,1500 | ROAD=Đường nhựa đấu nối ra Đường bên Toàn tuyến hông sân vận động | START= | END=2.600 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-064-S01-TT0062-01 | SEC=non-agricultural | TT=62 | REL=main | PRICES=1200,1000 | ROAD=Đường bên hông Đường công an PCCC | START=Thửa Lý Thái Tổ bản đồ | END=đất số 193, tờ 1.700 số 03 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-064-S01-TT0063-01 | SEC=non-agricultural | TT=63 | REL=main | PRICES=4900,4200 | ROAD=Đường Lê Quý Giáp Đường Đôn | START=Giáp 6/1 Hưng | END=đường Trần 7.100 Đạo | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-064-S01-TT0064-01 | SEC=non-agricultural | TT=64 | REL=main | PRICES=2000,1700 | ROAD=Đường Lê Quý Giáp Đường Đôn Hưng Đạo | START=Hết ranh Trần Thơ (thửa và Thửa tờ bản | END=nhà trẻ Tuổi đất số 12 2.900 đất số 64, đồ số 125) | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-064-S01-TT0065-01 | SEC=non-agricultural | TT=65 | REL=main | PRICES=1800,1500 | ROAD=Hết ranh Đường Lê Quý Thơ (thửa Đôn và thửa bản đồ | START=nhà trẻ Tuổi đất, số 12 Giáp đất số 64, tờ Công số 125) | END=đường Đinh 2.600 Trứ | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-064-S01-TT0066-01 | SEC=non-agricultural | TT=66 | REL=main | PRICES=6800,5900 | ROAD=Đường Nội ô chợ Giáp Đường Phước Long Tiên Hoàng | START=Đinh Giáp | END=Đường 6/1 9.800 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-064-S01-TT0067-01 | SEC=non-agricultural | TT=67 | REL=main | PRICES=4000,3500 | ROAD=Đường Nguyễn Tất Ngã ba Võ Văn Thành | START=giao Đường Ngã ba Kiệt Tôn Đức | END=giao Đường 5.800 Thắng | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-064-S01-TT0068-01 | SEC=non-agricultural | TT=68 | REL=main | PRICES=3600,3100 | ROAD=Đường Nguyễn Tất Ngã ba Tôn Đức Thành | START=giao Đường Cầu Suối Thắng | END=Dung 5.100 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-064-S01-TT0069-01 | SEC=non-agricultural | TT=69 | REL=main | PRICES=6000,5100 | ROAD=Cầu Suối Đường Nguyễn Tất đất số Thành số 116) | START=Dung (thửa Ngã ba 2, tờ bản đồ Hưng | END=đường Trần 8.500 Đạo | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-064-S01-TT0070-01 | SEC=non-agricultural | TT=70 | REL=main | PRICES=4200,3600 | ROAD=Đường Nguyễn Tất Giáp Đường Hưng Đạo Thành | START=Tượng Trần (thửa bản đồ | END=Đức Mẹ đất số 78, tờ 6.000 số 62) | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-064-S01-TT0071-01 | SEC=non-agricultural | TT=71 | REL=main | PRICES=1800,1500 | ROAD=Tượng Đường Nguyễn Tất (thửa đất Thành bản đồ | START=Đức Mẹ số 78, tờ Cầu Thác số 62) | END=Mẹ 2.600 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-064-S01-TT0072-01 | SEC=non-agricultural | TT=72 | REL=main | PRICES=1400,1200 | ROAD=Đường Nguyễn Tất Cầu Thác Thành | START=Giáp Mẹ Nghĩa | END=ranh xã Phú 2.000 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-064-S01-TT0073-01 | SEC=non-agricultural | TT=73 | REL=main | PRICES=2400,2000 | ROAD=Giáp Đường Đường Ngô Quyền Tất Thành | START=Nguyễn Giáp Đôn | END=Đường Lê Quý 3.400 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-064-S01-TT0074-01 | SEC=non-agricultural | TT=74 | REL=main | PRICES=2000,1700 | ROAD=Đường Nguyễn Giáp Đường Chí Thanh Tiên Hoàng | START=Đinh Giáp Hưng | END=Đường Trần 2.900 Đạo | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-064-S01-TT0075-01 | SEC=non-agricultural | TT=75 | REL=main | PRICES=1700,1400 | ROAD=Đường Đinh Công Giáp đường Trứ Tất Thành | START=Hết tuyến hữu (thửa Nguyễn tờ bản thửa bản đồ | END=nhựa hiện đất số 03, đồ số 122 và 2.400 đất số 25, tờ số 54) | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-064-S01-TT0076-01 | SEC=non-agricultural | TT=76 | REL=main | PRICES=1400,1200 | ROAD=Đường Yên Thế Toàn tuyến | START= | END=2.000 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-064-S01-TT0077-01 | SEC=non-agricultural | TT=77 | REL=main | PRICES=1200,1000 | ROAD=Giáp Đường Đường Lê Lợi Tất Thành | START=Nguyễn Đập tràn Thác | END=Thủy điện 1.700 Mơ | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-064-S01-TT0078-01 | SEC=non-agricultural | TT=78 | REL=main | PRICES=1200,1100 | ROAD=Đường Nguyễn Giáp Đường Văn Huyên Chí Thanh | START=Nguyễn Giáp Hưng | END=Đường Trần 1.800 Đạo | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-064-S01-TT0079-01 | SEC=non-agricultural | TT=79 | REL=main | PRICES=710,610 | ROAD=Các tuyến đường bê tông đấu nối Toàn tuyến trực tiếp ra Đường Nguyễn Tất Thành | START= | END=1.000 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-064-S01-TT0080-01 | SEC=non-agricultural | TT=80 | REL=main | PRICES=830,710 | ROAD=Đường nhựa mới mở (đoạn nắn Cầu Thác tuyến) | START=Đường Thành Mẹ Phú Nghĩa) | END=Nguyễn Tất (hướng đi xã 1.200 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-064-S01-TT0081-01 | SEC=non-agricultural | TT=81 | REL=main | PRICES=710,610 | ROAD=Đường nhựa (hẻm Đường 178 Nguyễn Tất Thành Thành) | START=Nguyễn Tất Hết tuyến | END=1.000 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-064-S01-TT0082-01 | SEC=non-agricultural | TT=82 | REL=main | PRICES=710,610 | ROAD=Đường nhựa cạnh nhà 1552 (đối diện Đường đường Đinh Công Thành Trứ) | START=Nguyễn Tất Hết tuyến | END=1.000 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-064-S01-TT0083-01 | SEC=non-agricultural | TT=83 | REL=main | PRICES=1900,1600 | ROAD=Đường Huỳnh Giáp Đường Khương An Hưng Đạo | START=Trần Hết tuyến | END=2.700 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-064-S01-TT0084-01 | SEC=non-agricultural | TT=84 | REL=main | PRICES=5400,4600 | ROAD=Ngã ba Đường Độc Lập Nguyễn | START=giao Đường Ngã ba Tất Thành Lê Trọng | END=giao Đường 7.700 Tấn | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-064-S01-TT0085-01 | SEC=non-agricultural | TT=85 | REL=main | PRICES=4800,4100 | ROAD=Đường Võ Văn Ngã ba Kiệt Nguyễn | START=Hết ranh giao Đường định cư Tất Thành 73, tờ | END=QH khu tái (thửa đất số 6.800 bản đồ số 57) | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-064-S01-TT0086-01 | SEC=non-agricultural | TT=86 | REL=main | PRICES=2700,2300 | ROAD=Hết ranh Đường Võ Văn định cư Kiệt 73, tờ | START=Giáp QH khu tái Phước (thửa đất số đất số bản đồ số 57) số 57) | END=ranh phường Bình (thửa 3.800 16, tờ bản đồ | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-064-S01-TT0087-01 | SEC=non-agricultural | TT=87 | REL=main | PRICES=3600,3100 | ROAD=Đường Lê Trọng Ngã ba Độc Lập Tấn | START=Ngã ba giao Đường hẻm đất số số 65) | END=giao Đường (hết ranh thửa 5.100 569, tờ bản đồ | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-064-S01-TT0088-01 | SEC=non-agricultural | TT=88 | REL=main | PRICES=3200,2700 | ROAD=Ngã ba Đường Lê Trọng hẻm (hết đất số Tấn đồ số 65) | START=giao Đường ranh thửa Ngã ba 569, tờ bản Âu Cơ | END=giao Đường 4.500 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
