TABLE=092 | AREA=Xã Phú Riềng | RECORDS=89 | GROUPS=89 | REVIEW=89
ID=NQ28-092-S01-TT0001-01 | SEC=non-agricultural | TT=1 | REL=main | PRICES=1500,1300 | ROAD=92. Xã Phú Riềng Đường ĐT 741 | START=Đoạn đường Đường Giáp ranh xã Thuận Lợi chùa | END=Giá Giá thương đất ở mại, vào 2.100 Pháp Tịnh | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-092-S01-TT0012-01 | SEC=non-agricultural | TT=12 | REL=main | PRICES=1200,1000 | ROAD=Đường ĐT 741 | START=Đường vào suối Tân + Giáp 200m hướng đi Bình phường Phước Bình | END=ranh xã 1.700 Tân | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-092-S01-TT0013-01 | SEC=non-agricultural | TT=13 | REL=main | PRICES=1800,1500 | ROAD=Đường ĐT 753B (ĐH 312 cũ) | START=Hết Ngã tư giáp UBND đường ĐT 741 Riềng | END=ranh trụ sở xã Phú 2.600 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-092-S01-TT0014-01 | SEC=non-agricultural | TT=14 | REL=main | PRICES=1500,1300 | ROAD=Đường ĐT 753B (ĐH 312 | START=Hết ranh trụ sở Ngã | END=tư Cầu 2.100 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-092-S01-TT0015-01 | SEC=non-agricultural | TT=15 | REL=main | PRICES=950,820 | ROAD=cũ) Đường ĐT 753B (ĐH 312 cũ) | START=UBND xã Phú đường Riềng Ngã Ngã tư Cầu đường đường đi về Phú | END=tư Cầu + 500m 1.400 hướng xã Trung | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-092-S01-TT0016-01 | SEC=non-agricultural | TT=16 | REL=main | PRICES=710,610 | ROAD=Đường ĐT 753B (ĐH 312 cũ) | START=Ngã tư Cầu Ranh đường + 500m thôn đi về hưởng xã và Phú Phú Trung | END=giữa 2 Phú Vinh 1.000 Hòa | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-092-S01-TT0017-01 | SEC=non-agricultural | TT=17 | REL=main | PRICES=600,510 | ROAD=Đường ĐT 753B (ĐH 312 cũ) | START=Ranh giữa 2 Giáp thôn Phú Vinh xã Phú và Phú Hòa | END=ranh giới 850 Trung | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-092-S01-TT0018-01 | SEC=non-agricultural | TT=18 | REL=main | PRICES=1900,1600 | ROAD=Đường ĐT 757 | START=Hết THPT Ngã ba Bù Nho Khuyến 100m hướng | END=đất Trường Nguyễn 1- 2.700 về Long Hà | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-092-S01-TT0019-01 | SEC=non-agricultural | TT=19 | REL=main | PRICES=1100,920 | ROAD=Đường ĐT 757 | START=Hết đất Trường THPT Nguyễn Giáp Khuyến + 100m Long về hướng Long | END=ranh xã 1.500 Hà | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-092-S01-TT0020-01 | SEC=non-agricultural | TT=20 | REL=main | PRICES=3600,3100 | ROAD=Đường Số 2 TTTM Bù Nho | START=Hà Lô đất LA2-1 Lô đất | END=LC1-9 5.100 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-092-S01-TT0021-01 | SEC=non-agricultural | TT=21 | REL=main | PRICES=3600,3100 | ROAD=Đường số 4m Bù Nho | START=Lô đất LE1-1 Lô đất | END=LC2-6 5.100 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-092-S01-TT0022-01 | SEC=non-agricultural | TT=22 | REL=main | PRICES=3600,3100 | ROAD=Đường số 6 TTTM Bù Nho | START=Lô đất LF1-2 Lô đất | END=LC2-15 5.100 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-092-S01-TT0023-01 | SEC=non-agricultural | TT=23 | REL=main | PRICES=1800,1500 | ROAD=Khu đô thị Phú Cường | START=Các tuyến đường trong khu dân cư | END=2.600 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-092-S01-TT0024-01 | SEC=non-agricultural | TT=24 | REL=main | PRICES=3600,3100 | ROAD=Đường số 1 TTTM Phú Riềng | START=Tiếp giáp Tiếp Đường ĐT đường 753B (ĐH 312 TTTM cũ) | END=giáp số 3 5.100 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-092-S01-TT0025-01 | SEC=non-agricultural | TT=25 | REL=main | PRICES=3600,3100 | ROAD=Đường số 2 TTTM Phú Riềng | START=Tiếp giáp Tiếp Đường ĐT đường 753B (ĐH 312 TTTM cũ) | END=giáp số 3 5.100 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-092-S01-TT0026-01 | SEC=non-agricultural | TT=26 | REL=main | PRICES=3000,2600 | ROAD=Đường số 3 TTTM Phú Riềng | START=Lô phố chợ LG Hết chợ 24 | END=ranh đất 4.300 cũ | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-092-S01-TT0027-01 | SEC=non-agricultural | TT=27 | REL=main | PRICES=710,610 | ROAD=Đường liên xã Bù Nho đi Long Tân (cũ) | START=Ngã ba đường ĐT 741 đường Giáp vào Long Tân Long cũ | END=ranh xã 1.000 Tân (cũ) | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-092-S01-TT0028-01 | SEC=non-agricultural | TT=28 | REL=main | PRICES=360,310 | ROAD=Đường Tân Phước - Tân Hiệp 2 | START=Đường liên xã Bù Nho - Long Đường Tân (cũ) | END=ĐT 757 510 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-092-S01-TT0029-01 | SEC=non-agricultural | TT=29 | REL=main | PRICES=3000,2600 | ROAD=Đường D1 | START=Toàn tuyến | END=4.300 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-092-S01-TT0030-01 | SEC=non-agricultural | TT=30 | REL=main | PRICES=3000,2600 | ROAD=Đường D2 | START=Toàn tuyến Đường | END=4.300 ĐT 741 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-092-S01-TT0031-01 | SEC=non-agricultural | TT=31 | REL=main | PRICES=1200,1000 | ROAD=Đường liên xã Bù Nho đi xã Phước Tân (cũ) | START=+ 500m Đường ĐT 741 hướng Phước | END=về 1.700 xã Tân (cũ) | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-092-S01-TT0032-01 | SEC=non-agricultural | TT=32 | REL=main | PRICES=360,310 | ROAD=Đường liên xã Bù Nho đi xã Phước Tân (cũ) | START=Đường ĐT 741 Ranh + 500m về hướng xã Tân Phước Tân (cũ) | END=xã Phước 510 (cũ) | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-092-S01-TT0033-01 | SEC=non-agricultural | TT=33 | REL=main | PRICES=360,310 | ROAD=Đường ĐH. Bù Nho - Long Tân - Tân Hưng, Hớn Quản (cũ) | START=Giáp Đường N3a Long | END=ranh xã 510 Tân (cũ) | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-092-S01-TT0034-01 | SEC=non-agricultural | TT=34 | REL=main | PRICES=2400,2000 | ROAD=Đường N9 (TTHC huyện) | START=Toàn tuyến | END=3.400 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-092-S01-TT0035-01 | SEC=non-agricultural | TT=35 | REL=main | PRICES=2400,2000 | ROAD=Đường D6 (TTHC huyện) | START=Toàn tuyến | END=3.400 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-092-S01-TT0036-01 | SEC=non-agricultural | TT=36 | REL=main | PRICES=2400,2000 | ROAD=Đương D6A (TTHC huyện) | START=Toàn tuyến | END=3.400 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-092-S01-TT0037-01 | SEC=non-agricultural | TT=37 | REL=main | PRICES=2400,2000 | ROAD=Đương D6B (TTHC huyện) | START=Toàn tuyến | END=3.400 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-092-S01-TT0038-01 | SEC=non-agricultural | TT=38 | REL=main | PRICES=2400,2000 | ROAD=Đường D6C (TTHC huyện) | START=Toàn tuyến | END=3.400 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-092-S01-TT0039-01 | SEC=non-agricultural | TT=39 | REL=main | PRICES=2400,2000 | ROAD=Đương D6D (TTHC huyện) | START=Toàn tuyến | END=3.400 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-092-S01-TT0040-01 | SEC=non-agricultural | TT=40 | REL=main | PRICES=2400,2000 | ROAD=Đường D6E (TTHC huyện) | START=Toàn tuyến | END=3.400 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-092-S01-TT0041-01 | SEC=non-agricultural | TT=41 | REL=main | PRICES=2400,2000 | ROAD=Đường D7 (TTHC huyện) | START=Toàn tuyến | END=3.400 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-092-S01-TT0042-01 | SEC=non-agricultural | TT=42 | REL=main | PRICES=2400,2000 | ROAD=Đường N2A (TTHC huyện) | START=Toàn tuyến | END=3.400 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-092-S01-TT0043-01 | SEC=non-agricultural | TT=43 | REL=main | PRICES=2400,2000 | ROAD=Đường D9 (TTHC huyện) | START=Toàn tuyến | END=3.400 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-092-S01-TT0044-01 | SEC=non-agricultural | TT=44 | REL=main | PRICES=2400,2000 | ROAD=Đường N3 (TTHC huyện) | START=Toàn tuyến | END=3.400 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-092-S01-TT0045-01 | SEC=non-agricultural | TT=45 | REL=main | PRICES=1200,1000 | ROAD=Đường N3a (TTHC huyện) | START=Đường N9 Đường | END=ĐT 741 1.700 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-092-S01-TT0046-01 | SEC=non-agricultural | TT=46 | REL=main | PRICES=2400,2000 | ROAD=Đường N3a (TTHC huyện) | START=Đường ĐT 741 Đường | END=D7 3.400 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-092-S01-TT0047-01 | SEC=non-agricultural | TT=47 | REL=main | PRICES=2400,2000 | ROAD=Đường N4 (TTHC huyện) | START=Toàn tuyến | END=3.400 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-092-S01-TT0048-01 | SEC=non-agricultural | TT=48 | REL=main | PRICES=2400,2000 | ROAD=Đường N4A (TTHC huyện) | START=Toàn tuyến | END=3.400 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-092-S01-TT0049-01 | SEC=non-agricultural | TT=49 | REL=main | PRICES=2400,2000 | ROAD=Đường N4B (TTHC huyện) | START=Toàn tuyến | END=3.400 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-092-S01-TT0050-01 | SEC=non-agricultural | TT=50 | REL=main | PRICES=2400,2000 | ROAD=Đường N4d (TTHC huyện) | START=Toàn tuyến | END=3.400 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-092-S01-TT0051-01 | SEC=non-agricultural | TT=51 | REL=main | PRICES=2400,2000 | ROAD=Đường N7 (TTHC huyện) | START=Toàn tuyến | END=3.400 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-092-S01-TT0052-01 | SEC=non-agricultural | TT=52 | REL=main | PRICES=2700,2300 | ROAD=Đường N7a (TTHC huyện) | START=Toàn tuyến | END=3.800 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-092-S01-TT0053-01 | SEC=non-agricultural | TT=53 | REL=main | PRICES=2700,2300 | ROAD=Đường N7b (TTHC huyện) | START=Toàn tuyến | END=3.800 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-092-S01-TT0054-01 | SEC=non-agricultural | TT=54 | REL=main | PRICES=2400,2000 | ROAD=Đường nội bộ khu TMDV (TTHC huyện) | START=Toàn tuyến | END=3.400 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-092-S01-TT0055-01 | SEC=non-agricultural | TT=55 | REL=main | PRICES=2400,2000 | ROAD=Đường D3 (TTHC huyện) | START=Toàn tuyến | END=3.400 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-092-S01-TT0056-01 | SEC=non-agricultural | TT=56 | REL=main | PRICES=2400,2000 | ROAD=Đường D3A (TTHC huyện) | START=Toàn tuyến | END=3.400 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-092-S01-TT0057-01 | SEC=non-agricultural | TT=57 | REL=main | PRICES=2400,2000 | ROAD=Đường D3B (TTHC huyện) | START=Toàn tuyến | END=3.400 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-092-S01-TT0058-01 | SEC=non-agricultural | TT=58 | REL=main | PRICES=2400,2000 | ROAD=Đương D3C (TTHC huyện) | START=Toàn tuyến | END=3.400 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-092-S01-TT0059-01 | SEC=non-agricultural | TT=59 | REL=main | PRICES=2400,2000 | ROAD=Đường D3D (TTHC huyện) | START=Toàn tuyến | END=3.400 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-092-S01-TT0060-01 | SEC=non-agricultural | TT=60 | REL=main | PRICES=2400,2000 | ROAD=Đường D3E (TTHC huyện) | START=Toàn tuyến | END=3.400 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-092-S01-TT0061-01 | SEC=non-agricultural | TT=61 | REL=main | PRICES=2400,2000 | ROAD=Đường D4 (TTHC huyện) | START=Toàn tuyến | END=3.400 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-092-S01-TT0062-01 | SEC=non-agricultural | TT=62 | REL=main | PRICES=2400,2000 | ROAD=Đường N4C (TTHC huyện) | START=Toàn tuyến | END=3.400 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-092-S01-TT0063-01 | SEC=non-agricultural | TT=63 | REL=main | PRICES=2400,2000 | ROAD=Đường D5 (TTHC huyện) | START=Toàn tuyến | END=3.400 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-092-S01-TT0064-01 | SEC=non-agricultural | TT=64 | REL=main | PRICES=2400,2000 | ROAD=Đường D5A (TTHC huyện) | START=Toàn tuyến | END=3.400 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-092-S01-TT0065-01 | SEC=non-agricultural | TT=65 | REL=main | PRICES=2400,2000 | ROAD=Đường N5 (TTHC huyện) | START=Toàn tuyến | END=3.400 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-092-S01-TT0066-01 | SEC=non-agricultural | TT=66 | REL=main | PRICES=2400,2000 | ROAD=Đường N6 (TTHC huyện) | START=Toàn tuyến | END=3.400 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-092-S01-TT0067-01 | SEC=non-agricultural | TT=67 | REL=main | PRICES=2400,2000 | ROAD=Đường Tân Phú 1 (TTHC huyện) | START=Toàn tuyến | END=3.400 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-092-S01-TT0068-01 | SEC=non-agricultural | TT=68 | REL=main | PRICES=2700,2300 | ROAD=Đường nội ô Khu dân cư Phú Riềng 13,9 ha: Đường số: 1,2,4,8,10 | START=Toàn tuyến | END=3.800 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-092-S01-TT0069-01 | SEC=non-agricultural | TT=69 | REL=main | PRICES=2900,2400 | ROAD=Đường nội ô Khu dân cư Phú Riềng 13,9 ha: đường số: 5,11 | START=Toàn tuyến | END=4.100 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-092-S01-TT0070-01 | SEC=non-agricultural | TT=70 | REL=main | PRICES=3000,2600 | ROAD=Đường nội ô Khu dân cư Phú Riềng 13,9 ha: đường số: 3, 6, 7, 9 (ĐT 741) | START=Toàn tuyến | END=4.300 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-092-S01-TT0071-01 | SEC=non-agricultural | TT=71 | REL=main | PRICES=2600 | ROAD=Đường N8 | START=Toàn tuyến | END=4.300 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_1
ID=NQ28-092-S01-TT0072-01 | SEC=non-agricultural | TT=72 | REL=main | PRICES=3600,3100 | ROAD=Đường số 1 TTTM Bù Nho | START=Toàn tuyến | END=5.100 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-092-S01-TT0073-01 | SEC=non-agricultural | TT=73 | REL=main | PRICES=3600,3100 | ROAD=Đường số 3 TTTM Bù Nho | START=Toàn tuyến | END=5.100 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-092-S01-TT0074-01 | SEC=non-agricultural | TT=74 | REL=main | PRICES=3600,3100 | ROAD=Đường số 5 TTTM Bù Nho | START=Toàn tuyến | END=5.100 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-092-S01-TT0075-01 | SEC=non-agricultural | TT=75 | REL=main | PRICES=650,560 | ROAD=Đường vòng nối Đường ĐT 741 với Đường ĐT 753B (ĐH 312 cũ) | START=Ngã Ngã ba tiếp giáp giáp Đường ĐT 753B 741 cũ) | END=ba tiếp đường ĐT 940 (ĐH 312 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-092-S01-TT0076-01 | SEC=non-agricultural | TT=76 | REL=main | PRICES=360,310 | ROAD=Đường giao thông đấu nối trực Đường ĐT 741 và ĐT | START=Toàn tuyến | END=510 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-092-S01-TT0757-01 | SEC=non-agricultural | TT=757 | REL=main | PRICES= | ROAD=phạm vi 200m Đường giao thông đấu nối | START= | END= | FLAGS=PRICE_MISSING,NON_AGRICULTURAL_PRICE_COLUMN_COUNT_0
ID=NQ28-092-S01-TT0077-01 | SEC=non-agricultural | TT=77 | REL=main | PRICES=360,310 | ROAD=trục Đường ĐT 741 và Đường ĐT 75313 (ĐH 312 cũ) phạm vi 200m | START=Toàn tuyến | END=510 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-092-S01-TT0078-01 | SEC=non-agricultural | TT=78 | REL=main | PRICES=890,770 | ROAD=Đường vào nông trường | START=Ngã tư Phú Giáp | END=lô cao su 1.300 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-092-S01-TT0010-02 | SEC=non-agricultural | TT=10 | REL=main | PRICES= | ROAD=cũ | START=nông Riềng Giáp | END=trường 10 đất bà | FLAGS=PRICE_MISSING,NON_AGRICULTURAL_PRICE_COLUMN_COUNT_0,DUPLICATE_TT_IN_SEGMENT
ID=NQ28-092-S01-TT0079-01 | SEC=non-agricultural | TT=79 | REL=main | PRICES=890,770 | ROAD=Đường Khu dân cư Xuân Anh | START=Đường ĐT Trần 753B (ĐH 312 (Thửa cũ) 22, số 41) | END=Thị Lanh đất số 1.300 tờ bản đồ | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-092-S01-TT0080-01 | SEC=non-agricultural | TT=80 | REL=main | PRICES=480,410 | ROAD=Đường Phú Tân - Phú Lợi | START=Đường Đường ĐT 753B 753B (ĐH 312 cũ) cũ) phía | END=ĐT (ĐH 312 680 + 200m về ngã ba | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-092-S01-TT0081-01 | SEC=non-agricultural | TT=81 | REL=main | PRICES=360,310 | ROAD=Đường Phú Tân - Phú Lợi | START=nhà Đường ĐT 753B (ĐH 312 Ngã cũ) + 200m về ông phía ngã ba | END=ông Vỵ ba nhà 510 Vỵ | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-092-S01-TT0082-01 | SEC=non-agricultural | TT=82 | REL=main | PRICES=290,240 | ROAD=Đường Phú Riềng - Phú Trung (ĐT 795 đi ĐT 741) | START=nhà ông Vỵ Đường 312 cũ Giáp (thôn Phú Bình) Phú | END=ranh xã 410 Trung | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-092-S01-TT0083-01 | SEC=non-agricultural | TT=83 | REL=main | PRICES=360,310 | ROAD=Đường thôn Phú Vinh | START=Ngã Đường ĐT 75 thửa 3B (ĐH 312 cũ) tờ bản 43) | END=tư (hết đất số 1 510 đồ số | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-092-S01-TT0084-01 | SEC=non-agricultural | TT=84 | REL=main | PRICES=3000,2600 | ROAD=Đường Bù Nho đi Phước Tân qua TTHC huyện Phú Riềng (cũ) hướng về cầu Long Tân - Tân Hưng, Hớn Quản (cũ) (Đường Tân Bình - Tân Hoà (cũ)) | START=Đường Đường N9 Phú | END=Tân 4.300 1 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-092-S01-TT0085-01 | SEC=non-agricultural | TT=85 | REL=main | PRICES=2400,2000 | ROAD=Đường Bù Nho đi Phước Tân qua TTHC huyện Phú Riềng (cũ) hướng về cầu Long Tân - Tân Hưng, Hớn Quản (cũ) (Đường Tân | START=Đường Tân Đường Phú 1 | END=N3a 3.400 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-092-S01-TT0086-01 | SEC=non-agricultural | TT=86 | REL=main | PRICES=290,240 | ROAD=Bình - Tân Hoà (cũ)) Đường giao thông liên xã | START=Toàn tuyến | END=410 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-092-S01-TT0087-01 | SEC=non-agricultural | TT=87 | REL=main | PRICES=240,200 | ROAD=Các tuyến đường giao thông còn lại trên địa bàn xã | START=Toàn tuyến | END=340 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
