TABLE=094 | AREA=Xã Long Hà | RECORDS=31 | GROUPS=31 | REVIEW=31
ID=NQ28-094-S01-TT0001-01 | SEC=non-agricultural | TT=1 | REL=main | PRICES=830,710 | ROAD=94. Xã Long Hà Tên đường giao TT thông Giáp Đường ĐT 757 Phú | START=Đoạn đường Hết đất ranh xã Tiểu học Riềng Hà B | END=Giá Giá thương đất ở mại, Trường Long 1.200 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-094-S01-TT0019-01 | SEC=non-agricultural | TT=19 | REL=main | PRICES=1300,1100 | ROAD=Khu quy hoạch đấu giá TTHC xã Long Tân (cũ) (Trừ đường số 4 Toàn và đường số 8 khu TTHC xã Long Tân (cũ)) | START=tuyến | END=1.900 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-094-S01-TT0020-01 | SEC=non-agricultural | TT=20 | REL=main | PRICES=1700,1400 | ROAD=Đường số 4 (Khu quy hoạch đấu giá TTHC Toàn xã Long Tân (cũ)) | START=tuyến | END=2.400 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-094-S01-TT0021-01 | SEC=non-agricultural | TT=21 | REL=main | PRICES=1500,1300 | ROAD=Đường số 8 (Khu quy hoạch đấu giá TTHC Toàn xã Long Tân (cũ)) | START=tuyến | END=2.200 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-094-S01-TT0022-01 | SEC=non-agricultural | TT=22 | REL=main | PRICES=250,210 | ROAD=Đường liên huyện Phú Kiềng (cũ) - cầu Long Ngã Tân đi Tân Hưng (Hớn đường Quản (cũ)) | START=ba tiếp giáp Cầu Long 327 | END=Tân 360 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-094-S01-TT0023-01 | SEC=non-agricultural | TT=23 | REL=main | PRICES=300,260 | ROAD=Đường giao thông đấu nối trục đường ĐT 757 Toàn và ĐT 757B phạm vi 200m | START=tuyến | END=430 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-094-S01-TT0024-01 | SEC=non-agricultural | TT=24 | REL=main | PRICES=250,210 | ROAD=Từ thửa Đường dọc Sông Bé 63, tờ giai đoạn 2 14 | START=Hết ranh thuộc Công đất số TNHH bản đồ số su Phú tiếp giáp 61, tờ | END=Cao su ty MTV Cao 360 Riềng thửa 63 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-094-S01-TT0025-01 | SEC=non-agricultural | TT=25 | REL=main | PRICES=300,260 | ROAD=Từ thửa Đường dọc Sông Bé 61, tờ giai đoạn 2 63 | START=Hết ranh đất số 24, tờ bản đồ số giáp đường 757 | END=thửa 51 tiếp 430 ĐT | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-094-S01-TT0026-01 | SEC=non-agricultural | TT=26 | REL=main | PRICES=250,210 | ROAD=Đường dọc Sông Bé Đường giai đoạn 3 | START=Giáp ranh ĐT 757 Bình Tân | END=xã 360 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-094-S01-TT0027-01 | SEC=non-agricultural | TT=27 | REL=main | PRICES=250,210 | ROAD=Đường Đường thôn Phu Bé từ Mang 1 kết nối đường đất số dọc Sông Bé bản | START=dọc Sông Đường ranh thửa (hướng 140, tờ Bình Tân) đồ 07 | END=ĐT 757B đi xã 360 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-094-S01-TT0028-01 | SEC=non-agricultural | TT=28 | REL=main | PRICES=250,210 | ROAD=Đường dọc Sông Bé Từ thửa từ giáp ranh huyện Đồng Phú (cũ) đến kết 203, nối 2 KCN Long Tân - số 130 Long Hà | START=đất số Hết thửa tờ bản đồ 10, tờ 137 | END=đất số bản đồ số 360 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-094-S01-TT0029-01 | SEC=non-agricultural | TT=29 | REL=main | PRICES=250,210 | ROAD=Đường dọc Sông Bé Từ thửa giai đoạn 2 ( Long Tân 13, tờ cũ) 115 | START=đất số Hết thửa bản đồ số 188, tờ số 130 | END=đất số bản đồ 360 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-094-S01-TT0030-01 | SEC=non-agricultural | TT=30 | REL=main | PRICES=250,210 | ROAD=Đường giao thông liên Toàn xã | START=tuyến | END=360 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-094-S01-TT0031-01 | SEC=non-agricultural | TT=31 | REL=main | PRICES=180,150 | ROAD=Các tuyến đường giao thông còn lại trên địa Toàn bàn xã | START=tuyến | END=260 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
