TABLE=067 | AREA=Xã Đồng Tâm | RECORDS=296 | GROUPS=292 | REVIEW=161
ID=NQ28-067-S01-TT0001-01 | SEC=non-agricultural | TT=1 | REL=main | PRICES=5700,4000,3400 | ROAD=67. Xã Đồng Tâm Tên đường giao TT thông Giáp Đường Quốc lộ 14 Bình Phước | START=Đoạn đường Hết liệt xã Đường ranh Phường Hết (cầu 2) giữa Đồng phải 14) | END=đất ranh Nghĩa trang sĩ tỉnh hướng đi Bù Đăng (Bên trái Quốc lộ 14) Đường B.3 - ranh 5.700 ấp Cầu 2 và ấp Tiến 4 (Bên đường Quốc lộ | FLAGS=
ID=NQ28-067-S01-TT0018-01 | SEC=non-agricultural | TT=18 | REL=main | PRICES=1000,710,610 | ROAD=Đường ĐT 753B Đoạn Đường giao thông nông thôn đấu nối trục Đường Quốc lộ 14 đoạn từ giáp ranh | START=còn lại | END=1.000 | FLAGS=
ID=NQ28-067-S01-TT0019-01 | SEC=non-agricultural | TT=19 | REL=main | PRICES=940,650,560 | ROAD=phường Bình Phước (Cầu 2) đến hết ranh Nghĩa trang liệt sĩ tỉnh hướng đi xã Bù Toàn Đăng (Bên trái Đường Quốc lộ 14); hết Đường B3 - ranh giữa ấp cầu 2 và ấp Đồng Tiến 4 (bên phải đường Quốc lộ | START=tuyến | END= | FLAGS=
ID=NQ28-067-S01-TT0020-01 | SEC=non-agricultural | TT=20 | REL=main | PRICES=680,480,410 | ROAD=14) trong phạm vi 200m Đường giao thông nông thôn đấu nối trục Đường Quốc lộ Toàn | START=tuyến | END= | FLAGS=
ID=NQ28-067-S01-TT0014-02 | SEC=non-agricultural | TT=14 | REL=main | PRICES= | ROAD=(đoạn còn lại) trong phạm vi 200m Đường ĐH Cây số 9 | START= | END= | FLAGS=PRICE_MISSING,NON_AGRICULTURAL_PRICE_COLUMN_COUNT_0,DUPLICATE_TT_IN_SEGMENT
ID=NQ28-067-S01-TT0021-01 | SEC=non-agricultural | TT=21 | REL=main | PRICES=850,600,510 | ROAD=(Đường kết nối ngang Quốc lộ 14 với ĐT 755 và nối ĐT Toàn | START=tuyến | END= | FLAGS=
ID=NQ28-067-S01-TT0753-01 | SEC=non-agricultural | TT=753 | REL=main | PRICES= | ROAD=đấu nội trục Đường Quốc lộ 14 trong phạm vi 200m | START= | END= | FLAGS=PRICE_MISSING,NON_AGRICULTURAL_PRICE_COLUMN_COUNT_0
ID=NQ28-067-S01-TT0022-01 | SEC=non-agricultural | TT=22 | REL=main | PRICES=600,420,360 | ROAD=Đường ĐH Cây số 9 (Đường Kết nối ngang Quốc lộ 14 với ĐT 755 và nối ĐT Toàn | START=tuyến | END= | FLAGS=
ID=NQ28-067-S01-TT0753-02 | SEC=non-agricultural | TT=753 | REL=main | PRICES= | ROAD=đấu nối trục Đường Quốc lộ 14 ngoài phạm vi 200m | START= | END= | FLAGS=PRICE_MISSING,NON_AGRICULTURAL_PRICE_COLUMN_COUNT_0,DUPLICATE_TT_IN_SEGMENT
ID=NQ28-067-S01-TT0023-01 | SEC=non-agricultural | TT=23 | REL=main | PRICES=850,600,510 | ROAD=Các tuyến đường trong khu quy hoạch Toàn Trung tâm hành chính xã Đồng Tâm | START=tuyến | END= | FLAGS=
ID=NQ28-067-S01-TT0024-01 | SEC=non-agricultural | TT=24 | REL=main | PRICES=470,330,280 | ROAD=Đường Đường Lam Sơn - ranh thửa Tân Phước bản đồ | START=Thửa ĐT 753B (giáp 155, đất số 26, tờ (tiếp số 254) 753) | END=đất số 110, số tờ bản đồ 213 giáp đường ĐT | FLAGS=
ID=NQ28-067-S01-TT0025-01 | SEC=non-agricultural | TT=25 | REL=main | PRICES=500,350,300 | ROAD=Đường ĐH Đồng Quốc Tâm - Thuận Lợi | START=Hết (bên lộ 14 số bản | END=thửa đất số 142 phải) và thửa đất 149 (bên trái), tờ đồ số 229 | FLAGS=
ID=NQ28-067-S01-TT0026-01 | SEC=non-agricultural | TT=26 | REL=main | PRICES=450,320,270 | ROAD=Đường ĐH Đồng Đoạn Tâm - Thuận Lợi | START=còn lại | END= | FLAGS=
ID=NQ28-067-S01-TT0027-01 | SEC=non-agricultural | TT=27 | REL=main | PRICES=600,420,360 | ROAD=Đường giao thông nông thôn đấu nối Toàn trục Đường ĐT 753 phạm vi 200m | START=tuyến | END= | FLAGS=
ID=NQ28-067-S01-TT0028-01 | SEC=non-agricultural | TT=28 | REL=main | PRICES=1000,710,610 | ROAD=Đường Thanh Niên, đường ĐH Tàn Phước - Đồng Tiến Toàn (cũ) đấu nối trục Đường ĐT 753 trong phạm vi 500m | START=tuyến | END=1.000 | FLAGS=
ID=NQ28-067-S01-TT0029-01 | SEC=non-agricultural | TT=29 | REL=main | PRICES=850,600,510 | ROAD=Đường Thanh Niên, đường ĐH Tân Phước - Đồng Tiến Toàn (cũ) đầu nối trục Đường ĐT 753 ngoài | START=tuyến | END= | FLAGS=
ID=NQ28-067-S01-TT0030-01 | SEC=non-agricultural | TT=30 | REL=main | PRICES=850,600,510 | ROAD=phạm vi 500m Đường Đồng Tiến - Thửa Tân Phú (cũ) đồ số | START=đất số 28, tờ bản Thửa 270 bản | END=đất số 209, tờ đồ số 290 | FLAGS=
ID=NQ28-067-S01-TT0031-01 | SEC=non-agricultural | TT=31 | REL=main | PRICES=510,360,310 | ROAD=Đường giao thông Toàn liên xã còn lại | START=tuyến | END= | FLAGS=
ID=NQ28-067-S01-TT0032-01 | SEC=non-agricultural | TT=32 | REL=main | PRICES=600,420,360 | ROAD=Đường giao thông có hành lang lộ giới Toàn 14m trở lên tính từ tim đường | START=tuyến | END= | FLAGS=
ID=NQ28-067-S01-TT0033-01 | SEC=non-agricultural | TT=33 | REL=main | PRICES=540,370,320 | ROAD=Đường giao thông có hành lang lộ giới từ Toàn | START=tuyến | END= | FLAGS=
ID=NQ28-067-S01-TT0010-02 | SEC=non-agricultural | TT=10 | REL=main | PRICES= | ROAD=14m tính từ tim đường | START= | END= | FLAGS=PRICE_MISSING,NON_AGRICULTURAL_PRICE_COLUMN_COUNT_0,DUPLICATE_TT_IN_SEGMENT
ID=NQ28-067-S01-TT0034-01 | SEC=non-agricultural | TT=34 | REL=main | PRICES=470,330,280 | ROAD=Đường giao thông liên thôn, liên ấp có Toàn kết cấu trải nhựa, bê tông | START=tuyến | END= | FLAGS=
ID=NQ28-067-S01-TT0035-01 | SEC=non-agricultural | TT=35 | REL=main | PRICES=430,300,260 | ROAD=Đường giao thông liên thôn, liên ấp còn Toàn lại | START=tuyến | END= | FLAGS=
ID=NQ28-067-S01-TT0036-01 | SEC=non-agricultural | TT=36 | REL=main | PRICES=380,270,230 | ROAD=Các tuyến đường giao thông còn lại Toàn trên địa bàn xã | START=tuyến | END= | FLAGS=
ID=NQ28-067-S01-TT0001-02 | SEC=non-agricultural | TT=1 | REL=main | PRICES=6800,4800,4100 | ROAD=68. Xã Đồng Phú Tên đường giao thông TT Đường Cách Mạng Tháng (Đường ĐT 741) | START=Đoạn Tám Giáp ranh phường Đồng Xoài | END=đường Đường Tổ 99 (Tân Phú cũ, hết ranh đất khu dân cư 17ha) | FLAGS=DUPLICATE_TT_IN_SEGMENT
ID=NQ28-067-S01-TT0002-02 | SEC=non-agricultural | TT=2 | REL=main | PRICES=6000,4200,3600 | ROAD=Đường Cách Mạng Tháng (Đường ĐT 741) | START=Đường tổ 99 Tám Phú cũ, hết ranh đất khu dân cư 17ha) | END=(Tân hết ranh đất Hạt Kiểm Lâm | FLAGS=DUPLICATE_TT_IN_SEGMENT
ID=NQ28-067-S01-TT0003-02 | SEC=non-agricultural | TT=3 | REL=main | PRICES=5100,3600,3100 | ROAD=Đường Cách Mạng Tháng (Đường ĐT 741) | START=Tám Giáp ranh đất Kiểm Lâm | END=Đầu ranh Hạt Trường Trung học cơ sở Tân Phú cũ | FLAGS=DUPLICATE_TT_IN_SEGMENT
ID=NQ28-067-S01-TT0004-02 | SEC=non-agricultural | TT=4 | REL=main | PRICES=6800,4800,4100 | ROAD=Đường Cách Mạng Tháng (Đường ĐT 741) | START=Đầu ranh Trường Tám Trung học cơ Tân Phú cũ | END=Đường tổ 6 (Tân Phú cũ, sở đường xuống khu Trũng Đồng Ca) | FLAGS=DUPLICATE_TT_IN_SEGMENT
ID=NQ28-067-S01-TT0005-02 | SEC=non-agricultural | TT=5 | REL=main | PRICES=5100,3600,3100 | ROAD=Đường Cách Mạng Tháng (Đường ĐT 741) | START=Đường tổ 6 (Tân Tám Phú cũ, đường xuống Khu Trũng Đồng Ca) | END=Giáp ranh xã Tân Tiến (cũ) | FLAGS=DUPLICATE_TT_IN_SEGMENT
ID=NQ28-067-S01-TT0006-02 | SEC=non-agricultural | TT=6 | REL=main | PRICES=2100,1500,1300 | ROAD=Đường ĐT 741 | START=Giáp ranh thị Tân Phú (cũ) | END=Hết ranh thửa đất số 74 và trấn số 87, tờ bản đồ số 222 Đường tổ 33 | FLAGS=DUPLICATE_TT_IN_SEGMENT
ID=NQ28-067-S01-TT0007-02 | SEC=non-agricultural | TT=7 | REL=main | PRICES=3000,2100,1800 | ROAD=Đường ĐT 741 | START=Giáp ranh thửa số 74, tờ bản 222 Đường Tổ 32 đất số 87, tờ đồ số 222) | END=đất (thửa đất số đồ số 192, tờ bản đồ số 222) (thửa Đường tổ 28 bản (thửa đất số 318, tờ bản đồ | FLAGS=DUPLICATE_TT_IN_SEGMENT
ID=NQ28-067-S01-TT0008-02 | SEC=non-agricultural | TT=8 | REL=main | PRICES=4300,3000,2600 | ROAD=Đường ĐT 741 | START=Đường Tổ 33 đất số 206, tờ đồ số 222) Đường Tổ 28 đất số 211, tờ đồ số 222) | END=số 222) Đường Tổ 27 (thửa (thửa đất số bản 143, tờ bản đồ số 224) (thửa Đường Tổ 22 bản (thửa đất số 147, tờ bản đồ số 224) | FLAGS=DUPLICATE_TT_IN_SEGMENT
ID=NQ28-067-S01-TT0009-02 | SEC=non-agricultural | TT=9 | REL=main | PRICES=3000,2100,1800 | ROAD=Đường ĐT 741 | START=Đường Tổ 27 đất số 142, tờ đồ số 224) Đường Tổ 22 đất số 395, tờ đồ số 224) | END=Đường Tổ 23 (Hết ranh (thửa Thửa đất số bản 256, tờ bản đồ số 224) (thửa Đường Tổ 18 bản (Hết ranh Thửa đất số 424, tờ bản đồ | FLAGS=DUPLICATE_TT_IN_SEGMENT
ID=NQ28-067-S01-TT0010-03 | SEC=non-agricultural | TT=10 | REL=main | PRICES=2600,1800,1500 | ROAD=Đường ĐT 741 | START=Đường tổ 23 đất số 388, tờ đồ số 224) Đường tổ 18 đất số 275, tờ đồ số 224) | END=số 224) (thửa bản Giáp ranh xã (thửa Tân Lập (cũ) bản | FLAGS=DUPLICATE_TT_IN_SEGMENT
ID=NQ28-067-S01-TT0011-02 | SEC=non-agricultural | TT=11 | REL=main | PRICES=2600,1800,1500 | ROAD=Đường ĐT 741 | START=Giáp ranh xã Lập (cũ) | END=Đường Tổ 23B (thửa đất số 158, tờ bản đồ số 234) Tân Đường tổ 26B (thửa đất số 113, tờ bản đồ | FLAGS=DUPLICATE_TT_IN_SEGMENT
ID=NQ28-067-S01-TT0012-02 | SEC=non-agricultural | TT=12 | REL=main | PRICES=3400,2400,2000 | ROAD=Đường ĐT 741 | START=Đường tổ 23B (thửa đất số 181, bản đồ số 234) | END=số 234) Đường tổ 9 (thửa đất số tờ 54, tờ bản đồ số 243) | FLAGS=DUPLICATE_TT_IN_SEGMENT
ID=NQ28-067-S01-TT0013-02 | SEC=non-agricultural | TT=13 | REL=main | PRICES=2600,1800,1500 | ROAD=Đường ĐT 741 | START=Đường tổ 9 (thửa đất số 17, tờ đồ số 242) | END=Tiếp giáp ranh Thửa đất số bản 98, tờ bản đồ số 188) | FLAGS=DUPLICATE_TT_IN_SEGMENT
ID=NQ28-067-S01-TT0004-03 | SEC=non-agricultural | TT=4 | REL=main | PRICES=3400,2400,2000 | ROAD=Đường ĐT 741 | START=Thửa đất số 98, bản đồ số 188) | END=Giáp ranh tờ Thành phố Hồ Chí Minh | FLAGS=DUPLICATE_TT_IN_SEGMENT
ID=NQ28-067-S01-TT0015-02 | SEC=non-agricultural | TT=15 | REL=main | PRICES=4300,3000,2600 | ROAD=Đường Nguyễn Thị Minh Khai | START=Toàn tuyến | END= | FLAGS=DUPLICATE_TT_IN_SEGMENT
ID=NQ28-067-S01-TT0016-02 | SEC=non-agricultural | TT=16 | REL=main | PRICES=4300,3000,2600 | ROAD=Đường Mai Thúc Loan | START=Toàn tuyến | END= | FLAGS=DUPLICATE_TT_IN_SEGMENT
ID=NQ28-067-S01-TT0017-02 | SEC=non-agricultural | TT=17 | REL=main | PRICES=4300,3000,2600 | ROAD=Đường Nguyễn Thị Định | START=Toàn tuyến | END= | FLAGS=DUPLICATE_TT_IN_SEGMENT
ID=NQ28-067-S01-TT0018-02 | SEC=non-agricultural | TT=18 | REL=main | PRICES=5400,3700,3200 | ROAD=Đường Nguyễn Tất Thành | START=Toàn tuyến | END= | FLAGS=DUPLICATE_TT_IN_SEGMENT
ID=NQ28-067-S01-TT0019-02 | SEC=non-agricultural | TT=19 | REL=main | PRICES=2100,1500,1300 | ROAD=Đường Phú Riềng Đỏ | START=Giáp ranh khu nghiệp Bắc Đồng Phú | END=công Đường Tổ 29 (Tân Phú cũ) | FLAGS=DUPLICATE_TT_IN_SEGMENT
ID=NQ28-067-S01-TT0020-02 | SEC=non-agricultural | TT=20 | REL=main | PRICES=3000,2100,1800 | ROAD=Đường Phú Riềng Đỏ | START=Đường tổ 29 Phú cũ) | END=Đường (Tân Nguyễn Văn Linh | FLAGS=DUPLICATE_TT_IN_SEGMENT
ID=NQ28-067-S01-TT0021-02 | SEC=non-agricultural | TT=21 | REL=main | PRICES=3300,2300,2000 | ROAD=Đường Phú Riềng Đỏ | START=Đường Nguyễn Văn Linh | END=Đường Âu Cơ | FLAGS=DUPLICATE_TT_IN_SEGMENT
ID=NQ28-067-S01-TT0022-02 | SEC=non-agricultural | TT=22 | REL=main | PRICES=2700,1900,1600 | ROAD=Đường Phú Riềng Đỏ | START=Đường Âu Cơ | END=Đường Phạm Ngọc Thạch | FLAGS=DUPLICATE_TT_IN_SEGMENT
ID=NQ28-067-S01-TT0023-02 | SEC=non-agricultural | TT=23 | REL=main | PRICES=1800,1200,1100 | ROAD=Đường Phú Riềng Đỏ | START=Đường Phạm Thạch | END=Ngọc Giáp ranh xã Tân Tiến cũ | FLAGS=DUPLICATE_TT_IN_SEGMENT
ID=NQ28-067-S01-TT0024-02 | SEC=non-agricultural | TT=24 | REL=main | PRICES=3400,2400,2000 | ROAD=Đường Lý Nam Đế | START=Toàn tuyến | END= | FLAGS=DUPLICATE_TT_IN_SEGMENT
ID=NQ28-067-S01-TT0025-02 | SEC=non-agricultural | TT=25 | REL=main | PRICES=2700,1900,1600 | ROAD=Đường Nguyễn Hữu Thọ | START=Đường Tôn Đức Thắng | END=Đường Phú Riềng Đỏ | FLAGS=DUPLICATE_TT_IN_SEGMENT
ID=NQ28-067-S01-TT0026-02 | SEC=non-agricultural | TT=26 | REL=main | PRICES=3300,2300,2000 | ROAD=Đường Nguyễn Hữu Thọ | START=Đường Phú Riềng Đỏ | END=Đường Cách Mạng Tháng Tám (Đường ĐT 741) | FLAGS=DUPLICATE_TT_IN_SEGMENT
ID=NQ28-067-S01-TT0027-02 | SEC=non-agricultural | TT=27 | REL=main | PRICES=3900,2700,2300 | ROAD=Đường Nguyễn Hữu Thọ | START=Đường Cách Tháng Tám (Đường ĐT 741) | END=Mạng Đường Hùng Vương | FLAGS=DUPLICATE_TT_IN_SEGMENT
ID=NQ28-067-S01-TT0028-02 | SEC=non-agricultural | TT=28 | REL=main | PRICES=3000,2100,1800 | ROAD=Đường Nguyễn Văn Linh | START=Đường Tôn Đức Thắng | END=Đường Phú Riềng Đỏ | FLAGS=DUPLICATE_TT_IN_SEGMENT
ID=NQ28-067-S01-TT0029-02 | SEC=non-agricultural | TT=29 | REL=main | PRICES=3500,2400,2100 | ROAD=Đường Nguyễn Văn Linh | START=Đường Phú Riềng Đỏ | END=Đường Cách Mạng Tháng Tám (Đường ĐT 741) | FLAGS=DUPLICATE_TT_IN_SEGMENT
ID=NQ28-067-S01-TT0030-02 | SEC=non-agricultural | TT=30 | REL=main | PRICES=2700,1900,1600 | ROAD=Đường Nguyễn Văn Linh | START=Đường Cách Tháng Tám (Đường ĐT 741) | END=Mạng Đường Hùng Vương | FLAGS=DUPLICATE_TT_IN_SEGMENT
ID=NQ28-067-S01-TT0031-02 | SEC=non-agricultural | TT=31 | REL=main | PRICES=1500,1100,920 | ROAD=Đường Nguyễn Văn Linh | START=Đường Tôn Đức Thắng | END=Hết tuyến | FLAGS=DUPLICATE_TT_IN_SEGMENT
ID=NQ28-067-S01-TT0032-02 | SEC=non-agricultural | TT=32 | REL=main | PRICES=3100,2100,1800 | ROAD=Đường Trường Chinh | START=Đường Cách Tháng Tám (Đường ĐT 741) | END=Mạng Đường Trần Phú | FLAGS=DUPLICATE_TT_IN_SEGMENT
ID=NQ28-067-S01-TT0033-02 | SEC=non-agricultural | TT=33 | REL=main | PRICES=3100,2100,1800 | ROAD=Đường Lê Duẩn | START=Đường Cách Tháng Tám (Đường ĐT 741) | END=Mạng Đường Trần Phú | FLAGS=DUPLICATE_TT_IN_SEGMENT
ID=NQ28-067-S01-TT0034-02 | SEC=non-agricultural | TT=34 | REL=main | PRICES=3300,2300,2000 | ROAD=Đường Nguyễn Văn Cừ | START=Đường Nguyễn Vẫn Linh | END=Đường Nguyễn Hữu Thọ | FLAGS=DUPLICATE_TT_IN_SEGMENT
ID=NQ28-067-S01-TT0035-02 | SEC=non-agricultural | TT=35 | REL=main | PRICES=4300,3000,2600 | ROAD=Đường Nguyễn Chí Thanh | START=Toàn tuyến | END= | FLAGS=DUPLICATE_TT_IN_SEGMENT
ID=NQ28-067-S01-TT0036-02 | SEC=non-agricultural | TT=36 | REL=main | PRICES=5700,4000,3400 | ROAD=Đường khu dân cư 17ha | START=Đường D1 | END= | FLAGS=DUPLICATE_TT_IN_SEGMENT
ID=NQ28-067-S01-TT0037-01 | SEC=non-agricultural | TT=37 | REL=main | PRICES=3800,2700,2300 | ROAD=Đường khu dân cư 17ha | START=Các đường còn (trừ Đường D6, N9) | END=lại N8, | FLAGS=
ID=NQ28-067-S01-TT0038-01 | SEC=non-agricultural | TT=38 | REL=main | PRICES=2400,1700,1400 | ROAD=Đường khu dân cư 17ha | START=Đường D6 | END= | FLAGS=
ID=NQ28-067-S01-TT0039-01 | SEC=non-agricultural | TT=39 | REL=main | PRICES=2100,1500,1300 | ROAD=Đường khu dân cư 17ha | START=Đường N8, N9 | END= | FLAGS=
ID=NQ28-067-S01-TT0040-01 | SEC=non-agricultural | TT=40 | REL=main | PRICES=6000,4200 | ROAD=Đường khu dân cư thị trấn Phú (Quang Minh Tiến) | START=Tân Đường D1.A | END= | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-067-S01-TT0041-01 | SEC=non-agricultural | TT=41 | REL=main | PRICES=3700,2600,2200 | ROAD=Đường khu dân cư thị trấn Phú (Quang Minh Tiến) | START=Tân Các đường còn trong khu dân | END=lại cư | FLAGS=
ID=NQ28-067-S01-TT0042-01 | SEC=non-agricultural | TT=42 | REL=main | PRICES=2800,2000,1700 | ROAD=Khu dân cư Mỹ Khánh Vy | START=Các tuyến đường trong khu dân | END=cư | FLAGS=
ID=NQ28-067-S01-TT0043-01 | SEC=non-agricultural | TT=43 | REL=main | PRICES=2500,1800,1500 | ROAD=Khu dân cư Xuân Hưởng | START=Các tuyến đường trong khu dân | END=cư | FLAGS=
ID=NQ28-067-S01-TT0044-01 | SEC=non-agricultural | TT=44 | REL=main | PRICES=2200,1500,1300 | ROAD=Khu dân cư Tân Phú I | START=Các tuyến đường trong khu dân | END=cư | FLAGS=
ID=NQ28-067-S01-TT0045-01 | SEC=non-agricultural | TT=45 | REL=main | PRICES=2100,1500,1300 | ROAD=Khu dân cư Tân Phú II | START=Các tuyến đường trong khu dân | END=cư | FLAGS=
ID=NQ28-067-S01-TT0046-01 | SEC=non-agricultural | TT=46 | REL=main | PRICES=1700,1200,1000 | ROAD=Khu dân cư Nhà Máy Nước | START=Đường trục chính nối ra Đường Ngọc Thạch | END=Phạm | FLAGS=
ID=NQ28-067-S01-TT0047-01 | SEC=non-agricultural | TT=47 | REL=main | PRICES=1500,1100,900 | ROAD=Khu dân cư Nhà Máy Nước | START=Các tuyến đường còn lại trong khu dân cư | END= | FLAGS=
ID=NQ28-067-S01-TT0048-01 | SEC=non-agricultural | TT=48 | REL=main | PRICES=1900,1300,1100 | ROAD=Khu dân cư Hoàn Thành | START=Các tuyến đường trong khu dân | END=cư | FLAGS=
ID=NQ28-067-S01-TT0049-01 | SEC=non-agricultural | TT=49 | REL=main | PRICES=2100,1500,1300 | ROAD=Khu dân cư Tân Phú (khu cư Thịnh Trí) | START=dân Các tuyến đường trong khu dân Các tuyến đường | END=cư | FLAGS=
ID=NQ28-067-S01-TT0050-01 | SEC=non-agricultural | TT=50 | REL=main | PRICES=3000,2100,1800 | ROAD=Khu dân cư Ngọc Thảo | START=trọng khu dân tiếp giáp với đường giao thông nông thôn | END=cư và | FLAGS=
ID=NQ28-067-S01-TT0051-01 | SEC=non-agricultural | TT=51 | REL=main | PRICES=2600,1800,1500 | ROAD=Đường Hùng Vương | START=Đường Lý Nam | END=Đường Đế Nguyễn Hữu Thọ | FLAGS=
ID=NQ28-067-S01-TT0052-01 | SEC=non-agricultural | TT=52 | REL=main | PRICES=2100,1500 | ROAD=Đường Hùng Vương | START=Đường Nguyễn Hữu Thọ | END=Đường Nguyễn Văn Linh | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
