TABLE=077 | AREA=Xã Tân Quan | RECORDS=44 | GROUPS=43 | REVIEW=44
ID=NQ28-077-S01-TT0001-01 | SEC=non-agricultural | TT=1 | REL=main | PRICES=1500,1300 | ROAD=77. Xã Tân Quan Giáp phường Đường ĐT 758 (Từ 3, | START=Đoạn đường Đài Liệt ranh An Lộc thửa thửa đất số tờ bản tờ bản đồ số 141) | END=Giá Giá thương đất ở mại, sỹ (Hết đất số 380, 2.200 đồ số | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-077-S01-TT0012-01 | SEC=non-agricultural | TT=12 | REL=main | PRICES=690,590 | ROAD=Từ Đường ĐT 756C số đồ | START=hết thửa đất Hết 947, 1706, tờ bản số 70 số 70 | END=thửa đất số tờ bản đồ 990 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-077-S01-TT0013-01 | SEC=non-agricultural | TT=13 | REL=main | PRICES=570,490 | ROAD=Ngã Đường ĐT 756C đất đất | START=ba đường Giáp (Từ hết thửa Nha số 947, tờ thửa | END=ranh xã Bích (Hết 810 đất số 462, | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-077-S01-TT0014-01 | SEC=non-agricultural | TT=14 | REL=main | PRICES=320,270 | ROAD=bản Từ Đường ĐH 09 35, 114 | START=đồ số 70) tờ bản thửa đất số Hết tờ bản đồ số 128, số 109 | END=đồ số 71) thửa đất số tờ bản đồ 450 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-077-S01-TT0015-01 | SEC=non-agricultural | TT=15 | REL=main | PRICES=440,380 | ROAD=Từ Đường ĐH 09 78, 115 | START=thửa đất số Hết tờ bản đồ số 116, số 118 | END=thửa đất số tờ bản đồ 630 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-077-S01-TT0016-01 | SEC=non-agricultural | TT=16 | REL=main | PRICES=570,490 | ROAD=Cầu (Từ Đường liên xã 87, 29) | START=Cuối Xa Trạch 1 thửa đất số địa 23 tờ bản đồ số thửa tờ bản | END=dốc nghĩa Lớn (Hết 810 đất số 630, đồ số 16) | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-077-S01-TT0017-01 | SEC=non-agricultural | TT=17 | REL=main | PRICES=690,590 | ROAD=Cuối địa Đường liên xã hết 630, 16) | START=dốc nghĩa Ngã 23 Lớn (Từ (Hết thửa đất số 40, tờ tờ bản đồ số 10) | END=ba Sở Líp thửa đất số 990 bản đồ số | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-077-S01-TT0018-01 | SEC=non-agricultural | TT=18 | REL=main | PRICES=380,320 | ROAD=Ngã (Từ Đường liên xã số số | START=ba Sở Líp Ấp Sóc hết thửa đất thửa 40, tờ bản đồ bản 10) | END=Lết (Hết đất số 3, tờ 540 đồ số 2) | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-077-S01-TT0019-01 | SEC=non-agricultural | TT=19 | REL=main | PRICES=350,300 | ROAD=Ngã (Từ Đường Liên xã 20, 57) | START=ba Sở Líp Ấp Xạc thửa đất số thửa tờ bản đồ số tờ bản | END=Lây (Hết đất số 54, 500 đồ số 35) | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-077-S01-TT0020-01 | SEC=non-agricultural | TT=20 | REL=main | PRICES=280,240 | ROAD=Đường nhựa từ cổng Từ Chào Văn Hiên 1 đi ấp 252, Sóc Lớn 10 | START=thửa đất số Hết tờ bản đồ số 14, tờ 17 | END=thửa đất số bản đồ số 410 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-077-S01-TT0021-01 | SEC=non-agricultural | TT=21 | REL=main | PRICES=440,380 | ROAD=Ngã Đường nhựa liên xã (Giáp Tân Quan - Tân Hưng 758) | START=Giáp ba thác số 4 Tân Đường ĐT thửa bản | END=ranh xã Hưng (Hết 630 đất số 7, tờ đồ số 126) | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-077-S01-TT0022-01 | SEC=non-agricultural | TT=22 | REL=main | PRICES=440,380 | ROAD=Ngã Đường Đường nhựa liên xã (Từ Tân Quan - Tân Hưng 19, 161) | START=ba giáp Giáp ĐT 758 Tân thửa đất số thửa tờ bản đồ số tờ bản 124) | END=ranh xã Hưng (Hết đất số 56, 630 đồ số | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-077-S01-TT0023-01 | SEC=non-agricultural | TT=23 | REL=main | PRICES=380,320 | ROAD=Đường nhựa từ Ngã ba Từ Sóc Trào đi ấp Sóc Trào 46, B 61 | START=thửa đất số Hết tờ bản đồ số 411, số 146 | END=thửa đất số tờ bản đồ 540 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-077-S01-TT0024-01 | SEC=non-agricultural | TT=24 | REL=main | PRICES=500,430 | ROAD=Ngã Ruộng Đường liên xã đất đồ | START=ba Sóc Ngã 1 (Từ thửa (Hết số 73, tờ bản 30, tờ số 100) 106) | END=ba Xa Lách thửa đất số 720 bản đồ số | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-077-S01-TT0025-01 | SEC=non-agricultural | TT=25 | REL=main | PRICES=440,380 | ROAD=Từ Đường nhựa liên xã 30, Tân Quan - Nha Bích 106 | START=thửa đất số Hết tờ bản đồ số 20, tờ 108 | END=thửa đất số bản đồ số 630 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-077-S01-TT0026-01 | SEC=non-agricultural | TT=26 | REL=main | PRICES=440,380 | ROAD=Đường nhựa liên xã Từ Tân Quan - Minh Hưng 33, | START=thửa đất số Hết tờ bản đồ số 134, | END=thửa đất số 630 tờ bản đồ | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-077-S01-TT0027-01 | SEC=non-agricultural | TT=27 | REL=main | PRICES=380,320 | ROAD=105 Đường nhựa từ ấp Đường Long Bình đi ấp Văn (Thửa tờ Hiên 2 | START=số 65 ĐT 756C Hết đất số 225, 139, bản đồ số 95) số 87 | END=thửa đất số tờ bản đồ 540 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-077-S01-TT0028-01 | SEC=non-agricultural | TT=28 | REL=main | PRICES=380,320 | ROAD=Đường Đường nhựa từ ấp Xạc (đường Lây đi ấp Sóc Tranh trường Tân | START=ĐT 756C Hết đối diện 256, mầm non số 89 Quan) | END=thửa đất số tờ bản đồ 540 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-077-S01-TT0029-01 | SEC=non-agricultural | TT=29 | REL=main | PRICES=690,590 | ROAD=Ngã Minh Đường ĐH 11 đất đồ | START=ba Quang Hết (Từ thửa 35, tờ số 4, tờ bản 157 số 157) | END=thửa đất số bản đồ số 990 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-077-S01-TT0030-01 | SEC=non-agricultural | TT=30 | REL=main | PRICES=500,430 | ROAD=Từ Đường ĐH 11 số số | START=hết thửa đất Giáp 35, tờ bản đồ su Nông 157 cao | END=ranh cao trường 720 su Xa Trạch | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-077-S01-TT0031-01 | SEC=non-agricultural | TT=31 | REL=main | PRICES=410,350 | ROAD=Đường liên xã ấp Chà Thửa Hòa đi Nha Bích tờ | START=Hết đất số 339, 94, tờ bản đồ số 71 123 | END=thửa đất số bản đồ số 590 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-077-S01-TT0032-01 | SEC=non-agricultural | TT=32 | REL=main | PRICES=350,300 | ROAD=Thửa Đường nhựa số 06 tờ | START=Hết đất số 277, 131, bản đồ số 70 số 67 | END=thửa đất số tờ bản đồ 500 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-077-S01-TT0033-01 | SEC=non-agricultural | TT=33 | REL=main | PRICES=320,270 | ROAD=Đường nhựa từ cầu Xe Từ Be đến giáp ranh ấp 43, Trường An 51 | START=thửa đất số Hết tờ bản đồ số 87, tờ 46 | END=thửa đất số bản đồ số 450 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-077-S01-TT0034-01 | SEC=non-agricultural | TT=34 | REL=main | PRICES=280,240 | ROAD=Đường nhựa Ấp Từ Trường Thịnh đi Áp 643, Trường An 16 | START=thửa đất số Hết tờ bản đồ số 25, tờ 32 | END=thửa đất số bản đồ số 410 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-077-S01-TT0035-01 | SEC=non-agricultural | TT=35 | REL=main | PRICES=380,320 | ROAD=Từ Đường nhựa ấp Núi Gió 29, - Phú Thịnh 60 | START=thửa đất số Hết tờ bản đồ số 42, tờ 149 | END=thửa đất số bản đồ số 540 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-077-S01-TT0036-01 | SEC=non-agricultural | TT=36 | REL=main | PRICES=380,320 | ROAD=Từ Đường nhựa bên hông 232, chợ Tân Quan 93 | START=thửa đất số Hết tờ bản đồ số 983, số 64 | END=thửa đất số tờ bản đồ 540 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-077-S01-TT0037-01 | SEC=non-agricultural | TT=37 | REL=main | PRICES=630,540 | ROAD=Từ Đường nhựa Ngã tư 198, chợ Tân Quan 93 | START=thửa đất số Hết tờ bản đồ số 44, tờ 93 | END=thửa đất số bản đồ số 900 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-077-S01-TT0038-01 | SEC=non-agricultural | TT=38 | REL=main | PRICES=690,590 | ROAD=Khu dân cư Phước An Các (Công ty TNHH Địa ốc nội Hoa Đào) dân | START=tuyến đường bộ trong khu cư Phước An | END=990 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-077-S01-TT0039-01 | SEC=non-agricultural | TT=39 | REL=main | PRICES=380,320 | ROAD=Tù Đường N1 (phía Tây 251, Chợ Tân Quan) 93 | START=thửa đất số Hết tờ bản đồ số 290, số 93 | END=thửa đất số tờ bản đồ 540 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-077-S01-TT0040-01 | SEC=non-agricultural | TT=40 | REL=main | PRICES=380,320 | ROAD=Từ Đường N2 (phía Đông 252, Chợ Tân Quan) 93 | START=thửa đất số Hết tờ bản đồ số 414, số 93 | END=thửa đất số tờ bản đồ 540 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-077-S01-TT0041-01 | SEC=non-agricultural | TT=41 | REL=main | PRICES=380,320 | ROAD=Đường D1 (phía Nam Từ 297, Chợ Tân Quan) | START=thửa đất số Hết tờ bản đồ số 321, | END=thửa đất số 540 tờ bản đồ | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-077-S01-TT0042-01 | SEC=non-agricultural | TT=42 | REL=direct | PRICES=320,270 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-077-S01-TT0043-01 | SEC=non-agricultural | TT=43 | REL=main | PRICES=250,220 | ROAD=từ HLLG Đường giao thông nông thôn có độ rộng từ 3m Toàn trở lên | START=tuyến | END=360 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-077-S01-TT0044-01 | SEC=non-agricultural | TT=44 | REL=main | PRICES=190,160 | ROAD=Các tuyến đường còn Toàn lại | START=tuyến | END=270 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
