TABLE=083 | AREA=Xã Đắk Nhau | RECORDS=40 | GROUPS=40 | REVIEW=40
ID=NQ28-083-S01-TT0001-01 | SEC=non-agricultural | TT=1 | REL=main | PRICES=500,430 | ROAD=83. Xã Đắk Nhau Tên đường giao TT thông Đường ĐT 760 Giáp | START=Đoạn đường ranh xã Bom Giáp | END=Giá đất Giá thương đất mại, dịch ở vụ ranh 720 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-083-S01-TT0012-01 | SEC=non-agricultural | TT=12 | REL=main | PRICES=280,240 | ROAD=Hết Đường ĐT 180, 760B.Nhựa 47 | START=thửa đất số Hết thửa tờ bản đồ số số 209, đồ số | END=đất tờ bản 410 34 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-083-S01-TT0013-01 | SEC=non-agricultural | TT=13 | REL=main | PRICES=250,220 | ROAD=Hết Đường ĐT 760B 209, 34 | START=thửa đất số Hết thửa tờ bản đồ số số 165, đồ số | END=đất tờ bản 360 34 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-083-S01-TT0014-01 | SEC=non-agricultural | TT=14 | REL=main | PRICES=250,220 | ROAD=Hết Đường ĐT 760B 165, 34 | START=thửa đất số Giáp tờ bản đồ số Thọ Sơn | END=ranh xã 360 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-083-S01-TT0015-01 | SEC=non-agricultural | TT=15 | REL=main | PRICES=250,220 | ROAD=Đường thâm nhập Thửa bản nhựa | START=Thửa đất số 35, tờ 132, tờ đồ số 53 đồ số | END=đất số bản 360 51 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-083-S01-TT0016-01 | SEC=non-agricultural | TT=16 | REL=main | PRICES=190,160 | ROAD=Đường Bom Đường thâm nhập Nhau nhựa số 120 bản | START=liên xã Bo - Đắk Thửa (Thửa đất 27, tờ và 62, tờ số 15 đồ số 24) | END=đất số bản đồ 270 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-083-S01-TT0017-01 | SEC=non-agricultural | TT=17 | REL=main | PRICES=350,300 | ROAD=Đường Đường thâm nhập thửa nhựa tờ bản | START=ĐT 760B ( Hết thửa đất số 208, số 22, đồ số 49) đồ số | END=đất tờ bản 500 13 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-083-S01-TT0018-01 | SEC=non-agricultural | TT=18 | REL=main | PRICES=250,220 | ROAD=Hết Đường thâm nhập 22, tờ nhựa 13 | START=thửa đất số Đầu thửa bản đồ số số 19, đồ số | END=đất tờ bản 360 42 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-083-S01-TT0019-01 | SEC=non-agricultural | TT=19 | REL=main | PRICES=350,300 | ROAD=Đầu Đường thâm nhập 19, tờ nhựa 42 | START=Đường thửa đất số 760B bản đồ số đất số bản đồ | END=ĐT (Thửa 500 182, tờ số 47) | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-083-S01-TT0020-01 | SEC=non-agricultural | TT=20 | REL=main | PRICES=250,220 | ROAD=Đường thâm nhập Thửa tờ bản nhựa | START=Thửa đất số 203, 401, tờ đồ số 49 đồ số | END=đất số bản 360 02 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-083-S01-TT0021-01 | SEC=non-agricultural | TT=21 | REL=main | PRICES=250,220 | ROAD=Đường thâm nhập Thửa bản nhựa | START=Thửa đất số 60, tờ 132, tờ đồ số 02 đồ số | END=đất số bản 360 48 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-083-S01-TT0022-01 | SEC=non-agricultural | TT=22 | REL=main | PRICES=280,240 | ROAD=Đường thâm nhập Thửa bản nhựa | START=Thửa đất số 66, tờ 22, tờ đồ số 14 số 13 | END=đất số bản đồ 410 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-083-S01-TT0023-01 | SEC=non-agricultural | TT=23 | REL=main | PRICES=280,240 | ROAD=Đường thâm nhập Thửa bản nhựa | START=Thửa đất số 93, tờ 348, tờ đồ số 14 đồ số | END=đất số bản 410 14 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-083-S01-TT0024-01 | SEC=non-agricultural | TT=24 | REL=main | PRICES=220,190 | ROAD=Thửa Đường bê tông nhựa tờ bản | START=Thửa đất số 305, 75, tờ đồ số 02 số 05 | END=đất số bản đồ 320 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-083-S01-TT0025-01 | SEC=non-agricultural | TT=25 | REL=main | PRICES=190,160 | ROAD=Các tuyến Đường Toàn nhựa, bê tông còn lại | START=tuyến | END=270 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-083-S01-TT0026-01 | SEC=non-agricultural | TT=26 | REL=main | PRICES=160,140 | ROAD=Các tuyến đường còn Toàn lại | START=tuyến | END=230 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-083-S01-TT0005-02 | SEC=non-agricultural | TT=5 | REL=main | PRICES= | ROAD=Ngã ba thôn 2 đi thôn (Đối diện điểm | START= | END= | FLAGS=PRICE_MISSING,NON_AGRICULTURAL_PRICE_COLUMN_COUNT_0,DUPLICATE_TT_IN_SEGMENT
ID=NQ28-083-S01-TT0027-01 | SEC=non-agricultural | TT=27 | REL=main | PRICES=190,160 | ROAD=Toàn trường mẫu giáo Đội 3 Trung đoàn 719) | START=tuyến | END=270 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-083-S01-TT0028-01 | SEC=non-agricultural | TT=28 | REL=main | PRICES=190,160 | ROAD=Ngã ba thôn 3 đi ngã Toàn ba Tuấn Linh thôn 4 | START=tuyến | END=270 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-083-S01-TT0029-01 | SEC=non-agricultural | TT=29 | REL=main | PRICES=190,160 | ROAD=Ngã ba ông Xây (Bom Toàn Bo đến dốc ngầm) | START=tuyến | END=270 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-083-S01-TT0030-01 | SEC=non-agricultural | TT=30 | REL=main | PRICES=220,190 | ROAD=Ngã ba Cây xăng Chung Chiều đến nhà Toàn văn hóa thôn 5 | START=tuyến | END=320 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-083-S01-TT0031-01 | SEC=non-agricultural | TT=31 | REL=main | PRICES=190,160 | ROAD=Ngã ba Bảy Liếm đến Toàn ngã ba tổ 4 thôn 2 | START=tuyến | END=270 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-083-S01-TT0032-01 | SEC=non-agricultural | TT=32 | REL=main | PRICES=320,270 | ROAD=Đường số 1 Toàn | START=tuyến | END=450 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-083-S01-TT0033-01 | SEC=non-agricultural | TT=33 | REL=main | PRICES=320,270 | ROAD=Đường số 2 Toàn | START=tuyến | END=450 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-083-S01-TT0034-01 | SEC=non-agricultural | TT=34 | REL=main | PRICES=320,270 | ROAD=Đường số 3 Toàn | START=tuyến | END=450 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-083-S01-TT0035-01 | SEC=non-agricultural | TT=35 | REL=main | PRICES=250,220 | ROAD=Đường số 4 Toàn | START=tuyến | END=360 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-083-S01-TT0036-01 | SEC=non-agricultural | TT=36 | REL=main | PRICES=220,190 | ROAD=Đường số 6 Toàn | START=tuyến | END=320 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-083-S01-TT0037-01 | SEC=non-agricultural | TT=37 | REL=main | PRICES=190,160 | ROAD=Đường 4B- Bê tông xi măng (Nhà ông Phát Toàn thợ mộc) | START=tuyến | END=270 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-083-S01-TT0038-01 | SEC=non-agricultural | TT=38 | REL=main | PRICES=320,270 | ROAD=Các tuyến đường thuộc khu TTHC xã Toàn Đak Nhau | START=tuyến | END=450 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-083-S01-TT0039-01 | SEC=non-agricultural | TT=39 | REL=main | PRICES=320,270 | ROAD=Tuyến đường số 7 và 7A thuộc Khu TTHC Toàn xã đường 10 cũ | START=tuyến | END=450 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
