TABLE=056 | AREA=Phường Bình Phước | RECORDS=752 | GROUPS=319 | REVIEW=751
ID=NQ28-056-S01-TT0001-01 | SEC=non-agricultural | TT=1 | REL=main | PRICES=30100,25800 | ROAD=56. Phường Bình Phước Tên đường giao thông TT Đường Quốc lộ 14 | START=Đoạn Ngã tư Đồng Xoài | END=đường Giá đất Đường Đồng 43.000 Khởi | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-056-S01-TT0035-01 | SEC=non-agricultural | TT=35 | REL=main | PRICES=14600,12500 | ROAD=Đường Hồ Xuân Hương | START=Đường Trường Chinh | END=Đường Hàm 20.800 Nghi | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-056-S01-TT0036-01 | SEC=non-agricultural | TT=36 | REL=main | PRICES=16800,14400 | ROAD=Đường Hồ Xuân Hương | START=Đường Hàm Nghi | END=Đường Lê 24.000 Trọng Tấn | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-056-S01-TT0037-01 | SEC=non-agricultural | TT=37 | REL=main | PRICES=12000,10300 | ROAD=Đường Hồ Xuân Hương | START=Đường Lê Trọng Tấn | END=Đường Nguyễn Hữu 17.200 Cảnh | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-056-S01-TT0038-01 | SEC=non-agricultural | TT=38 | REL=main | PRICES=7300,6300 | ROAD=Đường Hồ Xuân Hương | START=Đường Nguyễn Hữu Cảnh | END=Hết đường N16 khu dân 10.500 cư Bắc Đồng Phú | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-056-S01-TT0039-01 | SEC=non-agricultural | TT=39 | REL=main | PRICES=16800,14400 | ROAD=Đường Lê Duẩn | START=Đường Hùng Vương | END=Đường Quốc 24.000 lộ 14 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-056-S01-TT0040-01 | SEC=non-agricultural | TT=40 | REL=main | PRICES=16900,14500 | ROAD=Đường Lê Duẩn | START=Đường Quốc lộ 14 | END=Đường Lý 24.200 Thường Kiệt | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-056-S01-TT0041-01 | SEC=non-agricultural | TT=41 | REL=main | PRICES=7600,6500 | ROAD=Đường Lê Lai | START=Đường Phú Riềng Đỏ | END=Đường 10.800 Nguyễn Huệ | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-056-S01-TT0042-01 | SEC=non-agricultural | TT=42 | REL=main | PRICES=11200,9600 | ROAD=Đường Lê Lợi | START=Đường Lê Trọng Tấn | END=Đường Nguyễn Hữu 16.000 Cảnh | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-056-S01-TT0043-01 | SEC=non-agricultural | TT=43 | REL=main | PRICES=7300,6200 | ROAD=Đường Lê Lợi | START=Đường Lê Trọng Tấn | END=Đường Bùi Thị 10.400 Xuân | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-056-S01-TT0044-01 | SEC=non-agricultural | TT=44 | REL=main | PRICES=6300,5400 | ROAD=Đường Lê Lợi | START=Đường Phú Riềng Đỏ | END=Đường Nguyễn Văn 9.000 Trỗi Đường Phú | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-056-S01-TT0045-01 | SEC=non-agricultural | TT=45 | REL=main | PRICES=16700,14300 | ROAD=Đường Lê Quý Đôn | START=Đường Phú Riềng Đỏ | END=Riềng Đỏ + 65m hướng về Ngã tư Bàu 23.800 Trúc (tính từ tim đường Phú Riềng Đỏ + 65m) | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-056-S01-TT0046-01 | SEC=non-agricultural | TT=46 | REL=main | PRICES=16200,13900 | ROAD=Đường Lê Quý Đôn | START=Đường Phú Riềng Đỏ + 65m hướng về Ngã tư Bàu Trúc (tính từ tim đường Phú Riềng Đỏ | END=Đường Ngô 23.200 Quyền | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-056-S01-TT0047-01 | SEC=non-agricultural | TT=47 | REL=main | PRICES=11800,10100 | ROAD=Đường Lê Quý Đôn | START=+ 65 m) Đường Ngô Quyền | END=Ngã tư Bàu 16.800 Trúc | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-056-S01-TT0048-01 | SEC=non-agricultural | TT=48 | REL=main | PRICES=5000,4300 | ROAD=Đường Lê Văn Sỹ | START=Đường Nguyễn Huệ | END=Đường Nguyễn Văn 7.200 Trỗi | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-056-S01-TT0049-01 | SEC=non-agricultural | TT=49 | REL=main | PRICES=14800,12700 | ROAD=Đường Lý Thường Kiệt | START=Đường Phú Riềng Đỏ | END=Đường Trần 21.200 Phú | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-056-S01-TT0050-01 | SEC=non-agricultural | TT=50 | REL=main | PRICES=12600,10800 | ROAD=Đường Lý Thường Kiệt | START=Đường Trần Phú | END=Ngã ba đường Lê Duẩn - 18.000 đường Lý Thường Kiệt | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-056-S01-TT0051-01 | SEC=non-agricultural | TT=51 | REL=main | PRICES=14800,12700 | ROAD=Đường Lý Thường Kiệt | START=Ngã ba đường Lê Duẩn - đường Lý Thường Kiệt | END=Đường Hàm 21.200 Nghi | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-056-S01-TT0052-01 | SEC=non-agricultural | TT=52 | REL=main | PRICES=12600,10800 | ROAD=Đường Lý Thường Kiệt | START=Đường Hàm Nghi | END=Đường Hồ 18.000 Xuân Hương | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-056-S01-TT0053-01 | SEC=non-agricultural | TT=53 | REL=main | PRICES=10500,9000 | ROAD=Đường Lý Thường Kiệt | START=Đường Phú Riềng Đỏ | END=Đường 15.000 Nguyễn Huệ | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-056-S01-TT0054-01 | SEC=non-agricultural | TT=54 | REL=main | PRICES=9500,8200 | ROAD=Đường Nguyễn Chí Thanh | START=Đường Quốc lộ 14 | END=Đường Trần 13.600 Hưng Đạo | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-056-S01-TT0055-01 | SEC=non-agricultural | TT=55 | REL=main | PRICES=6700,5800 | ROAD=Đường Nguyễn Chí Thanh | START=Đường Trần Hưng Đạo | END=Cuối đường 9.600 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-056-S01-TT0056-01 | SEC=non-agricultural | TT=56 | REL=main | PRICES=12300,10600 | ROAD=Đường Nguyễn Huệ | START=Đường Quốc lộ 14 | END=Đường Lý 17.600 Thường Kiệt | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-056-S01-TT0057-01 | SEC=non-agricultural | TT=57 | REL=main | PRICES=10100,8600 | ROAD=Đường Nguyễn Huệ | START=Đường Lý Thường Kiệt | END=Đường Lê Lợi 14.400 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-056-S01-TT0058-01 | SEC=non-agricultural | TT=58 | REL=main | PRICES=10100,8600 | ROAD=Đường Nguyễn Huệ | START=Đường Quốc lộ 14 | END=Giáp hẻm 54 đường 14.400 Nguyễn Huệ | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-056-S01-TT0059-01 | SEC=non-agricultural | TT=59 | REL=main | PRICES=8400,7200 | ROAD=Đường Nguyễn Huệ | START=Tim đường hẻm 54 đường Nguyễn Huệ | END=Ngã tư Bàu 12.000 Trúc | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-056-S01-TT0060-01 | SEC=non-agricultural | TT=60 | REL=main | PRICES=8400,7200 | ROAD=Đường Nguyễn Huệ | START=Ngã tư Bàu Trúc | END=Đường Võ Thị 12.000 Sáu | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-056-S01-TT0061-01 | SEC=non-agricultural | TT=61 | REL=main | PRICES=7300,6200 | ROAD=Đường Nguyễn Huệ | START=Đường Võ Thị Sáu | END=Đường Phú 10.400 Riềng Đỏ | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-056-S01-TT0062-01 | SEC=non-agricultural | TT=62 | REL=main | PRICES=9200,7900 | ROAD=Đường Nguyễn Hữu Thọ | START=Đường Lê Duẩn | END=Đường Lương 13.200 Thế Vinh | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-056-S01-TT0063-01 | SEC=non-agricultural | TT=63 | REL=main | PRICES=6200,5300 | ROAD=Đường Nguyễn Hữu Thọ | START=Đường Lương Thế Vinh | END=Hết ranh giới đã giải phóng 8.800 mặt bằng | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-056-S01-TT0064-01 | SEC=non-agricultural | TT=64 | REL=main | PRICES=5000,4300 | ROAD=Đường Nguyễn Khuyến | START=Đường Nguyễn Trường Tộ | END=Đường Lê 7.200 Văn Sỹ | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-056-S01-TT0065-01 | SEC=non-agricultural | TT=65 | REL=main | PRICES=5000,4300 | ROAD=Đường Ông Ích Khiêm | START=Đường Nguyễn Trường Tộ | END=Đường Lê 7.200 Văn Sỹ | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-056-S01-TT0066-01 | SEC=non-agricultural | TT=66 | REL=main | PRICES=5000,4300 | ROAD=Đường Huỳnh Khương Ninh | START=Đường Ông Ích Khiêm | END=Đường Nguyễn 7.200 Khuyến | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-056-S01-TT0067-01 | SEC=non-agricultural | TT=67 | REL=main | PRICES=5000,4300 | ROAD=Đường Lý Thái Tổ | START=Đường Lê Lợi | END=Đường Lê Lai 7.200 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-056-S01-TT0068-01 | SEC=non-agricultural | TT=68 | REL=main | PRICES=14000,12000 | ROAD=Đường Nguyễn Thượng Hiền | START=Đường Quốc lộ 14 | END=Đường Trần 20.000 Hưng Đạo | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-056-S01-TT0069-01 | SEC=non-agricultural | TT=69 | REL=main | PRICES=10100,8600 | ROAD=Đường Nguyễn Thượng Hiền | START=Đường Trần Hưng Đạo | END=Đường Lý 14.400 Thường Kiệt | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-056-S01-TT0070-01 | SEC=non-agricultural | TT=70 | REL=main | PRICES=5000,4300 | ROAD=Đường Nguyễn Trường Tộ | START=Đường Nguyễn Huệ | END=Đường Nguyễn Văn 7.200 Trỗi | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-056-S01-TT0071-01 | SEC=non-agricultural | TT=71 | REL=main | PRICES=5000,4300 | ROAD=Đường Nguyễn Trường Tộ | START=Đường Nguyễn Huệ | END=Đường Lý 7.200 Thái Tổ | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-056-S01-TT0072-01 | SEC=non-agricultural | TT=72 | REL=main | PRICES=8700,7400 | ROAD=Đường Nguyễn Văn Linh | START=Đường Quốc lộ 14 | END=Đường Trần 12.400 Hưng Đạo | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-056-S01-TT0073-01 | SEC=non-agricultural | TT=73 | REL=main | PRICES=7800,6700 | ROAD=Đường Nguyễn Văn Linh | START=Đường Phạm Đình Hổ | END=Đường Hồ 11.200 Xuân Hương | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-056-S01-TT0074-01 | SEC=non-agricultural | TT=74 | REL=main | PRICES=5900,5000 | ROAD=Đường Nguyễn Văn Trỗi | START=Đường Quốc lộ 14 | END=Đường Lê Lợi 8.400 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-056-S01-TT0075-01 | SEC=non-agricultural | TT=75 | REL=main | PRICES=6200,5300 | ROAD=Đường Phan Bội Châu | START=Đường Quốc lộ 14 | END=Đường Tôn 8.800 Đức Thắng | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-056-S01-TT0076-01 | SEC=non-agricultural | TT=76 | REL=main | PRICES=5000,4300 | ROAD=Đường Phan Bội Châu | START=Đường Tôn Đức Thắng | END=Giáp ranh xã 7.200 Tiến Hưng | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-056-S01-TT0077-01 | SEC=non-agricultural | TT=77 | REL=main | PRICES=18600,16000 | ROAD=Đường Trần Hưng Đạo | START=Đường Phú Riềng Đỏ | END=Đường Trần 26.600 Phú | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-056-S01-TT0078-01 | SEC=non-agricultural | TT=78 | REL=main | PRICES=15100,13000 | ROAD=Đường Trần Hưng Đạo | START=Đường Lê Duẩn | END=Đường Nguyễn Chí 21.600 Thanh | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-056-S01-TT0079-01 | SEC=non-agricultural | TT=79 | REL=main | PRICES=12100,10400 | ROAD=Đường Trần Hưng Đạo | START=Đường Nguyễn Chí Thanh | END=Đường 17.300 Nguyễn Bỉnh | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-056-S01-TT0080-01 | SEC=non-agricultural | TT=80 | REL=main | PRICES=7300,6200 | ROAD=Đường Trần Hưng Đạo | START=Đường Nguyễn Bình | END=Giáp ranh phường Đồng 10.400 Xoài | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-056-S01-TT0081-01 | SEC=non-agricultural | TT=81 | REL=main | PRICES=6400,5500 | ROAD=Đường Triệu Quang Phục | START=Đường Nguyễn Văn Linh | END=Đường 9.200 Nguyễn Xí | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-056-S01-TT0082-01 | SEC=non-agricultural | TT=82 | REL=main | PRICES=6200,5300 | ROAD=Đường Triệu Quang Phục | START=Đường Trường Chinh | END=Đường Nguyễn Văn 8.800 Linh | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-056-S01-TT0083-01 | SEC=non-agricultural | TT=83 | REL=main | PRICES=9500,8200 | ROAD=Đường Trường Chinh | START=Đường Quốc lộ 14 | END=Đường Trần 13.600 Hưng Đạo | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-056-S01-TT0084-01 | SEC=non-agricultural | TT=84 | REL=main | PRICES=6700,5800 | ROAD=Đường Trường Chinh | START=Đường Trần Hưng Đạo | END=Đập Suối Cam 9.600 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-056-S01-TT0085-01 | SEC=non-agricultural | TT=85 | REL=main | PRICES=4800,4100 | ROAD=Đường Trường Chinh (đoạn đường đã được đầu tư thảm nhựa) | START=Đường Quốc lộ 14 | END=Đường số 32 (đường Vành 6.800 đai phía Nam Đồng Xoài) | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-056-S01-TT0086-01 | SEC=non-agricultural | TT=86 | REL=main | PRICES=4000,3500 | ROAD=Đường Trường Chinh (đoạn đường đã được đầu tư thảm nhựa) | START=Đường số 32 (đường Vành đai phía Nam Đồng Xoài) | END=Hết tuyến 5.800 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-056-S01-TT0087-01 | SEC=non-agricultural | TT=87 | REL=main | PRICES=10100,8600 | ROAD=Đường Trương Công Định | START=Đường Phú Riềng Đỏ | END=Đường Đặng 14.400 Thai Mai | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-056-S01-TT0088-01 | SEC=non-agricultural | TT=88 | REL=main | PRICES=8100,7000 | ROAD=Đường Trương Công Định | START=Đường Đặng Thai Mai | END=Đường Lê 11.600 Trọng Tấn | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
