TABLE=087 | AREA=Xã Hưng Phước | RECORDS=23 | GROUPS=23 | REVIEW=23
ID=NQ28-087-S01-TT0001-01 | SEC=non-agricultural | TT=1 | REL=main | PRICES=1100,920 | ROAD=87. Xã Hưng Phước Tên đường giao TT thông Giáp Đường ĐT 759B Thiện | START=Đoạn đường ranh xã Cầu sắt 2 Hưng | END=Giá Giá thương đất ở mại, 1.500 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-087-S01-TT0012-01 | SEC=non-agricultural | TT=12 | REL=main | PRICES=300,260 | ROAD=Đường vào chùa Phước Thiện (Đối Đường diện ấp 4 Hưng 759B Phước) | START=Chùa Phước ĐT (Tờ bản đồ thửa đất số thửa đất số | END=Thiện số 44, 430 101 đến 117) | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-087-S01-TT0013-01 | SEC=non-agricultural | TT=13 | REL=main | PRICES=360,310 | ROAD=Đường Đường vào cầu suối 759B | START=Cầu suối (Tờ ĐT số 41, thửa đến thửa đất | END=bản đồ đất số 66 510 số 67) | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-087-S01-TT0014-01 | SEC=non-agricultural | TT=14 | REL=main | PRICES=540,460 | ROAD=Đường Đường nhựa 759B | START=ĐT Hết ranh thửa (ngã ba 85, tờ bản | END=đất số 770 đồ số 22 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-087-S01-TT0015-01 | SEC=non-agricultural | TT=15 | REL=main | PRICES=420,360 | ROAD=hạt Kiểm Hết ranh Đường nhựa đất số bản đồ | START=lâm) thửa Thửa đất số 85, tờ bản đồ số số 22 | END=78, tờ 600 13 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-087-S01-TT0016-01 | SEC=non-agricultural | TT=16 | REL=main | PRICES=360 | ROAD=Thửa Đường nhựa 78, tờ số 13 | START=đất số Thửa đất số bản đồ bản đồ số | END=230, tờ 510 8 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_1
ID=NQ28-087-S01-TT0017-01 | SEC=non-agricultural | TT=17 | REL=main | PRICES=350,300 | ROAD=Đường nhựa ấp 5 - Đường Phước Tiến 759B | START=Ngã ba đường ĐT điểm lẻ Trường học ấp Phước | END=vào Tiểu 500 Tiến | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-087-S01-TT0018-01 | SEC=non-agricultural | TT=18 | REL=main | PRICES=300,260 | ROAD=Ngã đường Đường nhựa ấp 5 - điểm Phước Tiến Trường học ấp | START=ba vào lẻ Hết tuyến Tiểu Phước | END=430 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-087-S01-TT0019-01 | SEC=non-agricultural | TT=19 | REL=main | PRICES=300,260 | ROAD=Tiến Đường nhựa ấp 4 - Đường Bù Tam 759B | START=ĐT Nghĩa địa | END=ấp Bù Tam 430 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-087-S01-TT0020-01 | SEC=non-agricultural | TT=20 | REL=main | PRICES=300,260 | ROAD=Đường Đường nhựa ấp 3 759B | START=ĐT Hết ranh Công Ra | END=ty La 430 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-087-S01-TT0021-01 | SEC=non-agricultural | TT=21 | REL=main | PRICES=350,300 | ROAD=Đường Đường vào ấp 6 759B | START=ĐT Hết thửa đất tờ bản đồ | END=số 17, 500 số 30 ấp 6 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-087-S01-TT0022-01 | SEC=non-agricultural | TT=22 | REL=main | PRICES=300,260 | ROAD=Đường Đường vào ấp 6 759B chào | START=ĐT (Cổng Hết tuyến văn hóa) | END=430 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-087-S01-TT0023-01 | SEC=non-agricultural | TT=23 | REL=main | PRICES=180,150 | ROAD=Các tuyến đường đất Toàn còn lại | START=tuyến | END=260 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
